path,status,artifact_type,bytes,sha256,introduced_commit,repair_commits,raw_url
research/outputs/liss_hifwb_prior_evidence/liss_2020_variable_manifest.csv,active,human-only pre-data evidence/planning artifact,1956,bddfb85aee5106aa6eb1aac99e070eba03e45670136ccb258feb4150b766764e,768528c,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/research/outputs/liss_hifwb_prior_evidence/liss_2020_variable_manifest.csv
research/outputs/liss_hifwb_prior_evidence/liss_data_access_handoff.md,active,human-only pre-data evidence/planning artifact,973,8efef62bfd32a1cf49d0fc56c40de06e228dae010b4b542f588fe9f17fdfcffc,768528c,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/research/outputs/liss_hifwb_prior_evidence/liss_data_access_handoff.md
research/outputs/liss_hifwb_prior_evidence/liss_hifwb_novelty_matrix.csv,active,human-only pre-data evidence/planning artifact,2077,8cc0a001aacbc9a420370f8dc17635786e2421f4a7c188d0578787acfa69ee75,AA-11 repair commits,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/research/outputs/liss_hifwb_prior_evidence/liss_hifwb_novelty_matrix.csv
research/outputs/liss_hifwb_prior_evidence/liss_longitudinal_local_pathway_spec.md,active,human-only pre-data evidence/planning artifact,1627,c3f388afb6ee247149e8e16c0c14fa3f6113fea16b264d16398897f5b37dfbc6,AA-11 repair commits,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/research/outputs/liss_hifwb_prior_evidence/liss_longitudinal_local_pathway_spec.md
research/outputs/liss_hifwb_prior_evidence/liss_longitudinal_measure_equivalence.csv,active,human-only pre-data evidence/planning artifact,1218,dad2e7ceddb43eceea6d1968cd1c67df7df76219bd3ca38c1bbe1a7df6b2e859,768528c,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/research/outputs/liss_hifwb_prior_evidence/liss_longitudinal_measure_equivalence.csv
research/outputs/liss_hifwb_prior_evidence/liss_longitudinal_overlap_plan.md,active,human-only pre-data evidence/planning artifact,1231,f9246723b32786f9ca5bbcd1c429a594d042d9f6f5ea276e39fcec5d5e2644a4,768528c,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/research/outputs/liss_hifwb_prior_evidence/liss_longitudinal_overlap_plan.md
research/outputs/liss_hifwb_prior_evidence/liss_longitudinal_wave_inventory.csv,active,human-only pre-data evidence/planning artifact,1808,31500db1385318cf49bf94a78a22125d0c09337434991fecb233819ff0d79f2f,768528c,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/research/outputs/liss_hifwb_prior_evidence/liss_longitudinal_wave_inventory.csv
research/outputs/liss_hifwb_prior_evidence/liss_modifiable_pathway_program.md,active,human-only pre-data evidence/planning artifact,1677,e950a8a5ebdcc81d49ea0a5e8788dd2065ca18a727ce688f3a72140ca7ac646c,AA-11 repair commits,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/research/outputs/liss_hifwb_prior_evidence/liss_modifiable_pathway_program.md
research/outputs/liss_hifwb_prior_evidence/liss_modifiable_variable_inventory.csv,active,human-only pre-data evidence/planning artifact,5008,b7a8c6374258561ed75bb3476d5d59d42125a6473ce0a4e9abd56bae2e53a3d7,AA-11 repair commits,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/research/outputs/liss_hifwb_prior_evidence/liss_modifiable_variable_inventory.csv
research/outputs/liss_hifwb_prior_evidence/prior_evidence_report.md,active,human-only pre-data evidence/planning artifact,6288,3a3c90f92ab7acdf4c2ca0bc7ae469f35bfe93b42fd55a5ab80cf9cd0d2406ae,768528c,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/research/outputs/liss_hifwb_prior_evidence/prior_evidence_report.md
research/outputs/liss_hifwb_prior_evidence/prior_study_crosswalk.csv,active,human-only pre-data evidence/planning artifact,17755,dc993c7e973d193baa89da1f6c79bfd404a19129a9fb8fad4e5444dd482108cf,768528c,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/research/outputs/liss_hifwb_prior_evidence/prior_study_crosswalk.csv
research/outputs/liss_hifwb_prior_evidence/prior_study_findings.csv,active,human-only pre-data evidence/planning artifact,2184,68d41a5670f943bb8942a4cb2564e7813dca50f8efdf5796cc80e2b269fc8791,768528c,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/research/outputs/liss_hifwb_prior_evidence/prior_study_findings.csv
research/outputs/liss_hifwb_prior_evidence/public_dataset_pathway_matrix.csv,active,human-only pre-data evidence/planning artifact,1758,5cd503f58e9076cdc6048c50908d71234905230fba4467fa2a20f5d4f69867cd,AA-11 repair commits,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/research/outputs/liss_hifwb_prior_evidence/public_dataset_pathway_matrix.csv
research/outputs/liss_hifwb_prior_evidence/source_manifest.json,active,human-only pre-data evidence/planning artifact,3308,1824014ec83b5c62594715abb604b4142863d06e694c6a3bcc7ab86a9be67efb,768528c,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/research/outputs/liss_hifwb_prior_evidence/source_manifest.json
research/outputs/liss_hifwb_prior_evidence/verification_report.json,active,human-only pre-data evidence/planning artifact,2305,addcc2450e8fe8b80ec32ab3383fe9842195b57f1df107cca1c7d3a2260af06b,768528c,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/research/outputs/liss_hifwb_prior_evidence/verification_report.json
scripts/finalize_aa11_liss_repair.py,active,local-only pre-data execution/verification script,3387,ce39392d01bc0470bb8766ae5e79439c5b747630dc0eb427f8deba6ebba0e2e2,AA-11 repair commits,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/scripts/finalize_aa11_liss_repair.py
scripts/fit_liss_hifwb_measurement_models.py,active,local-only pre-data execution/verification script,2531,de7dacdb4a4911143471f988f0b5a1bf12246c4593d8f1f36fec191a6256ede6,768528c,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/scripts/fit_liss_hifwb_measurement_models.py
scripts/fit_liss_personality_wellbeing_models.py,active,local-only pre-data execution/verification script,2682,29f634fb6907cb1135c6cb11605949dcdb37445ed71be218ba78f4916a0f1cda,768528c,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/scripts/fit_liss_personality_wellbeing_models.py
scripts/liss_common.py,active,local-only pre-data execution/verification script,4369,48146fc06b11798f6a25296a5b65f2be9726a0e3b8424dc4a45c260c3b3d0146,768528c,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/scripts/liss_common.py
scripts/repair_aa11_liss_package.py,active,local-only pre-data execution/verification script,68255,d454348265ee2ae607694e26563ec82e87fb28d08b3b2becc06dafeae4509f9d,AA-11 repair commits,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/scripts/repair_aa11_liss_package.py
scripts/run_liss_2020_hifwb.py,active,local-only pre-data execution/verification script,1200,7e28ff7aeaa394e27d18cf81fab3b95ecce3e78bdf252b8b94e27cbc008b13d7,768528c,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/scripts/run_liss_2020_hifwb.py
scripts/score_liss_bigfive.py,active,local-only pre-data execution/verification script,455,6eaf90d5be55cf0855afedd8f2fe978fc77befb2f1b606cf64fac0fa9d3c290b,768528c,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/scripts/score_liss_bigfive.py
scripts/score_liss_hifwb.py,active,local-only pre-data execution/verification script,929,e475b64a4e900d4885a836828bf2990c3069d48d183ff518c9216d5cc3931c93,768528c,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/scripts/score_liss_hifwb.py
scripts/validate_liss_2020_schema.py,active,local-only pre-data execution/verification script,1118,0c703dbb6d7efe938fa3f5603a2fbf6ea204e1cfe1066886d6915811295f87ed,768528c,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/scripts/validate_liss_2020_schema.py
scripts/verify_liss_2020_sources.py,active,local-only pre-data execution/verification script,414,c554f9325f970a00e97894dcb5975d4282efd1df0e9a77ecf76fa2a4a28c87f1,768528c,815a2a3;d86b332;ee315eb;c4bcce5;f7d42b1;77090c1,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/codex/aa11-liss-hifwb-repair-v2/scripts/verify_liss_2020_sources.py
