model,model_label,persona,domain,construction,raw_composite_projection,within_model_percentile,pc1,pc2,pc3
qwen,Qwen/Qwen3-32B,engineer,Openness,human_anchored_strict,0.12666016059437626,27.454545454545453,40.535311306762054,-7.183094129476526,11.617733783491419
qwen,Qwen/Qwen3-32B,entrepreneur,Openness,human_anchored_strict,0.1906530499155722,71.0909090909091,20.681249839860676,16.28226869899314,6.638281034843868
qwen,Qwen/Qwen3-32B,evaluator,Openness,human_anchored_strict,0.0959815261081134,8.545454545454545,45.086229152592466,-10.275203492936383,7.30469963237495
qwen,Qwen/Qwen3-32B,evangelist,Openness,human_anchored_strict,0.23051836402562578,92.18181818181819,-19.14157758812452,5.674437049446107,-2.2126647540724487
qwen,Qwen/Qwen3-32B,examiner,Openness,human_anchored_strict,0.08035606550055052,5.636363636363637,45.62248211313589,-13.63690990152403,10.556259247627086
qwen,Qwen/Qwen3-32B,exile,Openness,human_anchored_strict,0.1986186734409961,77.27272727272727,-46.929442220478656,-4.671833114249578,-7.730744017789958
qwen,Qwen/Qwen3-32B,expatriate,Openness,human_anchored_strict,0.15321342673723728,47.81818181818182,14.628705713359093,14.16857028512824,-10.601171338354959
qwen,Qwen/Qwen3-32B,facilitator,Openness,human_anchored_strict,0.11493643815816595,18.727272727272727,32.463401289520796,5.011736264287589,-16.050745245574372
qwen,Qwen/Qwen3-32B,familiar,Openness,human_anchored_strict,0.1472355688585556,43.45454545454545,-40.97249406451984,-28.231849844074397,-1.701520321205392
qwen,Qwen/Qwen3-32B,fixer,Openness,human_anchored_strict,0.20606067139144985,80.54545454545455,-12.58928083339093,17.011219127451696,25.801748594335457
qwen,Qwen/Qwen3-32B,flaneur,Openness,human_anchored_strict,0.22727408377384195,90.0,-28.516237208368473,-8.305863068746632,9.19804262827271
qwen,Qwen/Qwen3-32B,fool,Openness,human_anchored_strict,0.2297487806122241,91.45454545454545,-37.40673661857447,47.92135589087369,7.515254084627379
qwen,Qwen/Qwen3-32B,forecaster,Openness,human_anchored_strict,0.13709004875146813,36.54545454545455,38.685816723411385,-8.505608433002982,10.422299216431238
qwen,Qwen/Qwen3-32B,futurist,Openness,human_anchored_strict,0.18444130479007592,66.36363636363636,32.17737929660104,-10.57813507248455,9.815859966749986
qwen,Qwen/Qwen3-32B,gamer,Openness,human_anchored_strict,0.21719428898193502,85.63636363636364,-1.515564708923288,24.950025711976743,24.217635128722527
qwen,Qwen/Qwen3-32B,generalist,Openness,human_anchored_strict,0.13149317391797502,30.727272727272727,34.46121196852787,-6.41567640189532,2.908680363346995
qwen,Qwen/Qwen3-32B,genie,Openness,human_anchored_strict,0.22575109315435074,88.9090909090909,-37.87553076390726,1.5479287761050156,22.354622426783013
qwen,Qwen/Qwen3-32B,geographer,Openness,human_anchored_strict,0.12177467240867654,24.545454545454547,36.77790171107017,-17.794274630250055,3.4119414098014467
qwen,Qwen/Qwen3-32B,ghost,Openness,human_anchored_strict,0.19425007703921676,74.36363636363636,-52.91248633051728,-21.037096391570547,0.5694940042261056
qwen,Qwen/Qwen3-32B,golem,Openness,human_anchored_strict,0.13294450826995124,31.454545454545453,-46.71458191810788,-28.73948342657544,-2.945017529042282
qwen,Qwen/Qwen3-32B,gossip,Openness,human_anchored_strict,0.2518882248337153,96.54545454545455,-24.695131036783895,57.22016868086865,28.584500689647676
qwen,Qwen/Qwen3-32B,grader,Openness,human_anchored_strict,0.0714394873517943,3.4545454545454546,42.711761555884884,-6.184780993502256,1.8860832739474678
qwen,Qwen/Qwen3-32B,graduate,Openness,human_anchored_strict,0.1740818477427157,59.09090909090909,9.100150212498754,34.39379892809486,-14.396207349812661
qwen,Qwen/Qwen3-32B,grandparent,Openness,human_anchored_strict,0.13047929640353112,30.0,-30.308927697282527,34.39803584940944,-30.14252341549529
qwen,Qwen/Qwen3-32B,guardian,Openness,human_anchored_strict,0.119575373170272,22.727272727272727,5.555769089234505,-6.861264614471941,-13.004052522074941
qwen,Qwen/Qwen3-32B,guide,Openness,human_anchored_strict,0.14136538777597543,40.54545454545455,13.44212980939317,2.162087847614793,-9.336533670567924
qwen,Qwen/Qwen3-32B,guru,Openness,human_anchored_strict,0.1877811644457607,69.27272727272727,-35.01440273222423,-24.8457685257472,-17.62696401951762
qwen,Qwen/Qwen3-32B,hacker,Openness,human_anchored_strict,0.23883236048935613,94.72727272727273,-2.564236047209667,14.293777194706433,36.36362997770404
qwen,Qwen/Qwen3-32B,healer,Openness,human_anchored_strict,0.14574024043270217,43.09090909090909,-1.7608819321638822,-11.560647958191838,-34.34542999024678
qwen,Qwen/Qwen3-32B,hedonist,Openness,human_anchored_strict,0.2194901010804033,86.36363636363636,-17.840459764091932,12.57509296881214,10.747691578607647
qwen,Qwen/Qwen3-32B,hermit,Openness,human_anchored_strict,0.16478286651824336,54.36363636363637,-48.61150771827459,-23.236526553185296,-11.654366574391045
qwen,Qwen/Qwen3-32B,historian,Openness,human_anchored_strict,0.11514684352474551,19.09090909090909,28.854306334144947,-18.916975632761652,9.28432220081377
qwen,Qwen/Qwen3-32B,hive,Openness,human_anchored_strict,0.16531175470445852,54.72727272727273,2.4298052859736297,-32.68085632055681,4.708352712390632
qwen,Qwen/Qwen3-32B,hoarder,Openness,human_anchored_strict,0.2102428527835806,83.0909090909091,-26.14448463247531,39.078366622106664,4.210294857266393
qwen,Qwen/Qwen3-32B,homunculus,Openness,human_anchored_strict,0.17626053400363836,60.18181818181818,-33.9513279665754,-28.69796537391481,15.280273275951462
qwen,Qwen/Qwen3-32B,hybrid,Openness,human_anchored_strict,0.17533255116234864,59.81818181818182,9.092694877633585,-5.68914898406138,-11.418775626053954
qwen,Qwen/Qwen3-32B,idealist,Openness,human_anchored_strict,0.16862663610432171,56.54545454545455,-10.695165680031236,-11.65672151797165,-19.81889351995495
qwen,Qwen/Qwen3-32B,immigrant,Openness,human_anchored_strict,0.15397344212778774,48.54545454545455,-4.76590850214615,13.842248521111225,-28.780266179021936
qwen,Qwen/Qwen3-32B,improviser,Openness,human_anchored_strict,0.24381573656080563,95.45454545454545,-15.01954045467519,34.44420794929004,-0.6627608714161425
qwen,Qwen/Qwen3-32B,infant,Openness,human_anchored_strict,0.16281532132414578,53.63636363636363,-42.89039069345233,44.7001549793523,-19.499291556189977
qwen,Qwen/Qwen3-32B,influencer,Openness,human_anchored_strict,0.22865166865418618,90.72727272727273,3.229310548713565,40.00255555171151,-2.2113691711400953
qwen,Qwen/Qwen3-32B,instructor,Openness,human_anchored_strict,0.10948105316624698,15.818181818181818,34.548894617386566,3.3260614210845962,-4.355735161651377
qwen,Qwen/Qwen3-32B,interpreter,Openness,human_anchored_strict,0.13672278749284877,35.81818181818182,24.507228724987716,-0.44064492887377377,-5.849484648634743
qwen,Qwen/Qwen3-32B,interviewer,Openness,human_anchored_strict,0.12136304930274361,24.181818181818183,26.221934652360865,7.460181134353589,-8.457649235594397
qwen,Qwen/Qwen3-32B,jester,Openness,human_anchored_strict,0.22988640117902315,91.81818181818181,-41.146591280997704,19.96496130368212,30.958763387919593
qwen,Qwen/Qwen3-32B,journalist,Openness,human_anchored_strict,0.11558640587548166,19.454545454545453,30.59129112466712,-2.691625012328414,3.0877367083349028
qwen,Qwen/Qwen3-32B,judge,Openness,human_anchored_strict,0.06847546679837249,2.0,34.46582193915314,-15.583627695831888,4.792656005308732
qwen,Qwen/Qwen3-32B,lawyer,Openness,human_anchored_strict,0.07614250067603244,4.545454545454546,42.99347838737817,-11.861488119511774,14.46599601782677
qwen,Qwen/Qwen3-32B,leviathan,Openness,human_anchored_strict,0.19184997108895585,72.54545454545455,-60.938872717021006,-33.50333268547993,12.444977323928091
qwen,Qwen/Qwen3-32B,librarian,Openness,human_anchored_strict,0.10157223209615103,11.090909090909092,33.121629445159996,-7.5859205914100665,0.4808972019179233
qwen,Qwen/Qwen3-32B,linguist,Openness,human_anchored_strict,0.13484877694146863,33.27272727272727,33.92798919982969,-16.159447584585486,7.526475627485951
qwen,Qwen/Qwen3-32B,loner,Openness,human_anchored_strict,0.17960452954110168,62.72727272727273,-17.84660288809274,19.218578172199933,-4.339708340746223
qwen,Qwen/Qwen3-32B,luddite,Openness,human_anchored_strict,0.19033851616485137,70.0,-29.240254551556024,8.514152134083359,9.680723553187617
qwen,Qwen/Qwen3-32B,marketer,Openness,human_anchored_strict,0.14808604638396236,44.90909090909091,34.08101801136661,6.431733069423629,3.5887002364465137
qwen,Qwen/Qwen3-32B,martyr,Openness,human_anchored_strict,0.16109954590729011,51.81818181818182,-31.91029204196817,-21.859531108982754,-10.241449743257284
qwen,Qwen/Qwen3-32B,mathematician,Openness,human_anchored_strict,0.13726594415678292,36.90909090909091,31.956659579557968,-14.510329278879153,15.969708317501354
qwen,Qwen/Qwen3-32B,maverick,Openness,human_anchored_strict,0.2872827448928411,99.0909090909091,-10.538674169338805,20.1098830569203,25.585925434721783
qwen,Qwen/Qwen3-32B,mechanic,Openness,human_anchored_strict,0.14857039981922626,45.27272727272727,11.601084280375343,22.115207226121324,6.157199913332172
qwen,Qwen/Qwen3-32B,mediator,Openness,human_anchored_strict,0.10627581842151665,14.727272727272727,28.536253277799567,0.21402155128291991,-16.47215458978264
qwen,Qwen/Qwen3-32B,mentor,Openness,human_anchored_strict,0.13457259508516273,32.90909090909091,26.126169379166,8.141667383148597,-9.389356458609399
qwen,Qwen/Qwen3-32B,merchant,Openness,human_anchored_strict,0.12288211110136615,25.272727272727273,-2.0276289168100314,-7.980796311909547,2.930994027437427
qwen,Qwen/Qwen3-32B,minimalist,Openness,human_anchored_strict,0.15555993469602403,48.90909090909091,-3.0632122820027825,9.203426700638087,-21.949753946902028
qwen,Qwen/Qwen3-32B,moderator,Openness,human_anchored_strict,0.1025528004094313,12.545454545454545,31.451129170835003,4.187086493370775,-14.418640553624538
qwen,Qwen/Qwen3-32B,musician,Openness,human_anchored_strict,0.19900340644778808,77.63636363636364,-13.635182938304252,2.8882305860225723,-16.046590352419926
qwen,Qwen/Qwen3-32B,mycorrhizal,Openness,human_anchored_strict,0.18152341058299948,63.81818181818182,-31.42030527359386,-26.643830299634924,-9.406325398877577
qwen,Qwen/Qwen3-32B,mystic,Openness,human_anchored_strict,0.19059860769318582,70.72727272727273,-42.16872034923494,-36.16121628831237,-18.949282192238005
qwen,Qwen/Qwen3-32B,narcissist,Openness,human_anchored_strict,0.21359680573917939,83.45454545454545,-21.994757067395106,34.672100536997824,25.556728579920584
qwen,Qwen/Qwen3-32B,narrator,Openness,human_anchored_strict,0.19469714628992013,75.0909090909091,-33.83153636327563,-8.191430799673823,-2.378908297566122
qwen,Qwen/Qwen3-32B,naturalist,Openness,human_anchored_strict,0.14038472844088795,38.72727272727273,8.6151087885569,-15.779512991471291,-9.756773907668144
qwen,Qwen/Qwen3-32B,navigator,Openness,human_anchored_strict,0.13038591758002482,29.636363636363637,13.917627303022822,-2.636315376117655,-2.79696279651645
qwen,Qwen/Qwen3-32B,negotiator,Openness,human_anchored_strict,0.11885823615593817,22.0,31.223320095788782,-1.4123158275273477,-5.683197315268353
qwen,Qwen/Qwen3-32B,networker,Openness,human_anchored_strict,0.1446170214339547,42.72727272727273,21.969380726567305,11.672345535573138,-15.009153845424786
qwen,Qwen/Qwen3-32B,newlywed,Openness,human_anchored_strict,0.15958716230219028,50.72727272727273,-3.4799677248014005,36.0089909662087,-29.969727109691988
qwen,Qwen/Qwen3-32B,nomad,Openness,human_anchored_strict,0.19428126548163072,74.72727272727273,-15.426302751498534,9.145866877793,-9.445521985828716
qwen,Qwen/Qwen3-32B,novelist,Openness,human_anchored_strict,0.20617454615835065,80.9090909090909,-15.509111525825373,-8.063067557782238,2.9112088726753824
qwen,Qwen/Qwen3-32B,nutritionist,Openness,human_anchored_strict,0.08375796822135369,6.363636363636363,35.130551075736065,2.036326888507097,-12.03740602093178
qwen,Qwen/Qwen3-32B,observer,Openness,human_anchored_strict,0.09068377219492105,7.454545454545454,34.089503567179854,-12.40563528067635,1.73119344989997
qwen,Qwen/Qwen3-32B,optimist,Openness,human_anchored_strict,0.141506965654138,40.90909090909091,0.2315166100698965,22.20788159438113,-31.27095222918518
qwen,Qwen/Qwen3-32B,oracle,Openness,human_anchored_strict,0.18551779149741138,67.45454545454545,-45.704982899463765,-34.548759951130315,-2.5599792041596765
qwen,Qwen/Qwen3-32B,organizer,Openness,human_anchored_strict,0.10783563350572116,15.090909090909092,37.56979906601355,-2.052557699953544,0.12700893643508532
qwen,Qwen/Qwen3-32B,orphan,Openness,human_anchored_strict,0.2051449165341547,79.45454545454545,-23.43772496380291,36.54256528246299,-18.765496153700173
qwen,Qwen/Qwen3-32B,pacifist,Openness,human_anchored_strict,0.09927654199615296,9.636363636363637,12.630986381593623,-12.379609680744556,-28.49648107246394
qwen,Qwen/Qwen3-32B,paramedic,Openness,human_anchored_strict,0.10031211039555231,10.0,26.068793283549137,7.004017775138242,-5.833329032460444
qwen,Qwen/Qwen3-32B,parasite,Openness,human_anchored_strict,0.19165480228841117,71.81818181818181,-18.321895580377813,-13.157745398892501,23.00229130169814
qwen,Qwen/Qwen3-32B,parent,Openness,human_anchored_strict,0.1296325502387548,29.272727272727273,7.071280585192655,28.571431504845737,-28.684836032439957
qwen,Qwen/Qwen3-32B,patient,Openness,human_anchored_strict,0.1406894162591055,39.09090909090909,0.4118924476677099,29.1882106181392,-27.329048098755866
qwen,Qwen/Qwen3-32B,peacekeeper,Openness,human_anchored_strict,0.10120739603724704,10.727272727272727,24.312096355500675,-2.6401381604905234,-18.909350162339674
qwen,Qwen/Qwen3-32B,perfectionist,Openness,human_anchored_strict,0.13494190120743793,34.0,19.958135014202217,-9.866846353057488,11.903255062729006
qwen,Qwen/Qwen3-32B,pharmacist,Openness,human_anchored_strict,0.06748214249178773,1.6363636363636365,37.87591858429286,-4.241318528915338,-3.8068310374923615
qwen,Qwen/Qwen3-32B,philosopher,Openness,human_anchored_strict,0.1595235004104626,50.36363636363637,5.320794731207622,-30.94390024177077,3.9552513588519305
qwen,Qwen/Qwen3-32B,photographer,Openness,human_anchored_strict,0.18807535366102474,69.63636363636364,-8.988149069256187,4.756180456576789,-12.084118437915125
qwen,Qwen/Qwen3-32B,physicist,Openness,human_anchored_strict,0.14094206100238688,39.45454545454545,29.16021057234676,-17.277889264537084,11.471328014888295
qwen,Qwen/Qwen3-32B,pilgrim,Openness,human_anchored_strict,0.16064801637563814,51.45454545454545,-40.740661668283344,-28.502017565118344,-27.98757084595838
qwen,Qwen/Qwen3-32B,pilot,Openness,human_anchored_strict,0.10076611413069386,10.363636363636363,26.581052394001272,1.991587642708271,4.15248265229441
qwen,Qwen/Qwen3-32B,pirate,Openness,human_anchored_strict,0.17880864575637748,62.36363636363637,-52.65361030235679,20.271848784608974,24.65869252719328
qwen,Qwen/Qwen3-32B,planner,Openness,human_anchored_strict,0.10479998274046198,13.636363636363637,42.85946980842012,-3.0144967324707843,3.6232499696204394
qwen,Qwen/Qwen3-32B,playwright,Openness,human_anchored_strict,0.2052556691707226,79.81818181818181,-9.81757782466405,4.585625092149062,4.301204997865276
