model,model_label,persona,group,group_mean_trait_percentile,group_mean_trait_z,pc1,pc2,pc3,trait_1,percentile_1,raw_cosine_1,z_1,trait_2,percentile_2,raw_cosine_2,z_2,trait_3,percentile_3,raw_cosine_3,z_3
gemma,Gemma-2-27B,evangelist,Affiliation,61.27272727272727,0.32363262367428586,-402.4080055909441,-51.641641510108215,49.00664304716787,empathetic,74.36363636363636,0.1310620754957199,0.5421684929322099,agreeable,36.54545454545455,0.39243805408477783,-0.19685624473600377,altruistic,72.9090909090909,0.29466909170150757,0.6255856228266513
gemma,Gemma-2-27B,examiner,Affiliation,40.78787878787879,-0.15927058231832053,698.9275169260121,-270.3999249643612,131.8380113438205,empathetic,12.181818181818182,0.11316108703613281,-1.1396929826987918,agreeable,71.81818181818181,0.40297403931617737,0.6544758334685896,altruistic,38.36363636363637,0.288392573595047,0.007405402275240623
gemma,Gemma-2-27B,exile,Affiliation,56.303030303030305,0.19327860249103646,-744.5452236050438,3.054307120194548,-125.95248877091758,empathetic,78.36363636363636,0.1329333484172821,0.7179812333443962,agreeable,24.90909090909091,0.3874639868736267,-0.5987724284620999,altruistic,65.63636363636364,0.2929942309856415,0.460627002590813
gemma,Gemma-2-27B,expatriate,Affiliation,58.363636363636374,0.4640981616130215,197.64457181175126,200.38648449074574,-130.35387177141527,empathetic,85.63636363636364,0.13648049533367157,1.0512482906662326,agreeable,55.09090909090909,0.39957040548324585,0.37945431428483944,altruistic,34.36363636363637,0.28792741894721985,-0.03840812011200763
gemma,Gemma-2-27B,facilitator,Affiliation,88.18181818181819,1.0877409742457735,689.7321832649164,-193.15673433028917,-240.204258145997,empathetic,78.72727272727273,0.13294512033462524,0.7190872468094313,agreeable,98.36363636363636,0.41597652435302734,1.7051068247930927,altruistic,87.45454545454545,0.2968362271785736,0.8390288511347966
gemma,Gemma-2-27B,familiar,Affiliation,50.363636363636374,0.08674281976605448,-745.869841993743,-447.7050128107,-94.13198909090299,empathetic,41.27272727272727,0.1225038543343544,-0.261906796190828,agreeable,39.09090909090909,0.3938724398612976,-0.08095454240327556,altruistic,70.72727272727273,0.29444068670272827,0.603089797892267
gemma,Gemma-2-27B,fixer,Affiliation,25.03030303030303,-1.1069978229166637,-26.030161727879108,461.8942527185343,315.0890635688799,empathetic,58.72727272727273,0.1265266239643097,0.11604670516103222,agreeable,12.181818181818182,0.3789808452129364,-1.2842299780965087,altruistic,4.181818181818182,0.2664594352245331,-2.152810195814515
gemma,Gemma-2-27B,flaneur,Affiliation,39.57575757575758,-0.23630338601891088,-640.9681165890566,-55.16681287314743,168.67028963052778,empathetic,50.36363636363637,0.12424187362194061,-0.09861370819772433,agreeable,20.90909090909091,0.38527655601501465,-0.7755219224952931,altruistic,47.45454545454545,0.2899949550628662,0.16522547263628476
gemma,Gemma-2-27B,fool,Affiliation,43.81818181818182,-0.07965477383382606,-571.8414289068561,1180.43277363336,-650.7250828817944,empathetic,84.9090909090909,0.1362369805574417,1.0283692121274965,agreeable,25.272727272727273,0.3875403106212616,-0.5926052923791139,altruistic,21.272727272727273,0.2814667224884033,-0.6747282412498609
gemma,Gemma-2-27B,forecaster,Affiliation,40.78787878787879,-0.1705846427403014,530.4749684256137,-235.45568858765336,82.47831021255239,empathetic,11.090909090909092,0.11253012716770172,-1.1989739044076222,agreeable,60.54545454545455,0.40086185932159424,0.4838067840310777,altruistic,50.72727272727273,0.2903826832771301,0.20341319215564022
gemma,Gemma-2-27B,futurist,Affiliation,43.333333333333336,-0.06247564108225229,399.4238162168813,-291.1726527929762,110.70494816280825,empathetic,16.90909090909091,0.11581956595182419,-0.8899194418592635,agreeable,51.45454545454545,0.3989795744419098,0.3317137938454807,altruistic,61.63636363636363,0.2920819818973541,0.37077872476702595
gemma,Gemma-2-27B,gamer,Affiliation,22.848484848484848,-1.0286349377095982,100.49925204340104,581.3489127720469,199.5536366729526,empathetic,47.81818181818182,0.12372618168592453,-0.14706479806000017,agreeable,15.818181818181818,0.3827354907989502,-0.9808458939828838,altruistic,4.909090909090909,0.2684374451637268,-1.9579941210859106
gemma,Gemma-2-27B,generalist,Affiliation,53.27272727272727,0.1172129037332404,502.79659422891507,-240.59482160810984,-63.277173196060396,empathetic,19.09090909090909,0.11646898090839386,-0.8289045990410081,agreeable,72.9090909090909,0.40305060148239136,0.6606622343265321,altruistic,67.81818181818181,0.2935958504676819,0.5198810759141972
gemma,Gemma-2-27B,genie,Affiliation,21.27272727272727,-0.7523635113728266,-766.5011674100019,-1.4301764771427896,206.52239511599592,empathetic,26.727272727272727,0.11936117708683014,-0.5571724908694026,agreeable,14.727272727272727,0.38148120045661926,-1.0821954669327598,altruistic,22.363636363636363,0.28204551339149475,-0.6177225763163172
gemma,Gemma-2-27B,geographer,Affiliation,62.72727272727273,0.34495116444176394,444.64935907358233,-189.16845817702423,-10.176506596922321,empathetic,31.818181818181817,0.12075737863779068,-0.4259943938565992,agreeable,76.9090909090909,0.40400978922843933,0.7381668320738594,altruistic,79.45454545454545,0.29565492272377014,0.7226810551080317
gemma,Gemma-2-27B,ghost,Affiliation,47.696969696969695,-0.06949642821804773,-948.9769040419791,-283.30997380398463,-26.32963466445627,empathetic,53.63636363636363,0.12545926868915558,0.015764884291424298,agreeable,22.363636363636363,0.3862738609313965,-0.6949373688517773,altruistic,67.0909090909091,0.2930963337421417,0.47068319990620977
gemma,Gemma-2-27B,golem,Affiliation,37.878787878787875,-0.29869974107685654,-983.5979421795855,-431.1813526975917,-119.17171169590264,empathetic,18.727272727272727,0.11640001833438873,-0.835383877922251,agreeable,23.09090909090909,0.38654977083206177,-0.6726432080332359,altruistic,71.81818181818181,0.2945304214954376,0.6119278627249173
gemma,Gemma-2-27B,gossip,Affiliation,30.96969696969697,-1.1526790908734121,-84.4277141323848,1022.1538751735695,299.2281033588296,empathetic,83.0909090909091,0.1353977918624878,0.9495244522409462,agreeable,7.454545454545454,0.37430888414382935,-1.6617352838557053,altruistic,2.3636363636363638,0.2604384124279022,-2.745826441005477
gemma,Gemma-2-27B,grader,Affiliation,52.78787878787879,0.17035125282369146,753.7689075350848,-153.41893565531763,55.472132283569174,empathetic,25.272727272727273,0.11892618983983994,-0.5980410884194892,agreeable,88.54545454545455,0.4069846272468567,0.9785406534981395,altruistic,44.54545454545455,0.28964293003082275,0.13055419339242416
