persona,cluster,distance_from_centroid,cos_to_editor,cos_to_synthesizer,cos_to_blogger,cos_to_ancient,cos_to_trickster,cos_to_contrarian,cos_to_podcaster,nearest_named_cluster,nearest_cluster_cosine
vigilante,grounded_social,0.014545977,0.951282322,0.968974113,0.985454023,0.970407128,0.974306822,0.985082150,0.979561269,,
widow,grounded_social,0.014609814,0.946350157,0.966598094,0.985390186,0.977903366,0.970115423,0.963452101,0.978759706,,
auctioneer,grounded_social,0.014813781,0.964718759,0.977095246,0.985186219,0.973424971,0.983399510,0.979277432,0.981839061,,
addict,grounded_social,0.014825702,0.943093121,0.963221014,0.985174298,0.963075399,0.967838824,0.973361254,0.980529904,,
soldier,grounded_social,0.017494857,0.962804735,0.975113690,0.982505143,0.967932105,0.965157866,0.974113703,0.973642886,,
smuggler,grounded_social,0.017503619,0.940474391,0.958253562,0.982496381,0.962512136,0.974961817,0.977232873,0.977991462,,
saboteur,grounded_social,0.018515527,0.972155035,0.983956337,0.981484473,0.973387122,0.978749990,0.987684190,0.978150547,,
grandparent,grounded_social,0.018549681,0.939641893,0.957115114,0.981450319,0.965388119,0.968491971,0.955877900,0.978747964,,
hacker,grounded_social,0.018788278,0.960905612,0.975720942,0.981211722,0.967467368,0.977754235,0.985605001,0.978631616,,
exile,grounded_social,0.018877387,0.940052569,0.961465120,0.981122613,0.990281940,0.975149453,0.967696846,0.978350520,,
spy,grounded_social,0.018925905,0.967545569,0.979047656,0.981074095,0.971189857,0.973983049,0.980230093,0.974967241,,
criminal,grounded_social,0.020561099,0.929886639,0.949342728,0.979438901,0.961581767,0.972172618,0.975881457,0.976316690,,
surfer,grounded_social,0.020612121,0.935384631,0.957301438,0.979387879,0.970575631,0.970347047,0.963469028,0.975583911,,
daredevil,grounded_social,0.021081805,0.934152961,0.953284204,0.978918195,0.958361268,0.980620742,0.980376720,0.979638219,,
sommelier,grounded_social,0.023378015,0.967377067,0.977685213,0.976621985,0.973112702,0.971210718,0.962500572,0.969559193,,
pirate,grounded_social,0.055822372,0.898876429,0.916355908,0.944177628,0.942860246,0.947201490,0.932515204,0.944221199,,
ancient,mythic_spiritual,0.003034055,0.949423909,0.969183922,0.973892629,0.996965945,0.977101326,0.967733204,0.973349452,,
chimera,mythic_spiritual,0.003856897,0.952863038,0.972043157,0.981199205,0.996143103,0.985669911,0.977550745,0.982293844,,
sage,mythic_spiritual,0.004746437,0.954247057,0.973039269,0.975453377,0.995253563,0.973975539,0.963715017,0.972098708,,
narrator,mythic_spiritual,0.005047441,0.956615567,0.974582374,0.986329079,0.994952559,0.986952901,0.976328254,0.984616101,,
avatar,mythic_spiritual,0.005535781,0.946497858,0.966315210,0.969235361,0.994464219,0.971172750,0.957756996,0.968461752,,
dreamer,mythic_spiritual,0.005595148,0.942202032,0.963274240,0.973893046,0.994404852,0.978982389,0.962645292,0.975979924,,
oracle,mythic_spiritual,0.005659819,0.940815270,0.960795879,0.966938317,0.994340181,0.971571028,0.957166493,0.967646301,,
guru,mythic_spiritual,0.005680561,0.949996829,0.970319927,0.975669026,0.994319439,0.975680113,0.964864850,0.973998427,,
wanderer,mythic_spiritual,0.005856037,0.947181821,0.968980074,0.985718250,0.994143963,0.982842565,0.972254932,0.982655346,,
hermit,mythic_spiritual,0.006011665,0.939810932,0.959949195,0.972669780,0.993988335,0.972463608,0.959052861,0.972083509,,
ghost,mythic_spiritual,0.006571054,0.936268687,0.956830323,0.971607983,0.993428946,0.974559069,0.960804641,0.972552538,,
echo,mythic_spiritual,0.006800771,0.935732782,0.956881583,0.966087580,0.993199229,0.969162762,0.956393003,0.967203200,,
familiar,mythic_spiritual,0.007149637,0.947105944,0.963530779,0.970194578,0.992850363,0.972663403,0.956546843,0.970442653,,
spirit,mythic_spiritual,0.007238805,0.938823342,0.959987640,0.966513455,0.992761195,0.967709839,0.952917635,0.965790987,,
elder,mythic_spiritual,0.007999539,0.952182949,0.971161127,0.985668957,0.992000461,0.978222191,0.967861891,0.981897175,,
wind,mythic_spiritual,0.008547664,0.939395189,0.959838450,0.972565711,0.991452336,0.971919775,0.956303120,0.972217858,,
homunculus,mythic_spiritual,0.008761168,0.951118410,0.966800809,0.970657349,0.991238832,0.975958645,0.966070950,0.972106934,,
virtuoso,mythic_spiritual,0.008887589,0.972641230,0.986911297,0.986085296,0.991112411,0.983993292,0.980237007,0.981667161,,
novelist,mythic_spiritual,0.009383857,0.967857838,0.983181596,0.988829851,0.990616143,0.986034155,0.982055902,0.984863997,,
whale,mythic_spiritual,0.009435058,0.942328393,0.962690830,0.971176028,0.990564942,0.970233321,0.956228673,0.971161544,,
pilgrim,mythic_spiritual,0.009605408,0.940288007,0.961627007,0.968847990,0.990394592,0.966499686,0.951552331,0.965894580,,
wraith,mythic_spiritual,0.009740949,0.927405715,0.947751760,0.961814046,0.990259051,0.967637479,0.953075588,0.964175344,,
prophet,mythic_spiritual,0.009782255,0.930538893,0.951396942,0.961424947,0.990217745,0.966205359,0.955179036,0.963107824,,
revenant,mythic_spiritual,0.010438681,0.932439864,0.952010512,0.968331099,0.989561319,0.968987346,0.959398389,0.968628407,,
martyr,mythic_spiritual,0.010904431,0.949084997,0.968226612,0.974872410,0.989095569,0.968601525,0.966333032,0.970291495,,
artisan,mythic_spiritual,0.010942578,0.966341674,0.982154906,0.986003041,0.989057422,0.977361917,0.970389843,0.979903162,,
bohemian,mythic_spiritual,0.011390924,0.941083968,0.964622319,0.981826663,0.988609076,0.987068355,0.974737406,0.982320070,,
eldritch,mythic_spiritual,0.011476517,0.928203762,0.949089825,0.955126405,0.988523483,0.967868865,0.955002248,0.960594773,,
void,mythic_spiritual,0.011901498,0.932885647,0.952692628,0.960061193,0.988098502,0.969171762,0.958244801,0.966153383,,
witch,mythic_spiritual,0.011974096,0.934199989,0.954011798,0.962580800,0.988025904,0.967199683,0.949781775,0.963461637,,
alien,mythic_spiritual,0.012103200,0.959197342,0.975068927,0.973106503,0.987896800,0.980347276,0.971008956,0.977537751,,
mystic,mythic_spiritual,0.012116969,0.935026526,0.956977189,0.961240828,0.987883031,0.964343429,0.949109018,0.960764408,,
flaneur,mythic_spiritual,0.012183189,0.952457726,0.971330464,0.980728984,0.987816811,0.984460115,0.976361752,0.979601502,,
golem,mythic_spiritual,0.012335956,0.938449979,0.954119086,0.962773621,0.987664044,0.962233186,0.947451293,0.965668559,,
zeitgeist,mythic_spiritual,0.012670279,0.966938198,0.986049771,0.986288428,0.987329721,0.984213769,0.984948397,0.982741654,,
ascetic,mythic_spiritual,0.012971103,0.937778831,0.955880284,0.958446443,0.987028897,0.960632205,0.952441156,0.957912087,,
angel,mythic_spiritual,0.013050973,0.939310551,0.958359301,0.963680744,0.986949027,0.961389661,0.944498420,0.962233424,,
nomad,mythic_spiritual,0.013182282,0.965581059,0.983874381,0.994287133,0.986817718,0.985454381,0.980763435,0.989165723,,
bard,mythic_spiritual,0.013399363,0.930196941,0.948687434,0.962520361,0.986600637,0.969162941,0.947104573,0.964543343,,
simulacrum,mythic_spiritual,0.013482273,0.956637323,0.973087430,0.974317074,0.986517727,0.980375350,0.978925109,0.975143313,,
tree,mythic_spiritual,0.013865232,0.930042624,0.952000618,0.962268710,0.986134768,0.960539401,0.944844425,0.964065909,,
romantic,mythic_spiritual,0.013880134,0.944632888,0.965640068,0.978999972,0.986119866,0.975301623,0.960874677,0.975640178,,
mycorrhizal,mythic_spiritual,0.013922691,0.944098532,0.964974105,0.968182683,0.986077309,0.965801120,0.954389334,0.968147099,,
coral reef,mythic_spiritual,0.014147758,0.944627643,0.965055048,0.971278906,0.985852242,0.968045354,0.955899417,0.971010506,,
vampire,mythic_spiritual,0.014182270,0.930902660,0.949081719,0.963247061,0.985817730,0.970570505,0.960026264,0.964926243,,
aberration,mythic_spiritual,0.015405595,0.933986127,0.952857792,0.963766813,0.984594405,0.978078008,0.973342597,0.970321536,,
predator,mythic_spiritual,0.015434265,0.953665316,0.969514012,0.977857113,0.984565735,0.974036276,0.972295165,0.976590574,,
warrior,mythic_spiritual,0.015623689,0.946989775,0.964430571,0.977282763,0.984376311,0.971870422,0.969594955,0.973709345,,
demon,mythic_spiritual,0.016041636,0.932262957,0.949783683,0.964527965,0.983958364,0.978710353,0.970221698,0.969547570,,
shaman,mythic_spiritual,0.016612768,0.931971729,0.953967929,0.960139513,0.983387232,0.957415223,0.941150784,0.959061980,,
leviathan,mythic_spiritual,0.017219305,0.918219209,0.938470006,0.951108217,0.982780695,0.957899332,0.943432033,0.955217242,,
parasite,mythic_spiritual,0.017426968,0.958137274,0.973156989,0.974546432,0.982573032,0.977313578,0.975144625,0.976239741,,
purist,mythic_spiritual,0.018137455,0.974571884,0.983488441,0.972487569,0.981862545,0.968392670,0.972440004,0.968364179,,
musician,mythic_spiritual,0.018182755,0.961346984,0.977967024,0.985356808,0.981817245,0.978557527,0.970482945,0.981184781,,
photographer,mythic_spiritual,0.018608570,0.965643287,0.981310606,0.988317370,0.981391430,0.977772653,0.974394500,0.981561184,,
composer,mythic_spiritual,0.019354463,0.971363723,0.983166814,0.977716327,0.980645537,0.973254859,0.967302740,0.973182440,,
philosopher,mythic_spiritual,0.019541144,0.971876383,0.983433366,0.970921397,0.980458856,0.969370246,0.970049500,0.967793286,,
traditionalist,mythic_spiritual,0.020988405,0.970502019,0.980813265,0.972389162,0.979011595,0.963115692,0.962909997,0.965852618,,
loner,mythic_spiritual,0.021019578,0.960356474,0.975915730,0.990180492,0.978980422,0.978410184,0.981249034,0.986584127,,
virus,mythic_spiritual,0.022040606,0.960216224,0.974540234,0.972507358,0.977959394,0.971807420,0.973731160,0.972891450,,
stoic,mythic_spiritual,0.023456633,0.953525960,0.964784622,0.959435523,0.976543367,0.954896092,0.953002751,0.955120385,,
podcaster,other,0.011374831,0.973033309,0.987767518,0.994243264,0.976479173,0.983462095,0.985575438,0.988625169,blogger,0.7287349104881287
hoarder,other,0.012399256,0.943491876,0.960061908,0.981248081,0.964241803,0.980274200,0.973504186,0.987600744,trickster,-0.0036600809544324875
fool,other,0.013281763,0.931388378,0.948166668,0.973940730,0.958242416,0.983938813,0.969782114,0.986718237,trickster,0.205818772315979
luddite,other,0.015654683,0.950855494,0.969686985,0.983873308,0.982503653,0.983479619,0.981920540,0.984345317,ancient,0.47802287340164185
amnesiac,other,0.020077825,0.936195850,0.955722213,0.977750421,0.977688789,0.970416605,0.962224364,0.979922175,ancient,0.40015292167663574
prey,other,0.023703039,0.938077807,0.957078099,0.974505365,0.980699837,0.967887640,0.960779309,0.976296961,ancient,0.5258350968360901
moderator,other,0.023816943,0.991982579,0.995903373,0.983182430,0.966196001,0.966309905,0.970559537,0.976183057,synthesizer,0.915029764175415
gossip,other,0.024533629,0.929368973,0.944118321,0.968731344,0.941938758,0.976815999,0.972009361,0.975466371,trickster,0.2821313738822937
narcissist,other,0.024969935,0.942270100,0.954547286,0.970283329,0.956092536,0.974098563,0.979584575,0.975030065,contrarian,0.43588072061538696
comedian,other,0.025701523,0.928530872,0.942154527,0.963345468,0.939104795,0.979153633,0.971720219,0.974298477,trickster,0.3879416882991791
gamer,other,0.025893152,0.952308178,0.966118574,0.972597301,0.954799354,0.970982075,0.970564008,0.974106848,synthesizer,0.25177276134490967
procrastinator,other,0.026149333,0.927020073,0.939116597,0.962711155,0.928730726,0.964139640,0.964587450,0.973850667,contrarian,0.02955041453242302
interviewer,other,0.026334286,0.988121271,0.989691496,0.980090380,0.963158488,0.964533210,0.969548821,0.973665714,editor,0.8060394525527954
adolescent,other,0.030537009,0.919171989,0.934900939,0.963626564,0.922223926,0.949685991,0.953156590,0.969462991,blogger,-0.04727008938789368
teenager,other,0.030917287,0.920671642,0.935833633,0.963785887,0.921630263,0.949550986,0.953302383,0.969082713,blogger,-0.027740780264139175
zealot,other,0.036095202,0.941005111,0.957393169,0.961776733,0.978807569,0.966428876,0.971846461,0.963904798,ancient,0.6314880847930908
robot,other,0.039238632,0.985362411,0.986362100,0.961664617,0.955537260,0.954766631,0.961630583,0.960761368,synthesizer,0.812240719795227
crystalline,other,0.041729391,0.953014135,0.967995644,0.956973910,0.977719307,0.958702147,0.951888502,0.958270609,ancient,0.6973540782928467
poet,other,0.043480277,0.915873408,0.937591732,0.954104483,0.977803707,0.959873915,0.941282213,0.956519723,ancient,0.6517910957336426
caveman,other,0.052210331,0.893046916,0.912606359,0.935150743,0.941046715,0.933322668,0.919464111,0.947789669,ancient,0.13057753443717957
toddler,other,0.060855806,0.874144495,0.889147282,0.915719271,0.891149879,0.921283126,0.899667203,0.939144194,trickster,-0.2948039174079895
infant,other,0.064769864,0.880107999,0.893699646,0.914530754,0.906816661,0.916525483,0.893584073,0.935230136,ancient,-0.25478488206863403
synthesizer,procedural_professional,0.001020789,0.990206718,0.998979211,0.984554350,0.975964069,0.974327683,0.978126526,0.979157567,,
interpreter,procedural_professional,0.001553297,0.990742445,0.998446703,0.986764550,0.974394143,0.974388897,0.978103101,0.981416643,,
generalist,procedural_professional,0.002398193,0.990564704,0.997601807,0.980027139,0.968121409,0.969049573,0.974581897,0.974859655,,
organizer,procedural_professional,0.002653897,0.993651688,0.997346103,0.979822040,0.964730322,0.966082036,0.971695602,0.974116683,,
guide,procedural_professional,0.002756119,0.986974895,0.997243881,0.991646588,0.980413914,0.978616476,0.979941726,0.985322535,,
curator,procedural_professional,0.002784908,0.987848520,0.997215092,0.985909045,0.978627145,0.975908637,0.976544917,0.979759812,,
emissary,procedural_professional,0.002868533,0.987608075,0.997131467,0.984380305,0.977218926,0.970883727,0.972809911,0.976333797,,
assistant,procedural_professional,0.002884269,0.993221641,0.997115731,0.982280791,0.965576649,0.967395186,0.972151577,0.976719022,,
negotiator,procedural_professional,0.002912581,0.990677118,0.997087419,0.983618677,0.968809366,0.968152881,0.974365175,0.975349307,,
consultant,procedural_professional,0.003269732,0.993544817,0.996730268,0.977795422,0.961900115,0.963733375,0.971531689,0.971180141,,
publisher,procedural_professional,0.003378808,0.992171347,0.996621192,0.980932474,0.967782438,0.967820585,0.973153472,0.973628879,,
ambassador,procedural_professional,0.003422260,0.990061522,0.996577740,0.980760574,0.970395446,0.965557098,0.969789147,0.972451687,,
mentor,procedural_professional,0.003503919,0.989051700,0.996496081,0.987874806,0.969879448,0.972204208,0.977983415,0.979953885,,
coordinator,procedural_professional,0.003570676,0.992172778,0.996429324,0.979402602,0.962978065,0.963394701,0.969569445,0.971676230,,
reviewer,procedural_professional,0.003584862,0.995494604,0.996415138,0.975534439,0.962971270,0.962481141,0.970055878,0.969537020,,
librarian,procedural_professional,0.003620803,0.992811799,0.996379197,0.978486896,0.967730880,0.966869533,0.969081640,0.973231912,,
journalist,procedural_professional,0.003707409,0.991320610,0.996292591,0.982607961,0.968870163,0.968442798,0.976519227,0.975390673,,
strategist,procedural_professional,0.003752589,0.990792036,0.996247411,0.977406263,0.964258194,0.965082109,0.973281205,0.971041858,,
analyst,procedural_professional,0.003781438,0.993767381,0.996218562,0.975366712,0.961367130,0.962594211,0.970012248,0.970031500,,
mediator,procedural_professional,0.003786206,0.989698470,0.996213794,0.983865976,0.969335556,0.966682971,0.971104562,0.975958169,,
polymath,procedural_professional,0.003914833,0.987659693,0.996085167,0.978277683,0.971706271,0.971006274,0.975009918,0.973982573,,
instructor,procedural_professional,0.003961146,0.993039250,0.996038854,0.981011629,0.964374602,0.967122316,0.971204102,0.976337373,,
observer,procedural_professional,0.003964782,0.993219674,0.996035218,0.976671815,0.968081713,0.963793814,0.968920946,0.971298277,,
critic,procedural_professional,0.004040897,0.989526153,0.995959103,0.981393695,0.975681663,0.973099113,0.978512883,0.975218415,,
reporter,procedural_professional,0.004111707,0.989830375,0.995888293,0.984985769,0.969646990,0.970481932,0.977068543,0.977372766,,
specialist,procedural_professional,0.004293561,0.991509795,0.995706439,0.974999607,0.963829279,0.964732528,0.972354591,0.970312953,,
peacekeeper,procedural_professional,0.004395366,0.987514377,0.995604634,0.984468281,0.972299755,0.967395902,0.970436335,0.976372421,,
teacher,procedural_professional,0.004421175,0.990725517,0.995578825,0.984890223,0.966703236,0.969817638,0.972770810,0.980122328,,
forecaster,procedural_professional,0.004547715,0.988922656,0.995452285,0.976512194,0.963839531,0.964695394,0.972917080,0.970523298,,
tutor,procedural_professional,0.004607916,0.991610706,0.995392084,0.984109938,0.965756714,0.969870865,0.973374188,0.979891717,,
detective,procedural_professional,0.004638493,0.988880217,0.995361507,0.985572040,0.974192142,0.975430906,0.979893804,0.980505586,,
collaborator,procedural_professional,0.004655540,0.987967908,0.995344460,0.986499131,0.967933297,0.969184399,0.972023487,0.978866518,,
writer,procedural_professional,0.004658818,0.984131575,0.995341182,0.993116021,0.986919165,0.984080017,0.983687401,0.987449586,,
dispatcher,procedural_professional,0.004677474,0.991892815,0.995322526,0.978161097,0.962793529,0.963753581,0.969815791,0.971717060,,
engineer,procedural_professional,0.004694939,0.990722954,0.995305061,0.976307571,0.962588131,0.964467168,0.972010314,0.971267164,,
researcher,procedural_professional,0.004700661,0.993143857,0.995299339,0.972592711,0.961142182,0.961007059,0.967750669,0.967709303,,
evaluator,procedural_professional,0.004786313,0.994521201,0.995213687,0.972408950,0.959657252,0.959679544,0.967210472,0.967153788,,
technologist,procedural_professional,0.004831672,0.985494137,0.995168328,0.982151151,0.967880607,0.971552908,0.977883995,0.976561964,,
producer,procedural_professional,0.004883111,0.988606215,0.995116889,0.984598398,0.966997445,0.970787466,0.976296782,0.976723969,,
trainer,procedural_professional,0.005074918,0.991124272,0.994925082,0.981375217,0.963561773,0.967389166,0.972439885,0.975975037,,
facilitator,procedural_professional,0.005191922,0.990014136,0.994808078,0.981662810,0.963977873,0.964511693,0.968588829,0.974417329,,
witness,procedural_professional,0.005198836,0.985954821,0.994801164,0.988900065,0.983113050,0.976287425,0.977947950,0.982629716,,
planner,procedural_professional,0.005226731,0.992794752,0.994773269,0.975055635,0.959038436,0.961341679,0.967704237,0.969360709,,
prodigy,procedural_professional,0.005348265,0.982141376,0.994651735,0.988629162,0.984353125,0.984870195,0.985973835,0.985959768,,
advocate,procedural_professional,0.005373657,0.982105970,0.994626343,0.988924861,0.977154851,0.974678636,0.980479360,0.981117010,,
scientist,procedural_professional,0.005428791,0.991916895,0.994571209,0.971891105,0.961247444,0.960837841,0.967505276,0.967788517,,
designer,procedural_professional,0.005604506,0.985418379,0.994395494,0.983268559,0.970772028,0.971687317,0.973921061,0.976808429,,
perfectionist,procedural_professional,0.005820453,0.988795340,0.994179547,0.982386708,0.976388931,0.974773288,0.981597424,0.977827787,,
hybrid,procedural_professional,0.005889297,0.979573727,0.994110703,0.988445342,0.982438803,0.979082406,0.978062391,0.982519507,,
cyborg,procedural_professional,0.005961418,0.983716428,0.994038582,0.982502639,0.977460861,0.975365818,0.977966309,0.979439378,,
coach,procedural_professional,0.006120741,0.986417353,0.993879259,0.986125648,0.967107594,0.970057547,0.974227011,0.979063332,,
pragmatist,procedural_professional,0.006136298,0.986944199,0.993863702,0.984301209,0.963029146,0.969477952,0.979857683,0.977908611,,
scholar,procedural_professional,0.006155491,0.990115881,0.993844509,0.970760942,0.966362059,0.961837888,0.967731476,0.965978861,,
builder,procedural_professional,0.006236911,0.982980251,0.993763089,0.988728642,0.977355957,0.975367904,0.978193521,0.981783748,,
archivist,procedural_professional,0.006263196,0.987153411,0.993736804,0.977745593,0.972603619,0.965601265,0.967404842,0.971083760,,
ecosystem,procedural_professional,0.006305277,0.979701161,0.993694723,0.983154118,0.981378257,0.971517146,0.970742583,0.977274954,,
supervisor,procedural_professional,0.006413102,0.992962122,0.993586898,0.974271476,0.956876874,0.957140923,0.965050697,0.966301858,,
doctor,procedural_professional,0.006428242,0.989381135,0.993571758,0.977674186,0.962198794,0.960651338,0.964839339,0.970916390,,
cosmopolitan,procedural_professional,0.006433547,0.980405390,0.993566453,0.990155458,0.980929375,0.980925620,0.979410648,0.983096898,,
validator,procedural_professional,0.006467938,0.994381547,0.993532062,0.970857799,0.956959248,0.958218932,0.966220379,0.966164887,,
collector,procedural_professional,0.006523490,0.983041048,0.993476510,0.985417902,0.982102096,0.977711558,0.976288795,0.979910374,,
navigator,procedural_professional,0.006562591,0.983701468,0.993437409,0.987353027,0.977705002,0.975450099,0.974698424,0.980686307,,
architect,procedural_professional,0.006580710,0.984818697,0.993419290,0.978856206,0.968130767,0.965771675,0.969558477,0.971592844,,
debugger,procedural_professional,0.006615341,0.991097629,0.993384659,0.976724505,0.960361719,0.964640915,0.971712589,0.972648144,,
judge,procedural_professional,0.006690323,0.992064297,0.993309677,0.972882986,0.965699792,0.960283399,0.966888070,0.966617286,,
futurist,procedural_professional,0.006765962,0.982151568,0.993234038,0.976865172,0.966953278,0.968210042,0.975123644,0.971374571,,
guardian,procedural_professional,0.006797194,0.981427908,0.993202806,0.988091350,0.983612061,0.973780096,0.976038158,0.981342435,,
recruiter,procedural_professional,0.007044554,0.988169909,0.992955446,0.981865346,0.961684585,0.964669466,0.972306490,0.972353637,,
networker,procedural_professional,0.007057548,0.982297838,0.992942452,0.987613320,0.968369424,0.971258759,0.974395394,0.978750467,,
summarizer,procedural_professional,0.007147789,0.990954101,0.992852211,0.973406672,0.958979070,0.955916047,0.962074518,0.966035604,,
psychologist,procedural_professional,0.007201433,0.986948133,0.992798567,0.975084305,0.963326514,0.962812781,0.967890263,0.970183551,,
scout,procedural_professional,0.007208169,0.981691420,0.992791831,0.988666415,0.979739308,0.976944804,0.979624450,0.982215524,,
realist,procedural_professional,0.007212698,0.984634101,0.992787302,0.985264122,0.967162132,0.971513450,0.984800696,0.979141355,,
cartographer,procedural_professional,0.007332802,0.984179497,0.992667198,0.980007708,0.974516630,0.969196737,0.969545782,0.974205911,,
symbiont,procedural_professional,0.007495761,0.978005290,0.992504239,0.985159397,0.983368695,0.976305604,0.974526763,0.980330706,,
sociologist,procedural_professional,0.007765114,0.985199928,0.992234886,0.972276688,0.962399721,0.960031927,0.967608571,0.966321290,,
theorist,procedural_professional,0.007914543,0.985050797,0.992085457,0.970048547,0.967769861,0.963830650,0.969286382,0.966648042,,
skeptic,procedural_professional,0.008083701,0.988772869,0.991916299,0.974749565,0.964115262,0.967182517,0.978182912,0.971631408,,
scheduler,procedural_professional,0.008183241,0.989636421,0.991816759,0.976210535,0.958634257,0.962135255,0.966564834,0.970064521,,
biologist,procedural_professional,0.008313894,0.983730137,0.991686106,0.973175168,0.966428399,0.962347627,0.966019630,0.969112754,,
