concept_type,variant,model,split,PC1_R2,PC1_Pearson_r,PC1_Spearman_r,PC1_RMSE,PC2_R2,PC2_Pearson_r,PC2_Spearman_r,PC2_RMSE,PC3_R2,PC3_Pearson_r,PC3_Spearman_r,PC3_RMSE,mean_R2
trait,description_plus_questions,elastic_net_tfidf,heldout,0.25059534019155316,0.5112968773349508,0.501688555347092,38.395478082380265,0.15347354507018096,0.45476123101622623,0.4547842401500939,29.49036249865571,0.3215203858806889,0.5846275345729848,0.5949343339587243,27.330718425469264,0.24186309038080767
trait,description_plus_questions,gradient_boosting_tfidf,train,0.859214585158934,0.9632148871248966,0.9539236834438725,16.46755258157277,0.8375799372743321,0.9625888877005422,0.9606299862224155,12.077839285186874,0.8720712994141105,0.9677511893827874,0.9553613249067162,9.19912793822856,0.8562886072824588
trait,description_plus_questions,gradient_boosting_tfidf,heldout,0.3508246109525678,0.6138911918582937,0.6249530956848031,35.73575059118136,-0.1585435257107186,-0.029685369643676705,0.0326454033771107,34.49975578639435,0.16790264382991482,0.41778053187880554,0.45984990619136973,30.26702373571846,0.12006124302392134
trait,description_plus_questions,small_mlp_tfidf,train,0.7828594546017754,0.9089481500377319,0.9358673966849173,20.451289128204365,0.8426939655104754,0.9311664578535819,0.9401020025500639,11.88617447647221,0.8379073741347017,0.9264832773847864,0.9331508287707194,10.354861477801203,0.8211535980823176
trait,description_plus_questions,small_mlp_tfidf,heldout,0.26651226017169116,0.5557671196164617,0.5560975609756098,37.98554085896609,0.15736009983293409,0.47667420431130225,0.48480300187617265,29.42258684523635,0.35774079388487223,0.6685040347228943,0.6332082551594748,26.591192582208432,0.2605377179631658
trait,description_plus_instructions_plus_questions,mean_predictor,train,0.0,,,43.88844829994539,0.0,,,29.96880386201037,0.0,,,25.71950847841671,0.0
trait,description_plus_instructions_plus_questions,mean_predictor,heldout,-0.029057556122331185,,,44.99266499370772,-0.03421351522279936,,,32.596047949537834,-0.006521665733420612,,,33.2884987796416,-0.023264245692850388
trait,description_plus_instructions_plus_questions,random_predictor,heldout,-0.3452538450253928,0.17888672936102315,0.2078799249530957,51.44272976468815,-0.8931446391686229,-0.16514184448093847,-0.18949343339587246,44.10133553500918,-0.27239288236909287,0.023029269505477894,0.009756097560975611,37.427710517558914,-0.5035971221877028
trait,description_plus_instructions_plus_questions,nearest_neighbor_semantic_retrieval,heldout,0.17476373602709672,0.5530257243035246,0.5928879819156402,40.291277452699596,-0.20896354970097453,0.39181785842737604,0.34893976970157714,35.24247879289912,-0.06538518530649817,0.38160187685296454,0.38403078176621547,34.24805978713796,-0.033194999660125325
trait,description_plus_instructions_plus_questions,ridge_tfidf,train,0.995036287589914,0.9993202436811729,0.9993204830120755,3.0921000087615127,0.9940309705912309,0.9993655472309801,0.999162979074477,2.315374621317191,0.9942489089434673,0.9991107870074615,0.9985629640741019,1.9504633156050994,0.9944387223748707
trait,description_plus_instructions_plus_questions,ridge_tfidf,heldout,0.3810589171700751,0.6311785265099246,0.6262664165103191,34.89366121599659,0.2875106308250812,0.5950064384059948,0.6170731707317073,27.05509342359171,0.43811517304251624,0.7148913921846294,0.7056285178236398,24.871747415512985,0.36889490701255756
trait,description_plus_instructions_plus_questions,elastic_net_tfidf,train,0.9997463861696684,0.9999647231819654,0.9999069976749421,0.6989348458126636,0.999631893426526,0.9999611501127748,0.9998694967374187,0.5749845773235233,0.9995890609994689,0.9999337887173867,0.9997599939998502,0.5213763708683972,0.9996557801985544
trait,description_plus_instructions_plus_questions,elastic_net_tfidf,heldout,0.40412058058047895,0.647105442919856,0.6345215759849907,34.237423742763774,0.2877809215852958,0.5860229514718233,0.6082551594746718,27.049961111616547,0.43067810995203215,0.6883176129357913,0.6971857410881802,25.035806571527907,0.374193204039269
trait,description_plus_instructions_plus_questions,gradient_boosting_tfidf,train,0.9022734881375388,0.9751099412858389,0.9726558163954101,13.720073101179548,0.8594379535549377,0.9709224966215056,0.9713417835445888,11.235785643006114,0.9124158458273223,0.9765742717243397,0.9701342533563341,7.611590838217281,0.8913757625065996
trait,description_plus_instructions_plus_questions,gradient_boosting_tfidf,heldout,0.2690928068781374,0.5218993386073144,0.5204502814258912,37.91866187433391,-0.040801320032288535,0.1497387928488504,0.14221388367729834,32.69969943078674,0.2571692888637478,0.5200239108540914,0.4703564727954973,28.59746726861262,0.16182025856986557
trait,description_plus_instructions_plus_questions,small_mlp_tfidf,train,0.6828975129412909,0.8821382459643936,0.9164389109727744,24.71439881133656,0.7484147282524123,0.915051917173014,0.9254256356408911,15.031835552724573,0.7654800852715127,0.9000900631909681,0.9043576089402237,12.45525227544148,0.7322641088217386
trait,description_plus_instructions_plus_questions,small_mlp_tfidf,heldout,0.3221836768656887,0.6260464781725115,0.6348968105065667,36.51555422241452,0.22260680480746475,0.5869557603369557,0.6431519699812384,28.26052404950138,0.40235740166760914,0.7582729993062431,0.7245778611632271,25.65094791842029,0.3157159611135875
trait,leakage_control,mean_predictor,train,0.0,,,43.88844829994539,0.0,,,29.96880386201037,0.0,,,25.71950847841671,0.0
trait,leakage_control,mean_predictor,heldout,-0.029057556122331185,,,44.99266499370772,-0.03421351522279936,,,32.596047949537834,-0.006521665733420612,,,33.2884987796416,-0.023264245692850388
trait,leakage_control,random_predictor,heldout,-0.3452538450253928,0.17888672936102315,0.2078799249530957,51.44272976468815,-0.8931446391686229,-0.16514184448093847,-0.18949343339587246,44.10133553500918,-0.27239288236909287,0.023029269505477894,0.009756097560975611,37.427710517558914,-0.5035971221877028
trait,leakage_control,nearest_neighbor_semantic_retrieval,heldout,0.1945290291773104,0.5765385582268534,0.6186253982072529,39.80584352793643,-0.19745150437540948,0.40142261312766664,0.3638752152658466,35.07428370387584,-0.06058104759772731,0.3839679750704056,0.3890218263259928,34.17075521294992,-0.021167840931942128
trait,leakage_control,ridge_tfidf,train,0.9951334273170556,0.9993414966361093,0.9993294832370812,3.0616943545366127,0.9941650869956021,0.9993862176516684,0.9991749793744845,2.2892151007310737,0.9943113770590485,0.9991212003348836,0.9985494637365935,1.9398414669945496,0.9945366304572354
trait,leakage_control,ridge_tfidf,heldout,0.3888956995632509,0.6378923143307478,0.6341463414634146,34.67205276871455,0.3012678647319581,0.6097230147686695,0.6420262664165104,26.792621089407046,0.45579860701891783,0.7345231793656897,0.7242026266416511,24.477241391033786,0.38198739043804225
trait,leakage_control,elastic_net_tfidf,train,0.9997512739728199,0.9999658311292712,0.9998979974499363,0.6921669251916218,0.9996389407375398,0.9999620957978056,0.9998664966624168,0.5694540089614893,0.9995926900703028,0.9999344060862964,0.9997569939248482,0.519069084731833,0.9996609682602209
trait,leakage_control,elastic_net_tfidf,heldout,0.4141886666383784,0.655652186951053,0.6581613508442777,33.94695070366985,0.30361602902953866,0.6017424302403971,0.6360225140712946,26.747563463618366,0.4499792301938743,0.7081589027571247,0.7003752345215761,24.6077661532339,0.3892613086205971
