model,model_label,trait_set,K,profile_id,profile_size,profile_proportion,eligible_primary_k,human_stability_tier,projection_status,model_usability_gate,ridge_pc1,ridge_pc2,ridge_pc3,display_aligned_x,display_aligned_y,display_aligned_z
qwen,Qwen 3 32B,45,8,H08_H,1936,0.136280444882,True,low,PRIMARY_ELIGIBLE,USABLE,-325.742753268,-1.89692910023,115.458349618,-10.8490899498,-0.0883312420196,7.33224807581
qwen,Qwen 3 32B,45,9,H09_A,1172,0.082500351964,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,278.245610281,14.911111019,276.57658357,9.26716442284,0.694341689442,17.5641530422
qwen,Qwen 3 32B,45,9,H09_B,2017,0.141982261016,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,-513.612436775,-371.639396799,-164.378002791,-17.1062209981,-17.3055331898,-10.4389184382
qwen,Qwen 3 32B,45,9,H09_C,1523,0.107208221878,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,266.810315198,524.240080874,312.453444477,8.88630393182,24.4114434506,19.8425334732
qwen,Qwen 3 32B,45,9,H09_D,1847,0.130015486414,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,267.513850216,280.436416964,-307.509728786,8.90973565704,13.0586309288,-19.52858
qwen,Qwen 3 32B,45,9,H09_E,1218,0.0857384203858,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,-350.362815824,-509.830444807,-143.24995583,-11.6690783319,-23.7404531376,-9.09716981463
qwen,Qwen 3 32B,45,9,H09_F,2508,0.17654512178,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,-434.896484169,68.3721755013,168.375658137,-14.4845312084,3.18377696925,10.6927918117
qwen,Qwen 3 32B,45,9,H09_G,1422,0.100098549908,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,361.65102742,405.358311832,107.952754257,12.0450401047,18.875667595,6.85560097903
qwen,Qwen 3 32B,45,9,H09_H,888,0.062508799099,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,494.448364181,396.388398594,129.063471646,16.467948173,18.4579800931,8.19624907823
qwen,Qwen 3 32B,45,9,H09_I,1611,0.113402787555,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,-392.492989281,-137.753393867,110.720493053,-13.0722531896,-6.41454041233,7.03136780343
qwen,Qwen 3 32B,45,10,H10_A,1180,0.0830634942982,True,low,PRIMARY_ELIGIBLE,USABLE,218.426784724,-133.870849371,158.165597662,7.27485665037,-6.23374821638,10.0443961217
qwen,Qwen 3 32B,45,10,H10_B,1203,0.0846825285091,True,low,PRIMARY_ELIGIBLE,USABLE,539.438840329,510.074138096,186.838778424,17.9663874098,23.7518008104,11.8653027531
qwen,Qwen 3 32B,45,10,H10_C,1940,0.13656201605,True,low,PRIMARY_ELIGIBLE,USABLE,-62.9817514296,82.4420076421,-332.712927182,-2.09765122816,3.83894418023,-21.1291234302
qwen,Qwen 3 32B,45,10,H10_D,1890,0.133042376461,True,low,PRIMARY_ELIGIBLE,USABLE,-199.87832483,363.631886855,341.328378477,-6.65708723629,16.932660372,21.6762525585
qwen,Qwen 3 32B,45,10,H10_E,1518,0.106856257919,True,low,PRIMARY_ELIGIBLE,USABLE,-455.034026151,-477.209424103,-158.029346843,-15.1552261115,-22.2214426092,-10.035743436
qwen,Qwen 3 32B,45,10,H10_F,2001,0.140855976348,True,low,PRIMARY_ELIGIBLE,USABLE,-552.449658202,-394.949226259,-126.835928933,-18.399721788,-18.390964473,-8.05478771297
qwen,Qwen 3 32B,45,10,H10_G,1157,0.0814444600873,True,low,PRIMARY_ELIGIBLE,USABLE,439.074173697,345.941703925,-9.27416200713,14.6236720765,16.1089101171,-0.588960926226
qwen,Qwen 3 32B,45,10,H10_H,777,0.0546951992116,True,low,PRIMARY_ELIGIBLE,USABLE,289.16412334,173.629114918,137.783757963,9.63081312755,8.08510732932,8.75003581414
qwen,Qwen 3 32B,45,10,H10_I,1491,0.104955652541,True,low,PRIMARY_ELIGIBLE,USABLE,72.6656973409,394.818251961,192.798687037,2.4201818116,18.3848656039,12.2437901349
qwen,Qwen 3 32B,45,10,H10_J,1049,0.0738420385752,True,low,PRIMARY_ELIGIBLE,USABLE,-31.0239081412,96.8651621861,386.428358226,-1.03327293283,4.51056398645,24.5403523904
llama,LLaMA 3.3 70B,45,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,11.9476958616,8.57089599697,4.35095740767,2.47801868236,10.3888496209,10.5603491219
llama,LLaMA 3.3 70B,45,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,-1.16862516809,-4.8881947172,-3.60152047856,1.08026489562,-2.37822473848,-8.26962611537
llama,LLaMA 3.3 70B,45,4,H04_C,3304,0.232577784035,True,moderate,PRIMARY_ELIGIBLE,USABLE,1.35564838811,-2.73972790752,4.6737654445,4.43115978948,-2.6022023543,8.4620655224
llama,LLaMA 3.3 70B,45,4,H04_D,2183,0.153667464452,True,moderate,PRIMARY_ELIGIBLE,USABLE,-11.3748244865,-3.15982800561,-1.42191101707,-4.48959478721,-7.78025164908,-3.47242383837
llama,LLaMA 3.3 70B,45,5,H05_A,3405,0.239687456005,True,moderate,PRIMARY_ELIGIBLE,USABLE,1.23255185132,-4.33649126156,-2.85882068621,2.28645331266,-0.964972050666,-6.69816934236
llama,LLaMA 3.3 70B,45,5,H05_B,3813,0.26840771505,True,moderate,PRIMARY_ELIGIBLE,USABLE,13.0679302293,9.23554715358,4.34624962854,2.62994579494,11.4246363097,10.7070388026
llama,LLaMA 3.3 70B,45,5,H05_C,2847,0.200408278192,True,moderate,PRIMARY_ELIGIBLE,USABLE,1.257224176,-2.40423484182,4.94410058157,4.27302686657,-2.54681416652,9.07664469088
llama,LLaMA 3.3 70B,45,5,H05_D,1730,0.121779529776,True,moderate,PRIMARY_ELIGIBLE,USABLE,-13.1883752428,-3.3174268592,-3.06899765252,-6.0193296733,-8.30005978572,-6.72311728195
llama,LLaMA 3.3 70B,45,5,H05_E,2411,0.169717020977,True,moderate,PRIMARY_ELIGIBLE,USABLE,-4.2544434139,-3.6084175738,-0.967370428221,-0.278833570551,-4.25015368991,-2.75904164677
llama,LLaMA 3.3 70B,45,6,H06_A,2967,0.208855413206,True,moderate,PRIMARY_ELIGIBLE,USABLE,3.52651639949,-4.04968728423,-2.81464376615,3.3196764365,0.474698841193,-6.56090575942
llama,LLaMA 3.3 70B,45,6,H06_B,2874,0.20230888357,True,moderate,PRIMARY_ELIGIBLE,USABLE,11.8954047147,8.80650934178,3.98544131286,2.14571425228,10.6354658786,9.90341140107
llama,LLaMA 3.3 70B,45,6,H06_C,2479,0.174503730818,True,moderate,PRIMARY_ELIGIBLE,USABLE,3.47792378163,-0.296648487364,4.16714426349,3.74154566222,0.267571096201,8.0605961392
llama,LLaMA 3.3 70B,45,6,H06_D,1741,0.122553850486,True,moderate,PRIMARY_ELIGIBLE,USABLE,-6.21139431371,-4.94796950163,-3.20462610211,-1.35818467675,-5.36767019029,-7.46053782657
llama,LLaMA 3.3 70B,45,6,H06_E,2507,0.176474728988,True,moderate,PRIMARY_ELIGIBLE,USABLE,-4.24104693623,-3.29561785224,-2.07951932744,-0.936308371657,-3.65270560616,-4.86051012604
llama,LLaMA 3.3 70B,45,6,H06_F,1638,0.115303392933,True,moderate,PRIMARY_ELIGIBLE,USABLE,-1.76923807443,-2.06486156875,6.13439425913,2.95952577656,-4.4496742762,11.5219328447
llama,LLaMA 3.3 70B,45,7,H07_A,1371,0.0965085175278,True,low,PRIMARY_ELIGIBLE,USABLE,4.57642171963,-2.65234176228,3.56877082014,5.60377730338,-0.358445964626,6.28886515181
llama,LLaMA 3.3 70B,45,7,H07_B,2794,0.196677460228,True,low,PRIMARY_ELIGIBLE,USABLE,2.12099478359,-4.21985664128,-3.00195847846,2.61661255271,-0.346740272092,-6.95766610941
llama,LLaMA 3.3 70B,45,7,H07_C,2925,0.205898915951,True,low,PRIMARY_ELIGIBLE,USABLE,12.4725137363,9.37956060247,4.35208288301,2.22661681936,11.1794334576,10.7599345788
llama,LLaMA 3.3 70B,45,7,H07_D,2001,0.140855976348,True,low,PRIMARY_ELIGIBLE,USABLE,2.55329434425,-0.0860141270946,3.27976431936,2.75232641389,0.19891583861,6.38267473655
llama,LLaMA 3.3 70B,45,7,H07_E,1531,0.107771364212,True,low,PRIMARY_ELIGIBLE,USABLE,-6.31596007049,-4.9094798258,-3.18791734706,-1.43111721407,-5.4081981541,-7.41721075918
llama,LLaMA 3.3 70B,45,7,H07_F,1364,0.0960157679854,True,low,PRIMARY_ELIGIBLE,USABLE,-2.85600500532,-2.43002303715,5.19974626921,2.24089063514,-4.94673797455,9.60889742908
llama,LLaMA 3.3 70B,45,7,H07_G,2220,0.156271997747,True,low,PRIMARY_ELIGIBLE,USABLE,-5.56297351499,-2.75130338515,-1.70417118931,-1.82794554129,-4.18809067323,-3.97670612604
llama,LLaMA 3.3 70B,45,8,H08_A,1266,0.0891172743911,True,low,PRIMARY_ELIGIBLE,USABLE,2.07168712282,-3.52848815684,2.75446202931,4.52503292112,-2.00383108457,4.49690030639
llama,LLaMA 3.3 70B,45,8,H08_B,2247,0.158172603125,True,low,PRIMARY_ELIGIBLE,USABLE,-1.16443481184,-3.88344573639,-3.17752488944,0.603553793736,-1.90799418107,-7.18751525816
llama,LLaMA 3.3 70B,45,8,H08_C,2489,0.175207658736,True,low,PRIMARY_ELIGIBLE,USABLE,8.98735471443,3.66235102092,-2.24289599504,1.39329581732,8.06800570368,-3.56222601297
llama,LLaMA 3.3 70B,45,8,H08_D,1880,0.132338448543,True,low,PRIMARY_ELIGIBLE,USABLE,4.15487587841,-2.96928101521,1.49059186978,4.72850585874,-0.0466065917293,2.14073433646
llama,LLaMA 3.3 70B,45,8,H08_E,1945,0.136913980008,True,low,PRIMARY_ELIGIBLE,USABLE,5.38593367297,2.525439545,4.251988965,2.93779441525,3.04030117293,8.91498961807
llama,LLaMA 3.3 70B,45,8,H08_F,1206,0.0848937068844,True,low,PRIMARY_ELIGIBLE,USABLE,-0.70201405652,-2.07819301695,4.80583747956,2.97694182656,-3.38855676924,8.90515546049
llama,LLaMA 3.3 70B,45,8,H08_G,1237,0.0870758834295,True,low,PRIMARY_ELIGIBLE,USABLE,-18.6132654744,-3.95937537353,-0.82455285566,-7.51333994286,-12.5211501593,-2.43531581053
llama,LLaMA 3.3 70B,45,8,H08_H,1936,0.136280444882,True,low,PRIMARY_ELIGIBLE,USABLE,-5.30450489579,-1.19218712966,-0.546309821362,-2.22858105488,-3.49650094296,-1.32011065795
llama,LLaMA 3.3 70B,45,9,H09_A,1172,0.082500351964,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,4.04773457231,-3.33093707788,2.7707151807,5.4382822639,-0.786410552624,4.56003741409
llama,LLaMA 3.3 70B,45,9,H09_B,2017,0.141982261016,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,1.11749805721,-3.90599688998,-3.06149080973,1.86177264051,-0.691374112371,-6.98666563373
llama,LLaMA 3.3 70B,45,9,H09_C,1523,0.107208221878,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,9.40314853257,4.92195010101,5.68940713379,4.07657479674,6.24335391096,12.2943786858
llama,LLaMA 3.3 70B,45,9,H09_D,1847,0.130015486414,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,5.94543151571,-1.8555096298,1.17579942834,4.81056343853,1.75039042061,1.78587980454
llama,LLaMA 3.3 70B,45,9,H09_E,1218,0.0857384203858,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,-7.71972712707,-4.15259332843,-3.11370411013,-2.62885823085,-5.750632323,-7.06966242681
llama,LLaMA 3.3 70B,45,9,H09_F,2508,0.17654512178,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,2.96599526995,2.79951482721,-2.94790053129,-1.49112969768,4.43160830596,-5.10442511273
llama,LLaMA 3.3 70B,45,9,H09_G,1422,0.100098549908,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,-0.308680941889,-0.371306308643,4.39495409262,1.90082672515,-1.97047261004,8.5230850049
llama,LLaMA 3.3 70B,45,9,H09_H,888,0.062508799099,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,-2.05409445259,-1.88691199,4.88139238207,2.17530160022,-4.05129140721,9.11344194167
llama,LLaMA 3.3 70B,45,9,H09_I,1611,0.113402787555,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,-7.54438535689,-4.55650537423,-0.923515378016,-1.36656391771,-6.68403141944,-2.87999554536
llama,LLaMA 3.3 70B,45,10,H10_A,1180,0.0830634942982,True,low,PRIMARY_ELIGIBLE,USABLE,4.81514126348,-5.10263995808,-0.368287940822,5.69413903336,-0.32969509515,-2.04169160411
llama,LLaMA 3.3 70B,45,10,H10_B,1203,0.0846825285091,True,low,PRIMARY_ELIGIBLE,USABLE,6.35664970109,1.69030132692,4.1157588125,3.93395507984,3.11526531663,8.43030583847
llama,LLaMA 3.3 70B,45,10,H10_C,1940,0.13656201605,True,low,PRIMARY_ELIGIBLE,USABLE,5.11864744137,-2.10005531597,-0.0280654390845,4.03802677182,1.56873206345,-0.626983535914
llama,LLaMA 3.3 70B,45,10,H10_D,1890,0.133042376461,True,low,PRIMARY_ELIGIBLE,USABLE,14.1692925405,7.96805651285,3.71090851578,3.76944713808,11.4841715373,9.13491526377
llama,LLaMA 3.3 70B,45,10,H10_E,1518,0.106856257919,True,low,PRIMARY_ELIGIBLE,USABLE,-3.05126227189,-4.50425396691,-3.0937057682,0.0542344998305,-3.37231142377,-7.16117787407
llama,LLaMA 3.3 70B,45,10,H10_F,2001,0.140855976348,True,low,PRIMARY_ELIGIBLE,USABLE,-2.03181617103,-3.77057324153,-3.96126817344,-0.249054306785,-2.04200939048,-8.68730066961
llama,LLaMA 3.3 70B,45,10,H10_G,1157,0.0814444600873,True,low,PRIMARY_ELIGIBLE,USABLE,-0.135778642872,-2.88543319064,4.52504466025,3.6831423498,-3.47022899781,8.14784430947
llama,LLaMA 3.3 70B,45,10,H10_H,777,0.0546951992116,True,low,PRIMARY_ELIGIBLE,USABLE,-20.7055942854,-0.51100624114,2.24394970494,-9.58477791413,-12.6577304915,4.45960466883
llama,LLaMA 3.3 70B,45,10,H10_I,1491,0.104955652541,True,low,PRIMARY_ELIGIBLE,USABLE,-4.50359152332,2.48901376301,2.46664897712,-2.95899579674,-1.85702562801,5.49765748621
llama,LLaMA 3.3 70B,45,10,H10_J,1049,0.0738420385752,True,low,PRIMARY_ELIGIBLE,USABLE,-4.21252817117,-3.12995354925,3.66155107202,1.34899822439,-5.58497081432,6.43181933824
gemma,Gemma 2 27B,45,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,14726.7219016,26542.6297155,63580.4018125,0.110825295296,0.0383298835179,0.988249103169
gemma,Gemma 2 27B,45,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,3481.1993362,29105.0150946,48073.0212335,0.0425580245077,0.0816622398324,0.75955103585
gemma,Gemma 2 27B,45,4,H04_C,3304,0.232577784035,True,moderate,PRIMARY_ELIGIBLE,USABLE,25362.1115856,7663.59363037,49644.4238339,0.156263423404,-0.0437877412559,0.75315405665
gemma,Gemma 2 27B,45,4,H04_D,2183,0.153667464452,True,moderate,PRIMARY_ELIGIBLE,USABLE,6757.17328755,5391.55323608,33552.9494958,0.0677527450138,-0.0372173114976,0.511690711941
gemma,Gemma 2 27B,45,5,H05_A,3405,0.239687456005,True,moderate,PRIMARY_ELIGIBLE,USABLE,4046.66823838,13880.8831037,23568.9742949,0.0299080179045,0.0395171681652,0.371390838407
gemma,Gemma 2 27B,45,5,H05_B,3813,0.26840771505,True,moderate,PRIMARY_ELIGIBLE,USABLE,13298.3825747,28807.3591894,64981.6908432,0.104408655784,0.0486809465378,1.0123999238
gemma,Gemma 2 27B,45,5,H05_C,2847,0.200408278192,True,moderate,PRIMARY_ELIGIBLE,USABLE,24195.8931663,7125.43359715,47921.3713409,0.150214672637,-0.0443030930418,0.726762037524
gemma,Gemma 2 27B,45,5,H05_D,1730,0.121779529776,True,moderate,PRIMARY_ELIGIBLE,USABLE,7857.85083519,882.367322171,24109.2030688,0.0640298650083,-0.0437770301487,0.363477640788
gemma,Gemma 2 27B,45,5,H05_E,2411,0.169717020977,True,moderate,PRIMARY_ELIGIBLE,USABLE,13235.5303601,46638.2687586,97673.7252357,0.127509740983,0.0892249020234,1.5272039958
gemma,Gemma 2 27B,45,6,H06_A,2967,0.208855413206,True,moderate,PRIMARY_ELIGIBLE,USABLE,5430.45268239,11438.1250244,17273.1739788,0.0289302761064,0.0394068765964,0.273089957258
gemma,Gemma 2 27B,45,6,H06_B,2874,0.20230888357,True,moderate,PRIMARY_ELIGIBLE,USABLE,8495.56635564,37217.1532111,73124.5004281,0.0868973676186,0.0806783777702,1.14637513775
gemma,Gemma 2 27B,45,6,H06_C,2479,0.174503730818,True,moderate,PRIMARY_ELIGIBLE,USABLE,23590.8375907,6918.15519711,46288.1186798,0.145835537337,-0.04236900699,0.701983146342
gemma,Gemma 2 27B,45,6,H06_D,1741,0.122553850486,True,moderate,PRIMARY_ELIGIBLE,USABLE,5319.86611369,10124.9242118,31528.9182142,0.0523482474946,-0.00265485256117,0.486974522346
gemma,Gemma 2 27B,45,6,H06_E,2507,0.176474728988,True,moderate,PRIMARY_ELIGIBLE,USABLE,10222.7447265,48714.0273584,92312.9944007,0.105286115694,0.112776222532,1.44933303398
gemma,Gemma 2 27B,45,6,H06_F,1638,0.115303392933,True,moderate,PRIMARY_ELIGIBLE,USABLE,25807.2970902,8995.02537559,56371.7432595,0.166183220579,-0.0503952323389,0.856251288049
gemma,Gemma 2 27B,45,7,H07_A,1371,0.0965085175278,True,low,PRIMARY_ELIGIBLE,USABLE,19418.2061387,-4987.00579729,51280.4085326,0.156274527446,-0.135829110015,0.764469530302
gemma,Gemma 2 27B,45,7,H07_B,2794,0.196677460228,True,low,PRIMARY_ELIGIBLE,USABLE,3955.77395722,13091.9510928,19647.170755,0.0247539136606,0.0434317888015,0.311234506122
gemma,Gemma 2 27B,45,7,H07_C,2925,0.205898915951,True,low,PRIMARY_ELIGIBLE,USABLE,7009.69213638,40714.2468822,74070.2894072,0.0777244743949,0.100135743055,1.16509722826
gemma,Gemma 2 27B,45,7,H07_D,2001,0.140855976348,True,low,PRIMARY_ELIGIBLE,USABLE,23155.049707,14419.4366079,48792.0162161,0.136835032835,0.000644192168282,0.748682525611
gemma,Gemma 2 27B,45,7,H07_E,1531,0.107771364212,True,low,PRIMARY_ELIGIBLE,USABLE,5836.04932091,9795.88404774,32513.8372387,0.0562177495756,-0.00667072571559,0.501351474431
gemma,Gemma 2 27B,45,7,H07_F,1364,0.0960157679854,True,low,PRIMARY_ELIGIBLE,USABLE,24917.2148666,12103.2460136,54054.444144,0.154747617693,-0.0253413656814,0.825077742456
gemma,Gemma 2 27B,45,7,H07_G,2220,0.156271997747,True,low,PRIMARY_ELIGIBLE,USABLE,9797.41017382,51029.7598415,87708.5429635,0.0932155796289,0.138380265836,1.38256827134
gemma,Gemma 2 27B,45,8,H08_A,1266,0.0891172743911,True,low,PRIMARY_ELIGIBLE,USABLE,17659.6251621,3940.72537056,63317.060385,0.154958572632,-0.106896270094,0.95717587004
gemma,Gemma 2 27B,45,8,H08_B,2247,0.158172603125,True,low,PRIMARY_ELIGIBLE,USABLE,3101.0992376,20168.3744996,37240.7525072,0.0380010333157,0.0479972708367,0.585528404475
gemma,Gemma 2 27B,45,8,H08_C,2489,0.175207658736,True,low,PRIMARY_ELIGIBLE,USABLE,2516.2790881,41264.811803,55166.6211129,0.0316839393314,0.144065313056,0.881164295599
gemma,Gemma 2 27B,45,8,H08_D,1880,0.132338448543,True,low,PRIMARY_ELIGIBLE,USABLE,17142.1900141,4318.35631416,12147.2309905,0.0741058037552,0.0148200114221,0.184599965825
gemma,Gemma 2 27B,45,8,H08_E,1945,0.136913980008,True,low,PRIMARY_ELIGIBLE,USABLE,20611.6661332,13874.8100784,56342.5635401,0.140028436832,-0.0228000739324,0.862719933555
gemma,Gemma 2 27B,45,8,H08_F,1206,0.0848937068844,True,low,PRIMARY_ELIGIBLE,USABLE,24373.3775398,11049.7516471,54356.440049,0.154825944923,-0.0334363386595,0.828535867027
gemma,Gemma 2 27B,45,8,H08_G,1237,0.0870758834295,True,low,PRIMARY_ELIGIBLE,USABLE,11350.7364998,-3217.79550643,34923.2140917,0.0993854189809,-0.0929576064678,0.521266255958
gemma,Gemma 2 27B,45,8,H08_H,1936,0.136280444882,True,low,PRIMARY_ELIGIBLE,USABLE,13367.2498672,47078.608133,84271.0179224,0.106785882405,0.123579131352,1.32518322042
gemma,Gemma 2 27B,45,9,H09_A,1172,0.082500351964,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,19985.144976,-3001.99040244,52422.4085651,0.157094023823,-0.124975878706,0.783912320072
gemma,Gemma 2 27B,45,9,H09_B,2017,0.141982261016,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,3057.41048844,22081.635528,37338.849549,0.0351209280687,0.0602910177172,0.589256601202
gemma,Gemma 2 27B,45,9,H09_C,1523,0.107208221878,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,15345.265002,16289.8407955,56840.7597527,0.118126447143,-0.0126817185817,0.874292907883
gemma,Gemma 2 27B,45,9,H09_D,1847,0.130015486414,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,14557.6734235,5120.23061223,8643.10159736,0.0581882001019,0.0260370959713,0.133192675631
