model,model_label,trait_set,K,profile_id,profile_size,profile_proportion,eligible_primary_k,human_stability_tier,projection_status,model_usability_gate,ridge_pc1,ridge_pc2,ridge_pc3,knn_pc1,knn_pc2,knn_pc3,pc_standardized_displacement,disagreement_p95,warning,knn_k,knn_weights
qwen,Qwen 3 32B,12,8,H08_G,1237,0.0870758834295,True,low,PRIMARY_ELIGIBLE,USABLE,105.359198355,-20.9526502344,31.4682597786,-16.9911430569,26.209776884,-4.94727131638,5.16517609221,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,8,H08_H,1936,0.136280444882,True,low,PRIMARY_ELIGIBLE,USABLE,-424.238618429,241.759308267,116.847326227,-24.5758583046,25.0296487219,29.5734103706,17.5677569524,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,9,H09_A,1172,0.082500351964,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,53.759265842,39.4028141462,111.125541629,-27.713827641,21.467309734,31.149763279,5.80800160761,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,9,H09_B,2017,0.141982261016,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,40.0062418916,12.5549501863,-30.1452846016,-21.9405862753,15.2661329419,-29.7450697339,2.06343563162,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,9,H09_C,1523,0.107208221878,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,-228.61898002,179.948554234,133.046628765,26.1011481142,-19.283550792,7.2705152651,14.8672083799,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,9,H09_D,1847,0.130015486414,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,4.02880267846,130.213872316,-17.824151964,24.9757129325,-0.372931651713,-18.2603310133,6.10963906669,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,9,H09_E,1218,0.0857384203858,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,168.779369205,-61.7929861952,-18.2349283697,-15.2061186946,13.746050809,-30.3936031123,7.09470557892,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,9,H09_F,2508,0.17654512178,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,-277.417632853,258.386157131,68.4594088155,-30.8318266784,6.02433584673,-26.5469745336,15.5262632883,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,9,H09_G,1422,0.100098549908,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,-274.801221577,192.707144271,136.730882788,-16.1492604623,22.9239684561,31.7679458639,13.4346364723,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,9,H09_H,888,0.062508799099,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,-142.022899827,163.703917238,112.929273953,3.86422637116,11.1749286227,27.5129638033,10.1539705437,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,9,H09_I,1611,0.113402787555,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,-327.569898018,209.451899109,49.3441977806,-22.5417353154,33.3567941558,29.1433884661,13.0945703038,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,10,H10_A,1180,0.0830634942982,True,low,PRIMARY_ELIGIBLE,USABLE,139.903090906,-35.3449226374,56.7170433109,-24.2446167726,33.079765858,30.1441436841,6.53700865811,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,10,H10_B,1203,0.0846825285091,True,low,PRIMARY_ELIGIBLE,USABLE,-156.395705102,232.348384513,144.520707288,0.266352600124,15.2379061774,27.4026143606,13.5676221922,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,10,H10_C,1940,0.13656201605,True,low,PRIMARY_ELIGIBLE,USABLE,34.8427851992,52.589075218,-61.3306123255,11.9881881917,7.34509960674,-29.3536604683,3.01804345398,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,10,H10_D,1890,0.133042376461,True,low,PRIMARY_ELIGIBLE,USABLE,-147.543768966,115.824375435,70.7090766458,7.89028024525,-9.10382654738,-17.6949564532,9.5825119964,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,10,H10_E,1518,0.106856257919,True,low,PRIMARY_ELIGIBLE,USABLE,67.930444416,-12.2282653964,-41.9225783101,-22.03456895,15.7036790838,-29.6098094584,3.35264242375,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,10,H10_F,2001,0.140855976348,True,low,PRIMARY_ELIGIBLE,USABLE,-109.656570084,124.563311401,8.97097462022,-30.9873330359,21.5986808584,-24.848452917,5.86008155497,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,10,H10_G,1157,0.0814444600873,True,low,PRIMARY_ELIGIBLE,USABLE,-163.96967398,123.461834272,68.6816402754,7.28986205265,13.283198818,22.7539403966,8.19260662882,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,10,H10_H,777,0.0546951992116,True,low,PRIMARY_ELIGIBLE,USABLE,-27.0346130884,101.905183998,179.126234999,36.7882312543,-7.29936382312,16.4924283534,11.6854437693,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,10,H10_I,1491,0.104955652541,True,low,PRIMARY_ELIGIBLE,USABLE,-399.795412202,322.684491077,219.136257867,-30.9135505108,21.7688558069,31.4011397152,22.0826976799,0.933307762733,True,5,distance
qwen,Qwen 3 32B,12,10,H10_J,1049,0.0738420385752,True,low,PRIMARY_ELIGIBLE,USABLE,-234.754887183,175.250358515,128.647321185,-29.3314452964,23.0425546418,31.299803719,11.6090801363,0.933307762733,True,5,distance
llama,LLaMA 3.3 70B,12,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,4.47480300562,14.4328763673,20.5395289068,0.970037306381,2.1316411998,0.206222444868,31.4307804976,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,-1.37614770451,-4.14069739517,-1.3865473018,0.17816176611,-0.293539842953,-0.778670192597,4.03985882887,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,4,H04_C,3304,0.232577784035,True,moderate,PRIMARY_ELIGIBLE,USABLE,5.32821405448,11.528648744,19.3282504771,1.2856728395,2.13100647692,0.321867455288,28.7526737195,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,4,H04_D,2183,0.153667464452,True,moderate,PRIMARY_ELIGIBLE,USABLE,-0.971894887116,-5.84541647402,5.20513579895,-0.705553193707,-0.444887108497,-0.0600944507813,9.12748261168,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,5,H05_A,3405,0.239687456005,True,moderate,PRIMARY_ELIGIBLE,USABLE,-0.50070447894,-5.58943824433,-0.800935517543,0.831014958156,-0.66148608641,0.0623739279854,5.03891077285,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,5,H05_B,3813,0.26840771505,True,moderate,PRIMARY_ELIGIBLE,USABLE,4.40058115571,14.4284978757,20.5387556301,1.01349147143,3.00807987284,1.22012702473,29.77126449,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,5,H05_C,2847,0.200408278192,True,moderate,PRIMARY_ELIGIBLE,USABLE,5.56343729656,10.9207953132,18.7331704259,1.28696074842,2.13266520601,0.322579324979,27.7979108976,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,5,H05_D,1730,0.121779529776,True,moderate,PRIMARY_ELIGIBLE,USABLE,0.640321461024,-6.49006500698,6.12946702449,0.0829159401229,-0.613452223788,-0.316880597176,10.7942926177,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,5,H05_E,2411,0.169717020977,True,moderate,PRIMARY_ELIGIBLE,USABLE,0.0853447610948,6.81613171878,10.210843329,-0.471585455902,1.1314707828,-0.236994736446,15.8588915553,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,6,H06_A,2967,0.208855413206,True,moderate,PRIMARY_ELIGIBLE,USABLE,-0.265733370005,-5.18271480691,-0.064496842812,0.758664837502,0.915331321196,1.39262948499,6.29287193627,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,6,H06_B,2874,0.20230888357,True,moderate,PRIMARY_ELIGIBLE,USABLE,2.92796582929,13.1899844193,19.177784313,0.809635005203,2.84708282852,1.25475714306,27.4569520545,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,6,H06_C,2479,0.174503730818,True,moderate,PRIMARY_ELIGIBLE,USABLE,6.12824575403,11.6079275368,20.6345916256,1.29045162814,2.1342803677,0.325180402492,30.6151182817,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,6,H06_D,1741,0.122553850486,True,moderate,PRIMARY_ELIGIBLE,USABLE,-0.664623013771,-6.81081967297,0.776477168007,0.172335545221,-0.299221460344,-0.773021684181,6.68841042521,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,6,H06_E,2507,0.176474728988,True,moderate,PRIMARY_ELIGIBLE,USABLE,0.190696088896,6.6125443976,8.35749970619,-0.451093297393,1.09165241701,-0.928302063887,14.2615590379,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,6,H06_F,1638,0.115303392933,True,moderate,PRIMARY_ELIGIBLE,USABLE,4.60961062327,11.7820422269,19.5893315341,0.95499848474,2.12452316849,0.18783711974,29.3223212126,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,7,H07_A,1371,0.0965085175278,True,low,PRIMARY_ELIGIBLE,USABLE,1.37971313974,-0.132076802908,9.70097072544,-0.057597981072,1.76011494847,-0.0853295517957,14.1085162212,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,7,H07_B,2794,0.196677460228,True,low,PRIMARY_ELIGIBLE,USABLE,-0.29948928047,-5.23511285169,-0.483330499284,0.742360720741,0.842520642985,1.35305347479,6.4752910712,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,7,H07_C,2925,0.205898915951,True,low,PRIMARY_ELIGIBLE,USABLE,2.57026020716,11.5957906969,18.682238598,1.3080260539,3.72957384644,2.28930733316,24.5641548399,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,7,H07_D,2001,0.140855976348,True,low,PRIMARY_ELIGIBLE,USABLE,6.23903511407,14.0520628393,21.3276377329,1.60458664493,2.39673544801,-0.0327744881029,32.6705253103,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,7,H07_E,1531,0.107771364212,True,low,PRIMARY_ELIGIBLE,USABLE,-0.737045365602,-6.31076494275,2.30990199323,0.0811433538696,-0.605708224425,-0.325937210866,6.69238886486,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,7,H07_F,1364,0.0960157679854,True,low,PRIMARY_ELIGIBLE,USABLE,5.47774370035,11.3848538146,19.8114056898,1.29259698082,2.13456114089,0.326944856744,29.3660769351,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,7,H07_G,2220,0.156271997747,True,low,PRIMARY_ELIGIBLE,USABLE,-0.114980430259,7.43332891287,7.26943941647,-0.114272403223,1.22592403887,-0.935196052233,13.1229422682,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,8,H08_A,1266,0.0891172743911,True,low,PRIMARY_ELIGIBLE,USABLE,2.05225351734,-0.753826500085,9.74705784451,-0.0785057747069,1.75320889898,-0.0855672032346,14.3278680857,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,8,H08_B,2247,0.158172603125,True,low,PRIMARY_ELIGIBLE,USABLE,-1.1986199823,-5.13908250887,-0.672867275419,0.178528710508,-0.29405935599,-0.778327105165,4.821225179,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,8,H08_C,2489,0.175207658736,True,low,PRIMARY_ELIGIBLE,USABLE,0.424724687526,3.47997399149,6.55833858214,0.894950460695,2.81412105026,1.75631729611,6.87948173281,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,8,H08_D,1880,0.132338448543,True,low,PRIMARY_ELIGIBLE,USABLE,4.83826312501,2.85879902765,7.91339625853,1.48166923485,3.12647110006,1.00463589674,10.2672964687,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,8,H08_E,1945,0.136913980008,True,low,PRIMARY_ELIGIBLE,USABLE,5.33905957839,13.8885834736,22.4032533406,0.966633284283,2.13088426519,0.198913380989,33.7982410275,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,8,H08_F,1206,0.0848937068844,True,low,PRIMARY_ELIGIBLE,USABLE,4.73051535107,12.369557211,19.2354674819,1.29342310968,2.13558766425,0.327410219602,28.8259889102,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,8,H08_G,1237,0.0870758834295,True,low,PRIMARY_ELIGIBLE,USABLE,1.14245951916,-6.28487107178,7.95634993232,0.0208326073979,-0.0388765388567,-0.661712405675,13.7009432239,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,8,H08_H,1936,0.136280444882,True,low,PRIMARY_ELIGIBLE,USABLE,-0.168813940737,13.7618206456,16.5190401461,-0.472628207493,1.13023411633,-0.235599919545,26.7800921321,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,9,H09_A,1172,0.082500351964,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,2.86079107899,-1.82806808043,11.279977853,-0.0652140843346,1.75826118283,-0.0855986618956,16.7430960949,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,9,H09_B,2017,0.141982261016,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,-1.38554138193,-4.61658702719,-0.155972724345,0.182456727778,-0.292272052798,-0.780507812677,4.47344025333,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,9,H09_C,1523,0.107208221878,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,3.53728061261,11.3170109541,20.325927339,0.968933520369,2.13147440117,0.203562630873,30.0691820116,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,9,H09_D,1847,0.130015486414,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,4.80629218724,3.00400991784,5.88835836673,1.23885906402,3.54819900552,2.22108767632,6.10242607051,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,9,H09_E,1218,0.0857384203858,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,0.267907066802,-8.86897543552,2.63186333144,0.0837123857246,-0.612826967395,-0.31676393564,8.99358458677,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,9,H09_F,2508,0.17654512178,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,0.158689262493,8.55064988634,8.26711793187,0.793181464583,1.38681852168,0.352958223204,13.2245999496,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,9,H09_G,1422,0.100098549908,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,4.44528899773,15.0668937173,21.6716476142,0.96566082314,2.1310670271,0.195355119656,33.1586357242,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,9,H09_H,888,0.062508799099,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,6.50306260476,10.8861891407,20.0324128299,1.29228639606,2.13523304255,0.326523311689,29.647355814,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,9,H09_I,1611,0.113402787555,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,-0.495247807518,8.86127586121,10.8164916555,-0.449894715507,1.09129000898,-0.927354901755,18.3194556384,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,10,H10_A,1180,0.0830634942982,True,low,PRIMARY_ELIGIBLE,USABLE,0.578552425547,-7.51114981747,5.28726364412,-0.437541805884,1.50418726348,-0.222307705238,11.7354956392,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,10,H10_B,1203,0.0846825285091,True,low,PRIMARY_ELIGIBLE,USABLE,6.90581102735,10.3339144193,19.4474457271,0.964330115569,2.13030616163,0.194211095414,28.9968539268,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,10,H10_C,1940,0.13656201605,True,low,PRIMARY_ELIGIBLE,USABLE,1.33987493375,-1.41633755828,1.81880772265,0.968658690221,2.5762070305,2.29540188314,3.91826044036,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,10,H10_D,1890,0.133042376461,True,low,PRIMARY_ELIGIBLE,USABLE,0.997725933941,5.9826333016,13.6647887234,0.522299142516,2.85710418139,1.86074049471,17.079346773,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,10,H10_E,1518,0.106856257919,True,low,PRIMARY_ELIGIBLE,USABLE,-1.17786578382,-5.2751112494,-0.304404914315,0.176101355279,-0.296528788876,-0.775892285633,4.98409347597,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,10,H10_F,2001,0.140855976348,True,low,PRIMARY_ELIGIBLE,USABLE,-1.18533495786,0.737394864805,2.07570601476,0.176586973313,-0.293720023758,-0.778223157471,4.34878661941,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,10,H10_G,1157,0.0814444600873,True,low,PRIMARY_ELIGIBLE,USABLE,4.48993536496,11.4814152218,17.3645647088,1.60586816101,2.39633584026,-0.0355691224822,26.3949007217,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,10,H10_H,777,0.0546951992116,True,low,PRIMARY_ELIGIBLE,USABLE,7.03640963807,4.82255455466,22.369768201,0.654057587707,1.93626729857,-0.109994227894,32.6072442887,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,10,H10_I,1491,0.104955652541,True,low,PRIMARY_ELIGIBLE,USABLE,6.30140086456,19.3275889329,27.1226283865,0.959974050459,2.12593578361,0.197392231313,42.023068166,1.58519358525,True,3,distance
llama,LLaMA 3.3 70B,12,10,H10_J,1049,0.0738420385752,True,low,PRIMARY_ELIGIBLE,USABLE,2.08154554715,8.18335696994,16.5061950776,0.243322509026,1.6544567573,-0.195452142966,24.6498050354,1.58519358525,True,3,distance
gemma,Gemma 2 27B,12,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,7767.06119927,-7579.81691952,-3976.92426401,-595.392527554,867.644658708,-971.759739011,29.7292623563,1.20974320323,True,3,distance
gemma,Gemma 2 27B,12,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,4999.06769154,-8949.57320635,3787.97402317,-524.847172262,241.550988819,498.999414172,29.2268065437,1.20974320323,True,3,distance
gemma,Gemma 2 27B,12,4,H04_C,3304,0.232577784035,True,moderate,PRIMARY_ELIGIBLE,USABLE,8586.86811413,-91.1055490041,10863.5189125,649.357600397,-59.3538095462,181.789223455,44.5052632648,1.20974320323,True,3,distance
gemma,Gemma 2 27B,12,4,H04_D,2183,0.153667464452,True,moderate,PRIMARY_ELIGIBLE,USABLE,6060.65905072,-13381.0542512,3836.10317852,-243.112453928,425.511316739,505.519417105,40.1940651472,1.20974320323,True,3,distance
gemma,Gemma 2 27B,12,5,H05_A,3405,0.239687456005,True,moderate,PRIMARY_ELIGIBLE,USABLE,4142.21896907,-6539.73463399,3542.56286301,-358.098847897,-267.888634362,196.648810816,22.6819585964,1.20974320323,True,3,distance
gemma,Gemma 2 27B,12,5,H05_B,3813,0.26840771505,True,moderate,PRIMARY_ELIGIBLE,USABLE,6876.03593757,-7286.3610117,-5632.84147716,-578.368093732,392.453190499,-618.203802386,31.5091699936,1.20974320323,True,3,distance
gemma,Gemma 2 27B,12,5,H05_C,2847,0.200408278192,True,moderate,PRIMARY_ELIGIBLE,USABLE,8489.30959428,488.506187011,10868.8452713,701.287458487,-120.855534119,129.606662354,44.6472307193,1.20974320323,True,3,distance
gemma,Gemma 2 27B,12,5,H05_D,1730,0.121779529776,True,moderate,PRIMARY_ELIGIBLE,USABLE,6415.50343307,-10948.7012249,3410.80359891,-336.112165436,400.996861792,557.623403158,34.2218794832,1.20974320323,True,3,distance
gemma,Gemma 2 27B,12,5,H05_E,2411,0.169717020977,True,moderate,PRIMARY_ELIGIBLE,USABLE,10463.8198356,-14387.5312281,6473.35138122,-350.849422129,372.628949529,226.630033904,50.1527484455,1.20974320323,True,3,distance
gemma,Gemma 2 27B,12,6,H06_A,2967,0.208855413206,True,moderate,PRIMARY_ELIGIBLE,USABLE,3476.15660592,-5241.99052283,3343.63980739,-357.91364158,-267.644571263,195.55634205,19.3600786781,1.20974320323,True,3,distance
gemma,Gemma 2 27B,12,6,H06_B,2874,0.20230888357,True,moderate,PRIMARY_ELIGIBLE,USABLE,6997.69266292,-10038.0175999,-5400.22662683,-595.503983263,867.641615366,-971.823494119,36.3902462919,1.20974320323,True,3,distance
