model,K,profile_id,eligible_primary_k,pc1_12,pc2_12,pc3_12,pc1_45,pc2_45,pc3_45,delta_pc1,delta_pc2,delta_pc3,pc_standardized_displacement,inside_50_12,inside_50_45,inside_80_12,inside_80_45,inside_95_12,inside_95_45,nearest_family_12,nearest_family_45,nearest_role_12,nearest_role_45
qwen,6,H06_B,True,-313.027590209,260.971283918,140.480512492,-41.2332672516,542.58569456,430.072567396,271.794322957,281.614410642,289.592054904,24.2893508684,False,False,False,False,False,False,MFamily_E,MFamily_E,comedian,comedian
qwen,6,H06_C,True,-168.260780347,176.791707177,135.485921471,512.715761848,476.391987839,107.280079987,680.976542195,299.600280662,-28.2058414836,26.6392484696,False,False,False,False,False,False,MFamily_E,MFamily_E,comedian,procrastinator
qwen,6,H06_D,True,102.584957103,-29.4723793132,-30.2860103269,-438.696552831,-500.04940184,-168.731415688,-541.281509934,-470.577022527,-138.445405361,29.6522087884,False,False,False,False,False,False,MFamily_E,MFamily_E,doctor,shaman
qwen,6,H06_E,True,-263.434452028,223.08398045,70.5116220708,-411.295239751,-198.872548913,140.623860046,-147.860787723,-421.956529363,70.1122379748,20.7021451411,False,False,False,False,False,False,MFamily_E,MFamily_E,comedian,eldritch
qwen,6,H06_F,True,-198.397135649,153.336214468,112.249817377,458.881786852,365.649307337,197.787315307,657.278922501,212.313092869,85.5374979296,24.5818206359,False,False,False,False,False,False,MFamily_E,MFamily_E,comedian,procrastinator
qwen,7,H07_A,True,4.46706965666,32.8622405046,84.4834119327,294.201372932,6.9421872096,255.645705974,289.734303275,-25.920053295,171.162294042,14.5586263262,False,False,False,False,False,False,MFamily_E,MFamily_E,hacker,saboteur
qwen,7,H07_B,True,90.4319138298,-0.0890183559428,-59.8291209181,-330.809887959,-294.808548579,-288.680390395,-421.241801789,-294.719530223,-228.851269477,24.3767037858,False,False,False,False,False,False,MFamily_E,MFamily_E,therapist,angel
qwen,7,H07_C,True,-282.392357405,233.117936645,134.405336691,-131.927059323,523.620946396,405.612328554,150.465298083,290.503009751,271.206991863,22.4255529998,False,False,False,False,False,False,MFamily_E,MFamily_E,comedian,comedian
qwen,7,H07_D,True,-225.578381458,215.119242476,136.675419602,446.678446798,496.126524218,47.3752458671,672.256828256,281.007281742,-89.3001737346,26.4977836254,False,False,False,False,False,False,MFamily_E,MFamily_E,comedian,teenager
qwen,7,H07_E,True,81.9728571768,-24.621121158,-11.8140866351,-441.703031729,-490.078224388,-120.707610179,-523.675888906,-465.45710323,-108.893523544,28.6147924736,False,False,False,False,False,False,MFamily_E,MFamily_E,sociologist,mystic
qwen,7,H07_F,True,-169.457597832,148.634444141,98.5117853001,461.61594886,355.091677757,117.17024102,631.073546692,206.457233617,18.6584557196,23.1009013037,False,False,False,False,False,False,MFamily_E,MFamily_E,comedian,procrastinator
qwen,7,H07_G,True,-292.197160501,241.957061171,55.404427596,-440.373160792,-180.920705104,103.724378284,-148.176000291,-422.877766275,48.3199506881,20.4937202048,False,False,False,False,False,False,MFamily_E,MFamily_E,toddler,leviathan
qwen,8,H08_A,True,1.1301915526,71.1178786715,94.277038707,203.623880121,-81.9130317183,257.629491493,202.493688569,-153.03091039,163.352452786,14.2526269172,False,False,False,False,False,False,MFamily_E,MFamily_E,cynic,saboteur
qwen,8,H08_B,True,44.910147325,14.7787002758,-36.4921769865,-490.860795774,-430.51832137,-151.115384745,-535.770943099,-445.297021646,-114.623207758,28.2568096639,False,False,False,False,False,False,MFamily_E,MFamily_E,therapist,shaman
qwen,8,H08_C,True,-125.518609158,172.71903389,37.2752438934,-409.478445359,74.2301587601,126.007369557,-283.959836202,-98.4888751299,88.732125664,11.9043171872,False,False,False,False,False,False,MFamily_E,MFamily_E,procrastinator,pirate
qwen,8,H08_D,True,19.3365771217,89.9450120248,-3.28212355552,340.869755797,193.277513586,-309.702310112,321.533178676,103.332501561,-306.420186557,22.6852924228,False,False,False,False,False,False,MFamily_E,MFamily_E,teenager,caregiver
qwen,8,H08_E,True,-261.912062189,229.461334393,155.383660186,368.039038113,545.940306795,223.76970841,629.951100302,316.478972403,68.3860482239,25.9572843171,False,False,False,False,False,False,MFamily_E,MFamily_E,comedian,procrastinator
qwen,8,H08_F,True,-199.097432938,150.661184114,96.023071846,401.847910763,369.673891918,98.0493146065,600.9453437,219.012707803,2.0262427605,22.4228807776,False,False,False,False,False,False,MFamily_E,MFamily_E,comedian,procrastinator
qwen,8,H08_G,True,105.359198355,-20.9526502344,31.4682597786,-253.900862158,-353.585428129,7.59147198801,-359.260060513,-332.632777894,-23.8767877906,19.5954918602,False,False,False,False,False,False,MFamily_E,MFamily_E,auditor,eldritch
qwen,8,H08_H,True,-424.238618429,241.759308267,116.847326227,-325.742753268,-1.89692910023,115.458349618,98.4958651609,-243.656237367,-1.38897660891,11.7895097996,False,False,False,False,False,False,MFamily_E,MFamily_E,comedian,demon
qwen,9,H09_A,False,53.759265842,39.4028141462,111.125541629,278.245610281,14.911111019,276.57658357,224.486344439,-24.4917031272,165.451041941,12.9224699931,False,False,False,False,False,False,MFamily_E,MFamily_E,hacker,saboteur
qwen,9,H09_B,False,40.0062418916,12.5549501863,-30.1452846016,-513.612436775,-371.639396799,-164.378002791,-553.618678667,-384.194346985,-134.232718189,27.0193448412,False,False,False,False,False,False,MFamily_E,MFamily_E,collaborator,shaman
qwen,9,H09_C,False,-228.61898002,179.948554234,133.046628765,266.810315198,524.240080874,312.453444477,495.429295219,344.29152664,179.406815712,25.6263324605,False,False,False,False,False,False,MFamily_E,MFamily_E,comedian,comedian
qwen,9,H09_D,False,4.02880267846,130.213872316,-17.824151964,267.513850216,280.436416964,-307.509728786,263.485047537,150.222544648,-289.685576822,21.5102471853,False,False,False,False,False,False,MFamily_E,MFamily_E,teenager,caregiver
qwen,9,H09_E,False,168.779369205,-61.7929861952,-18.2349283697,-350.362815824,-509.830444807,-143.24995583,-519.142185029,-448.037458612,-125.01502746,28.1843055487,False,False,False,False,False,False,MFamily_E,MFamily_E,examiner,shaman
qwen,9,H09_F,False,-277.417632853,258.386157131,68.4594088155,-434.896484169,68.3721755013,168.375658137,-157.478851317,-190.01398163,99.9162493216,12.063531026,False,False,False,False,False,False,MFamily_E,MFamily_E,procrastinator,pirate
qwen,9,H09_G,False,-274.801221577,192.707144271,136.730882788,361.65102742,405.358311832,107.952754257,636.452248998,212.651167561,-28.7781285317,23.4248601979,False,False,False,False,False,False,MFamily_E,MFamily_E,comedian,procrastinator
qwen,9,H09_H,False,-142.022899827,163.703917238,112.929273953,494.448364181,396.388398594,129.063471646,636.471264008,232.684481356,16.1341976921,23.78536382,False,False,False,False,False,False,MFamily_E,MFamily_E,comedian,procrastinator
qwen,9,H09_I,False,-327.569898018,209.451899109,49.3441977806,-392.492989281,-137.753393867,110.720493053,-64.9230912631,-347.205292977,61.3762952725,16.7404085793,False,False,False,False,False,False,MFamily_E,MFamily_E,toddler,leviathan
qwen,10,H10_A,True,139.903090906,-35.3449226374,56.7170433109,218.426784724,-133.870849371,158.165597662,78.5236938185,-98.5259267335,101.448554351,8.31520372376,False,False,False,False,False,False,MFamily_E,MFamily_E,robot,robot
qwen,10,H10_B,True,-156.395705102,232.348384513,144.520707288,539.438840329,510.074138096,186.838778424,695.83454543,277.725753584,42.3180711357,26.6265740265,False,False,False,False,False,False,MFamily_E,MFamily_E,comedian,procrastinator
qwen,10,H10_C,True,34.8427851992,52.589075218,-61.3306123255,-62.9817514296,82.4420076421,-332.712927182,-97.8245366288,29.8529324241,-271.382314857,17.5625370357,False,False,False,False,False,False,MFamily_E,MFamily_E,caregiver,caregiver
qwen,10,H10_D,True,-147.543768966,115.824375435,70.7090766458,-199.87832483,363.631886855,341.328378477,-52.3345558636,247.80751142,270.619301831,20.7358658419,False,False,False,False,False,False,MFamily_E,MFamily_E,comedian,comedian
qwen,10,H10_E,True,67.930444416,-12.2282653964,-41.9225783101,-455.034026151,-477.209424103,-158.029346843,-522.964470567,-464.981158706,-116.106768533,28.697530895,False,False,False,False,False,False,MFamily_E,MFamily_E,pacifist,shaman
qwen,10,H10_F,True,-109.656570084,124.563311401,8.97097462022,-552.449658202,-394.949226259,-126.835928933,-442.793088118,-519.51253766,-135.806903553,29.5618231206,False,False,False,False,False,False,MFamily_E,MFamily_E,toddler,shaman
qwen,10,H10_G,True,-163.96967398,123.461834272,68.6816402754,439.074173697,345.941703925,-9.27416200713,603.043847678,222.479869653,-77.9558022826,23.0930334871,False,False,False,False,False,False,MFamily_E,MFamily_E,comedian,teenager
qwen,10,H10_H,True,-27.0346130884,101.905183998,179.126234999,289.16412334,173.629114918,137.783757963,316.198736428,71.7239309199,-41.3424770362,11.3351406775,False,False,False,False,False,False,MFamily_E,MFamily_E,cynic,comedian
qwen,10,H10_I,True,-399.795412202,322.684491077,219.136257867,72.6656973409,394.818251961,192.798687037,472.461109543,72.1337608841,-26.3375708302,16.1474140684,False,False,False,False,False,False,MFamily_E,MFamily_E,comedian,procrastinator
qwen,10,H10_J,True,-234.754887183,175.250358515,128.647321185,-31.0239081412,96.8651621861,386.428358226,203.730979041,-78.385196329,257.781037041,18.0601316531,False,False,False,False,False,False,MFamily_E,MFamily_E,comedian,cynic
llama,4,H04_A,True,4.47480300562,14.4328763673,20.5395289068,11.9476958616,8.57089599697,4.35095740767,7.47289285598,-5.86198037034,-16.1885714991,24.6115160789,False,False,False,False,False,False,MFamily_E,MFamily_E,infant,toddler
llama,4,H04_B,True,-1.37614770451,-4.14069739517,-1.3865473018,-1.16862516809,-4.8881947172,-3.60152047856,0.20752253642,-0.747497322033,-2.21497317676,3.23992525258,False,False,False,False,False,False,MFamily_A,MFamily_A,healer,pacifist
llama,4,H04_C,True,5.32821405448,11.528648744,19.3282504771,1.35564838811,-2.73972790752,4.6737654445,-3.97256566638,-14.2683766516,-14.6544850326,25.2239951672,False,False,False,False,False,False,MFamily_E,MFamily_A,infant,robot
llama,4,H04_D,True,-0.971894887116,-5.84541647402,5.20513579895,-11.3748244865,-3.15982800561,-1.42191101707,-10.4029295994,2.68558846841,-6.62704681602,13.3496059649,False,False,False,False,False,False,MFamily_A,MFamily_B,robot,mystic
llama,5,H05_A,True,-0.50070447894,-5.58943824433,-0.800935517543,1.23255185132,-4.33649126156,-2.85882068621,1.73325633026,1.25294698277,-2.05788516867,3.51160870544,False,False,False,False,False,False,MFamily_A,MFamily_A,emissary,pacifist
llama,5,H05_B,True,4.40058115571,14.4284978757,20.5387556301,13.0679302293,9.23554715358,4.34624962854,8.66734907355,-5.19295072213,-16.1925060015,24.7753657141,False,False,False,False,False,False,MFamily_E,MFamily_E,infant,toddler
llama,5,H05_C,True,5.56343729656,10.9207953132,18.7331704259,1.257224176,-2.40423484182,4.94410058157,-4.30621312056,-13.325030155,-13.7890698444,23.7551310281,False,False,False,False,False,False,MFamily_E,MFamily_E,infant,robot
llama,5,H05_D,True,0.640321461024,-6.49006500698,6.12946702449,-13.1883752428,-3.3174268592,-3.06899765252,-13.8286967038,3.17263814778,-9.19846467701,18.0729040427,False,False,False,False,False,False,MFamily_A,MFamily_B,robot,mystic
llama,5,H05_E,True,0.0853447610948,6.81613171878,10.210843329,-4.2544434139,-3.6084175738,-0.967370428221,-4.33978817499,-10.4245492926,-11.1782137572,19.1957437792,False,False,False,False,False,False,MFamily_E,MFamily_B,infant,spirit
llama,6,H06_A,True,-0.265733370005,-5.18271480691,-0.064496842812,3.52651639949,-4.04968728423,-2.81464376615,3.79224976949,1.13302752269,-2.75014692333,5.24264700972,False,False,False,False,False,False,MFamily_A,MFamily_A,emissary,activist
llama,6,H06_B,True,2.92796582929,13.1899844193,19.177784313,11.8954047147,8.80650934178,3.98544131286,8.96743888539,-4.38347507749,-15.1923430001,23.3885804188,False,False,False,False,False,False,MFamily_E,MFamily_E,infant,toddler
llama,6,H06_C,True,6.12824575403,11.6079275368,20.6345916256,3.47792378163,-0.296648487364,4.16714426349,-2.6503219724,-11.9045760241,-16.4674473621,26.2024235863,False,False,False,False,False,False,MFamily_E,MFamily_E,infant,robot
llama,6,H06_D,True,-0.664623013771,-6.81081967297,0.776477168007,-6.21139431371,-4.94796950163,-3.20462610211,-5.54677129994,1.86285017133,-3.98110327012,7.66816142161,False,False,False,False,False,False,MFamily_A,MFamily_B,theorist,mystic
llama,6,H06_E,True,0.190696088896,6.6125443976,8.35749970619,-4.24104693623,-3.29561785224,-2.07951932744,-4.43174302512,-9.90816224984,-10.4370190336,18.0796138676,False,False,False,False,False,False,MFamily_E,MFamily_B,infant,mystic
llama,6,H06_F,True,4.60961062327,11.7820422269,19.5893315341,-1.76923807443,-2.06486156875,6.13439425913,-6.37884869771,-13.8469037957,-13.454937275,23.9976404702,False,False,False,False,False,False,MFamily_E,MFamily_E,infant,robot
llama,7,H07_A,True,1.37971313974,-0.132076802908,9.70097072544,4.57642171963,-2.65234176228,3.56877082014,3.19670857988,-2.52026495937,-6.1321999053,9.4823122019,False,False,False,False,False,False,MFamily_E,MFamily_A,infant,robot
llama,7,H07_B,True,-0.29948928047,-5.23511285169,-0.483330499284,2.12099478359,-4.21985664128,-3.00195847846,2.42048406406,1.01525621041,-2.51862797918,4.27571734992,False,False,False,False,False,False,MFamily_A,MFamily_A,emissary,pacifist
llama,7,H07_C,True,2.57026020716,11.5957906969,18.682238598,12.4725137363,9.37956060247,4.35208288301,9.90225352909,-2.21623009442,-14.330155715,22.2620946561,False,False,False,False,False,False,MFamily_E,MFamily_E,infant,toddler
llama,7,H07_D,True,6.23903511407,14.0520628393,21.3276377329,2.55329434425,-0.0860141270946,3.27976431936,-3.68574076982,-14.1380769664,-18.0478734136,29.2593725784,False,False,False,False,False,False,MFamily_E,MFamily_E,infant,robot
llama,7,H07_E,True,-0.737045365602,-6.31076494275,2.30990199323,-6.31596007049,-4.9094798258,-3.18791734706,-5.57891470489,1.40128511696,-5.49781934029,9.3177928406,False,False,False,False,False,False,MFamily_A,MFamily_B,theorist,mystic
llama,7,H07_F,True,5.47774370035,11.3848538146,19.8114056898,-2.85600500532,-2.43002303715,5.19974626921,-8.33374870568,-13.8148768518,-14.6116594206,25.7449663268,False,False,False,False,False,False,MFamily_E,MFamily_E,infant,robot
llama,7,H07_G,True,-0.114980430259,7.43332891287,7.26943941647,-5.56297351499,-2.75130338515,-1.70417118931,-5.44799308473,-10.184632298,-8.97361060578,16.7956197293,False,False,False,False,False,False,MFamily_E,MFamily_B,infant,mystic
llama,8,H08_A,True,2.05225351734,-0.753826500085,9.74705784451,2.07168712282,-3.52848815684,2.75446202931,0.0194336054797,-2.77466165676,-6.9925958152,10.3086305024,False,False,False,False,False,False,MFamily_E,MFamily_A,infant,robot
llama,8,H08_B,True,-1.1986199823,-5.13908250887,-0.672867275419,-1.16443481184,-3.88344573639,-3.17752488944,0.0341851704603,1.25563677248,-2.50465761402,3.76577964805,False,False,False,False,False,False,MFamily_A,MFamily_A,philosopher,pacifist
llama,8,H08_C,True,0.424724687526,3.47997399149,6.55833858214,8.98735471443,3.66235102092,-2.24289599504,8.56263002691,0.182377029428,-8.80123457718,14.5928489269,False,False,False,False,False,False,MFamily_E,MFamily_C,infant,teenager
llama,8,H08_D,True,4.83826312501,2.85879902765,7.91339625853,4.15487587841,-2.96928101521,1.49059186978,-0.683387246598,-5.82808004285,-6.42280438874,10.746846657,False,False,False,False,False,False,MFamily_E,MFamily_A,infant,planner
llama,8,H08_E,True,5.33905957839,13.8885834736,22.4032533406,5.38593367297,2.525439545,4.251988965,0.0468740945785,-11.3631439286,-18.1512643756,28.0660003431,False,False,False,False,False,False,MFamily_E,MFamily_E,infant,infant
llama,8,H08_F,True,4.73051535107,12.369557211,19.2354674819,-0.70201405652,-2.07819301695,4.80583747956,-5.43252940759,-14.4477502279,-14.4296300023,25.2633468115,False,False,False,False,False,False,MFamily_E,MFamily_E,infant,robot
llama,8,H08_G,True,1.14245951916,-6.28487107178,7.95634993232,-18.6132654744,-3.95937537353,-0.82455285566,-19.7557249936,2.32549569825,-8.78090278798,21.4199571111,False,False,False,False,False,False,MFamily_E,MFamily_B,robot,eldritch
llama,8,H08_H,True,-0.168813940737,13.7618206456,16.5190401461,-5.30450489579,-1.19218712966,-0.546309821362,-5.13569095506,-14.9540077753,-17.0653499675,28.5996594725,False,False,False,False,False,False,MFamily_E,MFamily_B,infant,spirit
llama,9,H09_A,False,2.86079107899,-1.82806808043,11.279977853,4.04773457231,-3.33093707788,2.7707151807,1.18694349332,-1.50286899746,-8.50926267229,12.2457377648,False,False,False,False,False,False,MFamily_E,MFamily_A,infant,robot
llama,9,H09_B,False,-1.38554138193,-4.61658702719,-0.155972724345,1.11749805721,-3.90599688998,-3.06149080973,2.50303943914,0.710590137216,-2.90551808538,4.7284365201,False,False,False,False,False,False,MFamily_A,MFamily_A,philosopher,pacifist
llama,9,H09_C,False,3.53728061261,11.3170109541,20.325927339,9.40314853257,4.92195010101,5.68940713379,5.86586791996,-6.39506085309,-14.6365202052,22.3262340804,False,False,False,False,False,False,MFamily_E,MFamily_E,infant,infant
llama,9,H09_D,False,4.80629218724,3.00400991784,5.88835836673,5.94543151571,-1.8555096298,1.17579942834,1.13913932847,-4.85951954765,-4.71255893839,8.24120867054,False,False,False,False,False,False,MFamily_E,MFamily_A,infant,planner
llama,9,H09_E,False,0.267907066802,-8.86897543552,2.63186333144,-7.71972712707,-4.15259332843,-3.11370411013,-7.98763419388,4.71638210709,-5.74556744157,11.6700359406,False,False,False,False,False,False,MFamily_A,MFamily_B,theorist,mystic
llama,9,H09_F,False,0.158689262493,8.55064988634,8.26711793187,2.96599526995,2.79951482721,-2.94790053129,2.80730600745,-5.75113505914,-11.2150184632,17.0784067183,False,False,False,False,False,False,MFamily_E,MFamily_C,infant,prisoner
llama,9,H09_G,False,4.44528899773,15.0668937173,21.6716476142,-0.308680941889,-0.371306308643,4.39495409262,-4.75396993962,-15.4382000259,-17.2766935216,29.0418313723,False,False,False,False,False,False,MFamily_E,MFamily_E,infant,robot
llama,9,H09_H,False,6.50306260476,10.8861891407,20.0324128299,-2.05409445259,-1.88691199,4.88139238207,-8.55715705735,-12.7731011307,-15.1510204478,25.9331436996,False,False,False,False,False,False,MFamily_E,MFamily_E,infant,robot
llama,9,H09_I,False,-0.495247807518,8.86127586121,10.8164916555,-7.54438535689,-4.55650537423,-0.923515378016,-7.04913754938,-13.4177812354,-11.7400070335,22.0068332125,False,False,False,False,False,False,MFamily_E,MFamily_B,infant,spirit
llama,10,H10_A,True,0.578552425547,-7.51114981747,5.28726364412,4.81514126348,-5.10263995808,-0.368287940822,4.23658883793,2.40850985938,-5.65555158494,9.15994947478,False,False,False,False,False,False,MFamily_A,MFamily_A,robot,supervisor
llama,10,H10_B,True,6.90581102735,10.3339144193,19.4474457271,6.35664970109,1.69030132692,4.1157588125,-0.549161326255,-8.64361309239,-15.3316869146,23.368063729,False,False,False,False,False,False,MFamily_E,MFamily_E,infant,toddler
llama,10,H10_C,True,1.33987493375,-1.41633755828,1.81880772265,5.11864744137,-2.10005531597,-0.0280654390845,3.77877250762,-0.683717757689,-1.84687316174,4.26994248504,False,False,False,False,False,False,MFamily_A,MFamily_A,robot,supervisor
llama,10,H10_D,True,0.997725933941,5.9826333016,13.6647887234,14.1692925405,7.96805651285,3.71090851578,13.1715666066,1.98542321124,-9.95388020761,18.350902078,False,False,False,False,False,False,MFamily_E,MFamily_E,infant,toddler
llama,10,H10_E,True,-1.17786578382,-5.2751112494,-0.304404914315,-3.05126227189,-4.50425396691,-3.0937057682,-1.87339648807,0.77085728249,-2.78930085388,4.35876618474,False,False,False,False,False,False,MFamily_A,MFamily_B,emissary,pilgrim
llama,10,H10_F,True,-1.18533495786,0.737394864805,2.07570601476,-2.03181617103,-3.77057324153,-3.96126817344,-0.846481213166,-4.50796810633,-6.03697418819,9.65823329889,False,False,False,False,False,False,MFamily_B,MFamily_B,predator,pacifist
llama,10,H10_G,True,4.48993536496,11.4814152218,17.3645647088,-0.135778642872,-2.88543319064,4.52504466025,-4.62571400783,-14.3668484124,-12.8395200485,23.2805638362,False,False,False,False,False,False,MFamily_E,MFamily_A,infant,robot
llama,10,H10_H,True,7.03640963807,4.82255455466,22.369768201,-20.7055942854,-0.51100624114,2.24394970494,-27.7420039234,-5.3335607958,-20.1258184961,37.8701747881,False,False,False,False,False,False,MFamily_E,MFamily_B,infant,eldritch
llama,10,H10_I,True,6.30140086456,19.3275889329,27.1226283865,-4.50359152332,2.48901376301,2.46664897712,-10.8049923879,-16.8385751699,-24.6559794093,39.8047889234,False,False,False,False,False,False,MFamily_E,MFamily_B,infant,void
llama,10,H10_J,True,2.08154554715,8.18335696994,16.5061950776,-4.21252817117,-3.12995354925,3.66155107202,-6.29407371832,-11.3133105192,-12.8446440056,21.9862484653,False,False,False,False,False,False,MFamily_E,MFamily_B,infant,eldritch
gemma,4,H04_A,True,7767.06119927,-7579.81691952,-3976.92426401,14726.7219016,26542.6297155,63580.4018125,6959.66070231,34122.446635,67557.3260765,279.256304544,False,False,False,False,False,False,MFamily_A,MFamily_D,moderator,narcissist
gemma,4,H04_B,True,4999.06769154,-8949.57320635,3787.97402317,3481.1993362,29105.0150946,48073.0212335,-1517.86835534,38054.588301,44285.0472103,199.741354509,False,False,False,False,False,False,MFamily_A,MFamily_D,robot,narcissist
gemma,4,H04_C,True,8586.86811413,-91.1055490041,10863.5189125,25362.1115856,7663.59363037,49644.4238339,16775.2434715,7754.69917938,38780.9049214,156.459603338,False,False,False,False,False,False,MFamily_D,MFamily_D,narcissist,narcissist
gemma,4,H04_D,True,6060.65905072,-13381.0542512,3836.10317852,6757.17328755,5391.55323608,33552.9494958,696.514236827,18772.6074873,29716.8463173,126.182370271,False,False,False,False,False,False,MFamily_A,MFamily_D,robot,narcissist
gemma,5,H05_A,True,4142.21896907,-6539.73463399,3542.56286301,4046.66823838,13880.8831037,23568.9742949,-95.5507306913,20420.6177377,20026.4114319,94.7639726012,False,False,False,False,False,False,MFamily_A,MFamily_D,robot,narcissist
gemma,5,H05_B,True,6876.03593757,-7286.3610117,-5632.84147716,13298.3825747,28807.3591894,64981.6908432,6422.34663714,36093.7202011,70614.5323204,292.176840151,False,False,False,False,False,False,MFamily_A,MFamily_D,healer,narcissist
gemma,5,H05_C,True,8489.30959428,488.506187011,10868.8452713,24195.8931663,7125.43359715,47921.3713409,15706.5835721,6636.92741014,37052.5260697,149.112535003,False,False,False,False,False,False,MFamily_D,MFamily_D,narcissist,narcissist
gemma,5,H05_D,True,6415.50343307,-10948.7012249,3410.80359891,7857.85083519,882.367322171,24109.2030688,1442.34740212,11831.0685471,20698.3994699,86.718908029,False,False,False,False,False,False,MFamily_A,MFamily_D,robot,narcissist
gemma,5,H05_E,True,10463.8198356,-14387.5312281,6473.35138122,13235.5303601,46638.2687586,97673.7252357,2771.71052452,61025.7999868,91200.3738545,390.81024956,False,False,False,False,False,False,MFamily_A,MFamily_D,robot,narcissist
gemma,6,H06_A,True,3476.15660592,-5241.99052283,3343.63980739,5430.45268239,11438.1250244,17273.1739788,1954.29607647,16680.1155472,13929.5341715,69.8546347692,False,False,False,False,False,False,MFamily_A,MFamily_D,robot,narcissist
gemma,6,H06_B,True,6997.69266292,-10038.0175999,-5400.22662683,8495.56635564,37217.1532111,73124.5004281,1497.87369272,47255.170811,78524.727055,331.088838524,False,False,False,False,False,False,MFamily_A,MFamily_D,healer,narcissist
gemma,6,H06_C,True,8666.77949533,-798.059408838,8558.37692421,23590.8375907,6918.15519711,46288.1186798,14924.0580954,7716.21460595,37729.7417556,151.744640827,False,False,False,False,False,False,MFamily_D,MFamily_D,narcissist,narcissist
gemma,6,H06_D,True,5738.55408494,-10894.4489776,3052.56706741,5319.86611369,10124.9242118,31528.9182142,-418.68797125,21019.3731894,28476.3511467,124.195514784,False,False,False,False,False,False,MFamily_A,MFamily_D,robot,narcissist
gemma,6,H06_E,True,9835.53350979,-13001.7626156,5277.35442715,10222.7447265,48714.0273584,92312.9944007,387.211216722,61715.7899739,87035.6399736,376.718491084,False,False,False,False,False,False,MFamily_A,MFamily_D,robot,narcissist
gemma,6,H06_F,True,8490.50143783,-1076.23255328,11347.8484522,25807.2970902,8995.02537559,56371.7432595,17316.7956524,10071.2579289,45023.8948073,181.216522161,False,False,False,False,False,False,MFamily_D,MFamily_D,narcissist,narcissist
gemma,7,H07_A,True,19454.5664406,-23513.2950888,21275.3102491,19418.2061387,-4987.00579729,51280.4085326,-36.3603018682,18526.2892915,30005.0982835,126.969223768,False,False,False,False,False,False,MFamily_A,MFamily_D,robot,narcissist
gemma,7,H07_B,True,3427.65718785,-5011.03630335,2855.25016255,3955.77395722,13091.9510928,19647.170755,528.116769368,18102.9873962,16791.9205925,80.9314661218,False,False,False,False,False,False,MFamily_A,MFamily_D,robot,narcissist
gemma,7,H07_C,True,6267.09512424,-10396.3024887,-6680.42785515,7009.69213638,40714.2468822,74070.2894072,742.597012138,51110.5493708,80750.7172623,342.964177974,False,False,False,False,False,False,MFamily_A,MFamily_D,healer,narcissist
