model,model_label,trait_set,K,profile_id,profile_size,profile_proportion,eligible_primary_k,human_stability_tier,projection_status,model_usability_gate,ridge_kde_density,terrain_sparsity_percentile,inside_50_sample_coverage,inside_80_sample_coverage,inside_95_sample_coverage,beyond_95_warning
llama,LLaMA 3.3 70B,12,9,H09_B,2017,0.141982261016,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,1.70563538752e-16,100,False,False,False,True
llama,LLaMA 3.3 70B,12,9,H09_C,1523,0.107208221878,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,0,100,False,False,False,True
llama,LLaMA 3.3 70B,12,9,H09_D,1847,0.130015486414,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,2.67339368415e-20,100,False,False,False,True
llama,LLaMA 3.3 70B,12,9,H09_E,1218,0.0857384203858,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,4.66801313516e-69,100,False,False,False,True
llama,LLaMA 3.3 70B,12,9,H09_F,2508,0.17654512178,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,2.20807017437e-59,100,False,False,False,True
llama,LLaMA 3.3 70B,12,9,H09_G,1422,0.100098549908,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,0,100,False,False,False,True
llama,LLaMA 3.3 70B,12,9,H09_H,888,0.062508799099,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,0,100,False,False,False,True
llama,LLaMA 3.3 70B,12,9,H09_I,1611,0.113402787555,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,3.03075185619e-122,100,False,False,False,True
llama,LLaMA 3.3 70B,12,10,H10_A,1180,0.0830634942982,True,low,PRIMARY_ELIGIBLE,USABLE,9.11747152736e-79,100,False,False,False,True
llama,LLaMA 3.3 70B,12,10,H10_B,1203,0.0846825285091,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
llama,LLaMA 3.3 70B,12,10,H10_C,1940,0.13656201605,True,low,PRIMARY_ELIGIBLE,USABLE,0.000158550220484,100,False,False,False,True
llama,LLaMA 3.3 70B,12,10,H10_D,1890,0.133042376461,True,low,PRIMARY_ELIGIBLE,USABLE,5.44201587809e-199,100,False,False,False,True
llama,LLaMA 3.3 70B,12,10,H10_E,1518,0.106856257919,True,low,PRIMARY_ELIGIBLE,USABLE,1.87070118285e-21,100,False,False,False,True
llama,LLaMA 3.3 70B,12,10,H10_F,2001,0.140855976348,True,low,PRIMARY_ELIGIBLE,USABLE,2.95846070322e-06,100,False,False,False,True
llama,LLaMA 3.3 70B,12,10,H10_G,1157,0.0814444600873,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
llama,LLaMA 3.3 70B,12,10,H10_H,777,0.0546951992116,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
llama,LLaMA 3.3 70B,12,10,H10_I,1491,0.104955652541,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
llama,LLaMA 3.3 70B,12,10,H10_J,1049,0.0738420385752,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,4,H04_C,3304,0.232577784035,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,4,H04_D,2183,0.153667464452,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,5,H05_A,3405,0.239687456005,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,5,H05_B,3813,0.26840771505,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,5,H05_C,2847,0.200408278192,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,5,H05_D,1730,0.121779529776,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,5,H05_E,2411,0.169717020977,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,6,H06_A,2967,0.208855413206,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,6,H06_B,2874,0.20230888357,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,6,H06_C,2479,0.174503730818,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,6,H06_D,1741,0.122553850486,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,6,H06_E,2507,0.176474728988,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,6,H06_F,1638,0.115303392933,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,7,H07_A,1371,0.0965085175278,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,7,H07_B,2794,0.196677460228,True,low,PRIMARY_ELIGIBLE,USABLE,5.9589159194e-309,100,False,False,False,True
gemma,Gemma 2 27B,12,7,H07_C,2925,0.205898915951,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,7,H07_D,2001,0.140855976348,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,7,H07_E,1531,0.107771364212,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,7,H07_F,1364,0.0960157679854,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,7,H07_G,2220,0.156271997747,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,8,H08_A,1266,0.0891172743911,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,8,H08_B,2247,0.158172603125,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,8,H08_C,2489,0.175207658736,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,8,H08_D,1880,0.132338448543,True,low,PRIMARY_ELIGIBLE,USABLE,1.59204403476e-317,100,False,False,False,True
gemma,Gemma 2 27B,12,8,H08_E,1945,0.136913980008,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,8,H08_F,1206,0.0848937068844,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,8,H08_G,1237,0.0870758834295,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,8,H08_H,1936,0.136280444882,True,low,PRIMARY_ELIGIBLE,USABLE,5.57292340615e-188,100,False,False,False,True
gemma,Gemma 2 27B,12,9,H09_A,1172,0.082500351964,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,9,H09_B,2017,0.141982261016,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,9,H09_C,1523,0.107208221878,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,9,H09_D,1847,0.130015486414,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,9,H09_E,1218,0.0857384203858,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,9,H09_F,2508,0.17654512178,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,9.87565178906e-276,100,False,False,False,True
gemma,Gemma 2 27B,12,9,H09_G,1422,0.100098549908,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,9,H09_H,888,0.062508799099,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,9,H09_I,1611,0.113402787555,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,10,H10_A,1180,0.0830634942982,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,10,H10_B,1203,0.0846825285091,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,10,H10_C,1940,0.13656201605,True,low,PRIMARY_ELIGIBLE,USABLE,1.93974062397e-80,100,False,False,False,True
gemma,Gemma 2 27B,12,10,H10_D,1890,0.133042376461,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,10,H10_E,1518,0.106856257919,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,10,H10_F,2001,0.140855976348,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,10,H10_G,1157,0.0814444600873,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,10,H10_H,777,0.0546951992116,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
gemma,Gemma 2 27B,12,10,H10_I,1491,0.104955652541,True,low,PRIMARY_ELIGIBLE,USABLE,1.93781389087e-131,100,False,False,False,True
gemma,Gemma 2 27B,12,10,H10_J,1049,0.0738420385752,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
qwen,Qwen 3 32B,45,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
qwen,Qwen 3 32B,45,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
qwen,Qwen 3 32B,45,4,H04_C,3304,0.232577784035,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
qwen,Qwen 3 32B,45,4,H04_D,2183,0.153667464452,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
qwen,Qwen 3 32B,45,5,H05_A,3405,0.239687456005,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
qwen,Qwen 3 32B,45,5,H05_B,3813,0.26840771505,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
qwen,Qwen 3 32B,45,5,H05_C,2847,0.200408278192,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
qwen,Qwen 3 32B,45,5,H05_D,1730,0.121779529776,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
qwen,Qwen 3 32B,45,5,H05_E,2411,0.169717020977,True,moderate,PRIMARY_ELIGIBLE,USABLE,8.23580746167e-276,100,False,False,False,True
qwen,Qwen 3 32B,45,6,H06_A,2967,0.208855413206,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
qwen,Qwen 3 32B,45,6,H06_B,2874,0.20230888357,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
qwen,Qwen 3 32B,45,6,H06_C,2479,0.174503730818,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
qwen,Qwen 3 32B,45,6,H06_D,1741,0.122553850486,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
qwen,Qwen 3 32B,45,6,H06_E,2507,0.176474728988,True,moderate,PRIMARY_ELIGIBLE,USABLE,6.41629507996e-288,100,False,False,False,True
qwen,Qwen 3 32B,45,6,H06_F,1638,0.115303392933,True,moderate,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
qwen,Qwen 3 32B,45,7,H07_A,1371,0.0965085175278,True,low,PRIMARY_ELIGIBLE,USABLE,2.3286845492e-318,100,False,False,False,True
qwen,Qwen 3 32B,45,7,H07_B,2794,0.196677460228,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
qwen,Qwen 3 32B,45,7,H07_C,2925,0.205898915951,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
qwen,Qwen 3 32B,45,7,H07_D,2001,0.140855976348,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
qwen,Qwen 3 32B,45,7,H07_E,1531,0.107771364212,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
qwen,Qwen 3 32B,45,7,H07_F,1364,0.0960157679854,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
qwen,Qwen 3 32B,45,7,H07_G,2220,0.156271997747,True,low,PRIMARY_ELIGIBLE,USABLE,3.65539989283e-266,100,False,False,False,True
qwen,Qwen 3 32B,45,8,H08_A,1266,0.0891172743911,True,low,PRIMARY_ELIGIBLE,USABLE,5.42279886239e-285,100,False,False,False,True
qwen,Qwen 3 32B,45,8,H08_B,2247,0.158172603125,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
qwen,Qwen 3 32B,45,8,H08_C,2489,0.175207658736,True,low,PRIMARY_ELIGIBLE,USABLE,8.26366235205e-211,100,False,False,False,True
qwen,Qwen 3 32B,45,8,H08_D,1880,0.132338448543,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
qwen,Qwen 3 32B,45,8,H08_E,1945,0.136913980008,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
qwen,Qwen 3 32B,45,8,H08_F,1206,0.0848937068844,True,low,PRIMARY_ELIGIBLE,USABLE,0,100,False,False,False,True
qwen,Qwen 3 32B,45,8,H08_G,1237,0.0870758834295,True,low,PRIMARY_ELIGIBLE,USABLE,2.57910852328e-286,100,False,False,False,True
qwen,Qwen 3 32B,45,8,H08_H,1936,0.136280444882,True,low,PRIMARY_ELIGIBLE,USABLE,7.37959048284e-129,100,False,False,False,True
qwen,Qwen 3 32B,45,9,H09_A,1172,0.082500351964,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,0,100,False,False,False,True
qwen,Qwen 3 32B,45,9,H09_B,2017,0.141982261016,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,0,100,False,False,False,True
