model,model_label,role,trait_set,trait_order,trait,raw_trait_value,row_trait_mean,centered_l2_norm,shape_value
qwen,Qwen 3 32B,absurdist,12,6,innovative,0.19335629998,0.0169035748299,0.760087322105,0.232147965133
qwen,Qwen 3 32B,absurdist,12,7,introspective,0.510390812739,0.0169035748299,0.760087322105,0.64925071575
qwen,Qwen 3 32B,absurdist,12,8,judgmental,-0.10986469391,0.0169035748299,0.760087322105,-0.166781190862
qwen,Qwen 3 32B,absurdist,12,9,manipulative,-0.0841521566157,0.0169035748299,0.760087322105,-0.132952791747
qwen,Qwen 3 32B,absurdist,12,10,optimistic,-0.110320976676,0.0169035748299,0.760087322105,-0.167381493949
qwen,Qwen 3 32B,absurdist,12,11,pessimistic,0.0740283796899,0.0169035748299,0.760087322105,0.0751555817321
qwen,Qwen 3 32B,absurdist,12,12,traditional,-0.138769654497,0.0169035748299,0.760087322105,-0.204809664363
qwen,Qwen 3 32B,accountant,12,1,adventurous,-0.161015823016,-0.0760619132634,0.784981129151,-0.108224142718
qwen,Qwen 3 32B,accountant,12,2,altruistic,0.0631233369478,-0.0760619132634,0.784981129151,0.17731031364
qwen,Qwen 3 32B,accountant,12,3,forgiving,-0.051593905315,-0.0760619132634,0.784981129151,0.0311701861863
qwen,Qwen 3 32B,accountant,12,4,grandiose,-0.00676340984276,-0.0760619132634,0.784981129151,0.0882804705071
qwen,Qwen 3 32B,accountant,12,5,impulsive,-0.573807013587,-0.0760619132634,0.784981129151,-0.634085434464
qwen,Qwen 3 32B,accountant,12,6,innovative,0.00195458305245,-0.0760619132634,0.784981129151,0.0993864609207
qwen,Qwen 3 32B,accountant,12,7,introspective,0.408277404998,-0.0760619132634,0.784981129151,0.617007594546
qwen,Qwen 3 32B,accountant,12,8,judgmental,-0.290230013804,-0.0760619132634,0.784981129151,-0.272832164478
qwen,Qwen 3 32B,accountant,12,9,manipulative,-0.252531331704,-0.0760619132634,0.784981129151,-0.224807211138
qwen,Qwen 3 32B,accountant,12,10,optimistic,-0.0863824844449,-0.0760619132634,0.784981129151,-0.0131475404927
qwen,Qwen 3 32B,accountant,12,11,pessimistic,-0.00344702057671,-0.0760619132634,0.784981129151,0.0925052717704
qwen,Qwen 3 32B,accountant,12,12,traditional,0.0396727181308,-0.0760619132634,0.784981129151,0.14743619572
qwen,Qwen 3 32B,activist,12,1,adventurous,-0.0529174979302,-0.0380394346587,0.770030440089,-0.0193213962682
qwen,Qwen 3 32B,activist,12,2,altruistic,0.130837458623,-0.0380394346587,0.770030440089,0.219311970657
qwen,Qwen 3 32B,activist,12,3,forgiving,0.00576018303547,-0.0380394346587,0.770030440089,0.0568803717541
qwen,Qwen 3 32B,activist,12,4,grandiose,0.0326336646277,-0.0380394346587,0.770030440089,0.0917796175412
qwen,Qwen 3 32B,activist,12,5,impulsive,-0.510685925453,-0.0380394346587,0.770030440089,-0.613802346229
qwen,Qwen 3 32B,activist,12,6,innovative,0.0925287212727,-0.0380394346587,0.770030440089,0.16956233044
qwen,Qwen 3 32B,activist,12,7,introspective,0.454437158673,-0.0380394346587,0.770030440089,0.63955470809
qwen,Qwen 3 32B,activist,12,8,judgmental,-0.244140690463,-0.0380394346587,0.770030440089,-0.267653387547
qwen,Qwen 3 32B,activist,12,9,manipulative,-0.209384063587,-0.0380394346587,0.770030440089,-0.222516695455
qwen,Qwen 3 32B,activist,12,10,optimistic,-0.0595328380614,-0.0380394346587,0.770030440089,-0.027912407463
qwen,Qwen 3 32B,activist,12,11,pessimistic,-0.0178402183575,-0.0380394346587,0.770030440089,0.0262317114358
qwen,Qwen 3 32B,activist,12,12,traditional,-0.0781691682847,-0.0380394346587,0.770030440089,-0.0521144769567
qwen,Qwen 3 32B,actor,12,1,adventurous,0.0100446183901,-0.00181907044443,0.738527784894,0.0160639708853
qwen,Qwen 3 32B,actor,12,2,altruistic,0.0825356001335,-0.00181907044443,0.738527784894,0.114220036542
qwen,Qwen 3 32B,actor,12,3,forgiving,0.0440952323456,-0.00181907044443,0.738527784894,0.0621700411672
qwen,Qwen 3 32B,actor,12,4,grandiose,0.102972645324,-0.00181907044443,0.738527784894,0.141892719423
qwen,Qwen 3 32B,actor,12,5,impulsive,-0.453615647502,-0.00181907044443,0.738527784894,-0.611752985193
qwen,Qwen 3 32B,actor,12,6,innovative,0.123377548745,-0.00181907044443,0.738527784894,0.169521880896
qwen,Qwen 3 32B,actor,12,7,introspective,0.496143523645,-0.00181907044443,0.738527784894,0.674263858821
qwen,Qwen 3 32B,actor,12,8,judgmental,-0.200639151817,-0.00181907044443,0.738527784894,-0.269211376254
qwen,Qwen 3 32B,actor,12,9,manipulative,-0.110135007926,-0.00181907044443,0.738527784894,-0.146664674907
qwen,Qwen 3 32B,actor,12,10,optimistic,-0.0458191204665,-0.00181907044443,0.738527784894,-0.0595780564009
qwen,Qwen 3 32B,actor,12,11,pessimistic,-0.00486650028234,-0.00181907044443,0.738527784894,-0.00412635773527
qwen,Qwen 3 32B,actor,12,12,traditional,-0.0659225859218,-0.00181907044443,0.738527784894,-0.0867990572441
qwen,Qwen 3 32B,addict,12,1,adventurous,0.000568305335749,-0.00611623184609,0.706763691728,0.00945795215583
qwen,Qwen 3 32B,addict,12,2,altruistic,0.0747739541594,-0.00611623184609,0.706763691728,0.114451530196
qwen,Qwen 3 32B,addict,12,3,forgiving,0.0615375892653,-0.00611623184609,0.706763691728,0.0957233965231
qwen,Qwen 3 32B,addict,12,4,grandiose,0.0346217878624,-0.00611623184609,0.706763691728,0.0576402271159
qwen,Qwen 3 32B,addict,12,5,impulsive,-0.423233784029,-0.00611623184609,0.706763691728,-0.590179655612
qwen,Qwen 3 32B,addict,12,6,innovative,0.106739510498,-0.00611623184609,0.706763691728,0.159679598237
qwen,Qwen 3 32B,addict,12,7,introspective,0.493023479991,-0.00611623184609,0.706763691728,0.706232815408
qwen,Qwen 3 32B,addict,12,8,judgmental,-0.192230680564,-0.00611623184609,0.706763691728,-0.263333347336
qwen,Qwen 3 32B,addict,12,9,manipulative,-0.0984569077283,-0.00611623184609,0.706763691728,-0.130652829175
qwen,Qwen 3 32B,addict,12,10,optimistic,-0.051746099575,-0.00611623184609,0.706763691728,-0.0645617032439
qwen,Qwen 3 32B,addict,12,11,pessimistic,0.00143430841792,-0.00611623184609,0.706763691728,0.0106832599812
qwen,Qwen 3 32B,addict,12,12,traditional,-0.0804262457858,-0.00611623184609,0.706763691728,-0.105141244251
qwen,Qwen 3 32B,adolescent,12,1,adventurous,0.0257579134742,-0.00671944611433,0.633777098382,0.0512441356298
qwen,Qwen 3 32B,adolescent,12,2,altruistic,0.0403145292471,-0.00671944611433,0.633777098382,0.0742121725155
qwen,Qwen 3 32B,adolescent,12,3,forgiving,0.0624556272285,-0.00671944611433,0.633777098382,0.109147322488
qwen,Qwen 3 32B,adolescent,12,4,grandiose,-0.0285822481911,-0.00671944611433,0.633777098382,-0.0344960430609
qwen,Qwen 3 32B,adolescent,12,5,impulsive,-0.362511505273,-0.00671944611433,0.633777098382,-0.561383584334
qwen,Qwen 3 32B,adolescent,12,6,innovative,0.118550297301,-0.00671944611433,0.633777098382,0.197655837889
qwen,Qwen 3 32B,adolescent,12,7,introspective,0.451337791154,-0.00671944611433,0.633777098382,0.72274185741
qwen,Qwen 3 32B,adolescent,12,8,judgmental,-0.169734624177,-0.00671944611433,0.633777098382,-0.257212162571
qwen,Qwen 3 32B,adolescent,12,9,manipulative,-0.0871973907748,-0.00671944611433,0.633777098382,-0.126981465354
qwen,Qwen 3 32B,adolescent,12,10,optimistic,-0.0201709546601,-0.00671944611433,0.633777098382,-0.0212243525053
qwen,Qwen 3 32B,adolescent,12,11,pessimistic,-0.0162472629008,-0.00671944611433,0.633777098382,-0.0150333876229
qwen,Qwen 3 32B,adolescent,12,12,traditional,-0.0946055258,-0.00671944611433,0.633777098382,-0.138670330484
qwen,Qwen 3 32B,advocate,12,1,adventurous,-0.0756255831951,-0.0395425399612,0.770393686441,-0.0468371481606
qwen,Qwen 3 32B,advocate,12,2,altruistic,0.129187145323,-0.0395425399612,0.770393686441,0.219017481911
qwen,Qwen 3 32B,advocate,12,3,forgiving,0.0252821161734,-0.0395425399612,0.770393686441,0.0841448434424
qwen,Qwen 3 32B,advocate,12,4,grandiose,0.0353465937451,-0.0395425399612,0.770393686441,0.0972089141232
qwen,Qwen 3 32B,advocate,12,5,impulsive,-0.522898373008,-0.0395425399612,0.770393686441,-0.627414063165
qwen,Qwen 3 32B,advocate,12,6,innovative,0.0623709585926,-0.0395425399612,0.770393686441,0.1322875568
qwen,Qwen 3 32B,advocate,12,7,introspective,0.43969060271,-0.0395425399612,0.770393686441,0.622062655893
qwen,Qwen 3 32B,advocate,12,8,judgmental,-0.266157290228,-0.0395425399612,0.770393686441,-0.294154474855
qwen,Qwen 3 32B,advocate,12,9,manipulative,-0.208146737091,-0.0395425399612,0.770393686441,-0.218854593563
qwen,Qwen 3 32B,advocate,12,10,optimistic,-0.0311406671996,-0.0395425399612,0.770393686441,0.0109059470625
qwen,Qwen 3 32B,advocate,12,11,pessimistic,-0.0423766866684,-0.0395425399612,0.770393686441,-0.00367882909353
qwen,Qwen 3 32B,advocate,12,12,traditional,-0.020042558688,-0.0395425399612,0.770393686441,0.0253117096057
qwen,Qwen 3 32B,alien,12,1,adventurous,-0.022335678264,-0.00967405578295,0.804658688823,-0.015735395214
qwen,Qwen 3 32B,alien,12,2,altruistic,0.0913812953013,-0.00967405578295,0.804658688823,0.12558784549
qwen,Qwen 3 32B,alien,12,3,forgiving,0.0133444381581,-0.00967405578295,0.804658688823,0.0286065312669
qwen,Qwen 3 32B,alien,12,4,grandiose,0.168391523754,-0.00967405578295,0.804658688823,0.221293303621
qwen,Qwen 3 32B,alien,12,5,impulsive,-0.506177512397,-0.00967405578295,0.804658688823,-0.617036096808
qwen,Qwen 3 32B,alien,12,6,innovative,0.127793276473,-0.00967405578295,0.804658688823,0.170839306361
qwen,Qwen 3 32B,alien,12,7,introspective,0.506252056331,-0.00967405578295,0.804658688823,0.641173853313
qwen,Qwen 3 32B,alien,12,8,judgmental,-0.220041806553,-0.00967405578295,0.804658688823,-0.261437244998
qwen,Qwen 3 32B,alien,12,9,manipulative,-0.148263275769,-0.00967405578295,0.804658688823,-0.172233546858
qwen,Qwen 3 32B,alien,12,10,optimistic,-0.0833097775164,-0.00967405578295,0.804658688823,-0.0915117462302
qwen,Qwen 3 32B,alien,12,11,pessimistic,0.0237528001029,-0.00967405578295,0.804658688823,0.0415416577863
qwen,Qwen 3 32B,alien,12,12,traditional,-0.0668760090164,-0.00967405578295,0.804658688823,-0.0710884677292
qwen,Qwen 3 32B,altruist,12,1,adventurous,-0.1147044758,-0.0434943056288,0.799154363512,-0.0891069027744
qwen,Qwen 3 32B,altruist,12,2,altruistic,0.164558272556,-0.0434943056288,0.799154363512,0.260340914952
qwen,Qwen 3 32B,altruist,12,3,forgiving,0.0693178972322,-0.0434943056288,0.799154363512,0.14116447086
qwen,Qwen 3 32B,altruist,12,4,grandiose,0.0132440596655,-0.0434943056288,0.799154363512,0.0709980047471
qwen,Qwen 3 32B,altruist,12,5,impulsive,-0.532518229287,-0.0434943056288,0.799154363512,-0.611926739046
qwen,Qwen 3 32B,altruist,12,6,innovative,0.0220903931491,-0.0434943056288,0.799154363512,0.0820676226926
qwen,Qwen 3 32B,altruist,12,7,introspective,0.434593376562,-0.0434943056288,0.799154363512,0.598241971788
qwen,Qwen 3 32B,altruist,12,8,judgmental,-0.302174453233,-0.0434943056288,0.799154363512,-0.323692342075
qwen,Qwen 3 32B,altruist,12,9,manipulative,-0.217304534933,-0.0434943056288,0.799154363512,-0.21749268632
qwen,Qwen 3 32B,altruist,12,10,optimistic,-0.010521180807,-0.0434943056288,0.799154363512,0.0412600197499
qwen,Qwen 3 32B,altruist,12,11,pessimistic,-0.0653579750855,-0.0434943056288,0.799154363512,-0.0273585060096
qwen,Qwen 3 32B,altruist,12,12,traditional,0.0168451824364,-0.0434943056288,0.799154363512,0.0755041714344
qwen,Qwen 3 32B,amateur,12,1,adventurous,-0.0458958428549,-0.0270532122548,0.747257832209,-0.0252157017135
qwen,Qwen 3 32B,amateur,12,2,altruistic,0.112326915019,-0.0270532122548,0.747257832209,0.186522136358
qwen,Qwen 3 32B,amateur,12,3,forgiving,0.10624066052,-0.0270532122548,0.747257832209,0.178377351203
qwen,Qwen 3 32B,amateur,12,4,grandiose,-0.0327545794824,-0.0270532122548,0.747257832209,-0.00762971892948
qwen,Qwen 3 32B,amateur,12,5,impulsive,-0.463610157992,-0.0270532122548,0.747257832209,-0.584211937192
qwen,Qwen 3 32B,amateur,12,6,innovative,0.0619280972106,-0.0270532122548,0.747257832209,0.119077118539
qwen,Qwen 3 32B,amateur,12,7,introspective,0.455989657716,-0.0270532122548,0.747257832209,0.646420618361
qwen,Qwen 3 32B,amateur,12,8,judgmental,-0.280651536338,-0.0270532122548,0.747257832209,-0.339371918436
qwen,Qwen 3 32B,amateur,12,9,manipulative,-0.167570921815,-0.0270532122548,0.747257832209,-0.188044478764
qwen,Qwen 3 32B,amateur,12,10,optimistic,0.0230750238803,-0.0270532122548,0.747257832209,0.0670829183375
qwen,Qwen 3 32B,amateur,12,11,pessimistic,-0.075388231199,-0.0270532122548,0.747257832209,-0.0646831881325
qwen,Qwen 3 32B,amateur,12,12,traditional,-0.0183276317239,-0.0270532122548,0.747257832209,0.011676800369
qwen,Qwen 3 32B,ambassador,12,1,adventurous,-0.136529868655,-0.062104109587,0.801103290683,-0.092904073586
qwen,Qwen 3 32B,ambassador,12,2,altruistic,0.12673589617,-0.062104109587,0.801103290683,0.235724915817
qwen,Qwen 3 32B,ambassador,12,3,forgiving,0.00974368436053,-0.062104109587,0.801103290683,0.089686055198
qwen,Qwen 3 32B,ambassador,12,4,grandiose,0.00826935266329,-0.062104109587,0.801103290683,0.0878456786643
qwen,Qwen 3 32B,ambassador,12,5,impulsive,-0.564297254309,-0.062104109587,0.801103290683,-0.626876896604
qwen,Qwen 3 32B,ambassador,12,6,innovative,0.0170435342253,-0.062104109587,0.801103290683,0.0987983007096
qwen,Qwen 3 32B,ambassador,12,7,introspective,0.413926580962,-0.062104109587,0.801103290683,0.594218868011
qwen,Qwen 3 32B,ambassador,12,8,judgmental,-0.309816276352,-0.062104109587,0.801103290683,-0.309213767621
qwen,Qwen 3 32B,ambassador,12,9,manipulative,-0.250247223214,-0.062104109587,0.801103290683,-0.234855000366
qwen,Qwen 3 32B,ambassador,12,10,optimistic,-0.0382956363231,-0.062104109587,0.801103290683,0.0297196048759
qwen,Qwen 3 32B,ambassador,12,11,pessimistic,-0.048395333078,-0.062104109587,0.801103290683,0.0171123707372
qwen,Qwen 3 32B,ambassador,12,12,traditional,0.0266132285056,-0.062104109587,0.801103290683,0.110743944163
qwen,Qwen 3 32B,amnesiac,12,1,adventurous,0.0015270977966,0.00201307025553,0.7384389194,-0.000658107862641
qwen,Qwen 3 32B,amnesiac,12,2,altruistic,0.0958341039004,0.00201307025553,0.7384389194,0.127053208031
qwen,Qwen 3 32B,amnesiac,12,3,forgiving,0.0682476604148,0.00201307025553,0.7384389194,0.0896954215428
qwen,Qwen 3 32B,amnesiac,12,4,grandiose,0.0977122344014,0.00201307025553,0.7384389194,0.129596587655
qwen,Qwen 3 32B,amnesiac,12,5,impulsive,-0.431283232008,0.00201307025553,0.7384389194,-0.586773382171
qwen,Qwen 3 32B,amnesiac,12,6,innovative,0.11050633945,0.00201307025553,0.7384389194,0.146922468933
qwen,Qwen 3 32B,amnesiac,12,7,introspective,0.510894838688,0.00201307025553,0.7384389194,0.68913183618
qwen,Qwen 3 32B,amnesiac,12,8,judgmental,-0.217443267982,0.00201307025553,0.7384389194,-0.297189560939
qwen,Qwen 3 32B,amnesiac,12,9,manipulative,-0.0921736991609,0.00201307025553,0.7384389194,-0.127548490392
qwen,Qwen 3 32B,amnesiac,12,10,optimistic,-0.048721555738,0.00201307025553,0.7384389194,-0.0687052438064
qwen,Qwen 3 32B,amnesiac,12,11,pessimistic,-0.00345259409993,0.00201307025553,0.7384389194,-0.00740164719366
qwen,Qwen 3 32B,amnesiac,12,12,traditional,-0.0674910825975,0.00201307025553,0.7384389194,-0.0941230899767
qwen,Qwen 3 32B,analyst,12,1,adventurous,-0.134924832337,-0.0720143841471,0.811304642928,-0.0775423248692
qwen,Qwen 3 32B,analyst,12,2,altruistic,0.0771428046203,-0.0720143841471,0.811304642928,0.183848558082
qwen,Qwen 3 32B,analyst,12,3,forgiving,-0.0437268722274,-0.0720143841471,0.811304642928,0.0348666954716
qwen,Qwen 3 32B,analyst,12,4,grandiose,-0.0041172390876,-0.0720143841471,0.811304642928,0.0836888407472
qwen,Qwen 3 32B,analyst,12,5,impulsive,-0.582494604739,-0.0720143841471,0.811304642928,-0.629209046246
qwen,Qwen 3 32B,analyst,12,6,innovative,0.0326851724513,-0.0720143841471,0.811304642928,0.129050853475
qwen,Qwen 3 32B,analyst,12,7,introspective,0.435047573395,-0.0720143841471,0.811304642928,0.62499575463
qwen,Qwen 3 32B,analyst,12,8,judgmental,-0.292602924416,-0.0720143841471,0.811304642928,-0.271893600255
qwen,Qwen 3 32B,analyst,12,9,manipulative,-0.265685237203,-0.0720143841471,0.811304642928,-0.238715326905
qwen,Qwen 3 32B,analyst,12,10,optimistic,-0.0921785860832,-0.0720143841471,0.811304642928,-0.0248540447931
qwen,Qwen 3 32B,analyst,12,11,pessimistic,0.0018648876766,-0.0720143841471,0.811304642928,0.0910623062097
qwen,Qwen 3 32B,analyst,12,12,traditional,0.00481724818532,-0.0720143841471,0.811304642928,0.094701334452
qwen,Qwen 3 32B,anarchist,12,1,adventurous,-0.0431198915263,-0.0344202528466,0.776273500414,-0.011206924718
qwen,Qwen 3 32B,anarchist,12,2,altruistic,0.080638975999,-0.0344202528466,0.776273500414,0.148219962145
qwen,Qwen 3 32B,anarchist,12,3,forgiving,-0.0315455555775,-0.0344202528466,0.776273500414,0.00370320160043
qwen,Qwen 3 32B,anarchist,12,4,grandiose,0.0675906280578,-0.0344202528466,0.776273500414,0.131411005078
qwen,Qwen 3 32B,anarchist,12,5,impulsive,-0.502513691257,-0.0344202528466,0.776273500414,-0.603000666854
qwen,Qwen 3 32B,anarchist,12,6,innovative,0.116648627317,-0.0344202528466,0.776273500414,0.194607802641
qwen,Qwen 3 32B,anarchist,12,7,introspective,0.481268614247,-0.0344202528466,0.776273500414,0.664313372565
qwen,Qwen 3 32B,anarchist,12,8,judgmental,-0.200753587807,-0.0344202528466,0.776273500414,-0.21427156134
qwen,Qwen 3 32B,anarchist,12,9,manipulative,-0.187881273587,-0.0344202528466,0.776273500414,-0.197689371927
qwen,Qwen 3 32B,anarchist,12,10,optimistic,-0.117894397206,-0.0344202528466,0.776273500414,-0.107531874159
qwen,Qwen 3 32B,anarchist,12,11,pessimistic,0.0422480869669,-0.0344202528466,0.776273500414,0.0987645974939
qwen,Qwen 3 32B,anarchist,12,12,traditional,-0.117729569786,-0.0344202528466,0.776273500414,-0.107319542526
qwen,Qwen 3 32B,ancient,12,1,adventurous,-0.0114902313523,-3.83578985231e-05,0.796952106245,-0.0143695880393
qwen,Qwen 3 32B,ancient,12,2,altruistic,0.115823450324,-3.83578985231e-05,0.796952106245,0.145381143125
qwen,Qwen 3 32B,ancient,12,3,forgiving,0.0270263657026,-3.83578985231e-05,0.796952106245,0.0339602886912
qwen,Qwen 3 32B,ancient,12,4,grandiose,0.20025078395,-3.83578985231e-05,0.796952106245,0.251318919015
qwen,Qwen 3 32B,ancient,12,5,impulsive,-0.494735001033,-3.83578985231e-05,0.796952106245,-0.620735724592
qwen,Qwen 3 32B,ancient,12,6,innovative,0.116582711955,-3.83578985231e-05,0.796952106245,0.146333849851
qwen,Qwen 3 32B,ancient,12,7,introspective,0.500142603539,-3.83578985231e-05,0.796952106245,0.627617340513
qwen,Qwen 3 32B,ancient,12,8,judgmental,-0.2111890403,-3.83578985231e-05,0.796952106245,-0.264947768815
qwen,Qwen 3 32B,ancient,12,9,manipulative,-0.139691005559,-3.83578985231e-05,0.796952106245,-0.175233425655
qwen,Qwen 3 32B,ancient,12,10,optimistic,-0.0762590075345,-3.83578985231e-05,0.796952106245,-0.0956401884615
qwen,Qwen 3 32B,ancient,12,11,pessimistic,0.0178893683961,-3.83578985231e-05,0.796952106245,0.0224953622108
qwen,Qwen 3 32B,ancient,12,12,traditional,-0.0448112928692,-3.83578985231e-05,0.796952106245,-0.0561802078442
qwen,Qwen 3 32B,angel,12,1,adventurous,-0.0526069179719,-0.00166453311855,0.80488810004,-0.0632912635319
qwen,Qwen 3 32B,angel,12,2,altruistic,0.196316075776,-0.00166453311855,0.80488810004,0.24597283633
qwen,Qwen 3 32B,angel,12,3,forgiving,0.139496921319,-0.00166453311855,0.80488810004,0.175380222953
qwen,Qwen 3 32B,angel,12,4,grandiose,0.15725464435,-0.00166453311855,0.80488810004,0.197442573024
qwen,Qwen 3 32B,angel,12,5,impulsive,-0.49040716446,-0.00166453311855,0.80488810004,-0.607218110589
qwen,Qwen 3 32B,angel,12,6,innovative,0.0554867399941,-0.00166453311855,0.80488810004,0.0710052404923
qwen,Qwen 3 32B,angel,12,7,introspective,0.45200663098,-0.00166453311855,0.80488810004,0.563645013606
qwen,Qwen 3 32B,angel,12,8,judgmental,-0.284155917394,-0.00166453311855,0.80488810004,-0.350969761215
qwen,Qwen 3 32B,angel,12,9,manipulative,-0.162143277572,-0.00166453311855,0.80488810004,-0.199380192657
qwen,Qwen 3 32B,angel,12,10,optimistic,0.0260625927711,-0.00166453311855,0.80488810004,0.0344484231886
qwen,Qwen 3 32B,angel,12,11,pessimistic,-0.079333494936,-0.00166453311855,0.80488810004,-0.0964965960034
qwen,Qwen 3 32B,angel,12,12,traditional,0.0220487697216,-0.00166453311855,0.80488810004,0.029461614402
qwen,Qwen 3 32B,anthropologist,12,1,adventurous,-0.117199230767,-0.0569674454329,0.846282024968,-0.0711722375727
qwen,Qwen 3 32B,anthropologist,12,2,altruistic,0.108718585579,-0.0569674454329,0.846282024968,0.195781106208
qwen,Qwen 3 32B,anthropologist,12,3,forgiving,-0.0144250286313,-0.0569674454329,0.846282024968,0.0502697866036
qwen,Qwen 3 32B,anthropologist,12,4,grandiose,0.0265289415796,-0.0569674454329,0.846282024968,0.0986626024766
qwen,Qwen 3 32B,anthropologist,12,5,impulsive,-0.583007649366,-0.0569674454329,0.846282024968,-0.621589716446
qwen,Qwen 3 32B,anthropologist,12,6,innovative,0.0527893312874,-0.0569674454329,0.846282024968,0.129692907898
qwen,Qwen 3 32B,anthropologist,12,7,introspective,0.482838810415,-0.0569674454329,0.846282024968,0.637856222774
qwen,Qwen 3 32B,anthropologist,12,8,judgmental,-0.288857538533,-0.0569674454329,0.846282024968,-0.27401042
qwen,Qwen 3 32B,anthropologist,12,9,manipulative,-0.242830835834,-0.0569674454329,0.846282024968,-0.219623464657
qwen,Qwen 3 32B,anthropologist,12,10,optimistic,-0.100003399142,-0.0569674454329,0.846282024968,-0.0508529691513
qwen,Qwen 3 32B,anthropologist,12,11,pessimistic,0.0102731080351,-0.0569674454329,0.846282024968,0.0794540726191
qwen,Qwen 3 32B,anthropologist,12,12,traditional,-0.0184344398182,-0.0569674454329,0.846282024968,0.0455321092471
qwen,Qwen 3 32B,archaeologist,12,1,adventurous,-0.098733146236,-0.0462280456162,0.822794595893,-0.063813132563
qwen,Qwen 3 32B,archaeologist,12,2,altruistic,0.111745828805,-0.0462280456162,0.822794595893,0.191996733097
qwen,Qwen 3 32B,archaeologist,12,3,forgiving,-0.00709890125537,-0.0462280456162,0.822794595893,0.0475563944587
qwen,Qwen 3 32B,archaeologist,12,4,grandiose,0.0565674107354,-0.0462280456162,0.822794595893,0.124934530276
qwen,Qwen 3 32B,archaeologist,12,5,impulsive,-0.562272070852,-0.0462280456162,0.822794595893,-0.627184509732
qwen,Qwen 3 32B,archaeologist,12,6,innovative,0.0571596993511,-0.0462280456162,0.822794595893,0.125654380186
qwen,Qwen 3 32B,archaeologist,12,7,introspective,0.474454342948,-0.0462280456162,0.822794595893,0.632821838115
qwen,Qwen 3 32B,archaeologist,12,8,judgmental,-0.277487065836,-0.0462280456162,0.822794595893,-0.281065312502
qwen,Qwen 3 32B,archaeologist,12,9,manipulative,-0.22038663366,-0.0462280456162,0.822794595893,-0.211667151089
qwen,Qwen 3 32B,archaeologist,12,10,optimistic,-0.0836773725028,-0.0462280456162,0.822794595893,-0.0455147944257
qwen,Qwen 3 32B,archaeologist,12,11,pessimistic,0.00207172337208,-0.0462280456162,0.822794595893,0.0587020979833
qwen,Qwen 3 32B,archaeologist,12,12,traditional,-0.00708036226344,-0.0462280456162,0.822794595893,0.0475789261963
qwen,Qwen 3 32B,architect,12,1,adventurous,-0.106091437072,-0.0572956712856,0.804444257889,-0.060657733967
qwen,Qwen 3 32B,architect,12,2,altruistic,0.102659964489,-0.0572956712856,0.804444257889,0.198839924838
qwen,Qwen 3 32B,architect,12,3,forgiving,-0.0046208566983,-0.0572956712856,0.804444257889,0.0654797570754
qwen,Qwen 3 32B,architect,12,4,grandiose,0.0210852733606,-0.0572956712856,0.804444257889,0.0974348985371
qwen,Qwen 3 32B,architect,12,5,impulsive,-0.562895777617,-0.0572956712856,0.804444257889,-0.628508565228
qwen,Qwen 3 32B,architect,12,6,innovative,0.0558502709904,-0.0572956712856,0.804444257889,0.140651065834
qwen,Qwen 3 32B,architect,12,7,introspective,0.439491090738,-0.0572956712856,0.804444257889,0.617552747939
qwen,Qwen 3 32B,architect,12,8,judgmental,-0.29347608354,-0.0572956712856,0.804444257889,-0.293594503209
