model_trait,outcome_id,mapping_tier,predictor_item_ids,overlap_item_ids,overlap,eligible_respondent_n_before_overlap_exclusion,primary_estimate_excluded,exact_source_group
anxious,q_208,direct,q_1989;q_4249;q_4256,,0,375,0,132d6c193a3e
anxious,q_206,direct,q_1989;q_4249;q_4256,,0,367,0,132d6c193a3e
anxious,q_1578,direct,q_1989;q_4249;q_4256,,0,282,0,132d6c193a3e
anxious,q_875,direct,q_1989;q_4249;q_4256,,0,381,0,132d6c193a3e
anxious,q_285,direct,q_1989;q_4249;q_4256,,0,349,0,132d6c193a3e
anxious,q_820,direct,q_1989;q_4249;q_4256,,0,263,0,132d6c193a3e
anxious,q_1044,direct,q_1989;q_4249;q_4256,,0,382,0,132d6c193a3e
anxious,q_867,direct,q_1989;q_4249;q_4256,,0,392,0,132d6c193a3e
anxious,q_4288,direct,q_1989;q_4249;q_4256,,0,378,0,132d6c193a3e
anxious,q_832,direct,q_1989;q_4249;q_4256,,0,370,0,132d6c193a3e
artistic,HiFWB_composite,direct,q_348;q_610;q_1441,,0,635,0,d347e16ea8ca
artistic,q_2765,direct,q_348;q_610;q_1441,,0,189,0,d347e16ea8ca
artistic,q_1371,direct,q_348;q_610;q_1441,,0,243,0,d347e16ea8ca
artistic,q_1043,direct,q_348;q_610;q_1441,,0,198,0,d347e16ea8ca
artistic,q_208,direct,q_348;q_610;q_1441,,0,257,0,d347e16ea8ca
artistic,q_206,direct,q_348;q_610;q_1441,,0,241,0,d347e16ea8ca
artistic,q_1578,direct,q_348;q_610;q_1441,,0,198,0,d347e16ea8ca
artistic,q_875,direct,q_348;q_610;q_1441,,0,236,0,d347e16ea8ca
artistic,q_285,direct,q_348;q_610;q_1441,,0,239,0,d347e16ea8ca
artistic,q_820,direct,q_348;q_610;q_1441,,0,189,0,d347e16ea8ca
artistic,q_1044,direct,q_348;q_610;q_1441,,0,264,0,d347e16ea8ca
artistic,q_867,direct,q_348;q_610;q_1441,,0,246,0,d347e16ea8ca
artistic,q_4288,direct,q_348;q_610;q_1441,,0,266,0,d347e16ea8ca
artistic,q_832,direct,q_348;q_610;q_1441,,0,273,0,d347e16ea8ca
assertive,HiFWB_composite,direct,q_2161;q_1768;q_1769,,0,944,0,4069c274d398
assertive,q_2765,direct,q_2161;q_1768;q_1769,,0,320,0,4069c274d398
assertive,q_1371,direct,q_2161;q_1768;q_1769,,0,372,0,4069c274d398
assertive,q_1043,direct,q_2161;q_1768;q_1769,,0,305,0,4069c274d398
assertive,q_208,direct,q_2161;q_1768;q_1769,,0,369,0,4069c274d398
assertive,q_206,direct,q_2161;q_1768;q_1769,,0,391,0,4069c274d398
assertive,q_1578,direct,q_2161;q_1768;q_1769,,0,310,0,4069c274d398
assertive,q_875,direct,q_2161;q_1768;q_1769,,0,375,0,4069c274d398
assertive,q_285,direct,q_2161;q_1768;q_1769,,0,375,0,4069c274d398
assertive,q_820,direct,q_2161;q_1768;q_1769,,0,311,0,4069c274d398
assertive,q_1044,direct,q_2161;q_1768;q_1769,,0,387,0,4069c274d398
assertive,q_867,direct,q_2161;q_1768;q_1769,,0,386,0,4069c274d398
assertive,q_4288,direct,q_2161;q_1768;q_1769,,0,380,0,4069c274d398
assertive,q_832,direct,q_2161;q_1768;q_1769,,0,357,0,4069c274d398
avoidant,HiFWB_composite,close,q_312;q_901;q_1671,,0,697,0,d33f01c90221
avoidant,q_2765,close,q_312;q_901;q_1671,,0,238,0,d33f01c90221
avoidant,q_1371,close,q_312;q_901;q_1671,,0,305,0,d33f01c90221
avoidant,q_1043,close,q_312;q_901;q_1671,,0,183,0,d33f01c90221
avoidant,q_208,close,q_312;q_901;q_1671,,0,275,0,d33f01c90221
avoidant,q_206,close,q_312;q_901;q_1671,,0,283,0,d33f01c90221
avoidant,q_1578,close,q_312;q_901;q_1671,,0,216,0,d33f01c90221
avoidant,q_875,close,q_312;q_901;q_1671,,0,278,0,d33f01c90221
avoidant,q_285,close,q_312;q_901;q_1671,,0,280,0,d33f01c90221
avoidant,q_820,close,q_312;q_901;q_1671,,0,206,0,d33f01c90221
avoidant,q_1044,close,q_312;q_901;q_1671,,0,282,0,d33f01c90221
avoidant,q_867,close,q_312;q_901;q_1671,,0,306,0,d33f01c90221
avoidant,q_4288,close,q_312;q_901;q_1671,,0,268,0,d33f01c90221
avoidant,q_832,close,q_312;q_901;q_1671,,0,320,0,d33f01c90221
bitter,HiFWB_composite,direct,q_848;q_1150;q_630,,0,835,0,92d029cd9289
bitter,q_2765,direct,q_848;q_1150;q_630,,0,253,0,92d029cd9289
bitter,q_1371,direct,q_848;q_1150;q_630,,0,354,0,92d029cd9289
bitter,q_1043,direct,q_848;q_1150;q_630,,0,282,0,92d029cd9289
bitter,q_208,direct,q_848;q_1150;q_630,,0,377,0,92d029cd9289
bitter,q_206,direct,q_848;q_1150;q_630,,0,357,0,92d029cd9289
bitter,q_1578,direct,q_848;q_1150;q_630,,0,288,0,92d029cd9289
bitter,q_875,direct,q_848;q_1150;q_630,,0,347,0,92d029cd9289
bitter,q_285,direct,q_848;q_1150;q_630,,0,356,0,92d029cd9289
bitter,q_820,direct,q_848;q_1150;q_630,,0,254,0,92d029cd9289
bitter,q_1044,direct,q_848;q_1150;q_630,,0,373,0,92d029cd9289
bitter,q_867,direct,q_848;q_1150;q_630,,0,390,0,92d029cd9289
bitter,q_4288,direct,q_848;q_1150;q_630,,0,345,0,92d029cd9289
bitter,q_832,direct,q_848;q_1150;q_630,,0,356,0,92d029cd9289
bombastic,HiFWB_composite,close,q_1555;q_1871,,0,329,0,a176b4ee903f
bombastic,q_2765,close,q_1555;q_1871,,0,98,0,a176b4ee903f
bombastic,q_1371,close,q_1555;q_1871,,0,124,0,a176b4ee903f
bombastic,q_1043,close,q_1555;q_1871,,0,111,0,a176b4ee903f
bombastic,q_208,close,q_1555;q_1871,,0,132,0,a176b4ee903f
bombastic,q_206,close,q_1555;q_1871,,0,132,0,a176b4ee903f
bombastic,q_1578,close,q_1555;q_1871,,0,98,0,a176b4ee903f
bombastic,q_875,close,q_1555;q_1871,,0,125,0,a176b4ee903f
bombastic,q_285,close,q_1555;q_1871,,0,125,0,a176b4ee903f
bombastic,q_820,close,q_1555;q_1871,,0,100,0,a176b4ee903f
bombastic,q_1044,close,q_1555;q_1871,,0,131,0,a176b4ee903f
bombastic,q_867,close,q_1555;q_1871,,0,144,0,a176b4ee903f
bombastic,q_4288,close,q_1555;q_1871,,0,131,0,a176b4ee903f
bombastic,q_832,close,q_1555;q_1871,,0,134,0,a176b4ee903f
callous,HiFWB_composite,direct,q_146;q_251;q_4231,,0,863,0,cffdfbc3846f
callous,q_2765,direct,q_146;q_251;q_4231,,0,301,0,cffdfbc3846f
callous,q_1371,direct,q_146;q_251;q_4231,,0,348,0,cffdfbc3846f
callous,q_1043,direct,q_146;q_251;q_4231,,0,262,0,cffdfbc3846f
callous,q_208,direct,q_146;q_251;q_4231,,0,344,0,cffdfbc3846f
callous,q_206,direct,q_146;q_251;q_4231,,0,343,0,cffdfbc3846f
callous,q_1578,direct,q_146;q_251;q_4231,,0,279,0,cffdfbc3846f
callous,q_875,direct,q_146;q_251;q_4231,,0,343,0,cffdfbc3846f
callous,q_285,direct,q_146;q_251;q_4231,,0,340,0,cffdfbc3846f
callous,q_820,direct,q_146;q_251;q_4231,,0,274,0,cffdfbc3846f
callous,q_1044,direct,q_146;q_251;q_4231,,0,349,0,cffdfbc3846f
callous,q_867,direct,q_146;q_251;q_4231,,0,343,0,cffdfbc3846f
callous,q_4288,direct,q_146;q_251;q_4231,,0,355,0,cffdfbc3846f
callous,q_832,direct,q_146;q_251;q_4231,,0,366,0,cffdfbc3846f
calm,HiFWB_composite,direct,q_85;q_1616,,0,334,0,8525e5a00b9b
calm,q_2765,direct,q_85;q_1616,,0,113,0,8525e5a00b9b
calm,q_1371,direct,q_85;q_1616,,0,149,0,8525e5a00b9b
calm,q_1043,direct,q_85;q_1616,,0,102,0,8525e5a00b9b
calm,q_208,direct,q_85;q_1616,,0,162,0,8525e5a00b9b
calm,q_206,direct,q_85;q_1616,,0,142,0,8525e5a00b9b
calm,q_1578,direct,q_85;q_1616,,0,104,0,8525e5a00b9b
calm,q_875,direct,q_85;q_1616,,0,150,0,8525e5a00b9b
calm,q_285,direct,q_85;q_1616,,0,140,0,8525e5a00b9b
calm,q_820,direct,q_85;q_1616,,0,108,0,8525e5a00b9b
calm,q_1044,direct,q_85;q_1616,,0,155,0,8525e5a00b9b
calm,q_867,direct,q_85;q_1616,,0,151,0,8525e5a00b9b
calm,q_4288,direct,q_85;q_1616,,0,131,0,8525e5a00b9b
calm,q_832,direct,q_85;q_1616,,0,123,0,8525e5a00b9b
cautious,HiFWB_composite,close,q_1781;q_292;q_2020,,0,879,0,0b8be811ace7
cautious,q_2765,close,q_1781;q_292;q_2020,,0,284,0,0b8be811ace7
cautious,q_1371,close,q_1781;q_292;q_2020,,0,392,0,0b8be811ace7
cautious,q_1043,close,q_1781;q_292;q_2020,,0,282,0,0b8be811ace7
cautious,q_208,close,q_1781;q_292;q_2020,,0,363,0,0b8be811ace7
cautious,q_206,close,q_1781;q_292;q_2020,,0,373,0,0b8be811ace7
cautious,q_1578,close,q_1781;q_292;q_2020,,0,282,0,0b8be811ace7
cautious,q_875,close,q_1781;q_292;q_2020,,0,375,0,0b8be811ace7
cautious,q_285,close,q_1781;q_292;q_2020,,0,398,0,0b8be811ace7
cautious,q_820,close,q_1781;q_292;q_2020,,0,275,0,0b8be811ace7
cautious,q_1044,close,q_1781;q_292;q_2020,,0,397,0,0b8be811ace7
cautious,q_867,close,q_1781;q_292;q_2020,,0,386,0,0b8be811ace7
cautious,q_4288,close,q_1781;q_292;q_2020,,0,384,0,0b8be811ace7
cautious,q_832,close,q_1781;q_292;q_2020,,0,364,0,0b8be811ace7
chill,HiFWB_composite,close,q_248;q_820;q_819,q_820,1,737,1,033e54d4704e
chill,q_2765,close,q_248;q_820;q_819,,0,175,0,033e54d4704e
chill,q_1371,close,q_248;q_820;q_819,,0,270,0,033e54d4704e
chill,q_1043,close,q_248;q_820;q_819,,0,204,0,033e54d4704e
chill,q_208,close,q_248;q_820;q_819,,0,267,0,033e54d4704e
chill,q_206,close,q_248;q_820;q_819,,0,268,0,033e54d4704e
chill,q_1578,close,q_248;q_820;q_819,,0,189,0,033e54d4704e
chill,q_875,close,q_248;q_820;q_819,,0,254,0,033e54d4704e
chill,q_285,close,q_248;q_820;q_819,,0,264,0,033e54d4704e
chill,q_820,close,q_248;q_820;q_819,q_820,1,669,1,033e54d4704e
chill,q_1044,close,q_248;q_820;q_819,,0,252,0,033e54d4704e
chill,q_867,close,q_248;q_820;q_819,,0,280,0,033e54d4704e
chill,q_4288,close,q_248;q_820;q_819,,0,255,0,033e54d4704e
chill,q_832,close,q_248;q_820;q_819,,0,271,0,033e54d4704e
competitive,HiFWB_composite,close,q_1910,,0,1339,0,723c0dc26769
competitive,q_2765,close,q_1910,,0,421,0,723c0dc26769
competitive,q_1371,close,q_1910,,0,507,0,723c0dc26769
competitive,q_1043,close,q_1910,,0,445,0,723c0dc26769
competitive,q_208,close,q_1910,,0,510,0,723c0dc26769
competitive,q_206,close,q_1910,,0,483,0,723c0dc26769
competitive,q_1578,close,q_1910,,0,430,0,723c0dc26769
competitive,q_875,close,q_1910,,0,503,0,723c0dc26769
competitive,q_285,close,q_1910,,0,509,0,723c0dc26769
competitive,q_820,close,q_1910,,0,434,0,723c0dc26769
competitive,q_1044,close,q_1910,,0,520,0,723c0dc26769
competitive,q_867,close,q_1910,,0,524,0,723c0dc26769
competitive,q_4288,close,q_1910,,0,518,0,723c0dc26769
competitive,q_832,close,q_1910,,0,604,0,723c0dc26769
confident,HiFWB_composite,close,q_258;q_820;q_1055,q_820,1,989,1,5b1a6c980963
confident,q_2765,close,q_258;q_820;q_1055,,0,275,0,5b1a6c980963
confident,q_1371,close,q_258;q_820;q_1055,,0,348,0,5b1a6c980963
confident,q_1043,close,q_258;q_820;q_1055,,0,294,0,5b1a6c980963
confident,q_208,close,q_258;q_820;q_1055,,0,355,0,5b1a6c980963
confident,q_206,close,q_258;q_820;q_1055,,0,334,0,5b1a6c980963
confident,q_1578,close,q_258;q_820;q_1055,,0,267,0,5b1a6c980963
confident,q_875,close,q_258;q_820;q_1055,,0,337,0,5b1a6c980963
confident,q_285,close,q_258;q_820;q_1055,,0,329,0,5b1a6c980963
confident,q_820,close,q_258;q_820;q_1055,q_820,1,861,1,5b1a6c980963
confident,q_1044,close,q_258;q_820;q_1055,,0,337,0,5b1a6c980963
confident,q_867,close,q_258;q_820;q_1055,,0,337,0,5b1a6c980963
confident,q_4288,close,q_258;q_820;q_1055,,0,343,0,5b1a6c980963
confident,q_832,close,q_258;q_820;q_1055,,0,330,0,5b1a6c980963
conscientious,HiFWB_composite,direct,q_1507;q_1422;q_491,,0,774,0,877c85b8ab49
conscientious,q_2765,direct,q_1507;q_1422;q_491,,0,244,0,877c85b8ab49
conscientious,q_1371,direct,q_1507;q_1422;q_491,,0,283,0,877c85b8ab49
conscientious,q_1043,direct,q_1507;q_1422;q_491,,0,242,0,877c85b8ab49
conscientious,q_208,direct,q_1507;q_1422;q_491,,0,318,0,877c85b8ab49
conscientious,q_206,direct,q_1507;q_1422;q_491,,0,291,0,877c85b8ab49
conscientious,q_1578,direct,q_1507;q_1422;q_491,,0,227,0,877c85b8ab49
conscientious,q_875,direct,q_1507;q_1422;q_491,,0,287,0,877c85b8ab49
conscientious,q_285,direct,q_1507;q_1422;q_491,,0,291,0,877c85b8ab49
conscientious,q_820,direct,q_1507;q_1422;q_491,,0,236,0,877c85b8ab49
conscientious,q_1044,direct,q_1507;q_1422;q_491,,0,293,0,877c85b8ab49
conscientious,q_867,direct,q_1507;q_1422;q_491,,0,304,0,877c85b8ab49
conscientious,q_4288,direct,q_1507;q_1422;q_491,,0,290,0,877c85b8ab49
conscientious,q_832,direct,q_1507;q_1422;q_491,,0,315,0,877c85b8ab49
creative,HiFWB_composite,direct,q_2754;q_2745;q_1441,,0,856,0,6652319e73ea
creative,q_2765,direct,q_2754;q_2745;q_1441,,0,286,0,6652319e73ea
creative,q_1371,direct,q_2754;q_2745;q_1441,,0,383,0,6652319e73ea
creative,q_1043,direct,q_2754;q_2745;q_1441,,0,266,0,6652319e73ea
creative,q_208,direct,q_2754;q_2745;q_1441,,0,349,0,6652319e73ea
creative,q_206,direct,q_2754;q_2745;q_1441,,0,359,0,6652319e73ea
creative,q_1578,direct,q_2754;q_2745;q_1441,,0,268,0,6652319e73ea
creative,q_875,direct,q_2754;q_2745;q_1441,,0,371,0,6652319e73ea
creative,q_285,direct,q_2754;q_2745;q_1441,,0,360,0,6652319e73ea
creative,q_820,direct,q_2754;q_2745;q_1441,,0,243,0,6652319e73ea
creative,q_1044,direct,q_2754;q_2745;q_1441,,0,363,0,6652319e73ea
creative,q_867,direct,q_2754;q_2745;q_1441,,0,379,0,6652319e73ea
creative,q_4288,direct,q_2754;q_2745;q_1441,,0,383,0,6652319e73ea
creative,q_832,direct,q_2754;q_2745;q_1441,,0,350,0,6652319e73ea
cruel,HiFWB_composite,close,q_251;q_4251;q_4231,,0,880,0,450eb39d2461
cruel,q_2765,close,q_251;q_4251;q_4231,,0,313,0,450eb39d2461
cruel,q_1371,close,q_251;q_4251;q_4231,,0,372,0,450eb39d2461
cruel,q_1043,close,q_251;q_4251;q_4231,,0,296,0,450eb39d2461
cruel,q_208,close,q_251;q_4251;q_4231,,0,374,0,450eb39d2461
cruel,q_206,close,q_251;q_4251;q_4231,,0,377,0,450eb39d2461
cruel,q_1578,close,q_251;q_4251;q_4231,,0,284,0,450eb39d2461
cruel,q_875,close,q_251;q_4251;q_4231,,0,394,0,450eb39d2461
cruel,q_285,close,q_251;q_4251;q_4231,,0,383,0,450eb39d2461
cruel,q_820,close,q_251;q_4251;q_4231,,0,283,0,450eb39d2461
cruel,q_1044,close,q_251;q_4251;q_4231,,0,381,0,450eb39d2461
cruel,q_867,close,q_251;q_4251;q_4231,,0,389,0,450eb39d2461
cruel,q_4288,close,q_251;q_4251;q_4231,,0,383,0,450eb39d2461
cruel,q_832,close,q_251;q_4251;q_4231,,0,373,0,450eb39d2461
curious,HiFWB_composite,direct,q_2775,,0,1342,0,44fd1a8ffedc
curious,q_2765,direct,q_2775,,0,435,0,44fd1a8ffedc
curious,q_1371,direct,q_2775,,0,461,0,44fd1a8ffedc
curious,q_1043,direct,q_2775,,0,424,0,44fd1a8ffedc
curious,q_208,direct,q_2775,,0,458,0,44fd1a8ffedc
curious,q_206,direct,q_2775,,0,465,0,44fd1a8ffedc
curious,q_1578,direct,q_2775,,0,393,0,44fd1a8ffedc
curious,q_875,direct,q_2775,,0,466,0,44fd1a8ffedc
curious,q_285,direct,q_2775,,0,444,0,44fd1a8ffedc
curious,q_820,direct,q_2775,,0,398,0,44fd1a8ffedc
curious,q_1044,direct,q_2775,,0,468,0,44fd1a8ffedc
curious,q_867,direct,q_2775,,0,469,0,44fd1a8ffedc
curious,q_4288,direct,q_2775,,0,436,0,44fd1a8ffedc
curious,q_832,direct,q_2775,,0,636,0,44fd1a8ffedc
cynical,HiFWB_composite,direct,q_594;q_343;q_381,,0,818,0,c5f994a29ddf
cynical,q_2765,direct,q_594;q_343;q_381,,0,260,0,c5f994a29ddf
cynical,q_1371,direct,q_594;q_343;q_381,,0,367,0,c5f994a29ddf
cynical,q_1043,direct,q_594;q_343;q_381,,0,272,0,c5f994a29ddf
cynical,q_208,direct,q_594;q_343;q_381,,0,377,0,c5f994a29ddf
cynical,q_206,direct,q_594;q_343;q_381,,0,345,0,c5f994a29ddf
cynical,q_1578,direct,q_594;q_343;q_381,,0,250,0,c5f994a29ddf
cynical,q_875,direct,q_594;q_343;q_381,,0,358,0,c5f994a29ddf
cynical,q_285,direct,q_594;q_343;q_381,,0,357,0,c5f994a29ddf
cynical,q_820,direct,q_594;q_343;q_381,,0,241,0,c5f994a29ddf
cynical,q_1044,direct,q_594;q_343;q_381,,0,353,0,c5f994a29ddf
cynical,q_867,direct,q_594;q_343;q_381,,0,368,0,c5f994a29ddf
cynical,q_4288,direct,q_594;q_343;q_381,,0,364,0,c5f994a29ddf
cynical,q_832,direct,q_594;q_343;q_381,,0,330,0,c5f994a29ddf
deferential,HiFWB_composite,close,q_1624;q_917,,0,418,0,66cd959634c8
deferential,q_2765,close,q_1624;q_917,,0,120,0,66cd959634c8
deferential,q_1371,close,q_1624;q_917,,0,164,0,66cd959634c8
deferential,q_1043,close,q_1624;q_917,,0,144,0,66cd959634c8
deferential,q_208,close,q_1624;q_917,,0,158,0,66cd959634c8
deferential,q_206,close,q_1624;q_917,,0,158,0,66cd959634c8
deferential,q_1578,close,q_1624;q_917,,0,130,0,66cd959634c8
deferential,q_875,close,q_1624;q_917,,0,154,0,66cd959634c8
deferential,q_285,close,q_1624;q_917,,0,149,0,66cd959634c8
deferential,q_820,close,q_1624;q_917,,0,118,0,66cd959634c8
deferential,q_1044,close,q_1624;q_917,,0,178,0,66cd959634c8
deferential,q_867,close,q_1624;q_917,,0,147,0,66cd959634c8
deferential,q_4288,close,q_1624;q_917,,0,168,0,66cd959634c8
deferential,q_832,close,q_1624;q_917,,0,200,0,66cd959634c8
detached,HiFWB_composite,close,q_1196;q_1681,,0,320,0,4388719fcc84
detached,q_2765,close,q_1196;q_1681,,0,108,0,4388719fcc84
detached,q_1371,close,q_1196;q_1681,,0,129,0,4388719fcc84
detached,q_1043,close,q_1196;q_1681,,0,87,0,4388719fcc84
detached,q_208,close,q_1196;q_1681,,0,133,0,4388719fcc84
detached,q_206,close,q_1196;q_1681,,0,130,0,4388719fcc84
detached,q_1578,close,q_1196;q_1681,,0,103,0,4388719fcc84
detached,q_875,close,q_1196;q_1681,,0,121,0,4388719fcc84
detached,q_285,close,q_1196;q_1681,,0,110,0,4388719fcc84
detached,q_820,close,q_1196;q_1681,,0,100,0,4388719fcc84
detached,q_1044,close,q_1196;q_1681,,0,134,0,4388719fcc84
detached,q_867,close,q_1196;q_1681,,0,120,0,4388719fcc84
detached,q_4288,close,q_1196;q_1681,,0,120,0,4388719fcc84
detached,q_832,close,q_1196;q_1681,,0,140,0,4388719fcc84
disorganized,HiFWB_composite,close,q_1254;q_1483;q_1511,,0,817,0,5513622e1de7
disorganized,q_2765,close,q_1254;q_1483;q_1511,,0,261,0,5513622e1de7
disorganized,q_1371,close,q_1254;q_1483;q_1511,,0,321,0,5513622e1de7
disorganized,q_1043,close,q_1254;q_1483;q_1511,,0,267,0,5513622e1de7
disorganized,q_208,close,q_1254;q_1483;q_1511,,0,309,0,5513622e1de7
disorganized,q_206,close,q_1254;q_1483;q_1511,,0,323,0,5513622e1de7
disorganized,q_1578,close,q_1254;q_1483;q_1511,,0,254,0,5513622e1de7
disorganized,q_875,close,q_1254;q_1483;q_1511,,0,324,0,5513622e1de7
disorganized,q_285,close,q_1254;q_1483;q_1511,,0,317,0,5513622e1de7
disorganized,q_820,close,q_1254;q_1483;q_1511,,0,246,0,5513622e1de7
disorganized,q_1044,close,q_1254;q_1483;q_1511,,0,333,0,5513622e1de7
disorganized,q_867,close,q_1254;q_1483;q_1511,,0,349,0,5513622e1de7
disorganized,q_4288,close,q_1254;q_1483;q_1511,,0,324,0,5513622e1de7
disorganized,q_832,close,q_1254;q_1483;q_1511,,0,360,0,5513622e1de7
dominant,HiFWB_composite,direct,q_1768;q_1769;q_2161,,0,944,0,4069c274d398
dominant,q_2765,direct,q_1768;q_1769;q_2161,,0,320,0,4069c274d398
dominant,q_1371,direct,q_1768;q_1769;q_2161,,0,372,0,4069c274d398
dominant,q_1043,direct,q_1768;q_1769;q_2161,,0,305,0,4069c274d398
