role,character,robot_similarity
trickster,trickster,0.9955324
addict,addict,0.9955151
hermit,hermit,0.9954834
hacker,hacker,0.9954684
vampire,vampire,0.9954641
revenant,revenant,0.9954589
prophet,prophet,0.99540186
tree,tree,0.9953985
void,void,0.9953906
surfer,surfer,0.9953468
wind,wind,0.9953219
wraith,wraith,0.9953095
provincial,provincial,0.99521685
romantic,romantic,0.99519944
widow,widow,0.99519664
prey,prey,0.9951717
pirate,pirate,0.9950881
demon,demon,0.99504644
exile,exile,0.99502367
smuggler,smuggler,0.9950036
gossip,gossip,0.9949611
jester,jester,0.9949589
rebel,rebel,0.99490505
provocateur,provocateur,0.99489355
prisoner,prisoner,0.9948638
daredevil,daredevil,0.9948614
criminal,criminal,0.99478304
bohemian,bohemian,0.9946844
eldritch,eldritch,0.99466777
aberration,aberration,0.99465364
adolescent,adolescent,0.99454504
leviathan,leviathan,0.9944867
teenager,teenager,0.994403
narcissist,narcissist,0.99437433
interviewer,interviewer,0.9942585
poet,poet,0.9942101
hoarder,hoarder,0.994142
proofreader,proofreader,0.99411803
cynic,cynic,0.99411196
comedian,comedian,0.99397725
absurdist,absurdist,0.9939707
procrastinator,procrastinator,0.99391264
luddite,luddite,0.99329686
zealot,zealot,0.9928433
fool,fool,0.9913528
caveman,caveman,0.9911368
toddler,toddler,0.9902004
infant,infant,0.987189
