role,character,cluster_label,nearest_seed_similarity
guide,guide,procedural_professional,0.9998356699943542
reporter,reporter,procedural_professional,0.9998235702514648
designer,designer,procedural_professional,0.999820351600647
emissary,emissary,procedural_professional,0.9998074173927307
technologist,technologist,procedural_professional,0.9998068809509277
coordinator,coordinator,procedural_professional,0.9997918009757996
negotiator,negotiator,procedural_professional,0.9997905492782593
networker,networker,procedural_professional,0.9997832179069519
mentor,mentor,procedural_professional,0.9997806549072266
publisher,publisher,procedural_professional,0.9997767806053162
scholar,scholar,procedural_professional,0.9997718930244446
journalist,journalist,procedural_professional,0.9997687339782715
judge,judge,procedural_professional,0.999763011932373
interpreter,interpreter,procedural_professional,0.9997568130493164
anthropologist,anthropologist,procedural_professional,0.9997547268867493
architect,architect,procedural_professional,0.9997426271438599
curator,curator,procedural_professional,0.9997416138648987
guardian,guardian,procedural_professional,0.9997378587722778
recruiter,recruiter,procedural_professional,0.9997339248657227
sociologist,sociologist,procedural_professional,0.9997265934944153
critic,critic,procedural_professional,0.9997225403785706
engineer,engineer,procedural_professional,0.9997220039367676
entrepreneur,entrepreneur,procedural_professional,0.9997186064720154
consultant,consultant,procedural_professional,0.9997172951698303
scout,scout,procedural_professional,0.999713122844696
navigator,navigator,procedural_professional,0.9997013211250305
supervisor,supervisor,procedural_professional,0.9997003674507141
ambassador,ambassador,procedural_professional,0.9996901750564575
peacekeeper,peacekeeper,procedural_professional,0.9996898174285889
polymath,polymath,procedural_professional,0.9996863603591919
forecaster,forecaster,procedural_professional,0.9996834397315979
coach,coach,procedural_professional,0.9996824264526367
mediator,mediator,procedural_professional,0.9996797442436218
producer,producer,procedural_professional,0.9996778964996338
marketer,marketer,procedural_professional,0.9996771216392517
teacher,teacher,procedural_professional,0.9996709823608398
librarian,librarian,procedural_professional,0.9996676445007324
organizer,organizer,procedural_professional,0.9996637105941772
cartographer,cartographer,procedural_professional,0.9996542930603027
mathematician,mathematician,procedural_professional,0.999654233455658
cyborg,cyborg,procedural_professional,0.9996519684791565
physicist,physicist,procedural_professional,0.999646782875061
geographer,geographer,procedural_professional,0.9996461868286133
scientist,scientist,procedural_professional,0.9996430277824402
economist,economist,procedural_professional,0.999625027179718
collector,collector,procedural_professional,0.9996214509010315
observer,observer,procedural_professional,0.9996204376220703
reviewer,reviewer,procedural_professional,0.9996198415756226
doctor,doctor,procedural_professional,0.9996194243431091
strategist,strategist,procedural_professional,0.9996144771575928
synthesizer,synthesizer,procedural_professional,0.9996029734611511
archivist,archivist,procedural_professional,0.9996007084846497
psychologist,psychologist,procedural_professional,0.9996007084846497
builder,builder,procedural_professional,0.9995962381362915
detective,detective,procedural_professional,0.9995880722999573
analyst,analyst,procedural_professional,0.9995860457420349
instructor,instructor,procedural_professional,0.9995837807655334
healer,healer,procedural_professional,0.999580979347229
evaluator,evaluator,procedural_professional,0.9995803833007812
statistician,statistician,procedural_professional,0.9995784759521484
accountant,accountant,procedural_professional,0.9995764493942261
merchant,merchant,procedural_professional,0.9995757341384888
biologist,biologist,procedural_professional,0.9995646476745605
assistant,assistant,procedural_professional,0.9995627999305725
auditor,auditor,procedural_professional,0.9995627403259277
researcher,researcher,procedural_professional,0.999562680721283
advocate,advocate,procedural_professional,0.9995625019073486
writer,writer,procedural_professional,0.999561071395874
futurist,futurist,procedural_professional,0.9995465278625488
programmer,programmer,procedural_professional,0.9995461702346802
pilot,pilot,procedural_professional,0.9995359778404236
validator,validator,procedural_professional,0.9995323419570923
theorist,theorist,procedural_professional,0.9995299577713013
symbiont,symbiont,procedural_professional,0.9995238184928894
generalist,generalist,procedural_professional,0.9995231032371521
lawyer,lawyer,procedural_professional,0.9995200037956238
trainer,trainer,procedural_professional,0.9995190501213074
secretary,secretary,procedural_professional,0.999511182308197
dispatcher,dispatcher,procedural_professional,0.9995087385177612
collaborator,collaborator,procedural_professional,0.9995059370994568
debugger,debugger,procedural_professional,0.9995037317276001
activist,activist,procedural_professional,0.9995021224021912
pragmatist,pragmatist,procedural_professional,0.9994999766349792
vegan,vegan,procedural_professional,0.9994925856590271
cosmopolitan,cosmopolitan,procedural_professional,0.9994914531707764
witness,witness,procedural_professional,0.9994884133338928
prodigy,prodigy,procedural_professional,0.9994853138923645
tutor,tutor,procedural_professional,0.9994818568229675
scheduler,scheduler,procedural_professional,0.9994667768478394
tulpa,tulpa,procedural_professional,0.9994556903839111
realist,realist,procedural_professional,0.9994398951530457
naturalist,naturalist,procedural_professional,0.9994198679924011
historian,historian,procedural_professional,0.9994149804115295
hybrid,hybrid,procedural_professional,0.9994022846221924
destroyer,destroyer,procedural_professional,0.9994004964828491
conservator,conservator,procedural_professional,0.9993858933448792
planner,planner,procedural_professional,0.9993829131126404
skeptic,skeptic,procedural_professional,0.999377429485321
caregiver,caregiver,procedural_professional,0.9993767738342285
chemist,chemist,procedural_professional,0.9993716478347778
paramedic,paramedic,procedural_professional,0.9993467330932617
pharmacist,pharmacist,procedural_professional,0.9993329644203186
linguist,linguist,procedural_professional,0.9993227124214172
altruist,altruist,procedural_professional,0.9993224143981934
specialist,specialist,procedural_professional,0.9993096590042114
facilitator,facilitator,procedural_professional,0.9993043541908264
pacifist,pacifist,procedural_professional,0.9992893934249878
therapist,therapist,procedural_professional,0.9992833733558655
veterinarian,veterinarian,procedural_professional,0.9992698431015015
archaeologist,archaeologist,procedural_professional,0.9992386102676392
ecosystem,ecosystem,procedural_professional,0.9992373585700989
translator,translator,procedural_professional,0.9991915225982666
perfectionist,perfectionist,procedural_professional,0.9991746544837952
counselor,counselor,procedural_professional,0.9991631507873535
summarizer,summarizer,procedural_professional,0.9991455674171448
minimalist,minimalist,procedural_professional,0.9990729093551636
empath,empath,procedural_professional,0.9990257024765015
egregore,egregore,procedural_professional,0.9990184903144836
swarm,swarm,procedural_professional,0.9990106821060181
hive,hive,procedural_professional,0.9989817142486572
visionary,visionary,procedural_professional,0.9989752769470215
nutritionist,nutritionist,procedural_professional,0.9989463686943054
optimist,optimist,procedural_professional,0.9989291429519653
idealist,idealist,procedural_professional,0.9987732768058777
anarchist,anarchist,procedural_professional,0.9985371828079224
revolutionary,revolutionary,procedural_professional,0.9984685778617859
evangelist,evangelist,procedural_professional,0.9982336759567261
trickster,trickster,trickster_chaos,0.9998520612716675
jester,jester,trickster_chaos,0.9995694160461426
improviser,improviser,trickster_chaos,0.9995404481887817
dilettante,dilettante,trickster_chaos,0.9994743466377258
genie,genie,trickster_chaos,0.9994532465934753
absurdist,absurdist,trickster_chaos,0.9992592334747314
hedonist,hedonist,trickster_chaos,0.9992356896400452
