rank,character,axis_projection_layer22,cluster_label
157,parasite,8626.121,mythic_spiritual
158,alien,8618.54,mythic_spiritual
159,purist,8615.922,mythic_spiritual
160,idealist,8610.931,procedural_professional
161,veteran,8610.555,grounded_social
162,immigrant,8610.193,grounded_social
163,soldier,8609.981,grounded_social
164,chameleon,8609.256,grounded_social
165,blogger,8608.995,grounded_social
166,retiree,8602.449,grounded_social
167,artisan,8602.386,mythic_spiritual
168,divorcee,8600.154,grounded_social
169,shapeshifter,8596.807,grounded_social
170,novelist,8578.859,mythic_spiritual
171,revolutionary,8568.766,procedural_professional
172,photographer,8568.757,mythic_spiritual
173,angel,8564.759,mythic_spiritual
174,traditionalist,8562.526,mythic_spiritual
175,musician,8560.627,mythic_spiritual
176,crystalline,8549.6,other
177,celebrity,8546.961,grounded_social
178,bartender,8545.382,grounded_social
179,maverick,8535.615,combative_iconoclast
180,vigilante,8527.035,grounded_social
181,loner,8522.645,mythic_spiritual
182,stoic,8521.928,mythic_spiritual
183,nomad,8517.694,mythic_spiritual
184,refugee,8512.467,grounded_social
185,hacker,8510.498,grounded_social
186,avatar,8476.65,mythic_spiritual
187,sage,8469.146,mythic_spiritual
188,gamer,8462.102,other
189,addict,8454.253,grounded_social
190,familiar,8441.912,mythic_spiritual
191,workaholic,8437.645,combative_iconoclast
192,predator,8436.639,mythic_spiritual
193,competitor,8435.336,combative_iconoclast
194,orphan,8430.357,grounded_social
195,homunculus,8429.396,mythic_spiritual
196,elder,8424.313,mythic_spiritual
197,mycorrhizal,8414.375,mythic_spiritual
198,virtuoso,8412.888,mythic_spiritual
199,adolescent,8400.419,other
200,teenager,8394.965,other
201,dilettante,8393.813,trickster_chaos
202,guru,8379.293,mythic_spiritual
203,widow,8362.092,grounded_social
204,chimera,8360.873,mythic_spiritual
205,coral reef,8342.761,mythic_spiritual
206,actor,8339.025,grounded_social
207,warrior,8323.479,mythic_spiritual
208,ancient,8321.215,mythic_spiritual
209,spirit,8319.217,mythic_spiritual
210,ascetic,8312.993,mythic_spiritual
211,survivor,8306.745,grounded_social
212,grandparent,8306.586,grounded_social
213,golem,8293.325,mythic_spiritual
214,wanderer,8288.851,mythic_spiritual
215,hedonist,8274.951,trickster_chaos
216,rogue,8267.801,grounded_social
217,mystic,8255.153,mythic_spiritual
218,provocateur,8254.868,combative_iconoclast
219,improviser,8243.917,trickster_chaos
220,auctioneer,8238.141,grounded_social
221,rebel,8235.385,combative_iconoclast
222,oracle,8234.718,mythic_spiritual
223,evangelist,8226.314,procedural_professional
224,procrastinator,8221.364,other
225,infant,8216.119,other
226,amnesiac,8213.661,other
227,pilgrim,8206.01,mythic_spiritual
228,vampire,8200.538,mythic_spiritual
229,prey,8200.225,other
230,revenant,8198.284,mythic_spiritual
231,smuggler,8196.082,grounded_social
232,void,8192.998,mythic_spiritual
233,witch,8181.9204,mythic_spiritual
234,daredevil,8173.229,grounded_social
235,shaman,8169.088,mythic_spiritual
236,romantic,8168.3174,mythic_spiritual
237,ghost,8163.5093,mythic_spiritual
238,gossip,8160.476,other
239,flaneur,8156.5,mythic_spiritual
240,cynic,8155.003,combative_iconoclast
241,martyr,8152.2705,mythic_spiritual
242,dreamer,8150.1597,mythic_spiritual
243,prisoner,8142.961,grounded_social
244,echo,8133.545,mythic_spiritual
245,hermit,8130.0527,mythic_spiritual
246,exile,8126.5605,grounded_social
247,surfer,8124.963,grounded_social
248,wraith,8124.746,mythic_spiritual
249,aberration,8122.29,mythic_spiritual
250,narrator,8113.8105,mythic_spiritual
251,demon,8096.3257,mythic_spiritual
252,whale,8092.855,mythic_spiritual
253,wind,8086.5137,mythic_spiritual
254,genie,8085.521,trickster_chaos
255,provincial,8082.1787,grounded_social
256,tree,8073.655,mythic_spiritual
257,narcissist,8064.382,other
258,criminal,8051.334,grounded_social
259,prophet,8027.034,mythic_spiritual
260,eldritch,8022.607,mythic_spiritual
261,trickster,8020.329,trickster_chaos
262,bard,7994.2397,mythic_spiritual
263,bohemian,7992.359,mythic_spiritual
264,luddite,7976.1567,other
265,comedian,7946.1816,other
266,toddler,7913.815,other
267,leviathan,7910.3364,mythic_spiritual
268,caveman,7905.889,other
269,absurdist,7902.8423,trickster_chaos
270,hoarder,7898.475,other
271,pirate,7857.7524,grounded_social
272,zealot,7842.4014,other
273,jester,7839.3257,trickster_chaos
274,fool,7652.212,other
275,poet,7358.4536,other
