replicate,M1_R2,M1_RMSE,M2_R2,M2_RMSE,M3_R2,M3_RMSE,delta_R2_M3_M1
111,0.47221984930678307,0.5889036956801629,0.21980713631809756,0.7160094267704784,0.4813009216013554,0.5838153258333854,0.009081072294572334
112,0.4383681057002614,0.597428242622426,0.19979931122228123,0.7131146006210427,0.4485951311202123,0.5919638230974192,0.010227025419950908
113,0.4191936780216218,0.6230757211764761,0.24291328412126112,0.7113739774317647,0.4357708668131407,0.6141195381730771,0.016577188791518926
114,0.41577112869098176,0.6206580009354608,0.17795793268383608,0.73622044229648,0.42363020791290096,0.6164693036450175,0.007859079221919196
115,0.4632803403013991,0.5916144805662655,0.19501997505200452,0.7245320401370784,0.47163228431155146,0.5869933489315037,0.008351944010152379
116,0.43783897603909505,0.6016245652501098,0.23387592803443802,0.7023357078677758,0.4519225305809834,0.5940406569550706,0.014083554541888366
117,0.44663180306119366,0.6212742587792708,0.2118720251744569,0.7414376465032689,0.44978122905589835,0.6195037836420174,0.003149425994704691
118,0.4149712335636715,0.6206462300680143,0.2076753745023352,0.722282492575872,0.4318105920964612,0.6116487292682214,0.016839358532789728
119,0.4942373541704522,0.5971922884337321,0.19968894512416346,0.7512253310711815,0.49745961739904654,0.5952868634651226,0.003222263228594313
120,0.4607391857331,0.6003215903064266,0.18722492036968397,0.7370037895438547,0.46840390157948153,0.5960400242248917,0.007664715846381509
121,0.42482267304470356,0.6167879549780174,0.2127109053130053,0.721609301747452,0.4379377687910887,0.6097154589234393,0.013115095746385141
122,0.5103592409662199,0.5779108497560173,0.22706513177599397,0.7260951175852521,0.521372253704032,0.5713746949343748,0.011013012737812078
123,0.4430407249200702,0.6025556773266024,0.14928765291973856,0.7446922436780369,0.44542613976247114,0.6012639423330957,0.002385414842400957
124,0.43096341653924175,0.6255896896612441,0.23248176712117496,0.7265472094076576,0.4472394983926329,0.6165779501225879,0.016276081853391133
125,0.4985775440291801,0.5839555616859012,0.2663179496737418,0.7063693658071162,0.5057093759779854,0.5797878305787467,0.0071318319488052895
126,0.4897595037924549,0.6157216222165404,0.21044815216524515,0.7659268071577093,0.4929421111716974,0.6137983473149342,0.0031826073792424747
127,0.3711936971191231,0.6575476646448932,0.18384773271437005,0.7491251751816231,0.3896456771354645,0.6478281403458679,0.018451980016341407
128,0.4477797212395147,0.638859546376744,0.21482366427144894,0.7617856971671579,0.45850369160497917,0.6326258931280233,0.010723970365464464
129,0.44578459171495877,0.6326845497411642,0.22659111449404024,0.7473989953745166,0.46069914533309564,0.6241133686827665,0.014914553618136872
130,0.42892839907236435,0.6011389869968856,0.21093933546107613,0.7066181857083127,0.4433746230867688,0.5934868689399144,0.01444622401440443
