predictor_id,construct_name,source_scale,source_items,n_items,scoring_rule,respondent_n,missing_fraction,outcome_item_overlap,include_primary,exclusion_reason,provenance_path,status,semantic_adjacency_flag
HEXACO_H_E_D,H:E:D,HEXACO,q_463;q_1260;q_1446;q_1447;q_1448;q_1490;q_1668;q_1706;q_1759;q_1924,10,mean keyed raw items; >=50% observed,9648,0.5925503610794375,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
HEXACO_H_E_F,H:E:F,HEXACO,q_53;q_292;q_334;q_804;q_1306;q_1367;q_1853;q_1993;q_2001;q_2018,10,mean keyed raw items; >=50% observed,9706,0.5901009333164406,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
HEXACO_H_E_S,H:E:S,HEXACO,q_98;q_251;q_253;q_539;q_721;q_844;q_1159;q_1573;q_1679;q_1681,10,mean keyed raw items; >=50% observed,10068,0.5748131255542885,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
HEXACO_H_H_F,H:H:F,HEXACO,q_40;q_500;q_501;q_1633;q_1747;q_1867;q_2003;q_2016;q_2021;q_2029,10,mean keyed raw items; >=50% observed,19881,0.16039528696313188,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
HEXACO_H_H_GA,H:H:GA,HEXACO,q_156;q_225;q_711;q_1054;q_1372;q_1536;q_1667;q_1871;q_1969;q_2025,10,mean keyed raw items; >=50% observed,10596,0.5525148866083871,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
HEXACO_H_H_M,H:H:M,HEXACO,q_152;q_154;q_157;q_364;q_401;q_525;q_716;q_1296;q_1653;q_2008,10,mean keyed raw items; >=50% observed,10447,0.5588073820684996,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
HEXACO_H_H_S,H:H:S,HEXACO,q_23;q_704;q_917;q_1276;q_1517;q_1543;q_1555;q_1762;q_1808;q_1894,10,mean keyed raw items; >=50% observed,12464,0.47362642003462985,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
HEXACO_H_O_A,H:O:A,HEXACO,q_348;q_608;q_610;q_611;q_612;q_757;q_964;q_1132;q_1648;q_1687,10,mean keyed raw items; >=50% observed,7221,0.6950462435069049,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
HEXACO_H_O_C,H:O:C,HEXACO,q_128;q_492;q_516;q_609;q_1058;q_1083;q_1090;q_1146;q_1392;q_1676,10,mean keyed raw items; >=50% observed,10912,0.5391697284513703,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
HEXACO_H_O_I,H:O:I,HEXACO,q_151;q_316;q_651;q_670;q_761;q_923;q_1050;q_1388;q_1964;q_2011,10,mean keyed raw items; >=50% observed,11089,0.5316947506229148,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
HEXACO_H_O_U,H:O:U,HEXACO,q_94;q_634;q_747;q_1232;q_1300;q_1301;q_1609;q_1761;q_1861;q_2005,10,mean keyed raw items; >=50% observed,7153,0.6979179864014528,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
HEXACO_H_X_E,H:X:E,HEXACO,q_158;q_262;q_403;q_690;q_712;q_1064;q_1643;q_1730;q_1795;q_1810,10,mean keyed raw items; >=50% observed,9166,0.6129059504202036,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
HEXACO_H_X_S,H:X:S,HEXACO,q_140;q_744;q_1196;q_1379;q_1410;q_1575;q_1671;q_1803;q_1904;q_2024,10,mean keyed raw items; >=50% observed,7195,0.6961442628489378,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
HEXACO_H_X_SB,H:X:SB,HEXACO,q_131;q_698;q_819;q_901;q_1027;q_1055;q_1110;q_1114;q_1180;q_1992,10,mean keyed raw items; >=50% observed,10498,0.5566535748975886,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
QB6_QB6_A,QB6:A,QB6,q_145;q_238;q_278;q_331;q_952;q_958;q_1033;q_1591,8,mean keyed raw items; >=50% observed,4873,0.7942058363951181,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
QB6_QB6_C,QB6:C,QB6,q_519;q_1254;q_1290;q_1321;q_1511;q_1696;q_1949;q_2737,8,mean keyed raw items; >=50% observed,7277,0.6926812787702183,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
QB6_QB6_H,QB6:H,QB6,q_185;q_1306;q_1747;q_1752;q_1780;q_1896;q_2021;q_2853,8,mean keyed raw items; >=50% observed,13631,0.424342244182609,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
QB6_QB6_O,QB6:O,QB6,q_79;q_348;q_1050;q_1088;q_1676;q_2756;q_2775;q_2891,8,mean keyed raw items; >=50% observed,7764,0.6721145318636768,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
QB6_QB6_X,QB6:X,QB6,q_55;q_1243;q_1635;q_1685;q_1703;q_1803;q_1899;q_2900,8,mean keyed raw items; >=50% observed,5235,0.7789180286329659,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
MPQ_MPQ_AB,MPQ:AB,MPQ,q_610;q_612;q_780;q_1058;q_1310;q_1381;q_1389;q_1587;q_1648;q_1682,10,mean keyed raw items; >=50% observed,6534,0.7240592930444698,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
MPQ_MPQ_AC,MPQ:AC,MPQ,q_191;q_530;q_602;q_604;q_637;q_786;q_1052;q_1519;q_1979;q_1984,10,mean keyed raw items; >=50% observed,6771,0.7140504244267072,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
MPQ_MPQ_AG,MPQ:AG,MPQ,q_501;q_630;q_957;q_1051;q_1150;q_1571;q_1585;q_1683;q_1869;q_2021,10,mean keyed raw items; >=50% observed,9001,0.6198741500907978,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
MPQ_MPQ_AL,MPQ:AL,MPQ,q_20;q_286;q_578;q_594;q_816;q_848;q_882;q_1758;q_1854;q_1855,10,mean keyed raw items; >=50% observed,5551,0.7655728704759491,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
MPQ_MPQ_CO,MPQ:CO,MPQ,q_124;q_623;q_1173;q_1292;q_1321;q_1397;q_1422;q_1424;q_1488;q_1507,10,mean keyed raw items; >=50% observed,8441,0.6435237974576629,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
MPQ_MPQ_HA,MPQ:HA,MPQ,q_294;q_315;q_598;q_599;q_746;q_1662;q_1664;q_1781;q_2017;q_2020,10,mean keyed raw items; >=50% observed,5413,0.7714008192913552,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
MPQ_MPQ_SC,MPQ:SC,MPQ,q_140;q_219;q_312;q_313;q_744;q_1196;q_1379;q_1410;q_1923;q_1943,10,mean keyed raw items; >=50% observed,6537,0.7239325985050045,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
MPQ_MPQ_SP,MPQ:SP,MPQ,q_131;q_455;q_690;q_905;q_1045;q_1114;q_1180;q_1242;q_1652;q_1768,10,mean keyed raw items; >=50% observed,9998,0.5777693314751468,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
MPQ_MPQ_TR,MPQ:TR,MPQ,q_345;q_348;q_359;q_369;q_394;q_398;q_660;q_1328;q_1824;q_1825,10,mean keyed raw items; >=50% observed,5537,0.7661641116601208,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
MPQ_MPQ_UV,MPQ:UV,MPQ,q_43;q_44;q_45;q_76;q_77;q_163;q_164;q_393;q_646;q_1120;q_1136;q_1138;q_1218;q_1223;q_1457;q_1458;q_1962,17,mean keyed raw items; >=50% observed,9878,0.5828371130537607,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
IPIPneo_A1_TR,A1:TR,IPIPneo,q_286;q_343;q_377;q_379;q_381;q_594;q_1758;q_1835;q_1854;q_1855,10,mean keyed raw items; >=50% observed,5563,0.7650660923180878,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
IPIPneo_A2_MO,A2:MO,IPIPneo,q_501;q_1214;q_1467;q_1543;q_1556;q_1752;q_1765;q_1894;q_1896;q_2016,10,mean keyed raw items; >=50% observed,12312,0.48004561003420754,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
IPIPneo_A3_AL,A3:AL,IPIPneo,q_90;q_146;q_298;q_1041;q_1354;q_1385;q_1420;q_1421;q_1774;q_1881,10,mean keyed raw items; >=50% observed,7941,0.664639554035221,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
IPIPneo_A4_CO,A4:CO,IPIPneo,q_121;q_479;q_531;q_957;q_1031;q_1051;q_1150;q_1163;q_1359;q_2036,10,mean keyed raw items; >=50% observed,6527,0.7243549136365556,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
IPIPneo_A5_MO,A5:MO,IPIPneo,q_364;q_401;q_525;q_565;q_586;q_1042;q_1235;q_1416;q_1691;q_1830,10,mean keyed raw items; >=50% observed,6622,0.7203429198868195,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
IPIPneo_A6_SY,A6:SY,IPIPneo,q_195;q_339;q_383;q_487;q_851;q_1757;q_1764;q_1818;q_1858;q_1910,10,mean keyed raw items; >=50% observed,6058,0.7441614933063052,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
IPIPneo_C1_SE,C1:SE,IPIPneo,q_258;q_515;q_520;q_708;q_722;q_786;q_1023;q_1113;q_1215;q_1435,10,mean keyed raw items; >=50% observed,5470,0.7689936230415135,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
IPIPneo_C2_OR,C2:OR,IPIPneo,q_169;q_170;q_619;q_1254;q_1255;q_1290;q_1333;q_1374;q_1483;q_1917,10,mean keyed raw items; >=50% observed,11559,0.5118459394400101,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
IPIPneo_C3_DU,C3:DU,IPIPneo,q_404;q_405;q_618;q_977;q_1190;q_1341;q_1436;q_1508;q_1812;q_1867,10,mean keyed raw items; >=50% observed,6720,0.7162042315976181,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
IPIPneo_C4_AS,C4:AS,IPIPneo,q_191;q_554;q_602;q_604;q_1012;q_1519;q_1553;q_1694;q_1883;q_1979,10,mean keyed raw items; >=50% observed,6623,0.7203006883736645,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
IPIPneo_C5_SD,C5:SD,IPIPneo,q_76;q_491;q_904;q_962;q_992;q_1087;q_1444;q_1521;q_1744;q_1949,10,mean keyed raw items; >=50% observed,6451,0.7275645086363445,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
IPIPneo_C6_CA,C6:CA,IPIPneo,q_35;q_321;q_507;q_598;q_1173;q_1292;q_1424;q_1488;q_1638;q_1748,10,mean keyed raw items; >=50% observed,6461,0.7271421935047933,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
IPIPneo_E1_FR,E1:FR,IPIPneo,q_20;q_140;q_200;q_313;q_505;q_819;q_1196;q_1410;q_1480;q_1943,10,mean keyed raw items; >=50% observed,7123,0.6991849317961063,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
IPIPneo_E2_GR,E2:GR,IPIPneo,q_314;q_684;q_744;q_1169;q_1370;q_1376;q_1531;q_1666;q_1803;q_1923,10,mean keyed raw items; >=50% observed,5777,0.7560285485028928,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
IPIPneo_E3_AS,E3:AS,IPIPneo,q_455;q_690;q_1114;q_1151;q_1180;q_1670;q_1768;q_1769;q_1872;q_1913,10,mean keyed raw items; >=50% observed,9234,0.6100342075256556,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
IPIPneo_E4_AL,E4:AL,IPIPneo,q_71;q_74;q_429;q_595;q_1280;q_1281;q_1329;q_1330;q_1599;q_1600,10,mean keyed raw items; >=50% observed,5360,0.7736390894885764,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
IPIPneo_E5_ES,E5:ES,IPIPneo,q_31;q_294;q_576;q_745;q_746;q_1360;q_1368;q_1662;q_1664;q_2017,10,mean keyed raw items; >=50% observed,5421,0.7710629671861142,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
IPIPneo_N1_ANX,N1:ANX,IPIPneo,q_38;q_66;q_177;q_179;q_248;q_727;q_808;q_960;q_986;q_1989,10,mean keyed raw items; >=50% observed,6609,0.720891929557836,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
IPIPneo_N4_SC,N4:SC,IPIPneo,q_63;q_67;q_69;q_89;q_114;q_168;q_184;q_901;q_1496;q_1755,10,mean keyed raw items; >=50% observed,6016,0.74593521685882,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
IPIPneo_N5_IM,N5:IM,IPIPneo,q_56;q_632;q_673;q_736;q_1009;q_1384;q_1461;q_1462;q_1474;q_1590,10,mean keyed raw items; >=50% observed,5550,0.7656151019891042,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
IPIPneo_O1_IM,O1:IM,IPIPneo,q_609;q_780;q_1058;q_1083;q_1161;q_1310;q_1381;q_1675;q_1682;q_1738,10,mean keyed raw items; >=50% observed,6563,0.7228345791629713,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
IPIPneo_O2_AI,O2:AI,IPIPneo,q_348;q_607;q_608;q_610;q_611;q_612;q_776;q_1289;q_1369;q_1648,10,mean keyed raw items; >=50% observed,6677,0.7180201866632882,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
IPIPneo_O3_EM,O3:EM,IPIPneo,q_174;q_228;q_721;q_755;q_793;q_797;q_844;q_1589;q_1681;q_1880,10,mean keyed raw items; >=50% observed,6876,0.7096161155454199,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
IPIPneo_O4_AD,O4:AD,IPIPneo,q_47;q_82;q_148;q_566;q_581;q_689;q_1303;q_1334;q_1540;q_1542,10,mean keyed raw items; >=50% observed,5386,0.7725410701465434,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
IPIPneo_O5_IN,O5:IN,IPIPneo,q_194;q_197;q_316;q_322;q_422;q_778;q_1050;q_1088;q_1327;q_1388,10,mean keyed raw items; >=50% observed,10667,0.5495164491743739,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
IPIPneo_O6_LI,O6:LI,IPIPneo,q_345;q_359;q_369;q_394;q_395;q_397;q_398;q_1328;q_1824;q_1825,10,mean keyed raw items; >=50% observed,5244,0.7785379450145699,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
EPQr_EPQ_E,EPQ:E,EPQr,q_4222;q_4226;q_4230;q_4234;q_4237;q_4240;q_4243;q_4247;q_4250;q_4253;q_4257;q_4259;q_4262;q_4265;q_4267;q_4270;q_4271;q_4274;q_4276;q_4278;q_4283;q_4292;q_4295,23,mean keyed raw items; >=50% observed,12731,0.4623506060222138,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
EPQr_EPQ_P,EPQ:P,EPQr,q_4223;q_4225;q_4227;q_4229;q_4231;q_4233;q_4236;q_4238;q_4241;q_4244;q_4245;q_4248;q_4251;q_4254;q_4255;q_4260;q_4261;q_4264;q_4266;q_4268;q_4272;q_4275;q_4279;q_4281;q_4284;q_4286;q_4289;q_4291;q_4293;q_4296;q_4297;q_4299,32,mean keyed raw items; >=50% observed,16418,0.30664301701929975,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
PS_PS_P,PS:P,PS,q_131;q_148;q_254;q_438;q_492;q_698;q_740;q_803;q_1045;q_1055;q_1081;q_1110;q_1114;q_1205;q_1998;q_2745;q_2754;q_2951;q_3023;q_3090,20,mean keyed raw items; >=50% observed,15593,0.3414840153722708,,True,,research/outputs/human_trait_dataset_feasibility/sapa/sapa_scale_inventory.csv,reconstructed,False
