emotion,valence_raw,valence_scaled,valence_rank_positive_to_negative,arousal_raw,arousal_scaled,arousal_rank_high_to_low,quadrant,cluster_id,cluster_representative
jubilant,0.49299824,0.71841871,24,0.20233202,0.45389334,30,positive_high_arousal,2,joyful
kind,0.47105300,0.68511567,28,-0.13437337,-0.18475240,128,positive_low_arousal,4,proud
lazy,-0.06723935,-0.13177098,85,-0.36888838,-0.62956861,156,negative_low_arousal,1,distressed
listless,-0.41056189,-0.65278080,136,-0.35118979,-0.59599882,154,negative_low_arousal,1,distressed
lonely,-0.08661529,-0.16117497,90,-0.46981004,-0.82099170,164,negative_low_arousal,0,serene
loving,0.48143840,0.70087605,26,-0.25680044,-0.41696588,149,positive_low_arousal,0,serene
mad,-0.36807036,-0.58829770,124,0.36840230,0.76888705,5,negative_high_arousal,1,distressed
melancholy,-0.23880702,-0.39213385,102,-0.53101337,-0.93707909,169,negative_low_arousal,1,distressed
miserable,-0.54902142,-0.86290034,161,-0.04761847,-0.02020009,113,negative_low_arousal,1,distressed
mortified,-0.58452833,-0.91678392,167,0.16565274,0.38432193,38,negative_high_arousal,1,distressed
mystified,-0.08275045,-0.15530989,89,-0.04039086,-0.00649113,109,negative_low_arousal,3,perplexed
nervous,-0.48633319,-0.76776769,151,0.00536992,0.08030561,95,negative_high_arousal,1,distressed
nostalgic,0.22983041,0.31904784,59,-0.07032798,-0.06327435,125,positive_low_arousal,0,serene
obstinate,0.24611455,0.34375987,56,0.03995285,0.14590075,83,positive_high_arousal,4,proud
offended,0.16376105,0.21878414,64,0.05520329,0.17482702,78,positive_high_arousal,4,proud
on edge,-0.45258069,-0.71654651,143,0.20513287,0.45920586,28,negative_high_arousal,1,distressed
optimistic,0.64040667,0.94211867,3,0.07083008,0.20446711,70,positive_high_arousal,4,proud
outraged,-0.35067803,-0.56190392,120,0.46650463,0.95496259,2,negative_high_arousal,1,distressed
overwhelmed,-0.52724326,-0.82985084,157,0.05921818,0.18244226,76,negative_high_arousal,1,distressed
panicked,-0.48663089,-0.76821946,152,0.20556347,0.46002260,27,negative_high_arousal,1,distressed
paranoid,-0.33823276,-0.54301757,116,0.23883316,0.52312686,21,negative_high_arousal,1,distressed
patient,0.35441750,0.50811523,45,-0.41374892,-0.71465781,158,positive_low_arousal,0,serene
peaceful,0.36835217,0.52926182,43,-0.56039810,-0.99281456,170,positive_low_arousal,0,serene
perplexed,-0.07821303,-0.14842411,87,0.04358377,0.15278770,82,negative_high_arousal,3,perplexed
playful,0.43816257,0.63520272,31,0.06375472,0.19104694,74,positive_high_arousal,4,proud
pleased,0.62122917,0.91301582,5,0.01415446,0.09696768,93,positive_high_arousal,2,joyful
proud,0.45618424,0.66255155,29,0.01442964,0.09748961,92,positive_high_arousal,4,proud
puzzled,-0.07844690,-0.14877902,88,-0.14402840,-0.20306557,132,negative_low_arousal,3,perplexed
rattled,-0.45076978,-0.71379837,141,-0.00955317,0.05200024,100,negative_low_arousal,1,distressed
reflective,0.11508586,0.14491700,68,-0.26375201,-0.43015127,150,positive_low_arousal,0,serene
refreshed,0.60997254,0.89593329,7,-0.07454944,-0.07128139,126,positive_low_arousal,2,joyful
regretful,-0.16616538,-0.28189638,96,0.02366783,0.11501215,89,negative_high_arousal,3,perplexed
rejuvenated,0.52986956,0.77437285,18,0.06197347,0.18766836,75,positive_high_arousal,2,joyful
relaxed,0.47154739,0.68586594,27,-0.51618052,-0.90894488,168,positive_low_arousal,0,serene
relieved,0.42132172,0.60964586,37,-0.15283644,-0.21977222,134,positive_low_arousal,2,joyful
remorseful,0.36746055,0.52790873,44,-0.04702196,-0.01906866,112,positive_low_arousal,4,proud
resentful,0.00676448,-0.01946632,75,0.11555924,0.28930712,52,positive_high_arousal,3,perplexed
resigned,0.10794310,0.13407750,69,-0.20628333,-0.32114758,143,positive_low_arousal,4,proud
restless,-0.24090539,-0.39531823,103,-0.06498174,-0.05313388,120,negative_low_arousal,1,distressed
sad,-0.52887309,-0.83232419,159,-0.15772486,-0.22904432,135,negative_low_arousal,1,distressed
safe,0.50259227,0.73297814,21,-0.43835944,-0.76133780,161,positive_low_arousal,0,serene
satisfied,0.59806180,0.87785813,10,-0.24617767,-0.39681715,146,positive_low_arousal,0,serene
scared,-0.62224734,-0.97402448,169,0.11249218,0.28348968,53,negative_high_arousal,1,distressed
scornful,0.25330746,0.35467548,54,-0.00716038,0.05653875,99,positive_low_arousal,4,proud
self-confident,0.56407320,0.82627867,13,-0.10296860,-0.12518542,127,positive_low_arousal,4,proud
self-conscious,-0.39384869,-0.62741764,131,-0.06704972,-0.05705631,121,negative_low_arousal,1,distressed
self-critical,-0.20743096,-0.34451904,99,0.04745283,0.16012634,80,negative_high_arousal,3,perplexed
sensitive,-0.52786529,-0.83079481,158,0.17113557,0.39472150,37,negative_high_arousal,1,distressed
sentimental,0.55657339,0.81489731,15,-0.27574873,-0.45290603,152,positive_low_arousal,0,serene
serene,0.56181014,0.82284434,14,-0.49451554,-0.86785185,165,positive_low_arousal,0,serene
shaken,-0.60960013,-0.95483168,168,0.00920817,0.08758580,94,negative_high_arousal,1,distressed
shocked,-0.50964594,-0.80314600,155,0.16526738,0.38359101,39,negative_high_arousal,1,distressed
skeptical,0.38850442,0.55984389,40,-0.23057196,-0.36721701,145,positive_low_arousal,0,serene
sleepy,-0.26651987,-0.43418954,106,-0.17626731,-0.26421471,138,negative_low_arousal,1,distressed
sluggish,-0.45883909,-0.72604396,146,-0.19087633,-0.29192437,141,negative_low_arousal,1,distressed
smug,0.43036905,0.62337565,34,-0.00698989,0.05686214,97,positive_low_arousal,4,proud
sorry,0.15488021,0.20530701,66,0.03872741,0.14357640,84,positive_high_arousal,4,proud
spiteful,0.21156842,0.29133431,61,0.08608796,0.23340749,65,positive_high_arousal,3,perplexed
stimulated,0.06832419,0.07395375,71,0.14234909,0.34012076,48,positive_high_arousal,2,joyful
stressed,-0.43413925,-0.68856067,138,-0.04496951,-0.01517569,110,negative_low_arousal,1,distressed
stubborn,0.37089843,0.53312589,41,-0.02916498,0.01480156,104,positive_low_arousal,4,proud
stuck,-0.10119509,-0.18330058,91,-0.37755013,-0.64599777,157,negative_low_arousal,1,distressed
sullen,-0.34795272,-0.55776813,119,-0.18619409,-0.28304333,139,negative_low_arousal,1,distressed
surprised,-0.12351567,-0.21717323,94,0.15588529,0.36579554,41,negative_high_arousal,3,perplexed
suspicious,-0.05851686,-0.11853415,83,0.07911060,0.22017319,67,negative_high_arousal,3,perplexed
sympathetic,0.32154286,0.45822625,48,-0.14448628,-0.20393406,133,positive_low_arousal,4,proud
tense,-0.38486412,-0.61378310,128,0.07135888,0.20547012,68,negative_high_arousal,1,distressed
terrified,-0.62466860,-0.97769887,170,0.11632510,0.29075977,51,negative_high_arousal,1,distressed
thankful,0.53801465,0.78673345,16,-0.00709816,0.05665677,98,positive_low_arousal,0,serene
thrilled,0.44087988,0.63932639,30,0.29703575,0.63352259,15,positive_high_arousal,2,joyful
tired,-0.33163962,-0.53301214,113,-0.19947718,-0.30823802,142,negative_low_arousal,1,distressed
tormented,-0.55340624,-0.86955453,162,0.13015518,0.31699196,50,negative_high_arousal,1,distressed
trapped,-0.12008487,-0.21196681,93,-0.06998815,-0.06262978,124,negative_low_arousal,1,distressed
triumphant,0.58220369,0.85379261,11,0.15529007,0.36466655,42,positive_high_arousal,2,joyful
troubled,-0.57539195,-0.90291899,165,-0.18870905,-0.28781357,140,negative_low_arousal,1,distressed
uneasy,-0.46975821,-0.74261430,148,-0.01286818,0.04571250,102,negative_low_arousal,1,distressed
unhappy,-0.19951408,-0.33250476,98,-0.20684659,-0.32221595,144,negative_low_arousal,1,distressed
unnerved,-0.42309546,-0.67180115,137,-0.05528915,-0.03474945,117,negative_low_arousal,1,distressed
unsettled,-0.54005194,-0.84928868,160,-0.05277473,-0.02998024,115,negative_low_arousal,1,distressed
upset,-0.45531833,-0.72070103,145,-0.04028066,-0.00628212,108,negative_low_arousal,1,distressed
valiant,0.51361525,0.74970610,20,-0.05679161,-0.03759925,119,positive_low_arousal,4,proud
vengeful,0.31550282,0.44906018,50,0.28069854,0.60253499,18,positive_high_arousal,4,proud
vibrant,0.39067432,0.56313684,39,0.31537670,0.66831077,11,positive_high_arousal,2,joyful
vigilant,-0.07268614,-0.14003677,86,0.04520438,0.15586158,81,negative_high_arousal,3,perplexed
vindictive,0.16303691,0.21768523,65,0.17610270,0.40414289,36,positive_high_arousal,4,proud
vulnerable,-0.44092566,-0.69885939,140,0.11006067,0.27887771,54,negative_high_arousal,1,distressed
weary,-0.33347559,-0.53579833,114,-0.35149324,-0.59657439,155,negative_low_arousal,1,distressed
worn out,-0.35443601,-0.56760685,121,-0.41532573,-0.71764863,159,negative_low_arousal,1,distressed
worried,-0.33727649,-0.54156639,115,-0.05159931,-0.02775076,114,negative_low_arousal,1,distressed
worthless,-0.31185001,-0.50298039,111,-0.05582587,-0.03576747,118,negative_low_arousal,1,distressed
