role,original_k5,no_label_k5,original_k7,no_label_k7,original_k10,no_label_k10
validator,3,0,5,0,9,0
vampire,0,2,2,2,8,9
vegan,1,3,1,3,9,8
veteran,0,4,3,4,8,9
veterinarian,3,1,3,1,3,8
vigilante,1,2,1,2,1,7
virtuoso,3,4,6,4,6,4
virus,3,1,3,1,3,1
visionary,1,2,1,6,1,6
void,0,3,6,3,6,3
wanderer,0,3,1,6,1,6
warrior,1,4,1,4,1,7
whale,0,3,6,3,6,3
widow,4,1,5,1,5,4
wind,0,3,1,3,8,9
witch,0,2,6,2,6,2
witness,2,0,2,5,2,5
workaholic,4,3,5,2,5,7
wraith,0,3,4,3,8,3
writer,4,1,4,0,4,0
zealot,1,4,1,6,6,6
zeitgeist,0,3,6,3,8,3
