role,neighbor_rank,neighbor,cosine
anthropologist,4,psychologist,0.587360604559867
anthropologist,5,cyborg,0.5655085804239384
archaeologist,1,scholar,0.6841981792482823
archaeologist,2,detective,0.5516917334063907
archaeologist,3,echo,0.4517421058302358
archaeologist,4,anthropologist,0.4499926810420663
archaeologist,5,witch,0.41888567272374017
architect,1,cartographer,0.7639092827601052
architect,2,composer,0.7483317470383299
architect,3,designer,0.66797220518239
architect,4,builder,0.5236131103321328
architect,5,chef,0.5140771496995898
archivist,1,conservator,0.9159031653765001
archivist,2,collector,0.8865657387930287
archivist,3,purist,0.5492506332343743
archivist,4,historian,0.5268402025891775
archivist,5,librarian,0.45645575966096624
artisan,1,purist,0.5725970118592248
artisan,2,conservator,0.5369438989892823
artisan,3,playwright,0.49432429731638483
artisan,4,traditionalist,0.45228585725473774
artisan,5,archivist,0.42427361001245084
ascetic,1,pilgrim,0.6166636078276271
ascetic,2,shaman,0.5455425617855112
ascetic,3,mystic,0.4953703273966866
ascetic,4,witch,0.42729008537872065
ascetic,5,healer,0.42190281834319515
assistant,1,caregiver,0.48266967600159877
assistant,2,generalist,0.3893851536411927
assistant,3,navigator,0.3812453010320598
assistant,4,altruist,0.38055553869341247
assistant,5,chimera,0.37500223904931035
auctioneer,1,facilitator,0.6163639059993121
auctioneer,2,moderator,0.6121660904867425
auctioneer,3,scheduler,0.5783424910762296
auctioneer,4,narrator,0.5636134930833366
auctioneer,5,historian,0.49768886067353996
auditor,1,examiner,0.8916254537171928
auditor,2,accountant,0.5858305848927877
auditor,3,screener,0.5802833834111722
auditor,4,pilot,0.4832672890977866
auditor,5,supervisor,0.47704837117789556
avatar,1,angel,0.8563743837310707
avatar,2,prophet,0.574352266973589
avatar,3,guardian,0.4690465441990444
avatar,4,shapeshifter,0.4534379530906127
avatar,5,spirit,0.4490835029488647
bard,1,narrator,0.5653691003070868
bard,2,blogger,0.520302580092849
bard,3,poet,0.49744119555328975
bard,4,photographer,0.4626260321438233
bard,5,jester,0.44272809490990633
bartender,1,networker,0.6278213097405538
bartender,2,loner,0.5841266706500956
bartender,3,sociologist,0.5811308925413927
bartender,4,provocateur,0.5006169055806632
bartender,5,activist,0.4842925978414107
biologist,1,chemist,0.6088461177976052
biologist,2,scientist,0.5571585737243491
biologist,3,naturalist,0.48289207868081924
biologist,4,geographer,0.4485955265231034
biologist,5,parasite,0.4249625168036298
blogger,1,writer,0.7839925353527164
blogger,2,influencer,0.6027305513102511
blogger,3,narrator,0.567764006431603
blogger,4,publisher,0.5554261451575113
blogger,5,podcaster,0.5445573391149331
bohemian,1,minimalist,0.5194222230450877
bohemian,2,critic,0.5080936440095207
bohemian,3,luddite,0.4572356809587646
bohemian,4,provocateur,0.44834624039963733
bohemian,5,musician,0.43239364381833395
builder,1,saboteur,0.671966372634325
builder,2,composer,0.671488802016028
builder,3,destroyer,0.6581548470969668
builder,4,architect,0.5236131103321328
builder,5,theorist,0.5183968217291091
caregiver,1,altruist,0.714216017323046
caregiver,2,martyr,0.6158046655844207
caregiver,3,counselor,0.6075796518187706
caregiver,4,narcissist,0.5530576757645977
caregiver,5,empath,0.5380051882883358
cartographer,1,architect,0.7639092827601052
cartographer,2,designer,0.5845190437568325
cartographer,3,merchant,0.5623776130942744
cartographer,4,smuggler,0.5363826638959726
cartographer,5,nutritionist,0.5211078458312748
caveman,1,pirate,0.54684110857936
caveman,2,infant,0.5310848751152525
caveman,3,mechanic,0.5006364455859177
caveman,4,toddler,0.4932295168524229
caveman,5,engineer,0.48510304895445716
celebrity,1,parent,0.6561048329218548
celebrity,2,prisoner,0.6167981141607201
celebrity,3,refugee,0.5384633536746641
celebrity,4,immigrant,0.5155119519088587
celebrity,5,wind,0.5013671628963333
chameleon,1,cosmopolitan,0.6117544222855589
chameleon,2,hybrid,0.5445708644858416
chameleon,3,realist,0.4939820936444705
chameleon,4,stoic,0.41903635821343815
chameleon,5,actor,0.3995029431640837
chef,1,sommelier,0.6860185361334235
chef,2,architect,0.5140771496995898
chef,3,cartographer,0.49218858956285577
chef,4,mentor,0.4746511117125236
chef,5,nutritionist,0.46149938417512487
chemist,1,biologist,0.6088461177976052
chemist,2,naturalist,0.5756386627400641
chemist,3,physicist,0.5096310784476253
chemist,4,smuggler,0.4862840723765984
chemist,5,pharmacist,0.4777845425719857
chimera,1,leviathan,0.5822165179431004
chimera,2,synthesizer,0.5069418180748424
chimera,3,golem,0.4791082546993374
chimera,4,zealot,0.4551100914209616
chimera,5,coral_reef,0.45405972285880386
coach,1,trainer,0.7495405533568954
coach,2,mentor,0.6674774552898983
coach,3,guide,0.6255483844004598
coach,4,planner,0.601924574205032
coach,5,instructor,0.5794687283444562
collaborator,1,mediator,0.5560985390895617
collaborator,2,coral_reef,0.5341301940057815
collaborator,3,symbiont,0.5106900635816688
collaborator,4,negotiator,0.4499966778077467
collaborator,5,egregore,0.433574234472065
collector,1,archivist,0.8865657387930287
collector,2,conservator,0.8855836942960856
collector,3,curator,0.6228887095490678
collector,4,purist,0.5202905904142888
collector,5,historian,0.49599003442984985
comedian,1,fool,0.7489964143887152
comedian,2,jester,0.7328725871422647
comedian,3,trickster,0.7289992395308685
comedian,4,absurdist,0.5225293104567694
comedian,5,photographer,0.4283438352156564
competitor,1,daredevil,0.52481995516422
competitor,2,prey,0.4736608228212375
competitor,3,narcissist,0.46887996857188835
competitor,4,idealist,0.41535086100393676
competitor,5,martyr,0.41342943632940365
composer,1,architect,0.7483317470383299
composer,2,playwright,0.680275214234347
composer,3,builder,0.671488802016028
composer,4,novelist,0.6360590717704664
composer,5,musician,0.5661451773811468
conservator,1,archivist,0.9159031653765001
conservator,2,collector,0.8855836942960856
conservator,3,purist,0.6304923150740043
conservator,4,artisan,0.5369438989892823
conservator,5,traditionalist,0.4884188741049635
consultant,1,economist,0.601037305299595
consultant,2,forecaster,0.5878904387249917
consultant,3,statistician,0.5798796843850341
consultant,4,analyst,0.5418845265738904
consultant,5,researcher,0.5086752771403777
contrarian,1,devils_advocate,0.9074739915727481
contrarian,2,advocate,0.6324796987590037
contrarian,3,maverick,0.46056448671942213
contrarian,4,skeptic,0.4495128318307
contrarian,5,zealot,0.4176827654304586
coordinator,1,scheduler,0.7505871914589178
coordinator,2,supervisor,0.728077041594289
coordinator,3,organizer,0.7204896948972301
coordinator,4,dispatcher,0.587084577648467
coordinator,5,planner,0.47874852317179684
coral_reef,1,swarm,0.6477826626038099
coral_reef,2,ecosystem,0.5453406422197318
coral_reef,3,collaborator,0.5341301940057815
coral_reef,4,symbiont,0.5210143413073383
coral_reef,5,hive,0.515780859713571
cosmopolitan,1,hybrid,0.8001269624836143
cosmopolitan,2,chameleon,0.6117544222855589
cosmopolitan,3,provincial,0.5976915765186116
cosmopolitan,4,addict,0.5122414447330743
cosmopolitan,5,translator,0.4961940549888872
counselor,1,therapist,0.8851797535252116
counselor,2,caregiver,0.6075796518187706
counselor,3,mentor,0.5672648874225441
counselor,4,guide,0.5170603256056827
counselor,5,empath,0.4786240638064259
criminal,1,vigilante,0.7544406137214537
criminal,2,lawyer,0.6558483065460949
criminal,3,rogue,0.6420031494225418
criminal,4,hermit,0.5143269975750834
criminal,5,nomad,0.454732503972276
critic,1,designer,0.5989872037531669
critic,2,reviewer,0.5555065214126423
critic,3,bohemian,0.5080936440095207
critic,4,grader,0.44314030565301715
critic,5,evaluator,0.4120274808915335
crystalline,1,dreamer,0.5644819031804863
crystalline,2,infant,0.5573024764520773
crystalline,3,eldritch,0.4728817956602132
crystalline,4,tree,0.445563326691721
crystalline,5,poet,0.3835039084282848
curator,1,collector,0.6228887095490678
curator,2,reporter,0.533654867180395
curator,3,presenter,0.48881119931236233
curator,4,journalist,0.47580525102182436
curator,5,marketer,0.4493233218006113
cyborg,1,alien,0.7574491467136507
cyborg,2,demon,0.6542831341969391
cyborg,3,psychologist,0.6057599153807065
cyborg,4,anthropologist,0.5655085804239384
cyborg,5,geographer,0.5527495367808228
cynic,1,alien,0.6098072098555665
cynic,2,demon,0.5858028935167938
cynic,3,cyborg,0.5312127134623431
cynic,4,geographer,0.4952753661496525
cynic,5,anthropologist,0.4828316625178349
daredevil,1,wanderer,0.5524625817438225
daredevil,2,prey,0.5440381237316916
daredevil,3,competitor,0.52481995516422
daredevil,4,predator,0.4283846129328123
daredevil,5,vampire,0.4193960568327052
debugger,1,mechanic,0.7549677448404206
debugger,2,engineer,0.7330000038474384
debugger,3,mathematician,0.6296646625354705
debugger,4,saboteur,0.5116261913865717
debugger,5,hacker,0.4567417729051466
demon,1,eldritch,0.7652198295248411
demon,2,alien,0.7434004328157063
demon,3,cyborg,0.6542831341969391
demon,4,homunculus,0.6008411980710734
demon,5,cynic,0.5858028935167938
designer,1,architect,0.66797220518239
designer,2,critic,0.5989872037531669
designer,3,cartographer,0.5845190437568325
designer,4,composer,0.5476247972074921
designer,5,novelist,0.5363522418974017
destroyer,1,anarchist,0.7506146888958487
destroyer,2,saboteur,0.7333546505062544
destroyer,3,virus,0.6659769785761525
destroyer,4,builder,0.6581548470969668
destroyer,5,hacker,0.553425794017456
detective,1,judge,0.7174483787095164
detective,2,scientist,0.6870588063077848
detective,3,researcher,0.6674429307598837
detective,4,skeptic,0.6586603517417886
detective,5,analyst,0.6243252156282211
devils_advocate,1,contrarian,0.9074739915727481
devils_advocate,2,advocate,0.8485125640247043
devils_advocate,3,zealot,0.36197895730826807
devils_advocate,4,skeptic,0.3366502354055022
devils_advocate,5,vegan,0.3009472115784514
dilettante,1,amateur,0.7853035577444696
dilettante,2,generalist,0.7458062031774519
dilettante,3,student,0.5533023832811617
dilettante,4,polymath,0.5384132427979463
dilettante,5,prodigy,0.45509305008358464
dispatcher,1,supervisor,0.649468216618143
dispatcher,2,scheduler,0.634628235343781
dispatcher,3,coordinator,0.587084577648467
dispatcher,4,producer,0.5503869119668398
dispatcher,5,navigator,0.5205721030218502
divorcee,1,widow,0.9571436741657393
divorcee,2,newlywed,0.7845207479980635
divorcee,3,retiree,0.5721876359991231
divorcee,4,graduate,0.5189968860941415
divorcee,5,hedonist,0.3941810128988113
doctor,1,veterinarian,0.9193527379638122
doctor,2,paramedic,0.8826695584631051
doctor,3,patient,0.8734407776929793
doctor,4,nutritionist,0.41580732280869587
doctor,5,healer,0.31608974901706777
dreamer,1,eldritch,0.6996201451914907
dreamer,2,void,0.6177311044270098
dreamer,3,crystalline,0.5644819031804863
dreamer,4,whale,0.4821796697760203
dreamer,5,zealot,0.48165736832103
echo,1,ancient,0.5612351074443049
echo,2,zeitgeist,0.5027360893673058
echo,3,coral_reef,0.48609066634311554
echo,4,swarm,0.4841101661554205
echo,5,egregore,0.4755751499290539
economist,1,accountant,0.8210432073972598
economist,2,statistician,0.7864330470722463
economist,3,consultant,0.601037305299595
economist,4,forecaster,0.5881822599256477
economist,5,futurist,0.49052319194595273
ecosystem,1,symbiont,0.7341301674466043
ecosystem,2,mycorrhizal,0.5501741592326282
ecosystem,3,coral_reef,0.5453406422197318
ecosystem,4,workaholic,0.4875530280868409
ecosystem,5,swarm,0.43086883303172496
editor,1,proofreader,0.8611082640142609
editor,2,writer,0.719797920676867
editor,3,publisher,0.6977898623345498
editor,4,blogger,0.528341798992373
editor,5,producer,0.4968573593309484
egregore,1,tulpa,0.6883513849731238
egregore,2,hive,0.653854309909117
egregore,3,swarm,0.6325993711740378
egregore,4,zeitgeist,0.5182664835203077
egregore,5,echo,0.4755751499290539
elder,1,survivor,0.6781701035723554
elder,2,hermit,0.6311593069254604
elder,3,sage,0.6310726490640631
elder,4,grandparent,0.6080810230572173
elder,5,orphan,0.5677153184612782
eldritch,1,demon,0.7652198295248411
eldritch,2,dreamer,0.6996201451914907
eldritch,3,void,0.6119264725693072
eldritch,4,alien,0.5739948641315487
eldritch,5,leviathan,0.5387491840670533
emissary,1,mediator,0.770454344601904
emissary,2,interpreter,0.7659429047856328
emissary,3,negotiator,0.7555203835650063
emissary,4,translator,0.6792685911443281
emissary,5,ambassador,0.6776267891739896
empath,1,musician,0.6305883516456205
empath,2,therapist,0.553172043863662
empath,3,caregiver,0.5380051882883358
empath,4,romantic,0.5328114839986143
empath,5,sommelier,0.4883548189673716
engineer,1,mechanic,0.8002193223229004
engineer,2,mathematician,0.7487183173601084
engineer,3,debugger,0.7330000038474384
engineer,4,physicist,0.5919304620091721
engineer,5,caveman,0.48510304895445716
entrepreneur,1,merchant,0.7522148132807028
entrepreneur,2,marketer,0.7196225729568547
entrepreneur,3,recruiter,0.7046627531433415
entrepreneur,4,mentor,0.5352291472737548
entrepreneur,5,negotiator,0.5032842557942442
evaluator,1,reviewer,0.892294856573174
evaluator,2,grader,0.7006944205474711
evaluator,3,screener,0.5765316346580129
evaluator,4,consultant,0.4757917797791566
evaluator,5,recruiter,0.45542182574939094
evangelist,1,technologist,0.7491904949818267
evangelist,2,visionary,0.608750015943163
evangelist,3,zealot,0.5634973520526511
evangelist,4,scout,0.5349910480102428
evangelist,5,gamer,0.4349675293904862
examiner,1,auditor,0.8916254537171928
examiner,2,screener,0.6268888062890282
examiner,3,validator,0.5378568009607863
examiner,4,perfectionist,0.5050064174708322
examiner,5,supervisor,0.496340838805271
exile,1,expatriate,0.7877555021575083
exile,2,refugee,0.6387536387403806
exile,3,immigrant,0.6286283726553026
exile,4,orphan,0.6085257402329111
exile,5,addict,0.5454768219852164
expatriate,1,exile,0.7877555021575083
expatriate,2,immigrant,0.7043340285750642
expatriate,3,refugee,0.6746211041370892
expatriate,4,nomad,0.6263298918191008
expatriate,5,orphan,0.5572960858692141
facilitator,1,moderator,0.9622493797719633
facilitator,2,auctioneer,0.6163639059993121
facilitator,3,podcaster,0.4965952236586208
facilitator,4,secretary,0.4742619555399395
facilitator,5,coordinator,0.42735613902218383
familiar,1,genie,0.8542461017174283
familiar,2,zeitgeist,0.7145703165614165
familiar,3,spirit,0.5660504357444208
familiar,4,golem,0.4523466255618342
familiar,5,shaman,0.4511350566783305
fixer,1,improviser,0.6263604740977824
fixer,2,actor,0.5042546554180207
fixer,3,shapeshifter,0.49415029677717975
fixer,4,rogue,0.48982965690206387
fixer,5,realist,0.48691588710646794
flaneur,1,wanderer,0.6049882343834119
flaneur,2,observer,0.5144882620654379
flaneur,3,hermit,0.42441172784278075
flaneur,4,criminal,0.3960919546990974
flaneur,5,nomad,0.36926461983001113
fool,1,jester,0.912658159534979
fool,2,trickster,0.8667933076444196
fool,3,comedian,0.7489964143887152
fool,4,guru,0.45827921387623094
fool,5,bard,0.4426864926190048
forecaster,1,futurist,0.8909814824804647
forecaster,2,oracle,0.6397969103347788
forecaster,3,statistician,0.5961715980180502
forecaster,4,economist,0.5881822599256477
forecaster,5,consultant,0.5878904387249917
futurist,1,forecaster,0.8909814824804647
futurist,2,visionary,0.6358601242582836
futurist,3,oracle,0.6218173880177214
futurist,4,technologist,0.5674601942266929
futurist,5,economist,0.49052319194595273
gamer,1,hedonist,0.5222962799411497
gamer,2,evangelist,0.4349675293904862
gamer,3,empath,0.4224586898917868
gamer,4,elder,0.41615479053707977
gamer,5,photographer,0.4149316657585567
generalist,1,polymath,0.871677403447361
generalist,2,dilettante,0.7458062031774519
generalist,3,prodigy,0.6925655716933699
generalist,4,student,0.43513232836120197
generalist,5,assistant,0.3893851536411927
genie,1,familiar,0.8542461017174283
genie,2,zeitgeist,0.6660273391484088
genie,3,spirit,0.4460251054932784
genie,4,golem,0.4091551610705825
genie,5,shaman,0.3592520232813602
geographer,1,anthropologist,0.7392143181026058
geographer,2,alien,0.6486987994118616
geographer,3,psychologist,0.584391083687412
geographer,4,cyborg,0.5527495367808228
geographer,5,demon,0.5268588494250113
ghost,1,wraith,0.8530873465464337
ghost,2,revenant,0.8261987682167766
ghost,3,void,0.4922646702332621
ghost,4,echo,0.43709689779791644
ghost,5,spirit,0.40262428190335314
golem,1,homunculus,0.7714669639863715
golem,2,witch,0.6702268431758683
golem,3,chimera,0.4791082546993374
golem,4,familiar,0.4523466255618342
golem,5,demon,0.4231961223854611
gossip,1,librarian,0.5458819603309067
gossip,2,validator,0.5194920409134419
gossip,3,networker,0.4771013649102499
gossip,4,mycorrhizal,0.4272363696038945
gossip,5,interviewer,0.3982113950622542
grader,1,reviewer,0.8276738622182228
grader,2,evaluator,0.7006944205474711
grader,3,screener,0.6253923493443181
grader,4,critic,0.44314030565301715
grader,5,examiner,0.43638176456962635
graduate,1,newlywed,0.6349220239451913
graduate,2,student,0.5911264578755674
graduate,3,widow,0.5874510706999782
graduate,4,hedonist,0.5824491795968602
graduate,5,divorcee,0.5189968860941415
grandparent,1,parent,0.609313765568106
grandparent,2,elder,0.6080810230572173
grandparent,3,infant,0.44377561244043506
grandparent,4,celebrity,0.4377186449572335
grandparent,5,orphan,0.4358279591541419
guardian,1,angel,0.64038072785581
guardian,2,martyr,0.5955618959765149
guardian,3,altruist,0.5645088136056403
guardian,4,avatar,0.4690465441990444
guardian,5,warrior,0.43326138793333474
guide,1,coach,0.6255483844004598
guide,2,mentor,0.6046608012762782
guide,3,therapist,0.5624871401206667
guide,4,counselor,0.5170603256056827
guide,5,guru,0.480727026916403
guru,1,mystic,0.6845837684627445
guru,2,sage,0.6362684179407999
guru,3,shaman,0.5291815837104776
guru,4,martyr,0.5230720335547578
guru,5,pilgrim,0.5217348090049412
hacker,1,saboteur,0.6628870153468278
hacker,2,destroyer,0.553425794017456
hacker,3,spy,0.5180177568763584
hacker,4,technologist,0.5013289758224078
hacker,5,virus,0.47209249629337763
healer,1,shaman,0.7499066892626947
healer,2,mystic,0.6335024767519516
healer,3,spirit,0.5358917022694542
healer,4,pilgrim,0.5258107851287972
healer,5,caregiver,0.4654049623161578
hedonist,1,minimalist,0.7362568490508065
hedonist,2,graduate,0.5824491795968602
hedonist,3,gamer,0.5222962799411497
hedonist,4,widow,0.4476517878551875
hedonist,5,newlywed,0.43432124649387777
hermit,1,elder,0.6311593069254604
hermit,2,nomad,0.5356778386189814
hermit,3,survivor,0.5248692730240547
hermit,4,criminal,0.5143269975750834
hermit,5,sage,0.5032126663052593
historian,1,archivist,0.5268402025891775
historian,2,auctioneer,0.49768886067353996
historian,3,collector,0.49599003442984985
historian,4,witness,0.46754156903216704
historian,5,conservator,0.44233638905981326
hive,1,swarm,0.9542993207707928
hive,2,egregore,0.653854309909117
hive,3,coral_reef,0.515780859713571
hive,4,echo,0.44154662271542316
hive,5,tulpa,0.41733065167688627
hoarder,1,procrastinator,0.5637489344731159
hoarder,2,idealist,0.5165814315676717
hoarder,3,aberration,0.4993325980424982
hoarder,4,toddler,0.4562094627528267
hoarder,5,minimalist,0.4463941809957221
homunculus,1,golem,0.7714669639863715
homunculus,2,witch,0.6333650268409099
homunculus,3,demon,0.6008411980710734
homunculus,4,alien,0.48350657746575415
homunculus,5,eldritch,0.4526514072331694
hybrid,1,cosmopolitan,0.8001269624836143
hybrid,2,provincial,0.6819148242095315
hybrid,3,chameleon,0.5445708644858416
hybrid,4,addict,0.4784439822089544
hybrid,5,chimera,0.3900468780520404
idealist,1,romantic,0.7812859251887462
idealist,2,hoarder,0.5165814315676717
idealist,3,photographer,0.4853395723735518
idealist,4,optimist,0.46443079763094086
idealist,5,aberration,0.4375070616290086
immigrant,1,refugee,0.9556029324466285
immigrant,2,expatriate,0.7043340285750642
immigrant,3,exile,0.6286283726553026
immigrant,4,retiree,0.6275037957746503
immigrant,5,celebrity,0.5155119519088587
improviser,1,realist,0.7548388117000431
improviser,2,fixer,0.6263604740977824
improviser,3,amnesiac,0.48516398705318725
improviser,4,orphan,0.47594891321148036
improviser,5,optimist,0.40901564449559286
infant,1,poet,0.714297015826055
infant,2,toddler,0.6613209340987452
infant,3,crystalline,0.5573024764520773
infant,4,caveman,0.5310848751152525
infant,5,dreamer,0.47731154342047655
influencer,1,blogger,0.6027305513102511
influencer,2,writer,0.5240073391792996
influencer,3,loner,0.4963419837521719
influencer,4,activist,0.4952997255186562
influencer,5,publisher,0.47993460577544655
instructor,1,trainer,0.9274177602094147
instructor,2,tutor,0.9243678799200047
instructor,3,teacher,0.9167006846303736
instructor,4,coach,0.5794687283444562
instructor,5,student,0.3511793234328797
interpreter,1,translator,0.8570185122817366
interpreter,2,emissary,0.7659429047856328
interpreter,3,actor,0.6879906952857229
interpreter,4,shapeshifter,0.5985974228122257
interpreter,5,cosmopolitan,0.4678525425757131
interviewer,1,journalist,0.5995236007646374
interviewer,2,presenter,0.5383723327772912
interviewer,3,summarizer,0.5041055674377625
interviewer,4,podcaster,0.48257575469498126
interviewer,5,spy,0.48153051824593884
jester,1,fool,0.912658159534979
jester,2,trickster,0.7646664150264727
jester,3,comedian,0.7328725871422647
jester,4,bard,0.44272809490990633
jester,5,interviewer,0.38886571005985987
journalist,1,reporter,0.9380037573583994
journalist,2,interviewer,0.5995236007646374
journalist,3,celebrity,0.49650574564207367
journalist,4,presenter,0.49449038305881615
journalist,5,curator,0.47580525102182436
judge,1,detective,0.7174483787095164
judge,2,skeptic,0.5988934539534371
judge,3,researcher,0.5416693465730267
judge,4,pragmatist,0.5029031647317928
judge,5,analyst,0.45194061350475817
lawyer,1,vigilante,0.75159342291267
lawyer,2,criminal,0.6558483065460949
lawyer,3,pharmacist,0.48661733773799826
lawyer,4,smuggler,0.39506861886439687
lawyer,5,consultant,0.3619763748483951
leviathan,1,ancient,0.7374889854247435
leviathan,2,whale,0.7147122264576026
leviathan,3,surfer,0.6092096480823034
leviathan,4,chimera,0.5822165179431004
leviathan,5,eldritch,0.5387491840670533
librarian,1,gossip,0.5458819603309067
librarian,2,dispatcher,0.47432719432041304
librarian,3,archivist,0.45645575966096624
librarian,4,organizer,0.4371272875089777
librarian,5,saboteur,0.4258054996540655
linguist,1,poet,0.7136391946385242
linguist,2,infant,0.4165457684228802
linguist,3,economist,0.40796600243270553
linguist,4,translator,0.38073773410373024
linguist,5,crystalline,0.37963905736782
loner,1,sociologist,0.6483835082262384
loner,2,activist,0.5904005938419683
loner,3,bartender,0.5841266706500956
loner,4,provocateur,0.5439985842575596
loner,5,influencer,0.4963419837521719
luddite,1,traditionalist,0.5523492407543907
luddite,2,purist,0.5110981776432043
luddite,3,alien,0.4830844911741124
luddite,4,cyborg,0.45857235483084285
luddite,5,bohemian,0.4572356809587646
marketer,1,entrepreneur,0.7196225729568547
marketer,2,merchant,0.6313481599425514
marketer,3,recruiter,0.6292696488304457
marketer,4,mentor,0.6278854338298718
marketer,5,navigator,0.5096632628704841
martyr,1,altruist,0.9151946052678415
martyr,2,narcissist,0.7925029221304832
martyr,3,caregiver,0.6158046655844207
martyr,4,guardian,0.5955618959765149
martyr,5,guru,0.5230720335547578
mathematician,1,engineer,0.7487183173601084
mathematician,2,physicist,0.6471931027395077
mathematician,3,debugger,0.6296646625354705
mathematician,4,programmer,0.598927318040042
mathematician,5,mechanic,0.5191660496777198
maverick,1,rebel,0.9228476634237982
maverick,2,revolutionary,0.6333057740907414
maverick,3,visionary,0.5645075279552851
maverick,4,provocateur,0.46121269385591335
maverick,5,contrarian,0.46056448671942213
mechanic,1,engineer,0.8002193223229004
mechanic,2,debugger,0.7549677448404206
mechanic,3,mathematician,0.5191660496777198
mechanic,4,caveman,0.5006364455859177
mechanic,5,saboteur,0.4595469635600781
mediator,1,negotiator,0.8970922129064056
mediator,2,peacekeeper,0.7915364813502304
mediator,3,emissary,0.770454344601904
mediator,4,ambassador,0.6709535092329926
mediator,5,collaborator,0.5560985390895617
mentor,1,coach,0.6674774552898983
mentor,2,marketer,0.6278854338298718
mentor,3,guide,0.6046608012762782
mentor,4,counselor,0.5672648874225441
mentor,5,therapist,0.5492376660216148
merchant,1,entrepreneur,0.7522148132807028
merchant,2,smuggler,0.737976389734187
merchant,3,navigator,0.6526684954038504
merchant,4,networker,0.6416555023666993
merchant,5,marketer,0.6313481599425514
minimalist,1,hedonist,0.7362568490508065
minimalist,2,bohemian,0.5194222230450877
minimalist,3,pirate,0.47646539038925506
minimalist,4,hoarder,0.4463941809957221
minimalist,5,surfer,0.4420964886118424
moderator,1,facilitator,0.9622493797719633
moderator,2,auctioneer,0.6121660904867425
moderator,3,podcaster,0.5554737724726164
moderator,4,secretary,0.5254733415524725
moderator,5,workaholic,0.3536481574603646
musician,1,empath,0.6305883516456205
musician,2,composer,0.5661451773811468
musician,3,virtuoso,0.4824477187988541
musician,4,bohemian,0.43239364381833395
