persona,final_model_residual_pca3d,baseline_residual_pca3d,residual_improvement_pca3d,actual_pc1,actual_pc2,actual_pc3,predicted_pc1,predicted_pc2,predicted_pc3,gemma_axis_proj_raw,gemma_cluster,semantic_cluster_id,is_stable_anchor,is_semantic_bridge,is_semantic_anchor
artisan,0.8808,1.5396,0.6588,1.2321,-0.7364,0.7254,0.3572,-0.6384,0.7519,8602.39,mythic_spiritual,0,False,False,True
synthesizer,0.8878,0.9329,0.0451,1.6754,0.8604,0.2827,0.8776,1.1751,0.0533,9207.69,procedural_professional,6,False,False,False
mechanic,0.8904,2.0364,1.146,1.1234,0.2965,-0.8607,0.7389,0.5445,-0.0969,8678.66,grounded_social,5,False,True,False
revenant,0.909,1.3084,0.3995,-1.7345,-1.9546,0.9014,-1.1465,-1.2647,0.8346,8198.28,mythic_spiritual,4,False,False,False
echo,0.9096,1.1462,0.2366,-1.818,-1.7989,1.35,-0.931,-1.8561,1.1571,8133.55,mythic_spiritual,3,False,False,False
interpreter,0.9315,1.3416,0.4101,1.8566,0.8508,0.0815,1.3389,0.4557,0.7476,9218.08,procedural_professional,2,False,True,False
naturalist,0.9344,1.156,0.2215,0.7401,0.245,0.6117,0.3426,0.3958,-0.2204,8916.41,procedural_professional,1,False,False,True
emissary,0.9358,1.2606,0.3248,1.1605,0.9103,0.5324,0.379,0.5363,0.1786,9242.69,procedural_professional,5,False,True,False
advocate,0.9475,1.1369,0.1894,1.9022,0.4334,0.0564,1.3565,0.2666,-0.7,8913.35,procedural_professional,0,False,True,False
teacher,0.9501,1.2653,0.3152,1.1753,1.1856,-0.2221,0.8549,0.9624,0.644,9190.58,procedural_professional,6,False,False,False
coach,0.9728,0.7962,-0.1766,1.1606,1.0271,-0.2644,0.1905,0.9582,-0.2843,9323.79,procedural_professional,2,False,False,False
coordinator,0.9803,0.4888,-0.4915,0.1325,1.7896,0.0322,-0.5784,1.4765,-0.5658,9422.58,procedural_professional,5,True,False,False
skeptic,0.9828,1.2953,0.3126,0.2797,1.3724,-0.1283,0.7665,0.6039,0.2436,9411.2,procedural_professional,5,False,False,False
trickster,0.9844,1.5384,0.5539,2.4008,-2.4825,-0.8243,1.6989,-2.2727,-1.4818,8020.33,trickster_chaos,2,True,False,True
void,0.9891,0.8666,-0.1226,-2.2494,-1.8482,1.0328,-3.2237,-1.9498,1.1702,8193.0,mythic_spiritual,3,True,False,True
vigilante,1.0166,1.3525,0.3359,0.8942,-0.9072,-0.9593,1.1236,-0.021,-0.5172,8527.03,grounded_social,2,False,False,False
symbiont,1.0237,0.7278,-0.2959,1.5622,0.0502,0.5463,2.084,0.6109,-0.1329,9057.98,procedural_professional,3,False,False,False
survivor,1.0313,1.1802,0.1489,1.7332,-1.1787,-0.4202,0.8647,-0.6349,-0.5367,8306.75,grounded_social,4,True,False,True
instructor,1.0417,1.2606,0.219,0.6604,1.5109,-0.1144,1.3851,0.7669,-0.0346,9325.46,procedural_professional,6,False,False,False
tutor,1.0477,1.6935,0.6458,1.1461,1.2303,-0.269,1.4723,1.9905,0.3739,9251.76,procedural_professional,6,False,False,False
producer,1.0535,0.5562,-0.4973,1.1255,1.1451,-0.1797,0.1663,1.5196,-0.402,9349.03,procedural_professional,5,False,False,True
realist,1.0577,2.1886,1.1309,1.5213,0.8738,-0.5056,1.8989,0.0765,-1.089,9193.86,procedural_professional,2,False,False,True
familiar,1.0662,2.0645,0.9984,-1.0942,-1.4987,1.3402,-0.7332,-0.762,0.6592,8441.91,mythic_spiritual,3,True,False,False
cartographer,1.0674,1.1677,0.1003,0.5233,0.8737,0.4784,-0.3201,1.0153,-0.1604,9230.24,procedural_professional,1,True,False,True
devils_advocate,1.0831,1.2806,0.1974,2.4181,-0.2973,-0.6007,3.0214,-1.1898,-0.7129,9016.09,combative_iconoclast,2,True,False,False
angel,1.0904,2.0211,0.9307,-2.9196,-1.0644,1.5053,-2.3762,-1.5287,0.6818,8564.76,mythic_spiritual,3,True,False,False
presenter,1.0946,1.8673,0.7728,2.1607,0.6165,-0.2936,1.1956,0.109,-0.1984,8897.55,grounded_social,6,False,False,True
specialist,1.1033,1.0725,-0.0308,0.0195,1.6959,0.1034,-1.0294,1.515,0.3938,9286.06,procedural_professional,1,False,False,False
trainer,1.1307,1.2488,0.1181,0.6565,1.447,-0.2113,-0.3702,1.5555,0.2499,9352.8,procedural_professional,6,False,False,False
ancient,1.1355,1.4733,0.3378,-0.0277,-1.6316,1.2942,-1.1405,-1.637,1.0683,8321.22,mythic_spiritual,4,False,True,False
aberration,1.1666,1.2818,0.1152,-1.0438,-2.1744,0.3073,0.0872,-1.8943,0.3665,8122.29,mythic_spiritual,3,True,False,False
nutritionist,1.1779,1.2273,0.0494,-1.2002,1.854,-0.0448,-0.3116,1.1951,0.3597,9481.82,procedural_professional,1,False,False,False
critic,1.1995,1.0565,-0.1431,1.2418,0.8963,0.3893,0.9422,1.072,-0.7588,9160.44,procedural_professional,5,False,False,False
entrepreneur,1.2006,1.2098,0.0092,1.3777,0.6001,-0.6959,0.3173,0.4913,-0.1436,9078.76,procedural_professional,5,True,False,False
shaman,1.2062,1.7619,0.5557,-3.721,-1.0649,1.4074,-3.2917,-1.7457,2.3058,8169.09,mythic_spiritual,1,False,False,False
publisher,1.2105,1.8842,0.6737,0.67,1.4466,0.1433,1.5917,0.8392,-0.3536,9376.78,procedural_professional,5,False,False,False
expatriate,1.2329,1.2936,0.0607,1.9643,0.3445,-0.3593,2.7212,-0.6284,-0.3817,8884.76,grounded_social,4,True,False,True
patient,1.2421,1.5103,0.2681,0.4702,0.1711,-0.7286,-0.6893,-0.2682,-0.655,8741.98,grounded_social,4,False,False,False
evangelist,1.2423,0.7407,-0.5016,1.9972,-1.2977,-0.1118,1.464,-0.251,-0.5162,8226.31,procedural_professional,2,False,False,False
hermit,1.2478,2.4823,1.2346,-0.9566,-1.8557,1.1599,0.1449,-1.575,0.6454,8130.05,mythic_spiritual,4,False,False,True
widow,1.2617,1.821,0.5593,-0.0645,-1.1015,-0.1046,-1.0228,-0.7394,-0.8411,8362.09,grounded_social,4,True,False,False
mycorrhizal,1.2715,1.2199,-0.0516,-1.7459,-1.0357,1.109,-0.9664,-2.0399,1.1391,8414.38,mythic_spiritual,3,False,False,False
martyr,1.2898,1.3103,0.0205,-0.6567,-1.0503,0.9687,0.191,-1.7774,0.3236,8152.27,mythic_spiritual,2,False,False,True
moderator,1.2999,1.1272,-0.1726,0.7045,1.4701,-0.0203,0.2986,0.3497,-0.5395,9602.59,other,2,False,True,False
ascetic,1.3055,2.1198,0.8142,-3.1667,-1.068,1.5151,-2.0328,-0.7952,0.9283,8312.99,mythic_spiritual,0,False,False,False
chemist,1.3238,1.1004,-0.2234,-0.2582,1.2618,0.1884,1.0521,1.0769,0.1505,9330.27,procedural_professional,1,True,False,True
counselor,1.3246,0.6708,-0.6538,-0.0178,0.752,-0.0703,-1.1557,0.6245,-0.7363,9264.18,procedural_professional,2,False,False,True
composer,1.3287,1.1461,-0.1827,0.2208,-0.0425,0.694,0.8481,-1.2135,0.667,8931.19,mythic_spiritual,1,False,False,False
designer,1.332,1.5458,0.2138,1.0314,0.9008,0.0646,-0.212,1.1912,0.4437,9326.71,procedural_professional,1,True,False,False
jester,1.334,2.1141,0.7801,-0.0037,-2.4481,-0.95,-1.3062,-2.6691,-1.1346,7839.33,trickster_chaos,3,True,True,False
demon,1.3462,1.5873,0.2411,-1.2247,-2.2928,0.2921,-0.4009,-1.2283,0.2689,8096.33,mythic_spiritual,3,True,False,True
homunculus,1.3504,1.9036,0.5532,-0.444,-1.4317,1.0539,-1.6454,-1.0882,1.5659,8429.4,mythic_spiritual,3,True,False,False
blogger,1.3573,2.5097,1.1523,2.8907,-0.5177,-0.5195,1.7426,-0.8604,-1.1573,8609.0,grounded_social,6,False,False,True
futurist,1.3602,2.2628,0.9026,0.2782,1.1313,0.0491,-0.8863,0.689,-0.497,9247.43,procedural_professional,1,False,True,False
swarm,1.3655,2.7088,1.3433,0.3271,-0.2203,1.0797,-0.9215,-0.7728,1.0815,8895.71,procedural_professional,3,False,False,False
contrarian,1.3656,1.2819,-0.0836,2.3117,-0.8322,-0.9162,1.1663,-1.4988,-0.587,8693.88,combative_iconoclast,2,True,False,False
guru,1.3675,1.3999,0.0324,-0.0897,-1.4652,1.1792,0.0634,-2.2168,0.047,8379.29,mythic_spiritual,2,False,False,True
statistician,1.3709,1.0257,-0.3453,-1.2205,2.0104,-0.068,-0.1139,2.0394,0.7408,9603.62,procedural_professional,5,False,False,False
ambassador,1.379,1.1163,-0.2627,0.413,1.438,0.4005,-0.9517,1.3057,0.252,9161.59,procedural_professional,0,False,False,False
sociologist,1.3811,1.0985,-0.2826,-0.8041,1.7428,0.2041,0.0051,0.7,-0.2025,9356.14,procedural_professional,0,False,False,False
elder,1.3865,1.6236,0.2372,0.9412,-1.5878,0.6078,-0.3543,-1.483,0.1253,8424.31,mythic_spiritual,4,False,False,True
planner,1.3883,1.4473,0.059,-0.3979,1.9922,-0.0426,0.8472,1.4296,0.2036,9520.42,procedural_professional,1,True,True,False
mystic,1.4017,2.3657,0.964,-2.8809,-1.3344,1.4812,-1.8088,-0.603,0.9517,8255.15,mythic_spiritual,1,False,True,False
eldritch,1.4096,1.7178,0.3082,-3.0184,-1.9133,1.2926,-1.8078,-1.2237,1.0778,8022.61,mythic_spiritual,3,True,False,True
observer,1.4115,1.4234,0.0118,0.0739,1.6574,0.3926,1.0869,0.7092,0.1332,9476.88,procedural_professional,6,False,False,False
orphan,1.4257,0.7782,-0.6475,0.9435,-1.1399,-1.1027,2.2747,-0.8809,-1.5424,8430.36,grounded_social,4,True,False,True
virtuoso,1.4315,1.5427,0.1112,2.1199,-0.7976,0.6783,0.7336,-1.1263,0.5393,8412.89,mythic_spiritual,3,True,False,False
healer,1.4411,1.3719,-0.0692,-0.0373,0.0861,0.7747,-1.2264,0.8586,1.0316,8923.95,procedural_professional,1,False,False,False
economist,1.4415,1.6658,0.2244,-1.36,1.9624,-0.0421,-0.2504,1.0423,-0.0537,9416.45,procedural_professional,5,False,False,False
criminal,1.4467,1.1207,-0.326,-0.6799,-1.6475,-1.5576,0.1601,-0.5169,-1.2275,8051.33,grounded_social,4,True,False,False
zealot,1.4559,1.6249,0.1689,-1.8727,-1.0994,0.4096,-0.9566,-0.3411,-0.4303,7842.4,other,3,False,False,False
competitor,1.459,1.3705,-0.0885,1.3424,-0.5824,-1.2899,0.6373,-1.6028,-0.5216,8435.34,combative_iconoclast,2,False,False,False
hacker,1.4611,2.0655,0.6044,1.0059,-0.4986,-0.8996,-0.3918,-0.3046,-0.5205,8510.5,grounded_social,1,False,False,False
therapist,1.4626,1.6376,0.1749,-0.3675,0.8528,-0.1219,0.9959,1.048,-0.6142,9313.48,procedural_professional,2,False,False,False
gamer,1.4701,1.5965,0.1265,-0.8552,-0.2932,-1.2664,-2.2167,-0.7638,-0.9735,8462.1,other,4,False,False,False
polymath,1.5027,1.8062,0.3034,0.7617,1.0654,0.2993,-0.638,1.5043,-0.027,9086.92,procedural_professional,1,False,False,True
facilitator,1.5106,1.4043,-0.1062,0.3349,1.5564,-0.0565,1.6844,0.8787,-0.0941,9481.3,procedural_professional,2,False,False,False
collaborator,1.5152,1.9315,0.4163,1.1124,1.1304,-0.1311,0.9433,-0.3033,0.3291,9446.31,procedural_professional,2,False,False,False
daredevil,1.5278,2.1506,0.6228,0.0179,-1.7463,-1.8901,-0.6608,-1.4947,-0.5447,8173.23,grounded_social,4,True,False,False
conservator,1.534,1.9364,0.4024,-0.1868,1.1504,0.5991,-1.379,1.2272,-0.3633,9207.56,procedural_professional,0,False,False,False
podcaster,1.546,1.4205,-0.1254,2.7803,-0.5009,-0.6177,1.2678,-0.3801,-0.9136,8902.42,other,6,False,False,True
refugee,1.5484,1.2949,-0.2536,0.6449,-0.4545,-0.2124,1.6365,-0.2006,-1.3743,8512.47,grounded_social,4,True,False,True
librarian,1.5548,1.4982,-0.0567,0.3669,1.5044,0.2703,-0.3619,2.1952,1.4573,9302.72,procedural_professional,1,True,False,True
technologist,1.5549,2.9912,1.4364,1.0782,1.0069,-0.1536,1.3161,-0.5204,0.0146,9242.13,procedural_professional,1,False,True,False
guide,1.5554,2.7846,1.2292,2.515,0.3052,0.1429,0.968,0.2314,-0.0007,9121.76,procedural_professional,2,False,False,True
alien,1.5705,1.7918,0.2213,0.4702,-1.1872,0.7038,-1.0906,-1.0186,0.7481,8618.54,mythic_spiritual,3,True,True,False
tree,1.5815,1.8113,0.2298,-3.1432,-1.4859,1.2372,-1.8372,-1.4594,0.3456,8073.65,mythic_spiritual,3,True,False,False
golem,1.594,1.859,0.265,-2.7238,-1.3474,1.3041,-1.1383,-1.4164,1.4525,8293.33,mythic_spiritual,3,True,False,True
witch,1.5943,2.1703,0.576,-2.6175,-1.6181,1.3054,-4.1913,-1.7711,1.5097,8181.92,mythic_spiritual,3,True,False,False
retiree,1.5991,1.6779,0.0789,2.038,-0.5101,-0.6584,0.5121,-0.1041,-0.4057,8602.45,grounded_social,4,True,False,False
rebel,1.6022,2.0719,0.4697,1.7085,-1.667,-1.2837,1.0406,-0.336,-0.6926,8235.39,combative_iconoclast,0,True,False,False
detective,1.6174,1.6923,0.0749,1.7821,0.694,0.0158,0.3069,1.3403,0.1648,9223.47,procedural_professional,1,False,True,False
destroyer,1.6249,1.4306,-0.1943,1.9951,-0.5612,-0.1922,1.3955,0.9416,-0.0429,8932.52,procedural_professional,0,False,False,False
warrior,1.6349,1.9153,0.2804,-0.3091,-1.2947,0.3913,1.3228,-1.2715,0.4868,8323.48,mythic_spiritual,2,False,False,False
sage,1.635,1.4703,-0.1647,-0.1869,-1.1869,1.4075,0.7243,-2.1376,0.4382,8469.15,mythic_spiritual,6,False,True,False
smuggler,1.636,2.0502,0.4142,-0.0113,-1.2768,-1.4201,1.0,-0.3722,-0.5059,8196.08,grounded_social,1,False,True,False
hedonist,1.6396,1.7102,0.0705,1.695,-1.5126,-0.5227,0.2648,-2.287,-0.7315,8274.95,trickster_chaos,4,False,False,False
influencer,1.6513,1.3997,-0.2516,1.1373,-0.2245,-1.4744,2.7734,-0.4432,-1.5193,8714.9,grounded_social,6,False,False,False
provincial,1.6861,2.2136,0.5275,0.2774,-0.9163,-0.5511,-1.2404,-0.5437,-1.1839,8082.18,grounded_social,0,False,False,False
immigrant,1.7043,2.1068,0.4025,1.0413,-0.254,-0.1537,0.7718,0.8175,-1.4513,8610.19,grounded_social,4,True,False,True
virus,1.72,1.5604,-0.1596,-0.1688,-0.471,0.2636,0.7769,-1.901,0.4014,9098.02,mythic_spiritual,0,False,False,False
visionary,1.7205,2.5228,0.8023,2.0,-0.4573,0.198,0.3333,-0.2412,-0.1701,8670.01,procedural_professional,2,False,False,False
validator,1.7337,0.554,-1.1797,-0.9456,2.2445,0.0319,0.7347,2.4785,0.389,9595.19,procedural_professional,5,False,False,False
writer,1.7367,1.8872,0.1505,3.0591,-0.2645,0.2889,2.1283,1.1977,0.3984,8820.35,procedural_professional,6,False,False,True
reviewer,1.7402,0.8054,-0.9348,-0.1189,1.9553,0.1715,-1.8074,1.9019,-0.246,9592.06,procedural_professional,5,False,False,True
chef,1.7457,1.4802,-0.2655,1.2796,-0.0912,-0.2555,-0.3605,-0.4701,-0.7181,8901.1,grounded_social,1,False,False,True
chimera,1.7593,1.8893,0.13,1.4887,-1.9753,0.6832,-0.0873,-1.243,0.9571,8360.87,mythic_spiritual,3,True,False,True
anthropologist,1.7623,1.5385,-0.2238,-0.8317,1.4075,0.415,0.8743,0.9715,0.4848,9328.06,procedural_professional,0,False,True,False
parent,1.7706,1.7658,-0.0048,0.8682,0.2698,-0.736,-0.4584,-0.8027,-1.2103,8780.13,grounded_social,4,True,False,False
anarchist,1.79,1.42,-0.37,-0.7643,0.373,-0.2189,0.8308,0.9903,0.3091,8740.18,procedural_professional,0,False,False,True
purist,1.7919,1.6171,-0.1748,-0.183,0.3049,0.9388,-1.5564,-0.8459,0.9301,8615.92,mythic_spiritual,0,False,False,True
dispatcher,1.7995,0.7929,-1.0067,0.0778,1.7375,0.0094,-1.7155,1.8857,0.0208,9339.76,procedural_professional,5,True,False,False
wanderer,1.7997,1.6269,-0.1728,1.2492,-2.0443,0.5292,-0.4306,-1.4165,0.6802,8288.85,mythic_spiritual,4,False,False,False
altruist,1.8004,1.8686,0.0682,0.7731,0.6011,0.4118,-1.0203,0.7427,0.34,9011.75,procedural_professional,2,False,False,False
wind,1.8131,2.6054,0.7923,-1.1194,-1.7806,1.0596,-1.3413,-0.0557,1.5719,8086.51,mythic_spiritual,4,False,False,False
cynic,1.8333,2.5114,0.678,0.5337,-1.4372,-2.0448,-0.291,-1.2234,-0.4215,8155.0,combative_iconoclast,0,False,False,False
dilettante,1.8352,1.8112,-0.024,3.0466,-1.0198,-0.6068,1.4765,-1.852,-0.1481,8393.81,trickster_chaos,2,False,True,False
auctioneer,1.8363,1.9081,0.0718,1.486,-0.7968,-0.5463,-0.0797,-0.5532,-1.4743,8238.14,grounded_social,6,False,False,True
musician,1.8464,1.8394,-0.007,1.0706,-0.8732,0.1527,-0.774,-0.9511,0.1318,8560.63,mythic_spiritual,2,False,True,False
spy,1.8481,2.2233,0.3752,0.6757,-0.0871,-0.3231,-0.6213,-1.4013,-0.2427,8854.59,grounded_social,2,False,True,False
strategist,1.8584,1.6637,-0.1946,0.2131,1.6539,0.0574,-1.6234,1.8086,-0.1811,9472.43,procedural_professional,1,False,False,False
archaeologist,1.862,2.4366,0.5746,0.1222,0.6447,0.5817,-1.7127,0.4211,0.8052,8990.73,procedural_professional,6,False,True,False
crystalline,1.8621,1.9511,0.089,-3.0502,0.0022,1.2848,-2.4651,0.6763,-0.3494,8549.6,other,3,False,False,True
simulacrum,1.8836,2.2582,0.3747,0.597,-1.2273,0.4827,-0.5973,0.1962,0.7909,8776.95,mythic_spiritual,0,False,False,False
nomad,1.9043,1.4748,-0.4295,2.7165,-1.1745,-0.0517,1.0196,-1.4128,0.7791,8517.69,mythic_spiritual,4,False,False,True
egregore,1.9103,1.453,-0.4573,0.6899,-1.1835,1.1233,1.3249,0.5502,0.6333,8674.98,procedural_professional,3,False,False,True
cosmopolitan,1.9148,1.6501,-0.2648,2.2724,-0.0297,0.1661,1.2364,1.5337,0.5521,8843.45,procedural_professional,0,False,False,True
prey,1.932,2.1622,0.2301,-1.0572,-1.546,0.1294,0.6339,-0.6164,0.0364,8200.23,other,3,False,False,False
scout,1.9547,2.2413,0.2866,2.0037,0.1865,0.1527,0.1292,0.2041,-0.4013,9061.26,procedural_professional,5,False,True,False
minimalist,1.9595,2.5256,0.5661,0.6398,-0.0687,-0.0041,2.2326,-1.0435,-0.598,8819.55,procedural_professional,4,False,False,False
avatar,1.9645,2.5663,0.6018,-1.1787,-1.3771,1.5325,-2.964,-2.1681,1.3174,8476.65,mythic_spiritual,3,False,False,False
navigator,1.9882,1.8955,-0.0927,1.6414,0.4107,0.2333,-0.2259,0.9335,-0.2061,9250.29,procedural_professional,5,True,True,True
