persona,test_fold,gemma_cluster,predicted_pc1,predicted_pc2,predicted_pc3,predicted_gemma_norm,actual_pc1,actual_pc2,actual_pc3,actual_gemma_norm,residual_pca3d,residual_gemma
consultant,3,procedural_professional,0.438026,1.102795,-0.222097,0.605793,0.126799,1.856794,-0.021517,0.77373,0.840005,0.167937
auditor,3,procedural_professional,-1.919519,2.004129,-0.246344,0.545584,-2.113662,2.538429,0.112686,0.771759,0.672362,0.226174
organizer,0,procedural_professional,0.338495,2.277708,0.285419,0.956037,0.512567,1.644836,0.01647,0.764131,0.709339,0.191906
secretary,0,procedural_professional,-2.103155,1.962349,-0.308543,0.707199,-1.461604,2.285512,0.109528,0.762824,0.831147,0.055625
marketer,4,procedural_professional,-0.112633,1.559785,-0.356529,0.561991,0.175856,1.406994,-0.362052,0.756388,0.326498,0.194396
collaborator,0,procedural_professional,0.943261,-0.303261,0.329119,0.089013,1.112386,1.130389,-0.131097,0.755397,1.515174,0.666384
linguist,4,procedural_professional,1.018697,1.194826,-0.043114,0.768276,-1.535409,1.687085,0.267375,0.745203,2.619576,0.023073
mediator,1,procedural_professional,4.178226,0.907574,0.272004,0.804491,0.784048,1.325085,0.138994,0.742574,3.422345,0.061917
coordinator,2,procedural_professional,-0.578364,1.476484,-0.565777,0.629168,0.132487,1.78963,0.03221,0.735445,0.980284,0.106277
economist,3,procedural_professional,-0.250422,1.04234,-0.053748,0.489503,-1.359971,1.962448,-0.042121,0.730288,1.441469,0.240785
forecaster,1,procedural_professional,-1.944371,1.865053,-0.082911,0.692671,0.078627,1.61822,0.043476,0.728528,2.041916,0.035857
skeptic,0,procedural_professional,0.76647,0.603908,0.243583,0.364478,0.279715,1.372435,-0.128255,0.725876,0.982766,0.361398
summarizer,0,procedural_professional,1.245788,1.853953,0.286858,0.814482,-1.099986,2.181797,0.182278,0.71888,2.37088,0.095602
supervisor,1,procedural_professional,-0.755795,1.450151,-0.255924,0.647288,-0.893245,2.257449,0.000583,0.717423,0.858148,0.070135
programmer,1,procedural_professional,0.559923,1.267337,0.347747,0.682627,0.518839,1.163596,-0.321534,0.713415,0.678519,0.030787
mathematician,0,procedural_professional,1.605806,1.294032,-0.228982,0.697671,-0.621281,1.377016,0.169979,0.709047,2.264062,0.011375
publisher,2,procedural_professional,1.591739,0.839239,-0.353584,0.557272,0.670045,1.44664,0.143324,0.696939,1.210526,0.139667
generalist,4,procedural_professional,0.139879,0.909686,0.393842,0.353982,0.796341,1.342667,0.097442,0.691943,0.840398,0.337961
assistant,3,procedural_professional,-2.015037,1.754523,0.31402,0.790745,0.818307,1.496254,-0.074624,0.690317,2.871513,0.100428
journalist,0,procedural_professional,0.98854,1.061554,0.197123,0.570909,0.975075,1.319028,0.043355,0.686561,0.300198,0.115652
pharmacist,3,procedural_professional,0.834974,0.917073,0.158345,0.570988,-1.475643,2.105714,0.131133,0.685421,2.598569,0.114433
sociologist,0,procedural_professional,0.005057,0.699977,-0.20249,0.43669,-0.804119,1.742756,0.204094,0.679582,1.38111,0.242892
trainer,1,procedural_professional,-0.370164,1.555514,0.249921,0.760532,0.656487,1.447016,-0.211334,0.676778,1.130726,0.083754
judge,2,procedural_professional,-0.795942,1.668941,1.277383,0.756043,-0.629468,1.853314,0.466465,0.673995,0.848112,0.082048
producer,3,procedural_professional,0.166271,1.519622,-0.402,0.775584,1.125522,1.145055,-0.179687,0.673609,1.053511,0.101975
dispatcher,1,procedural_professional,-1.715546,1.885679,0.020846,0.809301,0.077832,1.737547,0.009375,0.665815,1.799522,0.143486
doctor,2,procedural_professional,-0.317489,1.741222,-0.318855,0.636402,-0.34902,1.780534,0.075214,0.658661,0.397279,0.022259
chemist,4,procedural_professional,1.052097,1.076903,0.150492,0.700582,-0.25819,1.261781,0.188355,0.657834,1.323808,0.042748
anthropologist,0,procedural_professional,0.87433,0.971512,0.484776,0.596758,-0.831737,1.407522,0.41505,0.655975,1.76228,0.059218
designer,1,procedural_professional,-0.211987,1.191182,0.443703,0.579094,1.031416,0.900769,0.064564,0.654843,1.331967,0.075749
instructor,2,procedural_professional,1.385063,0.766916,-0.0346,0.46649,0.660355,1.510887,-0.114391,0.653789,1.041663,0.1873
coach,0,procedural_professional,0.190471,0.958227,-0.284273,0.605715,1.160605,1.027123,-0.264392,0.652384,0.972781,0.046669
psychologist,4,procedural_professional,-0.027869,1.505934,-0.254177,0.736107,-0.329627,1.587259,0.096478,0.651724,0.469713,0.084384
negotiator,1,procedural_professional,4.66252,1.046814,0.108907,0.794416,0.93414,1.343247,0.081123,0.651564,3.740249,0.142852
biologist,3,procedural_professional,2.158096,0.921876,0.297179,0.601769,-0.558329,1.427432,0.337195,0.647424,2.763358,0.045655
therapist,3,procedural_professional,0.995901,1.047972,-0.614231,0.722214,-0.36748,0.852785,-0.121928,0.643713,1.462624,0.078502
physicist,2,procedural_professional,-0.715934,0.7319,-0.188596,0.438978,-0.133057,1.102508,0.268217,0.635721,0.828115,0.196743
librarian,0,procedural_professional,-0.361886,2.195242,1.457303,0.98097,0.366903,1.504353,0.27026,0.634671,1.554841,0.346298
geographer,2,procedural_professional,-1.490018,1.172564,0.292522,0.636595,-1.28161,1.698003,0.330063,0.632878,0.566506,0.003717
specialist,2,procedural_professional,-1.029388,1.51503,0.393832,0.673539,0.019491,1.695928,0.103383,0.620665,1.103282,0.052874
scholar,1,procedural_professional,-0.973456,1.763355,0.096675,0.722473,-0.664927,1.748125,0.521602,0.61852,0.525343,0.103953
mentor,1,procedural_professional,2.144903,1.152111,0.45644,0.697546,1.617015,0.992772,-0.17735,0.614877,0.840086,0.082669
pragmatist,1,procedural_professional,-1.893675,0.693438,-0.470917,0.344007,1.146472,1.189765,-0.552653,0.608839,3.08148,0.264832
counselor,0,procedural_professional,-1.155715,0.624451,-0.736287,0.539736,-0.017813,0.752016,-0.070315,0.602267,1.324618,0.062532
archivist,4,procedural_professional,0.144186,1.366487,1.096634,0.693079,0.081075,1.246337,0.597789,0.595678,0.516977,0.097401
peacekeeper,1,procedural_professional,5.673568,1.147187,0.717926,0.965649,0.843443,1.134036,0.277289,0.593768,4.850201,0.371881
tutor,3,procedural_professional,1.472253,1.990534,0.373873,0.850249,1.146108,1.230349,-0.269049,0.591825,1.047665,0.258424
navigator,0,procedural_professional,-0.225868,0.933506,-0.206064,0.524579,1.641365,0.410727,0.233264,0.590592,1.988181,0.066012
architect,1,procedural_professional,0.250479,1.008039,0.170416,0.578681,0.134882,1.276473,0.234854,0.590153,0.299285,0.011471
futurist,2,procedural_professional,-0.88634,0.68898,-0.49703,0.469455,0.278236,1.131321,0.049096,0.588182,1.360204,0.118727
emissary,4,procedural_professional,0.379012,0.536256,0.178622,0.411646,1.160496,0.910289,0.532361,0.584196,0.935815,0.17255
technologist,4,procedural_professional,1.316124,-0.520409,0.014555,0.124617,1.078231,1.006909,-0.153629,0.58373,1.554857,0.459113
theorist,0,procedural_professional,0.142676,1.4837,0.224144,0.690019,-0.599054,1.427965,0.483982,0.583566,0.787899,0.106452
recruiter,0,procedural_professional,-0.088701,1.599934,-0.06334,0.693841,0.286929,1.553938,-0.238935,0.581939,0.417189,0.111902
veterinarian,3,procedural_professional,-0.022542,1.859737,-0.14507,0.642774,-0.064415,1.356703,0.079104,0.578192,0.552314,0.064582
cartographer,0,procedural_professional,-0.320148,1.015319,-0.16035,0.559943,0.523253,0.873655,0.478389,0.57373,1.067418,0.013787
networker,0,procedural_professional,0.99891,1.351199,0.211195,0.718399,1.214306,0.819729,-0.249932,0.572504,0.735863,0.145895
cyborg,1,procedural_professional,-0.762165,1.056979,-0.015077,0.512314,1.493859,0.453802,0.260284,0.571147,2.351444,0.058834
detective,2,procedural_professional,0.306909,1.340348,0.164752,0.617947,1.782058,0.694036,0.015758,0.568042,1.6174,0.049905
interpreter,3,procedural_professional,1.338945,0.455658,0.747584,0.454907,1.856643,0.85078,0.081546,0.56351,0.931525,0.108603
student,2,grounded_social,-1.071159,-0.23359,-0.01385,0.075297,1.017003,0.905325,-0.669454,0.560485,2.467258,0.485189
synthesizer,0,procedural_professional,0.877568,1.175075,0.053257,0.588374,1.675418,0.860422,0.282742,0.55477,0.887826,0.033604
conservator,3,procedural_professional,-1.378957,1.227184,-0.363305,0.5379,-0.186839,1.150369,0.599102,0.554659,1.534038,0.016759
pilot,4,procedural_professional,0.127713,1.060518,-0.05029,0.502475,-0.300739,1.326867,-0.119858,0.546063,0.509267,0.043588
realist,4,procedural_professional,1.898947,0.076495,-1.089023,0.335382,1.521312,0.873819,-0.505589,0.543146,1.0577,0.207764
teacher,2,procedural_professional,0.854872,0.962409,0.64404,0.598631,1.175255,1.185581,-0.222103,0.54039,0.950081,0.05824
ambassador,1,procedural_professional,-0.95167,1.305704,0.25202,0.563037,0.412963,1.438042,0.40048,0.516011,1.37905,0.047027
critic,4,procedural_professional,0.942156,1.071969,-0.758814,0.704927,1.241763,0.896272,0.389311,0.515048,1.199509,0.189879
guardian,1,procedural_professional,-0.979281,0.472887,-0.08487,0.382547,1.752073,0.23367,0.507144,0.514184,2.804995,0.131637
reporter,4,procedural_professional,1.551379,1.305787,0.079195,0.700646,1.260355,1.125081,-0.044355,0.508892,0.364163,0.191754
paramedic,2,procedural_professional,0.400952,1.227026,-0.255388,0.520389,0.131332,1.349097,-0.171324,0.507667,0.307673,0.012722
vegan,0,procedural_professional,0.383521,0.851478,0.181469,0.396125,-0.143625,0.769265,-0.172427,0.487571,0.640222,0.091446
guide,3,procedural_professional,0.967991,0.231371,-0.000722,0.341798,2.514993,0.305198,0.142889,0.482526,1.555407,0.140728
curator,4,procedural_professional,1.272972,1.253113,0.209047,0.764266,1.748419,0.604047,0.38566,0.48094,0.823728,0.283326
historian,3,procedural_professional,1.73846,0.906364,0.760298,0.526362,-0.56615,1.318275,0.429054,0.464435,2.36445,0.061927
virus,2,mythic_spiritual,0.776937,-1.900998,0.40142,-0.373071,-0.16883,-0.471012,0.26362,0.462564,1.719979,0.835635
polymath,1,procedural_professional,-0.637965,1.504319,-0.027033,0.609206,0.761708,1.065413,0.299288,0.453229,1.502733,0.155977
entrepreneur,2,procedural_professional,0.317256,0.491286,-0.143565,0.358952,1.377664,0.600067,-0.69592,0.446374,1.200581,0.087422
scout,3,procedural_professional,0.129202,0.204106,-0.40134,0.180787,2.003656,0.186506,0.15271,0.431662,1.954702,0.250875
symbiont,1,procedural_professional,2.08401,0.610867,-0.132884,0.43667,1.562187,0.050218,0.546294,0.428903,1.023674,0.007767
collector,3,procedural_professional,-0.51065,1.609108,0.121623,0.722556,1.724223,0.200273,0.497332,0.40403,2.668451,0.318525
devils_advocate,2,combative_iconoclast,3.021449,-1.189784,-0.712898,0.050487,2.418077,-0.297311,-0.600713,0.393685,1.083122,0.343198
altruist,4,procedural_professional,-1.020291,0.742669,0.340013,0.399778,0.773052,0.601081,0.411793,0.390029,1.800355,0.009749
caregiver,2,procedural_professional,-2.82319,0.544507,-0.203208,0.32025,-0.175987,0.371397,-0.015799,0.385238,2.659469,0.064989
pacifist,2,procedural_professional,0.008619,0.743254,0.305062,0.36432,-0.604843,0.884751,0.643729,0.381799,0.71488,0.017478
archaeologist,1,procedural_professional,-1.712712,0.421095,0.805237,0.349492,0.122221,0.644706,0.581746,0.372359,1.861969,0.022867
activist,4,procedural_professional,1.457968,-0.406381,-0.880331,0.053268,-0.109594,0.718307,-0.218236,0.350886,2.039742,0.297617
hive,2,procedural_professional,0.18213,-0.141107,0.893734,0.215863,-0.336159,0.233311,1.064835,0.340629,0.661882,0.124766
tulpa,2,procedural_professional,0.219456,0.140735,0.33607,0.237126,3.028886,-0.914306,0.266951,0.336198,3.001797,0.099072
merchant,4,procedural_professional,-0.141125,1.026116,-0.282997,0.535054,1.435941,-0.279069,0.431123,0.334353,2.168089,0.200701
saboteur,3,grounded_social,1.097283,-0.485742,-0.93587,0.034346,1.478657,-0.150166,-0.372173,0.334316,0.758822,0.299969
destroyer,1,procedural_professional,1.395508,0.941566,-0.042886,0.623154,1.995146,-0.561235,-0.192209,0.323417,1.624892,0.299737
composer,0,mythic_spiritual,0.848091,-1.213482,0.666989,-0.033748,0.220755,-0.042499,0.693952,0.322305,1.328713,0.356052
builder,1,procedural_professional,1.280182,0.577541,-0.021926,0.456054,1.869224,0.386313,0.085744,0.318033,0.628595,0.138021
healer,4,procedural_professional,-1.226422,0.85863,1.031584,0.461379,-0.037306,0.086073,0.774656,0.31621,1.441129,0.145169
naturalist,4,procedural_professional,0.342622,0.395759,-0.220403,0.309503,0.740148,0.245004,0.611712,0.309876,0.934436,0.000373
advocate,0,procedural_professional,1.356456,0.266564,-0.699998,0.237471,1.902172,0.433365,0.056428,0.307298,0.947528,0.069827
podcaster,4,other,1.267792,-0.380073,-0.913645,0.064637,2.780347,-0.500926,-0.617713,0.298109,1.545964,0.233472
chef,1,grounded_social,-0.360494,-0.470094,-0.718057,-0.048882,1.27961,-0.091196,-0.255506,0.297006,1.745697,0.345888
presenter,0,grounded_social,1.195628,0.108953,-0.198385,0.217738,2.160678,0.616544,-0.293649,0.294019,1.094553,0.076281
swarm,2,procedural_professional,-0.921533,-0.77283,1.08154,-0.023258,0.327145,-0.220327,1.079662,0.292473,1.365452,0.31573
sommelier,0,grounded_social,-0.088822,-0.106429,-0.223614,0.15164,-0.522109,0.064248,0.384363,0.290208,0.765836,0.138568
expatriate,1,grounded_social,2.7212,-0.62841,-0.381681,0.099535,1.964281,0.344491,-0.359262,0.28326,1.232868,0.183726
ecosystem,0,procedural_professional,-1.405785,1.054875,0.25332,0.528353,1.016672,0.441682,0.685007,0.272154,2.535874,0.256199
perfectionist,0,procedural_professional,-4.200277,1.559608,-0.925472,0.407107,1.559188,0.6785,0.226549,0.263705,5.939271,0.143402
spy,2,grounded_social,-0.621265,-1.401258,-0.242682,-0.218134,0.675711,-0.087132,-0.323088,0.257895,1.848118,0.47603
cosmopolitan,0,procedural_professional,1.236357,1.533693,0.552142,0.732212,2.27236,-0.029741,0.166137,0.248532,1.914844,0.483681
graduate,4,grounded_social,-0.49626,-0.082524,-0.390517,0.083977,1.755804,0.099283,-1.10836,0.244748,2.370685,0.160771
prodigy,4,procedural_professional,-0.537507,0.317914,-0.012988,0.330386,2.829642,-0.275888,0.165501,0.243954,3.423763,0.086433
writer,3,procedural_professional,2.128306,1.197671,0.398362,0.893215,3.059056,-0.264459,0.288875,0.229111,1.736694,0.664104
minimalist,4,procedural_professional,2.232565,-1.043524,-0.597969,-0.081798,0.639828,-0.068707,-0.004129,0.228441,1.959522,0.310239
hybrid,3,procedural_professional,-0.388313,0.914042,-0.071166,0.416144,2.07673,0.00645,0.330253,0.226306,2.65731,0.189837
philosopher,2,mythic_spiritual,-3.376407,-2.36477,-0.340959,-0.410945,-0.38056,0.244321,0.916832,0.206876,4.167073,0.617821
playwright,1,grounded_social,1.681005,-0.871786,-0.084962,0.092988,2.307632,-0.909063,-0.054477,0.200136,0.628475,0.107147
parent,0,grounded_social,-0.458413,-0.802703,-1.210306,-0.073962,0.868164,0.269838,-0.736002,0.195296,1.770626,0.269258
simulacrum,4,mythic_spiritual,-0.597264,0.19622,0.790899,0.157039,0.597049,-1.227306,0.482747,0.19262,1.883553,0.035581
patient,2,grounded_social,-0.68934,-0.268196,-0.65502,-0.061414,0.470163,0.171119,-0.728572,0.163215,1.242117,0.224629
anarchist,4,procedural_professional,0.830815,0.99031,0.309097,0.57832,-0.764252,0.372972,-0.218943,0.161709,1.79002,0.416611
witness,2,procedural_professional,-0.105972,1.504796,-0.041255,0.668936,2.088361,0.285544,0.434588,0.160079,2.555014,0.508857
amateur,4,grounded_social,-1.791928,-0.284186,-0.832662,0.061945,0.990786,-0.260196,-1.224838,0.158999,2.810315,0.097054
optimist,3,procedural_professional,1.386537,0.268363,0.018396,0.304291,0.711205,-0.030902,-0.419171,0.157021,0.858545,0.14727
influencer,3,grounded_social,2.773437,-0.443189,-1.519259,0.167801,1.13733,-0.22455,-1.47437,0.140448,1.651262,0.027353
contrarian,1,combative_iconoclast,1.166272,-1.498786,-0.586977,-0.141715,2.31171,-0.832168,-0.916236,0.122782,1.365585,0.264497
newlywed,4,grounded_social,0.19313,-0.652597,-0.423316,-0.013381,0.335447,-0.200331,-0.976874,0.120916,0.728852,0.134297
empath,3,procedural_professional,-1.25593,0.724689,-0.7686,0.3538,0.393634,-0.587544,0.311266,0.110148,2.368359,0.243652
mechanic,0,grounded_social,0.738869,0.544504,-0.096866,0.296752,1.123383,0.29652,-0.860663,0.109978,0.890355,0.186774
egregore,4,procedural_professional,1.324895,0.550163,0.633305,0.542152,0.689881,-1.183547,1.123344,0.106889,1.910271,0.435263
visionary,4,procedural_professional,0.333304,-0.241152,-0.170076,0.19098,1.999995,-0.457261,0.198011,0.102711,1.72048,0.088269
zeitgeist,1,mythic_spiritual,0.441029,-2.004357,1.610995,-0.225897,2.219156,-0.911724,0.258683,0.095816,2.486832,0.321713
fixer,1,grounded_social,-0.263561,0.1511,-0.532304,0.300857,2.11489,-0.944562,-0.713013,0.072645,2.624912,0.228212
parasite,0,mythic_spiritual,0.248633,-1.098732,0.591633,-0.035337,0.368245,-0.980754,0.309159,0.065809,0.328661,0.101147
alien,1,mythic_spiritual,-1.090564,-1.018603,0.748053,-0.18746,0.470235,-1.187197,0.703824,0.059435,1.570501,0.246895
purist,1,mythic_spiritual,-1.5564,-0.845923,0.930095,-0.128291,-0.182971,0.304943,0.938838,0.057234,1.791892,0.185525
idealist,0,procedural_professional,-1.111556,0.656151,-0.545435,0.296089,1.215078,-0.567506,0.664591,0.053038,2.893912,0.243051
veteran,0,grounded_social,0.433069,0.384013,-0.650889,0.210074,0.760725,0.404255,-0.672649,0.052722,0.329001,0.157352
immigrant,3,grounded_social,0.771834,0.817545,-1.451312,0.339003,1.041325,-0.254033,-0.153724,0.052418,1.704301,0.286586
soldier,1,grounded_social,0.19483,-0.069409,-0.421046,0.132863,-0.061081,0.145313,-0.42388,0.052239,0.334072,0.080624
chameleon,2,grounded_social,-0.095419,-0.569328,-1.026561,0.102764,3.264792,-0.618072,-0.362845,0.05163,3.425481,0.051135
blogger,3,grounded_social,1.742617,-0.860432,-1.157257,0.062227,2.890714,-0.517662,-0.519486,0.05141,1.357339,0.010817
retiree,1,grounded_social,0.51208,-0.104139,-0.405653,0.140971,2.037972,-0.510066,-0.658425,0.045907,1.599067,0.095064
artisan,0,mythic_spiritual,0.357155,-0.638361,0.751926,0.067839,1.232107,-0.736431,0.725449,0.045854,0.880829,0.021986
divorcee,0,grounded_social,-1.317549,-0.687089,-1.120117,-0.205675,0.878293,-0.388076,-0.86387,0.043977,2.230872,0.249652
shapeshifter,2,grounded_social,-0.023377,-0.759586,0.688605,0.052772,2.325944,-1.567458,0.561842,0.041163,2.487576,0.011609
novelist,2,mythic_spiritual,0.384451,-0.763082,1.003603,0.10071,2.40858,-1.170229,0.367445,0.026073,2.160455,0.074637
revolutionary,2,procedural_professional,-0.133202,-0.454024,-0.792164,-0.018511,0.035923,-0.535151,-0.133761,0.017587,0.684602,0.036099
photographer,3,mythic_spiritual,-1.818335,-1.570549,-0.098617,-0.387295,1.429625,-0.627892,0.086358,0.01758,3.387044,0.404874
angel,1,mythic_spiritual,-2.376236,-1.528674,0.681761,-0.197404,-2.919614,-1.06437,1.505276,0.014218,1.09042,0.211622
traditionalist,2,mythic_spiritual,-1.087294,-1.682973,0.501158,-0.42741,-0.995058,0.471451,1.002646,0.012341,2.213942,0.439751
musician,4,mythic_spiritual,-0.774037,-0.951096,0.131848,-0.076067,1.070592,-0.87323,0.152659,0.010744,1.846389,0.086811
crystalline,4,other,-2.465089,0.676255,-0.34935,0.289318,-3.050236,0.002211,1.284833,0.001473,1.862066,0.287845
celebrity,3,grounded_social,2.311642,-1.233809,-1.06203,-0.180179,1.87832,-0.634424,-1.011633,-0.000746,0.74133,0.179434
bartender,1,grounded_social,0.511451,-0.811963,-1.47619,-0.219357,0.731076,-1.026938,-1.124267,-0.002073,0.467225,0.217284
maverick,2,combative_iconoclast,0.446637,-1.535674,-1.169245,-0.189077,2.450553,-1.245867,-1.122572,-0.010285,2.025301,0.178792
vigilante,0,grounded_social,1.123599,-0.020988,-0.517223,0.219711,0.894229,-0.907209,-0.959307,-0.017499,1.01658,0.23721
loner,0,mythic_spiritual,-0.836032,-0.835838,0.933676,-0.094932,1.8338,-1.006378,-0.518756,-0.02119,3.044116,0.073742
stoic,3,mythic_spiritual,-1.310582,-0.595247,0.848172,0.009688,-3.281014,0.18067,1.247996,-0.021792,2.155112,0.031481
nomad,1,mythic_spiritual,1.019586,-1.412774,0.779057,-0.19002,2.716531,-1.174527,-0.051667,-0.025352,1.904333,0.164667
refugee,3,grounded_social,1.636478,-0.20056,-1.374309,0.066091,0.644913,-0.454518,-0.21243,-0.029747,1.548437,0.095838
hacker,2,grounded_social,-0.391802,-0.304607,-0.520517,0.184314,1.005909,-0.498551,-0.89957,-0.031402,1.461127,0.215717
avatar,1,mythic_spiritual,-2.964023,-2.168063,1.317444,-0.411153,-1.178699,-1.377134,1.532503,-0.059861,1.964485,0.351292
sage,3,mythic_spiritual,0.724266,-2.137564,0.43821,-0.44608,-0.186881,-1.186946,1.407467,-0.06617,1.635029,0.37991
gamer,2,other,-2.216723,-0.763818,-0.973547,-0.307404,-0.855184,-0.293151,-1.266405,-0.072092,1.470062,0.235312
addict,2,grounded_social,-0.026115,-1.196474,-0.522816,-0.264287,-0.046969,-0.851633,-1.310757,-0.078691,0.860349,0.185596
familiar,2,mythic_spiritual,-0.733218,-0.761981,0.659192,-0.022048,-1.094225,-1.498653,1.340157,-0.089067,1.066173,0.067019
workaholic,1,combative_iconoclast,-3.422142,-1.311147,-0.751873,-0.429515,1.295228,-0.156498,-1.023741,-0.092655,4.864228,0.336861
predator,2,mythic_spiritual,0.784248,-1.013958,0.980172,0.003881,0.212827,-1.129273,0.357958,-0.0935,0.852626,0.097382
competitor,3,combative_iconoclast,0.63734,-1.602807,-0.521626,-0.327345,1.342384,-0.582407,-1.289906,-0.094596,1.458958,0.232749
orphan,2,grounded_social,2.274736,-0.880873,-1.542371,-0.047323,0.943482,-1.139917,-1.102686,-0.098782,1.425715,0.051459
homunculus,1,mythic_spiritual,-1.645366,-1.088175,1.565939,-0.116591,-0.443985,-1.431711,1.053919,-0.09959,1.350369,0.017001
elder,0,mythic_spiritual,-0.354299,-1.482986,0.125326,-0.242659,0.941246,-1.587769,0.607848,-0.103864,1.386451,0.138795
mycorrhizal,2,mythic_spiritual,-0.966394,-2.039864,1.139055,-0.505618,-1.745932,-1.03575,1.108963,-0.112219,1.271546,0.393399
virtuoso,3,mythic_spiritual,0.733616,-1.126253,0.539325,-0.084771,2.119932,-0.797642,0.678257,-0.113469,1.431488,0.028698
adolescent,1,other,0.35633,-0.991319,-0.942287,-0.138612,-4.362714,-0.258867,-3.21201,-0.123953,5.287485,0.014659
teenager,2,other,1.345552,-1.295918,-0.850356,-0.292723,-4.349887,-0.161702,-3.212284,-0.128538,6.269224,0.164184
dilettante,0,trickster_chaos,1.476493,-1.85196,-0.148139,-0.318397,3.046582,-1.019811,-0.606808,-0.129507,1.83522,0.18889
guru,3,mythic_spiritual,0.063407,-2.216782,0.047034,-0.52234,-0.08968,-1.465248,1.179248,-0.141715,1.367534,0.380625
widow,0,grounded_social,-1.022845,-0.739399,-0.841062,-0.01799,-0.064546,-1.101545,-0.104631,-0.156177,1.261672,0.138187
chimera,4,mythic_spiritual,-0.087284,-1.243048,0.957143,-0.231992,1.488747,-1.975334,0.683185,-0.157202,1.75931,0.07479
coral_reef,0,mythic_spiritual,0.671394,-1.163628,1.046022,-0.032148,-1.326982,-1.163225,0.925547,-0.17243,2.002004,0.140282
actor,4,grounded_social,1.38201,-1.137493,-1.22688,-0.195082,3.367587,-1.710126,-0.543363,-0.175571,2.176607,0.019512
warrior,2,mythic_spiritual,1.322799,-1.271471,0.486806,-0.022315,-0.309126,-1.2947,0.391309,-0.188641,1.634882,0.166326
ancient,0,mythic_spiritual,-1.140538,-1.636966,1.068339,-0.344795,-0.027731,-1.631566,1.294156,-0.190545,1.135501,0.15425
spirit,4,mythic_spiritual,-1.160599,-1.339312,1.450126,-0.049142,-1.96459,-1.520566,1.515433,-0.192225,0.826753,0.143083
