persona,pseudo_pc1,pseudo_pc2,pseudo_pc3,gemma_axis_proj_raw,gemma_axis_proj_norm,cos_to_editor,cos_to_synthesizer,cos_to_blogger,cos_to_ancient,cos_to_trickster,cos_to_contrarian,cos_to_podcaster,gemma_cluster
pharmacist,-1.475643,2.105714,0.131133,9363.084,0.685421,0.987656,0.989839,0.971512,0.957238,0.955417,0.959727,0.964612,procedural_professional
sociologist,-0.804119,1.742756,0.204094,9356.139,0.679582,0.9852,0.992235,0.972277,0.9624,0.960032,0.967609,0.966321,procedural_professional
trainer,0.656487,1.447016,-0.211334,9352.804,0.676778,0.991124,0.994925,0.981375,0.963562,0.967389,0.97244,0.975975,procedural_professional
judge,-0.629468,1.853314,0.466465,9349.493,0.673995,0.992064,0.99331,0.972883,0.9657,0.960283,0.966888,0.966617,procedural_professional
producer,1.125522,1.145055,-0.179687,9349.034,0.673609,0.988606,0.995117,0.984598,0.966997,0.970787,0.976297,0.976724,procedural_professional
dispatcher,0.077832,1.737547,0.009375,9339.764,0.665815,0.991893,0.995323,0.978161,0.962794,0.963754,0.969816,0.971717,procedural_professional
doctor,-0.34902,1.780534,0.075214,9331.255,0.658661,0.989381,0.993572,0.977674,0.962199,0.960651,0.964839,0.970916,procedural_professional
chemist,-0.25819,1.261781,0.188355,9330.272,0.657834,0.984244,0.990465,0.974657,0.96625,0.965132,0.967742,0.970889,procedural_professional
anthropologist,-0.831737,1.407522,0.41505,9328.061,0.655975,0.981179,0.990303,0.971936,0.966574,0.961415,0.965785,0.966647,procedural_professional
designer,1.031416,0.900769,0.064564,9326.714,0.654843,0.985418,0.994395,0.983269,0.970772,0.971687,0.973921,0.976808,procedural_professional
instructor,0.660355,1.510887,-0.114391,9325.461,0.653789,0.993039,0.996039,0.981012,0.964375,0.967122,0.971204,0.976337,procedural_professional
coach,1.160605,1.027123,-0.264392,9323.789,0.652384,0.986417,0.993879,0.986126,0.967108,0.970058,0.974227,0.979063,procedural_professional
psychologist,-0.329627,1.587259,0.096478,9323.004,0.651724,0.986948,0.992799,0.975084,0.963327,0.962813,0.96789,0.970184,procedural_professional
negotiator,0.93414,1.343247,0.081123,9322.814,0.651564,0.990677,0.997087,0.983619,0.968809,0.968153,0.974365,0.975349,procedural_professional
biologist,-0.558329,1.427432,0.337195,9317.89,0.647424,0.98373,0.991686,0.973175,0.966428,0.962348,0.96602,0.969113,procedural_professional
therapist,-0.36748,0.852785,-0.121928,9313.476,0.643713,0.973233,0.983847,0.981035,0.965275,0.962699,0.963226,0.973615,procedural_professional
physicist,-0.133057,1.102508,0.268217,9303.971,0.635721,0.982478,0.990702,0.974047,0.968556,0.966419,0.969857,0.97102,procedural_professional
librarian,0.366903,1.504353,0.27026,9302.722,0.634671,0.992812,0.996379,0.978487,0.967731,0.96687,0.969082,0.973232,procedural_professional
geographer,-1.28161,1.698003,0.330063,9300.589,0.632878,0.981826,0.990031,0.970731,0.962408,0.958209,0.962336,0.964834,procedural_professional
specialist,0.019491,1.695928,0.103383,9286.063,0.620665,0.99151,0.995706,0.975,0.963829,0.964733,0.972355,0.970313,procedural_professional
scholar,-0.664927,1.748125,0.521602,9283.512,0.61852,0.990116,0.993845,0.970761,0.966362,0.961838,0.967731,0.965979,procedural_professional
mentor,1.617015,0.992772,-0.17735,9279.179,0.614877,0.989052,0.996496,0.987875,0.969879,0.972204,0.977983,0.979954,procedural_professional
pragmatist,1.146472,1.189765,-0.552653,9271.997,0.608839,0.986944,0.993864,0.984301,0.963029,0.969478,0.979858,0.977909,procedural_professional
counselor,-0.017813,0.752016,-0.070315,9264.181,0.602267,0.974351,0.984819,0.98345,0.967697,0.964158,0.964257,0.975331,procedural_professional
archivist,0.081075,1.246337,0.597789,9256.344,0.595678,0.987153,0.993737,0.977746,0.972604,0.965601,0.967405,0.971084,procedural_professional
peacekeeper,0.843443,1.134036,0.277289,9254.072,0.593768,0.987514,0.995605,0.984468,0.9723,0.967396,0.970436,0.976372,procedural_professional
tutor,1.146108,1.230349,-0.269049,9251.761,0.591825,0.991611,0.995392,0.98411,0.965757,0.969871,0.973374,0.979892,procedural_professional
navigator,1.641365,0.410727,0.233264,9250.294,0.590592,0.983701,0.993437,0.987353,0.977705,0.97545,0.974698,0.980686,procedural_professional
architect,0.134882,1.276473,0.234854,9249.772,0.590153,0.984819,0.993419,0.978856,0.968131,0.965772,0.969558,0.971593,procedural_professional
futurist,0.278236,1.131321,0.049096,9247.428,0.588182,0.982152,0.993234,0.976865,0.966953,0.96821,0.975124,0.971375,procedural_professional
emissary,1.160496,0.910289,0.532361,9242.6875,0.584196,0.987608,0.997131,0.98438,0.977219,0.970884,0.97281,0.976334,procedural_professional
technologist,1.078231,1.006909,-0.153629,9242.133,0.58373,0.985494,0.995168,0.982151,0.967881,0.971553,0.977884,0.976562,procedural_professional
theorist,-0.599054,1.427965,0.483982,9241.938,0.583566,0.985051,0.992085,0.970049,0.96777,0.963831,0.969286,0.966648,procedural_professional
recruiter,0.286929,1.553938,-0.238935,9240.003,0.581939,0.98817,0.992955,0.981865,0.961685,0.964669,0.972306,0.972354,procedural_professional
veterinarian,-0.064415,1.356703,0.079104,9235.546,0.578192,0.984906,0.991242,0.980027,0.96551,0.963326,0.96547,0.972973,procedural_professional
cartographer,0.523253,0.873655,0.478389,9230.239,0.57373,0.984179,0.992667,0.980008,0.974517,0.969197,0.969546,0.974206,procedural_professional
networker,1.214306,0.819729,-0.249932,9228.781,0.572504,0.982298,0.992942,0.987613,0.968369,0.971259,0.974395,0.97875,procedural_professional
cyborg,1.493859,0.453802,0.260284,9227.167,0.571147,0.983716,0.994039,0.982503,0.977461,0.975366,0.977966,0.979439,procedural_professional
detective,1.782058,0.694036,0.015758,9223.474,0.568042,0.98888,0.995362,0.985572,0.974192,0.975431,0.979894,0.980506,procedural_professional
interpreter,1.856643,0.85078,0.081546,9218.083,0.56351,0.990742,0.998447,0.986765,0.974394,0.974389,0.978103,0.981417,procedural_professional
student,1.017003,0.905325,-0.669454,9214.486,0.560485,0.983592,0.989113,0.986677,0.962891,0.968706,0.971381,0.982465,grounded_social
synthesizer,1.675418,0.860422,0.282742,9207.688,0.55477,0.990207,0.998979,0.984554,0.975964,0.974328,0.978127,0.979158,procedural_professional
conservator,-0.186839,1.150369,0.599102,9207.556,0.554659,0.98322,0.991267,0.97754,0.972456,0.9642,0.965424,0.970248,procedural_professional
pilot,-0.300739,1.326867,-0.119858,9197.332,0.546063,0.981877,0.987964,0.978914,0.962535,0.962941,0.967887,0.970612,procedural_professional
realist,1.521312,0.873819,-0.505589,9193.862,0.543146,0.984634,0.992787,0.985264,0.967162,0.971513,0.984801,0.979141,procedural_professional
teacher,1.175255,1.185581,-0.222103,9190.585,0.54039,0.990726,0.995579,0.98489,0.966703,0.969818,0.972771,0.980122,procedural_professional
ambassador,0.412963,1.438042,0.40048,9161.588,0.516011,0.990062,0.996578,0.980761,0.970395,0.965557,0.969789,0.972452,procedural_professional
critic,1.241763,0.896272,0.389311,9160.443,0.515048,0.989526,0.995959,0.981394,0.975682,0.973099,0.978513,0.975218,procedural_professional
guardian,1.752073,0.23367,0.507144,9159.415,0.514184,0.981428,0.993203,0.988091,0.983612,0.97378,0.976038,0.981342,procedural_professional
reporter,1.260355,1.125081,-0.044355,9153.121,0.508892,0.98983,0.995888,0.984986,0.969647,0.970482,0.977069,0.977373,procedural_professional
paramedic,0.131332,1.349097,-0.171324,9151.664,0.507667,0.983845,0.990573,0.982143,0.963668,0.963132,0.969102,0.973702,procedural_professional
vegan,-0.143625,0.769265,-0.172427,9127.762,0.487571,0.97291,0.985393,0.979946,0.965383,0.965491,0.967013,0.973664,procedural_professional
guide,2.514993,0.305198,0.142889,9121.761,0.482526,0.986975,0.997244,0.991647,0.980414,0.978616,0.979942,0.985323,procedural_professional
curator,1.748419,0.604047,0.38566,9119.875,0.48094,0.987849,0.997215,0.985909,0.978627,0.975909,0.976545,0.97976,procedural_professional
historian,-0.56615,1.318275,0.429054,9100.244,0.464435,0.983489,0.990173,0.97244,0.967905,0.963795,0.967793,0.967388,procedural_professional
virus,-0.16883,-0.471012,0.26362,9098.019,0.462564,0.960216,0.97454,0.972507,0.977959,0.971807,0.973731,0.972891,mythic_spiritual
polymath,0.761708,1.065413,0.299288,9086.916,0.453229,0.98766,0.996085,0.978278,0.971706,0.971006,0.97501,0.973983,procedural_professional
entrepreneur,1.377664,0.600067,-0.69592,9078.763,0.446374,0.977594,0.989662,0.986433,0.965017,0.973426,0.983168,0.978445,procedural_professional
scout,2.003656,0.186506,0.15271,9061.264,0.431662,0.981691,0.992792,0.988666,0.979739,0.976945,0.979624,0.982216,procedural_professional
symbiont,1.562187,0.050218,0.546294,9057.982,0.428903,0.978005,0.992504,0.985159,0.983369,0.976306,0.974527,0.980331,procedural_professional
collector,1.724223,0.200273,0.497332,9028.399,0.40403,0.983041,0.993477,0.985418,0.982102,0.977712,0.976289,0.97991,procedural_professional
devils_advocate,2.418077,-0.297311,-0.600713,9016.094,0.393685,0.976621,0.986975,0.984773,0.9744,0.983853,0.993566,0.983568,combative_iconoclast
altruist,0.773052,0.601081,0.411793,9011.746,0.390029,0.979133,0.991069,0.984182,0.976926,0.968591,0.970105,0.976695,procedural_professional
caregiver,-0.175987,0.371397,-0.015799,9006.048,0.385238,0.967963,0.980943,0.983986,0.969955,0.964384,0.959899,0.976837,procedural_professional
pacifist,-0.604843,0.884751,0.643729,9001.957,0.381799,0.97491,0.98686,0.977022,0.973681,0.961756,0.962454,0.969464,procedural_professional
archaeologist,0.122221,0.644706,0.581746,8990.729,0.372359,0.977927,0.98902,0.977535,0.975982,0.96799,0.96812,0.972558,procedural_professional
activist,-0.109594,0.718307,-0.218236,8965.189,0.350886,0.968699,0.984922,0.979499,0.96633,0.964027,0.974444,0.971393,procedural_professional
hive,-0.336159,0.233311,1.064835,8952.99,0.340629,0.971139,0.985061,0.972095,0.983129,0.967284,0.967133,0.970064,procedural_professional
tulpa,3.028886,-0.914306,0.266951,8947.72,0.336198,0.974277,0.989622,0.992941,0.990416,0.985776,0.982004,0.990171,procedural_professional
merchant,1.435941,-0.279069,0.431123,8945.525,0.334353,0.974309,0.986094,0.98581,0.983049,0.978231,0.973907,0.979561,procedural_professional
saboteur,1.478657,-0.150166,-0.372173,8945.481,0.334316,0.972155,0.983956,0.981484,0.973387,0.97875,0.987684,0.978151,grounded_social
destroyer,1.995146,-0.561235,-0.192209,8932.518,0.323417,0.968285,0.984655,0.98315,0.980338,0.980802,0.992296,0.980657,procedural_professional
composer,0.220755,-0.042499,0.693952,8931.195,0.322305,0.971364,0.983167,0.977716,0.980646,0.973255,0.967303,0.973182,mythic_spiritual
builder,1.869224,0.386313,0.085744,8926.114,0.318033,0.98298,0.993763,0.988729,0.977356,0.975368,0.978194,0.981784,procedural_professional
healer,-0.037306,0.086073,0.774656,8923.946,0.31621,0.967774,0.984126,0.980204,0.981088,0.96789,0.962647,0.973632,procedural_professional
naturalist,0.740148,0.245004,0.611712,8916.413,0.309876,0.975142,0.989706,0.981779,0.980671,0.971331,0.969561,0.976642,procedural_professional
advocate,1.902172,0.433365,0.056428,8913.346,0.307298,0.982106,0.994626,0.988925,0.977155,0.974679,0.980479,0.981117,procedural_professional
podcaster,2.780347,-0.500926,-0.617713,8902.417,0.298109,0.973033,0.987768,0.994243,0.976479,0.983462,0.985575,0.988625,other
chef,1.27961,-0.091196,-0.255506,8901.105,0.297006,0.972987,0.984222,0.98725,0.972622,0.977637,0.972493,0.980905,grounded_social
presenter,2.160678,0.616544,-0.293649,8897.552,0.294019,0.987451,0.995956,0.990488,0.972084,0.976394,0.979515,0.984179,grounded_social
swarm,0.327145,-0.220327,1.079662,8895.713,0.292473,0.969559,0.984735,0.975492,0.987872,0.972015,0.969574,0.974086,procedural_professional
sommelier,-0.522109,0.064248,0.384363,8893.02,0.290208,0.967377,0.977685,0.976622,0.973113,0.971211,0.962501,0.969559,grounded_social
expatriate,1.964281,0.344491,-0.359262,8884.756,0.28326,0.980386,0.991833,0.991587,0.972335,0.975925,0.978739,0.983308,grounded_social
ecosystem,1.016672,0.441682,0.685007,8871.546,0.272154,0.979701,0.993695,0.983154,0.981378,0.971517,0.970743,0.977275,procedural_professional
perfectionist,1.559188,0.6785,0.226549,8861.497,0.263705,0.988795,0.99418,0.982387,0.976389,0.974773,0.981597,0.977828,procedural_professional
spy,0.675711,-0.087132,-0.323088,8854.587,0.257895,0.967546,0.979048,0.981074,0.97119,0.973983,0.98023,0.974967,grounded_social
cosmopolitan,2.27236,-0.029741,0.166137,8843.45,0.248532,0.980405,0.993566,0.990155,0.980929,0.980926,0.979411,0.983097,procedural_professional
graduate,1.755804,0.099283,-1.10836,8838.95,0.244748,0.972658,0.984463,0.991681,0.964506,0.974921,0.978936,0.986576,grounded_social
prodigy,2.829642,-0.275888,0.165501,8838.005,0.243954,0.982141,0.994652,0.988629,0.984353,0.98487,0.985974,0.98596,procedural_professional
writer,3.059056,-0.264459,0.288875,8820.351,0.229111,0.984132,0.995341,0.993116,0.986919,0.98408,0.983687,0.98745,procedural_professional
minimalist,0.639828,-0.068707,-0.004129,8819.554,0.228441,0.966248,0.981864,0.984554,0.975247,0.970837,0.972146,0.977431,procedural_professional
hybrid,2.07673,0.00645,0.330253,8817.015,0.226306,0.979574,0.994111,0.988445,0.982439,0.979082,0.978062,0.98252,procedural_professional
philosopher,-0.38056,0.244321,0.916832,8793.905,0.206876,0.971876,0.983433,0.970921,0.980459,0.96937,0.97005,0.967793,mythic_spiritual
playwright,2.307632,-0.909063,-0.054477,8785.888,0.200136,0.971054,0.983119,0.988208,0.983239,0.985718,0.98048,0.986309,grounded_social
parent,0.868164,0.269838,-0.736002,8780.132,0.195296,0.970329,0.982854,0.988803,0.965151,0.969774,0.969753,0.982695,grounded_social
simulacrum,0.597049,-1.227306,0.482747,8776.949,0.19262,0.956637,0.973087,0.974317,0.986518,0.980375,0.978925,0.975143,mythic_spiritual
patient,0.470163,0.171119,-0.728572,8741.975,0.163215,0.965235,0.978717,0.988217,0.965425,0.966364,0.968424,0.98139,grounded_social
anarchist,-0.764252,0.372972,-0.218943,8740.184,0.161709,0.961024,0.977962,0.97176,0.966002,0.964505,0.976264,0.96767,procedural_professional
witness,2.088361,0.285544,0.434588,8738.245,0.160079,0.985955,0.994801,0.9889,0.983113,0.976287,0.977948,0.98263,procedural_professional
amateur,0.990786,-0.260196,-1.224838,8736.96,0.158999,0.963179,0.976484,0.989094,0.962083,0.973801,0.970582,0.986171,grounded_social
optimist,0.711205,-0.030902,-0.419171,8734.608,0.157021,0.966816,0.981348,0.986643,0.969283,0.972419,0.968439,0.980425,procedural_professional
influencer,1.13733,-0.22455,-1.47437,8714.896,0.140448,0.961871,0.977233,0.987117,0.959153,0.975975,0.980266,0.98318,grounded_social
contrarian,2.31171,-0.832168,-0.916236,8693.884,0.122782,0.965944,0.980285,0.983667,0.973289,0.985905,0.997028,0.983618,combative_iconoclast
newlywed,0.335447,-0.200331,-0.976874,8691.665,0.120916,0.958997,0.974388,0.987349,0.96271,0.97025,0.966841,0.981497,grounded_social
empath,0.393634,-0.587544,0.311266,8678.857,0.110148,0.958778,0.977285,0.984464,0.981187,0.971035,0.965663,0.97861,procedural_professional
mechanic,1.123383,0.29652,-0.860663,8678.655,0.109978,0.973169,0.983483,0.986921,0.964182,0.972416,0.976818,0.98177,grounded_social
egregore,0.689881,-1.183547,1.123344,8674.981,0.106889,0.958969,0.977673,0.976372,0.994714,0.97847,0.973549,0.975756,procedural_professional
visionary,1.999995,-0.457261,0.198011,8670.012,0.102711,0.970801,0.989096,0.98556,0.983382,0.981277,0.984349,0.980867,procedural_professional
zeitgeist,2.219156,-0.911724,0.258683,8661.811,0.095816,0.966938,0.98605,0.986288,0.98733,0.984214,0.984948,0.982742,mythic_spiritual
fixer,2.11489,-0.944562,-0.713013,8634.251,0.072645,0.963153,0.97744,0.989,0.976052,0.983102,0.988636,0.984109,grounded_social
parasite,0.368245,-0.980754,0.309159,8626.121,0.065809,0.958137,0.973157,0.974546,0.982573,0.977314,0.975145,0.97624,mythic_spiritual
alien,0.470235,-1.187197,0.703824,8618.54,0.059435,0.959197,0.975069,0.973107,0.987897,0.980347,0.971009,0.977538,mythic_spiritual
purist,-0.182971,0.304943,0.938838,8615.922,0.057234,0.974572,0.983488,0.972488,0.981863,0.968393,0.97244,0.968364,mythic_spiritual
idealist,1.215078,-0.567506,0.664591,8610.931,0.053038,0.966425,0.984272,0.984123,0.987735,0.976232,0.974933,0.978393,procedural_professional
veteran,0.760725,0.404255,-0.672649,8610.555,0.052722,0.969947,0.982091,0.988277,0.965704,0.967771,0.976567,0.977887,grounded_social
immigrant,1.041325,-0.254033,-0.153724,8610.193,0.052418,0.965302,0.981494,0.990077,0.975908,0.971804,0.96948,0.98205,grounded_social
soldier,-0.061081,0.145313,-0.42388,8609.981,0.052239,0.962805,0.975114,0.982505,0.967932,0.965158,0.974114,0.973643,grounded_social
chameleon,3.264792,-0.618072,-0.362845,8609.256,0.05163,0.977845,0.990651,0.995498,0.981241,0.987136,0.98498,0.991212,grounded_social
blogger,2.890714,-0.517662,-0.519486,8608.995,0.05141,0.973925,0.98843,0.995613,0.978284,0.983312,0.984523,0.989516,grounded_social
retiree,2.037972,-0.510066,-0.658425,8602.449,0.045907,0.968374,0.98244,0.993757,0.973506,0.979817,0.977048,0.987026,grounded_social
artisan,1.232107,-0.736431,0.725449,8602.386,0.045854,0.966342,0.982155,0.986003,0.989057,0.977362,0.97039,0.979903,mythic_spiritual
divorcee,0.878293,-0.388076,-0.86387,8600.154,0.043977,0.958609,0.975772,0.989929,0.967691,0.971809,0.973356,0.982348,grounded_social
shapeshifter,2.325944,-1.567458,0.561842,8596.807,0.041163,0.962876,0.980435,0.98883,0.994983,0.986475,0.976985,0.987274,grounded_social
novelist,2.40858,-1.170229,0.367445,8578.859,0.026073,0.967858,0.983182,0.98883,0.990616,0.986034,0.982056,0.984864,mythic_spiritual
revolutionary,0.035923,-0.535151,-0.133761,8568.766,0.017587,0.953768,0.973769,0.974867,0.975114,0.971102,0.983075,0.971511,procedural_professional
photographer,1.429625,-0.627892,0.086358,8568.757,0.01758,0.965643,0.981311,0.988317,0.981391,0.977773,0.974395,0.981561,mythic_spiritual
angel,-2.919614,-1.06437,1.505276,8564.759,0.014218,0.939311,0.958359,0.963681,0.986949,0.96139,0.944498,0.962233,mythic_spiritual
traditionalist,-0.995058,0.471451,1.002646,8562.526,0.012341,0.970502,0.980813,0.972389,0.979012,0.963116,0.96291,0.965853,mythic_spiritual
musician,1.070592,-0.87323,0.152659,8560.627,0.010744,0.961347,0.977967,0.985357,0.981817,0.978558,0.970483,0.981185,mythic_spiritual
crystalline,-3.050236,0.002211,1.284833,8549.6,0.001473,0.953014,0.967996,0.956974,0.977719,0.958702,0.951889,0.958271,other
celebrity,1.87832,-0.634424,-1.011633,8546.961,-0.000746,0.962047,0.978637,0.992927,0.970082,0.978689,0.981765,0.985956,grounded_social
bartender,0.731076,-1.026938,-1.124267,8545.382,-0.002073,0.952887,0.967606,0.986697,0.965176,0.980198,0.97208,0.981822,grounded_social
maverick,2.450553,-1.245867,-1.122572,8535.615,-0.010285,0.958496,0.977202,0.985753,0.973386,0.988023,0.997429,0.985537,combative_iconoclast
vigilante,0.894229,-0.907209,-0.959307,8527.035,-0.017499,0.951282,0.968974,0.985454,0.970407,0.974307,0.985082,0.979561,grounded_social
loner,1.8338,-1.006378,-0.518756,8522.645,-0.02119,0.960356,0.975916,0.99018,0.97898,0.97841,0.981249,0.986584,mythic_spiritual
stoic,-3.281014,0.18067,1.247996,8521.928,-0.021792,0.953526,0.964785,0.959436,0.976543,0.954896,0.953003,0.95512,mythic_spiritual
nomad,2.716531,-1.174527,-0.051667,8517.694,-0.025352,0.965581,0.983874,0.994287,0.986818,0.985454,0.980763,0.989166,mythic_spiritual
refugee,0.644913,-0.454518,-0.21243,8512.467,-0.029747,0.958479,0.97642,0.989177,0.975976,0.968774,0.96816,0.981547,grounded_social
hacker,1.005909,-0.498551,-0.89957,8510.498,-0.031402,0.960906,0.975721,0.981212,0.967467,0.977754,0.985605,0.978632,grounded_social
avatar,-1.178699,-1.377134,1.532503,8476.65,-0.059861,0.946498,0.966315,0.969235,0.994464,0.971173,0.957757,0.968462,mythic_spiritual
sage,-0.186881,-1.186946,1.407467,8469.146,-0.06617,0.954247,0.973039,0.975453,0.995254,0.973976,0.963715,0.972099,mythic_spiritual
gamer,-0.855184,-0.293151,-1.266405,8462.102,-0.072092,0.952308,0.966119,0.972597,0.954799,0.970982,0.970564,0.974107,other
addict,-0.046969,-0.851633,-1.310757,8454.253,-0.078691,0.943093,0.963221,0.985174,0.963075,0.967839,0.973361,0.98053,grounded_social
familiar,-1.094225,-1.498653,1.340157,8441.912,-0.089067,0.947106,0.963531,0.970195,0.99285,0.972663,0.956547,0.970443,mythic_spiritual
