model,K,profile_id,opaque_role_id,similarity_to_centroid,within_profile_centroid_rank
gemma,4,G04_D,R218,0.9994988416870961,60
gemma,4,G04_D,R058,0.9994863789783321,61
gemma,4,G04_D,R089,0.9994799498105383,62
gemma,4,G04_D,R083,0.9994759568708993,63
gemma,4,G04_D,R003,0.9994745931762665,64
gemma,4,G04_D,R086,0.9994724618562403,65
gemma,4,G04_D,R270,0.9994651624622755,66
gemma,4,G04_D,R137,0.9994490125104604,67
gemma,4,G04_D,R135,0.999445001971844,68
gemma,4,G04_D,R026,0.9994402758099613,69
gemma,4,G04_D,R074,0.9994331846271639,70
gemma,4,G04_D,R018,0.9994283634279045,71
gemma,4,G04_D,R230,0.9994280924392348,72
gemma,4,G04_D,R188,0.9994251483216356,73
gemma,4,G04_D,R173,0.9994189922415015,74
gemma,4,G04_D,R222,0.999411118940189,75
gemma,4,G04_D,R190,0.9994068766848915,76
gemma,4,G04_D,R198,0.9993941843489846,77
gemma,4,G04_D,R010,0.9993924907404395,78
gemma,4,G04_D,R069,0.9993717913104996,79
gemma,4,G04_D,R040,0.9993697913749262,80
gemma,4,G04_D,R021,0.9993670587089212,81
gemma,4,G04_D,R099,0.9993615224081186,82
gemma,4,G04_D,R113,0.9993569556617947,83
gemma,4,G04_D,R129,0.9993559730336816,84
gemma,4,G04_D,R252,0.9993297127518784,85
gemma,4,G04_D,R066,0.9993233620241753,86
gemma,4,G04_D,R170,0.9993208773384553,87
gemma,4,G04_D,R095,0.9993181701129777,88
gemma,4,G04_D,R020,0.9993146705514886,89
gemma,4,G04_D,R249,0.999303077977624,90
gemma,4,G04_D,R151,0.9993023200865262,91
gemma,4,G04_D,R059,0.9992915594246488,92
gemma,4,G04_D,R035,0.9992796627702104,93
gemma,4,G04_D,R076,0.9992729200186125,94
gemma,4,G04_D,R044,0.9992259536979492,95
gemma,4,G04_D,R217,0.999217130750604,96
gemma,4,G04_D,R117,0.9992083795868905,97
gemma,4,G04_D,R053,0.999201605919183,98
gemma,4,G04_D,R067,0.9991770008380754,99
gemma,4,G04_D,R216,0.9991715315132887,100
gemma,4,G04_D,R239,0.9991616951421486,101
gemma,4,G04_D,R054,0.9991598596358895,102
gemma,4,G04_D,R179,0.9991500360110565,103
gemma,4,G04_D,R132,0.9991447274837126,104
gemma,4,G04_D,R258,0.9991312789250666,105
gemma,4,G04_D,R245,0.9991183304531094,106
gemma,4,G04_D,R157,0.9990963223299886,107
gemma,4,G04_D,R065,0.9990600182353507,108
gemma,4,G04_D,R004,0.9990591341827884,109
gemma,4,G04_D,R110,0.9990541053285321,110
gemma,4,G04_D,R034,0.9990377662704216,111
gemma,4,G04_D,R164,0.9990377203339766,112
gemma,4,G04_D,R048,0.9990329728994466,113
gemma,4,G04_D,R150,0.999029490637704,114
gemma,4,G04_D,R118,0.9990151053016921,115
