model_a,model_b,K_a,K_b,ami,ari,nmi,variation_of_information,normalized_vi,near_best
qwen,gemma,10,7,0.5503978350363368,0.5329133479525713,0.5751424884842418,1.5512528293151795,0.2761823122825196,False
qwen,gemma,10,8,0.5828935508857697,0.5481209666528998,0.6090859181348159,1.448481888187085,0.25788515554583336,False
qwen,gemma,10,9,0.5624969203718208,0.5296880852653502,0.5913229200046388,1.5245573953027196,0.2714295043883987,False
qwen,gemma,10,10,0.5661400695809713,0.5076195983134827,0.5968907097704397,1.5519788783218105,0.27631157676455137,False
llama,gemma,4,4,0.6748722672695705,0.7438950946061892,0.6800152010612309,0.6847905625047876,0.12191890155347022,True
llama,gemma,4,5,0.6138415601267093,0.5584452593518521,0.6210559729058606,0.9146894740935505,0.16284969748429814,False
llama,gemma,4,6,0.5740978401766356,0.5504422828923844,0.5833389374969334,1.060412327848738,0.1887939368384222,False
llama,gemma,4,7,0.5875778545622233,0.5132212221962323,0.5975277997508456,1.0963179492494752,0.195186510218465,False
llama,gemma,4,8,0.4917410902240395,0.4959990841987758,0.5055507829761317,1.373629429541014,0.24455855609135896,False
llama,gemma,4,9,0.532093455532039,0.5015011516868895,0.5459049923055483,1.2729182979840012,0.22662812421051334,False
llama,gemma,4,10,0.4869626664759927,0.41179342174821637,0.5032448054056988,1.451890632283476,0.258492042320658,False
llama,gemma,5,4,0.5534297489870783,0.5818566031066417,0.5617600493326204,1.0679756800991742,0.19014050270676927,False
llama,gemma,5,5,0.622296273821598,0.6527264426703054,0.6307287608305121,1.0009756438643325,0.17821193466121082,False
llama,gemma,5,6,0.5872243956481262,0.6475874960659254,0.5980792304607723,1.1422255638263643,0.20335982078758558,False
llama,gemma,5,7,0.5645820874629393,0.5869319954128204,0.5774497359604007,1.276462174512994,0.22725906972482585,False
llama,gemma,5,8,0.49215143076931805,0.589016863100766,0.5092539076916431,1.5090410650055912,0.2686670043635046,False
llama,gemma,5,9,0.5031777547768621,0.5660414812047521,0.5212223369504176,1.484254611256853,0.26425406794189477,False
llama,gemma,5,10,0.5004857041149926,0.48247133226471817,0.5200888060610164,1.5451423267742186,0.2750944092089015,False
llama,gemma,6,4,0.5488015423472051,0.5876968011798197,0.5586875250515291,1.125813235596981,0.20043779887428353,False
llama,gemma,6,5,0.5754960680415534,0.6059404985934288,0.586781924712951,1.167245984472053,0.20781441226205088,False
llama,gemma,6,6,0.6276597085380694,0.6728678468638863,0.6395103165721078,1.0656105871332948,0.18971942573483036,False
llama,gemma,6,7,0.5786392752175923,0.5732070337870702,0.5938557187347704,1.2732396486620654,0.2266853369173295,False
llama,gemma,6,8,0.5215912037262455,0.6002970889743732,0.5413904907928713,1.462544640373957,0.26038886309281073,False
llama,gemma,6,9,0.5422828606403578,0.594091127115355,0.5624750637919941,1.4062851736007451,0.2503725270529489,False
llama,gemma,6,10,0.5201976305321439,0.48915700351004804,0.5429980412025296,1.5235227401608045,0.27124529621542454,False
llama,gemma,7,4,0.5269643655243621,0.5760824795147244,0.538686459910943,1.2330317987698187,0.21952680237976385,False
llama,gemma,7,5,0.5622935240138205,0.5920454553478107,0.5756355441949684,1.2504257160175856,0.22262358466718749,False
llama,gemma,7,6,0.6001099426170272,0.6291350704458168,0.6148619193777507,1.1853868875092326,0.2110441865793123,False
llama,gemma,7,7,0.5854190376874723,0.6136374314657717,0.6028863730959948,1.2933032748058144,0.23025742945855557,False
llama,gemma,7,8,0.5851045014925192,0.6685047691691882,0.6051493196340497,1.3073108884970455,0.23275132024521242,False
llama,gemma,7,9,0.5582013018160673,0.6268457695546524,0.5808102909429268,1.3984158115577578,0.24897147974193126,False
llama,gemma,7,10,0.565959001387908,0.5395757992920461,0.58982793397801,1.4173692892561207,0.2523459234158486,False
llama,gemma,8,4,0.5029540715454404,0.5530511134614541,0.5168054976357694,1.3232616868342832,0.23559117219215472,False
llama,gemma,8,5,0.5516977705874097,0.5551715478576098,0.5672541322872852,1.3035527706385706,0.23208223158321653,False
llama,gemma,8,6,0.5352232900081281,0.5790014329796075,0.5548595568345609,1.3993083606166634,0.2491303875990231,False
llama,gemma,8,7,0.5493343170289773,0.5703234136686756,0.5711618654929547,1.4247961285609219,0.2536681847606071,False
llama,gemma,8,8,0.5757161542483972,0.6403672564683206,0.599223394307435,1.3532612326790003,0.24093223831770508,False
llama,gemma,8,9,0.5864178171698543,0.6268918438492194,0.6105401419769261,1.3248238178665428,0.235869291240465,False
llama,gemma,8,10,0.5461540390863443,0.5243417222794572,0.5745188814382473,1.498223693455662,0.2667410986497355,False
llama,gemma,9,4,0.517401999731357,0.5650434740575185,0.5322777426763321,1.3269350513656097,0.2362451715215653,False
llama,gemma,9,5,0.5873121443129725,0.632568244031583,0.6032078241569664,1.2343125263140802,0.21975482084838072,False
llama,gemma,9,6,0.6492697172949747,0.7158988091373402,0.6655131654362427,1.0843951561218228,0.19306379720055236,False
llama,gemma,9,7,0.6349167751900734,0.6764956671348918,0.6542283785690197,1.1828509189811096,0.21059268722425106,False
llama,gemma,9,8,0.580258531888454,0.6899666504093201,0.6054236520910089,1.3711697498346713,0.2441206390633062,False
llama,gemma,9,9,0.575434096752777,0.6665963571557973,0.6021341468883182,1.3925865813916118,0.2479336539048471,False
llama,gemma,9,10,0.5958628850660378,0.5940378111806458,0.6231238883622368,1.3641752880153857,0.24287535744195057,False
llama,gemma,10,4,0.5454860950678733,0.5789899010869878,0.5605820085136561,1.251233122712042,0.22276733392818046,False
llama,gemma,10,5,0.5539821602439897,0.5846484030365304,0.5723306868808128,1.3348376707495482,0.23765213991079187,False
llama,gemma,10,6,0.6045666424634473,0.6451736726057073,0.6240601525351217,1.22271795675444,0.21769054417446443,False
llama,gemma,10,7,0.5619700820506629,0.5816013918497077,0.58657406344202,1.4186154567993916,0.2525677888829652,False
llama,gemma,10,8,0.5823496953974232,0.6573227911397163,0.6088793760114039,1.3632533156843496,0.24271121111748684,False
llama,gemma,10,9,0.6028414130863465,0.6399351422666683,0.629252408145685,1.3015480322546762,0.23172531150421824,False
llama,gemma,10,10,0.6271184204773481,0.5728856856325307,0.653636610587174,1.2573526973524554,0.22385685218235246,False
