model_a,model_b,K_a,K_b,profile_a,profile_b,size_a,size_b,intersection_count,union_count,jaccard,overlap_coefficient,p_b_given_a,p_a_given_b,expected_overlap,enrichment_ratio,hypergeom_p,hypergeom_q,strong_edge
llama,gemma,4,4,L04_D,G04_B,3,4,3,4,0.75,1.0,1.0,0.75,0.04363636363636364,68.75,1.1667164951836484e-06,4.6668659807345936e-06,True
llama,gemma,4,4,L04_D,G04_C,3,67,0,70,0.0,0.0,0.0,0.0,0.730909090909091,0.0,1.0,1.0,False
llama,gemma,4,4,L04_D,G04_D,3,136,0,139,0.0,0.0,0.0,0.0,1.4836363636363636,0.0,1.0,1.0,False
llama,gemma,4,5,L04_A,G05_A,57,4,0,61,0.0,0.0,0.0,0.0,0.8290909090909091,0.0,1.0,1.0,False
llama,gemma,4,5,L04_A,G05_B,57,69,7,119,0.058823529411764705,0.12280701754385964,0.12280701754385964,0.10144927536231885,14.301818181818183,0.48944825832697686,0.9976729322443921,1.0,False
llama,gemma,4,5,L04_A,G05_C,57,53,50,60,0.8333333333333334,0.9433962264150944,0.8771929824561403,0.9433962264150944,10.985454545454546,4.551473022178087,2.139083778298026e-43,4.2781675565960524e-42,True
llama,gemma,4,5,L04_A,G05_D,57,40,0,97,0.0,0.0,0.0,0.0,8.290909090909091,0.0,1.0,1.0,False
llama,gemma,4,5,L04_A,G05_E,57,109,0,166,0.0,0.0,0.0,0.0,22.592727272727274,0.0,1.0,1.0,False
llama,gemma,4,5,L04_B,G05_A,152,4,0,156,0.0,0.0,0.0,0.0,2.210909090909091,0.0,1.0,1.0,False
llama,gemma,4,5,L04_B,G05_B,152,69,42,179,0.2346368715083799,0.6086956521739131,0.27631578947368424,0.6086956521739131,38.13818181818182,1.1012585812356979,0.17359138560496545,0.5786379520165515,False
llama,gemma,4,5,L04_B,G05_C,152,53,0,205,0.0,0.0,0.0,0.0,29.294545454545453,0.0,1.0,1.0,False
llama,gemma,4,5,L04_B,G05_D,152,40,1,191,0.005235602094240838,0.025,0.006578947368421052,0.025,22.10909090909091,0.04523026315789474,0.9999999999999999,1.0,False
llama,gemma,4,5,L04_B,G05_E,152,109,109,152,0.7171052631578947,1.0,0.7171052631578947,1.0,60.24727272727273,1.8092105263157894,1.934602416539938e-41,1.9346024165399377e-40,True
llama,gemma,4,5,L04_C,G05_A,63,4,1,66,0.015151515151515152,0.25,0.015873015873015872,0.25,0.9163636363636364,1.0912698412698412,0.6491115368101199,1.0,False
llama,gemma,4,5,L04_C,G05_B,63,69,20,112,0.17857142857142858,0.31746031746031744,0.31746031746031744,0.2898550724637681,15.807272727272727,1.2652403956751783,0.11194743200270701,0.447789728010828,False
llama,gemma,4,5,L04_C,G05_C,63,53,3,113,0.02654867256637168,0.05660377358490566,0.047619047619047616,0.05660377358490566,12.141818181818183,0.2470799640610961,0.9999588709908124,1.0,False
llama,gemma,4,5,L04_C,G05_D,63,40,39,64,0.609375,0.975,0.6190476190476191,0.975,9.163636363636364,4.2559523809523805,1.4331135303780716e-29,9.554090202520477e-29,True
llama,gemma,4,5,L04_C,G05_E,63,109,0,172,0.0,0.0,0.0,0.0,24.970909090909092,0.0,1.0,1.0,False
llama,gemma,4,5,L04_D,G05_A,3,4,3,4,0.75,1.0,1.0,0.75,0.04363636363636364,68.75,1.1667164951836484e-06,5.833582475918242e-06,True
llama,gemma,4,5,L04_D,G05_B,3,69,0,72,0.0,0.0,0.0,0.0,0.7527272727272727,0.0,1.0,1.0,False
llama,gemma,4,5,L04_D,G05_C,3,53,0,56,0.0,0.0,0.0,0.0,0.5781818181818181,0.0,1.0,1.0,False
llama,gemma,4,5,L04_D,G05_D,3,40,0,43,0.0,0.0,0.0,0.0,0.43636363636363634,0.0,1.0,1.0,False
llama,gemma,4,5,L04_D,G05_E,3,109,0,112,0.0,0.0,0.0,0.0,1.1890909090909092,0.0,1.0,1.0,False
llama,gemma,4,6,L04_A,G06_A,57,4,0,61,0.0,0.0,0.0,0.0,0.8290909090909091,0.0,1.0,1.0,False
llama,gemma,4,6,L04_A,G06_B,57,59,9,107,0.08411214953271028,0.15789473684210525,0.15789473684210525,0.15254237288135594,12.229090909090909,0.735950044603033,0.9149868417301777,1.0,False
llama,gemma,4,6,L04_A,G06_C,57,22,0,79,0.0,0.0,0.0,0.0,4.56,0.0,1.0,1.0,False
llama,gemma,4,6,L04_A,G06_D,57,29,0,86,0.0,0.0,0.0,0.0,6.010909090909091,0.0,1.0,1.0,False
llama,gemma,4,6,L04_A,G06_E,57,49,48,58,0.8275862068965517,0.9795918367346939,0.8421052631578947,0.9795918367346939,10.156363636363636,4.726100966702471,3.3640415717222205e-43,4.0368498860666645e-42,True
llama,gemma,4,6,L04_A,G06_F,57,112,0,169,0.0,0.0,0.0,0.0,23.214545454545455,0.0,1.0,1.0,False
llama,gemma,4,6,L04_B,G06_A,152,4,0,156,0.0,0.0,0.0,0.0,2.210909090909091,0.0,1.0,1.0,False
llama,gemma,4,6,L04_B,G06_B,152,59,34,177,0.192090395480226,0.576271186440678,0.2236842105263158,0.576271186440678,32.61090909090909,1.0425958965209634,0.3975647966311588,1.0,False
llama,gemma,4,6,L04_B,G06_C,152,22,3,171,0.017543859649122806,0.13636363636363635,0.019736842105263157,0.13636363636363635,12.16,0.24671052631578946,0.9999964466219838,1.0,False
llama,gemma,4,6,L04_B,G06_D,152,29,3,178,0.016853932584269662,0.10344827586206896,0.019736842105263157,0.10344827586206896,16.029090909090908,0.1871597096188748,0.9999999899765784,1.0,False
llama,gemma,4,6,L04_B,G06_E,152,49,0,201,0.0,0.0,0.0,0.0,27.083636363636362,0.0,1.0,1.0,False
llama,gemma,4,6,L04_B,G06_F,152,112,112,152,0.7368421052631579,1.0,0.7368421052631579,1.0,61.905454545454546,1.8092105263157894,3.1890215080970484e-43,4.0368498860666645e-42,True
llama,gemma,4,6,L04_C,G06_A,63,4,1,66,0.015151515151515152,0.25,0.015873015873015872,0.25,0.9163636363636364,1.0912698412698412,0.6491115368101199,1.0,False
llama,gemma,4,6,L04_C,G06_B,63,59,16,106,0.1509433962264151,0.2711864406779661,0.25396825396825395,0.2711864406779661,13.516363636363636,1.1837503362927093,0.24119575590972936,0.9647830236389175,False
llama,gemma,4,6,L04_C,G06_C,63,22,19,66,0.2878787878787879,0.8636363636363636,0.30158730158730157,0.8636363636363636,5.04,3.7698412698412698,5.702682028841484e-11,3.4216092173048903e-10,True
llama,gemma,4,6,L04_C,G06_D,63,29,26,66,0.3939393939393939,0.896551724137931,0.4126984126984127,0.896551724137931,6.643636363636364,3.91351943076081,4.2318527272718163e-16,3.385482181817453e-15,True
llama,gemma,4,6,L04_C,G06_E,63,49,1,111,0.009009009009009009,0.02040816326530612,0.015873015873015872,0.02040816326530612,11.225454545454545,0.08908325234855848,0.9999993346063392,1.0,False
llama,gemma,4,6,L04_C,G06_F,63,112,0,175,0.0,0.0,0.0,0.0,25.658181818181816,0.0,1.0,1.0,False
llama,gemma,4,6,L04_D,G06_A,3,4,3,4,0.75,1.0,1.0,0.75,0.04363636363636364,68.75,1.1667164951836484e-06,5.600239176881512e-06,True
llama,gemma,4,6,L04_D,G06_B,3,59,0,62,0.0,0.0,0.0,0.0,0.6436363636363637,0.0,1.0,1.0,False
llama,gemma,4,6,L04_D,G06_C,3,22,0,25,0.0,0.0,0.0,0.0,0.24,0.0,1.0,1.0,False
llama,gemma,4,6,L04_D,G06_D,3,29,0,32,0.0,0.0,0.0,0.0,0.31636363636363635,0.0,1.0,1.0,False
llama,gemma,4,6,L04_D,G06_E,3,49,0,52,0.0,0.0,0.0,0.0,0.5345454545454545,0.0,1.0,1.0,False
llama,gemma,4,6,L04_D,G06_F,3,112,0,115,0.0,0.0,0.0,0.0,1.221818181818182,0.0,1.0,1.0,False
llama,gemma,4,7,L04_A,G07_A,57,98,0,155,0.0,0.0,0.0,0.0,20.312727272727273,0.0,1.0,1.0,False
llama,gemma,4,7,L04_A,G07_B,57,4,0,61,0.0,0.0,0.0,0.0,0.8290909090909091,0.0,1.0,1.0,False
llama,gemma,4,7,L04_A,G07_C,57,54,4,107,0.037383177570093455,0.07407407407407407,0.07017543859649122,0.07407407407407407,11.192727272727273,0.35737491877842753,0.9991797532564548,1.0,False
llama,gemma,4,7,L04_A,G07_D,57,26,4,79,0.05063291139240506,0.15384615384615385,0.07017543859649122,0.15384615384615385,5.389090909090909,0.7422402159244265,0.8309400239773338,1.0,False
llama,gemma,4,7,L04_A,G07_E,57,23,0,80,0.0,0.0,0.0,0.0,4.7672727272727276,0.0,1.0,1.0,False
llama,gemma,4,7,L04_A,G07_F,57,21,0,78,0.0,0.0,0.0,0.0,4.352727272727273,0.0,1.0,1.0,False
llama,gemma,4,7,L04_A,G07_G,57,49,49,57,0.8596491228070176,1.0,0.8596491228070176,1.0,10.156363636363636,4.824561403508772,2.8319496909082386e-46,7.929459134543068e-45,True
llama,gemma,4,7,L04_B,G07_A,152,98,98,152,0.6447368421052632,1.0,0.6447368421052632,1.0,54.167272727272724,1.8092105263157896,1.9698159313430795e-35,2.757742303880311e-34,True
llama,gemma,4,7,L04_B,G07_B,152,4,0,156,0.0,0.0,0.0,0.0,2.210909090909091,0.0,1.0,1.0,False
llama,gemma,4,7,L04_B,G07_C,152,54,46,160,0.2875,0.8518518518518519,0.3026315789473684,0.8518518518518519,29.847272727272728,1.5411793372319689,2.909881066624725e-07,1.357944497758205e-06,True
llama,gemma,4,7,L04_B,G07_D,152,26,3,175,0.017142857142857144,0.11538461538461539,0.019736842105263157,0.11538461538461539,14.370909090909091,0.20875506072874495,0.999999869041826,1.0,False
llama,gemma,4,7,L04_B,G07_E,152,23,5,170,0.029411764705882353,0.21739130434782608,0.03289473684210526,0.21739130434782608,12.712727272727273,0.3933066361556064,0.9998748404000458,1.0,False
llama,gemma,4,7,L04_B,G07_F,152,21,0,173,0.0,0.0,0.0,0.0,11.607272727272727,0.0,1.0,1.0,False
llama,gemma,4,7,L04_B,G07_G,152,49,0,201,0.0,0.0,0.0,0.0,27.083636363636362,0.0,1.0,1.0,False
llama,gemma,4,7,L04_C,G07_A,63,98,0,161,0.0,0.0,0.0,0.0,22.45090909090909,0.0,1.0,1.0,False
llama,gemma,4,7,L04_C,G07_B,63,4,1,66,0.015151515151515152,0.25,0.015873015873015872,0.25,0.9163636363636364,1.0912698412698412,0.6491115368101199,1.0,False
llama,gemma,4,7,L04_C,G07_C,63,54,4,113,0.035398230088495575,0.07407407407407407,0.06349206349206349,0.07407407407407407,12.370909090909091,0.32333921222810114,0.999784952932626,1.0,False
llama,gemma,4,7,L04_C,G07_D,63,26,19,70,0.2714285714285714,0.7307692307692307,0.30158730158730157,0.7307692307692307,5.956363636363636,3.18986568986569,1.180458902235716e-08,6.61056985252001e-08,True
llama,gemma,4,7,L04_C,G07_E,63,23,18,68,0.2647058823529412,0.782608695652174,0.2857142857142857,0.782608695652174,5.2690909090909095,3.416149068322981,4.88393246596925e-09,3.418752726178475e-08,True
llama,gemma,4,7,L04_C,G07_F,63,21,21,63,0.3333333333333333,1.0,0.3333333333333333,1.0,4.810909090909091,4.365079365079366,1.8355974184806e-15,1.71322425724856e-14,True
llama,gemma,4,7,L04_C,G07_G,63,49,0,112,0.0,0.0,0.0,0.0,11.225454545454545,0.0,1.0,1.0,False
llama,gemma,4,7,L04_D,G07_A,3,98,0,101,0.0,0.0,0.0,0.0,1.069090909090909,0.0,1.0,1.0,False
llama,gemma,4,7,L04_D,G07_B,3,4,3,4,0.75,1.0,1.0,0.75,0.04363636363636364,68.75,1.1667164951836484e-06,4.6668659807345936e-06,True
llama,gemma,4,7,L04_D,G07_C,3,54,0,57,0.0,0.0,0.0,0.0,0.5890909090909091,0.0,1.0,1.0,False
llama,gemma,4,7,L04_D,G07_D,3,26,0,29,0.0,0.0,0.0,0.0,0.28363636363636363,0.0,1.0,1.0,False
llama,gemma,4,7,L04_D,G07_E,3,23,0,26,0.0,0.0,0.0,0.0,0.2509090909090909,0.0,1.0,1.0,False
llama,gemma,4,7,L04_D,G07_F,3,21,0,24,0.0,0.0,0.0,0.0,0.2290909090909091,0.0,1.0,1.0,False
llama,gemma,4,7,L04_D,G07_G,3,49,0,52,0.0,0.0,0.0,0.0,0.5345454545454545,0.0,1.0,1.0,False
llama,gemma,4,8,L04_A,G08_A,57,10,0,67,0.0,0.0,0.0,0.0,2.0727272727272728,0.0,1.0,1.0,False
llama,gemma,4,8,L04_A,G08_B,57,4,0,61,0.0,0.0,0.0,0.0,0.8290909090909091,0.0,1.0,1.0,False
llama,gemma,4,8,L04_A,G08_C,57,32,24,65,0.36923076923076925,0.75,0.42105263157894735,0.75,6.632727272727273,3.6184210526315788,1.3204195323988067e-12,1.0563356259190454e-11,True
llama,gemma,4,8,L04_A,G08_D,57,109,0,166,0.0,0.0,0.0,0.0,22.592727272727274,0.0,1.0,1.0,False
llama,gemma,4,8,L04_A,G08_E,57,17,2,72,0.027777777777777776,0.11764705882352941,0.03508771929824561,0.11764705882352941,3.5236363636363635,0.5675954592363261,0.9023942776587373,1.0,False
llama,gemma,4,8,L04_A,G08_F,57,23,0,80,0.0,0.0,0.0,0.0,4.7672727272727276,0.0,1.0,1.0,False
llama,gemma,4,8,L04_A,G08_G,57,35,31,61,0.5081967213114754,0.8857142857142857,0.543859649122807,0.8857142857142857,7.254545454545455,4.273182957393484,4.725953688290043e-21,7.561525901264069e-20,True
llama,gemma,4,8,L04_A,G08_H,57,45,0,102,0.0,0.0,0.0,0.0,9.327272727272728,0.0,1.0,1.0,False
llama,gemma,4,8,L04_B,G08_A,152,10,1,161,0.006211180124223602,0.1,0.006578947368421052,0.1,5.527272727272727,0.18092105263157895,0.9997402956434153,1.0,False
llama,gemma,4,8,L04_B,G08_B,152,4,0,156,0.0,0.0,0.0,0.0,2.210909090909091,0.0,1.0,1.0,False
llama,gemma,4,8,L04_B,G08_C,152,32,5,179,0.027932960893854747,0.15625,0.03289473684210526,0.15625,17.687272727272727,0.2826891447368421,0.9999998646174436,1.0,False
llama,gemma,4,8,L04_B,G08_D,152,109,109,152,0.7171052631578947,1.0,0.7171052631578947,1.0,60.24727272727273,1.8092105263157894,1.934602416539938e-41,6.190727732927801e-40,True
llama,gemma,4,8,L04_B,G08_E,152,17,3,166,0.018072289156626505,0.17647058823529413,0.019736842105263157,0.17647058823529413,9.396363636363636,0.31927244582043346,0.9998238351924003,1.0,False
llama,gemma,4,8,L04_B,G08_F,152,23,2,173,0.011560693641618497,0.08695652173913043,0.013157894736842105,0.08695652173913043,12.712727272727273,0.15732265446224256,0.9999999061738143,1.0,False
llama,gemma,4,8,L04_B,G08_G,152,35,2,185,0.010810810810810811,0.05714285714285714,0.013157894736842105,0.05714285714285714,19.345454545454544,0.10338345864661655,0.9999999999983974,1.0,False
llama,gemma,4,8,L04_B,G08_H,152,45,30,167,0.17964071856287425,0.6666666666666666,0.19736842105263158,0.6666666666666666,24.87272727272727,1.206140350877193,0.06365264996210446,0.22632053319859363,False
llama,gemma,4,8,L04_C,G08_A,63,10,9,64,0.140625,0.9,0.14285714285714285,0.9,2.290909090909091,3.9285714285714284,8.907392848101281e-06,4.75060951898735e-05,True
llama,gemma,4,8,L04_C,G08_B,63,4,1,66,0.015151515151515152,0.25,0.015873015873015872,0.25,0.9163636363636364,1.0912698412698412,0.6491115368101199,1.0,False
llama,gemma,4,8,L04_C,G08_C,63,32,3,92,0.03260869565217391,0.09375,0.047619047619047616,0.09375,7.330909090909091,0.40922619047619047,0.9904590368580279,1.0,False
llama,gemma,4,8,L04_C,G08_D,63,109,0,172,0.0,0.0,0.0,0.0,24.970909090909092,0.0,1.0,1.0,False
llama,gemma,4,8,L04_C,G08_E,63,17,12,68,0.17647058823529413,0.7058823529411765,0.19047619047619047,0.7058823529411765,3.8945454545454545,3.081232492997199,2.0024061918528464e-05,9.153856877041583e-05,True
llama,gemma,4,8,L04_C,G08_F,63,23,21,65,0.3230769230769231,0.9130434782608695,0.3333333333333333,0.9130434782608695,5.2690909090909095,3.985507246376811,3.291664175923419e-13,3.5111084543183136e-12,True
llama,gemma,4,8,L04_C,G08_G,63,35,2,96,0.020833333333333332,0.05714285714285714,0.031746031746031744,0.05714285714285714,8.018181818181818,0.24943310657596374,0.9992714629798063,1.0,False
llama,gemma,4,8,L04_C,G08_H,63,45,15,93,0.16129032258064516,0.3333333333333333,0.23809523809523808,0.3333333333333333,10.309090909090909,1.4550264550264551,0.055351926852280464,0.22140770740912186,False
llama,gemma,4,8,L04_D,G08_A,3,10,0,13,0.0,0.0,0.0,0.0,0.10909090909090909,0.0,1.0,1.0,False
llama,gemma,4,8,L04_D,G08_B,3,4,3,4,0.75,1.0,1.0,0.75,0.04363636363636364,68.75,1.1667164951836484e-06,7.46698556917535e-06,True
llama,gemma,4,8,L04_D,G08_C,3,32,0,35,0.0,0.0,0.0,0.0,0.3490909090909091,0.0,1.0,1.0,False
llama,gemma,4,8,L04_D,G08_D,3,109,0,112,0.0,0.0,0.0,0.0,1.1890909090909092,0.0,1.0,1.0,False
llama,gemma,4,8,L04_D,G08_E,3,17,0,20,0.0,0.0,0.0,0.0,0.18545454545454546,0.0,1.0,1.0,False
llama,gemma,4,8,L04_D,G08_F,3,23,0,26,0.0,0.0,0.0,0.0,0.2509090909090909,0.0,1.0,1.0,False
llama,gemma,4,8,L04_D,G08_G,3,35,0,38,0.0,0.0,0.0,0.0,0.38181818181818183,0.0,1.0,1.0,False
llama,gemma,4,8,L04_D,G08_H,3,45,0,48,0.0,0.0,0.0,0.0,0.4909090909090909,0.0,1.0,1.0,False
llama,gemma,4,9,L04_A,G09_A,57,3,0,60,0.0,0.0,0.0,0.0,0.6218181818181818,0.0,1.0,1.0,False
llama,gemma,4,9,L04_A,G09_B,57,16,2,71,0.028169014084507043,0.125,0.03508771929824561,0.125,3.3163636363636364,0.6030701754385965,0.881423950199099,1.0,False
llama,gemma,4,9,L04_A,G09_C,57,41,36,62,0.5806451612903226,0.8780487804878049,0.631578947368421,0.8780487804878049,8.498181818181818,4.2362002567394095,6.355796411872928e-25,1.144043354137127e-23,True
llama,gemma,4,9,L04_A,G09_D,57,1,0,58,0.0,0.0,0.0,0.0,0.20727272727272728,0.0,1.0,1.0,False
llama,gemma,4,9,L04_A,G09_E,57,106,0,163,0.0,0.0,0.0,0.0,21.970909090909092,0.0,1.0,1.0,False
llama,gemma,4,9,L04_A,G09_F,57,48,0,105,0.0,0.0,0.0,0.0,9.94909090909091,0.0,1.0,1.0,False
llama,gemma,4,9,L04_A,G09_G,57,22,19,60,0.31666666666666665,0.8636363636363636,0.3333333333333333,0.8636363636363636,4.56,4.166666666666667,6.411998642939168e-12,7.694398371527002e-11,True
llama,gemma,4,9,L04_A,G09_H,57,19,0,76,0.0,0.0,0.0,0.0,3.938181818181818,0.0,1.0,1.0,False
llama,gemma,4,9,L04_A,G09_I,57,19,0,76,0.0,0.0,0.0,0.0,3.938181818181818,0.0,1.0,1.0,False
llama,gemma,4,9,L04_B,G09_A,152,3,0,155,0.0,0.0,0.0,0.0,1.6581818181818182,0.0,1.0,1.0,False
llama,gemma,4,9,L04_B,G09_B,152,16,0,168,0.0,0.0,0.0,0.0,8.843636363636364,0.0,1.0,1.0,False
llama,gemma,4,9,L04_B,G09_C,152,41,3,190,0.015789473684210527,0.07317073170731707,0.019736842105263157,0.07317073170731707,22.66181818181818,0.13238125802310655,0.9999999999998408,1.0,False
llama,gemma,4,9,L04_B,G09_D,152,1,0,153,0.0,0.0,0.0,0.0,0.5527272727272727,0.0,1.0,1.0,False
llama,gemma,4,9,L04_B,G09_E,152,106,106,152,0.6973684210526315,1.0,0.6973684210526315,1.0,58.589090909090906,1.8092105263157896,1.0071198630146158e-39,3.625631506852617e-38,True
llama,gemma,4,9,L04_B,G09_F,152,48,37,163,0.22699386503067484,0.7708333333333334,0.24342105263157895,0.7708333333333334,26.53090909090909,1.3945997807017543,0.000554180338656496,0.002493811523954232,True
llama,gemma,4,9,L04_B,G09_G,152,22,2,172,0.011627906976744186,0.09090909090909091,0.013157894736842105,0.09090909090909091,12.16,0.16447368421052633,0.9999997770439579,1.0,False
llama,gemma,4,9,L04_B,G09_H,152,19,2,169,0.011834319526627219,0.10526315789473684,0.013157894736842105,0.10526315789473684,10.501818181818182,0.19044321329639888,0.9999971452723002,1.0,False
llama,gemma,4,9,L04_B,G09_I,152,19,2,169,0.011834319526627219,0.10526315789473684,0.013157894736842105,0.10526315789473684,10.501818181818182,0.19044321329639888,0.9999971452723002,1.0,False
llama,gemma,4,9,L04_C,G09_A,63,3,1,65,0.015384615384615385,0.3333333333333333,0.015873015873015872,0.3333333333333333,0.6872727272727273,1.4550264550264551,0.5433413302026441,1.0,False
llama,gemma,4,9,L04_C,G09_B,63,16,14,65,0.2153846153846154,0.875,0.2222222222222222,0.875,3.6654545454545455,3.819444444444444,2.6315461120839175e-08,1.5789276672503505e-07,True
llama,gemma,4,9,L04_C,G09_C,63,41,2,102,0.0196078431372549,0.04878048780487805,0.031746031746031744,0.04878048780487805,9.392727272727273,0.2129307007355788,0.9998628883959727,1.0,False
llama,gemma,4,9,L04_C,G09_D,63,1,0,64,0.0,0.0,0.0,0.0,0.2290909090909091,0.0,1.0,1.0,False
llama,gemma,4,9,L04_C,G09_E,63,106,0,169,0.0,0.0,0.0,0.0,24.283636363636365,0.0,1.0,1.0,False
llama,gemma,4,9,L04_C,G09_F,63,48,11,100,0.11,0.22916666666666666,0.1746031746031746,0.22916666666666666,10.996363636363636,1.000330687830688,0.5656992558453408,1.0,False
llama,gemma,4,9,L04_C,G09_G,63,22,1,84,0.011904761904761904,0.045454545454545456,0.015873015873015872,0.045454545454545456,5.04,0.1984126984126984,0.997495643735419,1.0,False
llama,gemma,4,9,L04_C,G09_H,63,19,17,65,0.26153846153846155,0.8947368421052632,0.2698412698412698,0.8947368421052632,4.352727272727273,3.9055973266499584,2.397672747307688e-10,1.7263243780615353e-09,True
llama,gemma,4,9,L04_C,G09_I,63,19,17,65,0.26153846153846155,0.8947368421052632,0.2698412698412698,0.8947368421052632,4.352727272727273,3.9055973266499584,2.397672747307688e-10,1.7263243780615353e-09,True
llama,gemma,4,9,L04_D,G09_A,3,3,2,4,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.03272727272727273,61.11111111111111,0.00023830184414126013,0.0012255523412979092,True
llama,gemma,4,9,L04_D,G09_B,3,16,0,19,0.0,0.0,0.0,0.0,0.17454545454545456,0.0,1.0,1.0,False
llama,gemma,4,9,L04_D,G09_C,3,41,0,44,0.0,0.0,0.0,0.0,0.44727272727272727,0.0,1.0,1.0,False
llama,gemma,4,9,L04_D,G09_D,3,1,1,3,0.3333333333333333,1.0,0.3333333333333333,1.0,0.01090909090909091,91.66666666666666,0.010909090909090908,0.04363636363636363,False
llama,gemma,4,9,L04_D,G09_E,3,106,0,109,0.0,0.0,0.0,0.0,1.1563636363636363,0.0,1.0,1.0,False
llama,gemma,4,9,L04_D,G09_F,3,48,0,51,0.0,0.0,0.0,0.0,0.5236363636363637,0.0,1.0,1.0,False
llama,gemma,4,9,L04_D,G09_G,3,22,0,25,0.0,0.0,0.0,0.0,0.24,0.0,1.0,1.0,False
llama,gemma,4,9,L04_D,G09_H,3,19,0,22,0.0,0.0,0.0,0.0,0.20727272727272728,0.0,1.0,1.0,False
llama,gemma,4,9,L04_D,G09_I,3,19,0,22,0.0,0.0,0.0,0.0,0.20727272727272728,0.0,1.0,1.0,False
llama,gemma,4,10,L04_A,G10_A,57,90,0,147,0.0,0.0,0.0,0.0,18.654545454545456,0.0,1.0,1.0,False
llama,gemma,4,10,L04_A,G10_B,57,40,32,65,0.49230769230769234,0.8,0.5614035087719298,0.8,8.290909090909091,3.8596491228070176,4.886336039846631e-19,9.77267207969326e-18,True
llama,gemma,4,10,L04_A,G10_C,57,2,0,59,0.0,0.0,0.0,0.0,0.41454545454545455,0.0,1.0,1.0,False
llama,gemma,4,10,L04_A,G10_D,57,1,0,58,0.0,0.0,0.0,0.0,0.20727272727272728,0.0,1.0,1.0,False
llama,gemma,4,10,L04_A,G10_E,57,52,2,107,0.018691588785046728,0.038461538461538464,0.03508771929824561,0.038461538461538464,10.778181818181817,0.18556005398110662,0.9999755841293805,1.0,False
llama,gemma,4,10,L04_A,G10_F,57,13,0,70,0.0,0.0,0.0,0.0,2.6945454545454544,0.0,1.0,1.0,False
llama,gemma,4,10,L04_A,G10_G,57,22,21,58,0.3620689655172414,0.9545454545454546,0.3684210526315789,0.9545454545454546,4.56,4.605263157894737,2.6960030789377837e-15,3.5946707719170447e-14,True
llama,gemma,4,10,L04_A,G10_H,57,26,0,83,0.0,0.0,0.0,0.0,5.389090909090909,0.0,1.0,1.0,False
llama,gemma,4,10,L04_A,G10_I,57,7,0,64,0.0,0.0,0.0,0.0,1.450909090909091,0.0,1.0,1.0,False
llama,gemma,4,10,L04_A,G10_J,57,22,2,77,0.025974025974025976,0.09090909090909091,0.03508771929824561,0.09090909090909091,4.56,0.4385964912280702,0.9648022587156653,1.0,False
llama,gemma,4,10,L04_B,G10_A,152,90,90,152,0.5921052631578947,1.0,0.5921052631578947,1.0,49.74545454545454,1.8092105263157896,1.700526623706315e-31,6.80210649482526e-30,True
