rank,K_qwen,K_llama,K_gemma,qwen_llama_ami,qwen_gemma_ami,llama_gemma_ami,mean_pairwise_ami,minimum_pairwise_ami,qwen_start_ari,qwen_refit_ari,qwen_small_cluster_warning,llama_start_ari,llama_refit_ari,llama_small_cluster_warning,gemma_start_ari,gemma_refit_ari,gemma_small_cluster_warning,mean_refit_ari,quality_constrained,near_best
88,7,7,9,0.6016323590165147,0.5866652504547211,0.5582013018160673,0.5821663037624343,0.5582013018160673,0.7243691652038908,0.7964064024503543,True,0.672426253525265,0.7368477971952578,True,0.7087282765330731,0.728748242770688,True,0.7540008141387666,True,False
89,4,7,8,0.5734551567997747,0.5870624175077737,0.5851045014925192,0.5818740252666892,0.5734551567997747,0.7867143063987592,0.8968681692609819,False,0.672426253525265,0.7368477971952578,True,0.6981304713398899,0.7238533962954519,True,0.7858564542505638,True,False
90,7,4,6,0.5453689363248889,0.6254196649088847,0.5740978401766356,0.5816288138034698,0.5453689363248889,0.7243691652038908,0.7964064024503543,True,0.8214048738929222,0.8824355337474117,True,0.672514209560622,0.7722801214036135,True,0.8170406858671265,True,False
93,4,7,4,0.5734551567997747,0.639210842615792,0.5269643655243621,0.5798767883133096,0.5269643655243621,0.7867143063987592,0.8968681692609819,False,0.672426253525265,0.7368477971952578,True,0.9461676208754622,0.9578221322226628,True,0.8638460328929675,True,False
94,6,7,5,0.5775818562394454,0.5993425586743008,0.5622935240138205,0.5797393129758556,0.5622935240138205,0.7569452239319449,0.875964086809095,False,0.672426253525265,0.7368477971952578,True,0.6238221817907186,0.8417179193843307,True,0.8181766011295611,True,False
95,4,6,6,0.5235323431196262,0.5873240664224086,0.6276597085380694,0.579505372693368,0.5235323431196262,0.7867143063987592,0.8968681692609819,False,0.6283090554449327,0.7348418191630912,True,0.672514209560622,0.7722801214036135,True,0.801330036609229,True,False
99,7,9,4,0.6296923451364017,0.5879331694954225,0.517401999731357,0.5783425047877271,0.517401999731357,0.7243691652038908,0.7964064024503543,True,0.7134643949517894,0.7577815475363421,True,0.9461676208754622,0.9578221322226628,True,0.8373366940697865,True,False
104,7,10,5,0.589551937413623,0.5907173529965318,0.5539821602439897,0.5780838168847149,0.5539821602439897,0.7243691652038908,0.7964064024503543,True,0.712939026899601,0.7535460555148441,True,0.6238221817907186,0.8417179193843307,True,0.7972234591165096,True,False
105,6,4,5,0.5200183022450311,0.5993425586743008,0.6138415601267093,0.5777341403486803,0.5200183022450311,0.7569452239319449,0.875964086809095,False,0.8214048738929222,0.8824355337474117,True,0.6238221817907186,0.8417179193843307,True,0.8667058466469458,True,False
110,4,10,6,0.538450616795139,0.5873240664224086,0.6045666424634473,0.576780441893665,0.538450616795139,0.7867143063987592,0.8968681692609819,False,0.712939026899601,0.7535460555148441,True,0.672514209560622,0.7722801214036135,True,0.8075647820598132,True,False
115,6,9,4,0.618967412898966,0.5917829801386019,0.517401999731357,0.5760507975896416,0.517401999731357,0.7569452239319449,0.875964086809095,False,0.7134643949517894,0.7577815475363421,True,0.9461676208754622,0.9578221322226628,True,0.8638559221893667,True,False
118,6,6,5,0.5519923335248217,0.5993425586743008,0.5754960680415534,0.5756103200802253,0.5519923335248217,0.7569452239319449,0.875964086809095,False,0.6283090554449327,0.7348418191630912,True,0.6238221817907186,0.8417179193843307,True,0.8175079417855056,True,False
120,6,7,9,0.5775818562394454,0.5901814047272055,0.5582013018160673,0.5753215209275727,0.5582013018160673,0.7569452239319449,0.875964086809095,False,0.672426253525265,0.7368477971952578,True,0.7087282765330731,0.728748242770688,True,0.7805200422583468,True,False
123,4,10,4,0.538450616795139,0.639210842615792,0.5454860950678733,0.5743825181596014,0.538450616795139,0.7867143063987592,0.8968681692609819,False,0.712939026899601,0.7535460555148441,True,0.9461676208754622,0.9578221322226628,True,0.8694121189994962,True,False
125,7,10,4,0.589551937413623,0.5879331694954225,0.5454860950678733,0.5743237339923063,0.5454860950678733,0.7243691652038908,0.7964064024503543,True,0.712939026899601,0.7535460555148441,True,0.9461676208754622,0.9578221322226628,True,0.8359248633959537,True,False
130,4,9,7,0.544898399772158,0.5374036950987177,0.6349167751900734,0.5724062900203163,0.5374036950987177,0.7867143063987592,0.8968681692609819,False,0.7134643949517894,0.7577815475363421,True,0.6796478371097667,0.7400689497285318,True,0.7982395555086187,True,False
132,7,7,4,0.6016323590165147,0.5879331694954225,0.5269643655243621,0.5721766313454332,0.5269643655243621,0.7243691652038908,0.7964064024503543,True,0.672426253525265,0.7368477971952578,True,0.9461676208754622,0.9578221322226628,True,0.8303587772894249,True,False
136,7,6,5,0.5490047266895048,0.5907173529965318,0.5754960680415534,0.5717393825758634,0.5490047266895048,0.7243691652038908,0.7964064024503543,True,0.6283090554449327,0.7348418191630912,True,0.6238221817907186,0.8417179193843307,True,0.7909887136659254,True,False
138,4,9,8,0.544898399772158,0.5870624175077737,0.580258531888454,0.5707397830561285,0.544898399772158,0.7867143063987592,0.8968681692609819,False,0.7134643949517894,0.7577815475363421,True,0.6981304713398899,0.7238533962954519,True,0.7928343710309252,True,False
139,4,6,4,0.5235323431196262,0.639210842615792,0.5488015423472051,0.5705149093608743,0.5235323431196262,0.7867143063987592,0.8968681692609819,False,0.6283090554449327,0.7348418191630912,True,0.9461676208754622,0.9578221322226628,True,0.863177373548912,True,False
144,4,10,8,0.538450616795139,0.5870624175077737,0.5823496953974232,0.5692875765667786,0.538450616795139,0.7867143063987592,0.8968681692609819,False,0.712939026899601,0.7535460555148441,True,0.6981304713398899,0.7238533962954519,True,0.7914225403570926,True,False
146,4,4,6,0.5449104647734001,0.5873240664224086,0.5740978401766356,0.5687774571241481,0.5449104647734001,0.7867143063987592,0.8968681692609819,False,0.8214048738929222,0.8824355337474117,True,0.672514209560622,0.7722801214036135,True,0.850527941470669,True,False
152,4,9,4,0.544898399772158,0.639210842615792,0.517401999731357,0.567170414039769,0.517401999731357,0.7867143063987592,0.8968681692609819,False,0.7134643949517894,0.7577815475363421,True,0.9461676208754622,0.9578221322226628,True,0.870823949673329,True,False
164,6,7,4,0.5775818562394454,0.5917829801386019,0.5269643655243621,0.5654430673008031,0.5269643655243621,0.7569452239319449,0.875964086809095,False,0.672426253525265,0.7368477971952578,True,0.9461676208754622,0.9578221322226628,True,0.8568780054090052,True,False
