model_a,model_b,K_a,K_b,profile_a,profile_b,valid_neighborhood_cells,supported_neighborhood_cells,persistence_score,persistence_tier,neighborhood_trace
llama,gemma,4,7,L04_A,G07_G,6,6,1.0,high,"4,6,L04_A,G06_E,1;4,7,L04_A,G07_G,1;4,8,L04_A,G08_G,1;5,6,L05_B,G06_E,1;5,7,L05_B,G07_G,1;5,8,L05_B,G08_G,1"
llama,gemma,4,7,L04_B,G07_A,6,6,1.0,high,"4,6,L04_B,G06_F,1;4,7,L04_B,G07_A,1;4,8,L04_B,G08_D,1;5,6,L05_A,G06_F,1;5,7,L05_A,G07_A,1;5,8,L05_A,G08_D,1"
llama,gemma,4,7,L04_B,G07_C,6,1,0.16666666666666666,isolated,"4,6,L04_B,G06_B,0;4,7,L04_B,G07_C,1;4,8,L04_B,G08_H,0;5,6,L05_A,G06_B,0;5,7,L05_A,G07_C,0;5,8,L05_A,G08_H,0"
llama,gemma,4,7,L04_C,G07_D,6,3,0.5,moderate,"4,6,L04_C,G06_C,1;4,7,L04_C,G07_D,1;4,8,L04_C,G08_E,1;5,6,L05_C,G06_C,0;5,7,L05_C,G07_D,0;5,8,L05_C,G08_E,0"
llama,gemma,4,7,L04_C,G07_E,6,6,1.0,high,"4,6,L04_C,G06_D,1;4,7,L04_C,G07_E,1;4,8,L04_C,G08_A,1;5,6,L05_C,G06_D,1;5,7,L05_C,G07_E,1;5,8,L05_C,G08_A,1"
llama,gemma,4,7,L04_C,G07_F,6,6,1.0,high,"4,6,L04_C,G06_D,1;4,7,L04_C,G07_F,1;4,8,L04_C,G08_F,1;5,6,L05_C,G06_D,1;5,7,L05_C,G07_F,1;5,8,L05_C,G08_F,1"
llama,gemma,4,7,L04_D,G07_B,6,6,1.0,high,"4,6,L04_D,G06_A,1;4,7,L04_D,G07_B,1;4,8,L04_D,G08_B,1;5,6,L05_E,G06_A,1;5,7,L05_E,G07_B,1;5,8,L05_E,G08_B,1"
llama,gemma,4,8,L04_A,G08_C,6,6,1.0,high,"4,7,L04_A,G07_G,1;4,8,L04_A,G08_C,1;4,9,L04_A,G09_C,1;5,7,L05_B,G07_G,1;5,8,L05_B,G08_C,1;5,9,L05_B,G09_C,1"
llama,gemma,4,8,L04_A,G08_G,6,6,1.0,high,"4,7,L04_A,G07_G,1;4,8,L04_A,G08_G,1;4,9,L04_A,G09_G,1;5,7,L05_B,G07_G,1;5,8,L05_B,G08_G,1;5,9,L05_B,G09_G,1"
llama,gemma,4,8,L04_B,G08_D,6,6,1.0,high,"4,7,L04_B,G07_A,1;4,8,L04_B,G08_D,1;4,9,L04_B,G09_E,1;5,7,L05_A,G07_A,1;5,8,L05_A,G08_D,1;5,9,L05_A,G09_E,1"
llama,gemma,4,8,L04_C,G08_A,6,6,1.0,high,"4,7,L04_C,G07_E,1;4,8,L04_C,G08_A,1;4,9,L04_C,G09_I,1;5,7,L05_C,G07_E,1;5,8,L05_C,G08_A,1;5,9,L05_C,G09_I,1"
llama,gemma,4,8,L04_C,G08_E,6,3,0.5,moderate,"4,7,L04_C,G07_D,1;4,8,L04_C,G08_E,1;4,9,L04_C,G09_B,1;5,7,L05_C,G07_D,0;5,8,L05_C,G08_E,0;5,9,L05_C,G09_B,0"
llama,gemma,4,8,L04_C,G08_F,6,6,1.0,high,"4,7,L04_C,G07_F,1;4,8,L04_C,G08_F,1;4,9,L04_C,G09_H,1;5,7,L05_C,G07_F,1;5,8,L05_C,G08_F,1;5,9,L05_C,G09_H,1"
llama,gemma,4,8,L04_D,G08_B,6,6,1.0,high,"4,7,L04_D,G07_B,1;4,8,L04_D,G08_B,1;4,9,L04_D,G09_A,1;5,7,L05_E,G07_B,1;5,8,L05_E,G08_B,1;5,9,L05_E,G09_A,1"
llama,gemma,4,9,L04_A,G09_C,6,6,1.0,high,"4,8,L04_A,G08_C,1;4,9,L04_A,G09_C,1;4,10,L04_A,G10_B,1;5,8,L05_B,G08_C,1;5,9,L05_B,G09_C,1;5,10,L05_B,G10_B,1"
llama,gemma,4,9,L04_A,G09_G,6,6,1.0,high,"4,8,L04_A,G08_G,1;4,9,L04_A,G09_G,1;4,10,L04_A,G10_G,1;5,8,L05_B,G08_G,1;5,9,L05_B,G09_G,1;5,10,L05_B,G10_G,1"
llama,gemma,4,9,L04_B,G09_E,6,6,1.0,high,"4,8,L04_B,G08_D,1;4,9,L04_B,G09_E,1;4,10,L04_B,G10_A,1;5,8,L05_A,G08_D,1;5,9,L05_A,G09_E,1;5,10,L05_A,G10_A,1"
llama,gemma,4,9,L04_B,G09_F,6,2,0.3333333333333333,isolated,"4,8,L04_B,G08_H,0;4,9,L04_B,G09_F,1;4,10,L04_B,G10_E,1;5,8,L05_A,G08_H,0;5,9,L05_A,G09_F,0;5,10,L05_A,G10_E,0"
llama,gemma,4,9,L04_C,G09_B,6,3,0.5,moderate,"4,8,L04_C,G08_E,1;4,9,L04_C,G09_B,1;4,10,L04_C,G10_J,1;5,8,L05_C,G08_E,0;5,9,L05_C,G09_B,0;5,10,L05_C,G10_J,0"
llama,gemma,4,9,L04_C,G09_H,6,6,1.0,high,"4,8,L04_C,G08_F,1;4,9,L04_C,G09_H,1;4,10,L04_C,G10_F,1;5,8,L05_C,G08_F,1;5,9,L05_C,G09_H,1;5,10,L05_C,G10_F,1"
llama,gemma,4,9,L04_C,G09_I,6,5,0.8333333333333334,high,"4,8,L04_C,G08_A,1;4,9,L04_C,G09_I,1;4,10,L04_C,G10_H,1;5,8,L05_C,G08_A,1;5,9,L05_C,G09_I,1;5,10,L05_C,G10_H,0"
llama,gemma,4,9,L04_D,G09_A,6,6,1.0,high,"4,8,L04_D,G08_B,1;4,9,L04_D,G09_A,1;4,10,L04_D,G10_C,1;5,8,L05_E,G08_B,1;5,9,L05_E,G09_A,1;5,10,L05_E,G10_C,1"
llama,gemma,4,10,L04_A,G10_B,4,4,1.0,high,"4,9,L04_A,G09_C,1;4,10,L04_A,G10_B,1;5,9,L05_B,G09_C,1;5,10,L05_B,G10_B,1"
llama,gemma,4,10,L04_A,G10_G,4,4,1.0,high,"4,9,L04_A,G09_G,1;4,10,L04_A,G10_G,1;5,9,L05_B,G09_G,1;5,10,L05_B,G10_G,1"
llama,gemma,4,10,L04_B,G10_A,4,4,1.0,high,"4,9,L04_B,G09_E,1;4,10,L04_B,G10_A,1;5,9,L05_A,G09_E,1;5,10,L05_A,G10_A,1"
llama,gemma,4,10,L04_B,G10_E,4,2,0.5,moderate,"4,9,L04_B,G09_F,1;4,10,L04_B,G10_E,1;5,9,L05_A,G09_F,0;5,10,L05_A,G10_E,0"
llama,gemma,4,10,L04_C,G10_F,4,4,1.0,high,"4,9,L04_C,G09_H,1;4,10,L04_C,G10_F,1;5,9,L05_C,G09_H,1;5,10,L05_C,G10_F,1"
llama,gemma,4,10,L04_C,G10_H,4,3,0.75,high,"4,9,L04_C,G09_I,1;4,10,L04_C,G10_H,1;5,9,L05_C,G09_I,1;5,10,L05_C,G10_H,0"
llama,gemma,4,10,L04_C,G10_I,4,4,1.0,high,"4,9,L04_C,G09_I,1;4,10,L04_C,G10_I,1;5,9,L05_C,G09_I,1;5,10,L05_C,G10_I,1"
llama,gemma,4,10,L04_C,G10_J,4,2,0.5,moderate,"4,9,L04_C,G09_B,1;4,10,L04_C,G10_J,1;5,9,L05_C,G09_B,0;5,10,L05_C,G10_J,0"
llama,gemma,4,10,L04_D,G10_C,4,4,1.0,high,"4,9,L04_D,G09_A,1;4,10,L04_D,G10_C,1;5,9,L05_E,G09_A,1;5,10,L05_E,G10_C,1"
llama,gemma,5,4,L05_A,G04_D,6,6,1.0,high,"4,4,L04_B,G04_D,1;4,5,L04_B,G05_E,1;5,4,L05_A,G04_D,1;5,5,L05_A,G05_E,1;6,4,L06_D,G04_D,1;6,5,L06_D,G05_E,1"
llama,gemma,5,4,L05_B,G04_A,6,6,1.0,high,"4,4,L04_A,G04_A,1;4,5,L04_A,G05_C,1;5,4,L05_B,G04_A,1;5,5,L05_B,G05_C,1;6,4,L06_A,G04_A,1;6,5,L06_A,G05_C,1"
llama,gemma,5,4,L05_C,G04_C,6,6,1.0,high,"4,4,L04_C,G04_C,1;4,5,L04_C,G05_D,1;5,4,L05_C,G04_C,1;5,5,L05_C,G05_D,1;6,4,L06_C,G04_C,1;6,5,L06_C,G05_D,1"
llama,gemma,5,4,L05_E,G04_B,6,6,1.0,high,"4,4,L04_D,G04_B,1;4,5,L04_D,G05_A,1;5,4,L05_E,G04_B,1;5,5,L05_E,G05_A,1;6,4,L06_F,G04_B,1;6,5,L06_F,G05_A,1"
llama,gemma,5,5,L05_A,G05_E,9,9,1.0,high,"4,4,L04_B,G04_D,1;4,5,L04_B,G05_E,1;4,6,L04_B,G06_F,1;5,4,L05_A,G04_D,1;5,5,L05_A,G05_E,1;5,6,L05_A,G06_F,1;6,4,L06_D,G04_D,1;6,5,L06_D,G05_E,1;6,6,L06_D,G06_F,1"
llama,gemma,5,5,L05_B,G05_C,9,9,1.0,high,"4,4,L04_A,G04_A,1;4,5,L04_A,G05_C,1;4,6,L04_A,G06_E,1;5,4,L05_B,G04_A,1;5,5,L05_B,G05_C,1;5,6,L05_B,G06_E,1;6,4,L06_A,G04_A,1;6,5,L06_A,G05_C,1;6,6,L06_A,G06_E,1"
llama,gemma,5,5,L05_C,G05_D,9,9,1.0,high,"4,4,L04_C,G04_C,1;4,5,L04_C,G05_D,1;4,6,L04_C,G06_D,1;5,4,L05_C,G04_C,1;5,5,L05_C,G05_D,1;5,6,L05_C,G06_D,1;6,4,L06_C,G04_C,1;6,5,L06_C,G05_D,1;6,6,L06_C,G06_D,1"
llama,gemma,5,5,L05_D,G05_B,9,5,0.5555555555555556,moderate,"4,4,L04_C,G04_C,1;4,5,L04_C,G05_B,0;4,6,L04_C,G06_B,0;5,4,L05_D,G04_C,0;5,5,L05_D,G05_B,1;5,6,L05_D,G06_B,1;6,4,L06_E,G04_C,0;6,5,L06_E,G05_B,1;6,6,L06_E,G06_B,1"
llama,gemma,5,5,L05_E,G05_A,9,9,1.0,high,"4,4,L04_D,G04_B,1;4,5,L04_D,G05_A,1;4,6,L04_D,G06_A,1;5,4,L05_E,G04_B,1;5,5,L05_E,G05_A,1;5,6,L05_E,G06_A,1;6,4,L06_F,G04_B,1;6,5,L06_F,G05_A,1;6,6,L06_F,G06_A,1"
llama,gemma,5,6,L05_A,G06_F,9,9,1.0,high,"4,5,L04_B,G05_E,1;4,6,L04_B,G06_F,1;4,7,L04_B,G07_A,1;5,5,L05_A,G05_E,1;5,6,L05_A,G06_F,1;5,7,L05_A,G07_A,1;6,5,L06_D,G05_E,1;6,6,L06_D,G06_F,1;6,7,L06_D,G07_A,1"
llama,gemma,5,6,L05_B,G06_E,9,9,1.0,high,"4,5,L04_A,G05_C,1;4,6,L04_A,G06_E,1;4,7,L04_A,G07_G,1;5,5,L05_B,G05_C,1;5,6,L05_B,G06_E,1;5,7,L05_B,G07_G,1;6,5,L06_A,G05_C,1;6,6,L06_A,G06_E,1;6,7,L06_A,G07_G,1"
llama,gemma,5,6,L05_C,G06_D,9,9,1.0,high,"4,5,L04_C,G05_D,1;4,6,L04_C,G06_D,1;4,7,L04_C,G07_E,1;5,5,L05_C,G05_D,1;5,6,L05_C,G06_D,1;5,7,L05_C,G07_E,1;6,5,L06_C,G05_D,1;6,6,L06_C,G06_D,1;6,7,L06_C,G07_E,1"
llama,gemma,5,6,L05_D,G06_B,9,6,0.6666666666666666,moderate,"4,5,L04_C,G05_B,0;4,6,L04_C,G06_B,0;4,7,L04_C,G07_C,0;5,5,L05_D,G05_B,1;5,6,L05_D,G06_B,1;5,7,L05_D,G07_C,1;6,5,L06_E,G05_B,1;6,6,L06_E,G06_B,1;6,7,L06_E,G07_C,1"
llama,gemma,5,6,L05_E,G06_A,9,9,1.0,high,"4,5,L04_D,G05_A,1;4,6,L04_D,G06_A,1;4,7,L04_D,G07_B,1;5,5,L05_E,G05_A,1;5,6,L05_E,G06_A,1;5,7,L05_E,G07_B,1;6,5,L06_F,G05_A,1;6,6,L06_F,G06_A,1;6,7,L06_F,G07_B,1"
llama,gemma,5,7,L05_A,G07_A,9,9,1.0,high,"4,6,L04_B,G06_F,1;4,7,L04_B,G07_A,1;4,8,L04_B,G08_D,1;5,6,L05_A,G06_F,1;5,7,L05_A,G07_A,1;5,8,L05_A,G08_D,1;6,6,L06_D,G06_F,1;6,7,L06_D,G07_A,1;6,8,L06_D,G08_D,1"
llama,gemma,5,7,L05_B,G07_G,9,9,1.0,high,"4,6,L04_A,G06_E,1;4,7,L04_A,G07_G,1;4,8,L04_A,G08_G,1;5,6,L05_B,G06_E,1;5,7,L05_B,G07_G,1;5,8,L05_B,G08_G,1;6,6,L06_A,G06_E,1;6,7,L06_A,G07_G,1;6,8,L06_A,G08_G,1"
llama,gemma,5,7,L05_C,G07_E,9,9,1.0,high,"4,6,L04_C,G06_D,1;4,7,L04_C,G07_E,1;4,8,L04_C,G08_A,1;5,6,L05_C,G06_D,1;5,7,L05_C,G07_E,1;5,8,L05_C,G08_A,1;6,6,L06_C,G06_D,1;6,7,L06_C,G07_E,1;6,8,L06_C,G08_A,1"
llama,gemma,5,7,L05_C,G07_F,9,7,0.7777777777777778,high,"4,6,L04_C,G06_D,1;4,7,L04_C,G07_F,1;4,8,L04_C,G08_F,1;5,6,L05_C,G06_D,1;5,7,L05_C,G07_F,1;5,8,L05_C,G08_F,1;6,6,L06_C,G06_D,1;6,7,L06_C,G07_F,0;6,8,L06_C,G08_F,0"
llama,gemma,5,7,L05_D,G07_C,9,6,0.6666666666666666,moderate,"4,6,L04_C,G06_B,0;4,7,L04_C,G07_C,0;4,8,L04_C,G08_H,0;5,6,L05_D,G06_B,1;5,7,L05_D,G07_C,1;5,8,L05_D,G08_H,1;6,6,L06_E,G06_B,1;6,7,L06_E,G07_C,1;6,8,L06_E,G08_H,1"
llama,gemma,5,7,L05_E,G07_B,9,9,1.0,high,"4,6,L04_D,G06_A,1;4,7,L04_D,G07_B,1;4,8,L04_D,G08_B,1;5,6,L05_E,G06_A,1;5,7,L05_E,G07_B,1;5,8,L05_E,G08_B,1;6,6,L06_F,G06_A,1;6,7,L06_F,G07_B,1;6,8,L06_F,G08_B,1"
llama,gemma,5,8,L05_A,G08_D,9,9,1.0,high,"4,7,L04_B,G07_A,1;4,8,L04_B,G08_D,1;4,9,L04_B,G09_E,1;5,7,L05_A,G07_A,1;5,8,L05_A,G08_D,1;5,9,L05_A,G09_E,1;6,7,L06_D,G07_A,1;6,8,L06_D,G08_D,1;6,9,L06_D,G09_E,1"
llama,gemma,5,8,L05_B,G08_C,9,8,0.8888888888888888,high,"4,7,L04_A,G07_G,1;4,8,L04_A,G08_C,1;4,9,L04_A,G09_C,1;5,7,L05_B,G07_G,1;5,8,L05_B,G08_C,1;5,9,L05_B,G09_C,1;6,7,L06_A,G07_G,1;6,8,L06_A,G08_C,0;6,9,L06_A,G09_C,1"
llama,gemma,5,8,L05_B,G08_G,9,8,0.8888888888888888,high,"4,7,L04_A,G07_G,1;4,8,L04_A,G08_G,1;4,9,L04_A,G09_G,1;5,7,L05_B,G07_G,1;5,8,L05_B,G08_G,1;5,9,L05_B,G09_G,1;6,7,L06_A,G07_G,1;6,8,L06_A,G08_G,1;6,9,L06_A,G09_G,0"
llama,gemma,5,8,L05_C,G08_A,9,9,1.0,high,"4,7,L04_C,G07_E,1;4,8,L04_C,G08_A,1;4,9,L04_C,G09_I,1;5,7,L05_C,G07_E,1;5,8,L05_C,G08_A,1;5,9,L05_C,G09_I,1;6,7,L06_C,G07_E,1;6,8,L06_C,G08_A,1;6,9,L06_C,G09_I,1"
llama,gemma,5,8,L05_C,G08_F,9,6,0.6666666666666666,moderate,"4,7,L04_C,G07_F,1;4,8,L04_C,G08_F,1;4,9,L04_C,G09_H,1;5,7,L05_C,G07_F,1;5,8,L05_C,G08_F,1;5,9,L05_C,G09_H,1;6,7,L06_C,G07_F,0;6,8,L06_C,G08_F,0;6,9,L06_C,G09_H,0"
llama,gemma,5,8,L05_D,G08_H,9,6,0.6666666666666666,moderate,"4,7,L04_C,G07_C,0;4,8,L04_C,G08_H,0;4,9,L04_C,G09_F,0;5,7,L05_D,G07_C,1;5,8,L05_D,G08_H,1;5,9,L05_D,G09_F,1;6,7,L06_E,G07_C,1;6,8,L06_E,G08_H,1;6,9,L06_E,G09_F,1"
llama,gemma,5,8,L05_E,G08_B,9,9,1.0,high,"4,7,L04_D,G07_B,1;4,8,L04_D,G08_B,1;4,9,L04_D,G09_A,1;5,7,L05_E,G07_B,1;5,8,L05_E,G08_B,1;5,9,L05_E,G09_A,1;6,7,L06_F,G07_B,1;6,8,L06_F,G08_B,1;6,9,L06_F,G09_A,1"
llama,gemma,5,9,L05_A,G09_E,9,9,1.0,high,"4,8,L04_B,G08_D,1;4,9,L04_B,G09_E,1;4,10,L04_B,G10_A,1;5,8,L05_A,G08_D,1;5,9,L05_A,G09_E,1;5,10,L05_A,G10_A,1;6,8,L06_D,G08_D,1;6,9,L06_D,G09_E,1;6,10,L06_D,G10_A,1"
llama,gemma,5,9,L05_B,G09_C,9,8,0.8888888888888888,high,"4,8,L04_A,G08_C,1;4,9,L04_A,G09_C,1;4,10,L04_A,G10_B,1;5,8,L05_B,G08_C,1;5,9,L05_B,G09_C,1;5,10,L05_B,G10_B,1;6,8,L06_A,G08_C,0;6,9,L06_A,G09_C,1;6,10,L06_A,G10_B,1"
llama,gemma,5,9,L05_B,G09_G,9,8,0.8888888888888888,high,"4,8,L04_A,G08_G,1;4,9,L04_A,G09_G,1;4,10,L04_A,G10_G,1;5,8,L05_B,G08_G,1;5,9,L05_B,G09_G,1;5,10,L05_B,G10_G,1;6,8,L06_A,G08_G,1;6,9,L06_A,G09_G,0;6,10,L06_A,G10_G,1"
llama,gemma,5,9,L05_C,G09_H,9,6,0.6666666666666666,moderate,"4,8,L04_C,G08_F,1;4,9,L04_C,G09_H,1;4,10,L04_C,G10_F,1;5,8,L05_C,G08_F,1;5,9,L05_C,G09_H,1;5,10,L05_C,G10_F,1;6,8,L06_C,G08_F,0;6,9,L06_C,G09_H,0;6,10,L06_C,G10_F,0"
llama,gemma,5,9,L05_C,G09_I,9,8,0.8888888888888888,high,"4,8,L04_C,G08_A,1;4,9,L04_C,G09_I,1;4,10,L04_C,G10_H,1;5,8,L05_C,G08_A,1;5,9,L05_C,G09_I,1;5,10,L05_C,G10_H,0;6,8,L06_C,G08_A,1;6,9,L06_C,G09_I,1;6,10,L06_C,G10_H,1"
llama,gemma,5,9,L05_D,G09_F,9,4,0.4444444444444444,isolated,"4,8,L04_C,G08_H,0;4,9,L04_C,G09_F,0;4,10,L04_C,G10_E,0;5,8,L05_D,G08_H,1;5,9,L05_D,G09_F,1;5,10,L05_D,G10_E,0;6,8,L06_E,G08_H,1;6,9,L06_E,G09_F,1;6,10,L06_E,G10_E,0"
llama,gemma,5,9,L05_E,G09_A,9,9,1.0,high,"4,8,L04_D,G08_B,1;4,9,L04_D,G09_A,1;4,10,L04_D,G10_C,1;5,8,L05_E,G08_B,1;5,9,L05_E,G09_A,1;5,10,L05_E,G10_C,1;6,8,L06_F,G08_B,1;6,9,L06_F,G09_A,1;6,10,L06_F,G10_C,1"
llama,gemma,5,10,L05_A,G10_A,6,6,1.0,high,"4,9,L04_B,G09_E,1;4,10,L04_B,G10_A,1;5,9,L05_A,G09_E,1;5,10,L05_A,G10_A,1;6,9,L06_D,G09_E,1;6,10,L06_D,G10_A,1"
llama,gemma,5,10,L05_B,G10_B,6,6,1.0,high,"4,9,L04_A,G09_C,1;4,10,L04_A,G10_B,1;5,9,L05_B,G09_C,1;5,10,L05_B,G10_B,1;6,9,L06_A,G09_C,1;6,10,L06_A,G10_B,1"
llama,gemma,5,10,L05_B,G10_G,6,5,0.8333333333333334,high,"4,9,L04_A,G09_G,1;4,10,L04_A,G10_G,1;5,9,L05_B,G09_G,1;5,10,L05_B,G10_G,1;6,9,L06_A,G09_G,0;6,10,L06_A,G10_G,1"
llama,gemma,5,10,L05_C,G10_F,6,4,0.6666666666666666,moderate,"4,9,L04_C,G09_H,1;4,10,L04_C,G10_F,1;5,9,L05_C,G09_H,1;5,10,L05_C,G10_F,1;6,9,L06_C,G09_H,0;6,10,L06_C,G10_F,0"
llama,gemma,5,10,L05_C,G10_I,6,6,1.0,high,"4,9,L04_C,G09_I,1;4,10,L04_C,G10_I,1;5,9,L05_C,G09_I,1;5,10,L05_C,G10_I,1;6,9,L06_C,G09_I,1;6,10,L06_C,G10_I,1"
llama,gemma,5,10,L05_E,G10_C,6,6,1.0,high,"4,9,L04_D,G09_A,1;4,10,L04_D,G10_C,1;5,9,L05_E,G09_A,1;5,10,L05_E,G10_C,1;6,9,L06_F,G09_A,1;6,10,L06_F,G10_C,1"
llama,gemma,6,4,L06_A,G04_A,6,6,1.0,high,"5,4,L05_B,G04_A,1;5,5,L05_B,G05_C,1;6,4,L06_A,G04_A,1;6,5,L06_A,G05_C,1;7,4,L07_F,G04_A,1;7,5,L07_F,G05_C,1"
llama,gemma,6,4,L06_B,G04_C,6,5,0.8333333333333334,high,"5,4,L05_C,G04_C,1;5,5,L05_C,G05_D,1;6,4,L06_B,G04_C,1;6,5,L06_B,G05_D,0;7,4,L07_E,G04_C,1;7,5,L07_E,G05_D,1"
llama,gemma,6,4,L06_C,G04_C,6,6,1.0,high,"5,4,L05_C,G04_C,1;5,5,L05_C,G05_D,1;6,4,L06_C,G04_C,1;6,5,L06_C,G05_D,1;7,4,L07_B,G04_C,1;7,5,L07_B,G05_D,1"
llama,gemma,6,4,L06_D,G04_D,6,6,1.0,high,"5,4,L05_A,G04_D,1;5,5,L05_A,G05_E,1;6,4,L06_D,G04_D,1;6,5,L06_D,G05_E,1;7,4,L07_C,G04_D,1;7,5,L07_C,G05_E,1"
llama,gemma,6,4,L06_F,G04_B,6,6,1.0,high,"5,4,L05_E,G04_B,1;5,5,L05_E,G05_A,1;6,4,L06_F,G04_B,1;6,5,L06_F,G05_A,1;7,4,L07_G,G04_B,1;7,5,L07_G,G05_A,1"
llama,gemma,6,5,L06_A,G05_C,9,9,1.0,high,"5,4,L05_B,G04_A,1;5,5,L05_B,G05_C,1;5,6,L05_B,G06_E,1;6,4,L06_A,G04_A,1;6,5,L06_A,G05_C,1;6,6,L06_A,G06_E,1;7,4,L07_F,G04_A,1;7,5,L07_F,G05_C,1;7,6,L07_F,G06_E,1"
llama,gemma,6,5,L06_C,G05_D,9,9,1.0,high,"5,4,L05_C,G04_C,1;5,5,L05_C,G05_D,1;5,6,L05_C,G06_D,1;6,4,L06_C,G04_C,1;6,5,L06_C,G05_D,1;6,6,L06_C,G06_D,1;7,4,L07_B,G04_C,1;7,5,L07_B,G05_D,1;7,6,L07_B,G06_D,1"
llama,gemma,6,5,L06_D,G05_E,9,9,1.0,high,"5,4,L05_A,G04_D,1;5,5,L05_A,G05_E,1;5,6,L05_A,G06_F,1;6,4,L06_D,G04_D,1;6,5,L06_D,G05_E,1;6,6,L06_D,G06_F,1;7,4,L07_C,G04_D,1;7,5,L07_C,G05_E,1;7,6,L07_C,G06_F,1"
llama,gemma,6,5,L06_E,G05_B,9,6,0.6666666666666666,moderate,"5,4,L05_D,G04_C,0;5,5,L05_D,G05_B,1;5,6,L05_D,G06_B,1;6,4,L06_E,G04_C,0;6,5,L06_E,G05_B,1;6,6,L06_E,G06_B,1;7,4,L07_A,G04_C,0;7,5,L07_A,G05_B,1;7,6,L07_A,G06_B,1"
llama,gemma,6,5,L06_F,G05_A,9,9,1.0,high,"5,4,L05_E,G04_B,1;5,5,L05_E,G05_A,1;5,6,L05_E,G06_A,1;6,4,L06_F,G04_B,1;6,5,L06_F,G05_A,1;6,6,L06_F,G06_A,1;7,4,L07_G,G04_B,1;7,5,L07_G,G05_A,1;7,6,L07_G,G06_A,1"
llama,gemma,6,6,L06_A,G06_E,9,9,1.0,high,"5,5,L05_B,G05_C,1;5,6,L05_B,G06_E,1;5,7,L05_B,G07_G,1;6,5,L06_A,G05_C,1;6,6,L06_A,G06_E,1;6,7,L06_A,G07_G,1;7,5,L07_F,G05_C,1;7,6,L07_F,G06_E,1;7,7,L07_F,G07_G,1"
