model_a,model_b,K_a,K_b,profile_a,profile_b,size_a,size_b,intersection_count,union_count,jaccard,overlap_coefficient,p_b_given_a,p_a_given_b,expected_overlap,enrichment_ratio,hypergeom_p,hypergeom_q,strong_edge,valid_neighborhood_cells,supported_neighborhood_cells,persistence_score,persistence_tier,neighborhood_trace
llama,gemma,4,6,L04_C,G06_C,63,22,19,66,0.2878787878787879,0.8636363636363636,0.30158730158730157,0.8636363636363636,5.04,3.7698412698412698,5.702682028841484e-11,3.4216092173048903e-10,True,6,4,0.6666666666666666,moderate,"4,5,L04_C,G05_D,1;4,6,L04_C,G06_C,1;4,7,L04_C,G07_D,1;5,5,L05_C,G05_D,1;5,6,L05_C,G06_C,0;5,7,L05_C,G07_D,0"
llama,gemma,4,6,L04_C,G06_D,63,29,26,66,0.3939393939393939,0.896551724137931,0.4126984126984127,0.896551724137931,6.643636363636364,3.91351943076081,4.2318527272718163e-16,3.385482181817453e-15,True,6,6,1.0,high,"4,5,L04_C,G05_D,1;4,6,L04_C,G06_D,1;4,7,L04_C,G07_E,1;5,5,L05_C,G05_D,1;5,6,L05_C,G06_D,1;5,7,L05_C,G07_E,1"
llama,gemma,4,6,L04_D,G06_A,3,4,3,4,0.75,1.0,1.0,0.75,0.04363636363636364,68.75,1.1667164951836484e-06,5.600239176881512e-06,True,6,6,1.0,high,"4,5,L04_D,G05_A,1;4,6,L04_D,G06_A,1;4,7,L04_D,G07_B,1;5,5,L05_E,G05_A,1;5,6,L05_E,G06_A,1;5,7,L05_E,G07_B,1"
llama,gemma,4,7,L04_A,G07_G,57,49,49,57,0.8596491228070176,1.0,0.8596491228070176,1.0,10.156363636363636,4.824561403508772,2.8319496909082386e-46,7.929459134543068e-45,True,6,6,1.0,high,"4,6,L04_A,G06_E,1;4,7,L04_A,G07_G,1;4,8,L04_A,G08_G,1;5,6,L05_B,G06_E,1;5,7,L05_B,G07_G,1;5,8,L05_B,G08_G,1"
llama,gemma,4,7,L04_B,G07_A,152,98,98,152,0.6447368421052632,1.0,0.6447368421052632,1.0,54.167272727272724,1.8092105263157896,1.9698159313430795e-35,2.757742303880311e-34,True,6,6,1.0,high,"4,6,L04_B,G06_F,1;4,7,L04_B,G07_A,1;4,8,L04_B,G08_D,1;5,6,L05_A,G06_F,1;5,7,L05_A,G07_A,1;5,8,L05_A,G08_D,1"
llama,gemma,4,7,L04_B,G07_C,152,54,46,160,0.2875,0.8518518518518519,0.3026315789473684,0.8518518518518519,29.847272727272728,1.5411793372319689,2.909881066624725e-07,1.357944497758205e-06,True,6,1,0.16666666666666666,isolated,"4,6,L04_B,G06_B,0;4,7,L04_B,G07_C,1;4,8,L04_B,G08_H,0;5,6,L05_A,G06_B,0;5,7,L05_A,G07_C,0;5,8,L05_A,G08_H,0"
llama,gemma,4,7,L04_C,G07_D,63,26,19,70,0.2714285714285714,0.7307692307692307,0.30158730158730157,0.7307692307692307,5.956363636363636,3.18986568986569,1.180458902235716e-08,6.61056985252001e-08,True,6,3,0.5,moderate,"4,6,L04_C,G06_C,1;4,7,L04_C,G07_D,1;4,8,L04_C,G08_E,1;5,6,L05_C,G06_C,0;5,7,L05_C,G07_D,0;5,8,L05_C,G08_E,0"
llama,gemma,4,7,L04_C,G07_E,63,23,18,68,0.2647058823529412,0.782608695652174,0.2857142857142857,0.782608695652174,5.2690909090909095,3.416149068322981,4.88393246596925e-09,3.418752726178475e-08,True,6,6,1.0,high,"4,6,L04_C,G06_D,1;4,7,L04_C,G07_E,1;4,8,L04_C,G08_A,1;5,6,L05_C,G06_D,1;5,7,L05_C,G07_E,1;5,8,L05_C,G08_A,1"
llama,gemma,4,7,L04_C,G07_F,63,21,21,63,0.3333333333333333,1.0,0.3333333333333333,1.0,4.810909090909091,4.365079365079366,1.8355974184806e-15,1.71322425724856e-14,True,6,6,1.0,high,"4,6,L04_C,G06_D,1;4,7,L04_C,G07_F,1;4,8,L04_C,G08_F,1;5,6,L05_C,G06_D,1;5,7,L05_C,G07_F,1;5,8,L05_C,G08_F,1"
llama,gemma,4,7,L04_D,G07_B,3,4,3,4,0.75,1.0,1.0,0.75,0.04363636363636364,68.75,1.1667164951836484e-06,4.6668659807345936e-06,True,6,6,1.0,high,"4,6,L04_D,G06_A,1;4,7,L04_D,G07_B,1;4,8,L04_D,G08_B,1;5,6,L05_E,G06_A,1;5,7,L05_E,G07_B,1;5,8,L05_E,G08_B,1"
llama,gemma,4,8,L04_A,G08_C,57,32,24,65,0.36923076923076925,0.75,0.42105263157894735,0.75,6.632727272727273,3.6184210526315788,1.3204195323988067e-12,1.0563356259190454e-11,True,6,6,1.0,high,"4,7,L04_A,G07_G,1;4,8,L04_A,G08_C,1;4,9,L04_A,G09_C,1;5,7,L05_B,G07_G,1;5,8,L05_B,G08_C,1;5,9,L05_B,G09_C,1"
llama,gemma,4,8,L04_A,G08_G,57,35,31,61,0.5081967213114754,0.8857142857142857,0.543859649122807,0.8857142857142857,7.254545454545455,4.273182957393484,4.725953688290043e-21,7.561525901264069e-20,True,6,6,1.0,high,"4,7,L04_A,G07_G,1;4,8,L04_A,G08_G,1;4,9,L04_A,G09_G,1;5,7,L05_B,G07_G,1;5,8,L05_B,G08_G,1;5,9,L05_B,G09_G,1"
llama,gemma,4,8,L04_B,G08_D,152,109,109,152,0.7171052631578947,1.0,0.7171052631578947,1.0,60.24727272727273,1.8092105263157894,1.934602416539938e-41,6.190727732927801e-40,True,6,6,1.0,high,"4,7,L04_B,G07_A,1;4,8,L04_B,G08_D,1;4,9,L04_B,G09_E,1;5,7,L05_A,G07_A,1;5,8,L05_A,G08_D,1;5,9,L05_A,G09_E,1"
llama,gemma,4,8,L04_C,G08_A,63,10,9,64,0.140625,0.9,0.14285714285714285,0.9,2.290909090909091,3.9285714285714284,8.907392848101281e-06,4.75060951898735e-05,True,6,6,1.0,high,"4,7,L04_C,G07_E,1;4,8,L04_C,G08_A,1;4,9,L04_C,G09_I,1;5,7,L05_C,G07_E,1;5,8,L05_C,G08_A,1;5,9,L05_C,G09_I,1"
llama,gemma,4,8,L04_C,G08_E,63,17,12,68,0.17647058823529413,0.7058823529411765,0.19047619047619047,0.7058823529411765,3.8945454545454545,3.081232492997199,2.0024061918528464e-05,9.153856877041583e-05,True,6,3,0.5,moderate,"4,7,L04_C,G07_D,1;4,8,L04_C,G08_E,1;4,9,L04_C,G09_B,1;5,7,L05_C,G07_D,0;5,8,L05_C,G08_E,0;5,9,L05_C,G09_B,0"
llama,gemma,4,8,L04_C,G08_F,63,23,21,65,0.3230769230769231,0.9130434782608695,0.3333333333333333,0.9130434782608695,5.2690909090909095,3.985507246376811,3.291664175923419e-13,3.5111084543183136e-12,True,6,6,1.0,high,"4,7,L04_C,G07_F,1;4,8,L04_C,G08_F,1;4,9,L04_C,G09_H,1;5,7,L05_C,G07_F,1;5,8,L05_C,G08_F,1;5,9,L05_C,G09_H,1"
llama,gemma,4,8,L04_D,G08_B,3,4,3,4,0.75,1.0,1.0,0.75,0.04363636363636364,68.75,1.1667164951836484e-06,7.46698556917535e-06,True,6,6,1.0,high,"4,7,L04_D,G07_B,1;4,8,L04_D,G08_B,1;4,9,L04_D,G09_A,1;5,7,L05_E,G07_B,1;5,8,L05_E,G08_B,1;5,9,L05_E,G09_A,1"
llama,gemma,4,9,L04_A,G09_C,57,41,36,62,0.5806451612903226,0.8780487804878049,0.631578947368421,0.8780487804878049,8.498181818181818,4.2362002567394095,6.355796411872928e-25,1.144043354137127e-23,True,6,6,1.0,high,"4,8,L04_A,G08_C,1;4,9,L04_A,G09_C,1;4,10,L04_A,G10_B,1;5,8,L05_B,G08_C,1;5,9,L05_B,G09_C,1;5,10,L05_B,G10_B,1"
llama,gemma,4,9,L04_A,G09_G,57,22,19,60,0.31666666666666665,0.8636363636363636,0.3333333333333333,0.8636363636363636,4.56,4.166666666666667,6.411998642939168e-12,7.694398371527002e-11,True,6,6,1.0,high,"4,8,L04_A,G08_G,1;4,9,L04_A,G09_G,1;4,10,L04_A,G10_G,1;5,8,L05_B,G08_G,1;5,9,L05_B,G09_G,1;5,10,L05_B,G10_G,1"
llama,gemma,4,9,L04_B,G09_E,152,106,106,152,0.6973684210526315,1.0,0.6973684210526315,1.0,58.589090909090906,1.8092105263157896,1.0071198630146158e-39,3.625631506852617e-38,True,6,6,1.0,high,"4,8,L04_B,G08_D,1;4,9,L04_B,G09_E,1;4,10,L04_B,G10_A,1;5,8,L05_A,G08_D,1;5,9,L05_A,G09_E,1;5,10,L05_A,G10_A,1"
llama,gemma,4,9,L04_B,G09_F,152,48,37,163,0.22699386503067484,0.7708333333333334,0.24342105263157895,0.7708333333333334,26.53090909090909,1.3945997807017543,0.000554180338656496,0.002493811523954232,True,6,2,0.3333333333333333,isolated,"4,8,L04_B,G08_H,0;4,9,L04_B,G09_F,1;4,10,L04_B,G10_E,1;5,8,L05_A,G08_H,0;5,9,L05_A,G09_F,0;5,10,L05_A,G10_E,0"
llama,gemma,4,9,L04_C,G09_B,63,16,14,65,0.2153846153846154,0.875,0.2222222222222222,0.875,3.6654545454545455,3.819444444444444,2.6315461120839175e-08,1.5789276672503505e-07,True,6,3,0.5,moderate,"4,8,L04_C,G08_E,1;4,9,L04_C,G09_B,1;4,10,L04_C,G10_J,1;5,8,L05_C,G08_E,0;5,9,L05_C,G09_B,0;5,10,L05_C,G10_J,0"
llama,gemma,4,9,L04_C,G09_H,63,19,17,65,0.26153846153846155,0.8947368421052632,0.2698412698412698,0.8947368421052632,4.352727272727273,3.9055973266499584,2.397672747307688e-10,1.7263243780615353e-09,True,6,6,1.0,high,"4,8,L04_C,G08_F,1;4,9,L04_C,G09_H,1;4,10,L04_C,G10_F,1;5,8,L05_C,G08_F,1;5,9,L05_C,G09_H,1;5,10,L05_C,G10_F,1"
llama,gemma,4,9,L04_C,G09_I,63,19,17,65,0.26153846153846155,0.8947368421052632,0.2698412698412698,0.8947368421052632,4.352727272727273,3.9055973266499584,2.397672747307688e-10,1.7263243780615353e-09,True,6,5,0.8333333333333334,high,"4,8,L04_C,G08_A,1;4,9,L04_C,G09_I,1;4,10,L04_C,G10_H,1;5,8,L05_C,G08_A,1;5,9,L05_C,G09_I,1;5,10,L05_C,G10_H,0"
llama,gemma,4,9,L04_D,G09_A,3,3,2,4,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.03272727272727273,61.11111111111111,0.00023830184414126013,0.0012255523412979092,True,6,6,1.0,high,"4,8,L04_D,G08_B,1;4,9,L04_D,G09_A,1;4,10,L04_D,G10_C,1;5,8,L05_E,G08_B,1;5,9,L05_E,G09_A,1;5,10,L05_E,G10_C,1"
llama,gemma,4,10,L04_A,G10_B,57,40,32,65,0.49230769230769234,0.8,0.5614035087719298,0.8,8.290909090909091,3.8596491228070176,4.886336039846631e-19,9.77267207969326e-18,True,4,4,1.0,high,"4,9,L04_A,G09_C,1;4,10,L04_A,G10_B,1;5,9,L05_B,G09_C,1;5,10,L05_B,G10_B,1"
llama,gemma,4,10,L04_A,G10_G,57,22,21,58,0.3620689655172414,0.9545454545454546,0.3684210526315789,0.9545454545454546,4.56,4.605263157894737,2.6960030789377837e-15,3.5946707719170447e-14,True,4,4,1.0,high,"4,9,L04_A,G09_G,1;4,10,L04_A,G10_G,1;5,9,L05_B,G09_G,1;5,10,L05_B,G10_G,1"
llama,gemma,4,10,L04_B,G10_A,152,90,90,152,0.5921052631578947,1.0,0.5921052631578947,1.0,49.74545454545454,1.8092105263157896,1.700526623706315e-31,6.80210649482526e-30,True,4,4,1.0,high,"4,9,L04_B,G09_E,1;4,10,L04_B,G10_A,1;5,9,L05_A,G09_E,1;5,10,L05_A,G10_A,1"
llama,gemma,4,10,L04_B,G10_E,152,52,46,158,0.2911392405063291,0.8846153846153846,0.3026315789473684,0.8846153846153846,28.741818181818182,1.6004554655870444,1.984689562485046e-08,1.4079633198971265e-07,True,4,2,0.5,moderate,"4,9,L04_B,G09_F,1;4,10,L04_B,G10_E,1;5,9,L05_A,G09_F,0;5,10,L05_A,G10_E,0"
llama,gemma,4,10,L04_C,G10_F,63,13,13,63,0.20634920634920634,1.0,0.20634920634920634,1.0,2.978181818181818,4.365079365079366,1.6901632982261332e-09,1.690163298226133e-08,True,4,4,1.0,high,"4,9,L04_C,G09_H,1;4,10,L04_C,G10_F,1;5,9,L05_C,G09_H,1;5,10,L05_C,G10_F,1"
llama,gemma,4,10,L04_C,G10_H,63,26,17,72,0.2361111111111111,0.6538461538461539,0.2698412698412698,0.6538461538461539,5.956363636363636,2.854090354090354,1.1796072133386994e-06,6.740612647649711e-06,True,4,3,0.75,high,"4,9,L04_C,G09_I,1;4,10,L04_C,G10_H,1;5,9,L05_C,G09_I,1;5,10,L05_C,G10_H,0"
llama,gemma,4,10,L04_C,G10_I,63,7,7,63,0.1111111111111111,1.0,0.1111111111111111,1.0,1.6036363636363635,4.365079365079366,2.5320253094705975e-05,0.00012660126547352988,True,4,4,1.0,high,"4,9,L04_C,G09_I,1;4,10,L04_C,G10_I,1;5,9,L05_C,G09_I,1;5,10,L05_C,G10_I,1"
llama,gemma,4,10,L04_C,G10_J,63,22,17,68,0.25,0.7727272727272727,0.2698412698412698,0.7727272727272727,5.04,3.373015873015873,2.1119449798456898e-08,1.4079633198971265e-07,True,4,2,0.5,moderate,"4,9,L04_C,G09_B,1;4,10,L04_C,G10_J,1;5,9,L05_C,G09_B,0;5,10,L05_C,G10_J,0"
llama,gemma,4,10,L04_D,G10_C,3,2,2,3,0.6666666666666666,1.0,0.6666666666666666,1.0,0.02181818181818182,91.66666666666666,7.9628400796284e-05,0.00035390400353904,True,4,4,1.0,high,"4,9,L04_D,G09_A,1;4,10,L04_D,G10_C,1;5,9,L05_E,G09_A,1;5,10,L05_E,G10_C,1"
llama,gemma,5,4,L05_A,G04_D,120,136,114,142,0.8028169014084507,0.95,0.95,0.8382352941176471,59.345454545454544,1.9209558823529411,3.676232731366133e-46,7.352465462732266e-45,True,6,6,1.0,high,"4,4,L04_B,G04_D,1;4,5,L04_B,G05_E,1;5,4,L05_A,G04_D,1;5,5,L05_A,G05_E,1;6,4,L06_D,G04_D,1;6,5,L06_D,G05_E,1"
llama,gemma,5,4,L05_B,G04_A,47,68,46,69,0.6666666666666666,0.9787234042553191,0.9787234042553191,0.6764705882352942,11.621818181818181,3.958072590738423,3.1373548095587765e-34,3.1373548095587765e-33,True,6,6,1.0,high,"4,4,L04_A,G04_A,1;4,5,L04_A,G05_C,1;5,4,L05_B,G04_A,1;5,5,L05_B,G05_C,1;6,4,L06_A,G04_A,1;6,5,L06_A,G05_C,1"
llama,gemma,5,4,L05_C,G04_C,42,67,39,70,0.5571428571428572,0.9285714285714286,0.9285714285714286,0.582089552238806,10.232727272727272,3.8113006396588487,1.1801199647904576e-25,7.867466431936385e-25,True,6,6,1.0,high,"4,4,L04_C,G04_C,1;4,5,L04_C,G05_D,1;5,4,L05_C,G04_C,1;5,5,L05_C,G05_D,1;6,4,L06_C,G04_C,1;6,5,L06_C,G05_D,1"
llama,gemma,5,4,L05_E,G04_B,3,4,3,4,0.75,1.0,1.0,0.75,0.04363636363636364,68.75,1.1667164951836484e-06,5.833582475918242e-06,True,6,6,1.0,high,"4,4,L04_D,G04_B,1;4,5,L04_D,G05_A,1;5,4,L05_E,G04_B,1;5,5,L05_E,G05_A,1;6,4,L06_F,G04_B,1;6,5,L06_F,G05_A,1"
llama,gemma,5,5,L05_A,G05_E,120,109,103,126,0.8174603174603174,0.944954128440367,0.8583333333333333,0.944954128440367,47.56363636363636,2.165519877675841,4.296156837595888e-49,1.0740392093989719e-47,True,9,9,1.0,high,"4,4,L04_B,G04_D,1;4,5,L04_B,G05_E,1;4,6,L04_B,G06_F,1;5,4,L05_A,G04_D,1;5,5,L05_A,G05_E,1;5,6,L05_A,G06_F,1;6,4,L06_D,G04_D,1;6,5,L06_D,G05_E,1;6,6,L06_D,G06_F,1"
llama,gemma,5,5,L05_B,G05_C,47,53,45,55,0.8181818181818182,0.9574468085106383,0.9574468085106383,0.8490566037735849,9.058181818181819,4.967884383781613,8.212611774227141e-41,1.0265764717783927e-39,True,9,9,1.0,high,"4,4,L04_A,G04_A,1;4,5,L04_A,G05_C,1;4,6,L04_A,G06_E,1;5,4,L05_B,G04_A,1;5,5,L05_B,G05_C,1;5,6,L05_B,G06_E,1;6,4,L06_A,G04_A,1;6,5,L06_A,G05_C,1;6,6,L06_A,G06_E,1"
llama,gemma,5,5,L05_C,G05_D,42,40,34,48,0.7083333333333334,0.85,0.8095238095238095,0.85,6.109090909090909,5.56547619047619,1.0641462771592757e-29,8.867885642993964e-29,True,9,9,1.0,high,"4,4,L04_C,G04_C,1;4,5,L04_C,G05_D,1;4,6,L04_C,G06_D,1;5,4,L05_C,G04_C,1;5,5,L05_C,G05_D,1;5,6,L05_C,G06_D,1;6,4,L06_C,G04_C,1;6,5,L06_C,G05_D,1;6,6,L06_C,G06_D,1"
llama,gemma,5,5,L05_D,G05_B,63,69,47,85,0.5529411764705883,0.746031746031746,0.746031746031746,0.6811594202898551,15.807272727272727,2.9733149298366692,1.572186676399601e-22,9.826166727497506e-22,True,9,5,0.5555555555555556,moderate,"4,4,L04_C,G04_C,1;4,5,L04_C,G05_B,0;4,6,L04_C,G06_B,0;5,4,L05_D,G04_C,0;5,5,L05_D,G05_B,1;5,6,L05_D,G06_B,1;6,4,L06_E,G04_C,0;6,5,L06_E,G05_B,1;6,6,L06_E,G06_B,1"
llama,gemma,5,5,L05_E,G05_A,3,4,3,4,0.75,1.0,1.0,0.75,0.04363636363636364,68.75,1.1667164951836484e-06,5.833582475918242e-06,True,9,9,1.0,high,"4,4,L04_D,G04_B,1;4,5,L04_D,G05_A,1;4,6,L04_D,G06_A,1;5,4,L05_E,G04_B,1;5,5,L05_E,G05_A,1;5,6,L05_E,G06_A,1;6,4,L06_F,G04_B,1;6,5,L06_F,G05_A,1;6,6,L06_F,G06_A,1"
llama,gemma,5,6,L05_A,G06_F,120,112,105,127,0.8267716535433071,0.9375,0.875,0.9375,48.872727272727275,2.1484375,6.9352243029815955e-50,2.0805672908944786e-48,True,9,9,1.0,high,"4,5,L04_B,G05_E,1;4,6,L04_B,G06_F,1;4,7,L04_B,G07_A,1;5,5,L05_A,G05_E,1;5,6,L05_A,G06_F,1;5,7,L05_A,G07_A,1;6,5,L06_D,G05_E,1;6,6,L06_D,G06_F,1;6,7,L06_D,G07_A,1"
llama,gemma,5,6,L05_B,G06_E,47,49,44,52,0.8461538461538461,0.9361702127659575,0.9361702127659575,0.8979591836734694,8.374545454545455,5.254016500217108,1.3672533890387657e-41,2.0508800835581487e-40,True,9,9,1.0,high,"4,5,L04_A,G05_C,1;4,6,L04_A,G06_E,1;4,7,L04_A,G07_G,1;5,5,L05_B,G05_C,1;5,6,L05_B,G06_E,1;5,7,L05_B,G07_G,1;6,5,L06_A,G05_C,1;6,6,L06_A,G06_E,1;6,7,L06_A,G07_G,1"
llama,gemma,5,6,L05_C,G06_D,42,29,24,47,0.5106382978723404,0.8275862068965517,0.5714285714285714,0.8275862068965517,4.429090909090909,5.41871921182266,1.4613753895915275e-18,1.0960315421936457e-17,True,9,9,1.0,high,"4,5,L04_C,G05_D,1;4,6,L04_C,G06_D,1;4,7,L04_C,G07_E,1;5,5,L05_C,G05_D,1;5,6,L05_C,G06_D,1;5,7,L05_C,G07_E,1;6,5,L06_C,G05_D,1;6,6,L06_C,G06_D,1;6,7,L06_C,G07_E,1"
llama,gemma,5,6,L05_D,G06_B,63,59,42,80,0.525,0.711864406779661,0.6666666666666666,0.711864406779661,13.516363636363636,3.1073446327683616,2.0367267723177756e-20,2.0367267723177755e-19,True,9,6,0.6666666666666666,moderate,"4,5,L04_C,G05_B,0;4,6,L04_C,G06_B,0;4,7,L04_C,G07_C,0;5,5,L05_D,G05_B,1;5,6,L05_D,G06_B,1;5,7,L05_D,G07_C,1;6,5,L06_E,G05_B,1;6,6,L06_E,G06_B,1;6,7,L06_E,G07_C,1"
llama,gemma,5,6,L05_E,G06_A,3,4,3,4,0.75,1.0,1.0,0.75,0.04363636363636364,68.75,1.1667164951836484e-06,5.833582475918243e-06,True,9,9,1.0,high,"4,5,L04_D,G05_A,1;4,6,L04_D,G06_A,1;4,7,L04_D,G07_B,1;5,5,L05_E,G05_A,1;5,6,L05_E,G06_A,1;5,7,L05_E,G07_B,1;6,5,L06_F,G05_A,1;6,6,L06_F,G06_A,1;6,7,L06_F,G07_B,1"
llama,gemma,5,7,L05_A,G07_A,120,98,96,122,0.7868852459016393,0.9795918367346939,0.8,0.9795918367346939,42.763636363636365,2.2448979591836733,4.255332602747376e-48,1.4893664109615815e-46,True,9,9,1.0,high,"4,6,L04_B,G06_F,1;4,7,L04_B,G07_A,1;4,8,L04_B,G08_D,1;5,6,L05_A,G06_F,1;5,7,L05_A,G07_A,1;5,8,L05_A,G08_D,1;6,6,L06_D,G06_F,1;6,7,L06_D,G07_A,1;6,8,L06_D,G08_D,1"
llama,gemma,5,7,L05_B,G07_G,47,49,44,52,0.8461538461538461,0.9361702127659575,0.9361702127659575,0.8979591836734694,8.374545454545455,5.254016500217108,1.3672533890387657e-41,2.39269343081784e-40,True,9,9,1.0,high,"4,6,L04_A,G06_E,1;4,7,L04_A,G07_G,1;4,8,L04_A,G08_G,1;5,6,L05_B,G06_E,1;5,7,L05_B,G07_G,1;5,8,L05_B,G08_G,1;6,6,L06_A,G06_E,1;6,7,L06_A,G07_G,1;6,8,L06_A,G08_G,1"
llama,gemma,5,7,L05_C,G07_E,42,23,16,49,0.32653061224489793,0.6956521739130435,0.38095238095238093,0.6956521739130435,3.5127272727272727,4.554865424430642,6.173001234643133e-10,4.321100864250193e-09,True,9,9,1.0,high,"4,6,L04_C,G06_D,1;4,7,L04_C,G07_E,1;4,8,L04_C,G08_A,1;5,6,L05_C,G06_D,1;5,7,L05_C,G07_E,1;5,8,L05_C,G08_A,1;6,6,L06_C,G06_D,1;6,7,L06_C,G07_E,1;6,8,L06_C,G08_A,1"
llama,gemma,5,7,L05_C,G07_F,42,21,16,47,0.3404255319148936,0.7619047619047619,0.38095238095238093,0.7619047619047619,3.207272727272727,4.988662131519274,6.272638879109982e-11,5.488559019221234e-10,True,9,7,0.7777777777777778,high,"4,6,L04_C,G06_D,1;4,7,L04_C,G07_F,1;4,8,L04_C,G08_F,1;5,6,L05_C,G06_D,1;5,7,L05_C,G07_F,1;5,8,L05_C,G08_F,1;6,6,L06_C,G06_D,1;6,7,L06_C,G07_F,0;6,8,L06_C,G08_F,0"
llama,gemma,5,7,L05_D,G07_C,63,54,34,83,0.40963855421686746,0.6296296296296297,0.5396825396825397,0.6296296296296297,12.370909090909091,2.7483833039388594,5.247324668078856e-13,6.121878779425332e-12,True,9,6,0.6666666666666666,moderate,"4,6,L04_C,G06_B,0;4,7,L04_C,G07_C,0;4,8,L04_C,G08_H,0;5,6,L05_D,G06_B,1;5,7,L05_D,G07_C,1;5,8,L05_D,G08_H,1;6,6,L06_E,G06_B,1;6,7,L06_E,G07_C,1;6,8,L06_E,G08_H,1"
llama,gemma,5,7,L05_E,G07_B,3,4,3,4,0.75,1.0,1.0,0.75,0.04363636363636364,68.75,1.1667164951836484e-06,6.805846221904615e-06,True,9,9,1.0,high,"4,6,L04_D,G06_A,1;4,7,L04_D,G07_B,1;4,8,L04_D,G08_B,1;5,6,L05_E,G06_A,1;5,7,L05_E,G07_B,1;5,8,L05_E,G08_B,1;6,6,L06_F,G06_A,1;6,7,L06_F,G07_B,1;6,8,L06_F,G08_B,1"
