model_a,model_b,K_a,K_b,profile_a,profile_b,intersection_count,jaccard,overlap_coefficient,persistence_score,persistence_tier,pearson_240_traits,spearman_240_traits,centered_cosine_240_traits,evidence_role
llama,gemma,4,8,L04_C,G08_A,9,0.140625,0.9,1.0,high,0.7370332529591264,0.7405640722929215,0.7370332529591263,secondary same-activation-space confirmation
llama,gemma,4,8,L04_C,G08_E,12,0.1764705882352941,0.7058823529411765,0.5,moderate,0.6595709589275757,0.6727182763589644,0.6595709589275757,secondary same-activation-space confirmation
llama,gemma,4,8,L04_C,G08_F,21,0.3230769230769231,0.9130434782608696,1.0,high,0.9129758860709711,0.9153023489991144,0.9129758860709709,secondary same-activation-space confirmation
llama,gemma,4,8,L04_D,G08_B,3,0.75,1.0,1.0,high,0.8309484040213593,0.8412863070539417,0.8309484040213592,secondary same-activation-space confirmation
llama,gemma,4,9,L04_A,G09_C,36,0.5806451612903226,0.8780487804878049,1.0,high,0.8900821864340478,0.8804623344155279,0.8900821864340477,secondary same-activation-space confirmation
llama,gemma,4,9,L04_A,G09_G,19,0.3166666666666666,0.8636363636363636,1.0,high,0.8393119013981125,0.8545174395388807,0.8393119013981125,secondary same-activation-space confirmation
llama,gemma,4,9,L04_B,G09_E,106,0.6973684210526315,1.0,1.0,high,0.8937203881407285,0.8594966926509139,0.8937203881407284,secondary same-activation-space confirmation
llama,gemma,4,9,L04_B,G09_F,37,0.2269938650306748,0.7708333333333334,0.3333333333333333,isolated,0.13626302709866317,0.17789892185628217,0.13626302709866317,secondary same-activation-space confirmation
llama,gemma,4,9,L04_C,G09_B,14,0.2153846153846154,0.875,0.5,moderate,0.796061457874648,0.8016354450598099,0.796061457874648,secondary same-activation-space confirmation
llama,gemma,4,9,L04_C,G09_H,17,0.2615384615384615,0.8947368421052632,1.0,high,0.8999898868602318,0.9018220802444485,0.8999898868602316,secondary same-activation-space confirmation
llama,gemma,4,9,L04_C,G09_I,17,0.2615384615384615,0.8947368421052632,0.8333333333333334,high,0.6817213298080509,0.6865483775759994,0.6817213298080508,secondary same-activation-space confirmation
llama,gemma,4,9,L04_D,G09_A,2,0.5,0.6666666666666666,1.0,high,0.7918778986032426,0.8005989687320959,0.7918778986032428,secondary same-activation-space confirmation
llama,gemma,4,10,L04_A,G10_B,32,0.4923076923076923,0.8,1.0,high,0.8889143489036124,0.8835274917967323,0.8889143489036123,secondary same-activation-space confirmation
llama,gemma,4,10,L04_A,G10_G,21,0.3620689655172414,0.9545454545454546,1.0,high,0.8640016150927867,0.8774848521675722,0.8640016150927867,secondary same-activation-space confirmation
llama,gemma,4,10,L04_B,G10_A,90,0.5921052631578947,1.0,1.0,high,0.8767644040052706,0.8354745742113576,0.8767644040052702,secondary same-activation-space confirmation
llama,gemma,4,10,L04_B,G10_E,46,0.2911392405063291,0.8846153846153846,0.5,moderate,0.6950551544960585,0.7098977412802304,0.6950551544960583,secondary same-activation-space confirmation
llama,gemma,4,10,L04_C,G10_F,13,0.2063492063492063,1.0,1.0,high,0.9157953445354471,0.9201097241271549,0.915795344535447,secondary same-activation-space confirmation
llama,gemma,4,10,L04_C,G10_H,17,0.2361111111111111,0.6538461538461539,0.75,high,0.47750098957798726,0.4814588794944355,0.4775009895779873,secondary same-activation-space confirmation
llama,gemma,4,10,L04_C,G10_I,7,0.1111111111111111,1.0,1.0,high,0.8736764349387229,0.8827757426344205,0.8736764349387233,secondary same-activation-space confirmation
llama,gemma,4,10,L04_C,G10_J,17,0.25,0.7727272727272727,0.5,moderate,0.7736780727624141,0.7791610965468149,0.7736780727624141,secondary same-activation-space confirmation
llama,gemma,4,10,L04_D,G10_C,2,0.6666666666666666,1.0,1.0,high,0.8470166028390865,0.8552613760655565,0.8470166028390865,secondary same-activation-space confirmation
llama,gemma,5,4,L05_A,G04_D,114,0.8028169014084507,0.95,1.0,high,0.9343001635893601,0.9279006579975345,0.9343001635893604,secondary same-activation-space confirmation
llama,gemma,5,4,L05_B,G04_A,46,0.6666666666666666,0.9787234042553192,1.0,high,0.9160798051279542,0.9180011805760514,0.9160798051279538,secondary same-activation-space confirmation
llama,gemma,5,4,L05_C,G04_C,39,0.5571428571428572,0.9285714285714286,1.0,high,0.8220761339557743,0.8367844927863329,0.8220761339557743,secondary same-activation-space confirmation
llama,gemma,5,4,L05_E,G04_B,3,0.75,1.0,1.0,high,0.8309484040213593,0.8412863070539417,0.8309484040213592,secondary same-activation-space confirmation
llama,gemma,5,5,L05_A,G05_E,103,0.8174603174603174,0.944954128440367,1.0,high,0.9236659646324916,0.9099602423653187,0.923665964632492,secondary same-activation-space confirmation
llama,gemma,5,5,L05_B,G05_C,45,0.8181818181818182,0.9574468085106383,1.0,high,0.9055928274093847,0.90913644334103,0.9055928274093847,secondary same-activation-space confirmation
llama,gemma,5,5,L05_C,G05_D,34,0.7083333333333334,0.85,1.0,high,0.8448049946530127,0.8548924460494104,0.8448049946530131,secondary same-activation-space confirmation
llama,gemma,5,5,L05_D,G05_B,47,0.5529411764705883,0.746031746031746,0.5555555555555556,moderate,0.7801320216516925,0.7707494921786835,0.7801320216516924,secondary same-activation-space confirmation
llama,gemma,5,5,L05_E,G05_A,3,0.75,1.0,1.0,high,0.8309484040213593,0.8412863070539417,0.8309484040213592,secondary same-activation-space confirmation
llama,gemma,5,6,L05_A,G06_F,105,0.8267716535433071,0.9375,1.0,high,0.9236080075808464,0.9099359363877844,0.9236080075808466,secondary same-activation-space confirmation
llama,gemma,5,6,L05_B,G06_E,44,0.8461538461538461,0.9361702127659576,1.0,high,0.910777253759113,0.9133500581607318,0.9107772537591128,secondary same-activation-space confirmation
llama,gemma,5,6,L05_C,G06_D,24,0.5106382978723404,0.8275862068965517,1.0,high,0.7150821863066575,0.7201791697772529,0.7150821863066577,secondary same-activation-space confirmation
llama,gemma,5,6,L05_D,G06_B,42,0.525,0.711864406779661,0.6666666666666666,moderate,0.7592171844610366,0.7482994496432228,0.7592171844610361,secondary same-activation-space confirmation
llama,gemma,5,6,L05_E,G06_A,3,0.75,1.0,1.0,high,0.8309484040213593,0.8412863070539417,0.8309484040213592,secondary same-activation-space confirmation
llama,gemma,5,7,L05_A,G07_A,96,0.7868852459016393,0.979591836734694,1.0,high,0.9198013046853055,0.9026345943505961,0.9198013046853056,secondary same-activation-space confirmation
llama,gemma,5,7,L05_B,G07_G,44,0.8461538461538461,0.9361702127659576,1.0,high,0.9138952292110518,0.9147823746940049,0.9138952292110516,secondary same-activation-space confirmation
llama,gemma,5,7,L05_C,G07_E,16,0.3265306122448979,0.6956521739130435,1.0,high,0.6975823100914749,0.7019453462733727,0.697582310091475,secondary same-activation-space confirmation
llama,gemma,5,7,L05_C,G07_F,16,0.3404255319148936,0.7619047619047619,0.7777777777777778,high,0.7936906105723865,0.8060626052535633,0.7936906105723864,secondary same-activation-space confirmation
llama,gemma,5,7,L05_D,G07_C,34,0.4096385542168674,0.6296296296296297,0.6666666666666666,moderate,0.26809621704843434,0.22897446136217636,0.2680962170484343,secondary same-activation-space confirmation
llama,gemma,5,7,L05_E,G07_B,3,0.75,1.0,1.0,high,0.8309484040213593,0.8412863070539417,0.8309484040213592,secondary same-activation-space confirmation
llama,gemma,5,8,L05_A,G08_D,105,0.8467741935483871,0.963302752293578,1.0,high,0.93078066067773,0.9174204413271062,0.93078066067773,secondary same-activation-space confirmation
llama,gemma,5,8,L05_B,G08_C,20,0.3389830508474576,0.625,0.8888888888888888,high,0.8617247272908253,0.8501857671140122,0.8617247272908253,secondary same-activation-space confirmation
llama,gemma,5,8,L05_B,G08_G,26,0.4642857142857143,0.7428571428571429,0.8888888888888888,high,0.8817097241730864,0.8965928227920621,0.8817097241730862,secondary same-activation-space confirmation
llama,gemma,5,8,L05_C,G08_A,8,0.1818181818181818,0.8,1.0,high,0.7368672055892436,0.7404868140071874,0.7368672055892435,secondary same-activation-space confirmation
llama,gemma,5,8,L05_C,G08_F,18,0.3829787234042553,0.782608695652174,0.6666666666666666,moderate,0.8650306439506859,0.8728024792097083,0.8650306439506861,secondary same-activation-space confirmation
llama,gemma,5,8,L05_D,G08_H,28,0.35,0.6222222222222222,0.6666666666666666,moderate,0.7089742271540448,0.6462534071772077,0.7089742271540447,secondary same-activation-space confirmation
llama,gemma,5,8,L05_E,G08_B,3,0.75,1.0,1.0,high,0.8309484040213593,0.8412863070539417,0.8309484040213592,secondary same-activation-space confirmation
llama,gemma,5,9,L05_A,G09_E,101,0.808,0.9528301886792452,1.0,high,0.927541973888224,0.9120661817045433,0.9275419738882242,secondary same-activation-space confirmation
llama,gemma,5,9,L05_B,G09_C,30,0.5172413793103449,0.7317073170731707,0.8888888888888888,high,0.8887369005639216,0.8810378652407157,0.8887369005639214,secondary same-activation-space confirmation
llama,gemma,5,9,L05_B,G09_G,16,0.3018867924528302,0.7272727272727273,0.8888888888888888,high,0.8430236261467048,0.8588820986475459,0.8430236261467047,secondary same-activation-space confirmation
llama,gemma,5,9,L05_C,G09_H,14,0.2978723404255319,0.7368421052631579,0.6666666666666666,moderate,0.8500734427054908,0.8578074272122778,0.8500734427054909,secondary same-activation-space confirmation
llama,gemma,5,9,L05_C,G09_I,16,0.3555555555555555,0.8421052631578947,0.8888888888888888,high,0.6666192534755229,0.6727529991840134,0.666619253475523,secondary same-activation-space confirmation
llama,gemma,5,9,L05_D,G09_F,31,0.3875,0.6458333333333334,0.4444444444444444,isolated,0.6930339693951496,0.6536450285595234,0.6930339693951496,secondary same-activation-space confirmation
llama,gemma,5,9,L05_E,G09_A,2,0.5,0.6666666666666666,1.0,high,0.7918778986032426,0.8005989687320959,0.7918778986032428,secondary same-activation-space confirmation
llama,gemma,5,10,L05_A,G10_A,89,0.7355371900826446,0.9888888888888888,1.0,high,0.9162899191273641,0.8960025347662285,0.9162899191273642,secondary same-activation-space confirmation
llama,gemma,5,10,L05_B,G10_B,25,0.4032258064516129,0.625,1.0,high,0.8827620973812537,0.879149811628674,0.8827620973812534,secondary same-activation-space confirmation
llama,gemma,5,10,L05_B,G10_G,20,0.4081632653061224,0.9090909090909092,0.8333333333333334,high,0.863109182847613,0.8771228667164359,0.863109182847613,secondary same-activation-space confirmation
llama,gemma,5,10,L05_C,G10_F,12,0.2790697674418604,0.9230769230769232,0.6666666666666666,moderate,0.8749455210948344,0.8855136373895378,0.8749455210948347,secondary same-activation-space confirmation
llama,gemma,5,10,L05_C,G10_I,7,0.1666666666666666,1.0,1.0,high,0.8557372148063664,0.8678093369676555,0.8557372148063667,secondary same-activation-space confirmation
llama,gemma,5,10,L05_E,G10_C,2,0.6666666666666666,1.0,1.0,high,0.8470166028390865,0.8552613760655565,0.8470166028390865,secondary same-activation-space confirmation
llama,gemma,6,4,L06_A,G04_A,40,0.5882352941176471,1.0,1.0,high,0.894956914479176,0.8982951092900917,0.8949569144791761,secondary same-activation-space confirmation
llama,gemma,6,4,L06_B,G04_C,20,0.2898550724637681,0.9090909090909092,0.8333333333333334,high,0.7515001912223993,0.7493906144203891,0.7515001912223993,secondary same-activation-space confirmation
llama,gemma,6,4,L06_C,G04_C,26,0.3768115942028985,0.9285714285714286,1.0,high,0.7853078704719125,0.7988932099515615,0.7853078704719123,secondary same-activation-space confirmation
llama,gemma,6,4,L06_D,G04_D,118,0.8309859154929577,0.9516129032258064,1.0,high,0.9322844737129221,0.9263008038333997,0.9322844737129222,secondary same-activation-space confirmation
llama,gemma,6,4,L06_F,G04_B,3,0.75,1.0,1.0,high,0.8309484040213593,0.8412863070539417,0.8309484040213592,secondary same-activation-space confirmation
llama,gemma,6,5,L06_A,G05_C,39,0.7222222222222222,0.975,1.0,high,0.8787031679215532,0.8827002204899389,0.8787031679215532,secondary same-activation-space confirmation
llama,gemma,6,5,L06_C,G05_D,24,0.5454545454545454,0.8571428571428571,1.0,high,0.8623593905056512,0.8667077553429744,0.8623593905056512,secondary same-activation-space confirmation
llama,gemma,6,5,L06_D,G05_E,104,0.8062015503875969,0.9541284403669724,1.0,high,0.9203543323336576,0.9056207573048142,0.9203543323336577,secondary same-activation-space confirmation
llama,gemma,6,5,L06_E,G05_B,42,0.4941176470588235,0.7241379310344828,0.6666666666666666,moderate,0.7920746678163291,0.7754674560322227,0.7920746678163291,secondary same-activation-space confirmation
llama,gemma,6,5,L06_F,G05_A,3,0.75,1.0,1.0,high,0.8309484040213593,0.8412863070539417,0.8309484040213592,secondary same-activation-space confirmation
llama,gemma,6,6,L06_A,G06_E,39,0.78,0.975,1.0,high,0.8862988467743697,0.8894668310213717,0.8862988467743698,secondary same-activation-space confirmation
llama,gemma,6,6,L06_B,G06_C,17,0.6296296296296297,0.7727272727272727,0.6666666666666666,moderate,0.9117439145294863,0.9098439209014044,0.9117439145294864,secondary same-activation-space confirmation
llama,gemma,6,6,L06_C,G06_D,24,0.7272727272727273,0.8571428571428571,0.8888888888888888,high,0.8452636093325887,0.8358686782756644,0.8452636093325885,secondary same-activation-space confirmation
llama,gemma,6,6,L06_D,G06_F,107,0.8294573643410853,0.9553571428571428,1.0,high,0.9203006164974561,0.9056329102935813,0.9203006164974563,secondary same-activation-space confirmation
llama,gemma,6,6,L06_E,G06_B,41,0.5394736842105263,0.7068965517241379,1.0,high,0.828739408620779,0.8172858903800412,0.8287394086207788,secondary same-activation-space confirmation
llama,gemma,6,6,L06_F,G06_A,3,0.75,1.0,1.0,high,0.8309484040213593,0.8412863070539417,0.8309484040213592,secondary same-activation-space confirmation
llama,gemma,6,7,L06_A,G07_G,39,0.78,0.975,1.0,high,0.8918032722397182,0.8934295734300941,0.8918032722397182,secondary same-activation-space confirmation
llama,gemma,6,7,L06_B,G07_D,13,0.3714285714285714,0.5909090909090909,0.4444444444444444,isolated,0.8864654905780014,0.8860639941665652,0.8864654905780015,secondary same-activation-space confirmation
llama,gemma,6,7,L06_C,G07_E,17,0.5,0.7391304347826086,0.7777777777777778,high,0.8327078432588522,0.8202182329554331,0.8327078432588522,secondary same-activation-space confirmation
llama,gemma,6,7,L06_D,G07_A,96,0.7619047619047619,0.979591836734694,1.0,high,0.9158479435101803,0.8972629733155089,0.9158479435101804,secondary same-activation-space confirmation
llama,gemma,6,7,L06_E,G07_C,30,0.3658536585365853,0.5555555555555556,1.0,high,0.36713527803860235,0.3429868574107189,0.36713527803860235,secondary same-activation-space confirmation
llama,gemma,6,7,L06_F,G07_B,3,0.75,1.0,1.0,high,0.8309484040213593,0.8412863070539417,0.8309484040213592,secondary same-activation-space confirmation
llama,gemma,6,8,L06_A,G08_G,24,0.4705882352941176,0.6857142857142857,0.8888888888888888,high,0.842290114006728,0.8595348877584678,0.8422901140067282,secondary same-activation-space confirmation
llama,gemma,6,8,L06_B,G08_F,12,0.3636363636363636,0.5454545454545454,0.7777777777777778,high,0.7824669828680666,0.7814831854719698,0.7824669828680668,secondary same-activation-space confirmation
llama,gemma,6,8,L06_C,G08_A,9,0.3103448275862069,0.9,0.6666666666666666,moderate,0.8606701221645936,0.8482395527700132,0.8606701221645934,secondary same-activation-space confirmation
llama,gemma,6,8,L06_D,G08_D,106,0.8346456692913385,0.9724770642201837,1.0,high,0.9271963086388069,0.9126920606260523,0.9271963086388066,secondary same-activation-space confirmation
llama,gemma,6,8,L06_E,G08_H,26,0.3376623376623376,0.5777777777777777,1.0,high,0.6561965953739288,0.5937872185280993,0.6561965953739286,secondary same-activation-space confirmation
llama,gemma,6,8,L06_F,G08_B,3,0.75,1.0,1.0,high,0.8309484040213593,0.8412863070539417,0.8309484040213592,secondary same-activation-space confirmation
llama,gemma,6,9,L06_A,G09_C,26,0.4727272727272727,0.65,0.8888888888888888,high,0.8732446650839735,0.8659195472143613,0.8732446650839736,secondary same-activation-space confirmation
llama,gemma,6,9,L06_B,G09_H,13,0.4642857142857143,0.6842105263157895,0.8888888888888888,high,0.8440562809455063,0.8401916699942705,0.8440562809455064,secondary same-activation-space confirmation
llama,gemma,6,9,L06_C,G09_I,17,0.5666666666666667,0.8947368421052632,0.5555555555555556,moderate,0.8274461348537931,0.8158744075417974,0.827446134853793,secondary same-activation-space confirmation
llama,gemma,6,9,L06_D,G09_E,103,0.8110236220472441,0.9716981132075472,1.0,high,0.9237650756545417,0.9071329363357001,0.9237650756545417,secondary same-activation-space confirmation
llama,gemma,6,9,L06_E,G09_F,29,0.3766233766233766,0.6041666666666666,0.6666666666666666,moderate,0.6950697909853586,0.6689039740273267,0.6950697909853587,secondary same-activation-space confirmation
llama,gemma,6,9,L06_F,G09_A,2,0.5,0.6666666666666666,1.0,high,0.7918778986032426,0.8005989687320959,0.7918778986032428,secondary same-activation-space confirmation
llama,gemma,6,10,L06_A,G10_B,21,0.3559322033898305,0.525,1.0,high,0.8723054138042025,0.869215611382142,0.8723054138042025,secondary same-activation-space confirmation
llama,gemma,6,10,L06_A,G10_G,18,0.4090909090909091,0.8181818181818182,0.8333333333333334,high,0.8194509198953945,0.8350040799319431,0.8194509198953948,secondary same-activation-space confirmation
llama,gemma,6,10,L06_B,G10_F,9,0.3461538461538461,0.6923076923076923,0.8333333333333334,high,0.7915974240030973,0.7937524957030502,0.7915974240030974,secondary same-activation-space confirmation
llama,gemma,6,10,L06_B,G10_J,11,0.3333333333333333,0.5,0.3333333333333333,isolated,0.8912128519050382,0.8905970589767181,0.8912128519050384,secondary same-activation-space confirmation
llama,gemma,6,10,L06_C,G10_H,15,0.3846153846153846,0.5769230769230769,0.5,moderate,0.6761445775535442,0.6626026493515511,0.6761445775535443,secondary same-activation-space confirmation
llama,gemma,6,10,L06_C,G10_I,7,0.25,1.0,0.8333333333333334,high,0.8862743933614133,0.8871490824493479,0.8862743933614134,secondary same-activation-space confirmation
llama,gemma,6,10,L06_D,G10_A,89,0.712,0.9888888888888888,1.0,high,0.9119441984995815,0.890354867272001,0.9119441984995813,secondary same-activation-space confirmation
llama,gemma,6,10,L06_F,G10_C,2,0.6666666666666666,1.0,1.0,high,0.8470166028390865,0.8552613760655565,0.8470166028390865,secondary same-activation-space confirmation
llama,gemma,7,4,L07_B,G04_C,16,0.2318840579710145,0.8888888888888888,1.0,high,0.8020236824583649,0.812978523932707,0.8020236824583649,secondary same-activation-space confirmation
llama,gemma,7,4,L07_C,G04_D,114,0.8142857142857143,0.9661016949152542,1.0,high,0.930036701454461,0.922244309797045,0.9300367014544612,secondary same-activation-space confirmation
llama,gemma,7,4,L07_E,G04_C,17,0.2463768115942029,0.8947368421052632,0.8333333333333334,high,0.6988569431114254,0.7053013073143629,0.6988569431114252,secondary same-activation-space confirmation
llama,gemma,7,4,L07_F,G04_A,45,0.6617647058823529,1.0,1.0,high,0.8969937030809245,0.8989739405198005,0.8969937030809245,secondary same-activation-space confirmation
llama,gemma,7,4,L07_G,G04_B,3,0.75,1.0,1.0,high,0.8309484040213593,0.8412863070539417,0.8309484040213592,secondary same-activation-space confirmation
llama,gemma,7,5,L07_A,G05_B,32,0.3555555555555555,0.6037735849056604,0.5555555555555556,moderate,0.20197973052698573,0.13372541189951212,0.20197973052698576,secondary same-activation-space confirmation
llama,gemma,7,5,L07_B,G05_D,16,0.3809523809523809,0.8888888888888888,1.0,high,0.84585298251585,0.8484426812965501,0.8458529825158501,secondary same-activation-space confirmation
llama,gemma,7,5,L07_C,G05_E,102,0.816,0.9357798165137616,1.0,high,0.9166041237760063,0.8990355735342626,0.9166041237760063,secondary same-activation-space confirmation
llama,gemma,7,5,L07_D,G05_B,15,0.2054794520547945,0.7894736842105263,0.5555555555555556,moderate,0.8007871178160071,0.7701713571416168,0.8007871178160072,secondary same-activation-space confirmation
llama,gemma,7,5,L07_E,G05_D,13,0.2826086956521739,0.6842105263157895,0.5555555555555556,moderate,0.6303582346337133,0.6372298130175871,0.6303582346337133,secondary same-activation-space confirmation
llama,gemma,7,5,L07_F,G05_C,43,0.7818181818181819,0.9555555555555556,1.0,high,0.8807093294317341,0.8835075261723292,0.8807093294317341,secondary same-activation-space confirmation
llama,gemma,7,5,L07_G,G05_A,3,0.75,1.0,1.0,high,0.8309484040213593,0.8412863070539417,0.8309484040213592,secondary same-activation-space confirmation
llama,gemma,7,6,L07_A,G06_B,27,0.3176470588235294,0.5094339622641509,0.7777777777777778,high,0.23218450822928405,0.1688293199534714,0.23218450822928405,secondary same-activation-space confirmation
llama,gemma,7,6,L07_B,G06_D,14,0.4242424242424242,0.7777777777777778,0.7777777777777778,high,0.7584023961787527,0.7505963645202172,0.7584023961787525,secondary same-activation-space confirmation
llama,gemma,7,6,L07_C,G06_F,104,0.8253968253968254,0.9285714285714286,1.0,high,0.9164705420475495,0.8987907776176667,0.9164705420475497,secondary same-activation-space confirmation
llama,gemma,7,6,L07_D,G06_B,13,0.2,0.6842105263157895,0.6666666666666666,moderate,0.6618979396437553,0.6219022899703119,0.661897939643755,secondary same-activation-space confirmation
llama,gemma,7,6,L07_E,G06_C,17,0.7083333333333334,0.8947368421052632,0.7777777777777778,high,0.8967782587775601,0.8953731835622144,0.8967782587775601,secondary same-activation-space confirmation
llama,gemma,7,6,L07_F,G06_E,41,0.7735849056603774,0.9111111111111112,1.0,high,0.8880296750984913,0.8900059028802582,0.8880296750984913,secondary same-activation-space confirmation
llama,gemma,7,6,L07_G,G06_A,3,0.75,1.0,1.0,high,0.8309484040213593,0.8412863070539417,0.8309484040213592,secondary same-activation-space confirmation
llama,gemma,7,7,L07_A,G07_C,25,0.3048780487804878,0.4716981132075472,0.7777777777777778,high,0.07485825264411128,0.05879008316116598,0.0748582526441113,secondary same-activation-space confirmation
llama,gemma,7,7,L07_B,G07_F,9,0.3,0.5,0.4444444444444444,isolated,0.7898854265825663,0.7984053542596224,0.7898854265825662,secondary same-activation-space confirmation
llama,gemma,7,7,L07_C,G07_A,96,0.8,0.979591836734694,1.0,high,0.9117363907457063,0.8902081633361689,0.9117363907457063,secondary same-activation-space confirmation
llama,gemma,7,7,L07_E,G07_D,13,0.40625,0.6842105263157895,0.5555555555555556,moderate,0.8533919923445697,0.8551415823191374,0.8533919923445699,secondary same-activation-space confirmation
llama,gemma,7,7,L07_F,G07_G,43,0.8431372549019608,0.9555555555555556,1.0,high,0.8934778048208094,0.8939191652632857,0.8934778048208094,secondary same-activation-space confirmation
llama,gemma,7,7,L07_G,G07_B,3,0.75,1.0,1.0,high,0.8309484040213593,0.8412863070539417,0.8309484040213592,secondary same-activation-space confirmation
llama,gemma,7,8,L07_A,G08_H,34,0.53125,0.7555555555555555,0.8888888888888888,high,0.8992219411589253,0.8967794579767009,0.8992219411589256,secondary same-activation-space confirmation
llama,gemma,7,8,L07_C,G08_D,105,0.860655737704918,0.963302752293578,1.0,high,0.9243334395666749,0.9075496102362887,0.9243334395666748,secondary same-activation-space confirmation
llama,gemma,7,8,L07_D,G08_E,11,0.44,0.6470588235294118,0.5555555555555556,moderate,0.8752906949791989,0.8756375978749631,0.8752906949791988,secondary same-activation-space confirmation
llama,gemma,7,8,L07_E,G08_F,12,0.4,0.631578947368421,0.7777777777777778,high,0.7413957000285875,0.7465468150488722,0.7413957000285876,secondary same-activation-space confirmation
llama,gemma,7,8,L07_F,G08_C,18,0.3050847457627119,0.5625,0.8888888888888888,high,0.8544071623553637,0.8421135783607353,0.8544071623553635,secondary same-activation-space confirmation
llama,gemma,7,8,L07_F,G08_G,27,0.5094339622641509,0.7714285714285715,0.7777777777777778,high,0.8450072574724492,0.8603369850171009,0.8450072574724492,secondary same-activation-space confirmation
llama,gemma,7,8,L07_G,G08_B,3,0.75,1.0,1.0,high,0.8309484040213593,0.8412863070539417,0.8309484040213592,secondary same-activation-space confirmation
llama,gemma,7,9,L07_A,G09_F,29,0.4027777777777778,0.6041666666666666,0.6666666666666666,moderate,0.6938185727683827,0.6774952690150869,0.6938185727683828,secondary same-activation-space confirmation
