trait_set,K,human_profile_id,model_family_id,pearson_r,spearman_rho
12_HUMAN_SUPPORTED,7,H07_D,MFamily_D,0.42475279981,0.538461538462
12_HUMAN_SUPPORTED,7,H07_E,MFamily_A,0.294159165022,0.342657342657
12_HUMAN_SUPPORTED,7,H07_E,MFamily_B,0.122368930249,0.244755244755
12_HUMAN_SUPPORTED,7,H07_E,MFamily_C,-0.188710000145,-0.195804195804
12_HUMAN_SUPPORTED,7,H07_E,MFamily_D,-0.553704459429,-0.692307692308
12_HUMAN_SUPPORTED,7,H07_F,MFamily_A,-0.246205937886,-0.195804195804
12_HUMAN_SUPPORTED,7,H07_F,MFamily_B,-0.0978002055181,-0.244755244755
12_HUMAN_SUPPORTED,7,H07_F,MFamily_C,0.0147928120646,0.034965034965
12_HUMAN_SUPPORTED,7,H07_F,MFamily_D,0.531921463499,0.601398601399
12_HUMAN_SUPPORTED,7,H07_G,MFamily_A,-0.554304183541,-0.538461538462
12_HUMAN_SUPPORTED,7,H07_G,MFamily_B,0.438655063223,0.531468531469
12_HUMAN_SUPPORTED,7,H07_G,MFamily_C,0.230804560108,0.0839160839161
12_HUMAN_SUPPORTED,7,H07_G,MFamily_D,0.258061531132,0.0559440559441
12_HUMAN_SUPPORTED,8,H08_A,MFamily_A,-0.656847117766,-0.573426573427
12_HUMAN_SUPPORTED,8,H08_A,MFamily_B,0.555389650273,0.566433566434
12_HUMAN_SUPPORTED,8,H08_A,MFamily_C,-0.266551164289,-0.188811188811
12_HUMAN_SUPPORTED,8,H08_A,MFamily_D,0.735989916472,0.608391608392
12_HUMAN_SUPPORTED,8,H08_B,MFamily_A,0.398595164017,0.461538461538
12_HUMAN_SUPPORTED,8,H08_B,MFamily_B,0.0317263213024,0.153846153846
12_HUMAN_SUPPORTED,8,H08_B,MFamily_C,-0.105938115858,-0.167832167832
12_HUMAN_SUPPORTED,8,H08_B,MFamily_D,-0.679302475593,-0.797202797203
12_HUMAN_SUPPORTED,8,H08_C,MFamily_A,0.370849725606,0.20979020979
12_HUMAN_SUPPORTED,8,H08_C,MFamily_B,-0.270026335671,-0.230769230769
12_HUMAN_SUPPORTED,8,H08_C,MFamily_C,0.283270374198,0.258741258741
12_HUMAN_SUPPORTED,8,H08_C,MFamily_D,-0.513861397115,-0.531468531469
12_HUMAN_SUPPORTED,8,H08_D,MFamily_A,0.769613286333,0.818181818182
12_HUMAN_SUPPORTED,8,H08_D,MFamily_B,-0.534416268375,-0.566433566434
12_HUMAN_SUPPORTED,8,H08_D,MFamily_C,-0.172949710642,-0.265734265734
12_HUMAN_SUPPORTED,8,H08_D,MFamily_D,-0.610493534839,-0.475524475524
12_HUMAN_SUPPORTED,8,H08_E,MFamily_A,-0.251755526475,-0.321678321678
12_HUMAN_SUPPORTED,8,H08_E,MFamily_B,-0.119752538829,-0.230769230769
12_HUMAN_SUPPORTED,8,H08_E,MFamily_C,0.157364673862,0.125874125874
12_HUMAN_SUPPORTED,8,H08_E,MFamily_D,0.523105350581,0.608391608392
12_HUMAN_SUPPORTED,8,H08_F,MFamily_A,-0.327502064001,-0.216783216783
12_HUMAN_SUPPORTED,8,H08_F,MFamily_B,-0.0520688054573,-0.293706293706
12_HUMAN_SUPPORTED,8,H08_F,MFamily_C,0.091300149078,0.104895104895
12_HUMAN_SUPPORTED,8,H08_F,MFamily_D,0.572036576469,0.615384615385
12_HUMAN_SUPPORTED,8,H08_G,MFamily_A,0.118815420855,0.251748251748
12_HUMAN_SUPPORTED,8,H08_G,MFamily_B,0.183852002382,0.314685314685
12_HUMAN_SUPPORTED,8,H08_G,MFamily_C,-0.300226124737,-0.272727272727
12_HUMAN_SUPPORTED,8,H08_G,MFamily_D,-0.272542963389,-0.559440559441
12_HUMAN_SUPPORTED,8,H08_H,MFamily_A,-0.712826722326,-0.797202797203
12_HUMAN_SUPPORTED,8,H08_H,MFamily_B,0.453723987551,0.454545454545
12_HUMAN_SUPPORTED,8,H08_H,MFamily_C,0.242899292539,0.230769230769
12_HUMAN_SUPPORTED,8,H08_H,MFamily_D,0.519261710342,0.391608391608
12_HUMAN_SUPPORTED,10,H10_A,MFamily_A,-0.407720073244,-0.328671328671
12_HUMAN_SUPPORTED,10,H10_A,MFamily_B,0.57689967172,0.671328671329
12_HUMAN_SUPPORTED,10,H10_A,MFamily_C,-0.426745054159,-0.293706293706
12_HUMAN_SUPPORTED,10,H10_A,MFamily_D,0.385160375927,0.293706293706
12_HUMAN_SUPPORTED,10,H10_B,MFamily_A,-0.152318593875,-0.216783216783
12_HUMAN_SUPPORTED,10,H10_B,MFamily_B,-0.16445230514,-0.258741258741
12_HUMAN_SUPPORTED,10,H10_B,MFamily_C,0.0457255618095,0.048951048951
12_HUMAN_SUPPORTED,10,H10_B,MFamily_D,0.475405131374,0.601398601399
12_HUMAN_SUPPORTED,10,H10_C,MFamily_A,0.926835134193,0.867132867133
12_HUMAN_SUPPORTED,10,H10_C,MFamily_B,-0.506332646401,-0.265734265734
12_HUMAN_SUPPORTED,10,H10_C,MFamily_C,-0.140934130739,-0.300699300699
12_HUMAN_SUPPORTED,10,H10_C,MFamily_D,-0.945110974243,-0.839160839161
12_HUMAN_SUPPORTED,10,H10_D,MFamily_A,0.111238698406,-0.125874125874
12_HUMAN_SUPPORTED,10,H10_D,MFamily_B,-0.244246607721,-0.328671328671
12_HUMAN_SUPPORTED,10,H10_D,MFamily_C,0.335158849968,0.391608391608
12_HUMAN_SUPPORTED,10,H10_D,MFamily_D,-0.0834043051432,0.00699300699301
12_HUMAN_SUPPORTED,10,H10_E,MFamily_A,0.38049751495,0.426573426573
12_HUMAN_SUPPORTED,10,H10_E,MFamily_B,0.0311441810573,0.13986013986
12_HUMAN_SUPPORTED,10,H10_E,MFamily_C,-0.118174397165,-0.111888111888
12_HUMAN_SUPPORTED,10,H10_E,MFamily_D,-0.649157199717,-0.727272727273
12_HUMAN_SUPPORTED,10,H10_F,MFamily_A,0.000556114243496,-0.146853146853
12_HUMAN_SUPPORTED,10,H10_F,MFamily_B,0.187265179286,0.321678321678
12_HUMAN_SUPPORTED,10,H10_F,MFamily_C,0.138963819047,0.181818181818
12_HUMAN_SUPPORTED,10,H10_F,MFamily_D,-0.343661095817,-0.384615384615
12_HUMAN_SUPPORTED,10,H10_G,MFamily_A,-0.125611320614,0.048951048951
12_HUMAN_SUPPORTED,10,H10_G,MFamily_B,-0.172630159673,-0.356643356643
12_HUMAN_SUPPORTED,10,H10_G,MFamily_C,0.0729448682311,-0.00699300699301
12_HUMAN_SUPPORTED,10,H10_G,MFamily_D,0.366345540348,0.363636363636
12_HUMAN_SUPPORTED,10,H10_H,MFamily_A,0.171886068529,0.405594405594
12_HUMAN_SUPPORTED,10,H10_H,MFamily_B,-0.0759005758936,-0.174825174825
12_HUMAN_SUPPORTED,10,H10_H,MFamily_C,-0.540572457236,-0.692307692308
12_HUMAN_SUPPORTED,10,H10_H,MFamily_D,0.196627442782,0.125874125874
12_HUMAN_SUPPORTED,10,H10_I,MFamily_A,-0.503105804946,-0.58041958042
12_HUMAN_SUPPORTED,10,H10_I,MFamily_B,0.038466019911,-0.0839160839161
12_HUMAN_SUPPORTED,10,H10_I,MFamily_C,0.204829747223,0.13986013986
12_HUMAN_SUPPORTED,10,H10_I,MFamily_D,0.700407935921,0.769230769231
12_HUMAN_SUPPORTED,10,H10_J,MFamily_A,-0.866060908362,-0.825174825175
12_HUMAN_SUPPORTED,10,H10_J,MFamily_B,0.54008048467,0.475524475524
12_HUMAN_SUPPORTED,10,H10_J,MFamily_C,0.0249839351577,0.0979020979021
12_HUMAN_SUPPORTED,10,H10_J,MFamily_D,0.874177646585,0.678321678322
