persona,model,model_label,qwen_reference_cluster,kmeans_top3_cluster,kmeans_top5_cluster,agglomerative_top3_cluster,pc1,pc2,pc3,pc1_percentile,pc2_percentile,pc3_percentile
fixer,qwen,Qwen/Qwen3-32B,grounded_social,1,5,5,-12.589280833406324,17.011219123328797,25.80174870134127,36.54545454545455,80.9090909090909,93.27272727272727
flaneur,qwen,Qwen/Qwen3-32B,grounded_social,3,3,2,-28.516237208350873,-8.30586306952345,9.198043172849127,22.727272727272727,35.81818181818182,72.9090909090909
fool,qwen,Qwen/Qwen3-32B,trickster_chaos,5,4,0,-37.406736618602245,47.921355890494574,7.515254151053684,15.090909090909092,97.63636363636364,69.63636363636364
forecaster,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,38.68581672340298,-8.505608430910035,10.42229932780222,91.81818181818181,35.09090909090909,77.27272727272727
futurist,qwen,Qwen/Qwen3-32B,procedural_professional,0,3,3,32.1773792965914,-10.578135070621817,9.81585988835528,80.54545454545455,31.454545454545453,75.81818181818181
gamer,qwen,Qwen/Qwen3-32B,combative_iconoclast,1,4,5,-1.515564708919442,24.950025711623432,24.217634666424384,46.36363636363637,88.9090909090909,90.72727272727273
generalist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,34.4612119685077,-6.415676401603313,2.9086802005771406,85.63636363636364,42.0,58.36363636363637
genie,qwen,Qwen/Qwen3-32B,trickster_chaos,1,4,5,-37.87553076392754,1.5479287759504148,22.354622185570413,14.363636363636363,59.45454545454545,88.9090909090909
geographer,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,36.77790171108932,-17.794274628940762,3.411941622771129,88.9090909090909,18.0,60.54545454545455
ghost,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-52.91248633050366,-21.037096388960325,0.5694943429174961,2.727272727272727,14.363636363636363,51.09090909090909
golem,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-46.71458191810032,-28.73948342630944,-2.945017855176582,7.454545454545454,8.545454545454545,42.36363636363637
gossip,qwen,Qwen/Qwen3-32B,trickster_chaos,1,4,5,-24.695131036764806,57.220168680402644,28.584501146790547,24.90909090909091,98.36363636363636,95.81818181818181
grader,qwen,Qwen/Qwen3-32B,editorial,0,0,3,42.71176155590026,-6.18478099401968,1.8860828268566132,95.81818181818181,43.09090909090909,55.81818181818182
graduate,qwen,Qwen/Qwen3-32B,grounded_social,2,1,4,9.100150212491283,34.393798930121,-14.396207814109705,57.63636363636363,91.81818181818181,17.272727272727273
grandparent,qwen,Qwen/Qwen3-32B,grounded_social,2,1,4,-30.308927697324762,34.398035850020115,-30.142523619467543,21.272727272727273,92.18181818181819,3.4545454545454546
guardian,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,6,5.5557690892516955,-6.86126461372202,-13.004052249973968,53.63636363636363,40.18181818181818,18.363636363636363
guide,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,6,13.44212980937344,2.162087846743493,-9.336533866443567,61.27272727272727,61.27272727272727,28.181818181818183
guru,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-35.014402732257885,-24.845768528513645,-17.626964174367803,17.272727272727273,11.090909090909092,12.909090909090908
hacker,qwen,Qwen/Qwen3-32B,combative_iconoclast,1,5,5,-2.5642360472048904,14.293777192202377,36.363630120785395,45.27272727272727,77.63636363636364,99.81818181818181
healer,qwen,Qwen/Qwen3-32B,procedural_professional,2,1,4,-1.760881932175055,-11.56064796172275,-34.345429732429196,46.0,29.636363636363637,1.6363636363636365
hedonist,qwen,Qwen/Qwen3-32B,grounded_social,1,3,0,-17.840459764138565,12.575092967184926,10.747691121609881,31.818181818181817,74.72727272727273,78.0
hermit,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-48.61150771831192,-23.23652655401415,-11.654366816330862,5.636363636363637,12.545454545454545,20.545454545454547
historian,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,28.85430633414844,-18.91697563289407,9.284322098547111,74.72727272727273,17.272727272727273,73.63636363636364
hive,qwen,Qwen/Qwen3-32B,procedural_professional,3,3,2,2.429805285996293,-32.68085631997563,4.708352783350351,51.09090909090909,4.181818181818182,64.54545454545455
hoarder,qwen,Qwen/Qwen3-32B,other,5,4,0,-26.14448463246955,39.0783666223185,4.210295413808375,24.181818181818183,95.45454545454545,63.09090909090909
homunculus,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,2,2,-33.95132796658421,-28.697965374277082,15.280272857289672,18.363636363636363,8.909090909090908,84.18181818181819
hybrid,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,6,9.09269487762501,-5.68914898654846,-11.418775840819137,57.27272727272727,44.18181818181818,21.636363636363637
idealist,qwen,Qwen/Qwen3-32B,procedural_professional,4,1,6,-10.695165680028149,-11.656721516696136,-19.81889357077286,37.27272727272727,28.90909090909091,8.909090909090908
immigrant,qwen,Qwen/Qwen3-32B,grounded_social,2,1,4,-4.765908502138947,13.842248520157751,-28.780266331096886,42.36363636363637,76.54545454545455,4.181818181818182
improviser,qwen,Qwen/Qwen3-32B,grounded_social,5,4,0,-15.019540454676767,34.44420794810102,-0.6627609436583406,34.72727272727273,92.54545454545455,47.45454545454545
infant,qwen,Qwen/Qwen3-32B,other,5,6,4,-42.890390693432515,44.70015497351386,-19.4992903912658,8.909090909090908,97.27272727272727,9.272727272727273
influencer,qwen,Qwen/Qwen3-32B,combative_iconoclast,5,1,0,3.2293105487442855,40.00255555396259,-2.2113692538282304,52.18181818181818,95.81818181818181,45.27272727272727
instructor,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,3,34.54889461737343,3.3260614207819823,-4.355735426426266,86.36363636363636,63.45454545454545,38.72727272727273
interpreter,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,3,24.507228724968986,-0.44064493002336286,-5.849484964630898,69.27272727272727,56.18181818181818,34.36363636363637
interviewer,qwen,Qwen/Qwen3-32B,editorial,6,0,6,26.221934652335953,7.460181132023792,-8.457650214259957,71.81818181818181,68.54545454545455,29.636363636363637
jester,qwen,Qwen/Qwen3-32B,trickster_chaos,1,4,5,-41.14659128101687,19.96496130363363,30.958763560914896,11.454545454545455,83.0909090909091,96.9090909090909
journalist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,30.59129112468804,-2.6916250112338487,3.0877369867600013,77.63636363636364,49.63636363636363,59.45454545454545
judge,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,34.4658219391701,-15.583627695361953,4.792656393800223,86.0,22.0,64.9090909090909
lawyer,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,42.993478387424666,-11.861488118377538,14.465997025370472,97.27272727272727,28.181818181818183,83.81818181818181
leviathan,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,2,1,-60.938872716992215,-33.5033326788255,12.444977118459967,0.18181818181818182,2.3636363636363638,81.27272727272727
librarian,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,33.12162944517602,-7.58592059112728,0.48089740051858,82.72727272727273,38.36363636363637,50.72727272727273
linguist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,33.92798919983817,-16.159447588596723,7.526475217637969,84.18181818181819,20.545454545454547,70.0
loner,qwen,Qwen/Qwen3-32B,grounded_social,5,1,0,-17.846602888114646,19.218578170665143,-4.339708689097948,31.454545454545453,81.63636363636364,39.09090909090909
luddite,qwen,Qwen/Qwen3-32B,grounded_social,1,5,0,-29.240254551588244,8.514152133732592,9.680723359621389,22.0,70.0,75.0909090909091
marketer,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,34.08101801136189,6.43173306982793,3.5887000954642723,84.9090909090909,67.81818181818181,61.27272727272727
martyr,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-31.910292041942878,-21.859531106517775,-10.241449338018073,20.181818181818183,13.636363636363637,24.545454545454547
mathematician,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,31.956659579534932,-14.510329277612279,15.9697079931202,80.18181818181819,24.181818181818183,85.27272727272727
maverick,qwen,Qwen/Qwen3-32B,combative_iconoclast,1,3,5,-10.538674169346464,20.109883057181126,25.58592539954763,38.0,83.45454545454545,92.18181818181819
mechanic,qwen,Qwen/Qwen3-32B,procedural_professional,6,5,0,11.601084280370738,22.115207226422747,6.157200181365712,59.45454545454545,86.72727272727273,66.0
mediator,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,6,28.536253277786823,0.2140215498763425,-16.47215484568704,74.36363636363636,57.63636363636363,13.636363636363637
mentor,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,6,26.12616937913774,8.141667382543323,-9.389356772646455,71.45454545454545,69.63636363636364,27.818181818181817
merchant,qwen,Qwen/Qwen3-32B,procedural_professional,6,5,2,-2.027628916854228,-7.980796313045148,2.9309933814977924,45.63636363636363,38.0,59.09090909090909
minimalist,qwen,Qwen/Qwen3-32B,procedural_professional,2,1,4,-3.0632122820337515,9.203426699156507,-21.94975432548237,44.54545454545455,71.45454545454545,8.181818181818182
moderator,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,6,31.45112917082743,4.187086492183261,-14.418640919782723,79.0909090909091,64.54545454545455,16.90909090909091
musician,qwen,Qwen/Qwen3-32B,grounded_social,2,1,6,-13.635182938248938,2.8882305855373955,-16.04658987929907,35.45454545454545,63.09090909090909,14.727272727272727
mycorrhizal,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-31.42030527360411,-26.64383029759568,-9.406325724206527,20.545454545454547,10.727272727272727,27.454545454545453
mystic,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-42.168720349235855,-36.161216292640816,-18.949281959668205,10.0,1.2727272727272727,10.0
narcissist,qwen,Qwen/Qwen3-32B,grounded_social,1,4,5,-21.994757067404045,34.67210053746975,25.556728149609906,28.545454545454547,92.9090909090909,91.81818181818181
narrator,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,0,-33.831536363271056,-8.191430797815503,-2.3789079551126155,19.454545454545453,36.54545454545455,44.54545454545455
naturalist,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,6,8.61510878852769,-15.77951299049146,-9.756774225081328,56.54545454545455,21.636363636363637,25.636363636363637
navigator,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,6,13.917627303010716,-2.636315376035037,-2.796962941870055,62.36363636363637,51.09090909090909,43.09090909090909
negotiator,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,3,31.2233200957737,-1.4123158291414102,-5.683197427288211,78.72727272727273,54.72727272727273,35.09090909090909
networker,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,6,21.96938072654588,11.672345534665345,-15.009154384301947,66.72727272727273,73.27272727272727,15.454545454545455
newlywed,qwen,Qwen/Qwen3-32B,grounded_social,2,1,4,-3.479967724814695,36.00899096720861,-29.969727409634192,43.45454545454545,93.27272727272727,3.8181818181818183
nomad,qwen,Qwen/Qwen3-32B,grounded_social,6,1,6,-15.42630275151617,9.145866876857541,-9.445522291024112,34.36363636363637,71.0909090909091,27.09090909090909
novelist,qwen,Qwen/Qwen3-32B,grounded_social,3,3,2,-15.50911152581556,-8.063067558421416,2.9112091218522704,33.63636363636363,37.27272727272727,58.72727272727273
nutritionist,qwen,Qwen/Qwen3-32B,editorial,6,0,6,35.13055107573782,2.036326890574712,-12.03740573031993,87.81818181818181,60.90909090909091,19.818181818181817
observer,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,34.08950356718077,-12.40563528155868,1.7311935048127005,85.27272727272727,26.727272727272727,55.45454545454545
optimist,qwen,Qwen/Qwen3-32B,grounded_social,2,1,4,0.23151661004621046,22.207881596081165,-31.27095275527641,48.18181818181818,87.0909090909091,2.3636363636363638
oracle,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-45.70498289945283,-34.548759949630046,-2.5599790581760398,7.818181818181818,2.0,43.81818181818182
organizer,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,37.569799066013516,-2.052557699758866,0.12700900470847684,90.36363636363636,54.0,49.27272727272727
orphan,qwen,Qwen/Qwen3-32B,grounded_social,5,1,4,-23.437724963798505,36.54256528314369,-18.765496053554372,27.09090909090909,94.0,10.727272727272727
pacifist,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,4,12.630986381602284,-12.379609682146537,-28.496481151602417,60.54545454545455,27.09090909090909,5.2727272727272725
