persona,qwen_reference_cluster,target_model,best_matching_target_cluster_for_qwen_ref,actual_target_cluster,migration_type
alien,mythic_spiritual,gemma,3,1,outside_best_match
altruist,procedural_professional,gemma,5,0,outside_best_match
archaeologist,procedural_professional,gemma,5,0,outside_best_match
artisan,grounded_social,gemma,4,3,outside_best_match
assistant,procedural_professional,gemma,5,0,outside_best_match
blogger,grounded_social,gemma,4,0,outside_best_match
builder,procedural_professional,gemma,5,0,outside_best_match
caregiver,grounded_social,gemma,4,0,outside_best_match
caveman,trickster_chaos,gemma,2,6,outside_best_match
chameleon,grounded_social,gemma,4,0,outside_best_match
chef,grounded_social,gemma,4,0,outside_best_match
chimera,mythic_spiritual,gemma,3,1,outside_best_match
coach,procedural_professional,gemma,5,0,outside_best_match
collaborator,procedural_professional,gemma,5,0,outside_best_match
composer,procedural_professional,gemma,5,0,outside_best_match
cosmopolitan,procedural_professional,gemma,5,0,outside_best_match
counselor,procedural_professional,gemma,5,0,outside_best_match
crystalline,mythic_spiritual,gemma,3,1,outside_best_match
curator,procedural_professional,gemma,5,0,outside_best_match
demon,mythic_spiritual,gemma,3,1,outside_best_match
destroyer,combative_iconoclast,gemma,2,1,outside_best_match
dilettante,grounded_social,gemma,4,2,outside_best_match
doctor,procedural_professional,gemma,5,0,outside_best_match
ecosystem,procedural_professional,gemma,5,0,outside_best_match
eldritch,mythic_spiritual,gemma,3,1,outside_best_match
emissary,procedural_professional,gemma,5,0,outside_best_match
empath,grounded_social,gemma,4,0,outside_best_match
evangelist,grounded_social,gemma,4,1,outside_best_match
expatriate,procedural_professional,gemma,5,0,outside_best_match
facilitator,procedural_professional,gemma,5,0,outside_best_match
fixer,grounded_social,gemma,4,2,outside_best_match
flaneur,grounded_social,gemma,4,1,outside_best_match
fool,trickster_chaos,gemma,2,6,outside_best_match
genie,trickster_chaos,gemma,2,1,outside_best_match
grandparent,grounded_social,gemma,4,6,outside_best_match
guardian,procedural_professional,gemma,5,0,outside_best_match
guide,procedural_professional,gemma,5,0,outside_best_match
healer,procedural_professional,gemma,5,0,outside_best_match
hedonist,grounded_social,gemma,4,2,outside_best_match
hive,procedural_professional,gemma,5,1,outside_best_match
hoarder,other,gemma,6,4,outside_best_match
homunculus,mythic_spiritual,gemma,3,1,outside_best_match
hybrid,procedural_professional,gemma,5,0,outside_best_match
idealist,procedural_professional,gemma,5,0,outside_best_match
immigrant,grounded_social,gemma,4,0,outside_best_match
influencer,combative_iconoclast,gemma,2,4,outside_best_match
instructor,procedural_professional,gemma,5,0,outside_best_match
interpreter,procedural_professional,gemma,5,0,outside_best_match
interviewer,editorial,gemma,5,0,outside_best_match
loner,grounded_social,gemma,4,1,outside_best_match
martyr,mythic_spiritual,gemma,3,1,outside_best_match
mechanic,procedural_professional,gemma,5,4,outside_best_match
mediator,procedural_professional,gemma,5,0,outside_best_match
mentor,procedural_professional,gemma,5,0,outside_best_match
merchant,procedural_professional,gemma,5,0,outside_best_match
minimalist,procedural_professional,gemma,5,0,outside_best_match
moderator,procedural_professional,gemma,5,0,outside_best_match
musician,grounded_social,gemma,4,0,outside_best_match
narcissist,grounded_social,gemma,4,2,outside_best_match
naturalist,procedural_professional,gemma,5,0,outside_best_match
navigator,procedural_professional,gemma,5,0,outside_best_match
networker,procedural_professional,gemma,5,0,outside_best_match
nomad,grounded_social,gemma,4,0,outside_best_match
novelist,grounded_social,gemma,4,1,outside_best_match
nutritionist,editorial,gemma,5,0,outside_best_match
optimist,grounded_social,gemma,4,0,outside_best_match
pacifist,procedural_professional,gemma,5,0,outside_best_match
paramedic,procedural_professional,gemma,5,0,outside_best_match
parasite,mythic_spiritual,gemma,3,1,outside_best_match
peacekeeper,procedural_professional,gemma,5,0,outside_best_match
perfectionist,procedural_professional,gemma,5,1,outside_best_match
philosopher,procedural_professional,gemma,5,1,outside_best_match
photographer,grounded_social,gemma,4,0,outside_best_match
pirate,trickster_chaos,gemma,2,4,outside_best_match
playwright,grounded_social,gemma,4,0,outside_best_match
podcaster,grounded_social,gemma,4,0,outside_best_match
