model,component,explained_variance_ratio,cumulative_explained_variance,eigenvalue,eigengap_to_next,relative_eigengap_to_next,parallel_pointwise_pass,parallel_sequential_retain,bootstrap_evaluated,bootstrap_median_loading_cosine,bootstrap_loading_cosine_q05,bootstrap_same_nominal_frequency,individual_axis_stable,moderate_axis_reproducibility,best_adjacent_subspace,best_adjacent_subspace_min_cc_median,best_adjacent_subspace_min_cc_q05,adjacent_subspace_stable,max_absolute_trait_pearson,trait_coherence_descriptive,best_llama_component,best_llama_abs_pearson,best_llama_permutation_p,best_gemma_component,best_gemma_abs_pearson,best_gemma_permutation_p,cross_model_recurrence_any,cross_model_recurrence_both,retention_status,status_is_evidence_summary_not_significance_label
Qwen/Qwen3-32B,34,0.0027593668603699455,0.8995421549866809,7.901872941102001,0.41150180980527296,0.052076490329884324,False,False,False,nan,nan,nan,False,False,,nan,nan,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,35,0.0026156687187492865,0.9021578237054302,7.490371131296728,0.04653323781038665,0.006212407502207551,False,False,False,nan,nan,nan,False,False,,nan,nan,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,36,0.0025994191187776387,0.9047572428242078,7.443837893486341,0.15133457995322885,0.020330182107492257,False,False,False,nan,nan,nan,False,False,,nan,nan,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,37,0.0025465724547191924,0.907303815278927,7.292503313533112,0.2924592494409106,0.04010409551658035,False,False,False,nan,nan,nan,False,False,,nan,nan,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,38,0.0024444444697552417,0.9097482597486822,7.000044064092202,0.27931915525944273,0.03990248528466458,False,False,False,nan,nan,nan,False,False,,nan,nan,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,39,0.0023469050602716534,0.9120951648089539,6.720724908832759,0.09410866467621659,0.014002755052886279,False,False,False,nan,nan,nan,False,False,,nan,nan,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,40,0.00231404192358029,0.9144092067325342,6.626616244156542,0.1680272900909907,0.025356423836850352,False,False,False,nan,nan,nan,False,False,,nan,nan,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,41,0.0022553660957897476,0.916664572828324,6.458588954065552,0.21046904052484106,0.03258746485056229,False,False,False,nan,nan,nan,False,False,,nan,nan,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,42,0.002181869432418049,0.9188464422607421,6.248119913540711,0.2965271050265379,0.047458613011558015,False,False,False,nan,nan,nan,False,False,,nan,nan,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,43,0.0020783209353831735,0.9209247631961253,5.951592808514173,0.20446867039531558,0.03435528554688902,False,False,False,nan,nan,nan,False,False,,nan,nan,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,44,0.002006919626190007,0.9229316828223153,5.747124138118857,0.15280146222737478,0.02658746506168033,False,False,False,nan,nan,nan,False,False,,nan,nan,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,45,0.0019535607207470797,0.9248852435430623,5.594322675891482,0.1988868709134861,0.03555155510971532,False,False,False,nan,nan,nan,False,False,,nan,nan,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,46,0.0018841085991232647,0.9267693521421856,5.395435804977996,0.061954845269546865,0.011482825022658115,False,False,False,nan,nan,nan,False,False,,nan,nan,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,47,0.0018624737097558467,0.9286318258519415,5.333480959708449,0.28464820711700956,0.05337006155405299,False,False,False,nan,nan,nan,False,False,,nan,nan,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,48,0.0017630733732233717,0.9303948992251648,5.04883275259144,0.09956047918851141,0.019719504302734035,False,False,False,nan,nan,nan,False,False,,nan,nan,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,49,0.0017283064402540576,0.9321232056654188,4.949272273402928,0.15648591796857847,0.03161796509145875,False,False,False,nan,nan,nan,False,False,,nan,nan,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,50,0.0016736609075587616,0.9337968665729776,4.79278635543435,0.2185105061255248,0.04559153901733267,False,False,False,nan,nan,nan,False,False,,nan,nan,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,51,0.0015973561309900119,0.9353942227039675,4.574275849308825,0.24051741177685315,0.05258043452127956,False,False,False,nan,nan,nan,False,False,,nan,nan,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,52,0.001513366451537327,0.9369075891555049,4.333758437531972,0.16204953498655605,0.037392378306817096,False,False,False,nan,nan,nan,False,False,,nan,nan,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,53,0.001456778080664598,0.9383643672361694,4.171708902545416,0.1542380353688948,0.03697238684961568,False,False,False,nan,nan,nan,False,False,,nan,nan,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,54,0.0014029175179122257,0.9397672847540817,4.017470867176521,0.17829315284086444,0.04437945133530461,False,False,False,nan,nan,nan,False,False,,nan,nan,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,55,0.001340656808198594,0.9411079415622803,3.8391777143356567,0.06389350618473477,0.016642497674997862,False,False,False,nan,nan,nan,False,False,,nan,nan,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,56,0.0013183449303851788,0.9424262864926655,3.775284208150922,0.10116780359506405,0.026797400676918715,False,False,False,nan,nan,nan,False,False,,nan,nan,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,57,0.0012830167130552625,0.9437093032057208,3.674116404555858,0.030666170357688483,0.008346542945580826,False,False,False,nan,nan,nan,False,False,,nan,nan,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,58,0.001272307958959849,0.9449816111646806,3.6434502341981694,0.10557157425171582,0.028975714629171936,False,False,False,nan,nan,nan,False,False,,nan,nan,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,59,0.0012354419266206041,0.9462170530913012,3.5378786599464536,0.042469909124113414,0.01200434305589107,False,False,False,nan,nan,nan,False,False,,nan,nan,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,60,0.0012206112579078194,0.9474376643492091,3.49540875082234,0.11704163283881197,0.03348439086309331,False,False,False,nan,nan,nan,False,False,,nan,nan,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
