model,block_type,start_component,end_component,bootstrap_replicates,median_min_canonical_correlation,min_canonical_correlation_q05,min_canonical_correlation_q95,median_mean_canonical_correlation,mean_canonical_correlation_q05,mean_canonical_correlation_q95,median_subspace_overlap,subspace_overlap_q05,subspace_overlap_q95,median_max_principal_angle_degrees,max_principal_angle_degrees_q05,max_principal_angle_degrees_q95,component_swap_frequency,block_escape_frequency,subspace_stable
Qwen/Qwen3-32B,adjacent_pair,11,12,500,0.3602055214585247,0.020925620179817816,0.7588858690633838,0.5723383339974859,0.32862596582618503,0.8137830275794216,0.390732582619022,0.1507457519362869,0.6627104620991376,68.88717331529226,40.633923087493486,88.80096274857596,0.134,0.694,False
Qwen/Qwen3-32B,adjacent_pair,12,13,500,0.24493743312734217,0.023828779109520925,0.6375589185614765,0.4579792714709711,0.25095028575875056,0.7245196882791962,0.283227487600108,0.0837258987952189,0.532430070700684,75.82184894757452,50.38987032841827,88.63458225787662,0.056,0.838,False
Qwen/Qwen3-32B,adjacent_pair,13,14,500,0.2647729814624068,0.022881179599708566,0.6338569666231165,0.4731898057191931,0.2614049324375715,0.7130892110909858,0.2907979845400438,0.10307422869252911,0.5237774053612141,74.64653500133326,50.664737537827946,88.68889054836956,0.08,0.826,False
Qwen/Qwen3-32B,adjacent_pair,14,15,500,0.1855254292611362,0.023306591826630148,0.533215112139545,0.4147841636352986,0.21335125648767628,0.6587681458136687,0.23671086236251832,0.0642015366344801,0.44982201295512675,79.30822793903438,57.77676623799868,88.6645097284945,0.046,0.886,False
Qwen/Qwen3-32B,adjacent_pair,15,16,500,0.19155956209221503,0.01453611636127853,0.5053494803966744,0.40271251429027455,0.2036718590445697,0.6306811676209181,0.21999508888012867,0.05545801731879976,0.42566741603060265,78.95618533079622,59.64544456731126,89.16711253839689,0.034,0.928,False
Qwen/Qwen3-32B,adjacent_pair,16,17,500,0.17539090770626986,0.01642791377504651,0.48100692218307695,0.38965108653909,0.22198387074310094,0.6144389621850774,0.21344888318545777,0.07071094261516486,0.40861458724011906,79.89859262739446,61.248813414372265,89.05870752475813,0.042,0.918,False
Qwen/Qwen3-32B,adjacent_pair,17,18,500,0.17542288559060687,0.01559658695167028,0.48187722608434597,0.3816801348489838,0.17152560740372647,0.5911256656002591,0.19490490282486092,0.045674266939864296,0.37862251099135186,79.89672603395246,61.191898999381365,89.10634515927963,0.032,0.914,False
Qwen/Qwen3-32B,adjacent_pair,18,19,500,0.19102346113343888,0.015342145044363391,0.5064046166826203,0.3947361314679443,0.21797830764294573,0.6074960994710781,0.20950103924686334,0.0712360188830584,0.38592707831418865,78.98748088361288,59.57536021488121,89.12092535152223,0.044,0.922,False
Qwen/Qwen3-32B,adjacent_pair,19,20,500,0.18038707597859394,0.018407655991301695,0.46299019130620583,0.37466096820032524,0.19327581153220555,0.5849011014791734,0.19436407807110018,0.05030363972220721,0.366716391540093,79.60769287972937,62.419769352616456,88.94525942976726,0.036,0.91,False
Qwen/Qwen3-32B,adjacent_pair,20,21,500,0.16341134982384836,0.015853958676101516,0.4385819787612845,0.35294654704034334,0.17241024554172243,0.5528189604021363,0.16553005485390712,0.04222821844574219,0.3361175655099602,80.59503937122432,63.986551813509415,89.0915970219619,0.026,0.924,False
Qwen/Qwen3-32B,adjacent_pair,21,22,500,0.1504415136280427,0.01442984641030487,0.4294617222066191,0.35228181830403366,0.16668912885073028,0.552029059173224,0.16570165125119654,0.04130777730444315,0.3294855097926625,81.34748614591147,64.56659222816816,89.17320200511732,0.038,0.932,False
Qwen/Qwen3-32B,adjacent_pair,22,23,500,0.1692969200505614,0.011599177071774052,0.45156313779280394,0.35445978535310974,0.1907310714339798,0.5536977036352657,0.16992333058273684,0.05650110276001316,0.33485389406377547,80.25305685731655,63.155982051393956,89.33540120419066,0.044,0.916,False
Qwen/Qwen3-32B,adjacent_pair,23,24,500,0.1581988611232884,0.01907426609693699,0.4184369679078163,0.3446694971735931,0.1898598559650655,0.5356651944342711,0.16174302942250784,0.04823756761038501,0.32493775107207995,80.89763044986941,65.26404603917483,88.90705877474507,0.036,0.928,False
Qwen/Qwen3-32B,adjacent_pair,24,25,500,0.13427762678753985,0.014451244416520598,0.4235613921387865,0.32060997583141815,0.15960659807235725,0.5288805199088945,0.14237700582653628,0.03893168922097407,0.30551707842215914,82.28314935877631,64.94036116401038,89.17197584948714,0.024,0.948,False
Qwen/Qwen3-32B,adjacent_pair,25,26,500,0.13948246846487564,0.013141160685816219,0.3827991390852086,0.3160635293390692,0.14300374878177158,0.504031685214184,0.13101920458449312,0.02918375983798427,0.2849452779141454,81.98209963060815,67.49282338320957,89.24704528097926,0.02,0.958,False
Qwen/Qwen3-32B,adjacent_pair,26,27,500,0.12742519128288043,0.008972095244085423,0.3597042626719305,0.3027718487056871,0.16115663408555425,0.48359043524618284,0.12728849549452365,0.03416785712735433,0.26711935068158416,82.67917056294614,68.91796507036513,89.48592991165773,0.022,0.958,False
Qwen/Qwen3-32B,adjacent_pair,27,28,500,0.11276950271520941,0.013062579196756952,0.3248926653365246,0.26392768206486783,0.13370924750253962,0.4298749145537569,0.09252647542139764,0.02432839472129153,0.21785210289510282,83.52500996102717,71.04092766754864,89.25154805503436,0.016,0.974,False
Qwen/Qwen3-32B,adjacent_pair,28,29,500,0.11106557104952383,0.01150588910443495,0.30361209596768274,0.2731360329424679,0.12100619642288009,0.43536253789238466,0.10132893488441022,0.02122620287427237,0.2241656105746214,83.62325526353504,72.32531558131646,89.34074656801138,0.016,0.97,False
Qwen/Qwen3-32B,adjacent_pair,29,30,500,0.11159727510900944,0.013624181333999912,0.3437618701369497,0.27068427210066226,0.1339564015821374,0.4313619900417165,0.10214105905816509,0.02391064272247023,0.23026544207832642,83.59259817546629,69.89376559133747,89.21936775755306,0.014,0.972,False
Qwen/Qwen3-32B,cumulative_top_k,1,3,500,0.9820255796019558,0.948672043879676,0.9906729618007112,0.9906254066730731,0.9791229715748702,0.9945107660633296,0.9813801237569499,0.9591162445467811,0.9890652622244628,10.879709243535126,7.831545695805333,18.43696752806231,nan,nan,True
Qwen/Qwen3-32B,cumulative_top_k,1,4,500,0.8750011148982889,0.5968409096689861,0.9667491406412718,0.9646877324508876,0.8939683060978433,0.9869507128429393,0.9333634786831977,0.8286394427902923,0.9742095337398468,28.954779997909935,14.816643348374589,53.354427844778215,nan,nan,False
Qwen/Qwen3-32B,cumulative_top_k,1,5,500,0.8822671716711394,0.35774746611392877,0.9594663758574051,0.9652603200830239,0.8528276212537365,0.9845932761175848,0.9339689100655351,0.7954594094873059,0.9696584121355727,28.082921597928458,16.36903523409617,69.0378740759893,nan,nan,False
Qwen/Qwen3-32B,cumulative_top_k,1,6,500,0.7853687136039766,0.22563058327317567,0.9260716397011457,0.9464216133367953,0.8409262976651367,0.9759916573477934,0.9030639470417934,0.8096577656331146,0.9536759949354455,38.24511614254429,22.169448841646737,76.95989449991012,nan,nan,False
Qwen/Qwen3-32B,cumulative_top_k,1,8,500,0.7622453032048522,0.14178637319081625,0.9044550563434695,0.9487522581343197,0.8711145097029155,0.9715404459024937,0.9054397901818585,0.8369888311509011,0.9451405999524939,40.33732061649738,25.250009433950442,81.84876774266155,nan,nan,False
Qwen/Qwen3-32B,cumulative_top_k,1,10,500,0.8308074952909508,0.38980674726009107,0.915493577644185,0.9597241925145701,0.9135597440200033,0.9752201797295778,0.9243652620391969,0.8654512318487375,0.9516218874667134,33.81822309608455,23.724079865525493,67.05693498576457,nan,nan,False
Qwen/Qwen3-32B,cumulative_top_k,1,13,500,0.3498693745111886,0.04143493676688048,0.7127685374404321,0.9073346928973163,0.8696198612075219,0.9485107082649499,0.8590079828436779,0.8133115665781651,0.9068671876178734,69.52067413299483,44.53935773771745,87.6252731343189,nan,nan,False
Llama-3.3-70B,adjacent_pair,1,2,500,0.9650958480300365,0.8941310148012951,0.9845978134207363,0.9771278921299715,0.9420349577707919,0.9885132479113757,0.9549178304933477,0.8896415242231599,0.9771757391485244,15.18264831831525,10.069034188073756,26.602492192458175,0.126,0.0,True
Llama-3.3-70B,adjacent_pair,2,3,500,0.8186497937812587,0.2827178066010833,0.9531201938591709,0.8890646438422529,0.5438057381579079,0.9641171674688882,0.795362029977494,0.372788589976307,0.929893913573736,35.05002100492783,17.613328029922446,73.57746763104386,0.0,0.192,False
Llama-3.3-70B,adjacent_pair,3,4,500,0.8546774478483236,0.4245065403451078,0.9425102295594874,0.9040381963648778,0.6819340306459074,0.9565659968642508,0.8202721024566294,0.544207516714779,0.9150992059113249,31.27587412133704,19.52250525027112,64.88048742692914,0.056,0.116,False
Llama-3.3-70B,adjacent_pair,4,5,500,0.7040654708750707,0.1516889740210071,0.8865442940421598,0.7892980106994736,0.4941350682970819,0.9134374874750223,0.630510912045561,0.36016255683010007,0.8351443265679972,45.245880396112,27.55782958966389,81.27518085599216,0.04,0.322,False
Llama-3.3-70B,adjacent_pair,5,6,500,0.6621913100170409,0.12479212137792364,0.8651197424547197,0.7614399783231343,0.45302368661437925,0.8949622840418954,0.5940542629862665,0.29642716240845823,0.8024081614865479,48.53278876741885,30.103617490754797,82.83124194899318,0.162,0.336,False
Llama-3.3-70B,adjacent_pair,6,7,500,0.4374864426904608,0.0471766045981705,0.7932463955924729,0.620671490629682,0.342707043754506,0.8405051738149146,0.43820421708895596,0.17668365485087426,0.7114966767990636,64.05638323191107,37.50977080812966,87.29597547308245,0.084,0.614,False
Llama-3.3-70B,adjacent_pair,7,8,500,0.3876983674630591,0.03146040334574411,0.7617540240349514,0.577127120759773,0.3434028014022895,0.8223775080775282,0.397072112061125,0.1797486180630421,0.6787148255723436,67.18863878276503,40.38018584215451,88.19715411728825,0.106,0.66,False
