model,reference_component,bootstrap_replicates,median_matched_loading_cosine,loading_cosine_q05,loading_cosine_q95,same_nominal_component_frequency,modal_matched_component,modal_match_frequency,score_pearson_median,score_pearson_q05,score_pearson_q95,score_spearman_median,score_spearman_q05,score_spearman_q95,individual_axis_stable
Qwen/Qwen3-32B,12,500,0.5884142178644542,0.32621275727998056,0.7896871699948541,0.258,11,0.302,0.607148291396403,0.35465482995810366,0.8031625914056097,0.5580306396237846,0.29448160757046826,0.7744838290874468,False
Qwen/Qwen3-32B,13,500,0.5770813731449347,0.40360543250775166,0.7722908772495719,0.254,13,0.254,0.5985235855652937,0.4127207772881072,0.7841601772653533,0.5771651135281728,0.38896165719396436,0.7846792648798361,False
Qwen/Qwen3-32B,14,500,0.5903163254901617,0.3873869176837236,0.7683441196363476,0.258,14,0.258,0.6102669471641967,0.4161916980876797,0.78064605946522,0.5938432243732149,0.3891278670551917,0.7710336978159892,False
Qwen/Qwen3-32B,15,500,0.5424345509032432,0.3402978562561581,0.7245921511421414,0.172,15,0.172,0.5530949488917011,0.3569879172361346,0.7464850969283581,0.4989587721069791,0.2696022042064568,0.7072661492744006,False
Qwen/Qwen3-32B,16,500,0.5565664514460293,0.3743358893492632,0.7371755319758398,0.186,17,0.206,0.569717977543313,0.38816308719198134,0.7505789065609163,0.5645610340151757,0.3752102939903639,0.7487598742102073,False
Qwen/Qwen3-32B,17,500,0.5216381038370588,0.32856061426366273,0.6790364193322879,0.152,16,0.158,0.5336221880798299,0.34237639117178653,0.70272262893642,0.47662185164882725,0.25488021118836734,0.6592958079686102,False
Qwen/Qwen3-32B,18,500,0.5189723224860434,0.35246757951139174,0.7085816481434479,0.198,18,0.198,0.5335424310936123,0.3703165892344279,0.7142500629470961,0.5106520296586943,0.33172643605204694,0.7056817172037736,False
Qwen/Qwen3-32B,19,500,0.5165959409364599,0.31850288760928297,0.7121555505378023,0.186,18,0.188,0.5268011381173365,0.34864278632743895,0.7260128404914652,0.5294134618158739,0.33097686160237727,0.7289419231989843,False
Qwen/Qwen3-32B,20,500,0.47531498633964275,0.2718796158475815,0.65941913099559,0.194,20,0.194,0.48779951274071126,0.31456421373619015,0.6618129459579586,0.45356856409220736,0.26757912351057384,0.6565941836646375,False
Qwen/Qwen3-32B,21,500,0.4694270387835343,0.259950697680824,0.6553448567694174,0.14,22,0.164,0.47499832913306167,0.30494889915255,0.6660490101067917,0.4556588096131099,0.2655676697152419,0.6440925535904908,False
Qwen/Qwen3-32B,22,500,0.4722330461414852,0.300745542910134,0.6341859214721899,0.16,21,0.17,0.48256137367705376,0.3165366984247816,0.6475404796775739,0.45839127549695624,0.2679650038948675,0.6346012232768816,False
Qwen/Qwen3-32B,23,500,0.48204215975783016,0.3031694491151648,0.6569245172847452,0.178,23,0.178,0.49441567655988417,0.32889898946205715,0.6705364557076169,0.47810190127232344,0.29907994576036473,0.664216121866074,False
Qwen/Qwen3-32B,24,500,0.4781353081849643,0.3060375817896256,0.6385173090076267,0.134,23,0.174,0.4870671786823405,0.32350810692714826,0.6489414833118979,0.46989036669455586,0.29900398142003987,0.641460171374167,False
Qwen/Qwen3-32B,25,500,0.4537880669400145,0.2790057727997226,0.628390558173058,0.146,25,0.146,0.4629872951271471,0.3144706186721322,0.6248489595002079,0.4495761807218488,0.2823913909004357,0.6206288047084619,False
Qwen/Qwen3-32B,26,500,0.45633647093874696,0.3059469100967188,0.6169130874223202,0.144,26,0.144,0.466513753806279,0.32517283983531414,0.6409154568280625,0.43807016531548426,0.2752372984045469,0.6109328351749805,False
Qwen/Qwen3-32B,27,500,0.4098922952256009,0.28631535918419604,0.5709770060840613,0.102,26,0.174,0.416524363444186,0.299091442273597,0.5877867733787461,0.40833530480944,0.270819739765154,0.5756485964051816,False
Qwen/Qwen3-32B,28,500,0.3959444406981251,0.2518405492489042,0.554819574105203,0.092,29,0.136,0.4002764785638703,0.2692236331866519,0.5566240072429935,0.38356567900522204,0.22942641585643808,0.5460764836559823,False
Qwen/Qwen3-32B,29,500,0.42826964982125204,0.2962899062506,0.5701505112693723,0.144,29,0.144,0.4334225176512245,0.3112675997417908,0.5782279013573488,0.4336885837107989,0.29482147081734517,0.571206889587721,False
Qwen/Qwen3-32B,30,500,0.4096613407661908,0.3027632446186479,0.5500563975094013,0.09,28,0.134,0.42183287426888405,0.30039467445692675,0.5606237191011787,0.41379042728138254,0.28960439687256573,0.5548792014079224,False
Llama-3.3-70B,1,500,0.9686368855617056,0.764354743704413,0.9912128561673469,0.874,1,0.874,0.9822883502806847,0.8058188720753152,0.9984018636540796,0.9601883961801448,0.8017853495282884,0.9968069588298089,True
Llama-3.3-70B,2,500,0.939665386404047,0.746379110491591,0.9795970852014744,0.874,2,0.874,0.9633001839032939,0.728864302272032,0.9945019156223879,0.963500187530654,0.6091730475173828,0.9959037534981682,False
Llama-3.3-70B,3,500,0.8481299567319354,0.6341097632856266,0.9575459513329068,0.922,3,0.922,0.8846073196540039,0.6713145923030732,0.977378197045974,0.8885003317850033,0.6508199705721127,0.9787826952482617,False
Llama-3.3-70B,4,500,0.8075867347923815,0.482377295344854,0.9299341498203361,0.828,4,0.828,0.8278256701857651,0.5337633702465477,0.9598147465232708,0.8462283257840224,0.2766669455584086,0.9614952540319092,False
Llama-3.3-70B,5,500,0.7658676493793242,0.528834011324187,0.9001812842150237,0.692,5,0.692,0.7994677364744298,0.5539591056577842,0.9304297031220491,0.7892579556273622,0.49743045497821764,0.9354746256599639,False
Llama-3.3-70B,6,500,0.6971627686137591,0.4211935524612247,0.8688841264477362,0.53,6,0.53,0.7251608725605376,0.47051397906707676,0.9044611498943574,0.7095026110037217,0.442966879201408,0.8986257176653876,False
Llama-3.3-70B,7,500,0.6481705633748713,0.43764140741268476,0.8468346554866424,0.452,7,0.452,0.6862013911326009,0.47138797614538813,0.8796804433002898,0.6615697758287413,0.41616312281815304,0.8532704480540088,False
Llama-3.3-70B,8,500,0.6392718652016963,0.42157013342177946,0.8114818407152246,0.35,8,0.35,0.6663115557913939,0.4554982870400292,0.8437412669750348,0.6220126366809959,0.3872606676091285,0.8264421395805083,False
Llama-3.3-70B,9,500,0.6175606243525589,0.41979749620334966,0.8001695349998826,0.288,9,0.288,0.6380906416583787,0.44188079455531315,0.8283051945134021,0.6189403075502726,0.4122478578229134,0.8164334554686822,False
Llama-3.3-70B,10,500,0.5645209514090499,0.3775316455986719,0.7608910978414333,0.226,10,0.226,0.5818612370738312,0.403823259407929,0.7922701277131257,0.5716886414125386,0.3126612042353077,0.7788519950376503,False
Llama-3.3-70B,11,500,0.5538098909689629,0.37134763849683194,0.7360609833418204,0.228,11,0.228,0.5703939097573915,0.4064250384989307,0.7664128115259531,0.548470038371657,0.33952802862006287,0.7705560139638207,False
Llama-3.3-70B,12,500,0.5759698770610999,0.3719254581827476,0.7530050656446482,0.262,12,0.262,0.5955399277454121,0.3877053926174627,0.7829030721210596,0.592272006000981,0.35627382360578175,0.7937571045267016,False
Llama-3.3-70B,13,500,0.35106251688715073,0.07770313428744068,0.7434647978600722,0.096,12,0.102,0.3890641492075112,0.17306575085619263,0.7424662154377037,0.26995816623871205,0.03596855255185945,0.6018545627650673,False
Llama-3.3-70B,14,500,0.5573595531980615,0.3364946279230017,0.737126413949035,0.18,13,0.272,0.5760063823639338,0.38856930307109966,0.7540971846747092,0.5403900637604224,0.3442905859611668,0.7404647009607338,False
Llama-3.3-70B,15,500,0.48698562235664566,0.30765189106697216,0.6720131709467667,0.242,15,0.242,0.505319551528111,0.331128171162405,0.6963137514760547,0.47739534346960566,0.2721583624246271,0.6704621620841869,False
Llama-3.3-70B,16,500,0.47117262049516595,0.27790428436219156,0.6621790604496008,0.174,16,0.174,0.48867150791917746,0.32437963265652564,0.6839422014112043,0.48311127780502583,0.275651885404345,0.6856201205966359,False
Llama-3.3-70B,17,500,0.4621953114275409,0.2549860218134889,0.6416536354328488,0.1,15,0.156,0.47937934417540096,0.2915915684372513,0.6706102641702555,0.46599521075560435,0.24387752805747093,0.6616918438590924,False
Llama-3.3-70B,18,500,0.4372051029587575,0.23430696098387893,0.6240594694967986,0.136,17,0.138,0.44577714920719275,0.27990327660055064,0.6408101015394839,0.41896742736793513,0.2267737226277372,0.6114003635209602,False
Llama-3.3-70B,19,500,0.43472572602869636,0.2424767597837554,0.6108211755718141,0.134,19,0.134,0.44894668167796437,0.2789302640185887,0.6253146692865428,0.4459493378725369,0.20847194252906726,0.6275973861111913,False
Llama-3.3-70B,20,500,0.45531003810178683,0.3010630362074081,0.6268902271612802,0.116,19,0.144,0.47606466625974275,0.32199848437766804,0.6364960104562957,0.5027930527105393,0.32442237673465857,0.6723497013934969,False
Llama-3.3-70B,21,500,0.45051472957324423,0.28562707694820305,0.6312854158465648,0.122,20,0.138,0.4675402420127759,0.31503017982587045,0.6516240170013956,0.46942096304203573,0.29637214737024326,0.6431594876085514,False
Llama-3.3-70B,22,500,0.41848522596770277,0.2443456547781214,0.5883900776920613,0.12,20,0.126,0.43768211623966746,0.28466870369104336,0.6036486270684263,0.43388707769539253,0.2448402527336199,0.6053522979717838,False
Llama-3.3-70B,23,500,0.3960932849513973,0.21369952259878186,0.5684043538578173,0.09,22,0.108,0.4096923935313974,0.2590941067996461,0.5818599945270427,0.39285017743284967,0.21638273563947957,0.5731427541040361,False
Llama-3.3-70B,24,500,0.41540330563926553,0.2228943274669976,0.5744120852635428,0.106,21,0.11,0.4289906584411687,0.27550208099876144,0.5926725544632184,0.4292735350970832,0.24877672311820204,0.5900268890107037,False
Llama-3.3-70B,25,500,0.4171501085553182,0.23146607989056048,0.5835788850593193,0.11,23,0.132,0.429702049684888,0.2750099648230079,0.6003060878275258,0.42297596722541186,0.25125835953954007,0.5871064020080206,False
Llama-3.3-70B,26,500,0.37536216461704686,0.22567963617818654,0.5326393250392922,0.092,27,0.114,0.3875574498028215,0.25980145179936426,0.5418519252048503,0.3867632209111105,0.23697801563717147,0.5464761547560658,False
Llama-3.3-70B,27,500,0.34933307058896634,0.18815669872949173,0.5273422233508827,0.07,26,0.074,0.3627951081063589,0.23069498945595263,0.5461014794268878,0.3075364242231904,0.13811107584893684,0.49905242203052413,False
Llama-3.3-70B,28,500,0.3562132597206277,0.2173183388011812,0.49858496270446606,0.086,28,0.086,0.36531172617672275,0.24413778993689444,0.5117346910910495,0.3595141513516632,0.18294241366377198,0.5196961426387006,False
Llama-3.3-70B,29,500,0.34988084299799316,0.20178330006635906,0.49887067999124407,0.096,29,0.096,0.3630493899448554,0.2437371309909751,0.5141358595334783,0.35348518507833016,0.20274966100227923,0.5093685410115115,False
Llama-3.3-70B,30,500,0.3465881927475491,0.2116538158135452,0.49390535959448745,0.07,28,0.094,0.35808634300026754,0.24695176040429756,0.5093587406740896,0.3480439110239174,0.21182112460690694,0.4857288018233749,False
Llama-3.3-70B,31,500,0.3491784802425084,0.21028151959291116,0.502335849618543,0.068,27,0.082,0.35595294672414995,0.24318157436752413,0.5077662682957406,0.34322379619745536,0.1891801159804968,0.5072468191915985,False
Llama-3.3-70B,32,500,0.354942593418047,0.2177312735714546,0.4950979257496644,0.052,30,0.1,0.3700764382957733,0.25705882396396607,0.5142528898667049,0.35567150399584546,0.19697928507544504,0.5008953290441708,False
Llama-3.3-70B,33,500,0.3559580843524322,0.24516812067673283,0.4937612445805378,0.086,33,0.086,0.36880704697128197,0.265781763136826,0.5026638313675953,0.3594071146245059,0.2296447592394911,0.5072426358154697,False
Llama-3.3-70B,34,500,0.3390232602963791,0.2190895373922732,0.5031202099573616,0.07,32,0.072,0.3432080115150123,0.23051392335184168,0.5122483685438066,0.31841204812325097,0.17237399382591384,0.4819340180606446,False
Llama-3.3-70B,35,500,0.3355281017901221,0.21488262551616005,0.4697452523335474,0.06,33,0.082,0.3461260058115367,0.2401101783143823,0.4628620573723571,0.35671100083667523,0.2287388419260841,0.48926014829347103,False
Llama-3.3-70B,36,500,0.3393820455515143,0.21765782790205063,0.4835735542362283,0.076,35,0.086,0.34517725756375256,0.24765078516754224,0.47755495621004956,0.3568168835290384,0.22720637027206375,0.5130978621505436,False
Llama-3.3-70B,37,500,0.3227107089505945,0.2083187606794154,0.45102015193483247,0.052,35,0.068,0.33634649950788365,0.23105211035396478,0.46466313289344907,0.3113611840396988,0.2023206774184242,0.4535488300972274,False
Llama-3.3-70B,38,500,0.3121241885176248,0.20116244975378758,0.45679637871439777,0.06,34,0.072,0.3171341489681077,0.22140097454422672,0.45001922835154234,0.2950800611638441,0.13904264158564383,0.44691162978563787,False
Llama-3.3-70B,39,500,0.31647357532659837,0.20815931890259606,0.46063091627203945,0.066,35,0.068,0.322561985300215,0.22662256436572858,0.4573984011333361,0.29433253512593405,0.14708860102132082,0.4429813911889443,False
Llama-3.3-70B,40,500,0.31683584799581754,0.21881871133367367,0.4564171417846851,0.042,38,0.084,0.32809907545422967,0.23069958186899045,0.4571495866044238,0.3200689535789504,0.18475015146706675,0.4490740024811748,False
Llama-3.3-70B,41,500,0.32189865496409403,0.2156427286008784,0.43755652205819556,0.068,43,0.068,0.32437571077370564,0.22784970840159494,0.4411539478243298,0.3159049075329622,0.1758289143417674,0.45334612388563517,False
Llama-3.3-70B,42,500,0.32174451426856243,0.21591684868865854,0.4484959426726221,0.078,41,0.096,0.32114730675776376,0.2339860065327408,0.44689615762831114,0.310529990479213,0.1897987074810306,0.4612445111220103,False
Llama-3.3-70B,43,500,0.3216030812228805,0.22730295522290525,0.43691219663577574,0.046,40,0.082,0.3246490530431671,0.23227707206164241,0.432624999397494,0.3158333573757249,0.19392553590490755,0.44112195262687165,False
Llama-3.3-70B,44,500,0.30727182590908086,0.21383453776104028,0.4304940724754207,0.068,42,0.076,0.30826811800942444,0.2169374721939553,0.43394938517991866,0.2808721617956782,0.14207261763942186,0.41159337584028155,False
Llama-3.3-70B,45,500,0.31913408550802225,0.22510471422333778,0.45131539283275496,0.062,41,0.07,0.3193352162170958,0.22812258023979548,0.4460921262951773,0.31634719136781975,0.1944348980121751,0.44923435561582176,False
Gemma-2-27B,1,500,0.9913914955079175,0.9745258245694272,0.99570174919086,1.0,1,1.0,0.9982473074706919,0.9905342379326879,0.9996012793341658,0.9985314907244454,0.9928386947866478,0.9995866247367359,True
Gemma-2-27B,2,500,0.9714216541969393,0.9026242798275155,0.9870347823535853,0.998,2,0.998,0.9875883305424786,0.9451125901672925,0.9970486479971589,0.9826309108219613,0.9138287700874183,0.9961870978910015,True
Gemma-2-27B,3,500,0.833972044096428,0.6635197420172271,0.9467091175860439,0.632,3,0.632,0.8607476564214872,0.6980436284129364,0.9655901363346394,0.8901941663541156,0.6000315917024899,0.9709055711029689,False
Gemma-2-27B,4,500,0.7543799440119947,0.41862799663732053,0.9265337593518564,0.444,4,0.444,0.7757732468226548,0.5177349596715076,0.9513008137636315,0.7308392718040448,0.32504483425175273,0.93867060961888,False
Gemma-2-27B,5,500,0.7947064581693819,0.5603275839457061,0.932757733389611,0.668,5,0.668,0.8173205651972186,0.5872926366096529,0.9497882867918005,0.8109013011742305,0.5739566659934797,0.9473930065491475,False
Gemma-2-27B,6,500,0.7359894218680147,0.5273043728898549,0.8916510821423617,0.534,6,0.534,0.7515548438640292,0.526987918672974,0.9165597285403271,0.7382481751824818,0.4907408614869738,0.9226224575170942,False
Gemma-2-27B,7,500,0.7363472925802945,0.5229551556674779,0.889767454174147,0.532,7,0.532,0.7547144411798534,0.5368412223974058,0.9087000479334622,0.741099218141427,0.5254557283402095,0.8993622803727531,False
Gemma-2-27B,8,500,0.7356370358587123,0.52839124815027,0.8906987680215619,0.616,8,0.616,0.7560002767789343,0.5278821296596102,0.9173912441992398,0.7530553071175096,0.5109939701682006,0.9165058711520151,False
Gemma-2-27B,9,500,0.6449793847436542,0.4210720091775568,0.8440725063009379,0.526,9,0.526,0.670834396490604,0.42545905689363606,0.868681318387035,0.6478586884394566,0.40202290759066384,0.8502726984218574,False
Gemma-2-27B,10,500,0.6077827595248749,0.4026989930927865,0.7971051572790209,0.34,10,0.34,0.6344664719535751,0.42597028807150866,0.8195470252399137,0.639067251377629,0.4060614523527885,0.8373054730100112,False
Gemma-2-27B,11,500,0.5791317860254153,0.36579936310108846,0.7713260939753456,0.262,11,0.262,0.5965910972885853,0.3858579040052331,0.787221457689658,0.5744906378927326,0.3551902714866853,0.7680451227604511,False
Gemma-2-27B,12,500,0.5685240094454527,0.3824864273421876,0.7556925637931775,0.248,12,0.248,0.5858630611497927,0.38124100305699404,0.7773079512023967,0.5599630708865873,0.35651873863997,0.7578978390698479,False
Gemma-2-27B,13,500,0.5248962612689454,0.32895816273056416,0.7241107507444869,0.198,13,0.198,0.5408038296376092,0.34515524022554545,0.7520437256838831,0.5039219872479156,0.2815286344883299,0.7301320792821904,False
Gemma-2-27B,14,500,0.5412512199640559,0.36409387953397926,0.7318470524462525,0.22,14,0.22,0.5568556240537557,0.3828094408334101,0.7446396077973776,0.5630933902657165,0.37372701306944406,0.7563879864977929,False
Gemma-2-27B,15,500,0.5057126657956323,0.3244663653459851,0.6926830184907722,0.174,14,0.194,0.5227390846014469,0.3378436824697517,0.7125800753844743,0.49795129973168695,0.293700989584836,0.6914747122125732,False
Gemma-2-27B,16,500,0.48650565449217614,0.2827609956093151,0.6616867807189603,0.17,16,0.17,0.5095898072751415,0.31817740208173556,0.6820423413219454,0.47330457863304576,0.2515829029745247,0.6669519055999539,False
Gemma-2-27B,17,500,0.4954602793384234,0.3250971130686806,0.688125046008233,0.194,17,0.194,0.514626591854354,0.3524076478567483,0.7009938954256502,0.5129603877556909,0.32555191714030185,0.7116116095900292,False
Gemma-2-27B,18,500,0.4567525503041622,0.25309776725283994,0.6278949654797316,0.148,17,0.15,0.4683602407201656,0.30073898299902074,0.6429729569262104,0.4424817518248175,0.2583057038169701,0.6094240500851101,False
Gemma-2-27B,19,500,0.48121506153954674,0.3057515117702113,0.6455695217162111,0.156,18,0.178,0.48842385087959583,0.33324245431763816,0.6585232899903276,0.4867813969591183,0.2851119125241626,0.6628897896771587,False
Gemma-2-27B,20,500,0.4591100212249206,0.2582088556900474,0.6437489156313381,0.16,20,0.16,0.4725186734744835,0.3054424763609013,0.6583594989666481,0.46456449611955797,0.271370214361963,0.6727036438648626,False
Gemma-2-27B,21,500,0.43740413870419226,0.25912254493349623,0.6117282744580647,0.16,21,0.16,0.4500829039068127,0.2856984750915971,0.6227765425559009,0.45867199446063306,0.2735826721675659,0.6267067597588066,False
Gemma-2-27B,22,500,0.43693574398991886,0.2464395189382218,0.6137521521858262,0.122,23,0.128,0.4490221711813172,0.27689005396124505,0.6303411618445206,0.43643374397738094,0.25535622169008393,0.6254420818787685,False
Gemma-2-27B,23,500,0.39436086392938935,0.22998498247792692,0.5596345561957646,0.124,23,0.124,0.4076037209626689,0.26733708227082165,0.5771964925582692,0.3878684977352067,0.21692617062404435,0.5690083667522575,False
Gemma-2-27B,24,500,0.44520687457554275,0.2915972517072235,0.6010644290051911,0.126,22,0.142,0.45640556171831,0.3127205732831718,0.6091949193844265,0.46069790254176163,0.2934963792158334,0.6167749055134011,False
Gemma-2-27B,25,500,0.4288878653355809,0.26546081473405353,0.6080989196119658,0.11,24,0.112,0.445967932285045,0.2925756655148974,0.6136212746385113,0.42535039381437345,0.26062459248146336,0.5944715097660191,False
Gemma-2-27B,26,500,0.3755868483283601,0.23677725351425644,0.549860583221124,0.102,26,0.102,0.3932123418403362,0.27559974307522755,0.55612208597157,0.3583283806006752,0.19750148581979748,0.5499558004673839,False
Gemma-2-27B,27,500,0.3955754363580446,0.2590632574458085,0.5690895132921435,0.122,27,0.122,0.40620396215912985,0.28344478244477794,0.5901484516565623,0.3808917803871787,0.24255659098121807,0.551599982689478,False
Gemma-2-27B,28,500,0.39651421562302636,0.26576447320602176,0.55491657245479,0.104,27,0.116,0.4079091522082472,0.28851311816941816,0.5557827816284934,0.38824990623467304,0.2720559129857765,0.547566861890886,False
Gemma-2-27B,29,500,0.3865840174757458,0.25736391978060863,0.5412617026893998,0.106,29,0.106,0.3938106790874517,0.2820164734120337,0.5464596458687312,0.38321831453218314,0.24052266235827013,0.5489563486339113,False
Gemma-2-27B,30,500,0.3681009372088152,0.23531467379594104,0.5323761918270394,0.1,28,0.102,0.37835687701977505,0.24973087250768433,0.5366814992835255,0.3616450765990595,0.21215365973284098,0.5096734947058652,False
Gemma-2-27B,31,500,0.38221306666495025,0.2582580235695103,0.5342883317725314,0.088,30,0.108,0.3942389171477564,0.2779609208781713,0.544323331979735,0.38370849081099795,0.2545125934046912,0.5391607858976947,False
Gemma-2-27B,32,500,0.3619271811551056,0.24715267562876814,0.5287518322728776,0.088,29,0.104,0.3738398135947586,0.2650402707034869,0.5320242723311992,0.3480623755806238,0.2218890972562823,0.49747549118605927,False
Gemma-2-27B,33,500,0.37571724449299215,0.2711646375199502,0.5153057538141228,0.092,34,0.104,0.38584050956752136,0.2805898082627232,0.5221134975903134,0.3729468278468596,0.24691330313608958,0.5204770491330313,False
Gemma-2-27B,34,500,0.37255443488238416,0.2607366048117419,0.5107923259953696,0.09,35,0.102,0.3778260096475575,0.27646923616854713,0.5201080439739213,0.3715057268976659,0.2459611090274372,0.5150111075848935,False
Gemma-2-27B,35,500,0.3476200424520215,0.24432286300940229,0.48748503593091047,0.054,34,0.108,0.356289461489178,0.2550973530270202,0.49198522674701517,0.341637286864199,0.21431389746400856,0.4746069068982429,False
