control_type,model_a,model_b,reference_component,top_k,search_components,observed_statistic,null_mean,null_95th_percentile,null_99th_percentile,empirical_p_value,permutations,seed
best_component_absolute_pearson,Qwen/Qwen3-32B,Gemma-2-27B,5,,20,0.6511572662495112,0.13152802365237057,0.1834693364763105,0.20844713350768584,0.000999000999000999,1000,51001
best_component_absolute_pearson,Qwen/Qwen3-32B,Gemma-2-27B,6,,20,0.5695016863668106,0.13210610113375787,0.18073194736419745,0.21224249921105956,0.000999000999000999,1000,51001
best_component_absolute_pearson,Qwen/Qwen3-32B,Gemma-2-27B,7,,20,0.5392033316416561,0.12940229893842908,0.17774207983512746,0.20152672143447034,0.000999000999000999,1000,51001
best_component_absolute_pearson,Qwen/Qwen3-32B,Gemma-2-27B,8,,20,0.5528053546866487,0.13075361102252747,0.17681476452354095,0.202228247449559,0.000999000999000999,1000,51001
best_component_absolute_pearson,Qwen/Qwen3-32B,Gemma-2-27B,9,,20,0.5937300132468099,0.12917410965647572,0.1823615686776122,0.20864535837088294,0.000999000999000999,1000,51001
best_component_absolute_pearson,Qwen/Qwen3-32B,Gemma-2-27B,10,,20,0.5644644006844324,0.13086242233699488,0.1828253266830944,0.20641074618404875,0.000999000999000999,1000,51001
best_component_absolute_pearson,Qwen/Qwen3-32B,Gemma-2-27B,11,,20,0.5861286072947084,0.1303551342849872,0.18744241149355934,0.22228224692588383,0.000999000999000999,1000,51001
best_component_absolute_pearson,Qwen/Qwen3-32B,Gemma-2-27B,12,,20,0.4876741760967761,0.13095443809135218,0.18416322870765245,0.2148681173652265,0.000999000999000999,1000,51001
best_component_absolute_pearson,Qwen/Qwen3-32B,Gemma-2-27B,13,,20,0.4433225466507748,0.13020686621849273,0.17924579533818444,0.21307155011461387,0.000999000999000999,1000,51001
mean_subspace_canonical_correlation,Qwen/Qwen3-32B,Llama-3.3-70B,,3,,0.7887669081540262,0.08679625346796609,0.12080994082876895,0.13654369529456162,0.000999000999000999,1000,51001
mean_subspace_canonical_correlation,Qwen/Qwen3-32B,Llama-3.3-70B,,4,,0.9084487877596392,0.10028356515812711,0.13151277645024412,0.14494402332671205,0.000999000999000999,1000,51001
mean_subspace_canonical_correlation,Qwen/Qwen3-32B,Llama-3.3-70B,,5,,0.8912601346788849,0.11245793819898092,0.1396077241809417,0.1561419866456556,0.000999000999000999,1000,51001
mean_subspace_canonical_correlation,Qwen/Qwen3-32B,Llama-3.3-70B,,6,,0.8881534420908138,0.12355216491532027,0.14802104910212124,0.1652159875943463,0.000999000999000999,1000,51001
mean_subspace_canonical_correlation,Qwen/Qwen3-32B,Llama-3.3-70B,,8,,0.8377290520572581,0.14292614966090714,0.1642814752717737,0.17618996971614492,0.000999000999000999,1000,51001
mean_subspace_canonical_correlation,Qwen/Qwen3-32B,Llama-3.3-70B,,10,,0.8649593331893028,0.16001732942880847,0.18063016039264768,0.18820410513197375,0.000999000999000999,1000,51001
mean_subspace_canonical_correlation,Qwen/Qwen3-32B,Gemma-2-27B,,3,,0.9203500757888049,0.08553516399231872,0.12162704239719432,0.1426053487580759,0.000999000999000999,1000,51001
mean_subspace_canonical_correlation,Qwen/Qwen3-32B,Gemma-2-27B,,4,,0.8770915883281051,0.09947526052972325,0.13303158152302474,0.14985133244423282,0.000999000999000999,1000,51001
mean_subspace_canonical_correlation,Qwen/Qwen3-32B,Gemma-2-27B,,5,,0.9106433500096701,0.11177600877126098,0.13982418524255277,0.15589202212610787,0.000999000999000999,1000,51001
mean_subspace_canonical_correlation,Qwen/Qwen3-32B,Gemma-2-27B,,6,,0.8174618994738186,0.12322454248400254,0.1501926412419805,0.16301223954796026,0.000999000999000999,1000,51001
mean_subspace_canonical_correlation,Qwen/Qwen3-32B,Gemma-2-27B,,8,,0.8497960620645191,0.1436118885872926,0.16657283166523681,0.1790948960259159,0.000999000999000999,1000,51001
mean_subspace_canonical_correlation,Qwen/Qwen3-32B,Gemma-2-27B,,10,,0.8851709265401245,0.16083358958098173,0.18079802946251772,0.19234893910777606,0.000999000999000999,1000,51001
mean_subspace_canonical_correlation,Llama-3.3-70B,Gemma-2-27B,,3,,0.6796411840175395,0.0866457840600379,0.12503671946760012,0.1421051432881853,0.000999000999000999,1000,51001
