pair,source_model,target_model,dimensions,variant,protocol,repeat_seed,fit_roles_only,coordinate_rmse,geometric_rmse,mean_aligned_coordinate_correlation,distance_matrix_correlation,nearest_neighbor_jaccard_k10,pc1_heldout_correlation,pc2_heldout_correlation,pc3_heldout_correlation,pc4_heldout_correlation,pc5_heldout_correlation,pc6_heldout_correlation
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,3,variance_standardized,repeated_5fold,7108,True,0.67219931037,1.16428335837,0.782167734162,0.709986074175,0.194882076987,0.964911939904,0.929649049687,0.451942212897,,,
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,3,variance_standardized,repeated_5fold,7109,True,0.677410013262,1.17330856052,0.782350884826,0.705932841226,0.196288523998,0.963633624117,0.931779761161,0.451639269201,,,
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,3,variance_standardized,qwen_canonical_role_family_holdout,,True,0.869748321477,1.5064482826,0.769430537545,0.810542645005,0.233010450162,0.968817521063,0.926808628515,0.412665463059,,,
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,3,variance_standardized,repeated_5fold,7100,True,0.409646402127,0.709528381622,0.917558461977,0.850395668961,0.276264368586,0.97610557971,0.957616339515,0.818953466707,,,
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,3,variance_standardized,repeated_5fold,7101,True,0.410306379155,0.710671495367,0.918536899268,0.848931879418,0.281719479195,0.976393432968,0.955948654797,0.82326861004,,,
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,3,variance_standardized,repeated_5fold,7102,True,0.405739701475,0.702761777602,0.918711297256,0.849525566455,0.278487394958,0.975920398764,0.957212445146,0.823001047858,,,
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,3,variance_standardized,repeated_5fold,7103,True,0.419997181232,0.72745645693,0.915537132452,0.841662873617,0.275860142609,0.976448324819,0.958130597346,0.812032475192,,,
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,3,variance_standardized,repeated_5fold,7104,True,0.407877219857,0.706464068042,0.918263580591,0.84756295226,0.281170930892,0.976332512647,0.958513481725,0.819944747399,,,
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,3,variance_standardized,repeated_5fold,7105,True,0.411939172719,0.713499576776,0.917727324209,0.847532454779,0.272484237469,0.976622570248,0.958157026748,0.818402375633,,,
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,3,variance_standardized,repeated_5fold,7106,True,0.408568051024,0.707660622724,0.918797646774,0.847689410656,0.277597699858,0.976343455233,0.956975686031,0.823073799058,,,
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,3,variance_standardized,repeated_5fold,7107,True,0.413768563878,0.716668175211,0.916816441486,0.846473411889,0.272121799769,0.976407721972,0.957942679711,0.816098922775,,,
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,3,variance_standardized,repeated_5fold,7108,True,0.411819984271,0.71329313633,0.917327713927,0.848151493899,0.277779097408,0.976586200864,0.958762707811,0.816634233105,,,
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,3,variance_standardized,repeated_5fold,7109,True,0.4244599116,0.735186132668,0.913833480898,0.836847139232,0.272526013562,0.975893570827,0.957970622577,0.80763624929,,,
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,3,variance_standardized,qwen_canonical_role_family_holdout,,True,0.471391834527,0.816474607674,0.914926145686,0.909021277549,0.313523061046,0.984035793976,0.970807296917,0.789935346167,,,
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,3,variance_standardized,repeated_5fold,7100,True,0.932495522848,1.6151296234,0.59545746195,0.771505157491,0.159339329401,0.966359260961,0.922062798932,-0.102049674042,,,
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,3,variance_standardized,repeated_5fold,7101,True,0.82539510083,1.42962625096,0.671094553653,0.787508754968,0.196169743569,0.968353984723,0.947138686981,0.0977909892544,,,
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,3,variance_standardized,repeated_5fold,7102,True,0.816095238667,1.41351841719,0.675166330762,0.788385090409,0.188858764215,0.967996610432,0.947935168142,0.109567213711,,,
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,3,variance_standardized,repeated_5fold,7103,True,0.902907293763,1.56388130732,0.634007777822,0.784818808439,0.18373922603,0.967439610761,0.910770013327,0.023813709377,,,
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,3,variance_standardized,repeated_5fold,7104,True,0.838068804212,1.45157774913,0.662508587525,0.789339008678,0.193817692455,0.967436348569,0.936329202694,0.0837602113121,,,
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,3,variance_standardized,repeated_5fold,7105,True,0.857445488646,1.48513915106,0.652953105654,0.788760907315,0.185330716755,0.968283713362,0.93034844364,0.0602271599595,,,
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,3,variance_standardized,repeated_5fold,7106,True,0.854727121049,1.48043080026,0.656796857063,0.784343405262,0.192334247983,0.965435327254,0.928364389792,0.0765908541442,,,
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,3,variance_standardized,repeated_5fold,7107,True,0.917680615467,1.58946945111,0.608644402002,0.76976820773,0.153461997239,0.964154109457,0.937761541242,-0.0759824446944,,,
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,3,variance_standardized,repeated_5fold,7108,True,0.842019795979,1.45842106762,0.662018221111,0.78683109615,0.195059168558,0.967547268706,0.933986812366,0.084520582262,,,
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,3,variance_standardized,repeated_5fold,7109,True,0.865577665989,1.49922449539,0.652654952047,0.790920773284,0.19261169515,0.968225930923,0.920316095744,0.0694228294753,,,
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,3,variance_standardized,qwen_canonical_role_family_holdout,,True,1.20487981006,2.08691304803,0.519228484416,0.848018307409,0.217857859375,0.951329447677,0.947920452535,-0.341564446965,,,
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,6,raw_pc_scores,repeated_5fold,7100,True,17.2567370141,42.27020031,0.879292876645,0.857809278873,0.341862351302,0.967850509936,0.943020946536,0.925199056499,0.841443083977,0.903376290334,0.694867372589
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,6,raw_pc_scores,repeated_5fold,7101,True,17.2759550974,42.3172748078,0.880339168249,0.85932401445,0.337350383925,0.968660571106,0.942718437131,0.922541688247,0.843286904159,0.90560733616,0.699220072692
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,6,raw_pc_scores,repeated_5fold,7102,True,17.222786356,42.1870385213,0.878515274228,0.858912223594,0.341304740542,0.967808740939,0.942574570048,0.921099429496,0.844315168277,0.902215383002,0.693078353607
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,6,raw_pc_scores,repeated_5fold,7103,True,17.2559033298,42.2681582088,0.874967339713,0.858193316275,0.338622825091,0.96683421571,0.942724923159,0.918740586739,0.848228438023,0.901458456253,0.671817418394
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,6,raw_pc_scores,repeated_5fold,7104,True,17.2338773448,42.2142057844,0.879298300904,0.858299840385,0.342832447597,0.968179945155,0.942426145158,0.923539971514,0.843887896225,0.904488220105,0.693267627266
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,6,raw_pc_scores,repeated_5fold,7105,True,17.2599260989,42.2780119405,0.879937816655,0.858046638298,0.333780075508,0.967999493907,0.9426657105,0.924996458044,0.844799397789,0.903551961835,0.695613877855
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,6,raw_pc_scores,repeated_5fold,7106,True,17.2295870562,42.2036967667,0.878388468485,0.857871085607,0.334641857814,0.967539044536,0.941486070835,0.924439098305,0.846677477228,0.904185662127,0.686003457879
