model,model_key,trait,aa1_human_support_level,pc,pearson,spearman,single_feature_r2,direction_cosine_with_pc_loading
Qwen/Qwen3-32B,qwen,impulsive,HIGH HUMAN-MEASUREMENT SUPPORT,PC3,0.128003599159,0.0255410980641,0.0163849213977,0.14476360596
Qwen/Qwen3-32B,qwen,impulsive,HIGH HUMAN-MEASUREMENT SUPPORT,PC4,-0.030986789226,-0.218388967427,0.000960181106534,-0.00512296514125
Qwen/Qwen3-32B,qwen,impulsive,HIGH HUMAN-MEASUREMENT SUPPORT,PC5,-0.00899691867591,-0.0606947289461,8.0944545661e-05,-0.0389092886324
Qwen/Qwen3-32B,qwen,impulsive,HIGH HUMAN-MEASUREMENT SUPPORT,PC6,0.0158585016867,-0.0310510371888,0.000251492075748,0.0690317864171
Qwen/Qwen3-32B,qwen,manipulative,HIGH HUMAN-MEASUREMENT SUPPORT,PC1,-0.881314269063,-0.907488531779,0.776714840854,-0.543475871252
Qwen/Qwen3-32B,qwen,manipulative,HIGH HUMAN-MEASUREMENT SUPPORT,PC2,0.325656372666,0.232081013243,0.106052073058,0.300335866475
Qwen/Qwen3-32B,qwen,manipulative,HIGH HUMAN-MEASUREMENT SUPPORT,PC3,0.277312816838,0.178945789216,0.0769023983824,0.303815274787
Qwen/Qwen3-32B,qwen,manipulative,HIGH HUMAN-MEASUREMENT SUPPORT,PC4,-0.13166656933,-0.246673206197,0.017336085479,-0.194976204484
Qwen/Qwen3-32B,qwen,manipulative,HIGH HUMAN-MEASUREMENT SUPPORT,PC5,0.0105944375298,0.0133158304723,0.000112242106572,0.00613836575298
Qwen/Qwen3-32B,qwen,manipulative,HIGH HUMAN-MEASUREMENT SUPPORT,PC6,0.0223123277831,-0.020232538011,0.000497839971101,0.0549704265574
Qwen/Qwen3-32B,qwen,optimistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC1,-0.167535659514,-0.196485387034,0.0280681972089,-0.0776365162314
Qwen/Qwen3-32B,qwen,optimistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC2,0.262120760322,0.274071723262,0.0687072929915,0.158486123781
Qwen/Qwen3-32B,qwen,optimistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC3,-0.864204892462,-0.880267159055,0.746850096155,-0.642082535104
Qwen/Qwen3-32B,qwen,optimistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC4,0.139558001982,-0.0420841868382,0.0194764359173,0.139786040751
Qwen/Qwen3-32B,qwen,optimistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC5,0.0538363890478,-0.0251487262341,0.0028983567857,0.0509146849744
Qwen/Qwen3-32B,qwen,optimistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC6,-0.256677177526,-0.255413865728,0.065883173463,-0.336720076205
Qwen/Qwen3-32B,qwen,pessimistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC1,-0.18743662111,-0.143410749834,0.0351324869332,-0.0725508625777
Qwen/Qwen3-32B,qwen,pessimistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC2,-0.0874696822665,-0.184114711059,0.00765094531581,-0.0485050847302
Qwen/Qwen3-32B,qwen,pessimistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC3,0.912643479974,0.901915697758,0.83291812154,0.675163992031
Qwen/Qwen3-32B,qwen,pessimistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC4,-0.143020951171,0.00114884163758,0.020454992474,-0.140905164027
Qwen/Qwen3-32B,qwen,pessimistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC5,-0.00563528861414,0.0526355269611,3.17564777646e-05,-0.000987064794775
Qwen/Qwen3-32B,qwen,pessimistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC6,0.227850097615,0.196973543752,0.0519156669833,0.301279473503
Qwen/Qwen3-32B,qwen,traditional,HIGH HUMAN-MEASUREMENT SUPPORT,PC1,0.54895873343,0.61261129223,0.301355691009,0.228349596278
Qwen/Qwen3-32B,qwen,traditional,HIGH HUMAN-MEASUREMENT SUPPORT,PC2,-0.29409955231,-0.190536337671,0.086494546669,-0.159947433972
Qwen/Qwen3-32B,qwen,traditional,HIGH HUMAN-MEASUREMENT SUPPORT,PC3,-0.518383839072,-0.420222728715,0.268721804612,-0.408849283326
Qwen/Qwen3-32B,qwen,traditional,HIGH HUMAN-MEASUREMENT SUPPORT,PC4,0.423428178039,0.43971841551,0.179291421957,0.481210796549
Qwen/Qwen3-32B,qwen,traditional,HIGH HUMAN-MEASUREMENT SUPPORT,PC5,-0.279915279775,-0.313247742419,0.0783525638516,-0.349827869362
Qwen/Qwen3-32B,qwen,traditional,HIGH HUMAN-MEASUREMENT SUPPORT,PC6,0.112304650414,0.191978304146,0.0126123345045,0.166495677631
Qwen/Qwen3-32B,qwen,innovative,MODERATE SUPPORT,PC1,-0.692816661717,-0.727464297049,0.479994926753,-0.3060653702
Qwen/Qwen3-32B,qwen,innovative,MODERATE SUPPORT,PC2,0.1820215907,0.0999065231817,0.0331318594809,0.0898203126235
Qwen/Qwen3-32B,qwen,innovative,MODERATE SUPPORT,PC3,0.469038708794,0.395337122414,0.219997310347,0.395275860692
Qwen/Qwen3-32B,qwen,innovative,MODERATE SUPPORT,PC4,-0.344155745738,-0.368913187733,0.118443177325,-0.430097400378
Qwen/Qwen3-32B,qwen,innovative,MODERATE SUPPORT,PC5,0.229972103748,0.255609474626,0.0528871685025,0.312299574231
Qwen/Qwen3-32B,qwen,innovative,MODERATE SUPPORT,PC6,-0.232049276665,-0.27415423675,0.0538468668008,-0.367864426507
Qwen/Qwen3-32B,qwen,introspective,MODERATE SUPPORT,PC1,-0.623954094666,-0.655124202995,0.389318712251,-0.0963394773076
Qwen/Qwen3-32B,qwen,introspective,MODERATE SUPPORT,PC2,-0.158455117982,-0.201713164652,0.0251080244148,-0.178592052251
Qwen/Qwen3-32B,qwen,introspective,MODERATE SUPPORT,PC3,0.267702665982,0.238360116558,0.0716647173737,0.108439116576
Qwen/Qwen3-32B,qwen,introspective,MODERATE SUPPORT,PC4,-0.463615528466,-0.421379071579,0.214939358234,-0.377193760465
Qwen/Qwen3-32B,qwen,introspective,MODERATE SUPPORT,PC5,0.360574348005,0.418499754768,0.130013860439,0.299211038391
Qwen/Qwen3-32B,qwen,introspective,MODERATE SUPPORT,PC6,-0.0881897867965,-0.117327832434,0.00777743849521,-0.122875993615
Qwen/Qwen3-32B,qwen,judgmental,MODERATE SUPPORT,PC1,-0.666148556417,-0.739265456854,0.443753899216,-0.398523532448
Qwen/Qwen3-32B,qwen,judgmental,MODERATE SUPPORT,PC2,0.29551448961,0.134875508497,0.0873288135695,0.276380236142
Qwen/Qwen3-32B,qwen,judgmental,MODERATE SUPPORT,PC3,0.635121909205,0.500654337728,0.403379839552,0.654513919427
Qwen/Qwen3-32B,qwen,judgmental,MODERATE SUPPORT,PC4,-0.203366960016,-0.251862900666,0.0413581204262,-0.268512108179
Qwen/Qwen3-32B,qwen,judgmental,MODERATE SUPPORT,PC5,-0.00955900126298,-0.00132021580451,9.13745051456e-05,-0.0246937284203
Qwen/Qwen3-32B,qwen,judgmental,MODERATE SUPPORT,PC6,0.119961730897,0.0101676235539,0.0143908168797,0.238437994256
Llama-3.3-70B,llama,adventurous,HIGH HUMAN-MEASUREMENT SUPPORT,PC1,-0.616090695141,-0.680552205649,0.37956774464,-0.253258937509
Llama-3.3-70B,llama,adventurous,HIGH HUMAN-MEASUREMENT SUPPORT,PC2,0.250882248388,0.397859265457,0.0629419025565,0.103788280629
Llama-3.3-70B,llama,adventurous,HIGH HUMAN-MEASUREMENT SUPPORT,PC3,-0.264397664207,-0.279756498658,0.0699061248384,-0.171934971766
Llama-3.3-70B,llama,adventurous,HIGH HUMAN-MEASUREMENT SUPPORT,PC4,0.170089179166,0.0500926112922,0.0289303288694,0.107602016568
Llama-3.3-70B,llama,adventurous,HIGH HUMAN-MEASUREMENT SUPPORT,PC5,0.162433177043,0.101368108248,0.0263845370042,0.135049408192
Llama-3.3-70B,llama,adventurous,HIGH HUMAN-MEASUREMENT SUPPORT,PC6,-0.276006887958,-0.345504745968,0.0761798022004,-0.2507681215
Llama-3.3-70B,llama,altruistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC1,-0.129236509864,-0.0922235365396,0.0167020754818,-0.103884903207
Llama-3.3-70B,llama,altruistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC2,-0.803567869573,-0.786745910389,0.64572132101,-0.410769301694
Llama-3.3-70B,llama,altruistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC3,-0.117398512014,-0.00360289662733,0.013782410623,-0.106280504812
Llama-3.3-70B,llama,altruistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC4,-0.481341345995,-0.492434724907,0.231689491365,-0.430216547729
Llama-3.3-70B,llama,altruistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC5,-0.030662487853,0.0783001067482,0.000940188161336,-0.035145326386
Llama-3.3-70B,llama,altruistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC6,-0.00377367408316,0.131529384611,1.42406160859e-05,0.0135363790716
Llama-3.3-70B,llama,forgiving,HIGH HUMAN-MEASUREMENT SUPPORT,PC1,0.0228966493628,0.0373099448948,0.000524256552044,-0.0461239268377
Llama-3.3-70B,llama,forgiving,HIGH HUMAN-MEASUREMENT SUPPORT,PC2,-0.52180439997,-0.370872161796,0.272279831828,-0.23685531266
Llama-3.3-70B,llama,forgiving,HIGH HUMAN-MEASUREMENT SUPPORT,PC3,-0.411052118732,-0.442286142927,0.168963844314,-0.282687751524
Llama-3.3-70B,llama,forgiving,HIGH HUMAN-MEASUREMENT SUPPORT,PC4,-0.621675734468,-0.761325408961,0.386480718826,-0.478949925159
Llama-3.3-70B,llama,forgiving,HIGH HUMAN-MEASUREMENT SUPPORT,PC5,0.0185302650145,0.0728974928594,0.000343370721509,0.00927921293611
Llama-3.3-70B,llama,forgiving,HIGH HUMAN-MEASUREMENT SUPPORT,PC6,-0.258959279342,-0.188931652289,0.0670599083572,-0.206630606314
Llama-3.3-70B,llama,grandiose,HIGH HUMAN-MEASUREMENT SUPPORT,PC1,-0.929333840074,-0.910069530596,0.863661386306,-0.67871794945
Llama-3.3-70B,llama,grandiose,HIGH HUMAN-MEASUREMENT SUPPORT,PC2,0.132412883331,0.275297885231,0.017533171672,0.101736364738
Llama-3.3-70B,llama,grandiose,HIGH HUMAN-MEASUREMENT SUPPORT,PC3,0.0324774331066,0.0180577594414,0.00105478366119,0.0324030104636
Llama-3.3-70B,llama,grandiose,HIGH HUMAN-MEASUREMENT SUPPORT,PC4,0.270568996713,0.30648856063,0.0732075819824,0.325264963868
Llama-3.3-70B,llama,grandiose,HIGH HUMAN-MEASUREMENT SUPPORT,PC5,0.0980157865765,0.0500014425435,0.0096070944182,0.147984002019
Llama-3.3-70B,llama,grandiose,HIGH HUMAN-MEASUREMENT SUPPORT,PC6,-0.00884210309491,-0.0875214217709,7.8182787141e-05,-0.0137385775454
Llama-3.3-70B,llama,impulsive,HIGH HUMAN-MEASUREMENT SUPPORT,PC1,0.109350618479,-0.0718969446929,0.0119575577617,0.173151930302
Llama-3.3-70B,llama,impulsive,HIGH HUMAN-MEASUREMENT SUPPORT,PC2,0.971487051019,0.973615879519,0.943787090297,0.720670071475
Llama-3.3-70B,llama,impulsive,HIGH HUMAN-MEASUREMENT SUPPORT,PC3,-0.0254814077063,-0.404975043998,0.000649302138695,0.0112060167123
Llama-3.3-70B,llama,impulsive,HIGH HUMAN-MEASUREMENT SUPPORT,PC4,-0.050958711779,0.0184258965408,0.00259679030617,0.0200327846575
Llama-3.3-70B,llama,impulsive,HIGH HUMAN-MEASUREMENT SUPPORT,PC5,0.0948443602033,0.00408701422348,0.00899545266237,0.138400604495
Llama-3.3-70B,llama,impulsive,HIGH HUMAN-MEASUREMENT SUPPORT,PC6,-0.0798180514723,-0.255109200542,0.00637092134084,-0.160207562839
Llama-3.3-70B,llama,manipulative,HIGH HUMAN-MEASUREMENT SUPPORT,PC1,-0.0848505043622,-0.177205504746,0.00719960809053,-0.00997328526113
Llama-3.3-70B,llama,manipulative,HIGH HUMAN-MEASUREMENT SUPPORT,PC2,0.927864885071,0.969464239347,0.860933244947,0.639446736874
Llama-3.3-70B,llama,manipulative,HIGH HUMAN-MEASUREMENT SUPPORT,PC3,-0.171986914765,-0.381264245117,0.0295794988505,-0.156592398618
Llama-3.3-70B,llama,manipulative,HIGH HUMAN-MEASUREMENT SUPPORT,PC4,0.198815901951,0.0961299443178,0.0395277628687,0.257814810314
Llama-3.3-70B,llama,manipulative,HIGH HUMAN-MEASUREMENT SUPPORT,PC5,0.114882469006,0.0486517988517,0.0131979816848,0.157583979104
Llama-3.3-70B,llama,manipulative,HIGH HUMAN-MEASUREMENT SUPPORT,PC6,-0.0919031435891,-0.215844320706,0.00844618780156,-0.145480893938
Llama-3.3-70B,llama,optimistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC1,0.169003335099,0.192823057615,0.0285621272746,0.0409966284825
Llama-3.3-70B,llama,optimistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC2,-0.701635497471,-0.705778252214,0.492292371311,-0.335553456595
Llama-3.3-70B,llama,optimistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC3,-0.125898456938,-0.0857257436312,0.0158504214593,-0.102254999802
Llama-3.3-70B,llama,optimistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC4,-0.558948592947,-0.548660454113,0.312423529557,-0.458097084099
Llama-3.3-70B,llama,optimistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC5,-0.145960230606,-0.0303366896512,0.0213043889185,-0.137836042877
Llama-3.3-70B,llama,optimistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC6,-0.0792305812206,0.0350514988027,0.00627748500056,-0.0662868202317
Llama-3.3-70B,llama,pessimistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC1,-0.134999904463,-0.184301664695,0.0182249742051,-0.0295802883792
Llama-3.3-70B,llama,pessimistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC2,0.76520327128,0.780084821557,0.585536046377,0.378095561229
Llama-3.3-70B,llama,pessimistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC3,0.0834598204345,0.00765067366781,0.00696554162697,0.0744649270858
Llama-3.3-70B,llama,pessimistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC4,0.511704461865,0.490197051441,0.261841456292,0.436108818126
Llama-3.3-70B,llama,pessimistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC5,0.174160017291,0.0353163497879,0.0303317116228,0.1690678466
Llama-3.3-70B,llama,pessimistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC6,0.0284176781135,-0.0962453477972,0.000807564429363,0.018028308753
Llama-3.3-70B,llama,traditional,HIGH HUMAN-MEASUREMENT SUPPORT,PC1,0.318884364449,0.479559735726,0.10168723789,0.100303993332
Llama-3.3-70B,llama,traditional,HIGH HUMAN-MEASUREMENT SUPPORT,PC2,-0.0657929777186,-0.109752171028,0.00432871591708,-0.0248659953402
Llama-3.3-70B,llama,traditional,HIGH HUMAN-MEASUREMENT SUPPORT,PC3,0.13086944077,0.116505582643,0.0171268105275,0.0697302591001
Llama-3.3-70B,llama,traditional,HIGH HUMAN-MEASUREMENT SUPPORT,PC4,-0.216962996034,-0.0604264158564,0.0470729416482,-0.133797103025
Llama-3.3-70B,llama,traditional,HIGH HUMAN-MEASUREMENT SUPPORT,PC5,-0.420509264999,-0.353496436918,0.17682804195,-0.302090988481
Llama-3.3-70B,llama,traditional,HIGH HUMAN-MEASUREMENT SUPPORT,PC6,0.309010801895,0.398990219555,0.0954876756881,0.249916709683
Llama-3.3-70B,llama,innovative,MODERATE SUPPORT,PC1,-0.688758151962,-0.767019416635,0.474387791895,-0.28045451485
Llama-3.3-70B,llama,innovative,MODERATE SUPPORT,PC2,0.0746298601927,0.194750295721,0.00556961603238,0.0331155095429
Llama-3.3-70B,llama,innovative,MODERATE SUPPORT,PC3,-0.0862736925243,-0.0732015810277,0.00744315002178,-0.0567299446447
Llama-3.3-70B,llama,innovative,MODERATE SUPPORT,PC4,0.251850378443,0.172990969678,0.063428613122,0.179658970735
Llama-3.3-70B,llama,innovative,MODERATE SUPPORT,PC5,0.233121491091,0.158806728023,0.0543456296084,0.20193238618
Llama-3.3-70B,llama,innovative,MODERATE SUPPORT,PC6,-0.264421336859,-0.306962291913,0.0699186433864,-0.257884866629
Llama-3.3-70B,llama,introspective,MODERATE SUPPORT,PC1,-0.61629556519,-0.796784282046,0.379820223673,-0.308020761085
Llama-3.3-70B,llama,introspective,MODERATE SUPPORT,PC2,-0.490101232821,-0.133360837829,0.240199218413,-0.216666854047
Llama-3.3-70B,llama,introspective,MODERATE SUPPORT,PC3,-0.197053780077,0.0816889299212,0.0388301922427,-0.144798915306
Llama-3.3-70B,llama,introspective,MODERATE SUPPORT,PC4,0.252761695422,0.0438544762125,0.0638884746726,0.0986272905633
Llama-3.3-70B,llama,introspective,MODERATE SUPPORT,PC5,0.110190610014,0.17039900753,0.0121419705353,0.0785499485687
Llama-3.3-70B,llama,introspective,MODERATE SUPPORT,PC6,-0.317165738128,-0.276195724301,0.100594105442,-0.233527614768
Llama-3.3-70B,llama,judgmental,MODERATE SUPPORT,PC1,-0.0578211477732,-0.182565419347,0.00334328512981,0.0309342953217
Llama-3.3-70B,llama,judgmental,MODERATE SUPPORT,PC2,0.889741539059,0.942980871873,0.791640006326,0.589451382198
Llama-3.3-70B,llama,judgmental,MODERATE SUPPORT,PC3,-0.104112813759,-0.299901907042,0.0108394779889,-0.0750569551264
Llama-3.3-70B,llama,judgmental,MODERATE SUPPORT,PC4,0.352373581658,0.269787946107,0.12416714105,0.426774506005
Llama-3.3-70B,llama,judgmental,MODERATE SUPPORT,PC5,0.15307956651,0.051904445919,0.0234333536828,0.201411616573
Llama-3.3-70B,llama,judgmental,MODERATE SUPPORT,PC6,0.0514620943695,-0.121154034794,0.0026483471569,0.0464628141779
Gemma-2-27B,gemma,adventurous,HIGH HUMAN-MEASUREMENT SUPPORT,PC1,-0.781714329309,-0.838198551686,0.611077292648,-0.375287841574
Gemma-2-27B,gemma,adventurous,HIGH HUMAN-MEASUREMENT SUPPORT,PC2,0.330995884852,0.254084994663,0.109558275789,0.22160299717
Gemma-2-27B,gemma,adventurous,HIGH HUMAN-MEASUREMENT SUPPORT,PC3,0.113241256642,0.0519921525634,0.0128235822058,0.117330313848
Gemma-2-27B,gemma,adventurous,HIGH HUMAN-MEASUREMENT SUPPORT,PC4,0.214003244524,0.339845359338,0.0457973886669,0.213851806255
Gemma-2-27B,gemma,adventurous,HIGH HUMAN-MEASUREMENT SUPPORT,PC5,-0.171050373929,-0.26864545166,0.0292582304212,-0.2064361395
Gemma-2-27B,gemma,adventurous,HIGH HUMAN-MEASUREMENT SUPPORT,PC6,-0.0456699582064,-0.0913372378177,0.00208574508257,-0.0593373828699
Gemma-2-27B,gemma,altruistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC1,0.0580543839107,0.0276114364848,0.00337031149126,0.0334121936874
Gemma-2-27B,gemma,altruistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC2,-0.745601370484,-0.698454170393,0.555921403667,-0.473303402596
Gemma-2-27B,gemma,altruistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC3,-0.518101481805,-0.491437638845,0.268429145449,-0.488250430241
Gemma-2-27B,gemma,altruistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC4,0.104685404287,0.121958974063,0.0109590338707,0.0951980859151
Gemma-2-27B,gemma,altruistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC5,-0.262879163188,-0.22926401431,0.0691054544383,-0.169166516259
Gemma-2-27B,gemma,altruistic,HIGH HUMAN-MEASUREMENT SUPPORT,PC6,0.0617055498604,0.143864285508,0.00380757488358,0.0390812032028
Gemma-2-27B,gemma,forgiving,HIGH HUMAN-MEASUREMENT SUPPORT,PC1,-0.410674415337,-0.451921179424,0.168653475413,-0.133610949952
Gemma-2-27B,gemma,forgiving,HIGH HUMAN-MEASUREMENT SUPPORT,PC2,0.0543103206975,0.0314197513055,0.00294961093427,-0.0284800460869
Gemma-2-27B,gemma,forgiving,HIGH HUMAN-MEASUREMENT SUPPORT,PC3,-0.644740833939,-0.734184818672,0.415690742948,-0.495642498213
Gemma-2-27B,gemma,forgiving,HIGH HUMAN-MEASUREMENT SUPPORT,PC4,0.328135036188,0.491943683102,0.107672601974,0.241532691398
Gemma-2-27B,gemma,forgiving,HIGH HUMAN-MEASUREMENT SUPPORT,PC5,-0.460000150136,-0.530102997605,0.211600138125,-0.342489704567
Gemma-2-27B,gemma,forgiving,HIGH HUMAN-MEASUREMENT SUPPORT,PC6,-0.112616058765,-0.148207495456,0.0126823766918,-0.117361504119
Gemma-2-27B,gemma,grandiose,HIGH HUMAN-MEASUREMENT SUPPORT,PC1,-0.936831426471,-0.928343671562,0.877653121624,-0.701974349804
Gemma-2-27B,gemma,grandiose,HIGH HUMAN-MEASUREMENT SUPPORT,PC2,-0.194110108481,-0.193271400133,0.0376787342144,-0.134683938987
Gemma-2-27B,gemma,grandiose,HIGH HUMAN-MEASUREMENT SUPPORT,PC3,0.252445286626,0.244720579325,0.0637286227397,0.43411136021
Gemma-2-27B,gemma,grandiose,HIGH HUMAN-MEASUREMENT SUPPORT,PC4,0.00398559850269,0.113500476039,1.58849954246e-05,-0.00149503635074
Gemma-2-27B,gemma,grandiose,HIGH HUMAN-MEASUREMENT SUPPORT,PC5,-0.0318050092935,-0.0825492628603,0.00101155861616,-0.103801502574
Gemma-2-27B,gemma,grandiose,HIGH HUMAN-MEASUREMENT SUPPORT,PC6,0.0617103025468,0.054758373965,0.00380816144042,0.133200730599
Gemma-2-27B,gemma,impulsive,HIGH HUMAN-MEASUREMENT SUPPORT,PC1,-0.554558019468,-0.676146100805,0.307534596956,-0.211024130501
Gemma-2-27B,gemma,impulsive,HIGH HUMAN-MEASUREMENT SUPPORT,PC2,0.74184393883,0.610620582211,0.550332429579,0.416944594823
Gemma-2-27B,gemma,impulsive,HIGH HUMAN-MEASUREMENT SUPPORT,PC3,-0.106216984786,-0.0186440091169,0.011282047857,-0.0315038114099
Gemma-2-27B,gemma,impulsive,HIGH HUMAN-MEASUREMENT SUPPORT,PC4,-0.221551984185,0.206445861343,0.0490852816963,-0.176864802855
Gemma-2-27B,gemma,impulsive,HIGH HUMAN-MEASUREMENT SUPPORT,PC5,-0.0196993021705,-0.163624823288,0.000388062506004,-0.0536291511664
Gemma-2-27B,gemma,impulsive,HIGH HUMAN-MEASUREMENT SUPPORT,PC6,-0.0988250563103,-0.272518969447,0.00976639175473,-0.0872993828916
Gemma-2-27B,gemma,manipulative,HIGH HUMAN-MEASUREMENT SUPPORT,PC1,-0.738114544265,-0.809120336978,0.544813080455,-0.358843798321
Gemma-2-27B,gemma,manipulative,HIGH HUMAN-MEASUREMENT SUPPORT,PC2,0.593758831507,0.489721589106,0.352549549993,0.52169410099
Gemma-2-27B,gemma,manipulative,HIGH HUMAN-MEASUREMENT SUPPORT,PC3,0.218794594849,0.123284383024,0.0478710747352,0.35575968853
Gemma-2-27B,gemma,manipulative,HIGH HUMAN-MEASUREMENT SUPPORT,PC4,0.0450028888441,0.243688295202,0.00202526000431,0.0231096603922
