model,model_key,feature_budget,bank,fold_seed_min,fold_seed_max,direction_generation_used_pc_targets,scope,n_oof_predictions,mean_pc_r2,aggregate_normalized_geometric_error,mean_normalized_rmse_per_pc,core_pc1_pc3_aggregate_nrmse,secondary_pc4_pc6_aggregate_nrmse,full_pc1_pc6_aggregate_nrmse,selected_alpha_counts,pc1_r2,pc1_rmse,pc1_normalized_rmse,pc1_mae,pc2_r2,pc2_rmse,pc2_normalized_rmse,pc2_mae,pc3_r2,pc3_rmse,pc3_normalized_rmse,pc3_mae,pc4_r2,pc4_rmse,pc4_normalized_rmse,pc4_mae,pc5_r2,pc5_rmse,pc5_normalized_rmse,pc5_mae,pc6_r2,pc6_rmse,pc6_normalized_rmse,pc6_mae
Qwen/Qwen3-32B,qwen,5,9,30000900,30000904,False,core,275,0.523633206864,1.20285920953,0.685783574301,1.20285920953,,,"{""1.0"": 3, ""10.0"": 2}",0.659067266871,17.5313678718,0.587887100576,13.4599402676,0.604675928783,13.5024753011,0.630815098682,10.0708800168,0.307156424937,13.1070752279,0.838648523644,10.2294757692,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,9,30000900,30000904,False,extended,275,0.34526502094,1.99772487429,0.803137860551,1.20226741443,1.59544907081,1.99772487429,"{""10.0"": 5}",0.659370209378,17.5235772194,0.587712429951,13.4476443441,0.606047911487,13.479024587,0.629765716161,10.060520351,0.307169293668,13.1069535033,0.838711021884,10.2203688521,0.241135100791,9.89302590711,0.890422422013,7.07505346653,0.135616855985,9.44202572792,0.933863742587,6.94985005377,0.122250754331,8.40928375784,0.938351830712,6.60448269943
Qwen/Qwen3-32B,qwen,5,10,30001000,30001004,False,core,275,0.503493593999,1.22545728315,0.703148045545,1.22545728315,,,"{""1.0"": 4, ""10.0"": 1}",0.620475425143,18.4970045804,0.617586436555,14.5204078559,0.533449074651,14.6685197346,0.684639178935,10.808469203,0.356556282203,12.6311670144,0.807218521144,9.72608993774,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,10,30001000,30001004,False,extended,275,0.368485667949,1.96344949466,0.794452106777,1.22909250121,1.53116476629,1.96344949466,"{""10.0"": 5}",0.6211550963,18.4804344885,0.617090518819,14.601730303,0.526074948869,14.7839877734,0.690241024698,10.9289662939,0.35492383538,12.6471797954,0.808353261846,9.71890561929,0.23598887943,9.92651386963,0.899283693502,7.14871111944,0.190269894722,9.13865280634,0.902803567146,6.90024639469,0.282501352989,7.60298822839,0.848940574652,6.17838153807
Qwen/Qwen3-32B,qwen,5,11,30001100,30001104,False,core,275,0.470471788323,1.26255262817,0.712478621324,1.26255262817,,,"{""1.0"": 1, ""10.0"": 4}",0.749935651189,15.0143779061,0.499442080687,11.1855102367,0.391476628677,16.7523367025,0.779722664049,12.0203415604,0.270003085102,13.4539158639,0.858271119237,10.6068026456,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,11,30001100,30001104,False,extended,275,0.327730970908,2.02029704472,0.810648551612,1.26255262817,1.57720037091,2.02029704472,"{""1.0"": 1, ""10.0"": 4}",0.749935651189,15.0143779061,0.499442080687,11.1855102367,0.391476628677,16.7523367025,0.779722664049,12.0203415604,0.270003085102,13.4539158639,0.858271119237,10.6068026456,0.0915685944613,10.8241296033,0.970305968507,8.09961221681,0.312082111552,8.42326252224,0.83314788488,6.36627242266,0.151319754467,8.26886347606,0.92300159231,6.61228721759
Qwen/Qwen3-32B,qwen,5,12,30001200,30001204,False,core,275,0.574014822776,1.12975946321,0.651523820154,1.12975946321,,,"{""1.0"": 4, ""10.0"": 1}",0.631446767274,18.2276871231,0.607755246977,14.2741509805,0.538267395,14.5925783388,0.677473080504,11.1249954853,0.552330306054,10.5357884671,0.66934313298,8.0107143425,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,12,30001200,30001204,False,extended,275,0.390113362909,1.92349321324,0.774235666435,1.12563497448,1.55973460742,1.92349321324,"{""10.0"": 5}",0.632724964115,18.1960515196,0.606799835376,14.3581889968,0.542579579161,14.5242774511,0.674353080726,11.0674005618,0.556643701905,10.4849082917,0.666405265645,7.98143183052,0.311923501633,9.42031176503,0.843355357379,6.72447730721,0.207017704155,9.04365071254,0.896122993575,6.75680930633,0.0897907264864,8.56336396034,0.958377465909,6.80599313719
Qwen/Qwen3-32B,qwen,5,13,30001300,30001304,False,core,275,0.583539226759,1.11732047993,0.637274392277,1.11732047993,,,"{""1.0"": 2, ""10.0"": 3}",0.753396281507,14.9101242775,0.49625689771,11.7694267815,0.516796536681,14.9280053174,0.697290259901,11.2829402131,0.48042486209,11.3504315991,0.71827601922,8.56363442696,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,13,30001300,30001304,False,extended,275,0.39236770335,1.91877826755,0.768778460738,1.1153992922,1.56127975039,1.91877826755,"{""10.0"": 5}",0.752428716893,14.9393460298,0.497230660085,11.8109529643,0.519782483307,14.8818101786,0.695149148443,11.2588751238,0.482773815717,11.3247453821,0.716690249081,8.55233455288,0.251583947339,9.82468106091,0.877519461357,7.28640339609,0.198496492422,9.09211140503,0.901471344166,6.57834417856,0.149140764424,8.27947184177,0.924609901295,6.62159822396
Qwen/Qwen3-32B,qwen,5,14,30001400,30001404,False,core,275,0.526823184519,1.19209627704,0.687211576818,1.19209627704,,,"{""10.0"": 5}",0.599337149401,19.0051364125,0.633654784799,14.694435404,0.486923406032,15.3825332823,0.716417402593,11.5736096147,0.494208998123,11.198858171,0.711562543063,8.77840606999,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,14,30001400,30001404,False,extended,275,0.379246925575,1.9413914473,0.785685685582,1.19209627704,1.53228822939,1.9413914473,"{""10.0"": 5}",0.599337149401,19.0051364125,0.633654784799,14.694435404,0.486923406032,15.3825332823,0.716417402593,11.5736096147,0.494208998123,11.198858171,0.711562543063,8.77840606999,0.282490870699,9.61968008719,0.870024463577,6.73270796721,0.270179832681,8.67600842186,0.856645088773,6.56159241919,0.142341296516,8.31248786745,0.925809830686,6.52111702065
Qwen/Qwen3-32B,qwen,5,15,30001500,30001504,False,core,275,0.509020060594,1.21658887637,0.68572569126,1.21658887637,,,"{""1.0"": 1, ""10.0"": 4}",0.764303851516,14.5766489831,0.483976807417,11.6314958175,0.478140733318,15.5136311582,0.721887673216,11.8570085832,0.284615596947,13.3185801546,0.851312593147,10.6674214666,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,15,30001500,30001504,False,extended,275,0.311328582128,2.04904812401,0.81875296808,1.21757435968,1.64806276979,2.04904812401,"{""10.0"": 5}",0.762557631249,14.6305469107,0.485874079309,11.6748210558,0.477618888587,15.5213858196,0.72224155147,11.8477949171,0.284565201408,13.3190492626,0.851340614412,10.6707869035,0.140431631879,10.5290000156,0.95158367552,7.08535916104,0.0346818893814,9.97808644047,0.988090803277,7.32597092161,0.168116250261,8.18662872954,0.913387084493,6.66585139768
Qwen/Qwen3-32B,qwen,5,16,30001600,30001604,False,core,275,0.517194894379,1.20635161044,0.69268259365,1.20635161044,,,"{""1.0"": 2, ""10.0"": 3}",0.603735866326,18.9005236051,0.631308027188,15.0716687235,0.575875273314,13.9856790716,0.651933103195,10.996696185,0.371973543497,12.4789247188,0.794806650567,9.60475916939,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,16,30001600,30001604,False,extended,275,0.384827221788,1.9322943392,0.78195593315,1.20582159362,1.5098859883,1.9322943392,"{""10.0"": 5}",0.602943605536,18.9194083154,0.63201256389,15.1139489368,0.574936679255,14.0011457728,0.652665904167,10.9994512717,0.37497124923,12.4491067948,0.792838604178,9.59105567812,0.213858484958,10.0692536108,0.900824262713,6.9771583785,0.295316561015,8.52528816097,0.842355000003,6.40138281055,0.246936750736,7.78913985567,0.871039263951,6.19317357914
Qwen/Qwen3-32B,qwen,5,17,30001700,30001704,False,core,275,0.46220017485,1.26892633157,0.726036667262,1.26892633157,,,"{""1.0"": 2, ""10.0"": 3}",0.612352676186,18.6938971056,0.619071675122,14.3092957257,0.503108808585,15.1379620048,0.703282544804,11.1385510222,0.271139039779,13.4434439095,0.855755781859,10.2834782479,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,17,30001700,30001704,False,extended,275,0.35897973764,1.96950245276,0.797417879469,1.26837800035,1.50670407169,1.96950245276,"{""1.0"": 1, ""10.0"": 4}",0.611697539592,18.7096870843,0.619595731329,14.3339577567,0.503750128041,15.1281898411,0.702817438641,11.1071447385,0.272481088351,13.4310615291,0.854945337107,10.2866836578,0.366078172387,9.04200549658,0.815045028648,6.7637159153,0.209824614615,9.02763066943,0.891532383652,7.00532117166,0.190046882852,8.07799751856,0.900571357437,6.39964351981
Qwen/Qwen3-32B,qwen,5,18,30001800,30001804,False,core,275,0.493592370753,1.23544455638,0.708059035257,1.23544455638,,,"{""0.1"": 1, ""1.0"": 1, ""10.0"": 3}",0.655180884169,17.6310070805,0.587768993489,13.5504308436,0.384893144012,16.8427129001,0.785173417374,13.009946577,0.440703084079,11.7763148217,0.751234694908,9.40685949254,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,18,30001800,30001804,False,extended,275,0.335138864858,2.01501748203,0.813106479503,1.2361972213,1.59126109829,2.01501748203,"{""1.0"": 1, ""10.0"": 4}",0.657009084479,17.5842059478,0.586229023276,13.5177761225,0.385121105441,16.8395916174,0.785025879739,13.0052319541,0.436933467982,11.8159338825,0.753825888625,9.43618559926,0.306512803494,9.4572776066,0.86212348777,6.68503386933,0.12882916222,9.47902567003,0.938914496571,6.93405445893,0.0964275655311,8.53208673058,0.95252010104,6.80881793836
Qwen/Qwen3-32B,qwen,5,19,30001900,30001904,False,core,275,0.581272161457,1.12568507937,0.641458505786,1.12568507937,,,"{""1.0"": 3, ""10.0"": 2}",0.753125897814,14.9182959913,0.501655248942,11.2385050749,0.553425378988,14.3510534206,0.669872617751,10.9585112868,0.437265207568,11.8124525971,0.752847650666,9.344378955,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,19,30001900,30001904,False,extended,275,0.357822005327,1.98173574619,0.791374709876,1.12382359283,1.63226747193,1.98173574619,"{""1.0"": 1, ""10.0"": 4}",0.751455718854,14.9686743509,0.503406324921,11.3016306774,0.558182150263,14.274417363,0.666387775339,10.8613679309,0.438625310668,11.7981688944,0.751989941892,9.33062136668,0.142094108184,10.5188131093,0.95025950218,7.33844830349,0.0877482484237,9.69994759127,0.962920821363,6.94347020189,0.16882649557,8.18313319531,0.913283893559,6.45260236347
Qwen/Qwen3-32B,qwen,5,20,30002000,30002004,False,core,275,0.490613231172,1.2408250334,0.714368764849,1.2408250334,,,"{""1.0"": 4, ""10.0"": 1}",0.484528938613,21.5567654989,0.718817983294,17.0357667494,0.583794064276,13.854501267,0.646383705411,10.4754534256,0.403516690629,12.1615055688,0.777904605842,9.49662225295,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,20,30002000,30002004,False,extended,275,0.336537066518,2.00832910006,0.813020290071,1.242129858,1.57813155029,2.00832910006,"{""10.0"": 5}",0.482036048655,21.6088283914,0.720637775577,17.1820948107,0.581208196772,13.8974733003,0.64866709335,10.5605771445,0.405971546278,12.1364541376,0.776401173722,9.48520527994,0.253584299244,9.81154266756,0.878110613266,7.1499337541,0.134216219381,9.44967250697,0.937083999118,7.03907691662,0.162206088779,8.21565842542,0.917221085395,6.52400328954
Qwen/Qwen3-32B,qwen,5,21,30002100,30002104,False,core,275,0.457927646074,1.2842874312,0.734380253477,1.2842874312,,,"{""1.0"": 2, ""10.0"": 3}",0.639168517814,18.0357274606,0.608613182358,13.8169462034,0.463381655354,15.7314777191,0.735114365993,12.0756917608,0.271232765055,13.4425795259,0.859413212081,10.4226657882,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,21,30002100,30002104,False,extended,275,0.311372118168,2.05118521077,0.828666145939,1.28782124261,1.59652034624,2.05118521077,"{""1.0"": 2, ""10.0"": 3}",0.63886579104,18.0432915912,0.608906392375,13.8099643661,0.461146189368,15.764211071,0.736670109455,12.1071644481,0.265022719542,13.4997321686,0.863153351424,10.4438614365,0.162924979973,10.390324344,0.937022256393,7.40330389457,0.243413642605,8.8336723703,0.872615998753,6.5387295264,0.096859386479,8.53004772744,0.953628767233,6.5660955531
Qwen/Qwen3-32B,qwen,5,22,30002200,30002204,False,core,275,0.626167662951,1.0613728231,0.59838237779,1.0613728231,,,"{""1.0"": 2, ""10.0"": 3}",0.812500665633,13.0011365007,0.431436046315,9.92307064014,0.630178584235,13.05968766,0.60932540128,9.94920977968,0.435823738985,11.8275719655,0.754385685773,8.82220614073,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,22,30002200,30002204,False,extended,275,0.42949408645,1.86631155644,0.742036336519,1.06093595515,1.53542623554,1.86631155644,"{""10.0"": 5}",0.812252943079,13.0097221623,0.431687372128,9.93771351062,0.627979042163,13.0984668467,0.611135063656,9.98888600724,0.439312849358,11.7909418294,0.752160253961,8.81345125347,0.177116696836,10.301869376,0.934565498418,7.37617160605,0.282841583285,8.60041849985,0.848579902324,6.68393811819,0.237461403976,7.83798972975,0.87408992863,6.31979545079
Qwen/Qwen3-32B,qwen,5,23,30002300,30002304,False,core,275,0.618433395791,1.07045862788,0.614312058901,1.07045862788,,,"{""1.0"": 2, ""10.0"": 3}",0.712889003942,16.0881595944,0.539052107905,12.1283747512,0.637226756411,12.9346411948,0.600718667998,10.0370110175,0.505184427021,11.0766867702,0.703165400801,8.4570404524,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,23,30002300,30002304,False,extended,275,0.424729471166,1.86982454487,0.749650975928,1.07217230127,1.53189111395,1.86982454487,"{""10.0"": 5}",0.713841604198,16.0614481162,0.538183357123,12.1280050412,0.633999169942,12.9920534039,0.603464390085,10.0772031541,0.503969729176,11.0902742369,0.704090084884,8.49919761605,0.283775159996,9.61106696645,0.86270727257,7.08949473974,0.25532048142,8.76388640022,0.868830015158,6.49164010418,0.157470682264,8.23884411729,0.920630735746,6.59502618371
Qwen/Qwen3-32B,qwen,5,24,30002400,30002404,False,core,275,0.568230886994,1.13760580396,0.650720598962,1.13760580396,,,"{""1.0"": 3, ""10.0"": 2}",0.718583497105,15.9278161386,0.530757984914,12.4345259062,0.539672870431,14.5703521182,0.677171857416,11.2575425124,0.446436293446,11.7158013524,0.744231954557,8.71238961156,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,24,30002400,30002404,False,extended,275,0.345290635877,1.99712615767,0.799242072691,1.1387056132,1.64068961601,1.99712615767,"{""10.0"": 5}",0.717231282823,15.9660370847,0.532117948088,12.5010779206,0.539424815492,14.5742773279,0.677354910589,11.2599581595,0.445836495116,11.722146797,0.744775998518,8.72008010471,0.194891986548,10.1899954101,0.922172862018,7.06098959273,0.0744267006636,9.77051472731,0.967267209444,7.10180574707,0.0999325346181,8.51552261483,0.95176350749,6.88967027313
Qwen/Qwen3-32B,qwen,5,25,30002500,30002504,False,core,275,0.470001813817,1.26151974905,0.722940994336,1.26151974905,,,"{""10.0"": 5}",0.640045472413,18.0137973677,0.60177290777,14.3834503692,0.427490637057,16.2490531302,0.756336109986,12.1373245188,0.342469331982,12.7686858445,0.810713965252,10.0657214966,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,25,30002500,30002504,False,extended,275,0.313635729225,2.04096916554,0.824293993015,1.26578382487,1.60104542202,2.04096916554,"{""1.0"": 1, ""10.0"": 4}",0.640436330795,18.0040145264,0.601441177481,14.3780196919,0.423025930953,16.312289088,0.759174005572,12.1885618792,0.335235884557,12.8387274365,0.814942961562,10.1376359626,0.114055976885,10.6893194225,0.961512963062,7.69507469281,0.256493369158,8.75698201701,0.864632752156,6.63509049989,0.112566883004,8.45554471682,0.944060098259,6.53768664001
Qwen/Qwen3-32B,qwen,5,26,30002600,30002604,False,core,275,0.519891530439,1.20108677323,0.690526600367,1.20108677323,,,"{""1.0"": 1, ""10.0"": 4}",0.634667901326,18.1478578461,0.602529921565,14.2831039118,0.482142946314,15.4540285402,0.718503763751,11.2226558779,0.442863743678,11.7535458516,0.750546115785,8.99946815599,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,26,30002600,30002604,False,extended,275,0.356032428885,1.97578833478,0.798074396864,1.20169455464,1.56833342794,1.97578833478,"{""10.0"": 5}",0.634411349401,18.1542288313,0.602735311322,14.3276064179,0.482093316514,15.4547690554,0.718539874468,11.2265587144,0.441762722369,11.7651538893,0.751319103926,9.01126102774,0.162975015115,10.3900138049,0.931570975564,7.88272175643,0.215501338254,8.99514437624,0.889338022467,7.00612165432,0.199450831655,8.03096586899,0.894943093436,6.35744488739
Qwen/Qwen3-32B,qwen,5,27,30002700,30002704,False,core,275,0.509145861634,1.21748318078,0.68175569445,1.21748318078,,,"{""1.0"": 3, ""10.0"": 2}",0.685629485022,16.8345827264,0.564166330772,13.346345298,0.688362924305,11.9884026804,0.557312925047,8.93162445573,0.153445175576,14.4882436055,0.92378782753,11.6010630512,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,27,30002700,30002704,False,extended,275,0.316104489295,2.03890971718,0.812920681562,1.21470258233,1.63757456969,2.03890971718,"{""10.0"": 5}",0.686627246642,16.8078463619,0.563263534133,13.4039372622,0.688152164611,11.9924558648,0.557603981329,8.94908004924,0.159525014645,14.4361235814,0.920496797729,11.5880050853,0.111567126656,10.7043234499,0.960100793089,7.49130876157,0.137442444282,9.43204961794,0.932631140276,6.89921718669,0.113312938933,8.45198972459,0.943427842818,6.57992947338
Qwen/Qwen3-32B,qwen,5,28,30002800,30002804,False,core,275,0.523639024943,1.19420689958,0.681509375428,1.19420689958,,,"{""1.0"": 2, ""10.0"": 3}",0.532508450477,20.5290255543,0.68324182044,15.6718741692,0.698860080823,11.7847649993,0.552657742504,8.95338855251,0.339548543528,12.7970140333,0.80862856334,9.83750132181,,,,,,,,,,,,
Qwen/Qwen3-32B,qwen,5,28,30002800,30002804,False,extended,275,0.371949630015,1.95190071183,0.785968123155,1.18976005377,1.54738082039,1.95190071183,"{""1.0"": 1, ""10.0"": 4}",0.530644406171,20.5699128637,0.684533210827,15.714367527,0.700066171302,11.7611418393,0.551482642343,8.9453398139,0.35108027513,12.6848017124,0.801754428747,9.76264560164,0.148888022343,10.4770801168,0.941099613452,7.52392689815,0.2347612238,8.88404028237,0.879438645157,6.573799494,0.266257681346,7.68856975235,0.857500198403,5.98809565975
Qwen/Qwen3-32B,qwen,5,29,30002900,30002904,False,core,275,0.592289539146,1.10816139018,0.633488979685,1.10816139018,,,"{""0.0001"": 1, ""1.0"": 1, ""10.0"": 3}",0.714071775773,16.0549873019,0.535664810032,12.7391897687,0.627167227812,13.1127506235,0.612606894693,9.89873542154,0.435629613852,11.8296066412,0.752195234331,9.38189968635,,,,,,,,,,,,
