model,model_key,role,trait,raw_cosine,within_model_z_score,within_model_percentile
Qwen/Qwen3-32B,qwen,evaluator,adventurous,-0.146259838377,-1.41675883143,7.29927007299
Qwen/Qwen3-32B,qwen,evangelist,adventurous,0.0452167967064,1.64883037448,96.3503649635
Qwen/Qwen3-32B,qwen,examiner,adventurous,-0.159866291424,-1.6346015754,3.6496350365
Qwen/Qwen3-32B,qwen,exile,adventurous,-0.00118221074884,0.905970566247,78.4671532847
Qwen/Qwen3-32B,qwen,expatriate,adventurous,-0.0768641163049,-0.30571582387,42.700729927
Qwen/Qwen3-32B,qwen,facilitator,adventurous,-0.122121957902,-1.03030527899,18.2481751825
Qwen/Qwen3-32B,qwen,familiar,adventurous,-0.0420321241061,0.251953153647,57.299270073
Qwen/Qwen3-32B,qwen,fixer,adventurous,-0.00525534021674,0.840758736481,75.1824817518
Qwen/Qwen3-32B,qwen,flaneur,adventurous,0.00736094649162,1.04274866771,83.9416058394
Qwen/Qwen3-32B,qwen,fool,adventurous,0.0436848019408,1.62430275202,95.9854014599
Qwen/Qwen3-32B,qwen,forecaster,adventurous,-0.107794032747,-0.800911584663,27.7372262774
Qwen/Qwen3-32B,qwen,futurist,adventurous,-0.0613826958325,-0.0578543786769,48.1751824818
Qwen/Qwen3-32B,qwen,gamer,adventurous,0.0190436363287,1.22979147763,88.6861313869
Qwen/Qwen3-32B,qwen,generalist,adventurous,-0.109679362407,-0.831096187877,27.0072992701
Qwen/Qwen3-32B,qwen,genie,adventurous,0.034537760907,1.47785631876,94.1605839416
Qwen/Qwen3-32B,qwen,geographer,adventurous,-0.126156501063,-1.09489933225,16.4233576642
Qwen/Qwen3-32B,qwen,ghost,adventurous,0.000723009356297,0.936473620505,79.9270072993
Qwen/Qwen3-32B,qwen,golem,adventurous,-0.0577083112116,0.000973445549631,50
Qwen/Qwen3-32B,qwen,gossip,adventurous,0.0652373642307,1.96936470846,97.8102189781
Qwen/Qwen3-32B,qwen,grader,adventurous,-0.163105254076,-1.68645818412,2.55474452555
Qwen/Qwen3-32B,qwen,graduate,adventurous,-0.0521186768855,0.0904649004608,53.6496350365
Qwen/Qwen3-32B,qwen,grandparent,adventurous,-0.0463120787027,0.183430001422,54.7445255474
Qwen/Qwen3-32B,qwen,guardian,adventurous,-0.102991721193,-0.724025365854,30.6569343066
Qwen/Qwen3-32B,qwen,guide,adventurous,-0.0812464065222,-0.375877395184,39.7810218978
Qwen/Qwen3-32B,qwen,guru,adventurous,-0.0101940039159,0.761689485441,72.2627737226
Qwen/Qwen3-32B,qwen,hacker,adventurous,0.0144889760419,1.15687021804,87.2262773723
Qwen/Qwen3-32B,qwen,healer,adventurous,-0.0784359741363,-0.330881664074,41.2408759124
Qwen/Qwen3-32B,qwen,hedonist,adventurous,0.019449854858,1.23629513871,89.0510948905
Qwen/Qwen3-32B,qwen,hermit,adventurous,-0.0288687768591,0.46270166203,63.503649635
Qwen/Qwen3-32B,qwen,historian,adventurous,-0.121591214192,-1.02180793836,18.6131386861
Qwen/Qwen3-32B,qwen,hive,adventurous,-0.0734744791224,-0.251446877927,43.4306569343
Qwen/Qwen3-32B,qwen,hoarder,adventurous,0.0039574689916,0.988258134791,82.4817518248
Qwen/Qwen3-32B,qwen,homunculus,adventurous,-0.027158299358,0.490086838097,63.8686131387
Qwen/Qwen3-32B,qwen,hybrid,adventurous,-0.0561209506668,0.0263874881034,51.0948905109
Qwen/Qwen3-32B,qwen,idealist,adventurous,-0.0431830249305,0.233526941263,56.204379562
Qwen/Qwen3-32B,qwen,immigrant,adventurous,-0.0654214829434,-0.122516378647,45.9854014599
Qwen/Qwen3-32B,qwen,improviser,adventurous,0.0416238736469,1.59130677039,95.2554744526
