model,model_key,scope,trait,pc,full_data_descriptive_alpha,standardized_ridge_coefficient,leave_one_trait_out_delta_aggregate_nrmse,leave_one_trait_out_delta_mean_pc_r2,conditional_permutation_delta_aggregate_nrmse,conditional_permutation_delta_mean_pc_r2
Qwen/Qwen3-32B,qwen,extended,grandiose,PC1,0.01,-0.512957322183,0.0974840591485,0.0257199969737,1.82688029498,1.00867186297
Qwen/Qwen3-32B,qwen,extended,grandiose,PC2,0.01,-1.2159331137,0.0974840591485,0.0257199969737,1.82688029498,1.00867186297
Qwen/Qwen3-32B,qwen,extended,grandiose,PC3,0.01,0.128884892201,0.0974840591485,0.0257199969737,1.82688029498,1.00867186297
Qwen/Qwen3-32B,qwen,extended,grandiose,PC4,0.01,0.534450335897,0.0974840591485,0.0257199969737,1.82688029498,1.00867186297
Qwen/Qwen3-32B,qwen,extended,grandiose,PC5,0.01,0.823584651829,0.0974840591485,0.0257199969737,1.82688029498,1.00867186297
Qwen/Qwen3-32B,qwen,extended,grandiose,PC6,0.01,0.495138432931,0.0974840591485,0.0257199969737,1.82688029498,1.00867186297
Qwen/Qwen3-32B,qwen,extended,impulsive,PC1,0.01,-0.700706101713,0.0594797440107,0.0146550211443,3.04166457801,2.28081546165
Qwen/Qwen3-32B,qwen,extended,impulsive,PC2,0.01,-0.109018192469,0.0594797440107,0.0146550211443,3.04166457801,2.28081546165
Qwen/Qwen3-32B,qwen,extended,impulsive,PC3,0.01,-0.0975752901866,0.0594797440107,0.0146550211443,3.04166457801,2.28081546165
Qwen/Qwen3-32B,qwen,extended,impulsive,PC4,0.01,2.29510147332,0.0594797440107,0.0146550211443,3.04166457801,2.28081546165
Qwen/Qwen3-32B,qwen,extended,impulsive,PC5,0.01,0.354551280074,0.0594797440107,0.0146550211443,3.04166457801,2.28081546165
Qwen/Qwen3-32B,qwen,extended,impulsive,PC6,0.01,0.601877095238,0.0594797440107,0.0146550211443,3.04166457801,2.28081546165
Qwen/Qwen3-32B,qwen,extended,manipulative,PC1,0.01,-0.0713839729238,0.123644148466,0.0336299687959,4.39046912909,4.2715067566
Qwen/Qwen3-32B,qwen,extended,manipulative,PC2,0.01,0.205927079365,0.123644148466,0.0336299687959,4.39046912909,4.2715067566
Qwen/Qwen3-32B,qwen,extended,manipulative,PC3,0.01,-0.239229608105,0.123644148466,0.0336299687959,4.39046912909,4.2715067566
Qwen/Qwen3-32B,qwen,extended,manipulative,PC4,0.01,-1.67121166612,0.123644148466,0.0336299687959,4.39046912909,4.2715067566
Qwen/Qwen3-32B,qwen,extended,manipulative,PC5,0.01,-2.69423513856,0.123644148466,0.0336299687959,4.39046912909,4.2715067566
Qwen/Qwen3-32B,qwen,extended,manipulative,PC6,0.01,-1.6216562961,0.123644148466,0.0336299687959,4.39046912909,4.2715067566
Qwen/Qwen3-32B,qwen,extended,optimistic,PC1,0.01,0.646038557054,0.258916211253,0.0747903521706,17.355057791,54.6224990899
Qwen/Qwen3-32B,qwen,extended,optimistic,PC2,0.01,1.11368858008,0.258916211253,0.0747903521706,17.355057791,54.6224990899
Qwen/Qwen3-32B,qwen,extended,optimistic,PC3,0.01,2.09630162034,0.258916211253,0.0747903521706,17.355057791,54.6224990899
Qwen/Qwen3-32B,qwen,extended,optimistic,PC4,0.01,6.95965995779,0.258916211253,0.0747903521706,17.355057791,54.6224990899
Qwen/Qwen3-32B,qwen,extended,optimistic,PC5,0.01,9.15114512397,0.258916211253,0.0747903521706,17.355057791,54.6224990899
Qwen/Qwen3-32B,qwen,extended,optimistic,PC6,0.01,1.25210033818,0.258916211253,0.0747903521706,17.355057791,54.6224990899
Qwen/Qwen3-32B,qwen,extended,pessimistic,PC1,0.01,0.155007466708,0.393083663092,0.122013044125,18.1091570684,59.3198113947
Qwen/Qwen3-32B,qwen,extended,pessimistic,PC2,0.01,0.897181211083,0.393083663092,0.122013044125,18.1091570684,59.3198113947
Qwen/Qwen3-32B,qwen,extended,pessimistic,PC3,0.01,2.50225267574,0.393083663092,0.122013044125,18.1091570684,59.3198113947
Qwen/Qwen3-32B,qwen,extended,pessimistic,PC4,0.01,8.68566222643,0.393083663092,0.122013044125,18.1091570684,59.3198113947
Qwen/Qwen3-32B,qwen,extended,pessimistic,PC5,0.01,8.81595609983,0.393083663092,0.122013044125,18.1091570684,59.3198113947
Qwen/Qwen3-32B,qwen,extended,pessimistic,PC6,0.01,0.930443046334,0.393083663092,0.122013044125,18.1091570684,59.3198113947
Qwen/Qwen3-32B,qwen,extended,traditional,PC1,0.01,-0.150302062585,0.0722281814394,0.0185160870381,3.72656685901,3.24161323877
Qwen/Qwen3-32B,qwen,extended,traditional,PC2,0.01,0.0426990941096,0.0722281814394,0.0185160870381,3.72656685901,3.24161323877
Qwen/Qwen3-32B,qwen,extended,traditional,PC3,0.01,0.1538743665,0.0722281814394,0.0185160870381,3.72656685901,3.24161323877
Qwen/Qwen3-32B,qwen,extended,traditional,PC4,0.01,0.647642125218,0.0722281814394,0.0185160870381,3.72656685901,3.24161323877
Qwen/Qwen3-32B,qwen,extended,traditional,PC5,0.01,-1.99069242198,0.0722281814394,0.0185160870381,3.72656685901,3.24161323877
Qwen/Qwen3-32B,qwen,extended,traditional,PC6,0.01,-2.0579249076,0.0722281814394,0.0185160870381,3.72656685901,3.24161323877
Qwen/Qwen3-32B,qwen,extended,innovative,PC1,0.01,0.308450720562,0.0313754147965,0.00785080151889,4.35195989716,4.23060230634
Qwen/Qwen3-32B,qwen,extended,innovative,PC2,0.01,-0.249332403043,0.0313754147965,0.00785080151889,4.35195989716,4.23060230634
Qwen/Qwen3-32B,qwen,extended,innovative,PC3,0.01,0.494866149029,0.0313754147965,0.00785080151889,4.35195989716,4.23060230634
Qwen/Qwen3-32B,qwen,extended,innovative,PC4,0.01,0.0579251153817,0.0313754147965,0.00785080151889,4.35195989716,4.23060230634
Qwen/Qwen3-32B,qwen,extended,innovative,PC5,0.01,0.268569198592,0.0313754147965,0.00785080151889,4.35195989716,4.23060230634
Qwen/Qwen3-32B,qwen,extended,innovative,PC6,0.01,-3.53856667475,0.0313754147965,0.00785080151889,4.35195989716,4.23060230634
Qwen/Qwen3-32B,qwen,extended,introspective,PC1,0.01,0.0357536790493,0.0399387989573,0.0100217082779,0.960098409334,0.391620563558
Qwen/Qwen3-32B,qwen,extended,introspective,PC2,0.01,0.00664160508962,0.0399387989573,0.0100217082779,0.960098409334,0.391620563558
Qwen/Qwen3-32B,qwen,extended,introspective,PC3,0.01,-0.0836012709779,0.0399387989573,0.0100217082779,0.960098409334,0.391620563558
Qwen/Qwen3-32B,qwen,extended,introspective,PC4,0.01,-0.0240467135627,0.0399387989573,0.0100217082779,0.960098409334,0.391620563558
Qwen/Qwen3-32B,qwen,extended,introspective,PC5,0.01,0.944048552592,0.0399387989573,0.0100217082779,0.960098409334,0.391620563558
Qwen/Qwen3-32B,qwen,extended,introspective,PC6,0.01,0.510269335988,0.0399387989573,0.0100217082779,0.960098409334,0.391620563558
Qwen/Qwen3-32B,qwen,extended,judgmental,PC1,0.01,0.469662891898,0.20231027912,0.0553401835905,5.92101064627,7.31027462391
Qwen/Qwen3-32B,qwen,extended,judgmental,PC2,0.01,0.452396976604,0.20231027912,0.0553401835905,5.92101064627,7.31027462391
Qwen/Qwen3-32B,qwen,extended,judgmental,PC3,0.01,-0.408809704299,0.20231027912,0.0553401835905,5.92101064627,7.31027462391
Qwen/Qwen3-32B,qwen,extended,judgmental,PC4,0.01,-3.66322761919,0.20231027912,0.0553401835905,5.92101064627,7.31027462391
Qwen/Qwen3-32B,qwen,extended,judgmental,PC5,0.01,0.0673313899261,0.20231027912,0.0553401835905,5.92101064627,7.31027462391
Qwen/Qwen3-32B,qwen,extended,judgmental,PC6,0.01,2.4993238527,0.20231027912,0.0553401835905,5.92101064627,7.31027462391
Llama-3.3-70B,llama,core,adventurous,PC1,0.0001,0.187995985065,0.0543800630569,0.0182114694984,0.924909309929,0.602838564892
Llama-3.3-70B,llama,core,adventurous,PC2,0.0001,0.324966520833,0.0543800630569,0.0182114694984,0.924909309929,0.602838564892
Llama-3.3-70B,llama,core,adventurous,PC3,0.0001,-0.884484153134,0.0543800630569,0.0182114694984,0.924909309929,0.602838564892
Llama-3.3-70B,llama,core,altruistic,PC1,0.0001,-0.113904294302,0.00994678757728,0.00323179303611,0.250868193183,0.103600806
Llama-3.3-70B,llama,core,altruistic,PC2,0.0001,0.0792685179667,0.00994678757728,0.00323179303611,0.250868193183,0.103600806
Llama-3.3-70B,llama,core,altruistic,PC3,0.0001,-0.388343079368,0.00994678757728,0.00323179303611,0.250868193183,0.103600806
Llama-3.3-70B,llama,core,forgiving,PC1,0.0001,-0.374292072588,0.0297487279803,0.0108420362442,0.717324311782,0.407867185198
Llama-3.3-70B,llama,core,forgiving,PC2,0.0001,0.063905589512,0.0297487279803,0.0108420362442,0.717324311782,0.407867185198
Llama-3.3-70B,llama,core,forgiving,PC3,0.0001,-0.634105852767,0.0297487279803,0.0108420362442,0.717324311782,0.407867185198
Llama-3.3-70B,llama,core,grandiose,PC1,0.0001,-1.07225944082,0.148199519514,0.0574445125044,1.38306243638,1.10338897927
Llama-3.3-70B,llama,core,grandiose,PC2,0.0001,-0.121005649962,0.148199519514,0.0574445125044,1.38306243638,1.10338897927
Llama-3.3-70B,llama,core,grandiose,PC3,0.0001,0.555950538,0.148199519514,0.0574445125044,1.38306243638,1.10338897927
Llama-3.3-70B,llama,core,impulsive,PC1,0.0001,-0.399705122962,0.0718489859958,0.0247170496602,1.40950531153,1.13394644812
Llama-3.3-70B,llama,core,impulsive,PC2,0.0001,0.729566140086,0.0718489859958,0.0247170496602,1.40950531153,1.13394644812
Llama-3.3-70B,llama,core,impulsive,PC3,0.0001,0.987364197782,0.0718489859958,0.0247170496602,1.40950531153,1.13394644812
Llama-3.3-70B,llama,core,manipulative,PC1,0.0001,-0.0445817907419,-0.00105637932448,-0.000377879857828,0.508203744702,0.256930882133
Llama-3.3-70B,llama,core,manipulative,PC2,0.0001,0.514761807242,-0.00105637932448,-0.000377879857828,0.508203744702,0.256930882133
Llama-3.3-70B,llama,core,manipulative,PC3,0.0001,-0.191096985837,-0.00105637932448,-0.000377879857828,0.508203744702,0.256930882133
Llama-3.3-70B,llama,core,optimistic,PC1,0.0001,2.05791848421,0.0326592602361,0.0130142500544,4.81193850889,9.16237553602
Llama-3.3-70B,llama,core,optimistic,PC2,0.0001,-1.84398285133,0.0326592602361,0.0130142500544,4.81193850889,9.16237553602
Llama-3.3-70B,llama,core,optimistic,PC3,0.0001,2.5348158035,0.0326592602361,0.0130142500544,4.81193850889,9.16237553602
Llama-3.3-70B,llama,core,pessimistic,PC1,0.0001,2.01251374275,0.0348128242123,0.0141173450398,5.80873036147,12.919586927
Llama-3.3-70B,llama,core,pessimistic,PC2,0.0001,-1.57063622453,0.0348128242123,0.0141173450398,5.80873036147,12.919586927
Llama-3.3-70B,llama,core,pessimistic,PC3,0.0001,3.62974332945,0.0348128242123,0.0141173450398,5.80873036147,12.919586927
Llama-3.3-70B,llama,core,traditional,PC1,0.0001,-0.0444196438197,0.0017535035778,0.000597398080212,0.0853294599238,0.0314069529617
Llama-3.3-70B,llama,core,traditional,PC2,0.0001,0.214931380124,0.0017535035778,0.000597398080212,0.0853294599238,0.0314069529617
Llama-3.3-70B,llama,core,traditional,PC3,0.0001,0.00593264147988,0.0017535035778,0.000597398080212,0.0853294599238,0.0314069529617
Llama-3.3-70B,llama,core,innovative,PC1,0.0001,-0.175242309069,0.0152735255684,0.00485324849113,0.771096178155,0.461223776534
Llama-3.3-70B,llama,core,innovative,PC2,0.0001,0.117859976915,0.0152735255684,0.00485324849113,0.771096178155,0.461223776534
Llama-3.3-70B,llama,core,innovative,PC3,0.0001,0.802945990293,0.0152735255684,0.00485324849113,0.771096178155,0.461223776534
Llama-3.3-70B,llama,core,introspective,PC1,0.0001,0.0772738715579,0.0182537032909,0.00593411681938,0.322065024891,0.136940066291
Llama-3.3-70B,llama,core,introspective,PC2,0.0001,-0.242330165642,0.0182537032909,0.00593411681938,0.322065024891,0.136940066291
Llama-3.3-70B,llama,core,introspective,PC3,0.0001,-0.389848994523,0.0182537032909,0.00593411681938,0.322065024891,0.136940066291
Llama-3.3-70B,llama,core,judgmental,PC1,0.0001,0.214339217885,0.198156134133,0.0803646419748,3.66018081181,5.70047134172
Llama-3.3-70B,llama,core,judgmental,PC2,0.0001,-0.422488788832,0.198156134133,0.0803646419748,3.66018081181,5.70047134172
Llama-3.3-70B,llama,core,judgmental,PC3,0.0001,-2.86364679959,0.198156134133,0.0803646419748,3.66018081181,5.70047134172
Llama-3.3-70B,llama,extended,adventurous,PC1,0.0001,0.187995985065,0.0703164465262,0.0267946813671,1.47486951546,0.937607420134
Llama-3.3-70B,llama,extended,adventurous,PC2,0.0001,0.324966520833,0.0703164465262,0.0267946813671,1.47486951546,0.937607420134
Llama-3.3-70B,llama,extended,adventurous,PC3,0.0001,-0.884484153134,0.0703164465262,0.0267946813671,1.47486951546,0.937607420134
Llama-3.3-70B,llama,extended,adventurous,PC4,0.0001,0.669984106639,0.0703164465262,0.0267946813671,1.47486951546,0.937607420134
Llama-3.3-70B,llama,extended,adventurous,PC5,0.0001,-1.09508460719,0.0703164465262,0.0267946813671,1.47486951546,0.937607420134
Llama-3.3-70B,llama,extended,adventurous,PC6,0.0001,0.279735991513,0.0703164465262,0.0267946813671,1.47486951546,0.937607420134
Llama-3.3-70B,llama,extended,altruistic,PC1,0.0001,-0.113904294302,0.0104157691202,0.00405114999095,0.527004329596,0.252946168185
Llama-3.3-70B,llama,extended,altruistic,PC2,0.0001,0.0792685179667,0.0104157691202,0.00405114999095,0.527004329596,0.252946168185
Llama-3.3-70B,llama,extended,altruistic,PC3,0.0001,-0.388343079368,0.0104157691202,0.00405114999095,0.527004329596,0.252946168185
Llama-3.3-70B,llama,extended,altruistic,PC4,0.0001,-0.379353809318,0.0104157691202,0.00405114999095,0.527004329596,0.252946168185
Llama-3.3-70B,llama,extended,altruistic,PC5,0.0001,0.252290872305,0.0104157691202,0.00405114999095,0.527004329596,0.252946168185
Llama-3.3-70B,llama,extended,altruistic,PC6,0.0001,0.566747955534,0.0104157691202,0.00405114999095,0.527004329596,0.252946168185
Llama-3.3-70B,llama,extended,forgiving,PC1,0.0001,-0.374292072588,0.0219141163113,0.0083670096642,0.83615627502,0.439516958057
Llama-3.3-70B,llama,extended,forgiving,PC2,0.0001,0.063905589512,0.0219141163113,0.0083670096642,0.83615627502,0.439516958057
Llama-3.3-70B,llama,extended,forgiving,PC3,0.0001,-0.634105852767,0.0219141163113,0.0083670096642,0.83615627502,0.439516958057
Llama-3.3-70B,llama,extended,forgiving,PC4,0.0001,-0.637240486326,0.0219141163113,0.0083670096642,0.83615627502,0.439516958057
Llama-3.3-70B,llama,extended,forgiving,PC5,0.0001,0.231974331099,0.0219141163113,0.0083670096642,0.83615627502,0.439516958057
Llama-3.3-70B,llama,extended,forgiving,PC6,0.0001,0.372789513256,0.0219141163113,0.0083670096642,0.83615627502,0.439516958057
Llama-3.3-70B,llama,extended,grandiose,PC1,0.0001,-1.07225944082,0.160366227853,0.0661715181203,1.85104881065,1.28787022873
Llama-3.3-70B,llama,extended,grandiose,PC2,0.0001,-0.121005649962,0.160366227853,0.0661715181203,1.85104881065,1.28787022873
Llama-3.3-70B,llama,extended,grandiose,PC3,0.0001,0.555950538,0.160366227853,0.0661715181203,1.85104881065,1.28787022873
Llama-3.3-70B,llama,extended,grandiose,PC4,0.0001,-0.6961582166,0.160366227853,0.0661715181203,1.85104881065,1.28787022873
Llama-3.3-70B,llama,extended,grandiose,PC5,0.0001,1.28383441905,0.160366227853,0.0661715181203,1.85104881065,1.28787022873
Llama-3.3-70B,llama,extended,grandiose,PC6,0.0001,0.356789618787,0.160366227853,0.0661715181203,1.85104881065,1.28787022873
Llama-3.3-70B,llama,extended,impulsive,PC1,0.0001,-0.399705122962,0.0883316393191,0.034890155556,2.3529743682,1.81008629682
Llama-3.3-70B,llama,extended,impulsive,PC2,0.0001,0.729566140086,0.0883316393191,0.034890155556,2.3529743682,1.81008629682
Llama-3.3-70B,llama,extended,impulsive,PC3,0.0001,0.987364197782,0.0883316393191,0.034890155556,2.3529743682,1.81008629682
Llama-3.3-70B,llama,extended,impulsive,PC4,0.0001,-1.81874259972,0.0883316393191,0.034890155556,2.3529743682,1.81008629682
Llama-3.3-70B,llama,extended,impulsive,PC5,0.0001,0.159089426418,0.0883316393191,0.034890155556,2.3529743682,1.81008629682
Llama-3.3-70B,llama,extended,impulsive,PC6,0.0001,-0.590141863759,0.0883316393191,0.034890155556,2.3529743682,1.81008629682
Llama-3.3-70B,llama,extended,manipulative,PC1,0.0001,-0.0445817907419,0.0122532177896,0.00485409668043,1.87513854785,1.30307667397
Llama-3.3-70B,llama,extended,manipulative,PC2,0.0001,0.514761807242,0.0122532177896,0.00485409668043,1.87513854785,1.30307667397
Llama-3.3-70B,llama,extended,manipulative,PC3,0.0001,-0.191096985837,0.0122532177896,0.00485409668043,1.87513854785,1.30307667397
Llama-3.3-70B,llama,extended,manipulative,PC4,0.0001,0.685788241621,0.0122532177896,0.00485409668043,1.87513854785,1.30307667397
Llama-3.3-70B,llama,extended,manipulative,PC5,0.0001,-1.58764128383,0.0122532177896,0.00485409668043,1.87513854785,1.30307667397
Llama-3.3-70B,llama,extended,manipulative,PC6,0.0001,-0.690200465568,0.0122532177896,0.00485409668043,1.87513854785,1.30307667397
Llama-3.3-70B,llama,extended,optimistic,PC1,0.0001,2.05791848421,0.103174683167,0.0410374652712,10.8008227407,23.6209088714
Llama-3.3-70B,llama,extended,optimistic,PC2,0.0001,-1.84398285133,0.103174683167,0.0410374652712,10.8008227407,23.6209088714
Llama-3.3-70B,llama,extended,optimistic,PC3,0.0001,2.5348158035,0.103174683167,0.0410374652712,10.8008227407,23.6209088714
Llama-3.3-70B,llama,extended,optimistic,PC4,0.0001,1.11532028521,0.103174683167,0.0410374652712,10.8008227407,23.6209088714
Llama-3.3-70B,llama,extended,optimistic,PC5,0.0001,6.47814882656,0.103174683167,0.0410374652712,10.8008227407,23.6209088714
Llama-3.3-70B,llama,extended,optimistic,PC6,0.0001,-5.06610271563,0.103174683167,0.0410374652712,10.8008227407,23.6209088714
Llama-3.3-70B,llama,extended,pessimistic,PC1,0.0001,2.01251374275,0.0971080319739,0.0387641202847,12.2338528041,29.6065282072
Llama-3.3-70B,llama,extended,pessimistic,PC2,0.0001,-1.57063622453,0.0971080319739,0.0387641202847,12.2338528041,29.6065282072
Llama-3.3-70B,llama,extended,pessimistic,PC3,0.0001,3.62974332945,0.0971080319739,0.0387641202847,12.2338528041,29.6065282072
Llama-3.3-70B,llama,extended,pessimistic,PC4,0.0001,1.56663329688,0.0971080319739,0.0387641202847,12.2338528041,29.6065282072
Llama-3.3-70B,llama,extended,pessimistic,PC5,0.0001,6.89621825087,0.0971080319739,0.0387641202847,12.2338528041,29.6065282072
Llama-3.3-70B,llama,extended,pessimistic,PC6,0.0001,-5.39064119509,0.0971080319739,0.0387641202847,12.2338528041,29.6065282072
Llama-3.3-70B,llama,extended,traditional,PC1,0.0001,-0.0444196438197,0.0938952263558,0.036989379496,1.40849089752,0.866877326654
Llama-3.3-70B,llama,extended,traditional,PC2,0.0001,0.214931380124,0.0938952263558,0.036989379496,1.40849089752,0.866877326654
Llama-3.3-70B,llama,extended,traditional,PC3,0.0001,0.00593264147988,0.0938952263558,0.036989379496,1.40849089752,0.866877326654
Llama-3.3-70B,llama,extended,traditional,PC4,0.0001,0.130691306866,0.0938952263558,0.036989379496,1.40849089752,0.866877326654
Llama-3.3-70B,llama,extended,traditional,PC5,0.0001,-1.57565992086,0.0938952263558,0.036989379496,1.40849089752,0.866877326654
