k,activation_cluster,semantic_type,semantic_cluster,activation_n,semantic_n,intersection_n,jaccard,activation_containment,semantic_containment,shared_roles
7,grounded_social,original_prompt,6,45,31,4,0.05555555555555555,0.08888888888888889,0.12903225806451613,"blogger, influencer, playwright, presenter"
7,grounded_social,original_prompt,0,45,45,3,0.034482758620689655,0.06666666666666667,0.06666666666666667,"actor, amateur, chameleon"
7,grounded_social,original_prompt,3,45,39,3,0.037037037037037035,0.06666666666666667,0.07692307692307693,"fixer, rogue, spy"
7,grounded_social,original_prompt,4,45,36,2,0.02531645569620253,0.044444444444444446,0.05555555555555555,"shapeshifter, student"
7,grounded_social,original_prompt,5,45,21,2,0.03125,0.044444444444444446,0.09523809523809523,"mechanic, patient"
7,mythic_spiritual,no_label_prompt,0,61,61,29,0.3118279569892473,0.47540983606557374,0.47540983606557374,"aberration, alien, angel, ascetic, bohemian, chimera, coral_reef, demon, dreamer, echo, eldritch, familiar, golem, homunculus, leviathan, musician, mycorrhizal, purist, romantic, stoic, traditionalist, tree, virtuoso, virus, void, whale, witch, wraith, zeitgeist"
7,mythic_spiritual,no_label_prompt,3,61,42,14,0.15730337078651685,0.22950819672131148,0.3333333333333333,"ancient, avatar, elder, flaneur, ghost, hermit, nomad, parasite, pilgrim, revenant, spirit, vampire, wanderer, wind"
7,mythic_spiritual,no_label_prompt,2,61,39,8,0.08695652173913043,0.13114754098360656,0.20512820512820512,"guru, loner, martyr, oracle, predator, prophet, simulacrum, warrior"
7,mythic_spiritual,no_label_prompt,1,61,43,4,0.04,0.06557377049180328,0.09302325581395349,"artisan, composer, philosopher, sage"
7,mythic_spiritual,no_label_prompt,4,61,27,4,0.047619047619047616,0.06557377049180328,0.14814814814814814,"bard, narrator, novelist, photographer"
7,mythic_spiritual,no_label_prompt,6,61,13,2,0.027777777777777776,0.03278688524590164,0.15384615384615385,"mystic, shaman"
7,mythic_spiritual,original_prompt,4,61,36,26,0.36619718309859156,0.4262295081967213,0.7222222222222222,"aberration, alien, angel, avatar, chimera, demon, dreamer, eldritch, familiar, golem, guru, homunculus, leviathan, mystic, oracle, pilgrim, prophet, shaman, spirit, tree, virtuoso, void, whale, witch, wraith, zeitgeist"
7,mythic_spiritual,original_prompt,1,61,52,15,0.15306122448979592,0.2459016393442623,0.28846153846153844,"ancient, ascetic, echo, elder, flaneur, ghost, hermit, nomad, parasite, predator, revenant, stoic, vampire, wanderer, wind"
7,mythic_spiritual,original_prompt,0,61,45,6,0.06,0.09836065573770492,0.13333333333333333,"coral_reef, loner, martyr, mycorrhizal, romantic, warrior"
7,mythic_spiritual,original_prompt,6,61,31,6,0.06976744186046512,0.09836065573770492,0.1935483870967742,"bard, musician, narrator, novelist, photographer, sage"
7,mythic_spiritual,original_prompt,2,61,51,4,0.037037037037037035,0.06557377049180328,0.0784313725490196,"artisan, composer, purist, virus"
7,mythic_spiritual,original_prompt,3,61,39,4,0.041666666666666664,0.06557377049180328,0.10256410256410256,"bohemian, philosopher, simulacrum, traditionalist"
7,other,no_label_prompt,0,22,61,9,0.12162162162162163,0.4090909090909091,0.14754098360655737,"amnesiac, crystalline, hoarder, infant, luddite, prey, procrastinator, robot, zealot"
7,other,no_label_prompt,2,22,39,5,0.08928571428571429,0.22727272727272727,0.1282051282051282,"caveman, comedian, fool, narcissist, toddler"
7,other,no_label_prompt,4,22,27,4,0.08888888888888889,0.18181818181818182,0.14814814814814814,"gossip, interviewer, moderator, podcaster"
7,other,no_label_prompt,3,22,42,3,0.04918032786885246,0.13636363636363635,0.07142857142857142,"adolescent, gamer, teenager"
7,other,no_label_prompt,1,22,43,1,0.015625,0.045454545454545456,0.023255813953488372,poet
7,other,original_prompt,1,22,52,7,0.1044776119402985,0.3181818181818182,0.1346153846153846,"adolescent, amnesiac, gamer, hoarder, prey, procrastinator, teenager"
7,other,original_prompt,6,22,31,7,0.15217391304347827,0.3181818181818182,0.22580645161290322,"comedian, fool, infant, interviewer, podcaster, poet, toddler"
7,other,original_prompt,0,22,45,4,0.06349206349206349,0.18181818181818182,0.08888888888888889,"gossip, moderator, narcissist, zealot"
7,other,original_prompt,3,22,39,3,0.05172413793103448,0.13636363636363635,0.07692307692307693,"caveman, luddite, robot"
7,other,original_prompt,4,22,36,1,0.017543859649122806,0.045454545454545456,0.027777777777777776,crystalline
7,procedural_professional,no_label_prompt,5,127,50,41,0.3014705882352941,0.3228346456692913,0.82,"accountant, ambassador, architect, archivist, auditor, biologist, builder, cartographer, chemist, collector, coordinator, critic, debugger, designer, dispatcher, emissary, entrepreneur, evaluator, judge, lawyer, librarian, marketer, mediator, mentor, merchant, navigator, negotiator, networker, organizer, pharmacist, pilot, planner, producer, publisher, recruiter, reviewer, scheduler, scout, secretary, supervisor, validator"
7,procedural_professional,no_label_prompt,1,127,43,35,0.25925925925925924,0.2755905511811024,0.813953488372093,"analyst, anthropologist, archaeologist, assistant, coach, consultant, detective, economist, engineer, forecaster, futurist, generalist, geographer, instructor, interpreter, linguist, mathematician, naturalist, physicist, polymath, prodigy, programmer, psychologist, researcher, scholar, scientist, sociologist, specialist, statistician, strategist, teacher, theorist, trainer, translator, tutor"
7,procedural_professional,no_label_prompt,0,127,61,18,0.10588235294117647,0.14173228346456693,0.29508196721311475,"activist, anarchist, conservator, cosmopolitan, cyborg, destroyer, ecosystem, egregore, guardian, hive, hybrid, idealist, pacifist, perfectionist, revolutionary, swarm, symbiont, tulpa"
7,procedural_professional,no_label_prompt,2,127,39,11,0.07096774193548387,0.08661417322834646,0.28205128205128205,"altruist, collaborator, evangelist, guide, optimist, peacekeeper, pragmatist, realist, skeptic, technologist, visionary"
7,procedural_professional,no_label_prompt,4,127,27,11,0.07692307692307693,0.08661417322834646,0.4074074074074074,"advocate, curator, facilitator, historian, journalist, observer, reporter, summarizer, synthesizer, witness, writer"
7,procedural_professional,no_label_prompt,6,127,13,10,0.07692307692307693,0.07874015748031496,0.7692307692307693,"caregiver, counselor, doctor, empath, healer, nutritionist, paramedic, therapist, vegan, veterinarian"
7,procedural_professional,no_label_prompt,3,127,42,1,0.005952380952380952,0.007874015748031496,0.023809523809523808,minimalist
7,procedural_professional,original_prompt,2,127,51,39,0.2805755395683453,0.30708661417322836,0.7647058823529411,"accountant, activist, anarchist, anthropologist, architect, archivist, biologist, builder, cartographer, chemist, collector, conservator, coordinator, curator, designer, destroyer, dispatcher, economist, entrepreneur, geographer, historian, lawyer, librarian, linguist, marketer, merchant, navigator, nutritionist, organizer, pharmacist, pilot, planner, revolutionary, scheduler, secretary, sociologist, strategist, theorist, translator"
7,procedural_professional,original_prompt,0,127,45,29,0.20279720279720279,0.2283464566929134,0.6444444444444445,"altruist, ambassador, caregiver, coach, collaborator, counselor, ecosystem, egregore, emissary, empath, evangelist, facilitator, guardian, guide, hive, interpreter, mediator, mentor, negotiator, networker, optimist, pacifist, peacekeeper, realist, scout, swarm, symbiont, therapist, tulpa"
7,procedural_professional,original_prompt,3,127,39,23,0.16083916083916083,0.18110236220472442,0.5897435897435898,"analyst, archaeologist, detective, engineer, forecaster, futurist, judge, mathematician, observer, physicist, pragmatist, programmer, psychologist, researcher, scholar, scientist, skeptic, statistician, synthesizer, technologist, validator, vegan, visionary"
7,procedural_professional,original_prompt,5,127,21,15,0.11278195488721804,0.11811023622047244,0.7142857142857143,"advocate, assistant, auditor, consultant, critic, debugger, doctor, evaluator, idealist, paramedic, perfectionist, recruiter, reviewer, supervisor, veterinarian"
7,procedural_professional,original_prompt,6,127,31,10,0.06756756756756757,0.07874015748031496,0.3225806451612903,"instructor, journalist, producer, publisher, reporter, summarizer, teacher, trainer, tutor, writer"
7,procedural_professional,original_prompt,1,127,52,6,0.03468208092485549,0.047244094488188976,0.11538461538461539,"cosmopolitan, hybrid, minimalist, naturalist, specialist, witness"
7,procedural_professional,original_prompt,4,127,36,5,0.03164556962025317,0.03937007874015748,0.1388888888888889,"cyborg, generalist, healer, polymath, prodigy"
7,trickster_chaos,no_label_prompt,2,7,39,5,0.12195121951219512,0.7142857142857143,0.1282051282051282,"absurdist, genie, improviser, jester, trickster"
7,trickster_chaos,no_label_prompt,1,7,43,1,0.02040816326530612,0.14285714285714285,0.023255813953488372,dilettante
7,trickster_chaos,no_label_prompt,3,7,42,1,0.020833333333333332,0.14285714285714285,0.023809523809523808,hedonist
7,trickster_chaos,original_prompt,4,7,36,2,0.04878048780487805,0.2857142857142857,0.05555555555555555,"dilettante, genie"
7,trickster_chaos,original_prompt,6,7,31,2,0.05555555555555555,0.2857142857142857,0.06451612903225806,"jester, trickster"
7,trickster_chaos,original_prompt,0,7,45,1,0.0196078431372549,0.14285714285714285,0.022222222222222223,improviser
7,trickster_chaos,original_prompt,1,7,52,1,0.017241379310344827,0.14285714285714285,0.019230769230769232,hedonist
7,trickster_chaos,original_prompt,3,7,39,1,0.022222222222222223,0.14285714285714285,0.02564102564102564,absurdist
10,combative_iconoclast,no_label_prompt,9,8,19,5,0.22727272727272727,0.625,0.2631578947368421,"contrarian, devils_advocate, maverick, provocateur, rebel"
10,combative_iconoclast,no_label_prompt,2,8,32,2,0.05263157894736842,0.25,0.0625,"competitor, cynic"
10,combative_iconoclast,no_label_prompt,0,8,44,1,0.0196078431372549,0.125,0.022727272727272728,workaholic
10,combative_iconoclast,original_prompt,7,8,18,5,0.23809523809523808,0.625,0.2777777777777778,"contrarian, cynic, devils_advocate, maverick, rebel"
10,combative_iconoclast,original_prompt,0,8,36,1,0.023255813953488372,0.125,0.027777777777777776,competitor
10,combative_iconoclast,original_prompt,3,8,25,1,0.03125,0.125,0.04,provocateur
10,combative_iconoclast,original_prompt,5,8,19,1,0.038461538461538464,0.125,0.05263157894736842,workaholic
10,editorial,no_label_prompt,7,5,17,5,0.29411764705882354,1.0,0.29411764705882354,"editor, examiner, grader, proofreader, screener"
10,editorial,original_prompt,5,5,19,3,0.14285714285714285,0.6,0.15789473684210525,"examiner, grader, screener"
10,editorial,original_prompt,6,5,25,2,0.07142857142857142,0.4,0.08,"editor, proofreader"
10,grounded_social,no_label_prompt,3,45,35,19,0.3114754098360656,0.4222222222222222,0.5428571428571428,"celebrity, criminal, daredevil, divorcee, exile, expatriate, graduate, grandparent, immigrant, newlywed, orphan, parent, prisoner, refugee, retiree, soldier, survivor, veteran, widow"
10,grounded_social,no_label_prompt,2,45,32,6,0.08450704225352113,0.13333333333333333,0.1875,"amateur, chameleon, fixer, pirate, rogue, vigilante"
10,grounded_social,no_label_prompt,4,45,22,6,0.09836065573770492,0.13333333333333333,0.2727272727272727,"auctioneer, blogger, influencer, playwright, presenter, spy"
10,grounded_social,no_label_prompt,5,45,48,6,0.06896551724137931,0.13333333333333333,0.125,"bartender, chef, hacker, saboteur, smuggler, sommelier"
10,grounded_social,no_label_prompt,0,45,44,3,0.03488372093023256,0.06666666666666667,0.06818181818181818,"addict, provincial, surfer"
10,grounded_social,no_label_prompt,1,45,30,2,0.0273972602739726,0.044444444444444446,0.06666666666666667,"mechanic, student"
10,grounded_social,no_label_prompt,8,45,16,2,0.03389830508474576,0.044444444444444446,0.125,"actor, shapeshifter"
10,grounded_social,no_label_prompt,6,45,12,1,0.017857142857142856,0.022222222222222223,0.08333333333333333,patient
10,grounded_social,original_prompt,1,45,41,19,0.2835820895522388,0.4222222222222222,0.4634146341463415,"addict, celebrity, criminal, divorcee, exile, expatriate, grandparent, immigrant, newlywed, orphan, parent, pirate, prisoner, refugee, retiree, soldier, survivor, veteran, widow"
10,grounded_social,original_prompt,2,45,41,7,0.08860759493670886,0.15555555555555556,0.17073170731707318,"auctioneer, bartender, chef, hacker, saboteur, smuggler, sommelier"
10,grounded_social,original_prompt,6,45,25,4,0.06060606060606061,0.08888888888888889,0.16,"blogger, influencer, playwright, presenter"
10,grounded_social,original_prompt,8,45,23,4,0.0625,0.08888888888888889,0.17391304347826086,"actor, chameleon, fixer, shapeshifter"
10,grounded_social,original_prompt,0,45,36,2,0.02531645569620253,0.044444444444444446,0.05555555555555555,"amateur, daredevil"
10,grounded_social,original_prompt,3,45,25,2,0.029411764705882353,0.044444444444444446,0.08,"rogue, spy"
10,grounded_social,original_prompt,5,45,19,2,0.03225806451612903,0.044444444444444446,0.10526315789473684,"mechanic, patient"
10,grounded_social,original_prompt,7,45,18,2,0.03278688524590164,0.044444444444444446,0.1111111111111111,"provincial, vigilante"
10,grounded_social,original_prompt,9,45,10,2,0.03773584905660377,0.044444444444444446,0.2,"graduate, student"
10,grounded_social,original_prompt,4,45,37,1,0.012345679012345678,0.022222222222222223,0.02702702702702703,surfer
10,mythic_spiritual,no_label_prompt,0,61,44,25,0.3125,0.4098360655737705,0.5681818181818182,"aberration, alien, angel, ascetic, avatar, chimera, coral_reef, demon, dreamer, echo, eldritch, familiar, golem, homunculus, leviathan, musician, mycorrhizal, spirit, tree, virtuoso, void, whale, witch, wraith, zeitgeist"
10,mythic_spiritual,no_label_prompt,3,61,35,12,0.14285714285714285,0.19672131147540983,0.34285714285714286,"ancient, elder, flaneur, ghost, hermit, nomad, parasite, pilgrim, revenant, vampire, wanderer, wind"
10,mythic_spiritual,no_label_prompt,2,61,32,9,0.10714285714285714,0.14754098360655737,0.28125,"loner, martyr, oracle, photographer, predator, prophet, romantic, stoic, warrior"
10,mythic_spiritual,no_label_prompt,1,61,30,5,0.05813953488372093,0.08196721311475409,0.16666666666666666,"guru, mystic, philosopher, sage, shaman"
10,mythic_spiritual,no_label_prompt,9,61,19,5,0.06666666666666667,0.08196721311475409,0.2631578947368421,"bohemian, purist, simulacrum, traditionalist, virus"
10,mythic_spiritual,no_label_prompt,4,61,22,3,0.0375,0.04918032786885246,0.13636363636363635,"bard, narrator, novelist"
10,mythic_spiritual,no_label_prompt,5,61,48,2,0.018691588785046728,0.03278688524590164,0.041666666666666664,"artisan, composer"
10,mythic_spiritual,original_prompt,4,61,37,28,0.4,0.45901639344262296,0.7567567567567568,"aberration, alien, ancient, angel, avatar, chimera, demon, dreamer, echo, eldritch, familiar, ghost, golem, guru, homunculus, leviathan, mystic, oracle, prophet, shaman, spirit, tree, virtuoso, void, whale, witch, wraith, zeitgeist"
10,mythic_spiritual,original_prompt,1,61,41,12,0.13333333333333333,0.19672131147540983,0.2926829268292683,"ascetic, elder, flaneur, hermit, nomad, parasite, pilgrim, predator, revenant, vampire, wanderer, wind"
10,mythic_spiritual,original_prompt,0,61,36,5,0.05434782608695652,0.08196721311475409,0.1388888888888889,"coral_reef, loner, martyr, mycorrhizal, warrior"
10,mythic_spiritual,original_prompt,6,61,25,5,0.06172839506172839,0.08196721311475409,0.2,"bard, narrator, novelist, photographer, sage"
10,mythic_spiritual,original_prompt,2,61,41,3,0.030303030303030304,0.04918032786885246,0.07317073170731707,"artisan, composer, virus"
10,mythic_spiritual,original_prompt,3,61,25,3,0.03614457831325301,0.04918032786885246,0.12,"bohemian, philosopher, simulacrum"
