role,activation_cluster,original_prompt_k7,dominant_original_cluster_for_activation,no_label_prompt_k7,dominant_no_label_cluster_for_activation,original_migrates_from_activation_dominant,no_label_migrates_from_activation_dominant,original_to_no_label_cluster_changed,semantic_bridge_margin,cross_cluster_neighbors_top8,bridge_score
smuggler,grounded_social,2,1,5,3,True,True,True,0.0638988294390031,3,3
sommelier,grounded_social,2,1,5,3,True,True,True,,0,3
student,grounded_social,4,1,1,3,True,True,True,,0,3
surfer,grounded_social,1,1,3,3,False,False,True,0.02716310145594636,6,3
alien,mythic_spiritual,4,4,0,0,False,False,True,0.02842685068629197,6,3
artisan,mythic_spiritual,2,4,1,0,True,True,True,,0,3
bard,mythic_spiritual,6,4,4,0,True,True,True,,0,3
composer,mythic_spiritual,2,4,1,0,True,True,True,,0,3
elder,mythic_spiritual,1,4,3,0,True,True,True,,0,3
flaneur,mythic_spiritual,1,4,3,0,True,True,True,,0,3
ghost,mythic_spiritual,1,4,3,0,True,True,True,0.06936393424833132,4,3
hermit,mythic_spiritual,1,4,3,0,True,True,True,,0,3
loner,mythic_spiritual,0,4,2,0,True,True,True,,0,3
martyr,mythic_spiritual,0,4,2,0,True,True,True,,0,3
musician,mythic_spiritual,6,4,0,0,True,False,True,0.0655975172233178,5,3
narrator,mythic_spiritual,6,4,4,0,True,True,True,,0,3
nomad,mythic_spiritual,1,4,3,0,True,True,True,,0,3
novelist,mythic_spiritual,6,4,4,0,True,True,True,,0,3
parasite,mythic_spiritual,1,4,3,0,True,True,True,,0,3
philosopher,mythic_spiritual,3,4,1,0,True,True,True,,0,3
photographer,mythic_spiritual,6,4,4,0,True,True,True,,0,3
predator,mythic_spiritual,1,4,2,0,True,True,True,,0,3
revenant,mythic_spiritual,1,4,3,0,True,True,True,,0,3
simulacrum,mythic_spiritual,3,4,2,0,True,True,True,,0,3
vampire,mythic_spiritual,1,4,3,0,True,True,True,,0,3
wanderer,mythic_spiritual,1,4,3,0,True,True,True,,0,3
warrior,mythic_spiritual,0,4,2,0,True,True,True,,0,3
wind,mythic_spiritual,1,4,3,0,True,True,True,,0,3
adolescent,other,1,6,3,0,True,True,True,,0,3
caveman,other,3,6,2,0,True,True,True,,0,3
gamer,other,1,6,3,0,True,True,True,,0,3
gossip,other,0,6,4,0,True,True,True,,0,3
narcissist,other,0,6,2,0,True,True,True,,0,3
teenager,other,1,6,3,0,True,True,True,,0,3
altruist,procedural_professional,0,2,2,5,True,True,True,,0,3
analyst,procedural_professional,3,2,1,5,True,True,True,,0,3
anthropologist,procedural_professional,2,2,1,5,False,True,True,0.07162366896401862,5,3
assistant,procedural_professional,5,2,1,5,True,True,True,,0,3
caregiver,procedural_professional,0,2,6,5,True,True,True,,0,3
coach,procedural_professional,0,2,1,5,True,True,True,,0,3
collaborator,procedural_professional,0,2,2,5,True,True,True,,0,3
consultant,procedural_professional,5,2,1,5,True,True,True,,0,3
cosmopolitan,procedural_professional,1,2,0,5,True,True,True,,0,3
counselor,procedural_professional,0,2,6,5,True,True,True,,0,3
cyborg,procedural_professional,4,2,0,5,True,True,True,,0,3
doctor,procedural_professional,5,2,6,5,True,True,True,,0,3
empath,procedural_professional,0,2,6,5,True,True,True,,0,3
engineer,procedural_professional,3,2,1,5,True,True,True,,0,3
evangelist,procedural_professional,0,2,2,5,True,True,True,,0,3
facilitator,procedural_professional,0,2,4,5,True,True,True,,0,3
forecaster,procedural_professional,3,2,1,5,True,True,True,0.06668981026546594,3,3
generalist,procedural_professional,4,2,1,5,True,True,True,,0,3
guide,procedural_professional,0,2,2,5,True,True,True,,0,3
healer,procedural_professional,4,2,6,5,True,True,True,,0,3
hybrid,procedural_professional,1,2,0,5,True,True,True,,0,3
idealist,procedural_professional,5,2,0,5,True,True,True,,0,3
instructor,procedural_professional,6,2,1,5,True,True,True,,0,3
journalist,procedural_professional,6,2,4,5,True,True,True,,0,3
mathematician,procedural_professional,3,2,1,5,True,True,True,,0,3
minimalist,procedural_professional,1,2,3,5,True,True,True,,0,3
observer,procedural_professional,3,2,4,5,True,True,True,,0,3
optimist,procedural_professional,0,2,2,5,True,True,True,,0,3
paramedic,procedural_professional,5,2,6,5,True,True,True,,0,3
perfectionist,procedural_professional,5,2,0,5,True,True,True,,0,3
physicist,procedural_professional,3,2,1,5,True,True,True,,0,3
polymath,procedural_professional,4,2,1,5,True,True,True,,0,3
pragmatist,procedural_professional,3,2,2,5,True,True,True,,0,3
prodigy,procedural_professional,4,2,1,5,True,True,True,,0,3
programmer,procedural_professional,3,2,1,5,True,True,True,,0,3
psychologist,procedural_professional,3,2,1,5,True,True,True,,0,3
realist,procedural_professional,0,2,2,5,True,True,True,,0,3
reporter,procedural_professional,6,2,4,5,True,True,True,,0,3
researcher,procedural_professional,3,2,1,5,True,True,True,,0,3
scholar,procedural_professional,3,2,1,5,True,True,True,,0,3
scientist,procedural_professional,3,2,1,5,True,True,True,,0,3
scout,procedural_professional,0,2,5,5,True,False,True,0.021579355339939266,4,3
skeptic,procedural_professional,3,2,2,5,True,True,True,,0,3
statistician,procedural_professional,3,2,1,5,True,True,True,,0,3
summarizer,procedural_professional,6,2,4,5,True,True,True,,0,3
synthesizer,procedural_professional,3,2,4,5,True,True,True,,0,3
teacher,procedural_professional,6,2,1,5,True,True,True,,0,3
therapist,procedural_professional,0,2,6,5,True,True,True,,0,3
trainer,procedural_professional,6,2,1,5,True,True,True,,0,3
tutor,procedural_professional,6,2,1,5,True,True,True,,0,3
vegan,procedural_professional,3,2,6,5,True,True,True,0.0698909373257435,4,3
veterinarian,procedural_professional,5,2,6,5,True,True,True,,0,3
visionary,procedural_professional,3,2,2,5,True,True,True,,0,3
witness,procedural_professional,1,2,4,5,True,True,True,,0,3
writer,procedural_professional,6,2,4,5,True,True,True,,0,3
hedonist,trickster_chaos,1,6,3,2,True,True,True,,0,3
jester,trickster_chaos,6,6,2,2,False,False,True,0.043070469846505866,7,3
competitor,combative_iconoclast,0,3,2,2,True,False,True,,0,2
cynic,combative_iconoclast,0,3,2,2,True,False,True,,0,2
maverick,combative_iconoclast,3,3,2,2,False,False,True,0.044931345368058484,4,2
editor,editorial,6,5,5,5,True,False,True,,0,2
amateur,grounded_social,0,1,0,3,True,True,False,,0,2
provincial,grounded_social,1,1,0,3,False,True,True,,0,2
shapeshifter,grounded_social,4,1,3,3,True,False,True,,0,2
vigilante,grounded_social,2,1,2,3,True,True,False,,0,2
ascetic,mythic_spiritual,1,4,0,0,True,False,True,,0,2
avatar,mythic_spiritual,4,4,3,0,False,True,True,,0,2
bohemian,mythic_spiritual,3,4,0,0,True,False,True,,0,2
echo,mythic_spiritual,1,4,0,0,True,False,True,,0,2
guru,mythic_spiritual,4,4,2,0,False,True,True,,0,2
oracle,mythic_spiritual,4,4,2,0,False,True,True,,0,2
pilgrim,mythic_spiritual,4,4,3,0,False,True,True,,0,2
prophet,mythic_spiritual,4,4,2,0,False,True,True,,0,2
purist,mythic_spiritual,2,4,0,0,True,False,True,,0,2
shaman,mythic_spiritual,4,4,6,0,False,True,True,,0,2
spirit,mythic_spiritual,4,4,3,0,False,True,True,,0,2
stoic,mythic_spiritual,1,4,0,0,True,False,True,,0,2
traditionalist,mythic_spiritual,3,4,0,0,True,False,True,,0,2
virus,mythic_spiritual,2,4,0,0,True,False,True,,0,2
comedian,other,6,6,2,0,False,True,True,,0,2
crystalline,other,4,6,0,0,True,False,True,,0,2
fool,other,6,6,2,0,False,True,True,,0,2
hoarder,other,1,6,0,0,True,False,True,,0,2
interviewer,other,6,6,4,0,False,True,True,,0,2
luddite,other,3,6,0,0,True,False,True,,0,2
podcaster,other,6,6,4,0,False,True,True,,0,2
poet,other,6,6,1,0,False,True,True,,0,2
prey,other,1,6,0,0,True,False,True,,0,2
procrastinator,other,1,6,0,0,True,False,True,,0,2
robot,other,3,6,0,0,True,False,True,,0,2
activist,procedural_professional,2,2,0,5,False,True,True,,0,2
ambassador,procedural_professional,0,2,5,5,True,False,True,,0,2
anarchist,procedural_professional,2,2,0,5,False,True,True,,0,2
conservator,procedural_professional,2,2,0,5,False,True,True,,0,2
curator,procedural_professional,2,2,4,5,False,True,True,,0,2
destroyer,procedural_professional,2,2,0,5,False,True,True,,0,2
economist,procedural_professional,2,2,1,5,False,True,True,,0,2
egregore,procedural_professional,0,2,0,5,True,True,False,,0,2
geographer,procedural_professional,2,2,1,5,False,True,True,,0,2
historian,procedural_professional,2,2,4,5,False,True,True,,0,2
hive,procedural_professional,0,2,0,5,True,True,False,,0,2
judge,procedural_professional,3,2,5,5,True,False,True,,0,2
lawyer,procedural_professional,2,2,5,5,False,False,True,0.03887357121732049,4,2
linguist,procedural_professional,2,2,1,5,False,True,True,,0,2
mediator,procedural_professional,0,2,5,5,True,False,True,,0,2
mentor,procedural_professional,0,2,5,5,True,False,True,,0,2
merchant,procedural_professional,2,2,5,5,False,False,True,0.013024888550065117,4,2
naturalist,procedural_professional,1,2,1,5,True,True,False,,0,2
networker,procedural_professional,0,2,5,5,True,False,True,,0,2
nutritionist,procedural_professional,2,2,6,5,False,True,True,,0,2
pacifist,procedural_professional,0,2,0,5,True,True,False,,0,2
planner,procedural_professional,2,2,5,5,False,False,True,0.053988499745411256,5,2
producer,procedural_professional,6,2,5,5,True,False,True,,0,2
publisher,procedural_professional,6,2,5,5,True,False,True,,0,2
revolutionary,procedural_professional,2,2,0,5,False,True,True,,0,2
sociologist,procedural_professional,2,2,1,5,False,True,True,,0,2
specialist,procedural_professional,1,2,1,5,True,True,False,,0,2
strategist,procedural_professional,2,2,1,5,False,True,True,,0,2
swarm,procedural_professional,0,2,0,5,True,True,False,,0,2
symbiont,procedural_professional,0,2,0,5,True,True,False,,0,2
theorist,procedural_professional,2,2,1,5,False,True,True,,0,2
translator,procedural_professional,2,2,1,5,False,True,True,,0,2
tulpa,procedural_professional,0,2,0,5,True,True,False,,0,2
validator,procedural_professional,3,2,5,5,True,False,True,,0,2
absurdist,trickster_chaos,3,6,2,2,True,False,True,,0,2
genie,trickster_chaos,4,6,2,2,True,False,True,,0,2
improviser,trickster_chaos,0,6,2,2,True,False,True,,0,2
