analysis_tier,component,raw_eigenvalue,psd_eigenvalue,variance_fraction,cumulative_variance_fraction,parallel_analysis_p95,exceeds_parallel_p95
accept_direct_plus_close,17,1.07601304,1.07544466,0.01453304,0.75716978,1.35695537,False
accept_direct_plus_close,18,0.98955119,0.98911332,0.0133664,0.77053617,1.33386969,False
accept_direct_plus_close,19,0.95227336,0.95162224,0.01285976,0.78339593,1.31184547,False
accept_direct_plus_close,20,0.90888972,0.90848053,0.01227676,0.7956727,1.28918427,False
accept_direct_plus_close,21,0.86209301,0.86167561,0.01164427,0.80731696,1.26940328,False
accept_direct_plus_close,22,0.81232363,0.81189474,0.01097155,0.81828851,1.24951083,False
accept_direct_plus_close,23,0.78121099,0.7808692,0.01055229,0.8288408,1.22911956,False
accept_direct_plus_close,24,0.73461491,0.73425384,0.00992235,0.83876315,1.20811364,False
accept_direct_plus_close,25,0.69844561,0.69801069,0.00943258,0.84819573,1.19029208,False
accept_direct_plus_close,26,0.64827975,0.64801644,0.00875698,0.8569527,1.16901625,False
accept_direct_plus_close,27,0.6340167,0.63377,0.00856446,0.86551716,1.15037618,False
accept_direct_plus_close,28,0.61137698,0.61110884,0.00825823,0.87377539,1.13262692,False
accept_direct_plus_close,29,0.59264273,0.592306,0.00800414,0.88177953,1.11460702,False
accept_direct_plus_close,30,0.56093277,0.5605817,0.00757543,0.88935496,1.09531115,False
accept_direct_plus_close,31,0.5335152,0.53325246,0.00720611,0.89656107,1.07756416,False
accept_direct_plus_close,32,0.51771645,0.51746206,0.00699273,0.9035538,1.06167531,False
accept_direct_plus_close,33,0.47382696,0.47354719,0.00639929,0.90995309,1.04247403,False
accept_direct_plus_close,34,0.45337981,0.45322111,0.00612461,0.9160777,1.02850698,False
accept_direct_plus_close,35,0.44510828,0.44477251,0.00601044,0.92208814,1.01139192,False
accept_direct_plus_close,36,0.42930326,0.42914498,0.00579926,0.92788739,0.9925579,False
accept_direct_plus_close,37,0.42105601,0.42081109,0.00568664,0.93357403,0.97664185,False
accept_direct_plus_close,38,0.38804679,0.38780592,0.00524062,0.93881465,0.9600372,False
accept_direct_plus_close,39,0.3587408,0.35854446,0.0048452,0.94365984,0.94484367,False
accept_direct_plus_close,40,0.33677123,0.33654617,0.00454792,0.94820777,0.92654533,False
accept_direct_plus_close,41,0.33449375,0.33434583,0.00451819,0.95272595,0.91185554,False
accept_direct_plus_close,42,0.31545807,0.31536562,0.0042617,0.95698765,0.8973481,False
accept_direct_plus_close,43,0.30133224,0.3011647,0.00406979,0.96105744,0.8822147,False
accept_direct_plus_close,44,0.29129293,0.29115362,0.00393451,0.96499195,0.86554278,False
accept_direct_plus_close,45,0.26897044,0.26884639,0.00363306,0.96862501,0.85304684,False
accept_direct_plus_close,46,0.26069714,0.26049302,0.00352018,0.97214519,0.83671634,False
accept_direct_plus_close,47,0.22443154,0.22425742,0.00303051,0.97517569,0.82144773,False
accept_direct_plus_close,48,0.19990803,0.19974094,0.0026992,0.97787489,0.80695592,False
accept_direct_plus_close,49,0.18034613,0.18020854,0.00243525,0.98031015,0.7913645,False
accept_direct_plus_close,50,0.17021931,0.17009826,0.00229863,0.98260877,0.77636026,False
accept_direct_plus_close,51,0.16289315,0.16274655,0.00219928,0.98480805,0.76276763,False
accept_direct_plus_close,52,0.15635158,0.1562342,0.00211127,0.98691932,0.74672633,False
accept_direct_plus_close,53,0.14510143,0.1450085,0.00195957,0.9888789,0.73265171,False
accept_direct_plus_close,54,0.11822468,0.11814569,0.00159656,0.99047546,0.71880925,False
accept_direct_plus_close,55,0.10654152,0.1064285,0.00143822,0.99191368,0.70577061,False
accept_direct_plus_close,56,0.09960798,0.09953542,0.00134507,0.99325875,0.68902885,False
accept_direct_plus_close,57,0.09065183,0.09056274,0.00122382,0.99448258,0.67502986,False
accept_direct_plus_close,58,0.08353329,0.0834805,0.00112811,0.99561069,0.66075242,False
accept_direct_plus_close,59,0.06710969,0.06706088,0.00090623,0.99651692,0.64713804,False
accept_direct_plus_close,60,0.05997398,0.05992573,0.00080981,0.99732673,0.63265504,False
accept_direct_plus_close,61,0.05142196,0.0513866,0.00069441,0.99802114,0.61852397,False
accept_direct_plus_close,62,0.04934771,0.0493188,0.00066647,0.99868761,0.60623713,False
accept_direct_plus_close,63,0.03696809,0.03693426,0.00049911,0.99918672,0.59148343,False
accept_direct_plus_close,64,0.02845334,0.02842924,0.00038418,0.9995709,0.57809871,False
accept_direct_plus_close,65,0.01957126,0.01955843,0.0002643,0.9998352,0.56260255,False
accept_direct_plus_close,66,0.01220965,0.01219487,0.0001648,1.0,0.54846388,False
accept_direct_plus_close,67,0.0,1e-08,0.0,1.0,0.53462788,False
accept_direct_plus_close,68,0.0,1e-08,0.0,1.0,0.52016334,False
accept_direct_plus_close,69,0.0,1e-08,0.0,1.0,0.50242105,False
accept_direct_plus_close,70,-0.0,1e-08,0.0,1.0,0.48842719,False
accept_direct_plus_close,71,-0.0,1e-08,0.0,1.0,0.47319568,False
accept_direct_plus_close,72,-0.00159197,1e-08,0.0,1.0,0.45586894,False
accept_direct_plus_close,73,-0.01834972,1e-08,0.0,1.0,0.43705284,False
accept_direct_plus_close,74,-0.02591144,1e-08,0.0,1.0,0.41528191,False
