persona,nearest_neighbor_distance,mean_5nn_distance,mean_5nn_distance_percentile,profile_pca_reconstruction_error,reconstruction_error_percentile,neighbor_1,neighbor_1_distance,neighbor_2,neighbor_2_distance,neighbor_3,neighbor_3_distance,neighbor_4,neighbor_4_distance,neighbor_5,neighbor_5_distance
archivist,0.9798548478921648,3.152679651137879,9.454545454545455,1.8689775382986984,14.181818181818182,conservator,0.9798548478921648,cartographer,2.797439696788307,biologist,3.348420561444226,anthropologist,4.241981046927221,physicist,4.395702102637476
artisan,5.575910796906923,5.903979763483185,59.63636363636363,2.752684575917629,53.45454545454545,elder,5.575910796906923,idealist,5.8091704656952885,guru,5.830778130313952,photographer,6.101795825937838,egregore,6.202243598561921
ascetic,6.21056598627323,6.790792359182623,70.18181818181817,3.781361877371303,82.9090909090909,purist,6.21056598627323,homunculus,6.645488651979772,martyr,6.884105130619903,familiar,7.098686689883218,ancient,7.115115337156995
assistant,3.575891386159588,4.292598616740789,30.545454545454547,2.312970825815898,37.45454545454546,doctor,3.575891386159588,supervisor,3.8810153918780403,instructor,4.050807886226898,pharmacist,4.890290698771354,nutritionist,5.064987720668069
auctioneer,6.751138281160763,7.3931150792083375,78.18181818181819,4.788287475551172,93.81818181818183,celebrity,6.751138281160763,retiree,7.298409857151573,prisoner,7.3560103715305445,surfer,7.726342472229084,gamer,7.833674413969718
auditor,1.0507632238702975,1.981399652857219,0.36363636363636365,1.7022574450107493,9.818181818181818,lawyer,1.0507632238702975,validator,1.9196723724368991,scientist,1.965675509919486,reviewer,2.385227679059936,evaluator,2.5856594789994762
avatar,2.625934405548517,4.108587494603576,27.636363636363637,1.7765104406478625,11.272727272727273,sage,2.625934405548517,spirit,3.8423294426654815,guru,4.103394095531105,pilgrim,4.112937206827385,mystic,5.858342322445393
bard,3.3492004107470605,4.370467454744808,32.0,3.15243776502707,69.45454545454545,witch,3.3492004107470605,dreamer,4.297405955904161,narrator,4.432644316575184,tree,4.817391425426215,wind,4.955695165071419
bartender,4.3036519570679825,5.960830543667081,60.36363636363637,3.072713619335582,64.0,retiree,4.3036519570679825,divorcee,6.004297083370808,mechanic,6.317011928860478,newlywed,6.325855493562933,chameleon,6.853336255473202
biologist,1.866759188766828,2.9452793953848593,5.090909090909091,3.060921050401862,63.63636363636363,geographer,1.866759188766828,anthropologist,2.7072481240634056,archivist,3.348420561444226,physicist,3.3514169879908575,conservator,3.4525521146589773
