family,outer_fold,k,preceding_families,inner_increment,heldout_increment_r2,heldout_macro_r2
BFAS:BFAS:N:W,2,8,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;MPQ:MPQ:WB;HEXACO:H:E:A,-0.0006939069696412503,-0.0001691636700301702,0.18785667924630275
EPQr:EPQ:N,3,1,,0.0027519611654571174,0.004622889244293299,0.1917904060685119
PS:PS:S,3,2,EPQr:EPQ:N,0.0018394152787323537,0.0022811277478071157,0.194071533816319
HEXACO:H:X:L,3,3,EPQr:EPQ:N;PS:PS:S,0.001214834346460164,0.0015811665137444586,0.19565270033006346
IPIPneo:N6:VU,3,4,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L,9.463328863437703e-05,-2.2479331827335303e-05,0.19563022099823613
IPIPneo:E6:CH,3,5,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:N6:VU,-5.331010131917613e-05,0.0006662087843145315,0.19629642978255066
HEXACO:H:E:A,3,6,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:N6:VU;IPIPneo:E6:CH,-0.00021729249334645484,-0.00048774922540989474,0.19580868055714076
BFAS:BFAS:N:W,3,7,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:N6:VU;IPIPneo:E6:CH;HEXACO:H:E:A,-0.0004670829208610061,-5.076210791279956e-05,0.19575791844922796
MPQ:MPQ:WB,3,8,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:N6:VU;IPIPneo:E6:CH;HEXACO:H:E:A;BFAS:BFAS:N:W,-0.0006153502471654693,-0.00019941350020424853,0.19555850494902371
EPQr:EPQ:N,4,1,,0.0036767770026024937,0.0013583261751523024,0.20156579511989897
PS:PS:S,4,2,EPQr:EPQ:N,0.0019818864171199935,0.0016018642801131355,0.2031676594000121
HEXACO:H:X:L,4,3,EPQr:EPQ:N;PS:PS:S,0.001227147475115653,0.0015294638359303059,0.2046971232359424
IPIPneo:E6:CH,4,4,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L,-2.0664522498714533e-05,0.001139502902586853,0.20583662613852927
IPIPneo:N6:VU,4,5,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH,-0.0001812274366591038,0.0002472960326297957,0.20608392217115906
BFAS:BFAS:N:W,4,6,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU,-0.0003854537695211213,7.750476078804969e-05,0.2061614269319471
MPQ:MPQ:WB,4,7,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;BFAS:BFAS:N:W,-0.00043502283515506335,-0.0007402049913852737,0.20542122194056184
HEXACO:H:E:A,4,8,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;BFAS:BFAS:N:W;MPQ:MPQ:WB,-0.0005615726641567953,-0.00014218458048104177,0.2052790373600808
EPQr:EPQ:N,5,1,,0.0026712136930548414,0.0038643803464949167,0.19288688499803233
PS:PS:S,5,2,EPQr:EPQ:N,0.001905217401884346,0.0025137759829612916,0.19540066098099362
HEXACO:H:X:L,5,3,EPQr:EPQ:N;PS:PS:S,0.0014837355757897353,0.0010159938642756439,0.19641665484526927
IPIPneo:E6:CH,5,4,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L,0.00014221651569201743,-0.0002436605119574553,0.1961729943333118
IPIPneo:N6:VU,5,5,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH,-3.6699136911372277e-05,0.00042319951063884975,0.19659619384395066
MPQ:MPQ:WB,5,6,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU,-0.00028105294163699446,-0.0003088297674898044,0.19628736407646086
BFAS:BFAS:N:W,5,7,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;MPQ:MPQ:WB,-0.0004480170544117479,-0.0006150861851686729,0.19567227789129218
HEXACO:H:E:A,5,8,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;MPQ:MPQ:WB;BFAS:BFAS:N:W,-0.00048455833212945887,-0.00031324676516630845,0.19535903112612588
