family,target,baseline_r2,candidate_r2,delta_r2
BFAS:BFAS:N:W,QB6:QB6:X,0.2235785378398859,0.22339539887055138,-0.00018313896933452867
HEXACO:H:E:A,BFAS:BFAS:A:C,0.2752415204521521,0.2741758954402077,-0.0010656250119444044
HEXACO:H:E:A,BFAS:BFAS:A:P,0.13728131607445693,0.13721139997638365,-6.991609807327492e-05
HEXACO:H:E:A,BFAS:BFAS:C:I,0.27240724578999154,0.2721018055415769,-0.00030544024841461237
HEXACO:H:E:A,BFAS:BFAS:C:O,0.1802797798388266,0.18002224610476647,-0.0002575337340601225
HEXACO:H:E:A,BFAS:BFAS:E:A,0.29742663863956864,0.29711284725369314,-0.0003137913858755059
HEXACO:H:E:A,BFAS:BFAS:N:V,0.2220636365578451,0.21973101232288206,-0.0023326242349630544
HEXACO:H:E:A,BFAS:BFAS:O:I,0.22619625289866152,0.225797551763655,-0.0003987011350065073
HEXACO:H:E:A,BFAS:BFAS:O:O,0.10948438645703873,0.1090501303688225,-0.00043425608821623385
HEXACO:H:E:A,EPQr:EPQ:E,0.27248820570127386,0.27237319634684276,-0.00011500935443109483
HEXACO:H:E:A,EPQr:EPQ:P,0.10918889288382172,0.1090355130794084,-0.00015337980441332277
HEXACO:H:E:A,HEXACO:H:A:FL,0.1375707921994529,0.13768292330902343,0.00011213110957053463
HEXACO:H:E:A,HEXACO:H:A:FO,0.13812147068819935,0.1381660354239358,4.456473573644093e-05
HEXACO:H:E:A,HEXACO:H:A:G,0.17446791762969982,0.17330851375424283,-0.001159403875456988
HEXACO:H:E:A,HEXACO:H:A:P,0.27481013792268094,0.2741534385476161,-0.0006566993750648509
HEXACO:H:E:A,HEXACO:H:C:D,0.2785292149075048,0.2785593666244246,3.015171691977958e-05
HEXACO:H:E:A,HEXACO:H:C:O,0.22200936290656825,0.22182188674104686,-0.00018747616552139412
HEXACO:H:E:A,HEXACO:H:C:PE,0.12335784611714795,0.12314142758804769,-0.0002164185291002596
HEXACO:H:E:A,HEXACO:H:C:PR,0.18559993815070053,0.18515942106288952,-0.00044051708781100984
HEXACO:H:E:A,HEXACO:H:E:D,0.13759616213087955,0.13794661020256982,0.00035044807169026804
HEXACO:H:E:A,HEXACO:H:E:F,0.10693958776230739,0.10655312391954197,-0.00038646384276541657
HEXACO:H:E:A,HEXACO:H:E:S,0.19663638411585616,0.19612097529922456,-0.0005154088166315907
HEXACO:H:E:A,HEXACO:H:H:F,0.13801501008215,0.13778701344959243,-0.00022799663255756997
HEXACO:H:E:A,HEXACO:H:H:GA,0.05288074217532435,0.052761695564055744,-0.00011904661126860283
HEXACO:H:E:A,HEXACO:H:H:M,0.11358513195139752,0.11306184514763351,-0.0005232868037640115
HEXACO:H:E:A,HEXACO:H:H:S,0.07720717783885434,0.0764551156203046,-0.0007520622185497317
HEXACO:H:E:A,HEXACO:H:O:A,0.10231261577220807,0.10153624701028874,-0.0007763687619193327
HEXACO:H:E:A,HEXACO:H:O:C,0.06243052515054093,0.061608545739072595,-0.0008219794114683321
HEXACO:H:E:A,HEXACO:H:O:I,0.0921713710608858,0.09102613154244121,-0.0011452395184445852
HEXACO:H:E:A,HEXACO:H:O:U,0.1311470239614887,0.1304664070075392,-0.0006806169539494977
HEXACO:H:E:A,HEXACO:H:X:E,0.1929985413918902,0.19317486213725166,0.00017632074536144682
HEXACO:H:E:A,HEXACO:H:X:S,0.31083340722293984,0.3094088198163426,-0.001424587406597233
HEXACO:H:E:A,HEXACO:H:X:SB,0.257907519208754,0.2578139510193945,-9.356818935946087e-05
HEXACO:H:E:A,IPIPneo:A1:TR,0.26263970873438724,0.26196266413246316,-0.0006770446019240817
HEXACO:H:E:A,IPIPneo:A2:MO,0.10686654091490899,0.1061991951170469,-0.0006673457978620956
HEXACO:H:E:A,IPIPneo:A3:AL,0.3935126294383855,0.39384697727580686,0.0003343478374213671
HEXACO:H:E:A,IPIPneo:A4:CO,0.13799348409540024,0.1377419233341871,-0.0002515607612131321
HEXACO:H:E:A,IPIPneo:A5:MO,0.14180637331319323,0.14101580673476632,-0.00079056657842691
