outer_fold,path_type,k,added_family,selected_families,inner_macro_r2,inner_increment,alpha,outer_macro_r2,distinct_group_count
1,unrestricted,5,IPIPneo:N6:VU,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU,0.18881550608123568,-0.00021161132952907113,100.0,0.1992017070897732,8
1,unrestricted,6,MPQ:MPQ:WB,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;MPQ:MPQ:WB,0.18852332374048064,-0.00029218234075503724,100.0,0.19897407721332566,8
1,unrestricted,7,BFAS:BFAS:N:W,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;MPQ:MPQ:WB;BFAS:BFAS:N:W,0.18817397333709265,-0.00034935040338798795,100.0,0.19861116577377147,8
1,unrestricted,8,QB6:QB6:ES,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;MPQ:MPQ:WB;BFAS:BFAS:N:W;QB6:QB6:ES,0.18780669835482802,-0.0003672749822646315,100.0,0.19826938805497957,8
1,residual_0.70,0,,,0.1825672310209744,0.0,100.0,0.19337860151191716,8
1,residual_0.70,1,EPQr:EPQ:N,EPQr:EPQ:N,0.1859622447926685,0.0033950137716941,100.0,0.19573705722575782,8
1,residual_0.70,2,PS:PS:S,EPQr:EPQ:N;PS:PS:S,0.18788155862308809,0.0019193138304195723,100.0,0.19707475966679294,8
1,residual_0.70,3,HEXACO:H:X:L,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L,0.18919142168620398,0.0013098630631158958,100.0,0.19863450793457343,8
1,residual_0.70,4,IPIPneo:E6:CH,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH,0.18902711741076475,-0.00016430427543923098,100.0,0.19906450926492836,8
1,residual_0.70,5,IPIPneo:N6:VU,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU,0.18881550608123568,-0.00021161132952907113,100.0,0.1992017070897732,8
1,residual_0.70,6,MPQ:MPQ:WB,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;MPQ:MPQ:WB,0.18852332374048064,-0.00029218234075503724,100.0,0.19897407721332566,8
1,residual_0.70,7,BFAS:BFAS:N:W,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;MPQ:MPQ:WB;BFAS:BFAS:N:W,0.18817397333709265,-0.00034935040338798795,100.0,0.19861116577377147,8
1,residual_0.70,8,HEXACO:H:E:A,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;MPQ:MPQ:WB;BFAS:BFAS:N:W;HEXACO:H:E:A,0.18769201295262958,-0.000481960384463076,100.0,0.1980095762502569,8
1,residual_0.90,0,,,0.1825672310209744,0.0,100.0,0.19337860151191716,8
1,residual_0.90,1,EPQr:EPQ:N,EPQr:EPQ:N,0.1859622447926685,0.0033950137716941,100.0,0.19573705722575782,8
1,residual_0.90,2,PS:PS:S,EPQr:EPQ:N;PS:PS:S,0.18788155862308809,0.0019193138304195723,100.0,0.19707475966679294,8
1,residual_0.90,3,HEXACO:H:X:L,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L,0.18919142168620398,0.0013098630631158958,100.0,0.19863450793457343,8
1,residual_0.90,4,IPIPneo:E6:CH,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH,0.18902711741076475,-0.00016430427543923098,100.0,0.19906450926492836,8
1,residual_0.90,5,IPIPneo:N6:VU,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU,0.18881550608123568,-0.00021161132952907113,100.0,0.1992017070897732,8
1,residual_0.90,6,MPQ:MPQ:WB,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;MPQ:MPQ:WB,0.18852332374048064,-0.00029218234075503724,100.0,0.19897407721332566,8
1,residual_0.90,7,BFAS:BFAS:N:W,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;MPQ:MPQ:WB;BFAS:BFAS:N:W,0.18817397333709265,-0.00034935040338798795,100.0,0.19861116577377147,8
1,residual_0.90,8,HEXACO:H:E:A,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;MPQ:MPQ:WB;BFAS:BFAS:N:W;HEXACO:H:E:A,0.18769201295262958,-0.000481960384463076,100.0,0.1980095762502569,8
2,distinct,0,,,0.18605604418442032,0.0,100.0,0.18244734486424422,8
2,distinct,1,EPQr:EPQ:N,EPQr:EPQ:N,0.1890882207877688,0.00303217660334848,100.0,0.18534851638236144,8
2,distinct,2,PS:PS:S,EPQr:EPQ:N;PS:PS:S,0.19097397417048237,0.001885753382713573,100.0,0.18748741483470427,8
2,distinct,3,HEXACO:H:X:L,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L,0.1922533437287978,0.001279369558315424,100.0,0.18924603732422743,8
2,distinct,4,IPIPneo:E6:CH,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH,0.19272973454008024,0.0004763908112824511,100.0,0.18906481043677115,8
2,distinct,5,IPIPneo:N6:VU,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU,0.1927246433516776,-5.091188402639446e-06,100.0,0.18885196784538164,8
2,distinct,6,MPQ:MPQ:WB,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;MPQ:MPQ:WB,0.1922768037359249,-0.00044783961575270426,100.0,0.18860319977673923,8
2,distinct,7,HEXACO:H:E:A,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;MPQ:MPQ:WB;HEXACO:H:E:A,0.19171042693995155,-0.0005663767959733501,100.0,0.18802584291633292,8
2,distinct,8,BFAS:BFAS:N:W,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;MPQ:MPQ:WB;HEXACO:H:E:A;BFAS:BFAS:N:W,0.1910165199703103,-0.0006939069696412503,100.0,0.18785667924630275,8
2,unrestricted,0,,,0.18605604418442032,0.0,100.0,0.18244734486424422,8
2,unrestricted,1,EPQr:EPQ:N,EPQr:EPQ:N,0.1890882207877688,0.00303217660334848,100.0,0.18534851638236144,8
2,unrestricted,2,PS:PS:S,EPQr:EPQ:N;PS:PS:S,0.19097397417048237,0.001885753382713573,100.0,0.18748741483470427,8
2,unrestricted,3,HEXACO:H:X:L,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L,0.1922533437287978,0.001279369558315424,100.0,0.18924603732422743,8
2,unrestricted,4,IPIPneo:E6:CH,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH,0.19272973454008024,0.0004763908112824511,100.0,0.18906481043677115,8
2,unrestricted,5,IPIPneo:N6:VU,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU,0.1927246433516776,-5.091188402639446e-06,100.0,0.18885196784538164,8
2,unrestricted,6,QB6:QB6:ES,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;QB6:QB6:ES,0.1923063716270131,-0.0004182717246644929,100.0,0.18895659212988652,8
2,unrestricted,7,MPQ:MPQ:WB,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;QB6:QB6:ES;MPQ:MPQ:WB,0.1918496664188513,-0.0004567052081618228,100.0,0.18871902168175125,8
2,unrestricted,8,HEXACO:H:E:A,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;QB6:QB6:ES;MPQ:MPQ:WB;HEXACO:H:E:A,0.1912990870479984,-0.0005505793708528994,100.0,0.18807545397820974,8
2,residual_0.70,0,,,0.18605604418442032,0.0,100.0,0.18244734486424422,8
2,residual_0.70,1,EPQr:EPQ:N,EPQr:EPQ:N,0.1890882207877688,0.00303217660334848,100.0,0.18534851638236144,8
2,residual_0.70,2,PS:PS:S,EPQr:EPQ:N;PS:PS:S,0.19097397417048237,0.001885753382713573,100.0,0.18748741483470427,8
2,residual_0.70,3,HEXACO:H:X:L,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L,0.1922533437287978,0.001279369558315424,100.0,0.18924603732422743,8
2,residual_0.70,4,IPIPneo:E6:CH,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH,0.19272973454008024,0.0004763908112824511,100.0,0.18906481043677115,8
2,residual_0.70,5,IPIPneo:N6:VU,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU,0.1927246433516776,-5.091188402639446e-06,100.0,0.18885196784538164,8
2,residual_0.70,6,MPQ:MPQ:WB,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;MPQ:MPQ:WB,0.1922768037359249,-0.00044783961575270426,100.0,0.18860319977673923,8
2,residual_0.70,7,HEXACO:H:E:A,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;MPQ:MPQ:WB;HEXACO:H:E:A,0.19171042693995155,-0.0005663767959733501,100.0,0.18802584291633292,8
2,residual_0.70,8,BFAS:BFAS:N:W,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;MPQ:MPQ:WB;HEXACO:H:E:A;BFAS:BFAS:N:W,0.1910165199703103,-0.0006939069696412503,100.0,0.18785667924630275,8
2,residual_0.90,0,,,0.18605604418442032,0.0,100.0,0.18244734486424422,8
2,residual_0.90,1,EPQr:EPQ:N,EPQr:EPQ:N,0.1890882207877688,0.00303217660334848,100.0,0.18534851638236144,8
2,residual_0.90,2,PS:PS:S,EPQr:EPQ:N;PS:PS:S,0.19097397417048237,0.001885753382713573,100.0,0.18748741483470427,8
2,residual_0.90,3,HEXACO:H:X:L,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L,0.1922533437287978,0.001279369558315424,100.0,0.18924603732422743,8
2,residual_0.90,4,IPIPneo:E6:CH,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH,0.19272973454008024,0.0004763908112824511,100.0,0.18906481043677115,8
2,residual_0.90,5,IPIPneo:N6:VU,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU,0.1927246433516776,-5.091188402639446e-06,100.0,0.18885196784538164,8
2,residual_0.90,6,MPQ:MPQ:WB,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;MPQ:MPQ:WB,0.1922768037359249,-0.00044783961575270426,100.0,0.18860319977673923,8
2,residual_0.90,7,HEXACO:H:E:A,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;MPQ:MPQ:WB;HEXACO:H:E:A,0.19171042693995155,-0.0005663767959733501,100.0,0.18802584291633292,8
2,residual_0.90,8,BFAS:BFAS:N:W,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;MPQ:MPQ:WB;HEXACO:H:E:A;BFAS:BFAS:N:W,0.1910165199703103,-0.0006939069696412503,100.0,0.18785667924630275,8
3,distinct,0,,,0.18431542580678043,0.0,100.0,0.1871675168242186,8
3,distinct,1,EPQr:EPQ:N,EPQr:EPQ:N,0.18706738697223754,0.0027519611654571174,100.0,0.1917904060685119,8
3,distinct,2,PS:PS:S,EPQr:EPQ:N;PS:PS:S,0.1889068022509699,0.0018394152787323537,100.0,0.194071533816319,8
3,distinct,3,HEXACO:H:X:L,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L,0.19012163659743006,0.001214834346460164,100.0,0.19565270033006346,8
3,distinct,4,IPIPneo:N6:VU,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:N6:VU,0.19021626988606444,9.463328863437703e-05,100.0,0.19563022099823613,8
3,distinct,5,IPIPneo:E6:CH,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:N6:VU;IPIPneo:E6:CH,0.19016295978474526,-5.331010131917613e-05,100.0,0.19629642978255066,8
3,distinct,6,HEXACO:H:E:A,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:N6:VU;IPIPneo:E6:CH;HEXACO:H:E:A,0.1899456672913988,-0.00021729249334645484,100.0,0.19580868055714076,8
3,distinct,7,BFAS:BFAS:N:W,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:N6:VU;IPIPneo:E6:CH;HEXACO:H:E:A;BFAS:BFAS:N:W,0.1894785843705378,-0.0004670829208610061,100.0,0.19575791844922796,8
3,distinct,8,MPQ:MPQ:WB,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:N6:VU;IPIPneo:E6:CH;HEXACO:H:E:A;BFAS:BFAS:N:W;MPQ:MPQ:WB,0.18886323412337233,-0.0006153502471654693,100.0,0.19555850494902371,8
3,unrestricted,0,,,0.18431542580678043,0.0,100.0,0.1871675168242186,8
3,unrestricted,1,EPQr:EPQ:N,EPQr:EPQ:N,0.18706738697223754,0.0027519611654571174,100.0,0.1917904060685119,8
3,unrestricted,2,PS:PS:S,EPQr:EPQ:N;PS:PS:S,0.1889068022509699,0.0018394152787323537,100.0,0.194071533816319,8
3,unrestricted,3,HEXACO:H:X:L,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L,0.19012163659743006,0.001214834346460164,100.0,0.19565270033006346,8
3,unrestricted,4,IPIPneo:N6:VU,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:N6:VU,0.19021626988606444,9.463328863437703e-05,100.0,0.19563022099823613,8
3,unrestricted,5,IPIPneo:E6:CH,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:N6:VU;IPIPneo:E6:CH,0.19016295978474526,-5.331010131917613e-05,100.0,0.19629642978255066,8
3,unrestricted,6,HEXACO:H:E:A,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:N6:VU;IPIPneo:E6:CH;HEXACO:H:E:A,0.1899456672913988,-0.00021729249334645484,100.0,0.19580868055714076,8
3,unrestricted,7,QB6:QB6:ES,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:N6:VU;IPIPneo:E6:CH;HEXACO:H:E:A;QB6:QB6:ES,0.18969615577371526,-0.00024951151768354274,100.0,0.19567054127797584,8
3,unrestricted,8,BFAS:BFAS:N:W,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:N6:VU;IPIPneo:E6:CH;HEXACO:H:E:A;QB6:QB6:ES;BFAS:BFAS:N:W,0.1892222832993089,-0.0004738724744063616,100.0,0.19562761972548456,8
3,residual_0.70,0,,,0.18431542580678043,0.0,100.0,0.1871675168242186,8
3,residual_0.70,1,EPQr:EPQ:N,EPQr:EPQ:N,0.18706738697223754,0.0027519611654571174,100.0,0.1917904060685119,8
3,residual_0.70,2,PS:PS:S,EPQr:EPQ:N;PS:PS:S,0.1889068022509699,0.0018394152787323537,100.0,0.194071533816319,8
3,residual_0.70,3,HEXACO:H:X:L,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L,0.19012163659743006,0.001214834346460164,100.0,0.19565270033006346,8
3,residual_0.70,4,IPIPneo:N6:VU,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:N6:VU,0.19021626988606444,9.463328863437703e-05,100.0,0.19563022099823613,8
3,residual_0.70,5,IPIPneo:E6:CH,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:N6:VU;IPIPneo:E6:CH,0.19016295978474526,-5.331010131917613e-05,100.0,0.19629642978255066,8
3,residual_0.70,6,HEXACO:H:E:A,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:N6:VU;IPIPneo:E6:CH;HEXACO:H:E:A,0.1899456672913988,-0.00021729249334645484,100.0,0.19580868055714076,8
3,residual_0.70,7,BFAS:BFAS:N:W,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:N6:VU;IPIPneo:E6:CH;HEXACO:H:E:A;BFAS:BFAS:N:W,0.1894785843705378,-0.0004670829208610061,100.0,0.19575791844922796,8
3,residual_0.70,8,MPQ:MPQ:WB,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:N6:VU;IPIPneo:E6:CH;HEXACO:H:E:A;BFAS:BFAS:N:W;MPQ:MPQ:WB,0.18886323412337233,-0.0006153502471654693,100.0,0.19555850494902371,8
3,residual_0.90,0,,,0.18431542580678043,0.0,100.0,0.1871675168242186,8
3,residual_0.90,1,EPQr:EPQ:N,EPQr:EPQ:N,0.18706738697223754,0.0027519611654571174,100.0,0.1917904060685119,8
3,residual_0.90,2,PS:PS:S,EPQr:EPQ:N;PS:PS:S,0.1889068022509699,0.0018394152787323537,100.0,0.194071533816319,8
3,residual_0.90,3,HEXACO:H:X:L,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L,0.19012163659743006,0.001214834346460164,100.0,0.19565270033006346,8
3,residual_0.90,4,IPIPneo:N6:VU,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:N6:VU,0.19021626988606444,9.463328863437703e-05,100.0,0.19563022099823613,8
3,residual_0.90,5,IPIPneo:E6:CH,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:N6:VU;IPIPneo:E6:CH,0.19016295978474526,-5.331010131917613e-05,100.0,0.19629642978255066,8
3,residual_0.90,6,HEXACO:H:E:A,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:N6:VU;IPIPneo:E6:CH;HEXACO:H:E:A,0.1899456672913988,-0.00021729249334645484,100.0,0.19580868055714076,8
3,residual_0.90,7,BFAS:BFAS:N:W,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:N6:VU;IPIPneo:E6:CH;HEXACO:H:E:A;BFAS:BFAS:N:W,0.1894785843705378,-0.0004670829208610061,100.0,0.19575791844922796,8
3,residual_0.90,8,MPQ:MPQ:WB,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:N6:VU;IPIPneo:E6:CH;HEXACO:H:E:A;BFAS:BFAS:N:W;MPQ:MPQ:WB,0.18886323412337233,-0.0006153502471654693,100.0,0.19555850494902371,8
4,distinct,0,,,0.18082003514325126,0.0,100.0,0.20020746894474667,8
4,distinct,1,EPQr:EPQ:N,EPQr:EPQ:N,0.18449681214585376,0.0036767770026024937,100.0,0.20156579511989897,8
4,distinct,2,PS:PS:S,EPQr:EPQ:N;PS:PS:S,0.18647869856297375,0.0019818864171199935,100.0,0.2031676594000121,8
4,distinct,3,HEXACO:H:X:L,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L,0.1877058460380894,0.001227147475115653,100.0,0.2046971232359424,8
4,distinct,4,IPIPneo:E6:CH,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH,0.1876851815155907,-2.0664522498714533e-05,100.0,0.20583662613852927,8
4,distinct,5,IPIPneo:N6:VU,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU,0.18750395407893158,-0.0001812274366591038,100.0,0.20608392217115906,8
4,distinct,6,BFAS:BFAS:N:W,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;BFAS:BFAS:N:W,0.18711850030941046,-0.0003854537695211213,100.0,0.2061614269319471,8
4,distinct,7,MPQ:MPQ:WB,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;BFAS:BFAS:N:W;MPQ:MPQ:WB,0.1866834774742554,-0.00043502283515506335,100.0,0.20542122194056184,8
4,distinct,8,HEXACO:H:E:A,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;BFAS:BFAS:N:W;MPQ:MPQ:WB;HEXACO:H:E:A,0.1861219048100986,-0.0005615726641567953,100.0,0.2052790373600808,8
4,unrestricted,0,,,0.18082003514325126,0.0,100.0,0.20020746894474667,8
4,unrestricted,1,EPQr:EPQ:N,EPQr:EPQ:N,0.18449681214585376,0.0036767770026024937,100.0,0.20156579511989897,8
4,unrestricted,2,PS:PS:S,EPQr:EPQ:N;PS:PS:S,0.18647869856297375,0.0019818864171199935,100.0,0.2031676594000121,8
4,unrestricted,3,HEXACO:H:X:L,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L,0.1877058460380894,0.001227147475115653,100.0,0.2046971232359424,8
4,unrestricted,4,IPIPneo:E6:CH,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH,0.1876851815155907,-2.0664522498714533e-05,100.0,0.20583662613852927,8
4,unrestricted,5,IPIPneo:N6:VU,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU,0.18750395407893158,-0.0001812274366591038,100.0,0.20608392217115906,8
4,unrestricted,6,QB6:QB6:ES,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;QB6:QB6:ES,0.18719488273672005,-0.000309071342211531,100.0,0.2061949575448047,8
4,unrestricted,7,BFAS:BFAS:N:W,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;QB6:QB6:ES;BFAS:BFAS:N:W,0.18679230938745806,-0.0004025733492619976,100.0,0.20628315020416105,8
4,unrestricted,8,MPQ:MPQ:WB,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;QB6:QB6:ES;BFAS:BFAS:N:W;MPQ:MPQ:WB,0.1863801688069926,-0.00041214058046545876,100.0,0.2055520367323201,8
4,residual_0.70,0,,,0.18082003514325126,0.0,100.0,0.20020746894474667,8
4,residual_0.70,1,EPQr:EPQ:N,EPQr:EPQ:N,0.18449681214585376,0.0036767770026024937,100.0,0.20156579511989897,8
4,residual_0.70,2,PS:PS:S,EPQr:EPQ:N;PS:PS:S,0.18647869856297375,0.0019818864171199935,100.0,0.2031676594000121,8
4,residual_0.70,3,HEXACO:H:X:L,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L,0.1877058460380894,0.001227147475115653,100.0,0.2046971232359424,8
4,residual_0.70,4,IPIPneo:E6:CH,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH,0.1876851815155907,-2.0664522498714533e-05,100.0,0.20583662613852927,8
4,residual_0.70,5,IPIPneo:N6:VU,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU,0.18750395407893158,-0.0001812274366591038,100.0,0.20608392217115906,8
4,residual_0.70,6,BFAS:BFAS:N:W,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;BFAS:BFAS:N:W,0.18711850030941046,-0.0003854537695211213,100.0,0.2061614269319471,8
4,residual_0.70,7,MPQ:MPQ:WB,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;BFAS:BFAS:N:W;MPQ:MPQ:WB,0.1866834774742554,-0.00043502283515506335,100.0,0.20542122194056184,8
4,residual_0.70,8,HEXACO:H:E:A,EPQr:EPQ:N;PS:PS:S;HEXACO:H:X:L;IPIPneo:E6:CH;IPIPneo:N6:VU;BFAS:BFAS:N:W;MPQ:MPQ:WB;HEXACO:H:E:A,0.1861219048100986,-0.0005615726641567953,100.0,0.2052790373600808,8
4,residual_0.90,0,,,0.18082003514325126,0.0,100.0,0.20020746894474667,8
4,residual_0.90,1,EPQr:EPQ:N,EPQr:EPQ:N,0.18449681214585376,0.0036767770026024937,100.0,0.20156579511989897,8
4,residual_0.90,2,PS:PS:S,EPQr:EPQ:N;PS:PS:S,0.18647869856297375,0.0019818864171199935,100.0,0.2031676594000121,8
