dimension,source_scale_id,instrument,source_items,item_count,respondent_total,observed_at_least_one_n,documented_at_least_two_n,one_item_scores_retained_by_code,missing_fraction_two_item_rule,inventory_rule,manifest_rule,code_rule,applied_reverse_count,exact_official_keys,bridge41_overlap,bridge45_overlap,bigfive_overlap,status
HEXACO_H_A_FO,HEXACO:H:A:FO,HEXACO,q_145;q_159;q_594;q_871;q_915;q_958;q_966;q_1150;q_1373;q_1869,10,23679,16369,7124,9245,0.6991427002829511,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,HAForgive,5,5,0,REJECTED_AS_FROZEN_TARGET
HEXACO_H_A_G,HEXACO:H:A:G,HEXACO,q_6;q_239;q_331;q_538;q_898;q_1041;q_1051;q_1571;q_1725;q_1787,10,23679,16334,6978,9356,0.7053085012035981,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,HAGentle,2,2,1,REJECTED_AS_FROZEN_TARGET
HEXACO_H_A_P,HEXACO:H:A:P,HEXACO,q_101;q_278;q_926;q_952;q_974;q_995;q_1357;q_1577;q_1585;q_1683,10,23679,15481,6550,8931,0.7233835888339879,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,HAPatient,1,1,5,REJECTED_AS_FROZEN_TARGET
HEXACO_H_C_D,HEXACO:H:C:D,HEXACO,q_124;q_520;q_602;q_637;q_985;q_1024;q_1550;q_1563;q_1754;q_1979,10,23679,16922,7693,9229,0.6751129692976899,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,HCDiligence,0,0,1,REJECTED_AS_FROZEN_TARGET
HEXACO_H_C_O,HEXACO:H:C:O,HEXACO,q_169;q_665;q_962;q_1201;q_1254;q_1255;q_1290;q_1333;q_1483;q_1917,10,23679,18640,10369,8271,0.5621014400945986,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,HCOrgan,0,0,6,REJECTED_AS_FROZEN_TARGET
HEXACO_H_C_PE,HEXACO:H:C:PE,HEXACO,q_530;q_554;q_559;q_571;q_1063;q_1507;q_1511;q_1537;q_1915;q_1916,10,23679,20884,13097,7787,0.4468938722074412,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,HCPerfect,4,4,2,REJECTED_AS_FROZEN_TARGET
HEXACO_H_C_PR,HEXACO:H:C:PR,HEXACO,q_22;q_321;q_619;q_636;q_673;q_1173;q_1395;q_1401;q_1422;q_1424,10,23679,17317,8403,8914,0.6451285949575574,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,HCPrudence,3,3,2,REJECTED_AS_FROZEN_TARGET
HEXACO_H_E_D,HEXACO:H:E:D,HEXACO,q_463;q_1260;q_1446;q_1447;q_1448;q_1490;q_1668;q_1706;q_1759;q_1924,10,23679,18901,9648,9253,0.5925503610794375,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,HEDepend,1,2,0,REJECTED_AS_FROZEN_TARGET
HEXACO_H_E_F,HEXACO:H:E:F,HEXACO,q_53;q_292;q_334;q_804;q_1306;q_1367;q_1853;q_1993;q_2001;q_2018,10,23679,18905,9706,9199,0.5901009333164408,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,HEFear,0,0,0,REJECTED_AS_FROZEN_TARGET
HEXACO_H_E_S,HEXACO:H:E:S,HEXACO,q_98;q_251;q_253;q_539;q_721;q_844;q_1159;q_1573;q_1679;q_1681,10,23679,18844,10068,8776,0.5748131255542887,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,HESentiment,3,3,1,REJECTED_AS_FROZEN_TARGET
HEXACO_H_H_F,HEXACO:H:H:F,HEXACO,q_40;q_500;q_501;q_1633;q_1747;q_1867;q_2003;q_2016;q_2021;q_2029,10,23679,23062,19881,3181,0.16039528696313188,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,HHFairness,0,0,0,REJECTED_AS_FROZEN_TARGET
HEXACO_H_H_GA,HEXACO:H:H:GA,HEXACO,q_156;q_225;q_711;q_1054;q_1372;q_1536;q_1667;q_1871;q_1969;q_2025,10,23679,19512,10596,8916,0.5525148866083872,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,HHGreedAvoid,0,0,0,REJECTED_AS_FROZEN_TARGET
HEXACO_H_H_M,HEXACO:H:H:M,HEXACO,q_152;q_154;q_157;q_364;q_401;q_525;q_716;q_1296;q_1653;q_2008,10,23679,19451,10447,9004,0.5588073820684996,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,HHModesty,1,1,0,REJECTED_AS_FROZEN_TARGET
HEXACO_H_H_S,HEXACO:H:H:S,HEXACO,q_23;q_704;q_917;q_1276;q_1517;q_1543;q_1555;q_1762;q_1808;q_1894,10,23679,20105,12464,7641,0.47362642003462985,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,HHSincere,1,1,0,REJECTED_AS_FROZEN_TARGET
HEXACO_H_O_A,HEXACO:H:O:A,HEXACO,q_348;q_608;q_610;q_611;q_612;q_757;q_964;q_1132;q_1648;q_1687,10,23679,16841,7221,9620,0.6950462435069048,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,HOAesthetic,2,2,0,REJECTED_AS_FROZEN_TARGET
HEXACO_H_O_C,HEXACO:H:O:C,HEXACO,q_128;q_492;q_516;q_609;q_1058;q_1083;q_1090;q_1146;q_1392;q_1676,10,23679,19229,10912,8317,0.5391697284513705,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,HOCreative,2,2,7,REJECTED_AS_FROZEN_TARGET
HEXACO_H_O_I,HEXACO:H:O:I,HEXACO,q_151;q_316;q_651;q_670;q_761;q_923;q_1050;q_1388;q_1964;q_2011,10,23679,19444,11089,8355,0.5316947506229148,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,HOInquisite,1,1,4,REJECTED_AS_FROZEN_TARGET
HEXACO_H_O_U,HEXACO:H:O:U,HEXACO,q_94;q_634;q_747;q_1232;q_1300;q_1301;q_1609;q_1761;q_1861;q_2005,10,23679,16871,7153,9718,0.6979179864014528,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,HOUnconvention,2,2,1,REJECTED_AS_FROZEN_TARGET
HEXACO_H_X_E,HEXACO:H:X:E,HEXACO,q_158;q_262;q_403;q_690;q_712;q_1064;q_1643;q_1730;q_1795;q_1810,10,23679,17833,9166,8667,0.6129059504202036,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,HXExpress,0,0,4,REJECTED_AS_FROZEN_TARGET
HEXACO_H_X_S,HEXACO:H:X:S,HEXACO,q_140;q_744;q_1196;q_1379;q_1410;q_1575;q_1671;q_1803;q_1904;q_2024,10,23679,16845,7195,9650,0.6961442628489378,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,HXSociable,2,2,3,REJECTED_AS_FROZEN_TARGET
HEXACO_H_X_SB,HEXACO:H:X:SB,HEXACO,q_131;q_698;q_819;q_901;q_1027;q_1055;q_1110;q_1114;q_1180;q_1992,10,23679,18841,10498,8343,0.5566535748975886,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,HXSocBold,0,0,5,REJECTED_AS_FROZEN_TARGET
QB6_QB6_A,QB6:QB6:A,QB6,q_145;q_238;q_278;q_331;q_952;q_958;q_1033;q_1591,8,23679,13794,4873,8921,0.794205836395118,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,QB6agree,3,3,1,REJECTED_AS_FROZEN_TARGET
QB6_QB6_C,QB6:QB6:C,QB6,q_519;q_1254;q_1290;q_1321;q_1511;q_1696;q_1949;q_2737,8,23679,16182,7277,8905,0.6926812787702183,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,QB6consc,0,0,4,REJECTED_AS_FROZEN_TARGET
QB6_QB6_H,QB6:QB6:H,QB6,q_185;q_1306;q_1747;q_1752;q_1780;q_1896;q_2021;q_2853,8,23679,21018,13631,7387,0.4243422441826091,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,QB6honprop,1,1,0,REJECTED_AS_FROZEN_TARGET
QB6_QB6_O,QB6:QB6:O,QB6,q_79;q_348;q_1050;q_1088;q_1676;q_2756;q_2775;q_2891,8,23679,16848,7764,9084,0.6721145318636766,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,QB6open,2,2,2,REJECTED_AS_FROZEN_TARGET
QB6_QB6_X,QB6:QB6:X,QB6,q_55;q_1243;q_1635;q_1685;q_1703;q_1803;q_1899;q_2900,8,23679,14755,5235,9520,0.7789180286329659,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,QB6extra,2,3,1,REJECTED_AS_FROZEN_TARGET
MPQ_MPQ_AB,MPQ:MPQ:AB,MPQ,q_610;q_612;q_780;q_1058;q_1310;q_1381;q_1389;q_1587;q_1648;q_1682,10,23679,15290,6534,8756,0.7240592930444698,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,MPQab,2,2,1,REJECTED_AS_FROZEN_TARGET
MPQ_MPQ_AC,MPQ:MPQ:AC,MPQ,q_191;q_530;q_602;q_604;q_637;q_786;q_1052;q_1519;q_1979;q_1984,10,23679,15056,6771,8285,0.7140504244267072,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,MPQac,1,1,1,REJECTED_AS_FROZEN_TARGET
MPQ_MPQ_AG,MPQ:MPQ:AG,MPQ,q_501;q_630;q_957;q_1051;q_1150;q_1571;q_1585;q_1683;q_1869;q_2021,10,23679,17466,9001,8465,0.6198741500907977,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,MPQag,3,3,2,REJECTED_AS_FROZEN_TARGET
MPQ_MPQ_AL,MPQ:MPQ:AL,MPQ,q_20;q_286;q_578;q_594;q_816;q_848;q_882;q_1758;q_1854;q_1855,10,23679,13443,5551,7892,0.7655728704759491,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,MPQal,3,3,0,REJECTED_AS_FROZEN_TARGET
MPQ_MPQ_CO,MPQ:MPQ:CO,MPQ,q_124;q_623;q_1173;q_1292;q_1321;q_1397;q_1422;q_1424;q_1488;q_1507,10,23679,17077,8441,8636,0.6435237974576629,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,MPQco,2,2,4,REJECTED_AS_FROZEN_TARGET
MPQ_MPQ_HA,MPQ:MPQ:HA,MPQ,q_294;q_315;q_598;q_599;q_746;q_1662;q_1664;q_1781;q_2017;q_2020,10,23679,13346,5413,7933,0.7714008192913552,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,MPQha,1,1,0,REJECTED_AS_FROZEN_TARGET
MPQ_MPQ_SC,MPQ:MPQ:SC,MPQ,q_140;q_219;q_312;q_313;q_744;q_1196;q_1379;q_1410;q_1923;q_1943,10,23679,15222,6537,8685,0.7239325985050045,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,MPQsc,2,2,2,REJECTED_AS_FROZEN_TARGET
MPQ_MPQ_SP,MPQ:MPQ:SP,MPQ,q_131;q_455;q_690;q_905;q_1045;q_1114;q_1180;q_1242;q_1652;q_1768,10,23679,18454,9998,8456,0.5777693314751468,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,MPQsp,2,2,4,REJECTED_AS_FROZEN_TARGET
MPQ_MPQ_TR,MPQ:MPQ:TR,MPQ,q_345;q_348;q_359;q_369;q_394;q_398;q_660;q_1328;q_1824;q_1825,10,23679,13496,5537,7959,0.7661641116601208,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,MPQtr,3,3,0,REJECTED_AS_FROZEN_TARGET
MPQ_MPQ_UV,MPQ:MPQ:UV,MPQ,q_43;q_44;q_45;q_76;q_77;q_163;q_164;q_393;q_646;q_1120;q_1136;q_1138;q_1218;q_1223;q_1457;q_1458;q_1962,17,23679,17631,9878,7753,0.5828371130537607,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,MPQuv,1,1,1,REJECTED_AS_FROZEN_TARGET
IPIPneo_A1_TR,IPIPneo:A1:TR,IPIPneo,q_286;q_343;q_377;q_379;q_381;q_594;q_1758;q_1835;q_1854;q_1855,10,23679,13508,5563,7945,0.7650660923180878,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,NEOa1,5,5,0,REJECTED_AS_FROZEN_TARGET
IPIPneo_A2_MO,IPIPneo:A2:MO,IPIPneo,q_501;q_1214;q_1467;q_1543;q_1556;q_1752;q_1765;q_1894;q_1896;q_2016,10,23679,19986,12312,7674,0.48004561003420754,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,NEOa2,2,2,0,REJECTED_AS_FROZEN_TARGET
IPIPneo_A3_AL,IPIPneo:A3:AL,IPIPneo,q_90;q_146;q_298;q_1041;q_1354;q_1385;q_1420;q_1421;q_1774;q_1881,10,23679,16558,7941,8617,0.6646395540352211,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,NEOa3,2,2,3,REJECTED_AS_FROZEN_TARGET
IPIPneo_A4_CO,IPIPneo:A4:CO,IPIPneo,q_121;q_479;q_531;q_957;q_1031;q_1051;q_1150;q_1163;q_1359;q_2036,10,23679,14865,6527,8338,0.7243549136365556,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,NEOa4,1,1,1,REJECTED_AS_FROZEN_TARGET
IPIPneo_A5_MO,IPIPneo:A5:MO,IPIPneo,q_364;q_401;q_525;q_565;q_586;q_1042;q_1235;q_1416;q_1691;q_1830,10,23679,15003,6622,8381,0.7203429198868195,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,NEOa5,3,3,0,REJECTED_AS_FROZEN_TARGET
IPIPneo_A6_SY,IPIPneo:A6:SY,IPIPneo,q_195;q_339;q_383;q_487;q_851;q_1757;q_1764;q_1818;q_1858;q_1910,10,23679,14182,6058,8124,0.7441614933063052,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,NEOa6,3,3,1,REJECTED_AS_FROZEN_TARGET
IPIPneo_C1_SE,IPIPneo:C1:SE,IPIPneo,q_258;q_515;q_520;q_708;q_722;q_786;q_1023;q_1113;q_1215;q_1435,10,23679,13512,5470,8042,0.7689936230415135,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,NEOc1,0,0,0,REJECTED_AS_FROZEN_TARGET
IPIPneo_C2_OR,IPIPneo:C2:OR,IPIPneo,q_169;q_170;q_619;q_1254;q_1255;q_1290;q_1333;q_1374;q_1483;q_1917,10,23679,19715,11559,8156,0.5118459394400101,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,NEOc2,0,0,7,REJECTED_AS_FROZEN_TARGET
IPIPneo_C3_DU,IPIPneo:C3:DU,IPIPneo,q_404;q_405;q_618;q_977;q_1190;q_1341;q_1436;q_1508;q_1812;q_1867,10,23679,15097,6720,8377,0.7162042315976181,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,NEOc3,0,0,0,REJECTED_AS_FROZEN_TARGET
IPIPneo_C4_AS,IPIPneo:C4:AS,IPIPneo,q_191;q_554;q_602;q_604;q_1012;q_1519;q_1553;q_1694;q_1883;q_1979,10,23679,14817,6623,8194,0.7203006883736645,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,NEOc4,1,1,0,REJECTED_AS_FROZEN_TARGET
IPIPneo_C5_SD,IPIPneo:C5:SD,IPIPneo,q_76;q_491;q_904;q_962;q_992;q_1087;q_1444;q_1521;q_1744;q_1949,10,23679,15126,6451,8675,0.7275645086363445,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,NEOc5,1,1,4,REJECTED_AS_FROZEN_TARGET
IPIPneo_C6_CA,IPIPneo:C6:CA,IPIPneo,q_35;q_321;q_507;q_598;q_1173;q_1292;q_1424;q_1488;q_1638;q_1748,10,23679,14662,6461,8201,0.7271421935047933,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,NEOc6,1,1,0,REJECTED_AS_FROZEN_TARGET
IPIPneo_E1_FR,IPIPneo:E1:FR,IPIPneo,q_20;q_140;q_200;q_313;q_505;q_819;q_1196;q_1410;q_1480;q_1943,10,23679,15872,7123,8749,0.6991849317961063,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,NEOe1,1,1,5,REJECTED_AS_FROZEN_TARGET
IPIPneo_E2_GR,IPIPneo:E2:GR,IPIPneo,q_314;q_684;q_744;q_1169;q_1370;q_1376;q_1531;q_1666;q_1803;q_1923,10,23679,14009,5777,8232,0.7560285485028928,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,NEOe2,1,1,1,REJECTED_AS_FROZEN_TARGET
IPIPneo_E3_AS,IPIPneo:E3:AS,IPIPneo,q_455;q_690;q_1114;q_1151;q_1180;q_1670;q_1768;q_1769;q_1872;q_1913,10,23679,17765,9234,8531,0.6100342075256556,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,NEOe3,2,2,5,REJECTED_AS_FROZEN_TARGET
IPIPneo_E4_AL,IPIPneo:E4:AL,IPIPneo,q_71;q_74;q_429;q_595;q_1280;q_1281;q_1329;q_1330;q_1599;q_1600,10,23679,13294,5360,7934,0.7736390894885764,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,NEOe4,0,0,0,REJECTED_AS_FROZEN_TARGET
IPIPneo_E5_ES,IPIPneo:E5:ES,IPIPneo,q_31;q_294;q_576;q_745;q_746;q_1360;q_1368;q_1662;q_1664;q_2017,10,23679,13268,5421,7847,0.7710629671861142,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,NEOe5,1,1,0,REJECTED_AS_FROZEN_TARGET
IPIPneo_N1_ANX,IPIPneo:N1:ANX,IPIPneo,q_38;q_66;q_177;q_179;q_248;q_727;q_808;q_960;q_986;q_1989,10,23679,15588,6609,8979,0.7208919295578361,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,NEOn1,2,2,5,REJECTED_AS_FROZEN_TARGET
IPIPneo_N4_SC,IPIPneo:N4:SC,IPIPneo,q_63;q_67;q_69;q_89;q_114;q_168;q_184;q_901;q_1496;q_1755,10,23679,14146,6016,8130,0.74593521685882,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,NEOn4,0,0,1,REJECTED_AS_FROZEN_TARGET
IPIPneo_N5_IM,IPIPneo:N5:IM,IPIPneo,q_56;q_632;q_673;q_736;q_1009;q_1384;q_1461;q_1462;q_1474;q_1590,10,23679,13573,5550,8023,0.7656151019891043,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,NEOn5,0,0,0,REJECTED_AS_FROZEN_TARGET
IPIPneo_O1_IM,IPIPneo:O1:IM,IPIPneo,q_609;q_780;q_1058;q_1083;q_1161;q_1310;q_1381;q_1675;q_1682;q_1738,10,23679,15255,6563,8692,0.7228345791629714,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,NEOo1,1,1,4,REJECTED_AS_FROZEN_TARGET
IPIPneo_O2_AI,IPIPneo:O2:AI,IPIPneo,q_348;q_607;q_608;q_610;q_611;q_612;q_776;q_1289;q_1369;q_1648,10,23679,15597,6677,8920,0.7180201866632882,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,NEOo2,2,2,0,REJECTED_AS_FROZEN_TARGET
IPIPneo_O3_EM,IPIPneo:O3:EM,IPIPneo,q_174;q_228;q_721;q_755;q_793;q_797;q_844;q_1589;q_1681;q_1880,10,23679,15273,6876,8397,0.70961611554542,mean keyed raw items; >=50% observed,>=2 observed items,mean if >=1 observed; >=2 only used for aggregate coverage,0,NEOo3,4,4,1,REJECTED_AS_FROZEN_TARGET
