dimension,official_key,original_key_items,retained_items,item_ids,signs,source_family,observed_ge2_n,coverage,missing_fraction,removed_bridge_bf_hifwb_items,included,reason,included_after_alias_collapse,eligible_cohort_observed_n
BFAS:BFAS:N:V,BFASvolatile,10,3,q_176;q_413;q_965,q_176:-1;q_413:+1;q_965:+1,BFAS,911,0.038472908484310994,0.961527091515689,q_1185;q_1585;q_1588;q_497;q_52;q_952;q_995,True,retained,True,908.0
BFAS:BFAS:O:I,BFASintel,10,5,q_1253;q_1327;q_1834;q_322;q_946,q_1253:-1;q_1327:+1;q_1834:+1;q_322:-1;q_946:+1,BFAS,4706,0.19874150090797754,0.8012584990920224,q_1050;q_1088;q_240;q_316;q_422,True,retained,True,4688.0
BFAS:BFAS:O:O,BFASopen,10,8,q_1389;q_1648;q_1675;q_1682;q_1687;q_612;q_776;q_964,q_1389:+1;q_1648:+1;q_1675:-1;q_1682:-1;q_1687:-1;q_612:-1;q_776:+1;q_964:+1,BFAS,5177,0.21863254360403733,0.7813674563959627,q_1441;q_348,True,retained,True,5168.0
HEXACO:H:A:FL,HAFlex,10,10,q_134;q_139;q_141;q_142;q_1601;q_1957;q_39;q_477;q_80;q_997,q_134:+1;q_139:-1;q_141:-1;q_142:-1;q_1601:-1;q_1957:-1;q_39:+1;q_477:-1;q_80:-1;q_997:-1,HEXACO,6309,0.26643861649562905,0.733561383504371,,True,retained,True,6290.0
HEXACO:H:A:FO,HAForgive,10,5,q_1373;q_159;q_871;q_958;q_966,q_1373:+1;q_159:+1;q_871:-1;q_958:-1;q_966:-1,HEXACO,2801,0.11829046834748089,0.8817095316525191,q_1150;q_145;q_1869;q_594;q_915,True,retained,True,2790.0
HEXACO:H:A:G,HAGentle,10,7,q_1051;q_1571;q_1725;q_1787;q_331;q_538;q_898,q_1051:-1;q_1571:+1;q_1725:-1;q_1787:+1;q_331:-1;q_538:-1;q_898:-1,HEXACO,3803,0.16060644452890746,0.8393935554710925,q_1041;q_239;q_6,True,retained,True,3796.0
HEXACO:H:A:P,HAPatient,10,4,q_101;q_1357;q_1577;q_926,q_101:-1;q_1357:-1;q_1577:+1;q_926:+1,HEXACO,1483,0.06262933400903754,0.9373706659909624,q_1585;q_1683;q_278;q_952;q_974;q_995,True,retained,True,1479.0
HEXACO:H:C:D,HCDiligence,10,9,q_1024;q_1550;q_1563;q_1754;q_1979;q_520;q_602;q_637;q_985,q_1024:-1;q_1550:+1;q_1563:-1;q_1754:-1;q_1979:+1;q_520:+1;q_602:-1;q_637:-1;q_985:+1,HEXACO,6060,0.25592296972000506,0.7440770302799949,q_124,True,retained,True,6049.0
HEXACO:H:C:O,HCOrgan,10,4,q_1201;q_169;q_1917;q_665,q_1201:+1;q_169:-1;q_1917:+1;q_665:-1,HEXACO,3006,0.12694792854427975,0.8730520714557203,q_1254;q_1255;q_1290;q_1333;q_1483;q_962,True,retained,True,2994.0
HEXACO:H:C:PE,HCPerfect,10,6,q_1511;q_1537;q_1916;q_554;q_559;q_571,q_1511:-1;q_1537:-1;q_1916:+1;q_554:+1;q_559:+1;q_571:+1,HEXACO,6403,0.27040837873220996,0.72959162126779,q_1063;q_1507;q_1915;q_530,True,retained,True,6384.0
HEXACO:H:C:PR,HCPrudence,10,6,q_1173;q_1395;q_1401;q_1424;q_321;q_673,q_1173:-1;q_1395:-1;q_1401:-1;q_1424:-1;q_321:+1;q_673:-1,HEXACO,3908,0.1650407534101947,0.8349592465898052,q_1422;q_22;q_619;q_636,True,retained,True,3901.0
HEXACO:H:E:D,HEDepend,10,9,q_1260;q_1446;q_1447;q_1448;q_1490;q_1668;q_1706;q_1759;q_1924,q_1260:-1;q_1446:-1;q_1447:-1;q_1448:-1;q_1490:-1;q_1668:-1;q_1706:-1;q_1759:-1;q_1924:-1,HEXACO,8376,0.35373115418725454,0.6462688458127455,q_463,True,retained,True,8350.0
HEXACO:H:E:F,HEFear,10,10,q_1306;q_1367;q_1853;q_1993;q_2001;q_2018;q_292;q_334;q_53;q_804,q_1306:+1;q_1367:+1;q_1853:-1;q_1993:+1;q_2001:-1;q_2018:-1;q_292:+1;q_334:-1;q_53:-1;q_804:+1,HEXACO,9706,0.4098990666835593,0.5901009333164406,,True,retained,True,9676.0
HEXACO:H:E:S,HESentiment,10,7,q_1159;q_1573;q_1679;q_253;q_539;q_721;q_98,q_1159:-1;q_1573:+1;q_1679:+1;q_253:-1;q_539:-1;q_721:+1;q_98:-1,HEXACO,5884,0.24849022340470459,0.7515097765952954,q_1681;q_251;q_844,True,retained,True,5869.0
HEXACO:H:H:F,HHFairness,10,10,q_1633;q_1747;q_1867;q_2003;q_2016;q_2021;q_2029;q_40;q_500;q_501,q_1633:+1;q_1747:-1;q_1867:+1;q_2003:+1;q_2016:+1;q_2021:+1;q_2029:-1;q_40:-1;q_500:-1;q_501:-1,HEXACO,19881,0.8396047130368681,0.16039528696313188,,True,retained,True,19751.0
HEXACO:H:H:GA,HHGreedAvoid,10,10,q_1054;q_1372;q_1536;q_156;q_1667;q_1871;q_1969;q_2025;q_225;q_711,q_1054:-1;q_1372:-1;q_1536:-1;q_156:-1;q_1667:-1;q_1871:-1;q_1969:-1;q_2025:+1;q_225:-1;q_711:+1,HEXACO,10596,0.44748511339161284,0.5525148866083871,,True,retained,True,10561.0
HEXACO:H:H:M,HHModesty,10,9,q_1296;q_152;q_154;q_157;q_1653;q_2008;q_401;q_525;q_716,q_1296:-1;q_152:+1;q_154:-1;q_157:-1;q_1653:+1;q_2008:-1;q_401:-1;q_525:+1;q_716:+1,HEXACO,9096,0.3841378436589383,0.6158621563410617,q_364,True,retained,True,9077.0
HEXACO:H:H:S,HHSincere,10,9,q_1276;q_1517;q_1543;q_1762;q_1808;q_1894;q_23;q_704;q_917,q_1276:+1;q_1517:-1;q_1543:-1;q_1762:-1;q_1808:-1;q_1894:-1;q_23:-1;q_704:+1;q_917:+1,HEXACO,11210,0.47341526246885424,0.5265847375311458,q_1555,True,retained,True,11140.0
HEXACO:H:O:A,HOAesthetic,10,8,q_1132;q_1648;q_1687;q_608;q_611;q_612;q_757;q_964,q_1132:+1;q_1648:+1;q_1687:-1;q_608:-1;q_611:-1;q_612:-1;q_757:+1;q_964:+1,HEXACO,5223,0.22057519320917268,0.7794248067908274,q_348;q_610,True,retained,True,5216.0
HEXACO:H:O:C,HOCreative,10,2,q_1146;q_1676,q_1146:-1;q_1676:-1,HEXACO,606,0.02559229697200051,0.9744077030279995,q_1058;q_1083;q_1090;q_128;q_1392;q_492;q_516;q_609,True,retained,True,605.0
HEXACO:H:O:I,HOInquisite,10,5,q_151;q_651;q_670;q_761;q_923,q_151:+1;q_651:-1;q_670:-1;q_761:+1;q_923:+1,HEXACO,4170,0.17610540985683518,0.8238945901431648,q_1050;q_1388;q_1964;q_2011;q_316,True,retained,True,4154.0
HEXACO:H:O:U,HOUnconvention,10,7,q_1232;q_1300;q_1761;q_2005;q_634;q_747;q_94,q_1232:+1;q_1300:-1;q_1761:+1;q_2005:-1;q_634:+1;q_747:-1;q_94:+1,HEXACO,4225,0.17842814308036656,0.8215718569196334,q_1301;q_1609;q_1861,True,retained,True,4219.0
HEXACO:H:X:E,HXExpress,10,6,q_1064;q_158;q_1643;q_1730;q_1795;q_1810,q_1064:+1;q_158:+1;q_1643:-1;q_1730:-1;q_1795:+1;q_1810:+1,HEXACO,5163,0.2180413024198657,0.7819586975801343,q_262;q_403;q_690;q_712,True,retained,True,5147.0
HEXACO:H:X:S,HXSociable,10,6,q_1379;q_1575;q_1671;q_1904;q_2024;q_744,q_1379:+1;q_1575:-1;q_1671:-1;q_1904:+1;q_2024:-1;q_744:+1,HEXACO,3287,0.13881498374086743,0.8611850162591326,q_1196;q_140;q_1410;q_1803,True,retained,True,3279.0
HEXACO:H:X:SB,HXSocBold,10,5,q_1027;q_1055;q_1110;q_131;q_1992,q_1027:-1;q_1055:+1;q_1110:+1;q_131:+1;q_1992:-1,HEXACO,4742,0.20026183538156173,0.7997381646184383,q_1114;q_1180;q_698;q_819;q_901,True,retained,True,4728.0
QB6:QB6:A,QB6agree,8,4,q_1033;q_1591;q_331;q_958,q_1033:-1;q_1591:+1;q_331:-1;q_958:-1,QB6,1517,0.0640652054563115,0.9359347945436884,q_145;q_238;q_278;q_952,True,retained,True,1512.0
QB6:QB6:C,QB6consc,8,4,q_1321;q_1511;q_2737;q_519,q_1321:+1;q_1511:-1;q_2737:+1;q_519:+1,QB6,2695,0.11381392795303856,0.8861860720469614,q_1254;q_1290;q_1696;q_1949,True,retained,True,2687.0
QB6:QB6:H,QB6honprop,8,7,q_1306;q_1747;q_1752;q_1780;q_185;q_2021;q_2853,q_1306:+1;q_1747:-1;q_1752:+1;q_1780:-1;q_185:+1;q_2021:+1;q_2853:+1,QB6,12514,0.5284851556231259,0.4715148443768741,q_1896,True,retained,True,12458.0
QB6:QB6:O,QB6open,8,4,q_1676;q_2756;q_2891;q_79,q_1676:-1;q_2756:+1;q_2891:-1;q_79:+1,QB6,2545,0.10747920097977111,0.8925207990202288,q_1050;q_1088;q_2775;q_348,True,retained,True,2537.0
QB6:QB6:X,QB6extra,8,6,q_1243;q_1685;q_1703;q_1899;q_2900;q_55,q_1243:+1;q_1685:-1;q_1703:+1;q_1899:+1;q_2900:-1;q_55:-1,QB6,3378,0.14265805143798302,0.857341948562017,q_1635;q_1803,True,retained,True,3374.0
MPQ:MPQ:AB,MPQab,10,7,q_1381;q_1389;q_1587;q_1648;q_1682;q_612;q_780,q_1381:+1;q_1389:+1;q_1587:-1;q_1648:+1;q_1682:-1;q_612:-1;q_780:+1,MPQ,4097,0.17302250939651168,0.8269774906034884,q_1058;q_1310;q_610,True,retained,True,4080.0
MPQ:MPQ:AC,MPQac,10,9,q_1052;q_1519;q_191;q_1979;q_1984;q_602;q_604;q_637;q_786,q_1052:-1;q_1519:+1;q_191:-1;q_1979:+1;q_1984:+1;q_602:-1;q_604:+1;q_637:-1;q_786:+1,MPQ,5349,0.22589636386671735,0.7741036361332827,q_530,True,retained,True,5327.0
MPQ:MPQ:AG,MPQag,10,5,q_1051;q_1571;q_2021;q_501;q_957,q_1051:+1;q_1571:-1;q_2021:-1;q_501:+1;q_957:+1,MPQ,4432,0.18717006630347566,0.8128299336965243,q_1150;q_1585;q_1683;q_1869;q_630,True,retained,True,4416.0
MPQ:MPQ:AL,MPQal,10,7,q_1854;q_1855;q_20;q_286;q_578;q_816;q_882,q_1854:-1;q_1855:-1;q_20:-1;q_286:+1;q_578:+1;q_816:+1;q_882:+1,MPQ,3681,0.15545419992398327,0.8445458000760168,q_1758;q_594;q_848,True,retained,True,3669.0
MPQ:MPQ:CO,MPQco,10,6,q_1173;q_1292;q_1321;q_1424;q_1488;q_623,q_1173:-1;q_1292:-1;q_1321:+1;q_1424:-1;q_1488:-1;q_623:+1,MPQ,3782,0.15971958275265002,0.8402804172473499,q_124;q_1397;q_1422;q_1507,True,retained,True,3764.0
MPQ:MPQ:HA,MPQha,10,9,q_1664;q_1781;q_2017;q_2020;q_294;q_315;q_598;q_599;q_746,q_1664:-1;q_1781:-1;q_2017:+1;q_2020:+1;q_294:-1;q_315:+1;q_598:-1;q_599:-1;q_746:-1,MPQ,4786,0.20212002196038684,0.7978799780396132,q_1662,True,retained,True,4765.0
MPQ:MPQ:SC,MPQsc,10,6,q_1379;q_1923;q_1943;q_312;q_313;q_744,q_1379:+1;q_1923:-1;q_1943:+1;q_312:-1;q_313:-1;q_744:+1,MPQ,3395,0.14337598716162,0.85662401283838,q_1196;q_140;q_1410;q_219,True,retained,True,3385.0
MPQ:MPQ:SP,MPQsp,10,5,q_1045;q_1242;q_131;q_1652;q_455,q_1045:+1;q_1242:-1;q_131:+1;q_1652:+1;q_455:+1,MPQ,4540,0.1917310697242282,0.8082689302757717,q_1114;q_1180;q_1768;q_690;q_905,True,retained,True,4535.0
MPQ:MPQ:TR,MPQtr,10,7,q_1328;q_1824;q_1825;q_359;q_369;q_394;q_398,q_1328:+1;q_1824:+1;q_1825:-1;q_359:-1;q_369:+1;q_394:-1;q_398:+1,MPQ,3519,0.14861269479285444,0.8513873052071456,q_345;q_348;q_660,True,retained,True,3510.0
MPQ:MPQ:UV,MPQuv,17,15,q_1120;q_1136;q_1138;q_1218;q_1223;q_1458;q_163;q_164;q_1962;q_393;q_43;q_44;q_45;q_646;q_77,q_1120:+1;q_1136:-1;q_1138:-1;q_1218:+1;q_1223:+1;q_1458:+1;q_163:-1;q_164:-1;q_1962:+1;q_393:+1;q_43:+1;q_44:+1;q_45:+1;q_646:-1;q_77:+1,MPQ,8532,0.3603192702394527,0.6396807297605474,q_1457;q_76,True,retained,True,8475.0
IPIPneo:A1:TR,NEOa1,10,5,q_1854;q_1855;q_286;q_377;q_379,q_1854:+1;q_1855:+1;q_286:-1;q_377:+1;q_379:+1,IPIPneo,2456,0.10372059630896575,0.8962794036910342,q_1758;q_1835;q_343;q_381;q_594,True,retained,True,2454.0
IPIPneo:A2:MO,NEOa2,10,8,q_1214;q_1467;q_1543;q_1556;q_1752;q_1894;q_2016;q_501,q_1214:-1;q_1467:-1;q_1543:-1;q_1556:-1;q_1752:+1;q_1894:-1;q_2016:+1;q_501:-1,IPIPneo,10374,0.438109717471177,0.561890282528823,q_1765;q_1896,True,retained,True,10314.0
IPIPneo:A3:AL,NEOa3,10,7,q_1354;q_1420;q_1421;q_1774;q_1881;q_298;q_90,q_1354:-1;q_1420:-1;q_1421:+1;q_1774:-1;q_1881:-1;q_298:+1;q_90:+1,IPIPneo,4192,0.17703450314624772,0.8229654968537523,q_1041;q_1385;q_146,True,retained,True,4171.0
IPIPneo:A4:CO,NEOa4,10,8,q_1031;q_1051;q_121;q_1359;q_2036;q_479;q_531;q_957,q_1031:+1;q_1051:-1;q_121:+1;q_1359:-1;q_2036:-1;q_479:+1;q_531:-1;q_957:-1,IPIPneo,5002,0.21124202880189197,0.7887579711981081,q_1150;q_1163,True,retained,True,4973.0
IPIPneo:A5:MO,NEOa5,10,7,q_1235;q_1416;q_1691;q_401;q_525;q_565;q_586,q_1235:-1;q_1416:-1;q_1691:+1;q_401:-1;q_525:+1;q_565:+1;q_586:+1,IPIPneo,4275,0.18053971873812238,0.8194602812618776,q_1042;q_1830;q_364,True,retained,True,4256.0
IPIPneo:A6:SY,NEOa6,10,6,q_1818;q_1858;q_339;q_383;q_487;q_851,q_1818:-1;q_1858:-1;q_339:-1;q_383:-1;q_487:-1;q_851:+1,IPIPneo,3051,0.12884834663625996,0.87115165336374,q_1757;q_1764;q_1910;q_195,True,retained,True,3039.0
IPIPneo:C1:SE,NEOc1,10,10,q_1023;q_1113;q_1215;q_1435;q_258;q_515;q_520;q_708;q_722;q_786,q_1023:+1;q_1113:-1;q_1215:+1;q_1435:-1;q_258:+1;q_515:+1;q_520:+1;q_708:-1;q_722:-1;q_786:+1,IPIPneo,5470,0.23100637695848641,0.7689936230415135,,True,retained,True,5449.0
IPIPneo:C2:OR,NEOc2,10,3,q_169;q_170;q_1917,q_169:-1;q_170:-1;q_1917:+1,IPIPneo,1877,0.07926855019215338,0.9207314498078466,q_1254;q_1255;q_1290;q_1333;q_1374;q_1483;q_619,True,retained,True,1876.0
IPIPneo:C3:DU,NEOc3,10,10,q_1190;q_1341;q_1436;q_1508;q_1812;q_1867;q_404;q_405;q_618;q_977,q_1190:+1;q_1341:+1;q_1436:-1;q_1508:+1;q_1812:+1;q_1867:+1;q_404:-1;q_405:-1;q_618:-1;q_977:-1,IPIPneo,6720,0.28379576840238185,0.7162042315976181,,True,retained,True,6675.0
IPIPneo:C4:AS,NEOc4,10,9,q_1012;q_1519;q_1553;q_1883;q_191;q_1979;q_554;q_602;q_604,q_1012:+1;q_1519:+1;q_1553:-1;q_1883:+1;q_191:-1;q_1979:+1;q_554:+1;q_602:-1;q_604:+1,IPIPneo,6006,0.2536424680096288,0.7463575319903712,q_1694,True,retained,True,5982.0
IPIPneo:C5:SD,NEOc5,10,5,q_1087;q_1444;q_1521;q_1744;q_992,q_1087:-1;q_1444:-1;q_1521:-1;q_1744:+1;q_992:+1,IPIPneo,2470,0.10431183749313738,0.8956881625068627,q_1949;q_491;q_76;q_904;q_962,True,retained,True,2461.0
IPIPneo:C6:CA,NEOc6,10,9,q_1173;q_1292;q_1424;q_1488;q_1638;q_1748;q_321;q_507;q_598,q_1173:-1;q_1292:-1;q_1424:-1;q_1488:-1;q_1638:-1;q_1748:+1;q_321:+1;q_507:+1;q_598:-1,IPIPneo,5815,0.24557624899700156,0.7544237510029984,q_35,True,retained,True,5793.0
IPIPneo:E1:FR,NEOe1,10,4,q_1943;q_20;q_313;q_505,q_1943:+1;q_20:+1;q_313:-1;q_505:+1,IPIPneo,1896,0.0800709489421006,0.9199290510578995,q_1196;q_140;q_1410;q_1480;q_200;q_819,True,retained,True,1893.0
IPIPneo:E2:GR,NEOe2,10,9,q_1169;q_1370;q_1376;q_1531;q_1666;q_1923;q_314;q_684;q_744,q_1169:+1;q_1370:+1;q_1376:+1;q_1531:-1;q_1666:-1;q_1923:-1;q_314:-1;q_684:-1;q_744:+1,IPIPneo,4954,0.20921491617044638,0.7907850838295536,q_1803,True,retained,True,4926.0
IPIPneo:E3:AS,NEOe3,10,4,q_1151;q_1670;q_1872;q_455,q_1151:-1;q_1670:+1;q_1872:+1;q_455:+1,IPIPneo,2545,0.10747920097977111,0.8925207990202288,q_1114;q_1180;q_1768;q_1769;q_1913;q_690,True,retained,True,2538.0
IPIPneo:E4:AL,NEOe4,10,10,q_1280;q_1281;q_1329;q_1330;q_1599;q_1600;q_429;q_595;q_71;q_74,q_1280:-1;q_1281:-1;q_1329:-1;q_1330:-1;q_1599:+1;q_1600:-1;q_429:+1;q_595:+1;q_71:+1;q_74:+1,IPIPneo,5360,0.22636091051142362,0.7736390894885764,,True,retained,True,5328.0
IPIPneo:E5:ES,NEOe5,10,9,q_1360;q_1368;q_1664;q_2017;q_294;q_31;q_576;q_745;q_746,q_1360:+1;q_1368:+1;q_1664:+1;q_2017:-1;q_294:+1;q_31:+1;q_576:-1;q_745:+1;q_746:+1,IPIPneo,4788,0.20220448498669708,0.7977955150133029,q_1662,True,retained,True,4762.0
IPIPneo:N1:ANX,NEOn1,10,4,q_179;q_38;q_66;q_727,q_179:-1;q_38:-1;q_66:+1;q_727:-1,IPIPneo,1818,0.07677689091600153,0.9232231090839985,q_177;q_1989;q_248;q_808;q_960;q_986,True,retained,True,1815.0
IPIPneo:N4:SC,NEOn4,10,9,q_114;q_1496;q_168;q_1755;q_184;q_63;q_67;q_69;q_89,q_114:+1;q_1496:+1;q_168:-1;q_1755:+1;q_184:-1;q_63:-1;q_67:+1;q_69:+1;q_89:-1,IPIPneo,5209,0.21998395202500107,0.7800160479749989,q_901,True,retained,True,5181.0
IPIPneo:N5:IM,NEOn5,10,10,q_1009;q_1384;q_1461;q_1462;q_1474;q_1590;q_56;q_632;q_673;q_736,q_1009:+1;q_1384:+1;q_1461:-1;q_1462:-1;q_1474:+1;q_1590:-1;q_56:-1;q_632:+1;q_673:+1;q_736:-1,IPIPneo,5550,0.23438489801089574,0.7656151019891042,,True,retained,True,5532.0
IPIPneo:O1:IM,NEOo1,10,5,q_1161;q_1381;q_1675;q_1682;q_780,q_1161:+1;q_1381:+1;q_1675:-1;q_1682:-1;q_780:+1,IPIPneo,2545,0.10747920097977111,0.8925207990202288,q_1058;q_1083;q_1310;q_1738;q_609,True,retained,True,2537.0
IPIPneo:O2:AI,NEOo2,10,8,q_1289;q_1369;q_1648;q_607;q_608;q_611;q_612;q_776,q_1289:+1;q_1369:+1;q_1648:+1;q_607:-1;q_608:-1;q_611:-1;q_612:-1;q_776:+1,IPIPneo,4947,0.2089192955783606,0.7910807044216395,q_348;q_610,True,retained,True,4934.0
IPIPneo:O3:EM,NEOo3,10,6,q_1589;q_174;q_228;q_721;q_755;q_797,q_1589:-1;q_174:-1;q_228:+1;q_721:-1;q_755:+1;q_797:-1,IPIPneo,3310,0.1397863085434351,0.8602136914565649,q_1681;q_1880;q_793;q_844,True,retained,True,3293.0
IPIPneo:O4:AD,NEOo4,10,9,q_1303;q_1334;q_148;q_1540;q_1542;q_47;q_566;q_581;q_689,q_1303:+1;q_1334:+1;q_148:+1;q_1540:-1;q_1542:+1;q_47:-1;q_566:-1;q_581:-1;q_689:-1,IPIPneo,4817,0.20342919886819544,0.7965708011318046,q_82,True,retained,True,4796.0
IPIPneo:O5:IN,NEOo5,10,4,q_1327;q_197;q_322;q_778,q_1327:+1;q_197:-1;q_322:-1;q_778:+1,IPIPneo,2151,0.09083998479665527,0.9091600152033448,q_1050;q_1088;q_1388;q_194;q_316;q_422,True,retained,True,2149.0
IPIPneo:O6:LI,NEOo6,10,9,q_1328;q_1824;q_1825;q_359;q_369;q_394;q_395;q_397;q_398,q_1328:-1;q_1824:-1;q_1825:+1;q_359:+1;q_369:-1;q_394:+1;q_395:-1;q_397:-1;q_398:-1,IPIPneo,4661,0.1968410828159973,0.8031589171840027,q_345,True,retained,True,4645.0
EPQr:EPQ:E,EPQe,23,22,q_4222;q_4226;q_4230;q_4234;q_4237;q_4240;q_4243;q_4247;q_4250;q_4253;q_4259;q_4262;q_4265;q_4267;q_4270;q_4271;q_4274;q_4276;q_4278;q_4283;q_4292;q_4295,q_4222:+1;q_4226:+1;q_4230:+1;q_4234:+1;q_4237:+1;q_4240:-1;q_4243:+1;q_4247:-1;q_4250:+1;q_4253:+1;q_4259:-1;q_4262:+1;q_4265:+1;q_4267:+1;q_4270:+1;q_4271:+1;q_4274:+1;q_4276:+1;q_4278:+1;q_4283:+1;q_4292:+1;q_4295:+1,EPQr,12231,0.5165336374002281,0.48346636259977194,q_4257,True,retained,True,12112.0
EPQr:EPQ:P,EPQp,32,29,q_4223;q_4225;q_4227;q_4233;q_4236;q_4238;q_4241;q_4244;q_4245;q_4248;q_4251;q_4254;q_4255;q_4260;q_4261;q_4264;q_4266;q_4268;q_4272;q_4275;q_4279;q_4281;q_4284;q_4286;q_4289;q_4293;q_4296;q_4297;q_4299,q_4223:-1;q_4225:-1;q_4227:-1;q_4233:-1;q_4236:-1;q_4238:-1;q_4241:+1;q_4244:+1;q_4245:+1;q_4248:+1;q_4251:+1;q_4254:-1;q_4255:+1;q_4260:+1;q_4261:+1;q_4264:-1;q_4266:+1;q_4268:-1;q_4272:-1;q_4275:-1;q_4279:+1;q_4281:+1;q_4284:-1;q_4286:-1;q_4289:-1;q_4293:+1;q_4296:+1;q_4297:-1;q_4299:-1,EPQr,15322,0.6470712445626927,0.3529287554373073,q_4229;q_4231;q_4291,True,retained,True,15159.0
PS:PS:P,PSp,20,12,q_1045;q_1055;q_1081;q_1110;q_131;q_148;q_1998;q_3023;q_3090;q_438;q_740;q_803,q_1045:+1;q_1055:+1;q_1081:-1;q_1110:+1;q_131:+1;q_148:+1;q_1998:-1;q_3023:+1;q_3090:-1;q_438:+1;q_740:+1;q_803:+1,PS,8926,0.3769584864225685,0.6230415135774314,q_1114;q_1205;q_254;q_2745;q_2754;q_2951;q_492;q_698,True,retained,True,8874.0
