comparison_set,role_or_run,filter_condition,matched_n,usable_matched_n,original_n,mean_distance_to_centroid_median,mean_distance_to_centroid_ci_low,mean_distance_to_centroid_ci_high,median_distance_to_centroid_median,median_distance_to_centroid_ci_low,median_distance_to_centroid_ci_high,rms_radius_median,rms_radius_ci_low,rms_radius_ci_high,anisotropy_ratio_2d_l1_l2_median,anisotropy_ratio_2d_l1_l2_ci_low,anisotropy_ratio_2d_l1_l2_ci_high,anisotropy_ratio_3d_l1_mean_rest_median,anisotropy_ratio_3d_l1_mean_rest_ci_low,anisotropy_ratio_3d_l1_mean_rest_ci_high,first_pc_explained_variance_2d_median,first_pc_explained_variance_2d_ci_low,first_pc_explained_variance_2d_ci_high,first_pc_explained_variance_3d_median,first_pc_explained_variance_3d_ci_low,first_pc_explained_variance_3d_ci_high,orientation_angle_median,orientation_abs_deviation_median,orientation_abs_deviation_p95,orientation_stability_width_p90,ellipse_area_95_pc1_pc2_median,ellipse_area_95_pc1_pc2_ci_low,ellipse_area_95_pc1_pc2_ci_high,convex_hull_area_pc1_pc2_median,convex_hull_area_pc1_pc2_ci_low,convex_hull_area_pc1_pc2_ci_high,ellipsoid_volume_95_pc123_median,ellipsoid_volume_95_pc123_ci_low,ellipsoid_volume_95_pc123_ci_high
gpt55_score_ge2_filtered_clouds_available,amateur,gpt55_ge2,44,True,44,21.12878651038999,18.538092257742903,23.993595005105462,20.00286564643405,16.365395899253677,24.21961322721157,22.955594303155557,20.174008933094992,25.651392479802908,1.5152524749530163,1.0705554029360185,2.568927467782604,2.182659005072476,1.5664608243058837,3.438516931937228,0.6024255956263413,0.5170377777839141,0.7197902292772962,0.5218352275163268,0.4392199648468059,0.632248619627555,169.75,30.31550550476821,79.04547917593493,158.09095835186986,3906.0045286628683,2724.4235284068855,5107.261878623517,2360.358521050356,1610.6708864903471,2691.5928471029138,178847.02971671653,119491.75712764496,242521.80545259264
gpt55_score_ge2_filtered_clouds_available,playwright,gpt55_ge2,44,True,54,25.28043543101093,22.6590294917747,28.239066680101242,24.006732025464125,20.062782139187867,28.116381755053897,26.762466537000734,24.042241106851932,29.71435806583989,3.8481805402120726,2.7348640470018246,6.268911940394035,4.627921125978484,3.1626831722645696,7.343209462583153,0.7937370540723633,0.7322524611118595,0.8624277566319255,0.698245338903075,0.612604540573018,0.7859391439577447,168.5,3.933136393225894,13.007558733066194,26.015117466132388,4836.4234783013635,3806.123535972441,5939.931178780758,2320.022029721321,1896.6652205901112,2671.1978373796865,217602.16752928367,145102.22653771198,289239.77906468377
gpt55_score_eq3_filtered_clouds_available,amateur,gpt55_eq3,11,True,11,18.701417722309195,13.401410571802785,24.290694984879096,18.23916549329929,9.682229031495842,26.91255173898081,20.72020218657429,14.927762194992392,26.21670519899316,3.6396552424506226,1.3257828269230334,18.072744283449133,4.984365230206213,1.9984861967924696,17.662241300541258,0.7844667062538686,0.5700347545894059,0.9475684984540478,0.7136460392965227,0.49980586448541925,0.8982669728529052,36.0,8.257098948351242,42.89509976231284,85.79019952462568,2992.604136509628,1383.4216370542745,5065.521973968686,777.3264676542537,337.0389046358906,1196.138039746468,84344.83977539379,19242.375445027308,165695.99951746102
gpt55_score_eq3_filtered_clouds_available,playwright,gpt55_eq3,11,True,40,22.20172415400906,16.449912545506983,27.15789233957793,21.36967511262189,15.377156229780525,27.43827451393188,23.302777926014905,18.32652470339719,28.33677094178235,3.9588291747825313,1.8186988907835335,10.13184192353435,5.310601251508906,2.638804208191082,12.383853182221182,0.7983382863167365,0.6452190572496089,0.9101548480789169,0.7264246708189422,0.5688531961640113,0.8609538712944159,154.5,9.61313933128082,31.113614106211227,62.22722821242245,3965.097394453282,2140.7348389586273,5790.157089019786,1185.6716082185999,614.8982564183726,1835.2197199345767,125456.05130057322,47538.17273519698,226040.31792758766
amateur_all_vs_gpt41_ge2,amateur,all,59,True,60,23.3338062808185,20.95111325068373,26.259526808638416,21.88652065755652,17.87585302418367,26.457407588858615,25.20475345237736,22.651169560254274,27.94797627416835,1.9031614612305479,1.2444338709981675,3.218437860546749,2.5925704539329146,1.8115890333117772,3.96032523161271,0.6555479107261459,0.5544528606022372,0.7629385055837518,0.5645140156055638,0.4752842910720905,0.6644476074640894,143.0,7.668223485829827,29.544460702583546,59.08892140516709,4472.2593142951055,3390.1684368620326,5756.546248055722,2909.4433398809624,2100.6681733328496,3304.363882749352,231086.81394748448,168902.64306456002,309405.06835156766
amateur_all_vs_gpt41_ge2,amateur,gpt41_ge2,59,True,59,23.182897416156763,20.52635276885068,25.60507059539425,21.788543648705094,18.055362157458823,25.72597016011163,25.030816584987974,22.326007473585065,27.396747139270985,1.8819368660907396,1.18654862481383,3.323752594966904,2.634424448603429,1.7240966999382832,4.017348133788785,0.6530104417369742,0.5426581195076957,0.7687194205375368,0.5684468568955418,0.46295674460439973,0.6676276729701682,141.75,9.014402594466873,36.1526474339586,72.3052948679172,4419.015160099847,3220.367941200902,5599.047248146216,2891.037648832561,1952.5430355687138,3309.915501314854,223777.4610795158,158341.98445664643,289615.73814960825
amateur_all_vs_gpt41_eq3,amateur,all,34,True,60,23.01613201648073,19.701186482049653,26.27403845744149,21.664188751434246,16.983363034964597,26.75491786536506,24.857811837989644,21.322491050976364,28.285999972629057,2.02700366409176,1.1421601094117129,4.294303713346767,2.6763525599767037,1.693485901739752,4.5267937728606045,0.6696403062731517,0.5331801039999804,0.8111175944818858,0.5723160700870767,0.45849566083237414,0.693570061941617,143.5,9.43447979018741,42.81856730502739,85.63713461005479,4328.034626560138,2925.5617126974958,6173.021103504148,2421.1260783211264,1568.278247759092,3144.381295156188,215771.69982220867,143473.9381641681,311431.7137826456
amateur_all_vs_gpt41_eq3,amateur,gpt41_eq3,34,True,34,20.887265397088157,17.90737946774239,24.442048188114395,19.43949618079359,15.072004116807058,24.277903306284557,22.978580170635908,19.497267749338455,26.522082641115663,1.6200318369075255,1.1089336204363776,2.9867436466546557,2.218830478113528,1.5857776404645259,3.5474414289110516,0.6183252481465049,0.5258266264533307,0.7491686668545722,0.5259347970233704,0.442240574883742,0.6394697628978513,39.5,30.613917722656666,78.43149179569889,156.86298359139778,3865.5903932714377,2424.329338099327,5312.797579639008,2218.543563493969,1391.918017307316,2659.930394323012,177015.82349933672,108468.58063716469,253671.52235034222
amateur_all_vs_gpt55_ge2,amateur,all,44,True,60,23.379779178047208,20.28982872210375,26.354242609844732,21.92959664693917,17.735273620460784,26.59232418507808,25.217535018447542,22.21612351740234,28.111042601721053,2.008010421647591,1.189782529403032,4.032146848976584,2.690990351537164,1.7912219401946166,4.501525690881202,0.6675541938684257,0.5433324722831969,0.8012540731655278,0.5736507849055184,0.4724655511174315,0.6923768288161647,145.75,9.256385980422138,33.03413414676612,66.06826829353224,4525.430548649385,3185.070990887002,5725.543689470235,2673.415147713403,1741.36484061088,3258.2996210780825,229346.71418687073,156843.90155672564,319938.94655155845
amateur_all_vs_gpt55_ge2,amateur,gpt55_ge2,44,True,44,21.176469217812784,18.341702595258138,23.991822240953034,19.901296114475944,15.534182737547502,24.09727390190975,23.03745992841411,20.04286725577673,25.7218128159186,1.4445416529112074,1.0766354342665085,2.4768183627456475,2.142897281499696,1.5843815516841284,3.326144200675794,0.5909252284747913,0.5184511536993508,0.7123592527575048,0.5172460527794145,0.4420232362972272,0.6244935202153118,168.0,29.433803891761983,80.29292938116905,160.5858587623381,3897.4827218760192,2780.2486086537415,5099.741263394295,2386.1881166109956,1645.855149705022,2692.9513904359674,177499.77328599794,120854.6719376938,241968.47959813496
amateur_all_vs_gpt55_eq3,amateur,all,11,True,60,22.399755421361043,17.103099525187723,28.27780552489727,21.09395092061162,14.2667396486211,28.7765547162431,24.068141612298145,18.514061229456786,29.608887811898878,2.862100100983296,1.2123949669721208,8.890881112445708,3.5763911588651345,1.7628903295674487,8.541960717491193,0.7410655031748814,0.5480008898187845,0.8988927239540729,0.6413450515840102,0.4684912363348863,0.8102817965345637,143.75,15.195616746840955,69.39300868594968,138.78601737189936,3977.752592142165,1939.5706426993522,7111.504122299334,1279.9168876217236,628.7326704878676,2350.5445966459815,179943.7455804464,70212.14608164014,343374.3971550563
amateur_all_vs_gpt55_eq3,amateur,gpt55_eq3,11,True,11,18.727739913603706,13.310993594218633,25.457637905884003,18.350289636768377,10.120893884727899,27.652005561934644,20.870514632266413,14.676695644156942,27.07040489719149,3.9882029903138188,1.4726349960465708,18.486045171080807,5.255731381625382,2.12948913571976,17.50574818243177,0.7995215062065827,0.5955433860457977,0.9486811991931128,0.7243558164750884,0.5156747331527997,0.8974635190469485,38.25,8.437470737931932,46.06964581867365,92.1392916373473,2961.8204032649055,1350.8928564700711,5215.663682077098,752.971248836689,328.80498146948906,1196.138039746468,83580.39558386206,16855.52755236967,167468.09602006784
editor_matched64_1024_all_vs_gpt41_ge2,editor_matched64_1024,all,36,True,64,26.030867836096743,22.264817441453577,30.553387367749497,24.021353212105048,19.96144219258794,28.28534596646385,28.153499936671945,23.58359968718502,33.03170435929792,2.1225179111080985,1.3335415571713551,3.7802314056375352,3.4534001929802365,2.1157832909805716,5.777704203108056,0.6797456010833274,0.571466801553856,0.790805086595929,0.6332563077276523,0.514055471305583,0.7428543491643455,138.75,9.701010658500465,32.944359249994655,65.88871849998931,5343.754202756201,3628.137799445112,7312.137945397731,2948.3133166134257,1809.0718531590073,3612.5734220063264,274780.4927680548,183729.5823713948,413889.1870446721
editor_matched64_1024_all_vs_gpt41_ge2,editor_matched64_1024,gpt41_ge2,36,True,36,23.585136565212295,19.24641149354148,28.017878985294924,21.885241006134386,17.170348321833302,26.638016983193243,26.309399881079976,20.851517542709466,30.787151214926247,2.2392652992655857,1.2656354227172912,4.585109661636649,3.890949901071325,2.1516233556356106,7.015005404426661,0.6912879723207626,0.558621450365412,0.8209517694673044,0.6604961120198624,0.5182603880791918,0.778147135968368,150.0,8.300883879131476,40.66524302310604,81.33048604621209,4581.378943078769,3016.4705831049027,6285.301707242164,2647.492402215007,1593.647290806624,3360.2619009675295,205274.13604396937,125881.99438341444,298092.4443447036
editor_matched64_1024_all_vs_gpt55_ge2,editor_matched64_1024,all,64,True,64,26.436423954157835,23.39872167706757,29.460095478313374,24.316882638303504,21.492229421322634,27.24492585848802,28.639610342384387,25.350719130884166,31.698489366212726,2.112245741955667,1.4252069378305912,3.1752602543536472,3.50745206647073,2.330938546471261,4.910756183756953,0.6786885965905964,0.5876598522606471,0.7604936850825675,0.6368554779371626,0.5381875290574619,0.7105960633442953,138.75,7.773764057347719,22.912383431956588,45.824766863913176,5487.453106708855,4319.490220967649,6704.900280025116,3468.28630502762,2517.451382987304,3835.85818966606,287868.57763231284,220370.63339938433,377344.38928003336
editor_matched64_1024_all_vs_gpt55_eq3,editor_matched64_1024,all,64,True,64,26.415887881141927,23.521374894897082,29.5596325470236,24.240291636706978,21.211726809802382,27.447848642456613,28.59216071418013,25.384058087232724,31.92207458425125,2.1081828946081655,1.3885400093407094,3.261902440561677,3.46940759585619,2.2922288162931794,4.991578035759067,0.6782685306604224,0.581334048863701,0.7653597615397629,0.6343296833448768,0.5340411486931602,0.7139414331553716,137.75,7.041825328834605,21.49687706684703,42.99375413369406,5506.458565858096,4252.041756317419,6794.943998428684,3480.347236020845,2670.016304813727,3834.938731767674,291271.4118879321,215272.71843148,373833.7406460031
editor_phase1_128_all_vs_gpt41_ge2,editor_phase1_128,all,57,True,128,28.20361423809549,25.17428896824883,31.599855457509207,26.399367050430264,23.045104304608422,29.885453381371327,31.082313156812617,27.319200230983416,34.66390763230873,2.3650738784839245,1.5899628017060983,3.619923066028617,3.690902628156236,2.489472116006438,5.355203995889448,0.7028297041019693,0.6138889230152258,0.783539408128429,0.6485618762469959,0.5545132750436781,0.7280834129149132,148.75,7.443045854514821,21.310689909303917,42.621379818607835,6449.405006438028,4746.360843878203,8188.036561868458,4249.590737505556,2963.227870084076,5359.168275885067,368537.5342399895,264364.4643963215,494678.34851464164
editor_phase1_128_all_vs_gpt41_ge2,editor_phase1_128,gpt41_ge2,57,True,57,25.726630970131442,22.518536206968818,29.934116045715797,24.945844392646272,20.85667728849186,28.79561463976288,28.4199852359491,24.521969639847562,32.85550189475953,2.0162763272894275,1.3156063490018963,3.141194871732625,3.0456646411070554,2.093187792160708,4.698032395324452,0.6684653712264061,0.5681437159909979,0.758523618635817,0.6036200766564291,0.5113832768297425,0.701401046304502,152.5,11.700181267851647,33.07145099315314,66.14290198630628,5775.611834539449,4074.873503638776,7901.2208391726,3853.6947656371844,2236.1225290232273,4679.508193210787,303049.1408064208,203835.1646365341,429361.7746666091
editor_phase1_128_all_vs_gpt41_eq3,editor_phase1_128,all,3,False,128,22.20405779488518,10.614234765059088,41.52753695020655,22.448983569165676,9.806832890214382,44.73327423452752,23.140957088742518,10.768399001493092,44.16916149339431,14.484435773526652,1.7616767003771474,26910.057630534033,14.52127536052637,3.4198132697119346,544.1720799639696,0.935507572404709,0.6379393911663952,0.9999745872976098,0.8802334275041584,0.6310085143350136,0.9972047615280203,145.5,28.707942613688715,75.51980913028564,151.03961826057127,2431.1541332481015,36.912164372635644,11043.976975217123,223.71250173395111,3.396622420308871,1016.2563057723833,9.37946387873645e-06,0.0,0.019159192236940566
editor_phase1_128_all_vs_gpt41_eq3,editor_phase1_128,gpt41_eq3,3,False,3,18.249021807348328,0.0,26.429248181333012,13.686766355511246,0.0,26.21652315276818,19.35601060499578,0.0,28.032450916024203,3.0438347801648996e+16,113.04386483256843,1.0618128025363427e+17,2.3317215770732856e+16,138.53990472427162,4.080063899812478e+16,1.0,0.9912314441336398,1.0,1.0,0.9857691663878394,1.0000000000000004,117.0,3.5735954869118274,27.0,54.0,5.781425589851772e-06,0.0,1491.8591286380547,0.0,0.0,137.27946465342092,0.0,0.0,0.0
editor_phase1_128_all_vs_gpt55_ge2,editor_phase1_128,all,128,True,128,28.50782888796075,26.294839797724162,30.9869438456739,26.687408353466353,24.32014580472795,29.12052937713737,31.283617286863013,28.46277062394309,34.03828846717581,2.3165781751834915,1.762276621106031,3.1515681425847624,3.6486966906540097,2.818647947841408,4.917051236806298,0.6984843688157282,0.6379797201297834,0.7591267135397177,0.6459359341409434,0.5849458053037206,0.7108593665431385,148.25,4.427547737933821,11.981874501663066,23.963749003326132,6525.897268742783,5305.325756161407,7663.85303847059,5173.459622688315,4135.532568463082,5783.030961042141,373023.265228403,302628.1053901339,458989.7401468407
editor_phase1_128_all_vs_gpt55_eq3,editor_phase1_128,all,128,True,128,28.426844756473745,26.236741448863803,31.054950773800563,26.649999620393093,24.32826250051675,29.06331517457661,31.147453094819635,28.721710289203404,34.09846498995584,2.280315755630359,1.7364644491256649,3.21126997275682,3.663989515044726,2.7306342092212312,4.83389426345441,0.695151295318825,0.6345633795616366,0.7625349589508443,0.6468920016706026,0.5772236459019336,0.7073399250681487,149.75,4.647690809735948,14.248105570501279,28.496211141002558,6490.43837921032,5388.01463145625,7825.5852635240635,5211.041641551367,4239.538081389334,5779.802005576883,374076.4493298376,304235.6371277979,464365.8846708093
playwright_all_vs_gpt41_ge2,playwright,all,54,True,60,26.879533436012622,24.191033480985496,29.553384430891555,26.227351640873273,22.148071758802025,29.386571936664076,28.927594885219662,26.100946115962564,31.862921088453664,4.377027066622074,3.126113643661668,6.150773403932884,5.1733683408231945,3.6957589762591483,7.310075219047325,0.8140236242452606,0.7576381375267858,0.8601549855118398,0.721190926564913,0.6488615311656682,0.7851780159792241,165.5,3.8714605226231384,11.458043253141978,22.916086506283957,5522.266649212828,4455.800838365614,6597.436772257701,3112.0016780124315,2268.705209844061,3429.389265275773,254573.2349915679,179832.97859343555,337578.4945709738
playwright_all_vs_gpt41_ge2,playwright,gpt41_ge2,54,True,54,25.563037076296595,22.92496777184018,27.96062198297018,24.29540320381587,20.3775718524106,27.899382171993285,27.010388203516776,24.377635198464294,29.435841107527803,3.8561367341561166,2.826508766442034,5.288296945220328,4.643758995517171,3.2942753710100874,6.8009174126807945,0.7940749910413845,0.7386651248123198,0.8409744263539685,0.6989655895573081,0.6222309631187026,0.772747996803851,168.25,3.927912027288855,10.985432585221004,21.970865170442007,4949.488795628427,3950.1389731443705,5895.027079332779,2426.9851468803195,2059.2374333551425,2679.151331803827,219962.27826277912,154763.29657991804,283766.8291378643
playwright_all_vs_gpt41_eq3,playwright,all,49,True,60,26.573723035483425,23.666301809544205,29.706052881434854,25.8686626209119,20.647621774845,30.122891329983606,28.6584574233123,25.61035048996377,32.09920954424757,4.288754041413273,3.024332059981629,6.134057656810896,5.157814407977151,3.627774331748087,7.394279748873719,0.810919545902333,0.7515114808138189,0.8598249030963424,0.7205850477136442,0.6446178458825018,0.7870897734134003,166.75,3.878370678803293,11.449561054618911,22.899122109237823,5436.028680257858,4316.799377485541,6649.031243617693,3003.1312754224136,2209.318153247224,3413.391591259514,251754.1363531231,172623.0797798485,343606.9505138737
playwright_all_vs_gpt41_eq3,playwright,gpt41_eq3,49,True,49,23.847369233160038,21.917043327913927,25.86965110326286,22.88411183570406,20.24426554151392,26.04774297776001,24.840802063280442,22.90047098414216,26.854001164537948,3.584672374145625,2.4919310418467684,5.2699711490780565,3.9675060881534763,2.8243783839758345,5.607503574907726,0.7818819059663448,0.713621917789018,0.8405088309736826,0.6648516137545475,0.5854155352332643,0.7370998239051328,159.0,4.248654424519557,12.510065754428826,25.020131508857652,4140.053525484973,3378.195363364355,4936.079815376266,2032.3092382619575,1584.3105836173586,2365.5772366347173,190726.89473246512,134378.9740228442,249001.88252316826
playwright_all_vs_gpt55_ge2,playwright,all,54,True,60,26.840446191333392,24.115881448962718,29.798731194610713,26.183461594617015,21.948901532011323,30.656787888997062,28.86983445169172,26.025036866552483,32.016881957177716,4.330248194709368,3.1257110047996757,5.938326167416911,5.158695819658686,3.690981193318477,7.125494126618328,0.8123913755865162,0.7576171520322239,0.8558729730830091,0.7206194768419137,0.6485657912978315,0.7808336729752062,168.5,3.8722928568504216,10.228630923352934,20.45726184670587,5486.729504907309,4527.208205875713,6603.100708837446,3121.467450342586,2251.9976754783033,3429.389265275773,258869.0340266317,182400.49110397967,336276.7990874081
playwright_all_vs_gpt55_ge2,playwright,gpt55_ge2,54,True,54,25.57851669721508,23.13232898098956,27.923588346198958,24.32374936280599,20.7891053829338,28.0072479079989,27.054006793002763,24.494380460855904,29.554359892638992,3.9052423142902413,2.852925542143538,5.604321651589273,4.588058505765351,3.376298814020635,6.987340564031175,0.7961364312241863,0.7404399294847646,0.8485824775298543,0.6964204251418953,0.6279968128317861,0.7774636492238245,170.25,3.9610887522761686,12.593025641581637,25.186051283163273,4937.937475267949,4046.6243131480087,5921.322642707097,2420.2172108075565,2054.2418274352276,2675.791887086156,219451.05103729235,158789.60559102695,289360.90775791084
playwright_all_vs_gpt55_eq3,playwright,all,40,True,60,26.644046684654448,23.406587633149705,30.401704490635034,25.933229818204595,21.26810511890778,30.875317244750683,28.705596207660726,25.37541749603493,32.833700937331216,4.382846041310065,2.9523459055934227,6.486323907365094,5.234657907239036,3.5667600000843556,7.699368067996874,0.8142246451599514,0.7469845752291112,0.8664230800265783,0.7235521517716961,0.640724220289045,0.7938005439940374,167.5,4.467775964171423,11.802350665864951,23.604701331729903,5462.929670441625,4242.106678573294,7030.242828644392,2711.699737554938,1975.4698709873023,3389.9682418914003,251078.87999083404,161240.20501357692,355364.8173141829
playwright_all_vs_gpt55_eq3,playwright,gpt55_eq3,40,True,40,23.177932138380307,20.69494104127564,25.767136431820006,22.221534296864604,19.65859541582478,25.764094145936898,24.31578326497563,21.851492642909804,26.91527610429508,3.2867927680616744,2.2125224674448676,5.09064313618705,4.557863379132586,3.2295399830728777,7.129007156591593,0.7667253692350349,0.6887161420891275,0.8358121240592287,0.695022609811121,0.6175561300000119,0.7809181235995467,155.75,4.7783848435311,15.054308900077743,30.108617800155486,4264.001313666623,3402.2688609371685,5189.641349337307,2015.2150974400754,1575.7253802902944,2378.7694643071172,148879.94719539298,105808.90769443988,200098.8019000588
