model,trait,primary_factor,primary_loading,secondary_factor,secondary_loading,communality,assignment_confidence,stability,clean_loading,cross_loading,weakly_explained,cross_loading_stability
Qwen,collaborative,Qwen_F5,-0.48899803924633706,Qwen_F1,0.47539128527188096,0.8203179872690667,0.013606753974456098,0.65,False,True,False,1.0
Qwen,collectivistic,Qwen_F1,0.7847406984749506,Qwen_F3,-0.514076472862414,0.8458914347659086,0.27066422561253667,0.9,False,True,False,1.0
Qwen,competitive,Qwen_F1,-0.7388878836548853,Qwen_F5,0.48981425528202094,0.96699813506027,0.2490736283728644,0.9,False,True,False,1.0
Qwen,conceptual,Qwen_F3,-0.8057459644981558,Qwen_F2,-0.38587619428605885,0.9503642570033249,0.419869770212097,1.0,False,True,False,0.95
Qwen,conciliatory,Qwen_F1,0.7926460815846794,Qwen_F5,-0.3265806055975034,0.981463834954,0.466065475987176,0.95,False,True,False,0.65
Qwen,concise,Qwen_F2,0.7854125176944702,Qwen_F3,-0.4333460487687195,0.8623449885132963,0.35206646892575066,1.0,False,True,False,1.0
Qwen,condescending,Qwen_F1,-0.8723762220256776,Qwen_F3,-0.29412202435638024,0.9656171874474794,0.5782541976692973,1.0,True,False,False,0.5
Qwen,confident,Qwen_F5,0.6782699499133328,Qwen_F3,-0.45884278689740576,0.9837737908228321,0.21942716301592702,1.0,False,True,False,1.0
Qwen,confrontational,Qwen_F1,-0.6199630242103332,Qwen_F5,0.5608615849259142,0.9565347258652697,0.05910143928441902,0.55,False,True,False,0.95
Qwen,conscientious,Qwen_F1,0.9253002338656325,Qwen_F2,-0.2050666758797101,0.981710347972774,0.7202335579859225,1.0,True,False,False,0.0
Qwen,constructivist,Qwen_F4,-0.5403041415204008,Qwen_F5,-0.41879904395476103,0.887270708905536,0.12150509756563982,1.0,False,True,False,0.95
Qwen,contemporary,Qwen_F3,1.007608710184611,Qwen_F4,-0.0879871855375008,0.9599444426450321,0.9196215246471101,1.0,True,False,False,0.0
Qwen,contrarian,Qwen_F1,-0.8048529821907836,Qwen_F4,-0.2841450659190582,0.9633607841742589,0.5207079162717254,1.0,True,False,False,0.45
Qwen,convergent,Qwen_F5,0.6241073653201542,Qwen_F1,0.44643958651751303,0.9692868339040608,0.17766777880264117,0.95,False,True,False,1.0
Qwen,cosmopolitan,Qwen_F1,0.7309446460728878,Qwen_F4,-0.510278075021242,0.8747985778893327,0.22066657105164578,0.95,False,True,False,1.0
Qwen,creative,Qwen_F1,-0.6467178841793279,Qwen_F4,-0.4135513919879212,0.9677736735267789,0.23316649219140667,1.0,False,True,False,1.0
Qwen,critical,Qwen_F1,-0.5108721774177615,Qwen_F4,-0.43791024838542236,0.8733904789028454,0.07296192903233911,0.55,False,True,False,1.0
Qwen,cruel,Qwen_F1,-0.9086077906747276,Qwen_F5,0.2798217387594022,0.983945499141815,0.6287860519153254,1.0,True,False,False,0.4
Qwen,cryptic,Qwen_F3,-0.7613699909091499,Qwen_F1,-0.3878058798092797,0.9525492271192101,0.3735641110998702,1.0,False,True,False,0.95
Qwen,curious,Qwen_F4,-0.7687888077517184,Qwen_F5,-0.29659760805325464,0.9116406591833587,0.4721911996984638,1.0,True,False,False,0.65
Qwen,cynical,Qwen_F1,-0.7323993290990434,Qwen_F2,-0.4624561143639393,0.9725367027761089,0.2699432147351041,0.95,False,True,False,1.0
Qwen,data_driven,Qwen_F2,-0.4859634253464323,Qwen_F1,0.43538064457653525,0.967765751126673,0.05058278076989703,0.85,False,True,False,1.0
Qwen,decisive,Qwen_F5,1.0531750888085365,Qwen_F1,0.22629254176181357,0.958156512483359,0.8268825470467229,1.0,True,False,False,0.25
Qwen,deconstructionist,Qwen_F1,-0.5415735798244434,Qwen_F4,-0.4414557606109319,0.9531199797106799,0.10011781921351154,0.7,False,True,False,1.0
Qwen,deferential,Qwen_F5,-0.6682847795749051,Qwen_F3,-0.456647935349979,0.9590917600874357,0.21163684422492607,1.0,False,True,False,1.0
Qwen,deontological,Qwen_F3,-0.9522637002573652,Qwen_F5,0.08851040054817955,0.8867520858601129,0.8637532997091857,1.0,True,False,False,0.0
Qwen,descriptive,Qwen_F1,0.67014067420176,Qwen_F2,-0.42692083816289056,0.9661729235844141,0.24321983603886949,0.9,False,True,False,1.0
Qwen,detached,Qwen_F2,-0.5283343930201132,Qwen_F1,0.5117241991378282,0.9806825843692877,0.016610193882285018,0.7,False,True,False,1.0
Qwen,deterministic,Qwen_F3,-0.7296530214624243,Qwen_F2,-0.526281332255737,0.9501196665387827,0.20337168920668725,1.0,False,True,False,1.0
Qwen,diplomatic,Qwen_F1,0.8653865450981449,Qwen_F5,-0.2473009449202877,0.9752504088028694,0.6180856001778572,1.0,True,False,False,0.3
Qwen,disorganized,Qwen_F1,-0.9488381837426502,Qwen_F5,-0.1763990540316899,0.9815719640739641,0.7724391297109603,1.0,True,False,False,0.0
Qwen,dispassionate,Qwen_F1,0.6135264035857891,Qwen_F2,-0.4605449934658889,0.9834529594141483,0.15298141011990024,0.95,False,True,False,1.0
Qwen,divergent,Qwen_F4,-0.661032948429278,Qwen_F2,-0.5168748329903424,0.8566979378755093,0.14415811543893553,0.9,False,True,False,1.0
Qwen,dogmatic,Qwen_F3,-0.678100110475756,Qwen_F5,0.4313315703966032,0.9757787143688235,0.24676854007915283,1.0,False,True,False,1.0
Qwen,dominant,Qwen_F5,0.8815226420581371,Qwen_F4,-0.19571356139893983,0.9723391778066741,0.6858090806591973,1.0,True,False,False,0.05
Qwen,dramatic,Qwen_F1,-0.5790552765715794,Qwen_F3,-0.5432083637489871,0.9663085251106858,0.035846912822592336,0.6,False,True,False,1.0
Qwen,earnest,Qwen_F1,1.0152534380543359,Qwen_F3,-0.3659409250708777,0.9544535870793575,0.6493125129834582,1.0,False,True,False,0.95
Qwen,eclectic,Qwen_F4,-0.5686759929503422,Qwen_F3,-0.4718868096298095,0.9539168964436862,0.09678918332053271,0.9,False,True,False,1.0
Qwen,edgy,Qwen_F1,-0.9318273330585352,Qwen_F4,-0.11938423735810112,0.980911778252029,0.812443095700434,1.0,True,False,False,0.0
Qwen,educational,Qwen_F1,0.6903937471002308,Qwen_F2,-0.40364188211940216,0.9491323837384142,0.28675186498082866,1.0,False,True,False,1.0
Qwen,efficient,Qwen_F2,0.8519013461205592,Qwen_F1,-0.3619605808646014,0.8902819651671813,0.4899407652559578,1.0,False,True,False,0.7
Qwen,effusive,Qwen_F1,-0.7644533889585365,Qwen_F2,0.28388820463842257,0.9510216135911878,0.48056518432011397,1.0,True,False,False,0.05
Qwen,egalitarian,Qwen_F2,0.6630102386690849,Qwen_F4,-0.5095906990269957,0.8304791891885153,0.1534195396420892,0.95,False,True,False,1.0
Qwen,elitist,Qwen_F3,-0.5398067467423777,Qwen_F5,0.5038744980825907,0.9515157394145515,0.03593224865978706,0.75,False,True,False,1.0
Qwen,eloquent,Qwen_F3,-0.8007151652480122,Qwen_F4,-0.3259356693434618,0.9452470160369909,0.47477949590455043,1.0,False,True,False,0.8
Qwen,emotional,Qwen_F1,-0.5667521253212789,Qwen_F2,0.4427937075751667,0.9811603356316273,0.12395841774611227,0.95,False,True,False,1.0
Qwen,empathetic,Qwen_F2,0.5586846026957806,Qwen_F1,-0.3840462505102765,0.9746701297994613,0.17463835218550405,1.0,False,True,False,1.0
Qwen,enigmatic,Qwen_F3,-0.6993518188860519,Qwen_F1,-0.4847136896609674,0.959252747411317,0.21463812922508452,1.0,False,True,False,1.0
Qwen,entertaining,Qwen_F1,-0.8595121602304063,Qwen_F2,0.19440573350833756,0.9640591096670322,0.6651064267220688,1.0,True,False,False,0.0
Qwen,environmental,Qwen_F3,-0.6788175680955483,Qwen_F4,-0.39852236133949864,0.8688116169792792,0.28029520675604963,1.0,False,True,False,1.0
Qwen,epicurean,Qwen_F3,-0.7482565957607671,Qwen_F4,-0.30707249851045765,0.8684800978373689,0.44118409725030944,1.0,False,True,False,0.65
Qwen,erudite,Qwen_F2,-0.6122944309554409,Qwen_F1,0.45560817061520215,0.9784087986436042,0.15668626034023875,1.0,False,True,False,1.0
Qwen,esoteric,Qwen_F2,-0.5871859593243869,Qwen_F3,-0.5277627761389097,0.9571430464644589,0.059423183185477235,0.8,False,True,False,1.0
Qwen,essentialist,Qwen_F3,-0.8040758751403058,Qwen_F5,0.4423179189568205,0.9417068501602373,0.3617579561834853,1.0,False,True,False,1.0
Qwen,ethereal,Qwen_F3,-0.7524940997015924,Qwen_F1,-0.3954422859200927,0.9541519481759336,0.35705181378149975,1.0,False,True,False,1.0
Qwen,evil,Qwen_F1,-0.9088395715075439,Qwen_F3,-0.2293094071101394,0.9793786033195111,0.6795301643974045,1.0,True,False,False,0.05
Qwen,existentialist,Qwen_F1,-0.5511496538248519,Qwen_F2,0.450640851920377,0.88883784472114,0.10050880190447492,0.8,False,True,False,1.0
Qwen,experiential,Qwen_F3,0.6899888923938218,Qwen_F1,-0.5179760045873794,0.9442671711063412,0.17201288780644242,0.95,False,True,False,1.0
Qwen,exploratory,Qwen_F3,0.84928053561415,Qwen_F2,-0.44693632513786574,0.9498908229074758,0.4023442104762842,1.0,False,True,False,1.0
Qwen,extroverted,Qwen_F1,-0.767455504989717,Qwen_F2,0.34273470958268676,0.9344873397288784,0.4247207954070303,1.0,False,True,False,0.8
Qwen,factual,Qwen_F1,0.7011715015518213,Qwen_F3,0.30738012028335,0.9813730394424444,0.3937913812684713,1.0,False,True,False,0.75
Qwen,fatalistic,Qwen_F3,-0.8746915378270469,Qwen_F1,-0.35073863709208475,0.9656730614019545,0.5239529007349621,1.0,False,True,False,0.7
Qwen,flexible,Qwen_F3,0.6424802705795527,Qwen_F5,-0.4518023766921344,0.9711849729074056,0.1906778938874183,1.0,False,True,False,1.0
Qwen,flippant,Qwen_F1,-0.9763475208585212,Qwen_F3,0.0952216488086775,0.9620425229947505,0.8811258720498436,1.0,True,False,False,0.0
Qwen,flirty,Qwen_F1,-0.7773171482258148,Qwen_F3,-0.29381895994833185,0.9675788936931281,0.4834981882774829,1.0,True,False,False,0.55
Qwen,forgiving,Qwen_F5,-0.5725707519839385,Qwen_F2,0.49725639356489965,0.9733018927937933,0.07531435841903883,1.0,False,True,False,1.0
Qwen,formal,Qwen_F1,0.8000232289024148,Qwen_F2,-0.3348823822094993,0.9807174889934345,0.46514084669291555,1.0,False,True,False,0.95
Qwen,formalist,Qwen_F1,0.6103974610596519,Qwen_F2,-0.46682257826082707,0.9704355653292422,0.1435748827988248,0.95,False,True,False,1.0
Qwen,fundamentalist,Qwen_F3,-0.8854391940530573,Qwen_F5,0.35495651748670326,0.9368451023857433,0.530482676566354,1.0,False,True,False,1.0
Qwen,futuristic,Qwen_F4,-0.6790468581625311,Qwen_F2,-0.37396773599153615,0.8348420377533574,0.3050791221709949,0.95,False,True,False,0.95
Qwen,generalist,Qwen_F4,-0.6911411196461618,Qwen_F2,0.28828035701312216,0.8865227290197893,0.4028607626330396,1.0,True,False,False,0.6
Qwen,generous,Qwen_F4,-0.836892258755093,Qwen_F1,0.5147729531461931,0.8358903342440607,0.3221193056088999,1.0,False,True,False,1.0
Qwen,goofy,Qwen_F1,-0.9359676372606186,Qwen_F5,-0.10478105883261403,0.9350795196049624,0.8311865784280046,1.0,True,False,False,0.0
Qwen,grandiose,Qwen_F3,-0.6737433813289101,Qwen_F1,-0.41964474728003254,0.9631438960504242,0.25409863404887756,1.0,False,True,False,1.0
Qwen,gregarious,Qwen_F1,-0.5319738403389052,Qwen_F2,0.4715209686836386,0.9479704366474324,0.06045287165526658,0.9,False,True,False,1.0
Qwen,grounded,Qwen_F3,0.8394541286045701,Qwen_F4,0.29530331416014016,0.9708700244139024,0.54415081444443,1.0,True,False,False,0.55
Qwen,hedonistic,Qwen_F1,-0.8578190264714123,Qwen_F2,0.1969216287296339,0.9609747749396325,0.6608973977417784,1.0,True,False,False,0.0
Qwen,historical,Qwen_F2,-0.5486790787119874,Qwen_F3,-0.5304146524760985,0.872223102421639,0.018264426235888864,0.6,False,True,False,1.0
Qwen,holistic,Qwen_F4,-0.9497347846645512,Qwen_F1,0.36971176669870753,0.9223420329835166,0.5800230179658437,1.0,False,True,False,0.85
Qwen,hostile,Qwen_F1,-0.950297634959039,Qwen_F5,0.21489177164689127,0.98216479076225,0.7354058633121476,1.0,True,False,False,0.15
Qwen,humanistic,Qwen_F2,0.5928485601435308,Qwen_F5,-0.45629095362281463,0.939768261233843,0.1365576065207162,1.0,False,True,False,1.0
Qwen,humble,Qwen_F5,-0.7320687346743792,Qwen_F3,0.47233872313699793,0.9564766744247396,0.25973001153738123,1.0,False,True,False,1.0
Qwen,iconoclastic,Qwen_F1,-0.8248223487978038,Qwen_F4,-0.2557685550383119,0.962369844416211,0.5690537937594919,1.0,True,False,False,0.3
Qwen,idealistic,Qwen_F3,-0.9281938051741169,Qwen_F1,0.2740953894284951,0.9688381980623544,0.6540984157456218,1.0,True,False,False,0.25
Qwen,impatient,Qwen_F1,-0.874144162311248,Qwen_F2,0.316039211886592,0.981639961026672,0.558104950424656,1.0,False,True,False,0.75
Qwen,improvisational,Qwen_F1,-0.6784332788731883,Qwen_F2,0.2795620957952075,0.979298805369794,0.39887118307798075,1.0,True,False,False,0.3
Qwen,impulsive,Qwen_F1,-0.8353207483445524,Qwen_F2,0.34254382345521095,0.9831032843010801,0.49277692488934144,1.0,False,True,False,0.8
Qwen,inclusive,Qwen_F4,-0.7116704578279778,Qwen_F5,-0.40667240527781967,0.8283229837966585,0.3049980525501581,1.0,False,True,False,1.0
Qwen,independent,Qwen_F4,-0.5786320025925699,Qwen_F3,-0.4760658473941931,0.8115880745816333,0.10256615519837675,0.85,False,True,False,1.0
Qwen,individualistic,Qwen_F1,-0.7622326453685695,Qwen_F3,-0.24730867235520831,0.9655591649563462,0.5149239730133612,1.0,True,False,False,0.15
Qwen,innovative,Qwen_F1,-0.6804180454097714,Qwen_F4,-0.5168509307218025,0.9671457632256933,0.1635671146879688,1.0,False,True,False,1.0
Qwen,inquisitive,Qwen_F5,-0.5747495546029842,Qwen_F1,-0.5649215547672526,0.8338162714337303,0.009827999835731571,0.2,False,True,False,1.0
Qwen,inspirational,Qwen_F1,0.8480829275196359,Qwen_F2,0.5981593461309261,0.9104877479068196,0.24992358138870974,1.0,False,True,False,1.0
Qwen,interdisciplinary,Qwen_F4,-0.8433432435638857,Qwen_F1,-0.3053666943411148,0.9181158476635588,0.5379765492227708,1.0,False,True,False,0.6
Qwen,introspective,Qwen_F4,-0.5137984024200681,Qwen_F1,-0.5078010262013155,0.9146932993355957,0.005997376218752626,0.65,False,True,False,1.0
Qwen,introverted,Qwen_F3,-0.6669181023988806,Qwen_F1,0.6285241067692562,0.9466216390018318,0.03839399562962442,0.5,False,True,False,1.0
Qwen,intuitive,Qwen_F2,0.39886082239566295,Qwen_F3,-0.3988431661668899,0.9778302482951102,1.7656228773033078e-05,0.4,False,True,False,1.0
Qwen,ironic,Qwen_F1,-0.9289319431084845,Qwen_F3,-0.1198548364547322,0.9618333803957781,0.8090771066537523,1.0,True,False,False,0.0
Qwen,irreverent,Qwen_F1,-0.9641150854798507,Qwen_F3,0.1540008005789121,0.9722904850002334,0.8101142849009386,1.0,True,False,False,0.0
Qwen,judgmental,Qwen_F1,-0.8823218398630513,Qwen_F5,0.30475972473509094,0.970888886199878,0.5775621151279604,1.0,False,True,False,0.55
Qwen,libertarian,Qwen_F3,-0.5827946769799027,Qwen_F1,-0.5205939916846759,0.9318741757175235,0.06220068529522682,0.95,False,True,False,1.0
Qwen,literal,Qwen_F4,0.5975542486807558,Qwen_F1,0.37282629300062337,0.9448413936092998,0.22472795568013243,1.0,False,True,False,0.95
Qwen,manic,Qwen_F1,-0.8857774348584916,Qwen_F2,0.13198266547457338,0.9535187628633195,0.7537947693839182,1.0,True,False,False,0.0
Qwen,manipulative,Qwen_F1,-0.868247386340741,Qwen_F3,-0.2446738717552979,0.96639757281227,0.6235735145854431,1.0,True,False,False,0.0
Qwen,materialist,Qwen_F3,0.495296182445027,Qwen_F2,-0.4737736254416207,0.9590558339719395,0.021522557003406273,0.5,False,True,False,1.0
Qwen,meditative,Qwen_F3,-0.8492896842003378,Qwen_F1,0.44146839947737365,0.965034935040605,0.40782128472296414,1.0,False,True,False,1.0
Qwen,melancholic,Qwen_F3,-0.6400160496326343,Qwen_F1,-0.6044918459168975,0.9376980250028465,0.035524203715736724,0.7,False,True,False,1.0
Qwen,melodramatic,Qwen_F1,-0.5899878781340743,Qwen_F3,-0.5725432423562817,0.9463212669322248,0.01744463577779254,0.45,False,True,False,1.0
Qwen,mercurial,Qwen_F1,-0.8812351462482297,Qwen_F3,-0.21568352862813367,0.9791085960889221,0.6655516176200961,1.0,True,False,False,0.0
Qwen,metaphorical,Qwen_F3,-0.571742939508049,Qwen_F1,-0.5047076761240636,0.9595450147515208,0.06703526338398536,0.9,False,True,False,1.0
Qwen,methodical,Qwen_F1,0.7637564932744932,Qwen_F2,-0.2753553056655319,0.9834144820108229,0.48840118760896134,1.0,True,False,False,0.25
Qwen,meticulous,Qwen_F1,0.7188979282654383,Qwen_F2,-0.4634220475911264,0.9799153323294927,0.25547588067431193,1.0,False,True,False,1.0
Qwen,militant,Qwen_F1,-0.7116703133718927,Qwen_F5,0.4319251728394223,0.9765698623554793,0.2797451405324704,0.9,False,True,False,1.0
Qwen,misanthropic,Qwen_F1,-0.8092181615947153,Qwen_F3,-0.37387275582180635,0.9818166268324605,0.4353454057729089,1.0,False,True,False,1.0
Qwen,mischievous,Qwen_F1,-0.9132404703338014,Qwen_F3,-0.10127124866842116,0.9472568288049709,0.8119692216653802,1.0,True,False,False,0.0
Qwen,moderate,Qwen_F1,0.7492725008320941,Qwen_F5,-0.29784482593479483,0.9806214573003789,0.45142767489729924,1.0,True,False,False,0.65
Qwen,mystical,Qwen_F3,-0.7339689060104743,Qwen_F1,-0.2722637789395076,0.9745015404455987,0.46170512707096667,1.0,True,False,False,0.15
Qwen,naive,Qwen_F5,-0.5126929942033347,Qwen_F2,0.49128900807420967,0.9182593172550663,0.02140398612912503,0.8,False,True,False,1.0
Qwen,narrative,Qwen_F1,-0.6667265496229509,Qwen_F3,-0.4437763517279011,0.9614445285390577,0.22295019789504977,1.0,False,True,False,1.0
Qwen,neurotic,Qwen_F1,-0.9630861142340048,Qwen_F5,-0.16301145681218074,0.9690553034112341,0.800074657421824,1.0,True,False,False,0.0
Qwen,nihilistic,Qwen_F3,-0.6325839361576209,Qwen_F1,-0.6149080531813312,0.9763581164141281,0.017675882976289636,0.7,False,True,False,1.0
Qwen,nonchalant,Qwen_F1,-0.9980940451065593,Qwen_F3,0.14550426644150544,0.9777705801651488,0.8525897786650538,1.0,True,False,False,0.0
Qwen,nostalgic,Qwen_F3,-0.7954764540892209,Qwen_F1,-0.3905652280679146,0.9405101804127721,0.40491122602130625,1.0,False,True,False,0.95
Qwen,nurturing,Qwen_F2,0.5615437555593278,Qwen_F1,0.5096119255883944,0.9629222001923765,0.051931829970933374,0.45,False,True,False,1.0
Qwen,obsessive,Qwen_F1,-0.7377267630462955,Qwen_F3,-0.450708684551889,0.973264733336329,0.28701807849440647,1.0,False,True,False,1.0
Qwen,open_ended,Qwen_F5,-0.7715271587939452,Qwen_F3,-0.248263930133153,0.9434043781490938,0.5232632286607921,1.0,True,False,False,0.05
Qwen,optimistic,Qwen_F2,0.7050022206023865,Qwen_F5,-0.38659676361416345,0.9178679349068943,0.31840545698822303,0.9,False,True,False,0.95
Qwen,pacifist,Qwen_F3,-0.6432377648869996,Qwen_F2,0.45120104243460085,0.9091733294216338,0.19203672245239872,1.0,False,True,False,1.0
Qwen,paradoxical,Qwen_F3,-0.6381224762552838,Qwen_F1,-0.45785560703858436,0.9798381731463248,0.1802668692166995,1.0,False,True,False,1.0
Qwen,paranoid,Qwen_F1,-0.5679772317522923,Qwen_F5,0.3962135275780177,0.9309231044434843,0.1717637041742746,0.85,False,True,False,1.0
Qwen,passionate,Qwen_F1,-0.7364091411730413,Qwen_F2,0.323870621724975,0.9808718355264723,0.41253851944806635,1.0,False,True,False,0.9
Qwen,passive_aggressive,Qwen_F1,-0.9626563248495931,Qwen_F3,-0.12316562176611248,0.9672771227288646,0.8394907030834806,1.0,True,False,False,0.0
Qwen,patient,Qwen_F1,0.974475744184748,Qwen_F2,-0.10458282032198898,0.982738376931126,0.8698929238627591,1.0,True,False,False,0.0
Qwen,pedantic,Qwen_F2,-0.7228180899593427,Qwen_F1,0.317554539410856,0.9697722439480014,0.40526355054848673,1.0,False,True,False,0.6
Qwen,pensive,Qwen_F1,0.6911426405261896,Qwen_F3,-0.58859704160116,0.9679403251402391,0.10254559892502957,0.95,False,True,False,1.0
Qwen,perfectionist,Qwen_F1,0.6372428517371723,Qwen_F2,-0.5036943948458275,0.9776278710783901,0.13354845689134487,0.95,False,True,False,1.0
Qwen,pessimistic,Qwen_F1,-0.629493998541255,Qwen_F2,-0.6129186416660826,0.9429218314303078,0.01657535687517242,0.45,False,True,False,1.0
Qwen,petty,Qwen_F1,-0.9834554661915302,Qwen_F3,-0.15474761376852045,0.9677365651595043,0.8287078524230098,1.0,True,False,False,0.0
Qwen,philosophical,Qwen_F3,-0.7592465118356018,Qwen_F4,-0.350069155758083,0.9844274758942453,0.40917735607751876,1.0,False,True,False,0.95
Qwen,playful,Qwen_F1,-0.8423392431440696,Qwen_F2,0.1911504020002135,0.94384982803425,0.6511888411438561,1.0,True,False,False,0.0
Qwen,pluralist,Qwen_F5,-0.7170049451489481,Qwen_F1,0.4021036520985729,0.9536754753735012,0.3149012930503752,1.0,False,True,False,0.8
Qwen,poetic,Qwen_F3,-0.6519208437396417,Qwen_F1,-0.4666567397158057,0.9474058358077109,0.18526410402383597,1.0,False,True,False,1.0
Qwen,practical,Qwen_F3,0.7016014635038323,Qwen_F2,0.5909404040150227,0.9581038953542163,0.11066105948880967,0.95,False,True,False,1.0
Qwen,prescriptive,Qwen_F5,0.6736132987822161,Qwen_F3,0.338446756220811,0.9220483520873873,0.3351665425614051,1.0,False,True,False,0.95
Qwen,principled,Qwen_F3,-0.7423317701750295,Qwen_F1,0.6830562200422812,0.8702966260439544,0.05927555013274832,0.85,False,True,False,1.0
Qwen,proactive,Qwen_F3,0.6712998619131743,Qwen_F4,-0.49838077261080693,0.9309942833071125,0.17291908930236732,1.0,False,True,False,1.0
Qwen,problem_solving,Qwen_F3,0.8011345429088522,Qwen_F5,0.42186410601224117,0.9428071735099033,0.37927043689661105,1.0,False,True,False,1.0
