model,variant,factors,factor_a,factor_b,correlation
Qwen,full_shrinkage,8,5,3,0.06809418035903048
Qwen,full_shrinkage,8,5,4,0.08322040164304625
Qwen,full_shrinkage,8,5,5,1.0
Qwen,full_shrinkage,8,5,6,-0.2065794411334512
Qwen,full_shrinkage,8,5,7,0.20199064526790175
Qwen,full_shrinkage,8,5,8,-0.24655893210349816
Qwen,full_shrinkage,8,6,1,-0.5549286069473576
Qwen,full_shrinkage,8,6,2,-0.154237891434551
Qwen,full_shrinkage,8,6,3,-0.2659994753966621
Qwen,full_shrinkage,8,6,4,-0.40196748263015636
Qwen,full_shrinkage,8,6,5,-0.2065794411334512
Qwen,full_shrinkage,8,6,6,1.0000000000000002
Qwen,full_shrinkage,8,6,7,0.23804779077470067
Qwen,full_shrinkage,8,6,8,0.5545741809204282
Qwen,full_shrinkage,8,7,1,-0.09678457788948508
Qwen,full_shrinkage,8,7,2,-0.33768909767893174
Qwen,full_shrinkage,8,7,3,-0.5840035729757521
Qwen,full_shrinkage,8,7,4,-0.1883451399935252
Qwen,full_shrinkage,8,7,5,0.20199064526790175
Qwen,full_shrinkage,8,7,6,0.23804779077470067
Qwen,full_shrinkage,8,7,7,1.0000000000000002
Qwen,full_shrinkage,8,7,8,0.015234717736574973
Qwen,full_shrinkage,8,8,1,-0.5363359446995003
Qwen,full_shrinkage,8,8,2,0.013545714858067541
Qwen,full_shrinkage,8,8,3,-0.1260816581649741
Qwen,full_shrinkage,8,8,4,0.03678999391030696
Qwen,full_shrinkage,8,8,5,-0.24655893210349816
Qwen,full_shrinkage,8,8,6,0.5545741809204282
Qwen,full_shrinkage,8,8,7,0.015234717736574973
Qwen,full_shrinkage,8,8,8,1.0
Qwen,ordinary_sensitivity,3,1,1,1.0000000000000002
Qwen,ordinary_sensitivity,3,1,2,-0.025404045784991933
Qwen,ordinary_sensitivity,3,1,3,0.17261157852978667
Qwen,ordinary_sensitivity,3,2,1,-0.025404045784991933
Qwen,ordinary_sensitivity,3,2,2,1.0000000000000002
Qwen,ordinary_sensitivity,3,2,3,0.07039813494021582
Qwen,ordinary_sensitivity,3,3,1,0.17261157852978667
Qwen,ordinary_sensitivity,3,3,2,0.07039813494021582
Qwen,ordinary_sensitivity,3,3,3,1.0000000000000002
Qwen,ordinary_sensitivity,4,1,1,1.0000000000000004
Qwen,ordinary_sensitivity,4,1,2,-0.02345581847004259
Qwen,ordinary_sensitivity,4,1,3,0.1738129518443417
Qwen,ordinary_sensitivity,4,1,4,0.16104270102941753
Qwen,ordinary_sensitivity,4,2,1,-0.02345581847004259
Qwen,ordinary_sensitivity,4,2,2,1.0000000000000002
Qwen,ordinary_sensitivity,4,2,3,0.028174891114209434
Qwen,ordinary_sensitivity,4,2,4,0.18789006037760014
Qwen,ordinary_sensitivity,4,3,1,0.1738129518443417
Qwen,ordinary_sensitivity,4,3,2,0.028174891114209434
Qwen,ordinary_sensitivity,4,3,3,1.0
Qwen,ordinary_sensitivity,4,3,4,0.25228279460631753
Qwen,ordinary_sensitivity,4,4,1,0.16104270102941753
Qwen,ordinary_sensitivity,4,4,2,0.18789006037760014
Qwen,ordinary_sensitivity,4,4,3,0.25228279460631753
Qwen,ordinary_sensitivity,4,4,4,1.0
Qwen,ordinary_sensitivity,5,1,1,1.0000000000000002
Qwen,ordinary_sensitivity,5,1,2,-0.24837341360246692
Qwen,ordinary_sensitivity,5,1,3,0.16433795428318967
Qwen,ordinary_sensitivity,5,1,4,0.2701458125582779
Qwen,ordinary_sensitivity,5,1,5,-0.0943258201839473
Qwen,ordinary_sensitivity,5,2,1,-0.24837341360246692
Qwen,ordinary_sensitivity,5,2,2,1.0000000000000002
Qwen,ordinary_sensitivity,5,2,3,-0.03410925517341593
Qwen,ordinary_sensitivity,5,2,4,-0.0027619110161764006
Qwen,ordinary_sensitivity,5,2,5,-0.4891581251644504
Qwen,ordinary_sensitivity,5,3,1,0.16433795428318967
Qwen,ordinary_sensitivity,5,3,2,-0.03410925517341593
Qwen,ordinary_sensitivity,5,3,3,1.0
Qwen,ordinary_sensitivity,5,3,4,0.26786317214395183
Qwen,ordinary_sensitivity,5,3,5,-0.0790233703550408
Qwen,ordinary_sensitivity,5,4,1,0.2701458125582779
Qwen,ordinary_sensitivity,5,4,2,-0.0027619110161764006
Qwen,ordinary_sensitivity,5,4,3,0.26786317214395183
Qwen,ordinary_sensitivity,5,4,4,1.0000000000000002
Qwen,ordinary_sensitivity,5,4,5,0.059331121239456504
Qwen,ordinary_sensitivity,5,5,1,-0.0943258201839473
Qwen,ordinary_sensitivity,5,5,2,-0.4891581251644504
Qwen,ordinary_sensitivity,5,5,3,-0.0790233703550408
Qwen,ordinary_sensitivity,5,5,4,0.059331121239456504
Qwen,ordinary_sensitivity,5,5,5,1.0000000000000002
Qwen,ordinary_sensitivity,6,1,1,1.0
Qwen,ordinary_sensitivity,6,1,2,0.446800844833102
Qwen,ordinary_sensitivity,6,1,3,0.03115632597434875
Qwen,ordinary_sensitivity,6,1,4,0.32058241572347485
Qwen,ordinary_sensitivity,6,1,5,-0.518249628165973
Qwen,ordinary_sensitivity,6,1,6,-0.25175742637749765
Qwen,ordinary_sensitivity,6,2,1,0.446800844833102
Qwen,ordinary_sensitivity,6,2,2,1.0000000000000004
Qwen,ordinary_sensitivity,6,2,3,0.18589175531999796
Qwen,ordinary_sensitivity,6,2,4,0.22298189135241295
Qwen,ordinary_sensitivity,6,2,5,-0.042379671372706366
Qwen,ordinary_sensitivity,6,2,6,0.30959961706150674
Qwen,ordinary_sensitivity,6,3,1,0.03115632597434875
Qwen,ordinary_sensitivity,6,3,2,0.18589175531999796
Qwen,ordinary_sensitivity,6,3,3,1.0
Qwen,ordinary_sensitivity,6,3,4,0.2649321168277564
Qwen,ordinary_sensitivity,6,3,5,-0.10291941445915548
Qwen,ordinary_sensitivity,6,3,6,-0.007815692508627072
Qwen,ordinary_sensitivity,6,4,1,0.32058241572347485
Qwen,ordinary_sensitivity,6,4,2,0.22298189135241295
Qwen,ordinary_sensitivity,6,4,3,0.2649321168277564
Qwen,ordinary_sensitivity,6,4,4,1.0000000000000002
Qwen,ordinary_sensitivity,6,4,5,-0.10098043170390683
Qwen,ordinary_sensitivity,6,4,6,-0.19569395539432147
Qwen,ordinary_sensitivity,6,5,1,-0.518249628165973
Qwen,ordinary_sensitivity,6,5,2,-0.042379671372706366
Qwen,ordinary_sensitivity,6,5,3,-0.10291941445915548
Qwen,ordinary_sensitivity,6,5,4,-0.10098043170390683
Qwen,ordinary_sensitivity,6,5,5,1.0
Qwen,ordinary_sensitivity,6,5,6,0.3848202006669532
Qwen,ordinary_sensitivity,6,6,1,-0.25175742637749765
Qwen,ordinary_sensitivity,6,6,2,0.30959961706150674
Qwen,ordinary_sensitivity,6,6,3,-0.007815692508627072
Qwen,ordinary_sensitivity,6,6,4,-0.19569395539432147
Qwen,ordinary_sensitivity,6,6,5,0.3848202006669532
Qwen,ordinary_sensitivity,6,6,6,1.0000000000000002
Qwen,ordinary_sensitivity,7,1,1,1.0000000000000002
Qwen,ordinary_sensitivity,7,1,2,0.37588145418384195
Qwen,ordinary_sensitivity,7,1,3,0.20920728483012307
Qwen,ordinary_sensitivity,7,1,4,0.12627311686108447
Qwen,ordinary_sensitivity,7,1,5,0.04092268432488255
Qwen,ordinary_sensitivity,7,1,6,-0.6162629933927811
Qwen,ordinary_sensitivity,7,1,7,0.08962406610757798
Qwen,ordinary_sensitivity,7,2,1,0.37588145418384195
Qwen,ordinary_sensitivity,7,2,2,1.0000000000000002
Qwen,ordinary_sensitivity,7,2,3,0.014327392840365138
Qwen,ordinary_sensitivity,7,2,4,0.20979584936778095
Qwen,ordinary_sensitivity,7,2,5,-0.46412918403719206
Qwen,ordinary_sensitivity,7,2,6,-0.05350473790754978
Qwen,ordinary_sensitivity,7,2,7,-0.23120689310585021
Qwen,ordinary_sensitivity,7,3,1,0.20920728483012307
Qwen,ordinary_sensitivity,7,3,2,0.014327392840365138
Qwen,ordinary_sensitivity,7,3,3,1.0
Qwen,ordinary_sensitivity,7,3,4,0.16031854550836575
Qwen,ordinary_sensitivity,7,3,5,0.12225653151025168
Qwen,ordinary_sensitivity,7,3,6,-0.4627299435200782
Qwen,ordinary_sensitivity,7,3,7,-0.5049555809825637
Qwen,ordinary_sensitivity,7,4,1,0.12627311686108447
Qwen,ordinary_sensitivity,7,4,2,0.20979584936778095
Qwen,ordinary_sensitivity,7,4,3,0.16031854550836575
Qwen,ordinary_sensitivity,7,4,4,1.0000000000000002
Qwen,ordinary_sensitivity,7,4,5,0.013817863280027376
Qwen,ordinary_sensitivity,7,4,6,-0.07101167443986298
Qwen,ordinary_sensitivity,7,4,7,-0.18636135088469985
Qwen,ordinary_sensitivity,7,5,1,0.04092268432488255
Qwen,ordinary_sensitivity,7,5,2,-0.46412918403719206
Qwen,ordinary_sensitivity,7,5,3,0.12225653151025168
Qwen,ordinary_sensitivity,7,5,4,0.013817863280027376
Qwen,ordinary_sensitivity,7,5,5,0.9999999999999997
Qwen,ordinary_sensitivity,7,5,6,-0.20976236706669185
Qwen,ordinary_sensitivity,7,5,7,0.20929345493154125
Qwen,ordinary_sensitivity,7,6,1,-0.6162629933927811
Qwen,ordinary_sensitivity,7,6,2,-0.05350473790754978
Qwen,ordinary_sensitivity,7,6,3,-0.4627299435200782
Qwen,ordinary_sensitivity,7,6,4,-0.07101167443986298
Qwen,ordinary_sensitivity,7,6,5,-0.20976236706669185
Qwen,ordinary_sensitivity,7,6,6,1.0000000000000002
Qwen,ordinary_sensitivity,7,6,7,-0.03088221594093565
Qwen,ordinary_sensitivity,7,7,1,0.08962406610757798
Qwen,ordinary_sensitivity,7,7,2,-0.23120689310585021
Qwen,ordinary_sensitivity,7,7,3,-0.5049555809825637
Qwen,ordinary_sensitivity,7,7,4,-0.18636135088469985
Qwen,ordinary_sensitivity,7,7,5,0.20929345493154125
Qwen,ordinary_sensitivity,7,7,6,-0.03088221594093565
Qwen,ordinary_sensitivity,7,7,7,1.0
Qwen,ordinary_sensitivity,8,1,1,1.0
Qwen,ordinary_sensitivity,8,1,2,0.35949741145120084
Qwen,ordinary_sensitivity,8,1,3,-0.14966473330947733
Qwen,ordinary_sensitivity,8,1,4,0.28614963571506585
Qwen,ordinary_sensitivity,8,1,5,0.10362586735263651
Qwen,ordinary_sensitivity,8,1,6,-0.5549391176476052
Qwen,ordinary_sensitivity,8,1,7,-0.09665718227128724
Qwen,ordinary_sensitivity,8,1,8,-0.5363452664844715
Qwen,ordinary_sensitivity,8,2,1,0.35949741145120084
Qwen,ordinary_sensitivity,8,2,2,0.9999999999999999
Qwen,ordinary_sensitivity,8,2,3,-0.048037026901132374
Qwen,ordinary_sensitivity,8,2,4,0.1758798251300014
Qwen,ordinary_sensitivity,8,2,5,-0.44828781232453196
Qwen,ordinary_sensitivity,8,2,6,-0.1543453253846593
Qwen,ordinary_sensitivity,8,2,7,-0.3376611073472936
Qwen,ordinary_sensitivity,8,2,8,0.013634128123628022
Qwen,ordinary_sensitivity,8,3,1,-0.14966473330947733
Qwen,ordinary_sensitivity,8,3,2,-0.048037026901132374
Qwen,ordinary_sensitivity,8,3,3,1.0
Qwen,ordinary_sensitivity,8,3,4,0.13926079256590854
Qwen,ordinary_sensitivity,8,3,5,0.06816787860944984
Qwen,ordinary_sensitivity,8,3,6,-0.26616183283321576
Qwen,ordinary_sensitivity,8,3,7,-0.5839850680491867
Qwen,ordinary_sensitivity,8,3,8,-0.1261650922635286
Qwen,ordinary_sensitivity,8,4,1,0.28614963571506585
Qwen,ordinary_sensitivity,8,4,2,0.1758798251300014
Qwen,ordinary_sensitivity,8,4,3,0.13926079256590854
Qwen,ordinary_sensitivity,8,4,4,0.9999999999999999
Qwen,ordinary_sensitivity,8,4,5,0.08324548080253005
Qwen,ordinary_sensitivity,8,4,6,-0.4020090765381655
Qwen,ordinary_sensitivity,8,4,7,-0.18824961470692017
Qwen,ordinary_sensitivity,8,4,8,0.03679981995225081
Qwen,ordinary_sensitivity,8,5,1,0.10362586735263651
Qwen,ordinary_sensitivity,8,5,2,-0.44828781232453196
Qwen,ordinary_sensitivity,8,5,3,0.06816787860944984
Qwen,ordinary_sensitivity,8,5,4,0.08324548080253005
Qwen,ordinary_sensitivity,8,5,5,1.0000000000000002
Qwen,ordinary_sensitivity,8,5,6,-0.20643282431758803
Qwen,ordinary_sensitivity,8,5,7,0.20202080348241958
Qwen,ordinary_sensitivity,8,5,8,-0.246584761500967
Qwen,ordinary_sensitivity,8,6,1,-0.5549391176476052
Qwen,ordinary_sensitivity,8,6,2,-0.1543453253846593
Qwen,ordinary_sensitivity,8,6,3,-0.26616183283321576
Qwen,ordinary_sensitivity,8,6,4,-0.4020090765381655
Qwen,ordinary_sensitivity,8,6,5,-0.20643282431758803
Qwen,ordinary_sensitivity,8,6,6,1.0
Qwen,ordinary_sensitivity,8,6,7,0.23812435681178415
Qwen,ordinary_sensitivity,8,6,8,0.5544764166170936
Qwen,ordinary_sensitivity,8,7,1,-0.09665718227128724
Qwen,ordinary_sensitivity,8,7,2,-0.3376611073472936
Qwen,ordinary_sensitivity,8,7,3,-0.5839850680491867
Qwen,ordinary_sensitivity,8,7,4,-0.18824961470692017
Qwen,ordinary_sensitivity,8,7,5,0.20202080348241958
Qwen,ordinary_sensitivity,8,7,6,0.23812435681178415
Qwen,ordinary_sensitivity,8,7,7,0.9999999999999999
Qwen,ordinary_sensitivity,8,7,8,0.015128014331323486
Qwen,ordinary_sensitivity,8,8,1,-0.5363452664844715
Qwen,ordinary_sensitivity,8,8,2,0.013634128123628022
Qwen,ordinary_sensitivity,8,8,3,-0.1261650922635286
Qwen,ordinary_sensitivity,8,8,4,0.03679981995225081
Qwen,ordinary_sensitivity,8,8,5,-0.246584761500967
Qwen,ordinary_sensitivity,8,8,6,0.5544764166170936
Qwen,ordinary_sensitivity,8,8,7,0.015128014331323486
Qwen,ordinary_sensitivity,8,8,8,1.0000000000000004
Llama,full_shrinkage,4,1,1,0.9999999999999998
Llama,full_shrinkage,4,1,2,0.18855246090847158
Llama,full_shrinkage,4,1,3,-0.24652260102961154
Llama,full_shrinkage,4,1,4,-0.327933134828589
Llama,full_shrinkage,4,2,1,0.18855246090847158
Llama,full_shrinkage,4,2,2,0.9999999999999999
Llama,full_shrinkage,4,2,3,-0.07396038551469623
Llama,full_shrinkage,4,2,4,0.3052518147873767
Llama,full_shrinkage,4,3,1,-0.24652260102961154
Llama,full_shrinkage,4,3,2,-0.07396038551469623
Llama,full_shrinkage,4,3,3,1.0
Llama,full_shrinkage,4,3,4,0.1484312763234718
Llama,full_shrinkage,4,4,1,-0.327933134828589
Llama,full_shrinkage,4,4,2,0.3052518147873767
Llama,full_shrinkage,4,4,3,0.1484312763234718
Llama,full_shrinkage,4,4,4,0.9999999999999999
Llama,full_shrinkage,5,1,1,1.0000000000000002
Llama,full_shrinkage,5,1,2,0.17670476106518482
Llama,full_shrinkage,5,1,3,-0.2032676271678476
Llama,full_shrinkage,5,1,4,-0.2005075938782026
Llama,full_shrinkage,5,1,5,-0.11458584785825299
Llama,full_shrinkage,5,2,1,0.17670476106518482
Llama,full_shrinkage,5,2,2,1.0000000000000002
Llama,full_shrinkage,5,2,3,-0.11335986558558987
Llama,full_shrinkage,5,2,4,0.3713688025562302
Llama,full_shrinkage,5,2,5,0.09965026538316313
Llama,full_shrinkage,5,3,1,-0.2032676271678476
Llama,full_shrinkage,5,3,2,-0.11335986558558987
Llama,full_shrinkage,5,3,3,1.0000000000000002
Llama,full_shrinkage,5,3,4,-0.015197114258506656
Llama,full_shrinkage,5,3,5,0.27284355031119156
Llama,full_shrinkage,5,4,1,-0.2005075938782026
Llama,full_shrinkage,5,4,2,0.3713688025562302
Llama,full_shrinkage,5,4,3,-0.015197114258506656
Llama,full_shrinkage,5,4,4,1.0
Llama,full_shrinkage,5,4,5,0.1730314221471225
Llama,full_shrinkage,5,5,1,-0.11458584785825299
Llama,full_shrinkage,5,5,2,0.09965026538316313
Llama,full_shrinkage,5,5,3,0.27284355031119156
Llama,full_shrinkage,5,5,4,0.1730314221471225
Llama,full_shrinkage,5,5,5,1.0000000000000002
Llama,full_shrinkage,6,1,1,0.9999999999999999
Llama,full_shrinkage,6,1,2,0.235442507489315
Llama,full_shrinkage,6,1,3,-0.1356416843317573
Llama,full_shrinkage,6,1,4,0.13647838436187634
Llama,full_shrinkage,6,1,5,0.015858235061709334
Llama,full_shrinkage,6,1,6,0.4901216906461506
Llama,full_shrinkage,6,2,1,0.235442507489315
Llama,full_shrinkage,6,2,2,0.9999999999999999
Llama,full_shrinkage,6,2,3,0.009633040798121998
Llama,full_shrinkage,6,2,4,0.37083786701831734
Llama,full_shrinkage,6,2,5,-0.2246034322649331
Llama,full_shrinkage,6,2,6,-0.08724817016199345
Llama,full_shrinkage,6,3,1,-0.1356416843317573
Llama,full_shrinkage,6,3,2,0.009633040798121998
Llama,full_shrinkage,6,3,3,1.0
Llama,full_shrinkage,6,3,4,-0.07740470732508628
Llama,full_shrinkage,6,3,5,0.14977907691198156
Llama,full_shrinkage,6,3,6,-0.31184411964513997
Llama,full_shrinkage,6,4,1,0.13647838436187634
Llama,full_shrinkage,6,4,2,0.37083786701831734
Llama,full_shrinkage,6,4,3,-0.07740470732508628
Llama,full_shrinkage,6,4,4,0.9999999999999999
Llama,full_shrinkage,6,4,5,-0.2627105641460049
Llama,full_shrinkage,6,4,6,-0.18105923372623603
Llama,full_shrinkage,6,5,1,0.015858235061709334
Llama,full_shrinkage,6,5,2,-0.2246034322649331
Llama,full_shrinkage,6,5,3,0.14977907691198156
Llama,full_shrinkage,6,5,4,-0.2627105641460049
Llama,full_shrinkage,6,5,5,1.0
Llama,full_shrinkage,6,5,6,0.019366571855742903
Llama,full_shrinkage,6,6,1,0.4901216906461506
Llama,full_shrinkage,6,6,2,-0.08724817016199345
Llama,full_shrinkage,6,6,3,-0.31184411964513997
Llama,full_shrinkage,6,6,4,-0.18105923372623603
Llama,full_shrinkage,6,6,5,0.019366571855742903
Llama,full_shrinkage,6,6,6,1.0
Llama,full_shrinkage,7,1,1,1.0
Llama,full_shrinkage,7,1,2,0.31990946450448066
Llama,full_shrinkage,7,1,3,-0.08566515457883032
