model,variant,factors,offdiag_residual_rms,residual_offdiag_p95_abs,residual_offdiag_max_abs,heldout_gaussian_loglik_mean,min_uniqueness,mean_communality,shrinkage_alpha,retained_by_parallel,primary_loading_mean_abs_congruence,represented_traits
Llama,full_shrinkage,4,0.04445983414610797,0.0892890551909902,0.4917842720942911,-64.86113161149528,0.034713554263837154,0.8643927440370021,0.024413781737158503,False,,
Llama,full_shrinkage,5,0.027604467131554858,0.0567129018646187,0.3359030119605808,-32.059839618661634,0.03352521162777378,0.9001604488699428,0.024413781737158503,False,,
Llama,full_shrinkage,6,0.016717313369382505,0.03331098412676006,0.20207410796657777,-2.0746078237455663,0.02949288660091176,0.9227621552043298,0.024413781737158503,True,,
Llama,full_shrinkage,7,0.01115595711625221,0.022611745744007077,0.18769136872704772,17.942560843986474,0.026773149689236275,0.9356975187289821,0.024413781737158503,False,,
Llama,full_shrinkage,8,0.008281430496936436,0.016626222495825984,0.1684869177021437,32.44765287838327,0.026813876532169933,0.943508784039842,0.024413781737158503,False,,
Llama,full_shrinkage,9,0.00613759671845118,0.012271781241128847,0.11745099105513657,42.84507123417465,0.026886839037080335,0.9493727819894584,0.024413781737158503,False,,
Llama,ordinary_sensitivity,4,0.045572429492981674,0.09152348969412341,0.5040910407406021,-54.22178353211532,0.010557521553852478,0.8860239391001377,0.0,False,,
Llama,ordinary_sensitivity,5,0.028295261469261233,0.058132126922076914,0.34430889414866345,-16.43919781526826,0.00933944096418382,0.9226867210911048,0.0,False,,
Llama,ordinary_sensitivity,6,0.017135659623349193,0.03414458251061377,0.2071309579988697,21.419732536088816,0.005206208091557585,0.9458540290251187,0.0,True,0.9999295505395795,
Llama,ordinary_sensitivity,7,0.011435132194849183,0.023177579327447927,0.19238814787112946,48.80851300662167,0.005,0.9591126794942019,0.0,False,,
Llama,ordinary_sensitivity,8,0.008488671576329718,0.017042263845569623,0.1727036486189616,71.60234853451928,0.005,0.9671191958579618,0.0,False,,
Llama,ordinary_sensitivity,9,0.006291189475412144,0.012578425239451402,0.12038861733502954,85.91584448912243,0.005,0.9731294557186413,0.0,False,,
Llama,redundancy_controlled,6,0.016780233049613232,,,,,0.9225155087842571,0.02440683464956858,,0.999929907776156,237.0
Llama,varimax_orthogonal,6,0.016717313369382505,0.033310984126759965,0.20207410796657788,,,0.92276215520433,0.024413781737158503,,,
Gemma,full_shrinkage,4,0.0368321130670091,0.07354715366097281,0.5889605368918519,-41.71363291831534,0.025736101341934825,0.8847697594559307,0.014947331360658341,False,,
Gemma,full_shrinkage,5,0.024926172816017087,0.04803899823488228,0.511861612131818,-16.554039568592685,0.022097531786608116,0.9127402769438577,0.014947331360658341,False,,
Gemma,full_shrinkage,6,0.016982321166871914,0.0333286449611258,0.28875115421593045,12.804912397367028,0.01836355340884377,0.9315409155512978,0.014947331360658341,True,,
Gemma,full_shrinkage,7,0.011477018742327783,0.023758864582636194,0.1491314339177016,34.32231481703304,0.017216044751743764,0.9447417554569698,0.014947331360658341,False,,
Gemma,full_shrinkage,8,0.009307377103179212,0.018956782157968893,0.13833517940193496,49.81590931406013,0.01713892809804851,0.9518306429734351,0.014947331360658341,False,,
Gemma,full_shrinkage,9,0.00676278771296124,0.013287912570957952,0.135174946000845,69.4470063659832,0.016663961858046528,0.9585217310076684,0.014947331360658341,False,,
Gemma,ordinary_sensitivity,4,0.03739100886644516,0.0746631687853411,0.59789750908127,-36.049451292721564,0.01095248033405738,0.8981953834794172,0.0,False,,
Gemma,ordinary_sensitivity,5,0.02530440615977188,0.048767948926748274,0.5196286741209827,-10.121220180658133,0.007258698600107749,0.9265903296375683,0.0,False,,
Gemma,ordinary_sensitivity,6,0.01724001340362683,0.03383434813272967,0.2931317402675966,25.445743833639778,0.005,0.9456761186519366,0.0,True,0.9999999001659005,
Gemma,ordinary_sensitivity,7,0.011651172919700754,0.024119600502940437,0.15139399431310563,51.506535246681324,0.005,0.9590770747806368,0.0,False,,
Gemma,ordinary_sensitivity,8,0.009448608986773325,0.01924322960443921,0.14043508865561927,71.6007963713195,0.005,0.9662732637312256,0.0,False,,
Gemma,ordinary_sensitivity,9,0.006865409179088441,0.013489809825737612,0.13722544370647288,99.60365745438047,0.005,0.973064802014653,0.0,False,,
Gemma,redundancy_controlled,6,0.017067302060878597,,,,,0.9313235264075975,0.014942113916373173,,0.9997452487386109,238.0
Gemma,varimax_orthogonal,6,0.01698232116687191,0.033328644961125906,0.2887511542159307,,,0.9315409155512976,0.014947331360658341,,,
