model,model_label,persona,present,cluster,pc1,pc2,pc3,pc1_percentile,pc2_percentile,pc3_percentile,pc2_rank,pc3_rank,pc2_global_side,pc2_cluster_side
qwen,Qwen/Qwen3-32B,merchant,yes,procedural_professional,-2.0276289168582355,-7.980796313797282,2.930993308191389,45.63636363636363,38.0,59.09090909090909,171,113,below_median,below_cluster_median
qwen,Qwen/Qwen3-32B,symbiont,yes,procedural_professional,6.654007830790157,-11.553818243534879,-9.936103794373686,54.72727272727273,30.0,25.272727272727273,193,206,below_median,below_cluster_median
qwen,Qwen/Qwen3-32B,visionary,yes,procedural_professional,1.0578425385010186,-7.986157717870165,1.517624928108033,49.63636363636363,37.63636363636363,54.72727272727273,172,125,below_median,below_cluster_median
qwen,Qwen/Qwen3-32B,traditionalist,yes,procedural_professional,2.384568475987313,-26.883152227715,-6.6922188948600985,50.72727272727273,10.363636363636363,32.18181818181818,247,187,below_median,below_cluster_median
qwen,Qwen/Qwen3-32B,purist,yes,procedural_professional,2.7065098789810307,-29.726927779493483,10.257805473916719,51.81818181818182,7.090909090909091,76.54545454545455,256,65,below_median,below_cluster_median
qwen,Qwen/Qwen3-32B,composer,yes,procedural_professional,1.7742423363116884,-17.582766266372563,-4.900927739749,50.36363636363637,18.727272727272727,37.27272727272727,224,173,below_median,below_cluster_median
llama,Llama-3.3-70B,shapeshifter,yes,grounded_social,-0.7870718178516641,-0.07807619067608572,0.12109902709481786,20.545454545454547,56.54545454545455,55.45454545454545,120,123,above_median,below_cluster_median
llama,Llama-3.3-70B,chameleon,yes,grounded_social,0.1771240793980488,0.2265000873530963,-0.17709013425025996,39.45454545454545,66.72727272727273,34.72727272727273,92,180,above_median,below_cluster_median
llama,Llama-3.3-70B,tree,yes,mythic_spiritual,-2.568836117453006,0.27191758825434115,0.23691825035267755,4.181818181818182,68.54545454545455,64.9090909090909,87,97,above_median,above_cluster_median
llama,Llama-3.3-70B,hive,yes,procedural_professional,-0.8601345427596212,-0.9433784452092737,0.8259997580895091,19.454545454545453,13.636363636363637,95.0909090909091,238,14,below_median,below_cluster_median
llama,Llama-3.3-70B,elder,yes,mythic_spiritual,-0.29563284856690814,0.45290029859668013,-1.0669334748868766,28.181818181818183,73.63636363636364,5.2727272727272725,73,261,above_median,above_cluster_median
llama,Llama-3.3-70B,patient,yes,grounded_social,1.3418099723184935,0.805765337598589,-0.6817266204925895,97.63636363636364,81.63636363636364,17.636363636363637,51,227,above_median,above_cluster_median
llama,Llama-3.3-70B,amateur,yes,grounded_social,1.469316356802971,1.2006206098097614,-0.8760711344890302,98.36363636363636,87.0909090909091,12.545454545454545,36,241,above_median,above_cluster_median
llama,Llama-3.3-70B,philosopher,yes,procedural_professional,-0.8182147202329437,-0.9689170673982378,-0.18940349153192498,19.818181818181817,12.181818181818182,33.27272727272727,242,184,below_median,below_cluster_median
llama,Llama-3.3-70B,tulpa,yes,grounded_social,-0.34117690802134665,-0.24991807424377163,0.01851933424966226,27.454545454545453,51.81818181818182,47.81818181818182,133,144,above_median,below_cluster_median
llama,Llama-3.3-70B,actor,yes,grounded_social,-0.4381272629496681,0.7291971371913002,-0.3903650164959629,25.636363636363637,79.45454545454545,27.09090909090909,57,201,above_median,above_cluster_median
llama,Llama-3.3-70B,caregiver,yes,grounded_social,0.561708969541495,-0.28550676912445583,-0.9403702777710465,59.81818181818182,50.36363636363637,10.363636363636363,137,247,above_median,below_cluster_median
llama,Llama-3.3-70B,healer,yes,procedural_professional,-0.2607755906735726,-0.8102843994461634,-0.7451787889854704,30.0,22.0,16.181818181818183,215,231,below_median,below_cluster_median
llama,Llama-3.3-70B,guardian,yes,procedural_professional,0.19703203531564334,-0.6375316642131985,-0.25121647270753505,40.90909090909091,36.54545454545455,31.818181818181817,175,188,below_median,above_cluster_median
llama,Llama-3.3-70B,optimist,yes,grounded_social,0.6433401647130208,-0.12162182511671574,-1.0052641068225716,63.09090909090909,55.45454545454545,8.181818181818182,123,253,above_median,below_cluster_median
llama,Llama-3.3-70B,workaholic,yes,combative_iconoclast,1.245866853529479,1.572229545370005,0.4181716516635811,95.45454545454545,91.45454545454545,75.45454545454545,24,68,above_median,above_cluster_median
llama,Llama-3.3-70B,blogger,yes,grounded_social,0.46770949586531535,-0.11694623501913681,-0.695814382142663,55.09090909090909,55.81818181818182,17.272727272727273,122,228,above_median,below_cluster_median
llama,Llama-3.3-70B,podcaster,yes,grounded_social,0.5867872962666056,-0.016548965323587343,-0.8109577021038014,60.18181818181818,58.0,13.636363636363637,116,238,above_median,below_cluster_median
llama,Llama-3.3-70B,influencer,yes,combative_iconoclast,1.2057870123907861,0.2934647282109348,-0.5904231377665612,94.36363636363636,70.36363636363636,20.90909090909091,82,218,above_median,below_cluster_median
llama,Llama-3.3-70B,merchant,yes,procedural_professional,0.39140156801083525,-0.3775837807139328,-0.05381033204742206,51.45454545454545,46.72727272727273,42.0,147,160,below_median,above_cluster_median
llama,Llama-3.3-70B,symbiont,yes,procedural_professional,-0.2937500441881813,-0.9054232512510132,0.20820923901083954,28.545454545454547,16.181818181818183,62.72727272727273,231,103,below_median,below_cluster_median
llama,Llama-3.3-70B,visionary,yes,procedural_professional,-0.12165117281783726,-0.8263392774143262,-0.2964933654955922,32.54545454545455,20.545454545454547,31.09090909090909,219,190,below_median,below_cluster_median
llama,Llama-3.3-70B,traditionalist,yes,procedural_professional,-0.4813754104805055,0.0781224833856723,-0.6226651708931692,24.90909090909091,61.27272727272727,19.454545454545453,107,222,above_median,above_cluster_median
llama,Llama-3.3-70B,purist,yes,procedural_professional,-0.7562147015496778,0.16051699869069377,-0.4171948613986477,21.272727272727273,64.54545454545455,25.272727272727273,98,206,above_median,above_cluster_median
llama,Llama-3.3-70B,composer,yes,procedural_professional,-0.5651185795177341,-0.4358927902825421,-0.1206415739721811,23.818181818181817,46.0,38.36363636363637,149,170,below_median,above_cluster_median
gemma,Gemma-2-27B,shapeshifter,yes,grounded_social,-404.9927681929335,-156.0316461549659,-2.2043834176234163,23.09090909090909,41.27272727272727,51.09090909090909,162,135,below_median,below_cluster_median
gemma,Gemma-2-27B,chameleon,yes,grounded_social,-56.32011649429058,181.40050919483315,-129.96089157431018,41.27272727272727,76.9090909090909,28.545454545454547,64,197,above_median,below_cluster_median
gemma,Gemma-2-27B,tree,yes,mythic_spiritual,-1082.5249937756976,-443.3896669453567,-347.9385332652396,1.2727272727272727,5.636363636363637,4.909090909090909,260,262,below_median,below_cluster_median
gemma,Gemma-2-27B,hive,yes,procedural_professional,-233.72789881208644,-468.464007853007,190.33258449891377,33.27272727272727,3.4545454545454546,82.0,266,50,below_median,below_cluster_median
gemma,Gemma-2-27B,elder,yes,mythic_spiritual,-456.40914112010284,43.833507239831214,-358.64421588308,21.272727272727273,68.9090909090909,4.181818181818182,86,264,above_median,above_cluster_median
gemma,Gemma-2-27B,patient,yes,grounded_social,215.50863383366956,477.82299992205463,-230.63660186869757,57.63636363636363,84.9090909090909,13.636363636363637,42,238,above_median,above_cluster_median
gemma,Gemma-2-27B,amateur,yes,grounded_social,235.94905768366652,690.7321151072927,-353.8189988514803,59.45454545454545,93.63636363636364,4.545454545454546,18,263,above_median,above_cluster_median
gemma,Gemma-2-27B,philosopher,yes,procedural_professional,-167.78054653850512,-386.2696107717897,204.04426852348618,35.81818181818182,10.363636363636363,82.72727272727273,247,48,below_median,below_cluster_median
gemma,Gemma-2-27B,tulpa,yes,grounded_social,36.85690957411876,-52.05643300656372,-58.27036634488288,48.18181818181818,60.18181818181818,38.36363636363637,110,170,above_median,below_cluster_median
gemma,Gemma-2-27B,actor,yes,grounded_social,-275.7830245215384,247.03600589969275,21.535128099463495,30.363636363636363,78.36363636363636,58.0,60,116,above_median,below_cluster_median
gemma,Gemma-2-27B,caregiver,yes,grounded_social,310.44845917307504,35.009170119375064,-508.3027444900995,64.18181818181819,67.81818181818181,2.0,89,270,above_median,below_cluster_median
gemma,Gemma-2-27B,healer,yes,procedural_professional,2.0471661115041164,-395.2317825752912,-386.9121165760314,44.90909090909091,8.909090909090908,3.4545454545454546,251,266,below_median,below_cluster_median
gemma,Gemma-2-27B,guardian,yes,procedural_professional,218.4828906354056,-240.8693076002931,-49.61320647807467,58.0,26.363636363636363,42.0,203,160,below_median,below_cluster_median
gemma,Gemma-2-27B,optimist,yes,grounded_social,243.2068439220605,217.03552174465614,-297.6771324606978,59.81818181818182,77.63636363636364,7.454545454545454,62,255,above_median,below_cluster_median
gemma,Gemma-2-27B,workaholic,yes,combative_iconoclast,-17.192355768420384,525.1087893082706,714.9426812697313,43.45454545454545,88.54545454545455,99.45454545454545,32,2,above_median,above_cluster_median
gemma,Gemma-2-27B,blogger,yes,grounded_social,96.49561485608679,170.37937533318188,-140.68131301497627,51.45454545454545,76.18181818181819,26.0,66,204,above_median,below_cluster_median
gemma,Gemma-2-27B,podcaster,yes,grounded_social,305.01897642350207,146.41661424866246,-106.81263122482893,63.81818181818182,75.0909090909091,32.90909090909091,69,185,above_median,below_cluster_median
gemma,Gemma-2-27B,influencer,yes,combative_iconoclast,367.7304870359694,486.7963689808767,-122.62480138698905,68.18181818181819,85.27272727272727,30.363636363636363,41,192,above_median,below_cluster_median
gemma,Gemma-2-27B,merchant,yes,procedural_professional,24.134498354022437,-39.37833518053022,-77.46618368247299,46.36363636363637,62.36363636363637,35.09090909090909,104,179,above_median,above_cluster_median
gemma,Gemma-2-27B,symbiont,yes,procedural_professional,103.73818010404847,-283.6304668311367,-40.72804639311377,52.18181818181818,18.363636363636363,46.0,225,149,below_median,below_cluster_median
gemma,Gemma-2-27B,visionary,yes,procedural_professional,-72.83478607207067,-235.25282111467214,79.4006334557289,40.90909090909091,27.818181818181817,67.81818181818181,199,89,below_median,below_cluster_median
gemma,Gemma-2-27B,traditionalist,yes,procedural_professional,-320.1375809319395,-201.74429702310533,12.375812415985854,28.181818181818183,32.90909090909091,55.09090909090909,185,124,below_median,below_cluster_median
gemma,Gemma-2-27B,purist,yes,procedural_professional,-369.83043445288877,-250.42000932112322,346.8409288884161,24.90909090909091,25.636363636363637,91.0909090909091,205,25,below_median,below_cluster_median
gemma,Gemma-2-27B,composer,yes,procedural_professional,1.0692011529746026,-281.48812686383474,12.809697252722518,44.54545454545455,19.454545454545453,55.81818181818182,222,122,below_median,below_cluster_median
