model,model_label,band,pc1_lower_bound,pc1_upper_bound,selected_count,rank_pc2_desc,persona,cluster,pc1,pc2,pc3,pc2_percentile
qwen,Qwen/Qwen3-32B,central_45_55,-2.74795414406661,6.917357364584232,27,13,devils_advocate,combative_iconoclast,6.519322027305545,7.660096500792038,21.460076417961663,68.9090909090909
qwen,Qwen/Qwen3-32B,central_45_55,-2.74795414406661,6.917357364584232,27,14,spy,procedural_professional,0.7214741115779828,2.5354264915866556,32.136985841056756,61.63636363636363
qwen,Qwen/Qwen3-32B,central_45_55,-2.74795414406661,6.917357364584232,27,15,saboteur,combative_iconoclast,5.936886772954906,-0.7753230925166177,34.773661684346216,55.81818181818182
qwen,Qwen/Qwen3-32B,central_45_55,-2.74795414406661,6.917357364584232,27,16,writer,procedural_professional,4.197414687597953,-2.1361915091758235,-6.619327301084641,53.27272727272727
qwen,Qwen/Qwen3-32B,central_45_55,-2.74795414406661,6.917357364584232,27,17,sommelier,procedural_professional,-0.15503864043964968,-5.315890184241999,-4.982649756015298,44.54545454545455
qwen,Qwen/Qwen3-32B,central_45_55,-2.74795414406661,6.917357364584232,27,18,guardian,procedural_professional,5.5557690892492975,-6.861264614395859,-13.004052280196337,40.18181818181818
qwen,Qwen/Qwen3-32B,central_45_55,-2.74795414406661,6.917357364584232,27,19,merchant,procedural_professional,-2.0276289168582355,-7.980796313797282,2.930993308191389,38.0
qwen,Qwen/Qwen3-32B,central_45_55,-2.74795414406661,6.917357364584232,27,20,visionary,procedural_professional,1.0578425385010186,-7.986157717870165,1.517624928108033,37.63636363636363
qwen,Qwen/Qwen3-32B,central_45_55,-2.74795414406661,6.917357364584232,27,21,symbiont,procedural_professional,6.654007830790157,-11.553818243534879,-9.936103794373686,30.0
qwen,Qwen/Qwen3-32B,central_45_55,-2.74795414406661,6.917357364584232,27,22,healer,procedural_professional,-1.7608819321753464,-11.560647961526072,-34.34542969608257,29.636363636363637
qwen,Qwen/Qwen3-32B,central_45_55,-2.74795414406661,6.917357364584232,27,23,composer,procedural_professional,1.7742423363116884,-17.582766266372563,-4.900927739749,18.727272727272727
qwen,Qwen/Qwen3-32B,central_45_55,-2.74795414406661,6.917357364584232,27,24,traditionalist,procedural_professional,2.384568475987313,-26.883152227715,-6.6922188948600985,10.363636363636363
qwen,Qwen/Qwen3-32B,central_45_55,-2.74795414406661,6.917357364584232,27,25,purist,procedural_professional,2.7065098789810307,-29.726927779493483,10.257805473916719,7.090909090909091
qwen,Qwen/Qwen3-32B,central_45_55,-2.74795414406661,6.917357364584232,27,26,philosopher,procedural_professional,5.320794731164289,-30.943900246516066,3.9552506473479645,6.0
qwen,Qwen/Qwen3-32B,central_45_55,-2.74795414406661,6.917357364584232,27,27,hive,procedural_professional,2.429805286001851,-32.680856318341775,4.70835281649733,4.181818181818182
llama,Llama-3.3-70B,central_45_55,0.25251236346400946,0.46532555162206707,27,1,caveman,trickster_chaos,0.31809871473299195,4.237359125024927,3.083970104371442,99.81818181818181
llama,Llama-3.3-70B,central_45_55,0.25251236346400946,0.46532555162206707,27,2,pirate,trickster_chaos,0.27910857549470836,2.536766412643802,0.3523458721176361,97.63636363636364
llama,Llama-3.3-70B,central_45_55,0.25251236346400946,0.46532555162206707,27,3,vigilante,grounded_social,0.2993619942066202,1.0887269802554078,-0.4065187690922426,86.0
llama,Llama-3.3-70B,central_45_55,0.25251236346400946,0.46532555162206707,27,4,widow,grounded_social,0.44306616562511597,0.7299108493597524,-1.2783350486301017,79.81818181818181
llama,Llama-3.3-70B,central_45_55,0.25251236346400946,0.46532555162206707,27,5,hacker,combative_iconoclast,0.4118042092136099,0.3063287862143571,0.29259466129945844,70.72727272727273
llama,Llama-3.3-70B,central_45_55,0.25251236346400946,0.46532555162206707,27,6,survivor,grounded_social,0.26798673809043877,0.22867407503009096,-1.226495044199627,67.0909090909091
llama,Llama-3.3-70B,central_45_55,0.25251236346400946,0.46532555162206707,27,7,devils_advocate,combative_iconoclast,0.3016567641942839,-0.19154767201115652,-0.0013338525617213124,54.36363636363637
llama,Llama-3.3-70B,central_45_55,0.25251236346400946,0.46532555162206707,27,8,merchant,procedural_professional,0.39140156801083525,-0.3775837807139328,-0.05381033204742206,46.72727272727273
llama,Llama-3.3-70B,central_45_55,0.25251236346400946,0.46532555162206707,27,9,scout,procedural_professional,0.45156112467536236,-0.45597247736900676,0.1505382203798488,44.54545454545455
llama,Llama-3.3-70B,central_45_55,0.25251236346400946,0.46532555162206707,27,10,altruist,procedural_professional,0.28343889265729094,-0.5359889214618699,-0.9165171746055543,42.36363636363637
llama,Llama-3.3-70B,central_45_55,0.25251236346400946,0.46532555162206707,27,11,chemist,procedural_professional,0.37423196684863147,-0.6365343850944808,0.5357516809317611,36.90909090909091
llama,Llama-3.3-70B,central_45_55,0.25251236346400946,0.46532555162206707,27,12,robot,procedural_professional,0.36286268327957105,-0.6985602336426748,1.6515165830688647,32.90909090909091
llama,Llama-3.3-70B,central_45_55,0.25251236346400946,0.46532555162206707,27,13,navigator,procedural_professional,0.4192133124341518,-0.7110618354962697,0.1631385103644232,32.18181818181818
llama,Llama-3.3-70B,central_45_55,0.25251236346400946,0.46532555162206707,27,14,guide,procedural_professional,0.4515405280589149,-0.7301358965840786,-0.033918038605378883,30.0
llama,Llama-3.3-70B,central_45_55,0.25251236346400946,0.46532555162206707,27,15,cartographer,procedural_professional,0.25580571005353053,-0.739925110479929,0.20094748847992794,29.272727272727273
llama,Llama-3.3-70B,central_45_55,0.25251236346400946,0.46532555162206707,27,16,translator,editorial,0.3338519492539823,-0.7769729223523145,0.11470254073062333,27.454545454545453
llama,Llama-3.3-70B,central_45_55,0.25251236346400946,0.46532555162206707,27,17,biologist,procedural_professional,0.2922491414107373,-0.7847483736901877,0.3618241702140328,25.272727272727273
llama,Llama-3.3-70B,central_45_55,0.25251236346400946,0.46532555162206707,27,18,conservator,procedural_professional,0.37758872050474535,-0.7987582638295899,-0.012867948216854557,23.09090909090909
llama,Llama-3.3-70B,central_45_55,0.25251236346400946,0.46532555162206707,27,19,archivist,procedural_professional,0.3301524446009524,-0.8036906543090461,0.05116316559219508,22.727272727272727
llama,Llama-3.3-70B,central_45_55,0.25251236346400946,0.46532555162206707,27,20,judge,procedural_professional,0.2628727191388767,-0.8585986159738709,0.27355827633470053,18.727272727272727
llama,Llama-3.3-70B,central_45_55,0.25251236346400946,0.46532555162206707,27,21,geographer,procedural_professional,0.4543053391743094,-0.8843410848358151,0.23363289964561348,16.545454545454547
llama,Llama-3.3-70B,central_45_55,0.25251236346400946,0.46532555162206707,27,22,ambassador,procedural_professional,0.45976301505448736,-0.9095806951452854,0.022787514503534702,15.454545454545455
llama,Llama-3.3-70B,central_45_55,0.25251236346400946,0.46532555162206707,27,23,observer,procedural_professional,0.39858787073192675,-0.9583995220635996,0.4018253280689758,13.272727272727273
llama,Llama-3.3-70B,central_45_55,0.25251236346400946,0.46532555162206707,27,24,anthropologist,procedural_professional,0.3325376460544763,-0.9974417710314125,0.022396135029884974,9.636363636363637
llama,Llama-3.3-70B,central_45_55,0.25251236346400946,0.46532555162206707,27,25,generalist,procedural_professional,0.4084629858365538,-1.0034600425834317,0.3766314808826843,8.545454545454545
llama,Llama-3.3-70B,central_45_55,0.25251236346400946,0.46532555162206707,27,26,interpreter,procedural_professional,0.35908443758450137,-1.0223631686374066,0.09258670668060079,7.818181818181818
llama,Llama-3.3-70B,central_45_55,0.25251236346400946,0.46532555162206707,27,27,futurist,procedural_professional,0.36706160865695664,-1.0726462087138315,0.38171695272324485,4.909090909090909
gemma,Gemma-2-27B,central_45_55,3.0907164693504194,157.69287377267761,27,1,procrastinator,other,114.41780272259498,1348.6324974898978,225.17795074280602,99.81818181818181
gemma,Gemma-2-27B,central_45_55,3.0907164693504194,157.69287377267761,27,2,competitor,combative_iconoclast,54.714041928433645,664.3774134136894,538.2777921479019,92.54545454545455
gemma,Gemma-2-27B,central_45_55,3.0907164693504194,157.69287377267761,27,3,bartender,grounded_social,79.04605376243187,603.1256133457381,-173.07271594913533,91.0909090909091
gemma,Gemma-2-27B,central_45_55,3.0907164693504194,157.69287377267761,27,4,gamer,combative_iconoclast,100.49925204340104,581.3489127720469,199.5536366729526,90.0
gemma,Gemma-2-27B,central_45_55,3.0907164693504194,157.69287377267761,27,5,retiree,grounded_social,62.22508071710129,575.8503682113045,-195.84066482232438,89.63636363636364
gemma,Gemma-2-27B,central_45_55,3.0907164693504194,157.69287377267761,27,6,divorcee,grounded_social,140.8743134114306,573.471240757008,-153.53997045309404,89.27272727272727
gemma,Gemma-2-27B,central_45_55,3.0907164693504194,157.69287377267761,27,7,veteran,grounded_social,153.71889188350582,499.29277612266395,9.292427204696935,86.72727272727273
gemma,Gemma-2-27B,central_45_55,3.0907164693504194,157.69287377267761,27,8,celebrity,grounded_social,134.1908831430706,487.4791610009525,1.0459786409638543,85.63636363636364
gemma,Gemma-2-27B,central_45_55,3.0907164693504194,157.69287377267761,27,9,contrarian,combative_iconoclast,15.889997238623508,251.64260958368652,500.3344109631085,78.72727272727273
gemma,Gemma-2-27B,central_45_55,3.0907164693504194,157.69287377267761,27,10,blogger,grounded_social,96.49561485608679,170.37937533318188,-140.68131301497627,76.18181818181819
gemma,Gemma-2-27B,central_45_55,3.0907164693504194,157.69287377267761,27,11,spy,procedural_professional,48.72151962120599,161.7406525802408,448.7077446210185,75.45454545454545
gemma,Gemma-2-27B,central_45_55,3.0907164693504194,157.69287377267761,27,12,saboteur,combative_iconoclast,34.02274812561234,115.23010844502664,563.1221691275244,74.0
gemma,Gemma-2-27B,central_45_55,3.0907164693504194,157.69287377267761,27,13,playwright,grounded_social,5.52566730432516,66.56222365834866,7.40838552129409,70.36363636363636
gemma,Gemma-2-27B,central_45_55,3.0907164693504194,157.69287377267761,27,14,prodigy,procedural_professional,55.90981999026521,-17.48574514838847,145.80740115238885,64.9090909090909
gemma,Gemma-2-27B,central_45_55,3.0907164693504194,157.69287377267761,27,15,merchant,procedural_professional,24.134498354022437,-39.37833518053022,-77.46618368247299,62.36363636363637
gemma,Gemma-2-27B,central_45_55,3.0907164693504194,157.69287377267761,27,16,tulpa,grounded_social,36.85690957411876,-52.05643300656372,-58.27036634488288,60.18181818181818
gemma,Gemma-2-27B,central_45_55,3.0907164693504194,157.69287377267761,27,17,anarchist,procedural_professional,29.528915181199714,-61.54257326899371,157.02046862413164,59.09090909090909
gemma,Gemma-2-27B,central_45_55,3.0907164693504194,157.69287377267761,27,18,sommelier,procedural_professional,73.1778369587185,-96.76404963637381,54.77984585189667,53.63636363636363
gemma,Gemma-2-27B,central_45_55,3.0907164693504194,157.69287377267761,27,19,writer,procedural_professional,69.6144399063047,-108.75603864039672,-42.82353837961745,52.54545454545455
gemma,Gemma-2-27B,central_45_55,3.0907164693504194,157.69287377267761,27,20,perfectionist,procedural_professional,119.21961430075689,-112.92732380418636,476.85664592968004,51.09090909090909
gemma,Gemma-2-27B,central_45_55,3.0907164693504194,157.69287377267761,27,21,cosmopolitan,procedural_professional,34.24130611051142,-119.49020186023316,-51.79395477875572,50.0
gemma,Gemma-2-27B,central_45_55,3.0907164693504194,157.69287377267761,27,22,minimalist,procedural_professional,33.867055959337925,-138.82897146858429,-128.17183103379256,46.36363636363637
gemma,Gemma-2-27B,central_45_55,3.0907164693504194,157.69287377267761,27,23,destroyer,combative_iconoclast,15.883059063831162,-138.98482777299756,367.8350217356011,46.0
gemma,Gemma-2-27B,central_45_55,3.0907164693504194,157.69287377267761,27,24,archaeologist,procedural_professional,57.16588688200539,-152.31102247658572,11.169838176174588,42.36363636363637
gemma,Gemma-2-27B,central_45_55,3.0907164693504194,157.69287377267761,27,25,collector,procedural_professional,123.11887072391475,-192.49822155029054,62.04761852772949,34.72727272727273
gemma,Gemma-2-27B,central_45_55,3.0907164693504194,157.69287377267761,27,26,symbiont,procedural_professional,103.73818010404847,-283.6304668311367,-40.72804639311377,18.363636363636363
gemma,Gemma-2-27B,central_45_55,3.0907164693504194,157.69287377267761,27,27,polymath,procedural_professional,143.68646054292236,-301.55717689986477,113.6337544918094,15.454545454545455
