model,model_label,pc,pole,rank,persona,cluster,pc1,pc2,pc3,pc3_percentile
llama,Llama-3.3-70B,PC3,positive,18,aberration,mythic_spiritual,-1.8390321899606377,0.4495388396380849,0.7535556560217052,93.63636363636364
llama,Llama-3.3-70B,PC3,positive,19,demon,mythic_spiritual,-1.8178402353948928,1.160139863308886,0.7496164371258788,93.27272727272727
llama,Llama-3.3-70B,PC3,positive,20,mathematician,procedural_professional,0.22978510423357834,-0.6777488366632428,0.744311457398613,92.9090909090909
llama,Llama-3.3-70B,PC3,negative,1,bohemian,grounded_social,-1.2656581711203745,1.2871873703579015,-1.6214630558040917,0.18181818181818182
llama,Llama-3.3-70B,PC3,negative,2,romantic,grounded_social,-1.388264567934153,0.3197559254335276,-1.3834991382739488,0.5454545454545454
llama,Llama-3.3-70B,PC3,negative,3,pilgrim,mythic_spiritual,-2.4473115830438217,0.09012802642383395,-1.2996914016408345,0.9090909090909091
llama,Llama-3.3-70B,PC3,negative,4,widow,grounded_social,0.44306616562511597,0.7299108493597524,-1.2783350486301017,1.2727272727272727
llama,Llama-3.3-70B,PC3,negative,5,orphan,grounded_social,1.0994778912596195,1.1971006951688783,-1.2768844792410907,1.6363636363636365
llama,Llama-3.3-70B,PC3,negative,6,idealist,procedural_professional,-0.31173805265108406,-0.29660540165595856,-1.255304944790559,2.0
llama,Llama-3.3-70B,PC3,negative,7,survivor,grounded_social,0.26798673809043877,0.22867407503009096,-1.226495044199627,2.3636363636363638
llama,Llama-3.3-70B,PC3,negative,8,divorcee,grounded_social,1.1851802114497347,0.8088072216093102,-1.2227149698371715,2.727272727272727
llama,Llama-3.3-70B,PC3,negative,9,celebrity,grounded_social,1.0322543647679314,0.7544486106765951,-1.1802224874169027,3.090909090909091
llama,Llama-3.3-70B,PC3,negative,10,pacifist,procedural_professional,-0.13978690218196815,-0.6627667874742174,-1.1324525571887607,3.4545454545454546
llama,Llama-3.3-70B,PC3,negative,11,revolutionary,combative_iconoclast,-0.23445591649195918,0.4673052601596387,-1.1199438606368928,3.8181818181818183
llama,Llama-3.3-70B,PC3,negative,12,rebel,combative_iconoclast,0.09771756194937947,1.26634871379377,-1.116991339270689,4.181818181818182
llama,Llama-3.3-70B,PC3,negative,13,minimalist,procedural_professional,0.2113946507528755,0.13000664962311667,-1.1043392235329983,4.545454545454546
llama,Llama-3.3-70B,PC3,negative,14,grandparent,grounded_social,0.8971125470393315,1.6564190138051893,-1.1026619540415135,4.909090909090909
llama,Llama-3.3-70B,PC3,negative,15,elder,mythic_spiritual,-0.29563284856690814,0.45290029859668013,-1.0669334748868766,5.2727272727272725
llama,Llama-3.3-70B,PC3,negative,16,refugee,grounded_social,0.6944253467579404,0.5811429708939898,-1.066230849878369,5.636363636363637
llama,Llama-3.3-70B,PC3,negative,17,retiree,grounded_social,0.8995617444613638,0.639587900195922,-1.0598463884123273,6.0
llama,Llama-3.3-70B,PC3,negative,18,martyr,mythic_spiritual,-1.110597466357635,0.4398182204336563,-1.0593103990796517,6.363636363636363
llama,Llama-3.3-70B,PC3,negative,19,addict,grounded_social,0.9441286518834353,1.3351863220596745,-1.0438014356877432,6.7272727272727275
llama,Llama-3.3-70B,PC3,negative,20,prisoner,grounded_social,1.244237245357407,2.3929249888348965,-1.0389597514407856,7.090909090909091
gemma,Gemma-2-27B,PC3,positive,1,narcissist,grounded_social,-278.542086852091,688.9534636812821,828.4181173874294,99.81818181818181
gemma,Gemma-2-27B,PC3,positive,2,workaholic,combative_iconoclast,-17.192355768420384,525.1087893082706,714.9426812697313,99.45454545454545
gemma,Gemma-2-27B,PC3,positive,3,cynic,combative_iconoclast,-187.9224555613701,913.4270359453986,704.5167166476958,99.0909090909091
gemma,Gemma-2-27B,PC3,positive,4,provocateur,combative_iconoclast,-305.6909249998563,454.8109147722372,692.2231339553551,98.72727272727273
gemma,Gemma-2-27B,PC3,positive,5,zealot,mythic_spiritual,-892.5762888536199,90.231353533428,622.1765939318218,98.36363636363636
gemma,Gemma-2-27B,PC3,positive,6,absurdist,trickster_chaos,-607.684327247709,419.7076021458469,602.6508034493047,98.0
gemma,Gemma-2-27B,PC3,positive,7,aberration,mythic_spiritual,-972.3358057945518,-139.6333460640455,594.1403254457801,97.63636363636364
gemma,Gemma-2-27B,PC3,positive,8,saboteur,combative_iconoclast,34.02274812561234,115.23010844502664,563.1221691275244,97.27272727272727
gemma,Gemma-2-27B,PC3,positive,9,demon,mythic_spiritual,-870.9837782514512,-19.18064133737303,538.885227182181,96.9090909090909
gemma,Gemma-2-27B,PC3,positive,10,competitor,combative_iconoclast,54.714041928433645,664.3774134136894,538.2777921479019,96.54545454545455
gemma,Gemma-2-27B,PC3,positive,11,contrarian,combative_iconoclast,15.889997238623508,251.64260958368652,500.3344109631085,96.18181818181819
gemma,Gemma-2-27B,PC3,positive,12,virus,mythic_spiritual,-99.6121686368178,-46.04579660502867,486.80602384738376,95.81818181818181
gemma,Gemma-2-27B,PC3,positive,13,perfectionist,procedural_professional,119.21961430075689,-112.92732380418636,476.85664592968004,95.45454545454545
gemma,Gemma-2-27B,PC3,positive,14,hacker,combative_iconoclast,-85.3601158629382,593.5197296303351,473.0941253006504,95.0909090909091
gemma,Gemma-2-27B,PC3,positive,15,spy,procedural_professional,48.72151962120599,161.7406525802408,448.7077446210185,94.72727272727273
gemma,Gemma-2-27B,PC3,positive,16,rebel,combative_iconoclast,-327.8422074088149,493.5437972790361,446.0288400975153,94.36363636363636
gemma,Gemma-2-27B,PC3,positive,17,simulacrum,mythic_spiritual,-322.82152253047946,-203.39775852298504,440.2013412170185,94.0
gemma,Gemma-2-27B,PC3,positive,18,parasite,mythic_spiritual,-415.79705167995996,30.869232911276864,419.97554360812876,93.63636363636364
gemma,Gemma-2-27B,PC3,positive,19,comedian,trickster_chaos,-89.17593815629839,1117.9809984907854,407.22390565506794,93.27272727272727
gemma,Gemma-2-27B,PC3,positive,20,maverick,combative_iconoclast,-96.87320212359718,328.9012744971941,379.056271468079,92.9090909090909
gemma,Gemma-2-27B,PC3,negative,1,caveman,trickster_chaos,-1058.527941777101,584.2059934766943,-1078.232107447572,0.18181818181818182
gemma,Gemma-2-27B,PC3,negative,2,toddler,other,-371.3210712719529,1224.2848909830223,-1048.6899013486482,0.5454545454545454
gemma,Gemma-2-27B,PC3,negative,3,infant,other,-355.937839637463,794.7046095688069,-788.2804835284428,0.9090909090909091
gemma,Gemma-2-27B,PC3,negative,4,fool,trickster_chaos,-571.8414289068561,1180.43277363336,-650.7250828817944,1.2727272727272727
gemma,Gemma-2-27B,PC3,negative,5,shaman,mythic_spiritual,-865.9265222288806,-485.08065847470107,-546.066070689993,1.6363636363636365
gemma,Gemma-2-27B,PC3,negative,6,caregiver,grounded_social,310.44845917307504,35.009170119375064,-508.3027444900995,2.0
gemma,Gemma-2-27B,PC3,negative,7,provincial,grounded_social,-369.3203406273951,750.903037348237,-498.13593087833664,2.3636363636363638
gemma,Gemma-2-27B,PC3,negative,8,grandparent,grounded_social,-213.31853429080644,649.8611630495229,-495.40611984053464,2.727272727272727
gemma,Gemma-2-27B,PC3,negative,9,surfer,grounded_social,-322.62888680942336,503.4213498654937,-427.46792174393596,3.090909090909091
gemma,Gemma-2-27B,PC3,negative,10,healer,procedural_professional,2.0471661115041164,-395.2317825752912,-386.9121165760314,3.4545454545454546
gemma,Gemma-2-27B,PC3,negative,11,counselor,procedural_professional,522.2890604668036,-110.89448596196968,-376.13687728637103,3.8181818181818183
gemma,Gemma-2-27B,PC3,negative,12,elder,mythic_spiritual,-456.40914112010284,43.833507239831214,-358.64421588308,4.181818181818182
gemma,Gemma-2-27B,PC3,negative,13,amateur,grounded_social,235.94905768366652,690.7321151072927,-353.8189988514803,4.545454545454546
gemma,Gemma-2-27B,PC3,negative,14,tree,mythic_spiritual,-1082.5249937756976,-443.3896669453567,-347.9385332652396,4.909090909090909
gemma,Gemma-2-27B,PC3,negative,15,therapist,procedural_professional,573.186957729305,-130.94942912443048,-335.01740067617123,5.2727272727272725
gemma,Gemma-2-27B,PC3,negative,16,immigrant,grounded_social,-149.76717094753562,89.0232871349312,-333.90463832987035,5.636363636363637
gemma,Gemma-2-27B,PC3,negative,17,nomad,grounded_social,-348.7823586717595,81.3381132702702,-325.08550701781445,6.0
gemma,Gemma-2-27B,PC3,negative,18,refugee,grounded_social,-223.06320984526445,166.78732875006844,-322.67930976376925,6.363636363636363
gemma,Gemma-2-27B,PC3,negative,19,widow,grounded_social,-272.20527814572336,388.98420092704055,-309.78097159890643,6.7272727272727275
gemma,Gemma-2-27B,PC3,negative,20,empath,grounded_social,-144.51246447901843,-117.2029275713397,-306.0483563513509,7.090909090909091
