trait,cluster,pc1,pc2,pc3,pc1_rank_ascending,pc1_rank_descending,pc1_percentile,pc2_rank_ascending,pc2_rank_descending,pc2_percentile,pc3_rank_ascending,pc3_rank_descending,pc3_percentile,axis_projection
assertive,,-16.676153168675548,17.570392462605998,3.83743897505414,86,155,0.35564853556485354,168,73,0.698744769874477,126,115,0.5230125523012552,-0.4542495138226764
avoidant,,19.909916606609794,1.0356768421101528,51.90934361625586,171,70,0.7112970711297071,120,121,0.497907949790795,233,8,0.9707112970711297,0.3833174826749175
benevolent,,27.986697953521407,-66.26434177188754,14.354654481733995,182,59,0.7573221757322176,5,236,0.016736401673640166,170,71,0.7071129707112971,0.16664557137715458
big_picture,,26.559701088771305,-6.69966322253705,-16.919491816250464,179,62,0.7447698744769874,97,144,0.401673640167364,55,186,0.22594142259414227,-0.26691872879662143
bitter,,-70.37151252617902,35.447095967457265,8.849131945945004,15,226,0.058577405857740586,207,34,0.8619246861924686,154,87,0.6401673640167364,-0.5088957395657885
blunt,,-18.228375325864857,47.28989461379469,28.17657816929268,79,162,0.3263598326359833,227,14,0.9456066945606695,205,36,0.8535564853556485,-0.07213363637433509
bombastic,,-22.55291269604021,40.7742428508529,-74.31619781022997,73,168,0.301255230125523,216,25,0.899581589958159,2,239,0.0041841004184100415,-0.6466435092745979
calculating,,47.51756047362441,1.2956092295814228,-8.217161835585785,202,39,0.8410041841004184,121,120,0.502092050209205,85,156,0.3514644351464435,0.11358782382602078
callous,,-11.214502217695733,75.50114230622853,15.269955389597403,95,146,0.39330543933054396,240,1,1.0,173,68,0.7196652719665272,-0.22173026124214704
calm,,96.15575689904132,-21.82708853030767,21.62631258921076,237,4,0.9874476987447699,57,184,0.23430962343096234,193,48,0.803347280334728,0.5280616708747874
casual,,-72.6476643266163,-48.41756845490952,51.040498515302424,11,230,0.04184100418410042,19,222,0.07531380753138076,232,9,0.9665271966527197,-0.13596245996068762
cautious,,34.09548268828928,10.950613956027087,11.853256314962545,194,47,0.8075313807531381,154,87,0.6401673640167364,166,75,0.6903765690376569,0.2507653628646788
challenging,,-12.034488922486727,28.880053346518018,-14.502913875034777,93,148,0.38493723849372385,192,49,0.799163179916318,65,176,0.26778242677824265,-0.46802796533108126
chaotic,,-13.535041103315521,-3.749776946925449,-5.784041055563364,91,150,0.37656903765690375,104,137,0.4309623430962343,96,145,0.39748953974895396,-0.4923465414081517
charismatic,,-37.99387423715044,-30.32617677994775,-32.21323378385655,54,187,0.2217573221757322,36,205,0.14644351464435146,27,214,0.1087866108786611,-0.562833701208804
chill,,37.830414221377445,-54.83785891670226,27.368731503648625,196,45,0.8158995815899581,9,232,0.03347280334728033,204,37,0.8493723849372385,0.31826001035341134
circumspect,,38.52800538490895,-26.76604403572453,-6.299742231854172,198,43,0.8242677824267782,46,195,0.18828451882845187,93,148,0.38493723849372385,0.011556593628509134
closure_seeking,,9.013347129963687,15.666901855871009,24.715770100027967,133,108,0.5523012552301255,163,78,0.6778242677824268,199,42,0.8284518828451883,0.0520053200103152
collaborative,,17.946014596776703,-23.20242061667864,17.2449155856342,165,76,0.6861924686192469,54,187,0.2217573221757322,179,62,0.7447698744769874,0.14322372515054937
collectivistic,,29.800004319427146,-18.084596726832164,8.430313892975924,187,54,0.7782426778242678,69,172,0.28451882845188287,152,89,0.6317991631799164,0.05233203370764547
competitive,,-31.744673819420875,41.17320980017458,-0.6879150574584227,61,180,0.2510460251046025,217,24,0.9037656903765691,111,130,0.4602510460251046,-0.48477526055514336
conceptual,,32.72471104078187,10.41486978164236,-31.988972899366384,191,50,0.7949790794979079,152,89,0.6317991631799164,28,213,0.11297071129707113,-0.33557669269169704
conciliatory,,63.1999946855225,-45.43944150068759,30.272404655119605,220,21,0.9163179916317992,21,220,0.08368200836820083,213,28,0.8870292887029289,0.5212101345260862
concise,,-5.039085946724844,-1.0695327491953583,52.263963312807626,107,134,0.4435146443514644,113,128,0.4686192468619247,235,6,0.9790794979079498,0.08960168085985751
condescending,,-38.245453044340266,28.98360586437542,-4.624651685274115,52,189,0.21338912133891214,193,48,0.803347280334728,104,137,0.4309623430962343,-0.5854816039799422
confident,,-3.6226167623037675,23.438179650820533,6.124131028212425,110,131,0.4560669456066946,185,56,0.7698744769874477,143,98,0.5941422594142259,-0.34695601403570253
confrontational,,-14.898876117207077,38.96902197080452,2.3081168572327178,90,151,0.3723849372384937,214,27,0.891213389121339,118,123,0.4895397489539749,-0.36252874260286405
conscientious,,94.65098525671517,4.002399585949436,-18.42101510027426,236,5,0.9832635983263598,133,108,0.5523012552301255,53,188,0.2175732217573222,0.23990144247273892
constructivist,,5.907522421252481,-23.07173647387259,-6.686460471505013,123,118,0.5104602510460251,55,186,0.22594142259414227,90,151,0.3723849372384937,-0.3126485325726824
contemporary,,3.7621463190934366,-5.506182339611751,37.825010758036676,120,121,0.497907949790795,100,141,0.41422594142259417,223,18,0.9288702928870293,0.35997955201060944
contrarian,,-25.69403805184709,18.632976918818372,-10.642821621574452,68,173,0.2803347280334728,173,68,0.7196652719665272,76,165,0.3138075313807531,-0.5787230502886701
convergent,,16.750258998766288,10.424487475506108,24.57125052007722,163,78,0.6778242677824268,153,88,0.6359832635983264,198,43,0.8242677824267782,0.21694828903864938
cosmopolitan,,22.34365775063278,-8.918324894916017,4.401386967925995,174,67,0.7238493723849372,92,149,0.3807531380753138,129,112,0.5355648535564853,0.09892649563275206
creative,,-26.969742655126115,-15.991327991507182,-29.387996590038114,66,175,0.2719665271966527,76,165,0.3138075313807531,31,210,0.12552301255230125,-0.6405991466192653
critical,,-3.6504208257350226,20.915353305610736,-14.714757636396792,109,132,0.45188284518828453,178,63,0.7405857740585774,62,179,0.25523012552301255,-0.4165890516579298
cruel,,-44.86496388398291,55.41890313693171,15.647792897308415,41,200,0.16736401673640167,234,7,0.9748953974895398,176,65,0.7322175732217573,-0.3742613522776152
cryptic,,-26.83242707158856,2.912643466372191,-68.78344017505133,67,174,0.27615062761506276,131,110,0.5439330543933054,3,238,0.008368200836820083,-0.8358203681992622
curious,,7.089233135732942,-27.72536436557316,-18.614298498296144,125,116,0.5188284518828452,44,197,0.1799163179916318,52,189,0.21338912133891214,-0.2639784326779003
cynical,,-11.849215391011631,48.25308533095061,5.0646056498738075,94,147,0.3891213389121339,229,12,0.9539748953974896,136,105,0.5648535564853556,-0.3225220054332164
data_driven,,47.65646666221684,48.114979386164165,29.0528840777138,204,37,0.8493723849372385,228,13,0.9497907949790795,207,34,0.8619246861924686,0.432317536117769
decisive,,7.890616135342559,17.89410015604609,14.927964464496608,130,111,0.5397489539748954,170,71,0.7071129707112971,172,69,0.7154811715481172,-0.0355449988907668
deconstructionist,,-6.607322833099676,15.887625240462569,-27.900096733234395,104,137,0.4309623430962343,165,76,0.6861924686192469,32,209,0.1297071129707113,-0.5251746833505173
deferential,,22.260731851018836,-21.28839992457674,19.464134613639164,173,68,0.7196652719665272,59,182,0.24267782426778242,188,53,0.7824267782426778,0.09626063043842675
deontological,,15.725937586989568,1.912886424894708,2.066703975653433,160,81,0.6652719665271967,127,114,0.5271966527196653,116,125,0.4811715481171548,-0.21093324457617246
descriptive,,49.49043116075781,7.514099782200542,27.273678323318027,206,35,0.8577405857740585,144,97,0.5983263598326359,203,38,0.8451882845188284,0.41490842842737236
detached,,70.07172228857979,69.20485269034076,21.80130976898094,222,19,0.9246861924686193,239,2,0.99581589958159,194,47,0.8075313807531381,0.3203329847567915
deterministic,,13.186668715530054,30.20209871098365,-5.389776707235911,154,87,0.6401673640167364,196,45,0.8158995815899581,98,143,0.40585774058577406,-0.37769713694482454
diplomatic,,73.95542084233162,-35.56093110350966,20.72855976971256,226,15,0.9414225941422594,32,209,0.1297071129707113,192,49,0.799163179916318,0.49757862967742095
disorganized,,-54.3873148542249,-5.1929936756852175,12.743100459897732,34,207,0.13807531380753138,101,140,0.41841004184100417,168,73,0.698744769874477,-0.4504018366289594
dispassionate,,83.5234971449598,60.16114845969816,28.967207612231107,232,9,0.9665271966527197,237,4,0.9874476987447699,206,35,0.8577405857740585,0.4089237830338034
divergent,,12.017122000203386,-12.579790046454743,-13.58730240993759,148,93,0.6150627615062761,84,157,0.3472803347280335,68,173,0.2803347280334728,-0.1949986203032964
dogmatic,,-2.383529691474688,23.907020075530365,4.6013764732400295,111,130,0.4602510460251046,187,54,0.7782426778242678,130,111,0.5397489539748954,-0.39305848228636364
dominant,,2.7038181062354605,28.54274602485868,4.867076893263631,117,124,0.48535564853556484,191,50,0.7949790794979079,133,108,0.5523012552301255,-0.2606531725578499
dramatic,,-57.86177230001149,-11.237777578317793,-59.611233459086144,30,211,0.12133891213389121,88,153,0.36401673640167365,6,235,0.02092050209205021,-0.7736976968536398
earnest,,81.21482629504696,-37.00576769642159,-20.41001516444068,230,11,0.9581589958158996,29,212,0.11715481171548117,47,194,0.19246861924686193,0.09039296301958377
eclectic,,3.3326896809570665,-5.684009456348919,-23.83845775835982,118,123,0.4895397489539749,99,142,0.4100418410041841,42,199,0.17154811715481172,-0.49870649836164094
edgy,,-77.48172619298147,29.957076133468096,2.576325341368925,5,236,0.016736401673640166,195,46,0.8117154811715481,119,122,0.49372384937238495,-0.5220443465155925
educational,,47.83940393413858,1.3539096672726632,-15.891079742837958,205,36,0.8535564853556485,122,119,0.5062761506276151,60,181,0.24686192468619247,0.11492855844775976
efficient,,-9.941386155125192,-2.9084165711234258,53.709817294407415,97,144,0.401673640167364,106,135,0.4393305439330544,236,5,0.9832635983263598,0.10172709702485766
effusive,,-65.08768666881045,-32.81474372815191,-5.831927625612377,23,218,0.09205020920502092,34,207,0.13807531380753138,95,146,0.39330543933054396,-0.43227344951332247
egalitarian,,7.219254025210498,-18.59760844670907,9.713912366285241,126,115,0.5230125523012552,67,174,0.27615062761506276,157,84,0.6527196652719666,-0.09431162015927942
elitist,,14.756038160865874,31.93936840387731,-9.753077428174658,158,83,0.6569037656903766,204,37,0.8493723849372385,78,163,0.32217573221757323,-0.3896615094668171
eloquent,,13.003518664245176,2.205415711824206,-79.8716886825296,152,89,0.6317991631799164,129,112,0.5355648535564853,1,240,0.0,-0.612415173046035
emotional,,-46.4173880660187,-66.4790936687478,-8.60660211545632,39,202,0.1589958158995816,4,237,0.012552301255230125,83,158,0.34309623430962344,-0.4280059129828192
empathetic,,-17.423068672581206,-66.47961040419038,9.145026412813065,82,159,0.3389121338912134,3,238,0.008368200836820083,155,86,0.6443514644351465,-0.19454438089205295
enigmatic,,-37.881331372559885,-12.395276598914789,-53.11073184241882,55,186,0.22594142259414227,85,156,0.3514644351464435,12,229,0.04602510460251046,-0.8549131628852398
entertaining,,-75.80234104729126,-26.62623251677011,3.4517148920270855,8,233,0.029288702928870293,47,194,0.19246861924686193,122,119,0.5062761506276151,-0.456476067864344
environmental,,12.245889285761923,-17.634471260236563,-3.5964081149664184,149,92,0.6192468619246861,70,171,0.28870292887029286,105,136,0.4351464435146444,-0.22941245912308594
epicurean,,9.007785474238394,-0.16731374373316044,-43.128363064690966,132,109,0.5481171548117155,116,125,0.4811715481171548,20,221,0.0794979079497908,-0.5202843176630078
erudite,,52.05570657160142,46.84868854819191,-52.62139771694373,208,33,0.8661087866108786,226,15,0.9414225941422594,13,228,0.0502092050209205,-0.1923280681693928
esoteric,,15.412803142954818,59.44961306210679,-54.54419092473286,159,82,0.6610878661087866,236,5,0.9832635983263598,10,231,0.03765690376569038,-0.4188563726450994
essentialist,,18.909670792831825,15.622232723213797,4.941012573000955,169,72,0.702928870292887,162,79,0.6736401673640168,135,106,0.5606694560669456,-0.20726276068305494
ethereal,,-27.231130005221953,-29.60460901504054,-47.416047982882915,64,177,0.26359832635983266,38,203,0.15481171548117154,17,224,0.06694560669456066,-0.7769055151714552
evil,,-39.55574879723525,30.204513145631662,3.6575413869254443,51,190,0.20920502092050208,197,44,0.8200836820083682,124,117,0.5146443514644351,-0.49110686575538365
existentialist,,-8.997615779886862,-16.05574147706967,11.755011205071183,99,142,0.4100418410041841,75,166,0.30962343096234307,165,76,0.6861924686192469,-0.16927987960274427
experiential,,-16.82942044218258,-26.469326525917566,40.343997510977914,85,156,0.3514644351464435,48,193,0.19665271966527198,226,15,0.9414225941422594,0.10045721681839344
exploratory,,19.595880570574895,-14.697667919774908,-4.630827009238766,170,71,0.7071129707112971,82,159,0.3389121338912134,103,138,0.42677824267782427,-0.00855833941856356
extroverted,,-38.05852313252583,-25.055225699693903,19.19300531921308,53,188,0.2175732217573222,51,190,0.20920502092050208,185,56,0.7698744769874477,-0.21241727428725155
factual,,58.53755522466449,11.922220988719953,29.261753216018793,215,26,0.895397489539749,156,85,0.6485355648535565,210,31,0.8744769874476988,0.6292919038130844
fatalistic,,1.3028018312850804,9.988072454628737,-15.120685015874534,116,125,0.4811715481171548,149,92,0.6192468619246861,61,180,0.2510460251046025,-0.5934109707317716
flexible,,18.71043150247247,-39.86476681917052,31.47930804663446,167,74,0.694560669456067,26,215,0.10460251046025104,216,25,0.899581589958159,0.35546424866894866
flippant,,-94.5568720113758,13.801672460219251,43.62312876059383,1,240,0.0,158,83,0.6569037656903766,229,12,0.9539748953974896,-0.28314382290115003
flirty,,-75.98804946783545,-25.74029688639972,-10.23986590772671,7,234,0.02510460251046025,50,191,0.20502092050209206,77,164,0.3179916317991632,-0.6026940020633574
forgiving,,14.093713970520577,-50.37414272158863,10.369288945266876,156,85,0.6485355648535565,15,226,0.058577405857740586,159,82,0.6610878661087866,-0.028571543041342178
formal,,96.81714566888748,31.35747460029503,-19.931403655799333,238,3,0.9916317991631799,201,40,0.8368200836820083,48,193,0.19665271966527198,0.14612157187341132
formalist,,53.31910052359221,30.299224112393915,10.721409207652599,209,32,0.8702928870292888,198,43,0.8242677824267782,162,79,0.6736401673640168,0.2889344095705695
fundamentalist,,11.928604133904617,19.331226012945184,10.865479726494131,147,94,0.6108786610878661,175,66,0.7280334728033473,163,78,0.6778242677824268,-0.17420787382699474
futuristic,,3.517551176609265,4.259917751300692,-8.696394871393979,119,122,0.49372384937238495,135,106,0.5606694560669456,82,159,0.3389121338912134,-0.261847743086932
generalist,,10.481058596834222,-25.040808601755217,-8.891553665563872,142,99,0.5899581589958159,52,189,0.21338912133891214,80,161,0.3305439330543933,-0.17260669103945986
generous,,25.926183683199557,-19.999064632509857,-25.149038703448827,178,63,0.7405857740585774,62,179,0.25523012552301255,38,203,0.15481171548117154,-0.14572101633444592
goofy,,-85.20771623809142,-1.252588032438756,19.232650580868583,3,238,0.008368200836820083,111,130,0.4602510460251046,187,54,0.7782426778242678,-0.39308849719140027
grandiose,,-19.415541801754205,23.005143275641714,-48.770422821863,77,164,0.3179916317991632,183,58,0.7615062761506276,16,225,0.06276150627615062,-0.7843484492671403
gregarious,,-22.61657184848854,-52.37057655743727,19.22289333422884,71,170,0.2928870292887029,12,229,0.04602510460251046,186,55,0.7740585774058577,-0.08995983616700412
grounded,,12.374493063121191,-7.232269472800413,73.47584838185355,151,90,0.6276150627615062,96,145,0.39748953974895396,240,1,1.0,0.5625870717051993
hedonistic,,-46.47938275657126,-17.28341138692447,18.193242711221423,38,203,0.15481171548117154,71,170,0.2928870292887029,181,60,0.7531380753138075,-0.35419831051422346
historical,,7.328776550120808,15.797840872215259,-16.881692662566174,129,112,0.5355648535564853,164,77,0.6820083682008368,56,185,0.2301255230125523,-0.38718056362906383
holistic,,16.434355180040797,-11.018599511857811,-14.604702512912183,162,79,0.6736401673640168,89,152,0.3682008368200837,63,178,0.2594142259414226,-0.2315261421637575
hostile,,-72.37121549602128,51.48263372121683,18.988091230121977,12,229,0.04602510460251046,233,8,0.9707112970711297,183,58,0.7615062761506276,-0.38459200780147884
humanistic,,9.925009279190542,-50.34873574281612,5.8888402591838815,138,103,0.5732217573221757,16,225,0.06276150627615062,139,102,0.5774058577405857,-0.054856581347947596
humble,,9.460159754860621,-18.796491716307848,23.027105257896256,135,106,0.5606694560669456,66,175,0.2719665271966527,195,46,0.8117154811715481,0.20197775023595294
iconoclastic,,-31.1200902284747,29.68222481298336,-7.588340318728398,63,178,0.2594142259414226,194,47,0.8075313807531381,87,154,0.3598326359832636,-0.5114761465582071
idealistic,,23.31150106252085,-12.805230458275044,-18.697067798973485,177,64,0.7364016736401674,83,158,0.34309623430962344,50,191,0.20502092050209206,-0.3791563290396833
impatient,,-61.55987297551726,15.33502889822643,45.420045769736106,26,215,0.10460251046025104,161,80,0.6694560669456067,230,11,0.9581589958158996,-0.2616635280403687
improvisational,,-33.045446633661065,-27.14242873933009,-2.8059128992863096,60,181,0.24686192468619247,45,196,0.18410041841004185,106,135,0.4393305439330544,-0.6350506461815064
impulsive,,-43.038147948014775,0.5931398495791553,36.854840944748986,45,196,0.18410041841004185,119,122,0.49372384937238495,222,19,0.9246861924686193,-0.2522954477061743
inclusive,,9.831560770448029,-16.476227435159373,5.34657597603038,137,104,0.5690376569037657,73,168,0.301255230125523,138,103,0.5732217573221757,-0.06138069733032996
independent,,9.6609500691461,-0.6522968479823688,2.0785938464398557,136,105,0.5648535564853556,114,127,0.47280334728033474,117,124,0.48535564853556484,-0.21489012043389571
individualistic,,-17.38433509225459,1.362126460614762,-1.8224483586719062,83,158,0.34309623430962344,123,118,0.5104602510460251,108,133,0.4476987447698745,-0.6361907584553514
innovative,,-21.697318131171304,4.00699068152023,-11.369728409979961,74,167,0.3054393305439331,134,107,0.5564853556485355,72,169,0.29707112970711297,-0.48071010920608415
inquisitive,,4.251672291018061,-16.130275477024487,11.407531576204606,121,120,0.502092050209205,74,167,0.3054393305439331,164,77,0.6820083682008368,-0.09577979987009011
inspirational,,32.08854927031559,-46.81161924861018,4.822076474035906,190,51,0.7907949790794979,20,221,0.0794979079497908,132,109,0.5481171548117155,0.07666787776207411
interdisciplinary,,6.90959964042905,-7.576427533720409,-7.622610795562435,124,117,0.5146443514644351,94,147,0.3891213389121339,86,155,0.35564853556485354,-0.2869412034326175
introspective,,9.21619195835549,-3.9061958309753044,-18.67883493486058,134,107,0.5564853556485355,103,138,0.42677824267782427,51,190,0.20920502092050208,-0.4249947680931636
introverted,,62.70495778246265,21.725567035481124,-25.69764049239496,219,22,0.9121338912133892,179,62,0.7447698744769874,33,208,0.13389121338912133,-0.14069562802915114
intuitive,,-16.175482263764618,-39.128776499048946,-16.531743599863212,88,153,0.36401673640167365,28,213,0.11297071129707113,58,183,0.2384937238493724,-0.52652705483453
ironic,,-72.11877904194839,18.29066005528254,0.09588652616147182,13,228,0.0502092050209205,172,69,0.7154811715481172,112,129,0.46443514644351463,-0.5120337268436881
irreverent,,-89.71950338198556,10.114168436867256,31.75155829483684,2,239,0.0041841004184100415,150,91,0.6234309623430963,217,24,0.9037656903765691,-0.3365276419666565
judgmental,,-39.651558791950244,41.24634175476404,8.067083516554138,50,191,0.20502092050209206,218,23,0.9079497907949791,150,91,0.6234309623430963,-0.4297427642233725
libertarian,,0.6138911045093337,2.402067894175673,7.412060946813099,114,127,0.47280334728033474,130,111,0.5397489539748954,148,93,0.6150627615062761,-0.35448500398898714
literal,,29.499382922693123,12.910239529510312,49.01092034485919,186,55,0.7740585774058577,157,84,0.6527196652719666,231,10,0.9623430962343096,0.46729863096069446
manic,,-70.26062610623471,-4.255424147546276,1.6826222637472865,16,225,0.06276150627615062,102,139,0.4225941422594142,115,126,0.4769874476987448,-0.47270905262146323
manipulative,,-21.35040834336979,5.091489887019325,5.225028372276151,75,166,0.30962343096234307,139,102,0.5774058577405857,137,104,0.5690376569037657,-0.5348566763863192
materialist,,23.062519899411452,31.557979014028685,38.42326562523105,176,65,0.7322175732217573,203,38,0.8451882845188284,224,17,0.9330543933054394,0.3218904868657576
meditative,,59.24650999952469,-55.579931530753385,-46.351647239178064,216,25,0.899581589958159,8,233,0.029288702928870293,18,223,0.07112970711297072,-0.20793062370059137
melancholic,,-15.801219552566659,36.88453849282051,-22.9273798980779,89,152,0.3682008368200837,211,30,0.8786610878661087,45,196,0.18410041841004185,-0.6052022048837863
melodramatic,,-56.0695107374913,-1.1172169506446223,-56.59095812475696,33,208,0.13389121338912133,112,129,0.46443514644351463,8,233,0.029288702928870293,-0.7440360656611427
mercurial,,-58.79732702489259,4.283800754846122,-4.706613775250268,29,212,0.11715481171548117,136,105,0.5648535564853556,102,139,0.4225941422594142,-0.6543456194067234
metaphorical,,-37.324979139261195,-34.60751516512864,-55.81129736747319,56,185,0.2301255230125523,33,208,0.13389121338912133,9,232,0.03347280334728033,-0.7703184099765878
methodical,,86.00452330207607,19.972143492587403,19.843513602377747,233,8,0.9707112970711297,177,64,0.7364016736401674,190,51,0.7907949790794979,0.5598911183835023
meticulous,,83.50099358575669,31.553711628895925,-30.365041590408914,231,10,0.9623430962343096,202,39,0.8410041841004184,30,211,0.12133891213389121,0.09378768016273918
militant,,-39.98516427570099,43.712587882501346,-5.365614269292812,49,192,0.200836820083682,224,17,0.9330543933054394,99,142,0.4100418410041841,-0.5366747301761602
misanthropic,,-43.5158418407534,50.39390693874819,-4.959245529135445,44,197,0.1799163179916318,231,10,0.9623430962343096,101,140,0.41841004184100417,-0.5360383614976643
mischievous,,-68.8847650193895,-2.517751000607859,5.93861910934572,18,223,0.07112970711297072,107,134,0.4435146443514644,140,101,0.5815899581589958,-0.5199783337762018
moderate,,70.99094729172882,-36.29854314946826,34.524067660916735,224,17,0.9330543933054394,30,211,0.12133891213389121,220,21,0.9163179916317992,0.5629381634415958
mystical,,-18.200483422085142,-44.78048293711242,-40.37788192727635,80,161,0.3305439330543933,22,219,0.08786610878661087,21,220,0.08368200836820083,-0.6900379668785834
naive,,-5.5351766282823185,-63.37912595984543,40.79967469529407,106,135,0.4393305439330544,6,235,0.02092050209205021,227,14,0.9456066945606695,0.05659964920973509
narrative,,-44.230081524451094,-29.385801855757247,-25.674292435910747,43,198,0.17573221757322174,39,202,0.1589958158995816,34,207,0.13807531380753138,-0.7456937051913578
neurotic,,-62.79875854312485,2.029878384960197,29.573757240959313,24,217,0.09623430962343096,128,113,0.5313807531380753,211,30,0.8786610878661087,-0.28799308930715306
nihilistic,,-17.99331591826777,42.0041073098755,-16.498532686012492,81,160,0.33472803347280333,221,20,0.9205020920502092,59,182,0.24267782426778242,-0.5478514740276992
nonchalant,,-70.02010895729454,19.392461789314233,52.19756349886393,17,224,0.06694560669456066,176,65,0.7322175732217573,234,7,0.9748953974895398,-0.21002439514430282
nostalgic,,-3.678178195192053,-21.052666434057052,-19.155758652278585,108,133,0.4476987447698745,61,180,0.2510460251046025,49,192,0.200836820083682,-0.6021846566099937
nurturing,,33.58444978129549,-74.49154911178495,-1.4116096597328642,193,48,0.803347280334728,1,240,0.0,109,132,0.45188284518828453,0.05432701235342966
obsessive,,-11.109722964985668,16.37332732458696,-12.202338327989553,96,145,0.39748953974895396,166,75,0.6903765690376569,71,170,0.2928870292887029,-0.6829424891542917
open_ended,,13.784291889809992,-30.18080462136624,4.629553525790905,155,86,0.6443514644351465,37,204,0.1506276150627615,131,110,0.5439330543933054,-0.1317590662175318
optimistic,,15.954624606220012,-54.096978273755575,23.675324912758597,161,80,0.6694560669456067,10,231,0.03765690376569038,197,44,0.8200836820083682,0.11135727684889231
pacifist,,11.59846834277277,-18.25370587545633,6.8770276700981325,145,96,0.602510460251046,68,173,0.2803347280334728,145,96,0.602510460251046,-0.23104804874044174
paradoxical,,-9.101402585008705,-11.419407659602617,-25.30804784425638,98,143,0.40585774058577406,86,155,0.35564853556485354,36,205,0.14644351464435146,-0.779334053033435
paranoid,,-0.9475909162609621,27.270386378445064,-5.4205379139988885,113,128,0.4686192468619247,189,52,0.7866108786610879,97,144,0.401673640167364,-0.4829296572043675
passionate,,-56.85874624981474,-21.178734280318963,-11.322148142425903,31,210,0.12552301255230125,60,181,0.24686192468619247,73,168,0.301255230125523,-0.5313030206765824
passive_aggressive,,-58.86525969079212,16.696296846389867,8.187892908471907,28,213,0.11297071129707113,167,74,0.694560669456067,151,90,0.6276150627615062,-0.48481969121614965
patient,,87.03174586202121,-28.74815586287529,-6.5583394672834805,234,7,0.9748953974895398,40,201,0.16317991631799164,92,149,0.3807531380753138,0.30242034132273676
pedantic,,38.13699445740096,42.70755879700744,-21.235183809055258,197,44,0.8200836820083682,223,18,0.9288702928870293,46,195,0.18828451882845187,-0.1467322299997328
pensive,,64.59397651011977,-3.3179555675324814,-54.31453196409088,221,20,0.9205020920502092,105,136,0.4351464435146444,11,230,0.04184100418410042,-0.21389053908655592
perfectionist,,58.116179056377334,30.66685152504187,-25.62329130306538,214,27,0.891213389121339,199,42,0.8284518828451883,35,206,0.14225941422594143,-0.013218407555292966
pessimistic,,1.157524416726694,36.53399658541068,6.043040994436252,115,126,0.4769874476987448,210,31,0.8744769874476988,141,100,0.5857740585774058,-0.2213708938026517
petty,,-33.26874184761492,17.89194420009339,7.382802094040307,59,182,0.24267782426778242,169,72,0.702928870292887,147,94,0.6108786610878661,-0.46501299997322704
