partition,model,role_family,n_held_out,pc1_r2,pc1_pearson,pc1_spearman,pc1_rmse,pc1_mae,pc2_r2,pc2_pearson,pc2_spearman,pc2_rmse,pc2_mae,pc3_r2,pc3_pearson,pc3_spearman,pc3_rmse,pc3_mae,raw_3d_error_mean,raw_3d_error_median,raw_3d_error_rmse,normalized_3d_error_mean,normalized_3d_error_median,normalized_3d_error_rmse,bias_pc1,bias_pc2,bias_pc3,ordinary_lopo_normalized_3d_error_mean,cluster_holdout_vs_lopo_mean_error_ratio,selected_hyperparameters,role_family_holdout_over_lopo_rmse_ratio
Qwen-canonical role-family partition applied cross-model,kernel_ridge,other,6,-0.7752637712915122,0.8479694865769734,0.8285714285714287,0.638574889964406,0.5661677040746141,0.937503463545772,0.9790097478958284,1.0,0.19710979698956263,0.19285565841043661,0.8590234998516444,0.9898945150873368,0.942857142857143,0.7085172182163643,0.6109426147431897,0.866996431051014,0.7165216304957798,0.973974748477277,1.129473569599553,0.9033851059600766,1.285417809689205,-0.5661677040746141,-0.002798689983068462,-0.07668303900511021,0.26596598458775356,4.2466842944229635,"{""alpha"": 0.001, ""gamma"": 0.0010416666666666667}",10.325135391726072
Qwen-canonical role-family partition applied cross-model,kernel_ridge,procedural_professional,126,0.989293272768804,0.9950700764536691,0.9937007874015751,0.049363277890246485,0.037617169679807425,0.9100626415011128,0.9744549934814557,0.9526299212598427,0.10191527968117402,0.08138633098499085,0.9697131005773856,0.9896588345890189,0.9891113610798652,0.07995685966380477,0.06524004077239016,0.12220036609973826,0.11095537184928045,0.13862379609525552,0.12508430450382033,0.11670603603495798,0.14244849446275518,0.006598028006426857,0.06627541332910591,0.0452328814546135,0.05775273422193091,2.1658594383280483,"{""alpha"": 0.001, ""gamma"": 0.0010416666666666667}",1.1442193974510952
Qwen-canonical role-family partition applied cross-model,kernel_ridge,trickster_chaos,10,0.9249071816877763,0.9772431713463138,0.9757575757575757,0.2896062553751253,0.20186404861492036,0.9705234011288628,0.9916462934263037,0.9878787878787878,0.17332520314882793,0.1209099580714202,0.906303971009066,0.9752374416369022,0.8424242424242423,0.2697733299294133,0.21260633564694015,0.34330467518407776,0.24064860427608517,0.4320776073116829,0.4055349894175274,0.29387223640942445,0.504266084102504,0.028034982256098784,-0.054550137449859384,-0.007585358362407253,0.22743066967404016,1.7831147839416348,"{""alpha"": 0.001, ""gamma"": 0.0010416666666666667}",4.050523925036297
Qwen-canonical role-family partition applied cross-model,knn,combative_iconoclast,15,-0.22111392426329513,0.8279599674174178,0.7749999999999999,0.5386114685330706,0.43819568416014404,0.7307492120730363,0.9404430808681306,0.9642857142857141,0.3593983700887446,0.2538178649596795,0.3439627926915344,0.7064064334870301,0.7035714285714285,0.4107566978356076,0.3280990657348167,0.679243174570735,0.7062289457929576,0.7668054298677142,0.7178360927878306,0.655718259541613,0.8187914812145533,-0.42263723381616786,0.1784385126993619,0.19706106853574284,0.12444051169673755,5.768508044528155,"{""n_neighbors"": 3}",6.57695329674659
Qwen-canonical role-family partition applied cross-model,knn,editorial,13,0.7738610035751494,0.8894254782401366,0.8076923076923077,0.10095602624330628,0.07796921291812643,0.6588519802433612,0.9771412904282902,0.9120879120879121,0.1673861183010579,0.12867719225373572,0.21263532769159554,0.8739399088350235,0.9285714285714285,0.20587789790726335,0.13432743564031804,0.22484769864655615,0.16685673429227404,0.28389424207167085,0.2566500285134285,0.17920376192125412,0.3412478750006623,-0.011725724234733495,-0.027674836365948842,-0.08106638416091877,0.08057643515042821,3.1851747726774997,"{""n_neighbors"": 3}",2.741078025340699
Qwen-canonical role-family partition applied cross-model,knn,grounded_social,54,0.6489203349100042,0.8775533734288093,0.8800838574423478,0.4194569273265967,0.3344015577202491,0.7322982239831652,0.9494730023740889,0.9507528111301695,0.3906473813373196,0.3305697205401041,0.24458963595833827,0.7276717750568572,0.7362302267962645,0.44348542494876075,0.34905523713655845,0.661199445505931,0.6431826238223384,0.7247267157832378,0.7562751793534983,0.758551964047958,0.849753270354666,-0.20623926979105736,-0.30953134651743847,0.27152530298588967,0.10347841479232855,7.3085307778561495,"{""n_neighbors"": 5}",6.825654273527853
Qwen-canonical role-family partition applied cross-model,knn,mythic_spiritual,51,-1.3467829169592211,0.8524833625196865,0.8152036199095022,1.1549152489459276,1.0699452485880214,0.7413538675251801,0.8637883680726647,0.850316742081448,0.25339711310577073,0.20458425274375996,0.5695679778058278,0.8540439933728148,0.8519457013574661,0.4452699265596658,0.3590382909977087,1.1863261278422244,1.1605048332304495,1.263449499060656,1.8392839822576252,1.8101149587184089,1.968692402411844,1.0699452485880214,0.0003468284221905423,-0.20855028505838177,0.08690742888583665,21.163714147771483,"{""n_neighbors"": 3}",15.813547506767101
Qwen-canonical role-family partition applied cross-model,knn,other,6,-2.1215410639223875,0.8894378882147203,0.7714285714285715,0.8467689377424621,0.7870705307134379,0.5478989567592982,0.8885178253256177,0.942857142857143,0.5301490536383237,0.3948006131518667,0.4253213745599753,0.9945699082347362,0.942857142857143,1.4305056210109472,1.1043608464107428,1.5469057911417365,1.2241056193306226,1.7448272077036806,2.06040260237003,1.2355355438803257,2.475579918744336,-0.7870705307134379,-0.2892509679470112,-0.8148137424772787,0.26596598458775356,7.746865094661063,"{""n_neighbors"": 5}",19.885128120524246
Qwen-canonical role-family partition applied cross-model,knn,procedural_professional,126,0.6755781097305048,0.9019586155572761,0.873607799025122,0.2717256876888607,0.20274161069063737,0.4050428428014037,0.7942035743325955,0.6801019872515937,0.2621271968871919,0.2149209878614998,0.702035549449778,0.8635427473097106,0.8847784026996627,0.25079019162068805,0.19778232916912591,0.40617579914210816,0.39717031926068497,0.45325625964906696,0.3947472606603693,0.38228661687260723,0.4399307877310136,0.03935060405016632,0.15792865122961763,0.06088370299995171,0.05775273422193091,6.8351267862651035,"{""n_neighbors"": 5}",3.5337498143188864
Qwen-canonical role-family partition applied cross-model,knn,trickster_chaos,10,0.7124441844548443,0.9191335219528258,0.9030303030303028,0.5667216627669539,0.4649049163676381,0.7161459230869456,0.9409358122980283,0.9272727272727272,0.5378616753766382,0.4618180581044949,0.544935875961877,0.933910360684469,0.7212121212121211,0.5945312940099807,0.45969100336504914,0.8819753723571427,0.8152123246133782,0.9818024671213081,1.018124899661583,0.944412118036855,1.1532624404128529,0.17969228055342126,-0.41397473843924903,-0.4446571628565999,0.22743066967404016,4.476638533935583,"{""n_neighbors"": 3}",9.263595657146064
Qwen-canonical role-family partition applied cross-model,ridge,ALL_CLUSTERS,275,0.9938942812841932,0.9975836909264528,0.9937307059807854,0.08933795871225654,0.062063471284010345,0.9936273055650165,0.997230062711514,0.9940503736187646,0.08273256776780004,0.06573388542368148,0.9770936156942889,0.9890928542900732,0.9887977842531952,0.10610414402626198,0.07543043969007261,0.13314726059893559,0.11221445125260687,0.16150553555798705,0.15846235862806118,0.12376552257624046,0.20422414996827426,0.02713701875369085,0.0280056725705803,0.022281023258681133,0.08756786080218278,1.8095949492934427,varies by cluster,1.640433159388417
Qwen-canonical role-family partition applied cross-model,pls,ALL_CLUSTERS,275,0.9921746888398852,0.9966002335018498,0.9912149101295404,0.10113894901252234,0.07241046206664005,0.9922864289453196,0.9964492994690025,0.9924179914024408,0.09102122968416462,0.06987997330358969,0.9772905081900686,0.989029262637837,0.9862150543838898,0.10564714924334716,0.07696120049417786,0.14452111907694623,0.12590418565839379,0.172265119521687,0.16757869787097543,0.1313597361822157,0.21103497592942502,0.028974421836459468,0.02579406692539772,0.020272283717764263,0.08756786080218278,1.9137009438832637,varies by cluster,1.695141208124234
Qwen-canonical role-family partition applied cross-model,kernel_ridge,ALL_CLUSTERS,275,0.9699143908522354,0.9891134947476709,0.9820622601771445,0.1983111044006963,0.10567435017420307,0.9886045668486572,0.9952083383035917,0.9902362886241021,0.11063190103852735,0.08616474385779446,0.9447266704962569,0.9739502743004416,0.9822780646836503,0.16482075066718804,0.10082920879783315,0.1928928334179924,0.1359713379098735,0.28059328485642304,0.23868683535775237,0.14356253289965884,0.37929752923145826,0.036679359277175964,0.027462320856238506,0.013170331246898079,0.08756786080218278,2.725735597183878,varies by cluster,3.0467123712941917
Qwen-canonical role-family partition applied cross-model,knn,ALL_CLUSTERS,275,0.7250782245725657,0.8724161140803105,0.8944110094919362,0.5994765489598093,0.41864851680071874,0.9084056341147122,0.9576934968683528,0.9214338882317302,0.31365292100851055,0.24666058910289548,0.6481765223218641,0.8176632681456553,0.8025336833905543,0.4158306368451579,0.2908048250291945,0.6494487616020633,0.5234148724078207,0.7941444491709195,0.8037387418064085,0.5141480828989339,1.0832321674547722,0.14171261788564535,-0.0012961555702531058,0.015506354006432781,0.08756786080218278,9.178467241789399,varies by cluster,8.701076572408518
