item_number,observed_n,missing_n,missing_fraction
238,305713,1600,0.0052064182120509055
239,306090,1223,0.003979655920836411
240,305879,1434,0.004666252322550624
241,306463,850,0.0027659096751520436
242,306339,974,0.0031694070865859888
243,306436,877,0.0028537679824804027
244,306299,1014,0.0032995675418872614
245,306548,765,0.0024893187076368392
246,306478,835,0.0027170995044140662
247,306265,1048,0.0034102039288933434
248,306432,881,0.00286678402801053
249,305985,1328,0.004321327116002252
250,306467,846,0.0027528936296219164
251,306144,1169,0.003803939306179693
252,306048,1265,0.004116324398902747
253,306202,1111,0.0036152066459928475
254,306223,1090,0.0035468724069596795
255,306050,1263,0.004109816376137684
256,306139,1174,0.003820209363092352
257,306216,1097,0.0035696504866374024
258,306341,972,0.0031628990638209254
259,306073,1240,0.004034974114339452
260,306067,1246,0.004054498182634643
261,306048,1265,0.004116324398902747
262,306226,1087,0.003537110372812084
263,306158,1155,0.0037583831468242478
264,306240,1073,0.0034915542134566387
265,305924,1389,0.004519821810336693
266,305945,1368,0.004451487571303524
267,306016,1297,0.004220452763143766
268,305845,1468,0.004776888709556706
269,306200,1113,0.0036217146687579113
270,306083,1230,0.004002434000514134
271,306133,1180,0.003839733431387543
272,305985,1328,0.004321327116002252
273,305660,1653,0.005378880815325092
274,306172,1141,0.0037128269874688023
275,306290,1023,0.0033288536443300478
276,306502,811,0.002639003231233303
277,305909,1404,0.0045686319810746695
278,306160,1153,0.003751875124059184
279,305843,1470,0.00478339673232177
280,305977,1336,0.004347359207062506
281,306057,1256,0.004087038296459961
282,305990,1323,0.004305057059089593
283,306137,1176,0.0038267173858574158
284,306061,1252,0.004074022250929833
285,305900,1413,0.004597918083517456
286,306328,985,0.003205201211793839
287,305813,1500,0.0048810170737977245
288,306049,1264,0.0041130703875202155
289,305902,1411,0.0045914100607523925
290,305928,1385,0.004506805764806565
291,306131,1182,0.003846241454152607
292,305955,1358,0.004418947457478207
293,305687,1626,0.005291022507996733
294,306197,1116,0.0036314767029055066
295,305893,1420,0.004620696163195179
296,305921,1392,0.004529583844484288
297,305757,1556,0.005063241711219506
298,306010,1303,0.004239976831438956
299,305970,1343,0.004370137286740229
300,304963,2350,0.007646926748949768
