model,construction,domain,pc,n,pearson_r,spearman_r,single_domain_r2
qwen,external_taxonomy_expanded,neuroticism,PC3,275,0.38843049061283325,0.26498312224113557,0.15087824603772634
qwen,historical_hand_predeclared,openness,PC1,275,-0.8869565198020377,-0.90285796716771,0.7866918680193425
qwen,historical_hand_predeclared,openness,PC2,275,-0.006670538006363241,-0.07358068145754595,4.449607729433648e-05
qwen,historical_hand_predeclared,openness,PC3,275,0.023056676637987716,-0.008335593318138542,0.0005316103375887285
qwen,historical_hand_predeclared,conscientiousness,PC1,275,0.8735810263192262,0.9036242462710252,0.7631438095449525
qwen,historical_hand_predeclared,conscientiousness,PC2,275,-0.4526005098708331,-0.3454106921323678,0.2048472215353381
qwen,historical_hand_predeclared,conscientiousness,PC3,275,-0.07606946505144911,0.002604656530394391,0.005786563513213638
qwen,historical_hand_predeclared,extraversion,PC1,275,-0.7770663727996979,-0.8285935200946309,0.6038321477360791
qwen,historical_hand_predeclared,extraversion,PC2,275,0.5718328156738816,0.46054643547502955,0.3269927690815194
qwen,historical_hand_predeclared,extraversion,PC3,275,-0.007605586294700705,-0.09772770549032053,5.78449428861392e-05
qwen,historical_hand_predeclared,agreeableness,PC1,275,0.35484289726567236,0.3208655260956118,0.1259134817398965
qwen,historical_hand_predeclared,agreeableness,PC2,275,0.014165155017778557,0.1443074348691613,0.00020065161667769704
qwen,historical_hand_predeclared,agreeableness,PC3,275,-0.9072013049950579,-0.8792989238625546,0.8230142077847361
qwen,historical_hand_predeclared,neuroticism,PC1,275,-0.873298010584811,-0.9014765875191137,0.7626494152913887
qwen,historical_hand_predeclared,neuroticism,PC2,275,0.3130403555190618,0.19166267562967026,0.0979942641835006
qwen,historical_hand_predeclared,neuroticism,PC3,275,0.3370363719840958,0.2313868613138686,0.1135935160402018
llama,human_anchored_strict,openness,PC1,275,-0.521529372655971,-0.6635371166440669,0.2719928865429307
llama,human_anchored_strict,openness,PC2,275,-0.06179167069383225,0.10934248867603358,0.003818210567135007
llama,human_anchored_strict,openness,PC3,275,-0.2598874772838674,-0.19087389284786938,0.0675415008489727
llama,human_anchored_strict,conscientiousness,PC1,275,-0.21706639268193445,-0.04997086062144774,0.047117818831947766
llama,human_anchored_strict,conscientiousness,PC2,275,-0.9514191634027344,-0.9499391246646086,0.9051984244899589
llama,human_anchored_strict,conscientiousness,PC3,275,0.07231508416004132,0.4518184703268804,0.0052294713970738585
llama,human_anchored_strict,extraversion,PC1,275,-0.17666227199032988,-0.21648481001702202,0.031209558344785296
llama,human_anchored_strict,extraversion,PC2,275,0.6229718065335573,0.7591708260004039,0.388093871735684
llama,human_anchored_strict,extraversion,PC3,275,-0.6124845440739124,-0.6834170970254754,0.37513731672942835
llama,human_anchored_strict,agreeableness,PC1,275,0.1857201660751118,0.27204696921612187,0.034491980086967106
llama,human_anchored_strict,agreeableness,PC2,275,-0.8143453403805592,-0.8158062375580623,0.6631583333995288
llama,human_anchored_strict,agreeableness,PC3,275,-0.16386096736226766,-0.01859265456853524,0.026850416624898146
llama,human_anchored_strict,neuroticism,PC1,275,0.10903423507645452,-0.02301491589971438,0.011888464418707544
llama,human_anchored_strict,neuroticism,PC2,275,0.9591203640296175,0.9523227835319236,0.919911872696306
llama,human_anchored_strict,neuroticism,PC3,275,-0.020096333580707754,-0.28464152794206743,0.00040386262338708214
llama,human_anchored_extended,openness,PC1,275,-0.4308998333600318,-0.4985920775511382,0.18567466638970317
llama,human_anchored_extended,openness,PC2,275,0.21047301661622356,0.45749805256628484,0.044298890723533116
llama,human_anchored_extended,openness,PC3,275,-0.6470465149670694,-0.6248677187617208,0.41866919253103
llama,human_anchored_extended,conscientiousness,PC1,275,0.00695222270413544,0.14989988748160757,4.833340052789629e-05
llama,human_anchored_extended,conscientiousness,PC2,275,-0.9689871812383549,-0.9655007068463115,0.9389361574042525
llama,human_anchored_extended,conscientiousness,PC3,275,0.10757924961826186,0.429244972735928,0.011573294948428294
llama,human_anchored_extended,extraversion,PC1,275,-0.27784255355286414,-0.35369666195435795,0.07719648456477618
llama,human_anchored_extended,extraversion,PC2,275,-0.028759276016922703,0.2556469807564698,0.0008270959570175454
llama,human_anchored_extended,extraversion,PC3,275,-0.600992491156897,-0.5389088601021321,0.36119197442697293
llama,human_anchored_extended,agreeableness,PC1,275,0.2707783897863199,0.3519696488849139,0.07332093637527219
llama,human_anchored_extended,agreeableness,PC2,275,-0.7301254112556775,-0.7329367300424108,0.5330831161612722
llama,human_anchored_extended,agreeableness,PC3,275,-0.16381370025738337,-0.07836127059230835,0.026834928392015844
llama,human_anchored_extended,neuroticism,PC1,275,-0.0213615726474122,-0.15261417731744614,0.00045631678597066904
llama,human_anchored_extended,neuroticism,PC2,275,0.9500683287289751,0.9534612388563517,0.9026298292538678
llama,human_anchored_extended,neuroticism,PC3,275,0.023175723222259526,-0.24088399065231816,0.0005371141468747795
llama,external_taxonomy_expanded,openness,PC1,275,-0.5782744960291214,-0.7028083436715618,0.33440139275773434
llama,external_taxonomy_expanded,openness,PC2,275,-0.3490042961557271,-0.022391737110873892,0.12180399873515446
llama,external_taxonomy_expanded,openness,PC3,275,-0.4379091006919369,-0.2793606647240415,0.1917643804688209
llama,external_taxonomy_expanded,conscientiousness,PC1,275,0.042767688889499465,0.17377109719858055,0.001829075212949016
llama,external_taxonomy_expanded,conscientiousness,PC2,275,-0.9707333676021158,-0.9634234442168432,0.9423232709761445
llama,external_taxonomy_expanded,conscientiousness,PC3,275,0.10443323430147165,0.40445284325322417,0.010906300426666075
llama,external_taxonomy_expanded,extraversion,PC1,275,0.09379243588492876,0.03583104930613658,0.008797021029228472
llama,external_taxonomy_expanded,extraversion,PC2,275,0.2907753470508045,0.43875941259628976,0.0845503024525158
llama,external_taxonomy_expanded,extraversion,PC3,275,-0.6157684908338819,-0.6552978852312397,0.37917083430383647
llama,external_taxonomy_expanded,agreeableness,PC1,275,0.21239165184634007,0.30140330630968526,0.04511021377401693
llama,external_taxonomy_expanded,agreeableness,PC2,275,-0.8244012396457274,-0.8401280978621506,0.6796374039294121
llama,external_taxonomy_expanded,agreeableness,PC3,275,-0.13000370504344871,0.0415625631112778,0.016900963325024013
llama,external_taxonomy_expanded,neuroticism,PC1,275,0.021218861627398413,-0.11826433166959983,0.0004502400887626808
llama,external_taxonomy_expanded,neuroticism,PC2,275,0.9576412055483627,0.9564594212515508,0.9170766785641216
llama,external_taxonomy_expanded,neuroticism,PC3,275,0.0247873090154321,-0.245241626035025,0.0006144106882265215
llama,historical_hand_predeclared,openness,PC1,275,-0.7358037313936704,-0.8212215458296067,0.5414071311328487
llama,historical_hand_predeclared,openness,PC2,275,-0.10362108350056222,0.18447188482732757,0.010737328945830488
llama,historical_hand_predeclared,openness,PC3,275,-0.41915924292104423,-0.3161957243010877,0.17569447092614296
llama,historical_hand_predeclared,conscientiousness,PC1,275,0.1232176605978538,0.2189198234326765,0.015182591883207893
llama,historical_hand_predeclared,conscientiousness,PC2,275,-0.9389758750054223,-0.9472109864112405,0.8816756938421986
llama,historical_hand_predeclared,conscientiousness,PC3,275,0.1863838292637411,0.4168783358818269,0.0347389318110154
llama,historical_hand_predeclared,extraversion,PC1,275,-0.008262744686416345,-0.06854562765067367,6.827294975290154e-05
llama,historical_hand_predeclared,extraversion,PC2,275,0.5838216035376671,0.6839825740746085,0.34084766475729295
llama,historical_hand_predeclared,extraversion,PC3,275,-0.6090629014277192,-0.7002400392371831,0.37095761789555165
llama,historical_hand_predeclared,agreeableness,PC1,275,0.15142407755001835,0.23682178817691357,0.02292925126187397
llama,historical_hand_predeclared,agreeableness,PC2,275,-0.7929576355536132,-0.7465139493955744,0.6287818117827768
llama,historical_hand_predeclared,agreeableness,PC3,275,-0.20415801973547182,-0.09226508179221604,0.0416804970223093
llama,historical_hand_predeclared,neuroticism,PC1,275,-0.18684573989133577,-0.2820501428118058,0.034911330515540705
llama,historical_hand_predeclared,neuroticism,PC2,275,0.9377307401400657,0.9503193791292807,0.8793389410036355
llama,historical_hand_predeclared,neuroticism,PC3,275,-0.022684577407432394,-0.2640079628400796,0.0005145900521537922
gemma,human_anchored_strict,openness,PC1,275,-0.4535976002444313,-0.573719742650241,0.2057507829475069
gemma,human_anchored_strict,openness,PC2,275,0.41179751500374845,0.3832353365453968,0.16957719336326244
gemma,human_anchored_strict,openness,PC3,275,0.2808612850294521,0.1984420530278988,0.07888306142839514
gemma,human_anchored_strict,conscientiousness,PC1,275,0.396734486346529,0.553201581027668,0.15739825265664423
gemma,human_anchored_strict,conscientiousness,PC2,275,-0.8595883436013562,-0.7261913966706097,0.7388921204553232
gemma,human_anchored_strict,conscientiousness,PC3,275,0.19384309627818258,0.14681572949424426,0.03757514597471276
gemma,human_anchored_strict,extraversion,PC1,275,-0.6020923142789705,-0.6893228700845331,0.36251515491380654
gemma,human_anchored_strict,extraversion,PC2,275,0.662853530212211,0.5725633997865035,0.4393748025147906
gemma,human_anchored_strict,extraversion,PC3,275,-0.12675671880398026,-0.16427223680793976,0.016067265761951322
gemma,human_anchored_strict,agreeableness,PC1,275,0.6390842233461926,0.7181887423905831,0.4084286445300062
gemma,human_anchored_strict,agreeableness,PC2,275,-0.4077973764608564,-0.26805400882836616,0.16629870024835744
gemma,human_anchored_strict,agreeableness,PC3,275,-0.5708574039196237,-0.5247015377513632,0.3258781756098524
gemma,human_anchored_strict,neuroticism,PC1,275,-0.591187028763016,-0.7232861140763395,0.3495021029776431
gemma,human_anchored_strict,neuroticism,PC2,275,0.7602416077375751,0.604405527826664,0.577967302135413
gemma,human_anchored_strict,neuroticism,PC3,275,0.14629332504636272,0.12359654943596551,0.02140173695312074
gemma,human_anchored_extended,openness,PC1,275,-0.5871008181910217,-0.6596878335881826,0.3446873707205671
gemma,human_anchored_extended,openness,PC2,275,0.5103381893964924,0.48160930152044085,0.2604450675564902
gemma,human_anchored_extended,openness,PC3,275,-0.07289744097059393,-0.14730330919477222,0.005314036900061227
gemma,human_anchored_extended,conscientiousness,PC1,275,0.6556193600666165,0.7476876027812239,0.4298367452941597
gemma,human_anchored_extended,conscientiousness,PC2,275,-0.7061369445836135,-0.5563059346239289,0.4986293845058813
gemma,human_anchored_extended,conscientiousness,PC3,275,0.1523509894900675,0.11817547099045037,0.02321082399860266
gemma,human_anchored_extended,extraversion,PC1,275,-0.6948730263265599,-0.7681157496898532,0.482848522716232
gemma,human_anchored_extended,extraversion,PC2,275,0.4262328311120507,0.3595378090649433,0.18167442631779393
gemma,human_anchored_extended,extraversion,PC3,275,0.057598478943238725,-0.0027962263062231325,0.003317584776574715
gemma,human_anchored_extended,agreeableness,PC1,275,0.6583608344278981,0.7360410836386717,0.43343898830859817
gemma,human_anchored_extended,agreeableness,PC2,275,-0.32315571747863364,-0.1979873633190041,0.10442961773913048
gemma,human_anchored_extended,agreeableness,PC3,275,-0.6091625531148477,-0.5391921756440957,0.37107901611739963
gemma,human_anchored_extended,neuroticism,PC1,275,-0.6756707707917375,-0.7782008597559217,0.4565309905023007
gemma,human_anchored_extended,neuroticism,PC2,275,0.6663826429945032,0.5206439514151351,0.44406582688433954
gemma,human_anchored_extended,neuroticism,PC3,275,0.2138232605564905,0.18375407518536685,0.04572038675500883
gemma,external_taxonomy_expanded,openness,PC1,275,-0.5135838244604795,-0.5954640662415972,0.2637683447474526
gemma,external_taxonomy_expanded,openness,PC2,275,0.20955631491691218,0.2089933931508035,0.04391384912155607
gemma,external_taxonomy_expanded,openness,PC3,275,-0.12068372625508689,-0.215547733764173,0.014564561782812749
gemma,external_taxonomy_expanded,conscientiousness,PC1,275,0.6989896721520354,0.7718340497966013,0.48858656177521
gemma,external_taxonomy_expanded,conscientiousness,PC2,275,-0.6764569358098612,-0.5438371656905456,0.4575939860052667
gemma,external_taxonomy_expanded,conscientiousness,PC3,275,0.03706248263672916,0.024390525374340038,0.0013736276191978506
gemma,external_taxonomy_expanded,extraversion,PC1,275,-0.5296702004011065,-0.6462040910533453,0.28055052119294827
gemma,external_taxonomy_expanded,extraversion,PC2,275,0.6650067929782876,0.5607887827818009,0.442234034707267
gemma,external_taxonomy_expanded,extraversion,PC3,275,-0.04238866131408873,-0.10583941605839416,0.0017967986080005224
gemma,external_taxonomy_expanded,agreeableness,PC1,275,0.7167689557617235,0.792744583249185,0.5137577359437515
gemma,external_taxonomy_expanded,agreeableness,PC2,275,-0.356914918553201,-0.22889760826288913,0.12738825908583812
gemma,external_taxonomy_expanded,agreeableness,PC3,275,-0.5301497444666455,-0.470483829087447,0.28105875155804955
gemma,external_taxonomy_expanded,neuroticism,PC1,275,-0.6523312519321092,-0.7658019099275843,0.4255360622473129
gemma,external_taxonomy_expanded,neuroticism,PC2,275,0.697663858719368,0.5433894001904158,0.48673485976319825
gemma,external_taxonomy_expanded,neuroticism,PC3,275,0.20105356439534341,0.1725333948818557,0.0404225357560725
gemma,historical_hand_predeclared,openness,PC1,275,-0.8044056108929167,-0.8499362395776233,0.6470683868360065
gemma,historical_hand_predeclared,openness,PC2,275,0.07817002014567581,0.02656126482213439,0.006110552049575362
gemma,historical_hand_predeclared,openness,PC3,275,0.048632813172683184,-0.031197599607628176,0.002365150517089107
gemma,historical_hand_predeclared,conscientiousness,PC1,275,0.6981834550288685,0.7728328669109373,0.487460136876048
gemma,historical_hand_predeclared,conscientiousness,PC2,275,-0.6654503535398488,-0.531544964080667,0.4428241730263098
gemma,historical_hand_predeclared,conscientiousness,PC3,275,0.08199460179871325,0.08017022013213698,0.00672311472412955
gemma,historical_hand_predeclared,extraversion,PC1,275,-0.5003677881950271,-0.611807506996336,0.25036792346318354
gemma,historical_hand_predeclared,extraversion,PC2,275,0.7117013321758197,0.6120885144687113,0.5065187862208363
gemma,historical_hand_predeclared,extraversion,PC3,275,-0.18285336087434365,-0.23300943423444218,0.03343535158304295
gemma,historical_hand_predeclared,agreeableness,PC1,275,0.6164764818516442,0.6718103920833213,0.38004325267618055
gemma,historical_hand_predeclared,agreeableness,PC2,275,-0.30005480507683696,-0.16425088716424802,0.09003288604969863
gemma,historical_hand_predeclared,agreeableness,PC3,275,-0.6270532494712618,-0.5938259138513026,0.39319577767246855
gemma,historical_hand_predeclared,neuroticism,PC1,275,-0.7776557592512632,-0.8372787859553966,0.6047484798966586
gemma,historical_hand_predeclared,neuroticism,PC2,275,0.5778016701779757,0.4510239173711088,0.3338547700604582
gemma,historical_hand_predeclared,neuroticism,PC3,275,0.17315599433772985,0.13981073829375956,0.029982998375087933
