model,construction,pc,model_type,domain,held_out_r2,in_sample_r2,condition_number,max_vif,standardized_beta_openness,standardized_beta_conscientiousness,standardized_beta_extraversion,standardized_beta_agreeableness,standardized_beta_neuroticism,vif_openness,vif_conscientiousness,vif_extraversion,vif_agreeableness,vif_neuroticism
qwen,human_anchored_extended,PC1,individual_domain,agreeableness,0.15002539043942953,0.15840354130918102,1.0,1.0,,,,0.3979994237548354,,,,,1.0,
qwen,human_anchored_extended,PC1,individual_domain,neuroticism,0.6243221009705857,0.6293470695581599,1.0,1.0,,,,,-0.7933139791773242,,,,,1.0
qwen,human_anchored_extended,PC2,joint_five_domain,all_five,0.37806671307352235,0.41060807487575923,20.784125204939414,55.51144688084209,-1.2725680157540729,-1.055239599049235,0.4688742889877376,0.5092590268607514,0.48930279436047097,39.94745651882381,43.88139150675231,42.04344142637235,15.048086887708527,55.51144688084209
qwen,human_anchored_extended,PC2,individual_domain,openness,0.15892845364814467,0.16806942923108625,1.0,1.0,0.40996271687933555,,,,,1.0,,,,
qwen,human_anchored_extended,PC2,individual_domain,conscientiousness,0.27778176934116483,0.28757603133522375,1.0,1.0,,-0.5362611596370035,,,,,1.0,,,
qwen,human_anchored_extended,PC2,individual_domain,extraversion,0.12823349112024285,0.13886461422312493,1.0,1.0,,,0.372645426945139,,,,,1.0,,
qwen,human_anchored_extended,PC2,individual_domain,agreeableness,-0.018575231592051766,0.0014214850601976924,1.0,1.0,,,,-0.0377025869165193,,,,,1.0,
qwen,human_anchored_extended,PC2,individual_domain,neuroticism,0.17168162613333127,0.18579011077838867,1.0,1.0,,,,,0.4310337698816517,,,,,1.0
qwen,human_anchored_extended,PC3,joint_five_domain,all_five,0.9347823922066211,0.9380642782691402,20.784125204939414,55.51144688084209,-0.8413363499174566,0.037125428141029634,0.5291324340602832,-0.8698557455952836,0.048229261403829674,39.94745651882381,43.88139150675231,42.04344142637235,15.048086887708527,55.51144688084209
qwen,human_anchored_extended,PC3,individual_domain,openness,-0.010496449945361475,0.0002819366911934434,1.0,1.0,-0.016790970525655848,,,,,1.0,,,,
qwen,human_anchored_extended,PC3,individual_domain,conscientiousness,-0.010009487733165567,0.00019965200432737999,1.0,1.0,,-0.014129826762114954,,,,,1.0,,,
qwen,human_anchored_extended,PC3,individual_domain,extraversion,0.048357087667341925,0.05816542166175384,1.0,1.0,,,0.24117508507670074,,,,,1.0,,
qwen,human_anchored_extended,PC3,individual_domain,agreeableness,0.7981265271742668,0.7997931440473496,1.0,1.0,,,,-0.8943115475310321,,,,,1.0,
qwen,human_anchored_extended,PC3,individual_domain,neuroticism,0.1452706470351739,0.15399794374422843,1.0,1.0,,,,,0.392425717485779,,,,,1.0
qwen,external_taxonomy_expanded,PC1,joint_five_domain,all_five,0.8417987049388117,0.8492027064009715,17.13063676681015,40.51439158505951,-0.37274666987057614,2.034925592836556,0.8630492631438186,0.5467144019827969,1.0351174333512696,4.064163853959825,34.87118342889509,14.061328111868736,6.067898762727488,40.51439158505951
qwen,external_taxonomy_expanded,PC1,individual_domain,openness,0.6252490206779849,0.6291094210821255,1.0,1.0,-0.7931641829294396,,,,,1.0,,,,
qwen,external_taxonomy_expanded,PC1,individual_domain,conscientiousness,0.7175000329277508,0.7221534651681094,1.0,1.0,,0.8497961315327985,,,,,1.0,,,
qwen,external_taxonomy_expanded,PC1,individual_domain,extraversion,0.5731310593710426,0.5795028147577015,1.0,1.0,,,-0.761250822500509,,,,,1.0,,
qwen,external_taxonomy_expanded,PC1,individual_domain,agreeableness,0.26915783412173366,0.2762824107563703,1.0,1.0,,,,0.5256257325858108,,,,,1.0,
qwen,external_taxonomy_expanded,PC1,individual_domain,neuroticism,0.6009531233338387,0.6064380110110618,1.0,1.0,,,,,-0.7787412991559275,,,,,1.0
qwen,external_taxonomy_expanded,PC2,joint_five_domain,all_five,0.7355455193149774,0.7480273495820406,17.13063676681015,40.51439158505951,-0.8120020641853147,1.159336144393318,1.2210669143514854,1.2372200302538519,1.9736875893213863,4.064163853959825,34.87118342889509,14.061328111868736,6.067898762727488,40.51439158505951
qwen,external_taxonomy_expanded,PC2,individual_domain,openness,0.03993467843538134,0.04947717206277204,1.0,1.0,0.22243464672296903,,,,,1.0,,,,
qwen,external_taxonomy_expanded,PC2,individual_domain,conscientiousness,0.23968664888086955,0.2502673376394819,1.0,1.0,,-0.5002672662082558,,,,,1.0,,,
qwen,external_taxonomy_expanded,PC2,individual_domain,extraversion,0.27316647800879157,0.2810282056470241,1.0,1.0,,,0.5301209349261959,,,,,1.0,,
qwen,external_taxonomy_expanded,PC2,individual_domain,agreeableness,-0.018395327189024258,0.0021271387859083633,1.0,1.0,,,,-0.04612091484249162,,,,,1.0,
qwen,external_taxonomy_expanded,PC2,individual_domain,neuroticism,0.20315007801121676,0.2165108870272162,1.0,1.0,,,,,0.46530730386188457,,,,,1.0
qwen,external_taxonomy_expanded,PC3,joint_five_domain,all_five,0.9219624187044725,0.9267560286123085,17.13063676681015,40.51439158505951,-0.1876459593903832,1.4018679711383963,0.6359578499918584,-0.8388430396337168,0.6143309449748781,4.064163853959825,34.87118342889509,14.061328111868736,6.067898762727488,40.51439158505951
qwen,external_taxonomy_expanded,PC3,individual_domain,openness,-0.006529269084842193,0.004508113598507239,1.0,1.0,-0.06714248728269782,,,,,1.0,,,,
qwen,external_taxonomy_expanded,PC3,individual_domain,conscientiousness,0.0010530881678360027,0.010335523646968192,1.0,1.0,,-0.10166377745769725,,,,,1.0,,,
qwen,external_taxonomy_expanded,PC3,individual_domain,extraversion,0.02843886238642024,0.038182237037416106,1.0,1.0,,,0.19540275596167037,,,,,1.0,,
qwen,external_taxonomy_expanded,PC3,individual_domain,agreeableness,0.6815253820838666,0.68404775444136,1.0,1.0,,,,-0.8270717952157237,,,,,1.0,
qwen,external_taxonomy_expanded,PC3,individual_domain,neuroticism,0.14226624079342098,0.15087824603772634,1.0,1.0,,,,,0.38843049061283325,,,,,1.0
qwen,historical_hand_predeclared,PC1,joint_five_domain,all_five,0.9099464992851545,0.9142171656412181,25.972028902892717,101.49416066322505,-0.38968642467268466,-0.7192146866421726,0.3029935508806005,-0.6443499718002034,-1.9019437179285599,3.901051786020357,101.49416066322505,21.146418390649526,8.17572574891902,74.0213603884176
qwen,historical_hand_predeclared,PC1,individual_domain,openness,0.7850012413511219,0.7866918680193425,1.0,1.0,-0.8869565198020377,,,,,1.0,,,,
qwen,historical_hand_predeclared,PC1,individual_domain,conscientiousness,0.7597810595751173,0.7631438095449525,1.0,1.0,,0.8735810263192262,,,,,1.0,,,
qwen,historical_hand_predeclared,PC1,individual_domain,extraversion,0.5990507295099856,0.6038321477360791,1.0,1.0,,,-0.7770663727996979,,,,,1.0,,
qwen,historical_hand_predeclared,PC1,individual_domain,agreeableness,0.11715815687160547,0.1259134817398965,1.0,1.0,,,,0.35484289726567236,,,,,1.0,
qwen,historical_hand_predeclared,PC1,individual_domain,neuroticism,0.7596338543248045,0.7626494152913887,1.0,1.0,,,,,-0.873298010584811,,,,,1.0
qwen,historical_hand_predeclared,PC2,joint_five_domain,all_five,0.8502887336440549,0.8574935087219587,25.972028902892717,101.49416066322505,-1.1349432701757054,-2.5483039904692872,0.6120177183799687,-0.5854961866832189,-2.060817458235497,3.901051786020357,101.49416066322505,21.146418390649526,8.17572574891902,74.0213603884176
qwen,historical_hand_predeclared,PC2,individual_domain,openness,-0.010898383579888593,4.449607729433648e-05,1.0,1.0,-0.006670538006363241,,,,,1.0,,,,
qwen,historical_hand_predeclared,PC2,individual_domain,conscientiousness,0.19391633642620965,0.2048472215353381,1.0,1.0,,-0.4526005098708331,,,,,1.0,,,
qwen,historical_hand_predeclared,PC2,individual_domain,extraversion,0.3195107392912182,0.3269927690815194,1.0,1.0,,,0.5718328156738816,,,,,1.0,,
qwen,historical_hand_predeclared,PC2,individual_domain,agreeableness,-0.019930036530243944,0.00020065161667769704,1.0,1.0,,,,0.014165155017778557,,,,,1.0,
qwen,historical_hand_predeclared,PC2,individual_domain,neuroticism,0.08222685611720926,0.0979942641835006,1.0,1.0,,,,,0.3130403555190618,,,,,1.0
qwen,historical_hand_predeclared,PC3,joint_five_domain,all_five,0.9471297361102606,0.9507996120403693,25.972028902892717,101.49416066322505,-0.15264405318034197,-0.269932167663406,0.36017546946884466,-1.3998740306174982,-0.989337497335192,3.901051786020357,101.49416066322505,21.146418390649526,8.17572574891902,74.0213603884176
qwen,historical_hand_predeclared,PC3,individual_domain,openness,-0.009891428059645824,0.0005316103375887285,1.0,1.0,0.023056676637987716,,,,,1.0,,,,
qwen,historical_hand_predeclared,PC3,individual_domain,conscientiousness,-0.004506806108061534,0.005786563513213638,1.0,1.0,,-0.07606946505144911,,,,,1.0,,,
qwen,historical_hand_predeclared,PC3,individual_domain,extraversion,-0.011291785382564923,5.78449428861392e-05,1.0,1.0,,,-0.007605586294700705,,,,,1.0,,
qwen,historical_hand_predeclared,PC3,individual_domain,agreeableness,0.8214369455082249,0.8230142077847361,1.0,1.0,,,,-0.9072013049950579,,,,,1.0,
qwen,historical_hand_predeclared,PC3,individual_domain,neuroticism,0.10441712233803746,0.1135935160402018,1.0,1.0,,,,,0.3370363719840958,,,,,1.0
llama,human_anchored_strict,PC1,joint_five_domain,all_five,0.47906172213039055,0.5179272001804336,11.941539422869077,29.583681409080384,-0.16037857274853717,-0.014057772888709807,-0.44326735794310806,1.129174571320654,1.3134818264196333,2.355742704630811,15.66182980030203,3.646433820159958,7.03132092550357,29.583681409080384
llama,human_anchored_strict,PC1,individual_domain,openness,0.25990375498522467,0.2719928865429307,1.0,1.0,-0.521529372655971,,,,,1.0,,,,
llama,human_anchored_strict,PC1,individual_domain,conscientiousness,0.038300465257463,0.047117818831947766,1.0,1.0,,-0.21706639268193445,,,,,1.0,,,
llama,human_anchored_strict,PC1,individual_domain,extraversion,0.020939946866853743,0.031209558344785296,1.0,1.0,,,-0.17666227199032988,,,,,1.0,,
llama,human_anchored_strict,PC1,individual_domain,agreeableness,0.017733628370044774,0.034491980086967106,1.0,1.0,,,,0.1857201660751118,,,,,1.0,
llama,human_anchored_strict,PC1,individual_domain,neuroticism,0.0016714010839042892,0.011888464418707544,1.0,1.0,,,,,0.10903423507645452,,,,,1.0
llama,human_anchored_strict,PC2,joint_five_domain,all_five,0.9518008478416035,0.9569360700739674,11.941539422869077,29.583681409080384,-0.06676860618285321,-0.6301550724328877,0.13608516022648373,-0.32590364749598455,0.003225225712925306,2.355742704630811,15.66182980030203,3.646433820159958,7.03132092550357,29.583681409080384
llama,human_anchored_strict,PC2,individual_domain,openness,-0.014144270720428453,0.003818210567135007,1.0,1.0,-0.06179167069383225,,,,,1.0,,,,
llama,human_anchored_strict,PC2,individual_domain,conscientiousness,0.9031795971382409,0.9051984244899589,1.0,1.0,,-0.9514191634027344,,,,,1.0,,,
llama,human_anchored_strict,PC2,individual_domain,extraversion,0.3788582306690479,0.388093871735684,1.0,1.0,,,0.6229718065335573,,,,,1.0,,
llama,human_anchored_strict,PC2,individual_domain,agreeableness,0.6551344683483574,0.6631583333995288,1.0,1.0,,,,-0.8143453403805592,,,,,1.0,
llama,human_anchored_strict,PC2,individual_domain,neuroticism,0.9173048498421552,0.919911872696306,1.0,1.0,,,,,0.9591203640296175,,,,,1.0
llama,human_anchored_strict,PC3,joint_five_domain,all_five,0.6146766428243542,0.65148023312049,11.941539422869077,29.583681409080384,0.36767465285580603,-0.6644909219144325,-1.2189859336281301,-0.27855800173940765,-0.14092922077559686,2.355742704630811,15.66182980030203,3.646433820159958,7.03132092550357,29.583681409080384
llama,human_anchored_strict,PC3,individual_domain,openness,0.04855265813009946,0.0675415008489727,1.0,1.0,-0.2598874772838674,,,,,1.0,,,,
llama,human_anchored_strict,PC3,individual_domain,conscientiousness,-0.03144098006663465,0.0052294713970738585,1.0,1.0,,0.07231508416004132,,,,,1.0,,,
llama,human_anchored_strict,PC3,individual_domain,extraversion,0.36320447549241863,0.37513731672942835,1.0,1.0,,,-0.6124845440739124,,,,,1.0,,
llama,human_anchored_strict,PC3,individual_domain,agreeableness,-0.0014683731096156727,0.026850416624898146,1.0,1.0,,,,-0.16386096736226766,,,,,1.0,
llama,human_anchored_strict,PC3,individual_domain,neuroticism,-0.027281530777743423,0.00040386262338708214,1.0,1.0,,,,,-0.020096333580707754,,,,,1.0
llama,human_anchored_extended,PC1,joint_five_domain,all_five,0.5176183527736231,0.548404062828672,10.024410503946902,22.26004927347806,-0.9351362177070197,0.37243373545183944,0.5626081817845913,1.2288293640650476,1.5710061718039736,4.663546737054228,12.071714606841816,4.034090233877635,5.823210366071328,22.26004927347806
llama,human_anchored_extended,PC1,individual_domain,openness,0.17848993817189096,0.18567466638970317,1.0,1.0,-0.4308998333600318,,,,,1.0,,,,
llama,human_anchored_extended,PC1,individual_domain,conscientiousness,-0.011675235752690583,4.833340052789629e-05,1.0,1.0,,0.00695222270413544,,,,,1.0,,,
llama,human_anchored_extended,PC1,individual_domain,extraversion,0.06525901842906101,0.07719648456477618,1.0,1.0,,,-0.27784255355286414,,,,,1.0,,
llama,human_anchored_extended,PC1,individual_domain,agreeableness,0.054282263105207784,0.07332093637527219,1.0,1.0,,,,0.2707783897863199,,,,,1.0,
llama,human_anchored_extended,PC1,individual_domain,neuroticism,-0.011373022434762126,0.00045631678597066904,1.0,1.0,,,,,-0.0213615726474122,,,,,1.0
llama,human_anchored_extended,PC2,joint_five_domain,all_five,0.9722020609286406,0.9742588770340825,10.024410503946902,22.26004927347806,-0.18683477226031148,-0.8058564030659422,0.09229002049567471,-0.08842243459107971,0.17978997221419588,4.663546737054228,12.071714606841816,4.034090233877635,5.823210366071328,22.26004927347806
llama,human_anchored_extended,PC2,individual_domain,openness,0.024784284095674236,0.044298890723533116,1.0,1.0,0.21047301661622356,,,,,1.0,,,,
llama,human_anchored_extended,PC2,individual_domain,conscientiousness,0.9380834199962073,0.9389361574042525,1.0,1.0,,-0.9689871812383549,,,,,1.0,,,
llama,human_anchored_extended,PC2,individual_domain,extraversion,-0.028709433432257736,0.0008270959570175454,1.0,1.0,,,-0.028759276016922703,,,,,1.0,,
llama,human_anchored_extended,PC2,individual_domain,agreeableness,0.5252666492580773,0.5330831161612722,1.0,1.0,,,,-0.7301254112556775,,,,,1.0,
llama,human_anchored_extended,PC2,individual_domain,neuroticism,0.8996403861748206,0.9026298292538678,1.0,1.0,,,,,0.9500683287289751,,,,,1.0
llama,human_anchored_extended,PC3,joint_five_domain,all_five,0.4574887851769641,0.5092527002225335,10.024410503946902,22.26004927347806,-0.5035983962391654,-0.13066599559537279,-0.2042651489649684,-0.5164706254710593,-0.427547486690047,4.663546737054228,12.071714606841816,4.034090233877635,5.823210366071328,22.26004927347806
llama,human_anchored_extended,PC3,individual_domain,openness,0.40603451513103905,0.41866919253103,1.0,1.0,-0.6470465149670694,,,,,1.0,,,,
llama,human_anchored_extended,PC3,individual_domain,conscientiousness,-0.024886304383616942,0.011573294948428294,1.0,1.0,,0.10757924961826186,,,,,1.0,,,
llama,human_anchored_extended,PC3,individual_domain,extraversion,0.34445878345702663,0.36119197442697293,1.0,1.0,,,-0.600992491156897,,,,,1.0,,
llama,human_anchored_extended,PC3,individual_domain,agreeableness,0.0002494410561562077,0.026834928392015844,1.0,1.0,,,,-0.16381370025738337,,,,,1.0,
llama,human_anchored_extended,PC3,individual_domain,neuroticism,-0.02902124782336135,0.0005371141468747795,1.0,1.0,,,,,0.023175723222259526,,,,,1.0
llama,external_taxonomy_expanded,PC1,joint_five_domain,all_five,0.7072189578447887,0.7225293254049768,11.01655788492363,26.862473136935115,-0.6881973798691604,0.7125901166048061,0.39240048407172123,1.079761691482491,1.317221157893028,1.8047402695342671,12.833282001003612,1.5859261838656842,7.124445048793396,26.862473136935115
llama,external_taxonomy_expanded,PC1,individual_domain,openness,0.32577495346992247,0.33440139275773434,1.0,1.0,-0.5782744960291214,,,,,1.0,,,,
llama,external_taxonomy_expanded,PC1,individual_domain,conscientiousness,-0.01044613394433802,0.001829075212949016,1.0,1.0,,0.042767688889499465,,,,,1.0,,,
llama,external_taxonomy_expanded,PC1,individual_domain,extraversion,-0.006638725473995688,0.008797021029228472,1.0,1.0,,,0.09379243588492876,,,,,1.0,,
llama,external_taxonomy_expanded,PC1,individual_domain,agreeableness,0.02832172070925132,0.04511021377401693,1.0,1.0,,,,0.21239165184634007,,,,,1.0,
llama,external_taxonomy_expanded,PC1,individual_domain,neuroticism,-0.011063473778800681,0.0004502400887626808,1.0,1.0,,,,,0.021218861627398413,,,,,1.0
llama,external_taxonomy_expanded,PC2,joint_five_domain,all_five,0.9686873763747568,0.971282661021638,11.01655788492363,26.862473136935115,-0.12125261117552244,-0.764840178777399,-0.011434851039115103,-0.029146890265887484,0.17313930909719544,1.8047402695342671,12.833282001003612,1.5859261838656842,7.124445048793396,26.862473136935115
llama,external_taxonomy_expanded,PC2,individual_domain,openness,0.10168468980258016,0.12180399873515446,1.0,1.0,-0.3490042961557271,,,,,1.0,,,,
llama,external_taxonomy_expanded,PC2,individual_domain,conscientiousness,0.9415100064278735,0.9423232709761445,1.0,1.0,,-0.9707333676021158,,,,,1.0,,,
llama,external_taxonomy_expanded,PC2,individual_domain,extraversion,0.06043034959524851,0.0845503024525158,1.0,1.0,,,0.2907753470508045,,,,,1.0,,
llama,external_taxonomy_expanded,PC2,individual_domain,agreeableness,0.6715731254160906,0.6796374039294121,1.0,1.0,,,,-0.8244012396457274,,,,,1.0,
llama,external_taxonomy_expanded,PC2,individual_domain,neuroticism,0.9145558736371757,0.9170766785641216,1.0,1.0,,,,,0.9576412055483627,,,,,1.0
llama,external_taxonomy_expanded,PC3,joint_five_domain,all_five,0.41446806342208053,0.4683258321850098,11.01655788492363,26.862473136935115,-0.24526757697903806,0.08671352949303782,-0.5088585246080997,-0.32241056698167725,-0.13670141514666992,1.8047402695342671,12.833282001003612,1.5859261838656842,7.124445048793396,26.862473136935115
llama,external_taxonomy_expanded,PC3,individual_domain,openness,0.16939224401216113,0.1917643804688209,1.0,1.0,-0.4379091006919369,,,,,1.0,,,,
llama,external_taxonomy_expanded,PC3,individual_domain,conscientiousness,-0.025270306265750664,0.010906300426666075,1.0,1.0,,0.10443323430147165,,,,,1.0,,,
llama,external_taxonomy_expanded,PC3,individual_domain,extraversion,0.36130784128942617,0.37917083430383647,1.0,1.0,,,-0.6157684908338819,,,,,1.0,,
llama,external_taxonomy_expanded,PC3,individual_domain,agreeableness,-0.012458776213487788,0.016900963325024013,1.0,1.0,,,,-0.13000370504344871,,,,,1.0,
llama,external_taxonomy_expanded,PC3,individual_domain,neuroticism,-0.028860044656631834,0.0006144106882265215,1.0,1.0,,,,,0.0247873090154321,,,,,1.0
llama,historical_hand_predeclared,PC1,joint_five_domain,all_five,0.6898550009664133,0.7081886456610345,14.679998041616471,43.29075988129708,-0.8360722827983667,-0.5364690998409309,0.4413026301106367,-0.37496495923118345,-1.1749323366082187,1.1600876773051005,21.574704102493623,2.9644218089174847,11.750284883797523,43.29075988129708
llama,historical_hand_predeclared,PC1,individual_domain,openness,0.5352784955162941,0.5414071311328487,1.0,1.0,-0.7358037313936704,,,,,1.0,,,,
llama,historical_hand_predeclared,PC1,individual_domain,conscientiousness,0.00341249098819163,0.015182591883207893,1.0,1.0,,0.1232176605978538,,,,,1.0,,,
llama,historical_hand_predeclared,PC1,individual_domain,extraversion,-0.013207603974986437,6.827294975290154e-05,1.0,1.0,,,-0.008262744686416345,,,,,1.0,,
llama,historical_hand_predeclared,PC1,individual_domain,agreeableness,0.005360810924783688,0.02292925126187397,1.0,1.0,,,,0.15142407755001835,,,,,1.0,
llama,historical_hand_predeclared,PC1,individual_domain,neuroticism,0.021629465947586746,0.034911330515540705,1.0,1.0,,,,,-0.18684573989133577,,,,,1.0
llama,historical_hand_predeclared,PC2,joint_five_domain,all_five,0.96989178801995,0.972503629034052,14.679998041616471,43.29075988129708,-0.24997781117122247,-0.7009555986847713,0.02543516048142356,-0.1102465498311322,0.1985109511138155,1.1600876773051005,21.574704102493623,2.9644218089174847,11.750284883797523,43.29075988129708
llama,historical_hand_predeclared,PC2,individual_domain,openness,-0.012434068744065607,0.010737328945830488,1.0,1.0,-0.10362108350056222,,,,,1.0,,,,
llama,historical_hand_predeclared,PC2,individual_domain,conscientiousness,0.8798227704172203,0.8816756938421986,1.0,1.0,,-0.9389758750054223,,,,,1.0,,,
llama,historical_hand_predeclared,PC2,individual_domain,extraversion,0.33001034431518017,0.34084766475729295,1.0,1.0,,,0.5838216035376671,,,,,1.0,,
llama,historical_hand_predeclared,PC2,individual_domain,agreeableness,0.6200687940758054,0.6287818117827768,1.0,1.0,,,,-0.7929576355536132,,,,,1.0,
llama,historical_hand_predeclared,PC2,individual_domain,neuroticism,0.8764587357478859,0.8793389410036355,1.0,1.0,,,,,0.9377307401400657,,,,,1.0
llama,historical_hand_predeclared,PC3,joint_five_domain,all_five,0.5106859042527094,0.5550036253640512,14.679998041616471,43.29075988129708,-0.19733758890831904,-0.23601284745330084,-0.789397583213936,-0.18004889831191004,0.056182650581068215,1.1600876773051005,21.574704102493623,2.9644218089174847,11.750284883797523,43.29075988129708
llama,historical_hand_predeclared,PC3,individual_domain,openness,0.15650396211809403,0.17569447092614296,1.0,1.0,-0.41915924292104423,,,,,1.0,,,,
llama,historical_hand_predeclared,PC3,individual_domain,conscientiousness,0.0052681631829333275,0.0347389318110154,1.0,1.0,,0.1863838292637411,,,,,1.0,,,
llama,historical_hand_predeclared,PC3,individual_domain,extraversion,0.3573734368067867,0.37095761789555165,1.0,1.0,,,-0.6090629014277192,,,,,1.0,,
llama,historical_hand_predeclared,PC3,individual_domain,agreeableness,0.011507772805019467,0.0416804970223093,1.0,1.0,,,,-0.20415801973547182,,,,,1.0,
llama,historical_hand_predeclared,PC3,individual_domain,neuroticism,-0.029932152018618874,0.0005145900521537922,1.0,1.0,,,,,-0.022684577407432394,,,,,1.0
gemma,human_anchored_strict,PC1,joint_five_domain,all_five,0.6688016365980809,0.6949661610515305,11.009032682453558,21.37323275842901,0.5392758913666886,-0.6645406467331714,-1.5366014833129318,0.8300609435620179,0.42698533796264765,3.361695467731396,8.951214122474614,9.236687586056838,6.14579119606619,21.37323275842901
gemma,human_anchored_strict,PC1,individual_domain,openness,0.19583846225655743,0.2057507829475069,1.0,1.0,-0.4535976002444313,,,,,1.0,,,,
gemma,human_anchored_strict,PC1,individual_domain,conscientiousness,0.14889538785181344,0.15739825265664423,1.0,1.0,,0.396734486346529,,,,,1.0,,,
gemma,human_anchored_strict,PC1,individual_domain,extraversion,0.35633309831671367,0.36251515491380654,1.0,1.0,,,-0.6020923142789705,,,,,1.0,,
gemma,human_anchored_strict,PC1,individual_domain,agreeableness,0.3985667544141801,0.4084286445300062,1.0,1.0,,,,0.6390842233461926,,,,,1.0,
gemma,human_anchored_strict,PC1,individual_domain,neuroticism,0.34019741655250313,0.3495021029776431,1.0,1.0,,,,,-0.591187028763016,,,,,1.0
gemma,human_anchored_strict,PC2,joint_five_domain,all_five,0.7626291480018781,0.7864644327396144,11.009032682453558,21.37323275842901,0.09125033035227104,-0.8218725566227796,-0.5457293501135358,0.35418637792104085,0.7216003441966339,3.361695467731396,8.951214122474614,9.236687586056838,6.14579119606619,21.37323275842901
gemma,human_anchored_strict,PC2,individual_domain,openness,0.161815480710926,0.16957719336326244,1.0,1.0,0.41179751500374845,,,,,1.0,,,,
gemma,human_anchored_strict,PC2,individual_domain,conscientiousness,0.7352174364387983,0.7388921204553232,1.0,1.0,,-0.8595883436013562,,,,,1.0,,,
