persona,activation_cluster,bigfive_residual,svd0,svd1,svd2,svd3,svd4,svd5,svd6,svd7,svd8,svd9,svd10,svd11,svd12,svd13,svd14
amateur,grounded_social,40.43,0.19618,-0.06763,-0.09047,0.10238,0.10416,0.02215,-0.01035,-0.07658,-0.09928,0.00616,-0.06329,0.00571,-0.10297,-0.0698,-0.16421
ambassador,procedural_professional,11.7,0.20643,0.0169,-0.03111,0.0789,-0.09955,-0.02184,0.1422,0.03131,-0.09589,0.17495,0.08167,0.12972,0.05096,0.02413,-0.16759
amnesiac,grounded_social,25.94,0.25015,-0.18195,-0.05026,-0.06053,-0.03933,0.01532,-0.02672,-0.04558,-0.07836,0.03446,-0.00469,-0.06099,0.01851,-0.03645,-0.04474
analyst,procedural_professional,7.91,0.25645,0.17224,0.07147,0.03341,0.10161,-0.1245,-0.278,-0.09967,0.01556,-0.03504,0.11476,-0.1704,-0.05671,-0.00685,-0.06794
anarchist,procedural_professional,6.36,0.21312,-0.07215,0.01002,0.18686,0.04331,-0.11656,0.22554,-0.03022,-0.10297,-0.13442,-0.03112,0.18332,0.04051,0.0766,-0.00069
ancient,mythic_spiritual,34.72,0.23205,-0.21247,0.23511,-0.1017,-0.0476,-0.02156,-0.11081,0.04005,0.04784,-0.08481,0.11043,0.03614,0.15301,-0.02172,-0.02087
angel,mythic_spiritual,0.0,0.18594,-0.12232,0.00931,0.08899,0.03929,-0.00882,0.04108,0.11448,-0.03929,0.01975,-0.0508,-0.0491,0.02469,0.10128,0.02026
anthropologist,procedural_professional,17.98,0.2368,0.15321,0.13932,-0.10531,0.20327,2e-05,0.10835,-0.13677,0.0035,0.16461,0.07804,0.10264,0.21157,0.02114,0.10163
archaeologist,procedural_professional,23.09,0.26103,0.11062,0.13264,-0.04145,0.14614,0.08605,-0.10438,-0.076,0.05248,0.01498,0.05771,-0.00661,0.17126,0.08331,0.02418
architect,procedural_professional,10.14,0.21834,0.16569,-0.0123,-0.18969,0.00866,0.00963,0.24617,0.09657,0.09935,-0.12984,-0.02139,-0.03147,-0.07006,-0.1749,-0.07597
archivist,procedural_professional,10.57,0.25708,0.11176,0.02326,-0.1378,0.17213,-0.13618,0.24604,0.02229,-0.00936,-0.07025,-0.12094,0.08938,-0.02124,0.12361,0.08252
artisan,grounded_social,24.81,0.23628,0.04523,-0.05386,-0.05915,0.08701,0.10247,0.1338,-0.0017,-0.00078,-0.06095,-0.04748,0.15998,0.00576,0.147,-0.11752
ascetic,mythic_spiritual,0.0,0.19953,-0.14306,-0.00464,0.03601,0.10693,-0.0151,0.05121,-0.01162,-0.01495,0.02108,0.00711,0.15105,-0.01266,0.01864,0.11914
assistant,procedural_professional,24.57,0.19477,0.04305,-0.01972,0.06913,0.12463,0.01842,-0.01206,0.17882,-0.1067,0.01587,0.07553,0.05597,-0.08165,0.08942,-0.07073
auctioneer,grounded_social,14.54,0.2149,0.17659,-0.0003,-0.02537,-0.16989,0.00688,-0.03354,-0.06546,0.01868,0.00876,-0.11945,0.00505,0.13848,0.03478,0.03971
auditor,procedural_professional,19.33,0.19024,0.18122,-0.01621,-0.05704,0.06044,-0.27227,-0.14556,0.09371,-0.05285,0.00919,-0.1621,0.07411,-0.00554,-0.11092,-0.05525
avatar,mythic_spiritual,12.99,0.19985,-0.16231,0.17802,-0.04319,-0.0079,0.06863,-0.01064,0.13724,-0.00339,0.03072,-0.01237,-0.00158,0.03109,0.05237,0.00394
bard,mythic_spiritual,40.96,0.21559,-0.06136,0.04353,0.05113,-0.0512,0.09931,-0.03588,0.02359,0.11256,0.10514,-0.20399,0.02701,-0.00207,0.02196,0.01116
bartender,grounded_social,22.97,0.22711,0.10418,-0.08799,-0.02877,-0.03008,0.1324,0.15307,0.09552,0.04708,0.02465,-0.05546,0.06763,-0.01767,-0.01549,0.00657
biologist,procedural_professional,10.78,0.1951,0.04526,0.01883,-0.14296,0.14121,0.00778,0.11919,0.04424,0.03749,0.02811,-0.00498,0.03218,0.15027,-0.11981,-0.05058
blogger,grounded_social,27.39,0.15846,0.05604,0.00471,0.05693,-0.14481,0.18531,-0.13616,-0.05565,0.04629,0.10323,-0.22546,0.09932,0.07542,0.0148,-0.06308
bohemian,grounded_social,33.8,0.15999,-0.1072,-0.02124,0.10518,0.04675,-0.06834,0.06157,-0.08117,0.0002,0.03255,-0.06058,0.05295,-0.01578,-0.1143,0.02899
builder,procedural_professional,13.36,0.23817,0.14323,0.01823,-0.04825,-0.07904,-0.00315,0.07687,0.02619,0.06432,-0.15846,0.01967,0.06863,-0.00757,-0.05667,-0.03702
caregiver,grounded_social,0.0,0.15243,-0.01365,-0.07202,0.1909,0.1144,0.07147,0.09711,0.23385,-0.08456,0.0724,0.06271,-0.04631,0.01366,0.13001,-0.11675
cartographer,procedural_professional,14.67,0.22684,0.17658,0.06594,-0.16505,0.0468,-0.05695,0.12581,0.04602,0.01962,0.00021,-0.06404,-0.08417,-0.04562,-0.07029,-0.02727
caveman,trickster_chaos,42.76,0.24661,-0.10713,0.03367,0.10398,0.00367,-0.01582,-0.01059,-0.0567,0.15338,-0.10208,0.08598,-0.02882,-0.10676,-0.08332,-0.08699
celebrity,grounded_social,15.07,0.24968,-0.15386,-0.2181,-0.1624,-0.04388,-0.04939,-0.0657,-0.07186,0.0772,-0.01329,-0.01718,0.04181,-0.03876,0.03336,-0.02296
chameleon,grounded_social,14.39,0.22284,-0.08653,-0.0549,0.07042,-0.03141,-0.0463,0.04674,-0.03339,-0.06074,0.20363,0.06463,0.01786,-0.0996,-0.03346,-0.01387
chef,grounded_social,12.76,0.23332,0.11347,-0.0674,-0.08544,0.00547,0.05118,0.03245,0.16092,0.09191,0.02919,0.0071,-0.01097,-0.08598,-0.01239,0.04892
chemist,procedural_professional,0.0,0.24039,0.16979,0.05747,-0.20275,0.09821,0.0306,0.17903,0.04842,0.1065,-0.054,-0.06195,-0.04771,-0.08628,-0.09593,-0.05001
chimera,mythic_spiritual,0.0,0.21989,-0.16275,0.26134,-0.02304,-0.09176,-0.04853,0.01452,0.04421,-0.10263,-0.01038,-0.00697,-0.07886,-0.07986,0.05762,-0.02459
coach,procedural_professional,14.09,0.18035,0.16867,-0.06298,0.18028,-0.03537,0.17867,-0.01741,0.15839,-0.13144,-0.20403,0.10629,-0.00654,-0.00858,0.03677,0.13359
collaborator,procedural_professional,21.93,0.18877,0.07496,-0.01797,0.16702,-0.16257,0.01482,0.17996,-0.02924,-0.04361,0.00749,0.10809,-0.08735,0.10959,-0.08696,-0.08923
collector,procedural_professional,0.0,0.21477,0.15378,-0.04502,-0.10366,0.08345,-0.03884,0.10926,-0.06531,0.00026,-0.06587,-0.05275,0.04825,0.05839,0.12875,-0.02293
comedian,trickster_chaos,33.61,0.1807,0.09537,0.03932,0.05695,-0.03101,0.07527,-0.1314,-0.06603,0.11691,0.10683,-0.13983,-0.07025,0.10362,-0.02625,0.03125
competitor,combative_iconoclast,30.62,0.2489,-0.1842,-0.09277,0.11196,0.01133,-0.089,0.00173,-0.11089,0.08485,-0.04912,0.03971,-0.07719,-0.00541,0.01238,-0.14671
composer,procedural_professional,19.14,0.16908,0.16995,0.03047,-0.09255,-0.07232,0.10809,0.11533,-0.06488,0.07222,-0.08562,-0.05803,0.12997,-0.09687,0.04577,-0.06554
conservator,procedural_professional,0.0,0.27165,0.0353,0.06447,0.02536,0.17599,-0.11348,0.14536,-0.07806,0.02862,-0.1288,-0.04931,0.12365,0.02972,0.26798,0.05053
consultant,procedural_professional,0.0,0.22506,0.27147,0.0191,0.04624,0.04415,-0.02751,-0.12396,-0.01555,-0.01664,-0.02641,0.16741,-0.03021,0.0458,0.03588,0.01152
contrarian,combative_iconoclast,15.82,0.15119,-0.01765,-0.02442,0.18731,0.01598,-0.02979,-0.00184,-0.04783,-0.00664,0.09463,-0.04456,-0.05478,-0.0362,-0.16125,0.10664
coordinator,procedural_professional,0.0,0.21296,0.16961,-0.04182,-0.0507,-0.18798,-0.16882,-0.01797,0.10533,-0.11747,0.00907,-0.07038,0.04794,-0.01251,-0.10276,0.12974
cosmopolitan,procedural_professional,0.0,0.24815,-0.06688,-0.03641,-0.10029,-0.03195,-0.1048,0.04711,-0.0753,-0.10355,0.25493,0.10754,0.09391,-0.09541,-0.07562,0.11669
counselor,procedural_professional,8.79,0.19602,0.05401,-0.12527,0.1262,0.0683,0.12083,0.03581,0.24536,-0.10788,0.08101,0.1148,-0.11261,0.08049,0.13306,0.00931
criminal,grounded_social,32.05,0.26018,-0.18236,-0.0244,-0.07547,-0.0662,-0.0562,0.0043,-0.06354,0.17618,-0.13914,0.02698,-0.06405,-0.09415,-0.02,0.07785
critic,procedural_professional,29.86,0.20056,0.07351,0.00297,0.01882,0.10931,-0.0643,-0.08549,0.04067,-0.01369,-0.01535,-0.07552,0.03215,-0.06574,-0.08922,-0.05554
crystalline,mythic_spiritual,0.0,0.25459,-0.15682,0.33284,-0.05407,-0.04549,0.00599,-0.00647,-0.00268,-0.15821,-0.08602,-0.06175,-0.10126,0.01158,-0.09005,-0.02119
curator,procedural_professional,18.46,0.21619,0.19775,-0.00901,0.00172,-0.19187,0.05657,-0.03343,-0.11595,0.02836,0.10752,-0.0391,0.0883,0.02968,0.21647,-0.03308
cyborg,procedural_professional,30.52,0.16097,-0.02007,0.13151,-0.058,0.09158,0.03343,-0.02558,-0.05814,-0.17525,0.09393,-0.03068,-0.06216,0.07965,-0.04933,-0.04992
cynic,combative_iconoclast,33.09,0.1897,-0.11474,-0.03462,0.07986,0.04258,-0.03636,0.0515,-0.0636,-0.01227,0.0146,0.04288,0.01324,0.10323,-0.06653,0.0531
daredevil,combative_iconoclast,43.67,0.19546,-0.09977,-0.07292,0.09852,-0.04229,-0.05078,0.04129,-0.0885,0.07631,0.00389,-0.04242,0.0271,0.04401,0.00234,-0.01188
debugger,procedural_professional,13.36,0.23987,0.25105,0.00016,0.04873,-0.0827,-0.07985,-0.05899,-0.0238,-0.06548,-0.0824,0.07115,-0.06511,-0.04262,0.02159,0.03753
demon,mythic_spiritual,23.58,0.24919,-0.14431,0.13339,0.02267,-0.00537,-0.02566,0.02174,0.02602,0.0396,-0.00795,-0.03681,-0.02494,0.05222,0.0079,0.02979
designer,procedural_professional,26.01,0.26799,0.2465,0.0186,-0.09452,-0.10471,0.06869,0.07272,-0.05853,0.03853,-0.0526,-0.0559,0.02563,-0.10966,-0.07676,-0.08871
destroyer,combative_iconoclast,25.89,0.2378,-0.0206,0.04418,0.09395,-0.03303,-0.10333,0.11467,-0.01256,-0.10999,-0.1847,-0.00522,0.02423,0.0067,0.15346,0.09303
detective,procedural_professional,19.09,0.18839,0.14547,0.07255,0.01758,0.23943,0.03292,-0.09603,-0.05378,0.00974,-0.0437,-0.02458,-0.16296,-0.07826,-0.18271,-0.04838
dilettante,grounded_social,38.7,0.17021,0.01405,-0.00263,-0.02443,0.00914,0.10716,-0.09336,-0.04532,-0.14512,0.23096,0.06199,0.08201,-0.12881,-0.01267,-0.03612
dispatcher,procedural_professional,12.3,0.22357,0.15364,0.01506,0.00201,-0.04167,-0.06593,0.00294,0.07691,-0.01215,-0.04916,-0.02158,-0.00554,0.01888,-0.03797,0.10386
divorcee,grounded_social,27.46,0.18821,-0.10065,-0.30157,-0.18964,-0.00527,0.16029,0.00851,-0.02945,-0.12872,-0.1183,0.03565,-0.12137,0.14811,0.04804,-0.18755
doctor,procedural_professional,20.92,0.17346,0.08761,-0.12333,0.01797,0.12123,-0.09411,-0.06627,0.27745,-0.04885,0.02503,-0.03787,-0.07847,-0.07333,0.20205,0.08119
dreamer,mythic_spiritual,14.12,0.24746,-0.20882,0.20425,-0.04153,-0.12129,0.0716,-0.03448,0.08385,-0.08943,-0.04746,-0.08571,-0.04217,-0.0535,0.02256,-0.08445
echo,mythic_spiritual,29.27,0.23436,-0.2236,0.23059,-0.04563,-0.04626,-0.09225,-0.02634,0.02812,0.02424,-0.07589,0.12004,0.03536,0.07653,0.05298,0.01604
economist,procedural_professional,0.0,0.19959,0.21707,0.08965,-0.06535,0.1515,-0.05971,0.00203,-0.11436,-0.01297,-0.01569,0.03166,-0.02352,0.11127,-0.04832,-0.02575
ecosystem,procedural_professional,18.45,0.18492,-0.08843,0.05207,0.01258,-0.06699,-0.01412,0.1199,0.00719,-0.04129,0.01515,-0.00293,0.08839,0.07738,-0.04611,-0.19252
editor,editorial,10.66,0.21354,0.19029,-0.03732,-0.00894,-0.05357,-0.10669,-0.02501,0.13567,0.01374,-0.02725,-0.03521,0.102,-0.00066,0.07581,-0.05521
egregore,mythic_spiritual,41.9,0.22772,-0.21475,0.22095,-0.03012,-0.06549,0.00294,0.00258,0.07777,-0.09851,-0.06109,0.02552,-0.05292,0.04479,0.06123,-0.05179
elder,mythic_spiritual,0.0,0.21908,-0.12507,-0.11705,-0.10696,0.02124,0.16639,-0.14722,0.05613,0.12189,0.04387,0.10576,0.07489,0.08661,-0.08191,0.16319
eldritch,mythic_spiritual,0.0,0.23172,-0.20134,0.3578,-0.08204,-0.03881,0.04856,-0.01597,0.11012,-0.0981,0.01009,-0.01918,-0.0365,0.04465,-0.00623,0.0532
emissary,procedural_professional,16.85,0.24297,0.20922,0.03287,-0.0131,-0.19218,-0.12209,0.1807,-0.00669,-0.09102,0.32991,0.16508,0.01827,-0.0421,0.05172,-0.03169
empath,grounded_social,0.0,0.16247,-0.02886,-0.03541,0.05363,0.07354,0.1499,0.03882,0.07111,0.02987,0.15264,-0.05012,-0.01643,-0.15913,-0.06765,-0.14544
engineer,procedural_professional,11.84,0.25373,0.27742,0.04997,-0.01044,0.0433,0.01898,-0.00809,-0.11751,-0.02521,-0.12532,0.1147,-0.03127,-0.07182,-0.04311,0.04257
entrepreneur,procedural_professional,21.68,0.22223,0.16974,-0.06237,0.00143,-0.19992,-0.05932,0.08247,0.04791,0.07977,-0.05283,0.05974,-0.06814,0.07478,-0.19071,0.0309
evaluator,procedural_professional,18.18,0.21715,0.20221,0.00184,-0.0115,0.02203,-0.17071,-0.15175,0.07688,-0.01596,0.00448,0.01137,0.01171,0.03007,-0.0104,-0.0549
evangelist,grounded_social,26.38,0.1774,-0.05334,-0.07183,0.15781,0.00835,0.01559,0.06233,-0.028,0.02,0.01277,0.01362,-0.04513,0.01669,0.0853,0.07506
examiner,procedural_professional,15.3,0.15648,0.15176,0.01232,0.01232,0.12921,-0.18179,-0.21896,0.08814,-0.09038,0.04541,-0.13282,0.15963,-0.0166,-0.00841,-0.0328
exile,mythic_spiritual,42.87,0.26917,-0.21341,-0.12218,-0.11931,-0.05272,-0.04749,-0.06697,-0.05262,0.02178,0.03503,0.12239,0.12978,0.0019,-0.01558,0.15579
expatriate,procedural_professional,28.82,0.26889,-0.09255,-0.19981,-0.26384,-0.02101,0.03234,-0.00628,-0.06313,0.02683,-0.00492,0.14976,0.10326,-0.02276,0.0079,0.16818
facilitator,procedural_professional,18.4,0.14599,0.1198,-0.02303,0.05571,-0.1446,0.04756,0.05758,0.0746,-0.13319,0.04997,-0.02757,0.04443,0.17192,-0.17177,0.03363
familiar,mythic_spiritual,4.84,0.2482,-0.19327,0.09357,-0.02763,0.01247,-0.03867,-0.03379,0.114,-0.06705,-0.05121,-0.0262,-0.05158,-0.09267,0.15011,0.07315
fixer,grounded_social,16.05,0.29272,0.03485,0.02953,0.10246,-0.15575,-0.0741,-0.01766,-0.07168,0.16763,-0.01733,0.06673,-0.15912,-0.20529,0.00254,-0.03173
flaneur,grounded_social,0.0,0.21524,-0.15057,0.02538,-0.05481,-0.0015,0.01223,-0.03077,-0.02774,0.03801,-0.0087,-0.01067,0.0475,0.07105,-0.04692,0.07096
fool,trickster_chaos,37.13,0.16875,-0.08087,0.05474,0.13153,0.01809,0.08422,-0.05678,0.02985,0.07594,0.04626,-0.17662,-0.109,0.00457,-0.02584,0.08451
forecaster,procedural_professional,6.74,0.22862,0.24245,0.0827,0.03719,0.07192,0.00282,-0.15526,-0.21985,0.0187,0.02759,0.07596,-0.10606,0.19501,0.11261,0.02413
futurist,procedural_professional,3.61,0.21924,0.17866,0.06106,0.06483,0.13072,0.0501,-0.02952,-0.20853,0.01241,0.02459,0.04942,-0.03949,0.22069,0.10453,0.12015
gamer,combative_iconoclast,33.44,0.25367,-0.11811,-0.02234,-0.01677,-0.01742,0.07443,-0.00666,-0.09587,0.07006,-0.00181,0.02236,-0.02108,-0.14478,-0.1142,0.04172
generalist,procedural_professional,12.57,0.16481,0.09783,0.08854,-0.04856,0.10808,0.0765,-0.16609,-0.04531,-0.11762,0.22399,0.16677,0.11377,-0.15387,-0.01347,-0.06045
genie,trickster_chaos,7.66,0.23504,-0.146,0.02018,0.07232,-0.0585,-0.02164,0.00335,0.02213,-0.01429,0.03096,-0.05942,-0.0606,-0.05378,0.1051,0.03326
geographer,procedural_professional,14.42,0.21074,0.17291,0.14439,-0.13606,0.10661,0.01809,0.06267,-0.02028,0.02873,0.04217,0.08153,0.01171,0.12476,-0.03415,0.01414
ghost,mythic_spiritual,26.03,0.18052,-0.15921,0.12109,-0.09205,-0.02001,0.0482,-0.05807,0.0829,0.01876,0.05793,0.1145,0.14785,0.07745,0.00299,-0.00113
golem,mythic_spiritual,12.19,0.2469,-0.20565,0.18626,-0.0765,-0.06303,0.07882,-0.00611,0.07867,-0.06808,-0.03771,-0.08724,-0.00428,-0.04275,0.05384,0.05922
gossip,trickster_chaos,0.0,0.24632,-0.03292,-0.0533,0.01134,-0.01976,-0.04233,-0.00988,-0.00611,0.15069,-0.00966,0.06911,-0.03417,0.09255,0.02731,-0.0702
grader,editorial,4.48,0.13417,0.13117,-0.07732,0.06757,0.07681,-0.13734,-0.2694,0.23028,-0.12946,-0.03914,-0.02619,0.17064,-0.07186,0.02392,-0.04872
graduate,grounded_social,29.93,0.23452,-0.13238,-0.21084,-0.06372,0.00113,0.12199,-0.07688,-0.004,-0.16949,-0.0742,-0.03599,-0.07624,0.02182,0.03573,-0.06868
grandparent,grounded_social,26.54,0.18808,-0.11464,-0.08381,-0.01265,0.02198,0.16785,0.01291,0.01687,0.0599,0.00659,-0.06376,0.07071,0.02414,-0.10963,-0.1112
guardian,procedural_professional,10.92,0.20051,-0.15337,0.00213,0.10541,0.04471,-0.08143,0.03339,0.02088,-0.02316,0.01099,-0.02269,-0.03845,-0.07043,0.14484,0.07531
guide,procedural_professional,0.0,0.21757,0.11829,-0.10666,0.09737,-0.07654,0.05193,-0.00655,0.13384,0.03814,0.02302,0.04604,-0.15013,0.08034,-0.03598,0.12067
guru,mythic_spiritual,0.0,0.18844,-0.03302,-0.06337,0.11862,0.12478,0.2212,-0.09087,0.25236,0.08578,0.13456,0.07701,-0.06415,0.10041,-0.03537,0.20507
hacker,combative_iconoclast,0.0,0.25647,0.19998,0.06131,0.00822,0.00142,-0.01252,0.05523,-0.13045,0.06695,-0.03432,-0.0074,-0.15629,0.00676,0.07552,0.02524
healer,procedural_professional,9.02,0.25352,0.06356,-0.03728,-0.04095,0.21075,0.06845,0.13813,0.17038,-0.02425,0.09759,-0.02228,-0.0517,-0.10244,0.18054,-0.02018
hedonist,grounded_social,28.98,0.20077,-0.05302,-0.10881,0.15157,0.04145,0.10787,0.03797,-0.00235,0.00215,-0.06074,-0.0393,0.12107,0.09385,-0.00467,-0.06203
hermit,mythic_spiritual,26.28,0.18322,-0.12567,-0.04622,0.0501,0.03295,0.12708,-0.00781,0.07629,0.12332,0.05114,0.03965,0.08328,0.09689,-0.05535,0.08772
historian,procedural_professional,0.0,0.27512,0.11152,0.10222,-0.0609,0.10523,-0.09896,-0.13414,-0.04105,0.09894,0.07074,0.14904,-0.00825,0.1062,0.16215,-0.0182
hive,procedural_professional,36.29,0.19092,-0.14804,0.22468,-0.09192,-0.11608,-0.03612,-0.03406,-0.01878,-0.28763,0.00279,-0.08282,-0.11007,0.04242,-0.03526,0.00543
hoarder,other,39.86,0.21067,-0.11691,-0.05095,0.03571,-0.02862,-0.06762,-0.00394,-0.08183,0.08015,0.00851,-0.00317,0.08298,-0.04191,0.01788,-0.00751
homunculus,mythic_spiritual,17.14,0.23814,-0.11132,0.13782,-0.14356,-0.02959,0.13911,0.02586,0.1063,-0.0097,-0.0368,-0.07122,0.00706,0.019,0.06033,0.04441
hybrid,procedural_professional,18.48,0.26691,-0.14009,-0.01314,-0.05589,-0.02068,-0.1001,0.01435,-0.16071,-0.17475,0.23325,0.06874,0.0515,-0.17957,-0.08061,0.11803
idealist,procedural_professional,36.88,0.2243,-0.11759,-0.03808,0.13933,0.0716,-0.06789,0.03475,-0.08713,0.09885,-0.09657,0.03703,0.02497,-0.02726,-0.08585,-0.23646
immigrant,grounded_social,20.51,0.28692,-0.24893,-0.24061,-0.19092,-0.04542,-0.0484,-0.04821,-0.15718,-0.15581,-0.019,0.09972,-0.00833,-0.01165,0.06108,0.11311
improviser,grounded_social,0.0,0.17873,0.05005,-0.01459,0.16672,-0.11431,-0.01579,0.01053,-0.05612,0.05394,0.02114,0.05815,-0.07128,-0.00983,-0.07079,-0.01182
infant,other,47.16,0.21094,-0.16033,-0.01319,-0.039,-0.00553,0.05832,-0.0257,-0.05854,-0.02208,-0.06013,-0.06179,-0.0482,-0.13466,-0.05688,-0.02758
influencer,combative_iconoclast,12.08,0.21111,0.05517,-0.02094,0.03783,-0.12719,0.14194,-0.05264,-0.03549,0.03154,0.02753,-0.13037,0.17595,0.0547,0.00894,-0.01749
instructor,procedural_professional,11.05,0.1561,0.17228,-0.03432,0.12859,-0.07817,0.28484,-0.13388,-0.02129,-0.2342,-0.22986,-0.00489,0.16314,-0.1509,-0.03217,0.05697
interpreter,procedural_professional,12.88,0.23309,0.20355,0.06813,0.01587,-0.14873,0.07858,0.05588,-0.1229,-0.05931,0.28667,0.10915,0.02717,-0.11504,0.13342,0.03591
interviewer,editorial,30.78,0.21444,0.07053,0.01002,0.05755,-0.0777,-0.02415,-0.18407,-0.05942,0.02589,0.07678,-0.14068,-0.11308,0.00042,0.057,0.03046
jester,trickster_chaos,19.94,0.23975,-0.15655,-0.01391,0.10772,-0.02439,-0.06617,-0.0864,-0.01252,0.17178,-0.00659,-0.12483,-0.1239,-0.0215,0.11765,0.11292
journalist,procedural_professional,11.93,0.20085,0.10838,-0.01052,0.01464,-0.01957,-0.09222,-0.12945,-0.04115,0.11249,0.07104,-0.17757,-0.07784,0.06752,0.06661,-0.07992
judge,procedural_professional,17.3,0.21642,0.05221,-0.03115,0.07978,0.0202,-0.18659,-0.17687,0.05014,0.08805,-0.0224,0.07467,-0.03308,-0.02277,-0.0236,-0.14426
lawyer,procedural_professional,20.1,0.21108,0.16773,0.02924,-0.09643,0.13406,-0.09992,0.02567,0.10401,0.02652,-0.0234,-0.00235,-0.0335,-0.04108,-0.02918,-0.02705
leviathan,mythic_spiritual,24.15,0.22065,-0.23743,0.27332,-0.04254,-0.07453,0.00057,-0.09363,0.08609,0.13073,-0.12541,0.09068,0.02269,0.07139,0.01781,-0.0717
librarian,procedural_professional,17.08,0.25791,0.18076,0.00195,-0.05484,0.02596,-0.03415,0.13872,0.04741,0.01499,-0.04504,0.04938,-0.0508,0.01051,0.12719,0.05197
linguist,procedural_professional,0.0,0.21244,0.18517,0.09293,-0.09214,0.2206,0.08469,0.05352,-0.0937,0.08353,-0.08275,0.07024,0.06165,0.10807,0.03559,-0.02283
loner,grounded_social,46.05,0.12182,-0.05494,-0.09588,0.12991,0.02171,0.05492,0.0796,0.0138,0.04521,0.07018,0.01027,0.06291,0.08986,-0.04001,-0.02688
luddite,grounded_social,25.44,0.14846,-0.10102,-0.02235,0.09439,0.08712,-0.07063,0.11701,-0.11787,-0.11326,-0.05752,-0.01442,0.12597,0.08455,-0.02185,0.0623
marketer,procedural_professional,12.14,0.23255,0.24302,-0.05138,-0.0616,-0.18229,0.03539,0.07701,0.06286,0.09895,-0.02241,0.00306,0.04764,0.00787,-0.07263,0.02586
martyr,mythic_spiritual,24.29,0.16736,-0.06975,-0.12782,0.2073,0.04142,0.08386,0.05829,0.09834,0.04281,0.0724,-0.00493,-0.05124,-0.00224,0.18222,-0.03025
mathematician,procedural_professional,12.14,0.20562,0.26355,0.08242,0.01974,0.04388,0.12263,-0.01498,-0.16169,-0.02944,-0.08327,0.10574,-0.08088,-0.04907,0.00517,0.0574
maverick,combative_iconoclast,10.97,0.12042,-0.02499,-0.02379,0.22963,0.04829,-0.05953,0.11767,-0.08355,-0.0249,0.02059,-0.05643,-0.02716,-0.0181,-0.16319,0.21988
mechanic,procedural_professional,16.58,0.20656,0.06379,-0.02307,-0.01527,0.02247,-0.03181,-0.0158,-0.01575,-0.03073,-0.05651,0.1431,0.0524,-0.11525,-0.04964,-0.10341
mediator,procedural_professional,9.83,0.21771,0.13881,-0.05483,0.0717,-0.23964,-0.10136,0.14818,0.10775,-0.05933,0.17271,0.28376,-0.11869,-0.02487,-0.02169,-0.01913
mentor,procedural_professional,0.0,0.23266,0.16516,-0.11866,0.04574,-0.0504,0.06875,-0.01301,0.24725,0.05133,-0.04265,0.16711,-0.06884,0.1055,-0.06111,0.15202
merchant,procedural_professional,34.59,0.21989,0.17325,-0.01932,-0.15201,-0.06542,-0.05556,0.25993,0.11315,0.08852,-0.0187,0.02114,-0.0635,0.06084,-0.24205,-0.09651
minimalist,procedural_professional,18.34,0.20472,-0.10916,-0.07463,0.07501,0.02562,0.07132,-0.00831,0.05262,0.01792,-0.05471,0.06632,0.20051,0.13484,-0.09935,-0.07899
moderator,procedural_professional,0.0,0.13339,0.0398,-0.03158,0.07893,-0.12762,-0.00675,0.11026,0.08614,-0.13724,0.09096,-0.06133,0.06101,0.12941,-0.14944,0.02378
