persona,activation_cluster,bigfive_residual,combined_residual,residual_improvement,sim_to_developmental,sim_to_stalling,sim_to_collective,sim_to_symbolic,sim_to_liminal
coach,procedural_professional,14.09,14.83,-0.74,0.0196,0.0196,0.016,0.0295,0.0293
collaborator,procedural_professional,21.93,21.28,0.64,0.0165,0.0309,0.0749,0.051,0.0543
collector,procedural_professional,,,,0.0664,0.0643,0.0204,0.0125,0.027
comedian,trickster_chaos,33.61,50.01,-16.39,0.0358,0.023,0.0212,0.057,0.0321
competitor,combative_iconoclast,30.62,31.4,-0.78,0.1117,0.1113,0.0664,0.0664,0.0903
composer,procedural_professional,19.14,19.3,-0.16,0.016,0.0101,0.0147,0.05,0.0176
conservator,procedural_professional,,,,0.048,0.0818,0.0416,0.0617,0.0329
consultant,procedural_professional,,,,0.0311,0.0251,0.0089,0.0446,0.0281
contrarian,combative_iconoclast,15.82,9.66,6.16,0.0438,0.0517,0.0235,0.0633,0.0322
coordinator,procedural_professional,,,,0.0369,0.0349,0.0558,0.0217,0.0746
cosmopolitan,procedural_professional,,,,0.0744,0.0553,0.0695,0.0406,0.0804
counselor,procedural_professional,8.79,9.63,-0.84,0.0324,0.0335,0.0277,0.0568,0.0477
criminal,grounded_social,32.05,19.12,12.93,0.0997,0.0904,0.0889,0.0698,0.1017
critic,procedural_professional,29.86,23.86,6.0,0.0417,0.0618,0.0321,0.0618,0.0448
crystalline,mythic_spiritual,,,,0.0822,0.0512,0.1351,0.0658,0.0374
curator,procedural_professional,18.46,15.17,3.29,0.0109,0.0426,0.011,0.0347,0.0155
cyborg,procedural_professional,30.52,28.41,2.11,0.0388,0.024,0.0709,0.0292,0.0161
cynic,combative_iconoclast,33.09,38.27,-5.18,0.0412,0.0317,0.0408,0.0413,0.0439
daredevil,combative_iconoclast,43.67,80.32,-36.65,0.0686,0.0711,0.0301,0.0332,0.5511
debugger,procedural_professional,13.36,5.81,7.55,0.0341,0.0221,0.0208,0.0335,0.0272
demon,mythic_spiritual,23.58,22.87,0.7,0.0648,0.0638,0.0714,0.0646,0.0677
designer,procedural_professional,26.01,13.39,12.61,0.0369,0.0382,0.0198,0.0327,0.0299
destroyer,combative_iconoclast,25.89,24.3,1.58,0.0433,0.0528,0.0713,0.0366,0.0396
detective,procedural_professional,19.09,14.89,4.2,0.0315,0.0366,0.0161,0.0604,0.0379
dilettante,grounded_social,38.7,16.03,22.67,0.0421,0.0795,0.029,0.0316,0.0402
dispatcher,procedural_professional,12.3,12.71,-0.41,0.0299,0.0448,0.0364,0.0401,0.0555
divorcee,grounded_social,27.46,9.91,17.56,0.1109,0.0524,0.0244,0.047,0.0406
doctor,procedural_professional,20.92,16.28,4.64,0.0123,0.0295,0.013,0.0414,0.0234
dreamer,mythic_spiritual,14.12,9.25,4.88,0.1124,0.0538,0.109,0.0566,0.0498
echo,mythic_spiritual,29.27,21.58,7.69,0.0549,0.0618,0.1358,0.0794,0.0634
economist,procedural_professional,,,,0.0325,0.0294,0.0122,0.0324,0.0315
ecosystem,procedural_professional,18.45,17.24,1.21,0.0372,0.0298,0.0983,0.0515,0.0398
editor,editorial,10.66,5.52,5.15,0.0305,0.0264,0.0141,0.026,0.0387
egregore,mythic_spiritual,41.9,22.21,19.68,0.0558,0.0432,0.5268,0.0589,0.0415
elder,mythic_spiritual,,,,0.0692,0.0495,0.0388,0.1491,0.065
eldritch,mythic_spiritual,,,,0.0604,0.0418,0.113,0.0599,0.0436
emissary,procedural_professional,16.85,21.76,-4.91,0.0199,0.0277,0.014,0.0344,0.0221
empath,grounded_social,,,,0.0629,0.0395,0.0164,0.0463,0.0413
engineer,procedural_professional,11.84,4.8,7.04,0.0363,0.0218,0.0177,0.0202,0.0282
entrepreneur,procedural_professional,21.68,14.35,7.33,0.0394,0.0204,0.0195,0.0464,0.0618
evaluator,procedural_professional,18.18,7.61,10.57,0.0281,0.0417,0.0166,0.0468,0.0281
evangelist,grounded_social,26.38,23.18,3.2,0.0569,0.0645,0.0298,0.0434,0.0585
examiner,procedural_professional,15.3,9.52,5.78,0.0144,0.0333,0.0109,0.0375,0.0153
exile,mythic_spiritual,42.87,34.44,8.43,0.0878,0.0712,0.0674,0.0922,0.515
expatriate,procedural_professional,28.82,20.24,8.57,0.087,0.0502,0.0605,0.0464,0.1233
facilitator,procedural_professional,18.4,9.37,9.03,0.0278,0.0084,0.0332,0.0264,0.0348
familiar,mythic_spiritual,4.84,6.35,-1.52,0.0692,0.0723,0.0933,0.0733,0.0474
fixer,grounded_social,16.05,7.26,8.79,0.0654,0.0632,0.0513,0.0671,0.0541
flaneur,grounded_social,,,,0.073,0.0529,0.0522,0.0529,0.0682
fool,trickster_chaos,37.13,62.75,-25.62,0.0627,0.0492,0.049,0.5398,0.029
forecaster,procedural_professional,6.74,8.89,-2.15,0.0272,0.0295,0.0164,0.0294,0.0243
futurist,procedural_professional,3.61,7.78,-4.17,0.027,0.0199,0.0251,0.031,0.0299
gamer,combative_iconoclast,33.44,37.92,-4.48,0.1157,0.0677,0.0563,0.0749,0.0474
generalist,procedural_professional,12.57,13.94,-1.37,0.0108,0.0522,0.0381,0.0252,0.0167
genie,trickster_chaos,7.66,7.11,0.56,0.0718,0.063,0.0492,0.0636,0.059
geographer,procedural_professional,14.42,10.68,3.74,0.0279,0.0303,0.024,0.0182,0.0334
ghost,mythic_spiritual,26.03,22.8,3.23,0.0322,0.038,0.062,0.0681,0.0542
golem,mythic_spiritual,12.19,8.43,3.76,0.0656,0.0436,0.0961,0.0627,0.0489
gossip,trickster_chaos,,,,0.055,0.0703,0.0395,0.0522,0.071
grader,editorial,4.48,9.12,-4.64,0.0134,0.03,0.0029,0.028,0.0203
graduate,grounded_social,29.93,20.89,9.04,0.1031,0.0984,0.0457,0.0674,0.0609
grandparent,grounded_social,26.54,25.48,1.06,0.0993,0.0494,0.029,0.0725,0.0577
guardian,procedural_professional,10.92,15.41,-4.49,0.0547,0.0565,0.0551,0.071,0.0534
guide,procedural_professional,,,,0.0482,0.0267,0.0125,0.0415,0.0595
guru,mythic_spiritual,,,,0.0316,0.0357,0.015,0.1836,0.0396
hacker,combative_iconoclast,,,,0.0216,0.0325,0.0245,0.0415,0.0699
healer,procedural_professional,9.02,10.11,-1.09,0.0522,0.0652,0.0332,0.0709,0.0369
hedonist,grounded_social,28.98,21.86,7.12,0.0751,0.0551,0.0306,0.0696,0.05
hermit,mythic_spiritual,26.28,19.0,7.27,0.0437,0.0504,0.045,0.1198,0.1447
historian,procedural_professional,,,,0.0386,0.0497,0.0386,0.0472,0.0414
hive,procedural_professional,36.29,17.53,18.76,0.0668,0.0373,0.6482,0.0478,0.0312
hoarder,other,39.86,19.79,20.07,0.0848,0.514,0.043,0.0521,0.0562
homunculus,mythic_spiritual,17.14,17.9,-0.76,0.0516,0.0302,0.0615,0.0578,0.0497
hybrid,procedural_professional,18.48,12.76,5.72,0.0888,0.0786,0.0838,0.0481,0.0709
idealist,procedural_professional,36.88,30.59,6.29,0.1074,0.1022,0.0358,0.0721,0.0476
immigrant,grounded_social,20.51,16.93,3.58,0.1459,0.0952,0.0849,0.0657,0.1119
improviser,grounded_social,,,,0.039,0.0645,0.0392,0.0396,0.0491
infant,other,47.16,17.62,29.54,0.5394,0.0858,0.0638,0.0565,0.0442
influencer,combative_iconoclast,12.08,20.09,-8.01,0.0312,0.0478,0.0323,0.0638,0.0438
instructor,procedural_professional,11.05,13.36,-2.32,0.0247,0.033,0.018,0.0271,0.014
interpreter,procedural_professional,12.88,10.96,1.91,0.0176,0.0251,0.0202,0.0469,0.0291
interviewer,editorial,30.78,27.49,3.3,0.0452,0.0571,0.0293,0.0754,0.0463
jester,trickster_chaos,19.94,9.22,10.72,0.0792,0.0638,0.0513,0.1307,0.05
journalist,procedural_professional,11.93,14.78,-2.85,0.032,0.0388,0.0205,0.0991,0.0298
judge,procedural_professional,17.3,5.84,11.46,0.0446,0.0427,0.0204,0.0467,0.0315
lawyer,procedural_professional,20.1,16.73,3.37,0.0229,0.0248,0.0152,0.0432,0.0626
leviathan,mythic_spiritual,24.15,13.75,10.41,0.0572,0.052,0.0838,0.0956,0.041
librarian,procedural_professional,17.08,12.28,4.8,0.0257,0.0291,0.0234,0.0272,0.0513
linguist,procedural_professional,,,,0.0397,0.0252,0.0126,0.0574,0.0304
loner,grounded_social,46.05,49.15,-3.1,0.0403,0.0444,0.0198,0.0275,0.5173
luddite,grounded_social,25.44,39.57,-14.13,0.0354,0.0466,0.0447,0.0284,0.0363
marketer,procedural_professional,12.14,14.41,-2.28,0.0211,0.0282,0.0179,0.041,0.0301
martyr,mythic_spiritual,24.29,28.75,-4.46,0.0347,0.0632,0.0245,0.0455,0.0649
mathematician,procedural_professional,12.14,10.03,2.12,0.0165,0.0197,0.0114,0.0153,0.0211
maverick,combative_iconoclast,10.97,14.28,-3.31,0.0241,0.0333,0.01,0.0405,0.0222
mechanic,procedural_professional,16.58,19.92,-3.35,0.0569,0.0335,0.026,0.0234,0.0367
mediator,procedural_professional,9.83,14.34,-4.52,0.0461,0.0302,0.0288,0.0188,0.0338
mentor,procedural_professional,,,,0.0434,0.0219,0.0275,0.0604,0.0374
merchant,procedural_professional,34.59,31.79,2.8,0.0399,0.0287,0.0196,0.021,0.0965
minimalist,procedural_professional,18.34,14.08,4.26,0.0487,0.0786,0.0473,0.088,0.09
moderator,procedural_professional,,,,0.0202,0.0153,0.0281,0.0317,0.0553
musician,grounded_social,32.38,32.21,0.17,0.0988,0.0563,0.0736,0.0886,0.0472
mycorrhizal,mythic_spiritual,16.11,15.41,0.7,0.0576,0.0419,0.1756,0.0625,0.0651
mystic,mythic_spiritual,29.49,15.62,13.87,0.0529,0.0398,0.0478,0.1056,0.0438
narcissist,grounded_social,19.54,28.03,-8.49,0.0459,0.0498,0.0247,0.0562,0.0927
narrator,mythic_spiritual,15.31,19.91,-4.6,0.02,0.0329,0.0138,0.0573,0.0235
naturalist,procedural_professional,30.08,17.72,12.36,0.0601,0.0383,0.0274,0.038,0.0303
navigator,procedural_professional,14.35,15.85,-1.5,0.0336,0.0278,0.0164,0.0402,0.1076
negotiator,procedural_professional,9.79,20.9,-11.1,0.0638,0.0574,0.041,0.0905,0.0454
networker,procedural_professional,11.74,10.46,1.27,0.0288,0.0416,0.0105,0.0169,0.0443
newlywed,grounded_social,34.2,23.37,10.83,0.1132,0.0691,0.077,0.051,0.0481
nomad,grounded_social,28.79,13.11,15.69,0.0577,0.0385,0.0435,0.0445,0.0775
novelist,grounded_social,8.74,7.11,1.63,0.0243,0.0229,0.0127,0.0426,0.0386
nutritionist,editorial,,,,0.0295,0.0407,0.0184,0.0253,0.0555
observer,procedural_professional,10.96,11.76,-0.8,0.0289,0.0218,0.0163,0.0378,0.0454
optimist,grounded_social,37.34,38.32,-0.97,0.0445,0.0528,0.0258,0.0724,0.0358
oracle,mythic_spiritual,,,,0.066,0.0369,0.0338,0.0784,0.0366
organizer,procedural_professional,14.7,15.25,-0.55,0.0143,0.0337,0.0187,0.0103,0.0321
orphan,grounded_social,,,,0.0922,0.0692,0.057,0.0809,0.1047
pacifist,procedural_professional,,,,0.0545,0.0921,0.0494,0.0712,0.053
paramedic,procedural_professional,12.05,4.67,7.38,0.0417,0.0292,0.0165,0.0288,0.0372
parasite,mythic_spiritual,36.49,31.44,5.04,0.0416,0.0567,0.4754,0.0436,0.0441
parent,grounded_social,31.07,18.45,12.62,0.1379,0.0554,0.0316,0.0456,0.0512
patient,grounded_social,19.96,10.91,9.05,0.1997,0.0745,0.0581,0.0551,0.0697
peacekeeper,procedural_professional,,,,0.0387,0.0361,0.0347,0.0476,0.0403
perfectionist,procedural_professional,,,,0.0658,0.0993,0.0411,0.0418,0.0474
pharmacist,editorial,17.17,19.57,-2.4,0.0116,0.018,0.0088,0.0172,0.0464
philosopher,procedural_professional,10.21,23.2,-13.0,0.0602,0.0452,0.0476,0.0798,0.0294
photographer,grounded_social,18.5,23.15,-4.64,0.0865,0.0701,0.0425,0.099,0.0682
physicist,procedural_professional,10.32,12.22,-1.9,0.0682,0.0638,0.0265,0.0392,0.0265
pilgrim,mythic_spiritual,22.28,23.94,-1.66,0.0732,0.0584,0.0496,0.1043,0.0703
pilot,procedural_professional,8.18,12.46,-4.28,0.0328,0.0431,0.0234,0.0442,0.0502
pirate,trickster_chaos,40.13,27.87,12.26,0.1094,0.0948,0.0615,0.5228,0.083
planner,procedural_professional,5.73,13.74,-8.01,0.0204,0.024,0.0182,0.0092,0.033
playwright,grounded_social,12.42,10.26,2.16,0.0253,0.0226,0.0312,0.0422,0.0329
podcaster,grounded_social,16.89,10.57,6.32,0.022,0.0337,0.0121,0.0561,0.0212
poet,mythic_spiritual,,,,0.1067,0.0342,0.0224,0.0891,0.0334
polymath,procedural_professional,,,,0.0276,0.0413,0.0459,0.0343,0.0311
pragmatist,procedural_professional,15.48,8.35,7.13,0.0372,0.0339,0.0114,0.0276,0.0182
predator,mythic_spiritual,24.92,15.85,9.07,0.0586,0.047,0.0357,0.0525,0.0293
presenter,procedural_professional,26.32,14.16,12.16,0.0189,0.0315,0.0097,0.0354,0.0119
prey,grounded_social,26.43,19.48,6.95,0.0941,0.1093,0.0646,0.0897,0.0861
prisoner,grounded_social,17.41,16.96,0.45,0.1212,0.0825,0.0714,0.0655,0.1027
procrastinator,other,68.0,48.61,19.39,0.0759,0.5152,0.048,0.0657,0.0622
prodigy,procedural_professional,24.87,15.01,9.86,0.0779,0.0568,0.0597,0.041,0.0426
producer,procedural_professional,14.47,1.96,12.51,0.0318,0.0357,0.0261,0.0504,0.0468
programmer,procedural_professional,9.85,14.26,-4.41,0.0765,0.0485,0.0303,0.0583,0.0485
proofreader,editorial,23.45,12.64,10.81,0.0167,0.0227,0.0108,0.024,0.0232
prophet,mythic_spiritual,,,,0.0716,0.0534,0.0509,0.1048,0.0653
provincial,grounded_social,14.12,27.88,-13.76,0.0878,0.0781,0.087,0.0764,0.0855
provocateur,combative_iconoclast,14.01,10.19,3.82,0.0539,0.0491,0.032,0.0672,0.0583
psychologist,procedural_professional,18.09,19.47,-1.38,0.0376,0.027,0.0436,0.0437,0.0238
publisher,procedural_professional,20.66,13.41,7.25,0.04,0.0303,0.0415,0.0328,0.0507
purist,procedural_professional,30.46,20.63,9.83,0.0462,0.0717,0.0519,0.0544,0.0543
realist,procedural_professional,20.75,24.99,-4.24,0.0526,0.0431,0.038,0.0566,0.0374
rebel,combative_iconoclast,,,,0.0677,0.0775,0.0666,0.0713,0.0544
recruiter,procedural_professional,8.78,8.23,0.55,0.0258,0.0322,0.0227,0.0265,0.0356
refugee,grounded_social,19.31,21.27,-1.95,0.138,0.0904,0.0711,0.0551,0.1034
reporter,procedural_professional,,,,0.0644,0.047,0.0207,0.0425,0.0407
researcher,procedural_professional,11.58,13.12,-1.54,0.0318,0.0418,0.0273,0.0325,0.0283
retiree,grounded_social,21.76,5.35,16.41,0.06,0.0631,0.037,0.0425,0.0555
revenant,mythic_spiritual,,,,0.0568,0.0777,0.0772,0.0687,0.108
reviewer,procedural_professional,15.4,3.23,12.17,0.0173,0.0301,0.0207,0.0326,0.0322
revolutionary,combative_iconoclast,30.1,28.92,1.18,0.0506,0.0386,0.0449,0.0413,0.0409
robot,procedural_professional,44.35,41.1,3.25,0.0431,0.038,0.0231,0.0321,0.0164
rogue,trickster_chaos,24.06,17.74,6.31,0.0535,0.0419,0.0421,0.0861,0.0574
romantic,grounded_social,29.27,23.57,5.7,0.1107,0.0889,0.045,0.1183,0.0975
saboteur,combative_iconoclast,,,,0.0417,0.0326,0.042,0.0634,0.0559
sage,mythic_spiritual,37.42,19.36,18.06,0.0326,0.0307,0.0334,0.5303,0.0279
scheduler,procedural_professional,28.48,13.27,15.22,0.01,0.0358,0.018,0.0075,0.0323
scholar,procedural_professional,,,,0.0379,0.0849,0.0252,0.061,0.0552
scientist,procedural_professional,13.57,8.39,5.18,0.0302,0.0564,0.0176,0.0318,0.0221
scout,procedural_professional,15.37,11.42,3.95,0.0403,0.0334,0.0507,0.0374,0.0628
screener,editorial,10.53,7.14,3.38,0.0199,0.0233,0.0139,0.0142,0.0179
secretary,editorial,17.66,6.8,10.86,0.0168,0.0359,0.0183,0.0276,0.0115
shaman,mythic_spiritual,16.02,13.41,2.62,0.0424,0.0337,0.0231,0.0796,0.0516
shapeshifter,grounded_social,16.38,13.35,3.02,0.0444,0.0472,0.052,0.0593,0.0365
simulacrum,mythic_spiritual,16.39,18.13,-1.73,0.0561,0.0589,0.0516,0.0587,0.0394
skeptic,procedural_professional,22.98,15.7,7.28,0.0213,0.0351,0.0124,0.0267,0.0207
smuggler,grounded_social,50.96,47.81,3.15,0.0295,0.0289,0.0197,0.0429,0.5033
sociologist,procedural_professional,,,,0.06,0.0277,0.0272,0.0258,0.0641
soldier,grounded_social,,,,0.0522,0.0531,0.0416,0.0459,0.075
sommelier,procedural_professional,17.04,10.46,6.58,0.0424,0.0442,0.0329,0.0519,0.0873
specialist,procedural_professional,27.02,31.14,-4.12,0.0443,0.048,0.0463,0.0605,0.0407
spirit,mythic_spiritual,,,,0.105,0.0678,0.1385,0.1068,0.0628
spy,procedural_professional,24.2,15.09,9.1,0.0576,0.0535,0.0774,0.0553,0.0428
statistician,procedural_professional,10.69,7.0,3.69,0.0219,0.0189,0.0172,0.0383,0.0209
stoic,mythic_spiritual,29.66,33.85,-4.19,0.0958,0.0819,0.0391,0.0739,0.0616
strategist,procedural_professional,,,,0.0221,0.0266,0.0292,0.0404,0.028
student,editorial,40.74,25.47,15.26,0.0699,0.5531,0.0304,0.0542,0.0454
summarizer,editorial,25.27,18.53,6.74,0.0144,0.0223,0.0232,0.0165,0.0212
supervisor,editorial,14.06,12.91,1.16,0.0355,0.0407,0.0234,0.0248,0.0461
surfer,grounded_social,19.46,18.4,1.06,0.0659,0.0289,0.0515,0.0819,0.0695
survivor,grounded_social,14.36,16.67,-2.31,0.0478,0.0677,0.0397,0.0823,0.0602
swarm,procedural_professional,39.46,23.77,15.7,0.0479,0.0264,0.6502,0.0607,0.0342
symbiont,procedural_professional,12.97,13.38,-0.41,0.0463,0.0341,0.0974,0.0444,0.06
synthesizer,procedural_professional,15.03,15.01,0.02,0.0179,0.0285,0.0338,0.051,0.0209
teacher,procedural_professional,15.3,14.27,1.03,0.0251,0.0355,0.0071,0.0291,0.008
technologist,procedural_professional,20.91,27.3,-6.39,0.0724,0.0496,0.0132,0.0291,0.0832
teenager,other,53.06,50.28,2.78,0.6095,0.0682,0.0488,0.0445,0.0706
theorist,procedural_professional,16.97,19.97,-3.0,0.0091,0.0118,0.0307,0.0532,0.016
therapist,procedural_professional,14.63,15.96,-1.32,0.0297,0.0229,0.0345,0.0329,0.0353
toddler,other,59.77,39.24,20.53,0.4747,0.0922,0.022,0.0709,0.0244
traditionalist,procedural_professional,31.09,20.06,11.03,0.0771,0.0652,0.0347,0.0641,0.064
trainer,procedural_professional,11.78,12.48,-0.7,0.0317,0.0254,0.0151,0.0283,0.0159
translator,editorial,16.71,17.04,-0.33,0.0475,0.0426,0.0345,0.0372,0.0407
tree,mythic_spiritual,24.39,26.45,-2.06,0.1183,0.0558,0.0952,0.0689,0.0785
trickster,trickster_chaos,28.49,22.07,6.42,0.039,0.0332,0.0195,0.1186,0.0368
tulpa,grounded_social,,,,0.0448,0.0278,0.1671,0.0647,0.055
tutor,procedural_professional,,,,0.0413,0.0593,0.0185,0.0444,0.0277
validator,procedural_professional,6.87,11.32,-4.45,0.0194,0.0229,0.017,0.0243,0.0251
vampire,mythic_spiritual,32.23,29.75,2.47,0.0507,0.0462,0.0626,0.0582,0.0808
vegan,procedural_professional,,,,0.0738,0.0547,0.0222,0.0448,0.0269
veteran,grounded_social,27.85,22.73,5.12,0.0882,0.0623,0.0559,0.0833,0.0647
veterinarian,procedural_professional,12.94,13.18,-0.24,0.0936,0.0601,0.0334,0.0487,0.0496
vigilante,grounded_social,20.44,18.77,1.66,0.0451,0.0607,0.0387,0.0649,0.0496
virtuoso,procedural_professional,38.3,35.19,3.12,0.076,0.0668,0.0748,0.1034,0.072
virus,mythic_spiritual,32.58,23.73,8.85,0.0601,0.0458,0.1128,0.0533,0.0395
visionary,procedural_professional,22.02,16.46,5.56,0.0804,0.0453,0.0421,0.0456,0.0524
void,mythic_spiritual,16.73,8.82,7.91,0.0896,0.0777,0.1286,0.0592,0.078
wanderer,mythic_spiritual,10.78,12.9,-2.12,0.0548,0.073,0.0729,0.0938,0.059
warrior,mythic_spiritual,,,,0.0382,0.0381,0.0303,0.0348,0.0431
whale,mythic_spiritual,16.83,16.5,0.33,0.0878,0.0759,0.0798,0.1618,0.0561
widow,grounded_social,,,,0.1114,0.0598,0.0633,0.0519,0.0599
wind,mythic_spiritual,26.25,17.97,8.28,0.0845,0.0528,0.0808,0.1098,0.0605
witch,mythic_spiritual,,,,0.0629,0.0379,0.0397,0.0853,0.052
witness,procedural_professional,15.66,7.5,8.16,0.0248,0.0349,0.0162,0.0325,0.0722
workaholic,combative_iconoclast,35.74,30.22,5.52,0.0814,0.0937,0.0672,0.0786,0.0722
wraith,mythic_spiritual,22.68,10.73,11.96,0.067,0.0615,0.0771,0.0834,0.0274
writer,procedural_professional,13.74,13.2,0.54,0.0313,0.0248,0.0317,0.051,0.0396
zealot,mythic_spiritual,,,,0.0836,0.0599,0.067,0.0588,0.051
zeitgeist,procedural_professional,,,,0.0422,0.0337,0.1537,0.0498,0.0346
